Cy com enceun petit	-|---⌫---|-|----|
An dreuapostre	--⌫---|------|
E ndece mbr e estlafeste de	-⌫|----⌫---⌫|--|-|----|-|
monseignur	--|------|
Nicholasetdelac oncepc ionde	-------|-|-|-|-⌫------⌫--|-|
Damee tlaf estedesaint	---|-⌫|-|-⌫---|-|----|
Thomasap ostre et	-----|--⌫----|-|
Eni anuerestla	-|-⌫----|--|-|
Circumcisiond e	-----------|-⌫|
Eptiph anie	------⌫---|
e stlafe s te dela	-⌫-|-|--⌫-⌫-|-|-|
Chandeleur etde monsei gnursaint	---------|-|-|--|---⌫---|----|
Mathy apostre	----|------|
E tchesc unmoisaqu at re sepmaine se tche s cun sepm aine a	-⌫|-----⌫-|---||--⌫--⌫-|--------⌫|-⌫|---⌫-⌫--|----⌫---||
sep tiourset	---⌫|----|-|
sept nuyscestasc ̧auoirlundi maredi	---|---||--|---⌫-----|----|-----|
mer c red iieudiu endre disemmedi	---⌫-⌫---⌫|----|-⌫-----⌫-|------|
dimenche etches cun iourou ésanuytauintet	-------|-|----⌫--|---|--⌫-|-|---||---|-|
quatreheures	-----|-----|
Et main tena ntilfara bon	-|----⌫----⌫-|-|---|--|
densa igne rles en fa nsaconpter	|----⌫----⌫|--|--⌫--⌫-||------|
Pourcecomencezainsie n preufun	---|-|-------|----|-⌫-⌫----|-|
deu xtr oisquatre	---⌫|--⌫--|-----|
cinqsixsept uuit neufdi s onsedous treszequatorse	---|--|---|---|---|--⌫|---|---|-----|-------|
q uin se s eszedi set septdis	-⌫---⌫-|-⌫---|--⌫|-|---|--|
etuuyt dis	-|---|--|
e tne ufuintuint etunuint etdeuxui nt	-⌫|--⌫-|---|---|-|-|---|-|---|--⌫-|
uinte tquatreu int	---|-⌫|-----|-⌫--|
e tcinquin tet si xui ntetseptuint	-⌫|---|---⌫|-|--⌫|--⌫-|-|---|---|
et uu ytuintet n euftrentetrente	-|--⌫-|---|-|-⌫--|-----|-----|
e tun trente et deuxe t cæt era	-⌫|-|-----|-|---|-⌫|---⌫--|
Quarantq uarant	------|-⌫-----|
etune t cæt era	-|-|-⌫|---⌫--|
Ci nqua ntcinquantetu ne t cætera	--⌫----⌫-|-------|-|-⌫|-⌫|-----|
Soixant soixantetune tcætera	------|------|-|-|-⌫|-----|
iusquessoixant	------|------|
etdis neuf	-|--|---|
Don cquesdiquatreuinsquatre	---⌫----|-|-----|---|-----|
u insetun etcoeteraiusques	-⌫--|-|-|-|------|------|
qua treu inset disetneuf	---⌫--|-⌫--|-|--|-|---|
Etdonc quesdicent	-|----⌫---|-|---|
deux censtroiscens quatre	---|---|----|---|-----|
c ensetcæteraneu fcens	-⌫--|-|-----|---⌫|---|
Leprimier leseco nde le t rois	-|------|-|----⌫--|-|-⌫---|
le q uartoua in siuniesmeledeus ies me	-|-⌫---|-|-⌫--⌫-|------|-|----⌫---⌫-|
l etroisi esme	-⌫|------⌫---|
lequatriesmele cin qu iesme lesisiesmelesepti esmel e	-|---------|-|---⌫--⌫----|-|-------|-|-----⌫---|-⌫|
uu ytiesmelene ufies me ledis iesmele	--⌫------|-|--⌫-----⌫-|-|---⌫----|-|
onsie sm e ledousiesme letresziesmele q u atorsiesmele quinsiesme	-----⌫--⌫|-|--------|-|---------|-|-⌫-⌫---------|-|---------|
l esesziesmele disi septies mele disiuu ytiesme	-⌫|--------|-|----⌫-------⌫-|-|------⌫------|
ledisineufiesmeleuintiesmeleui nt e tunies mele	-|---|--------|-|--------|-|--⌫-|-⌫|-----⌫-|-|
uin tet d eusiesmee tcæt eraletrent iesm el e	---⌫|-|-⌫-------|-⌫|---⌫--|-|-----⌫----⌫|-⌫|
quarantiesmele cinqua nt ies me	-----------|-|------⌫--⌫---⌫-|
les oixantie s me leqatre uinsiesme lecentiesmelemilliesme	-|-⌫--------⌫-⌫-|-|-----⌫--------|-|--------|-|--------|
Ets ç ac hezque deux	-|-⌫--⌫--⌫--|--|---|
poeteuinesfontunmaille et deuxm ailles	---------|---|-|-----|-|---|-⌫-----|
fontundenieret quatredeniers	---|-|-----|-|-----|------|
fontu ngros	---|-⌫|---|
blanc ettroisblansfo ntu n souldeet	----|-|----|----|--⌫-|-⌫|-----|-|
troissouldesenglois font un	----|------|------|---|-|
franc et unf ran cetungrosblancfont	----|-|-|-⌫---⌫|-|-|---|----|---|
unescuet deux escus f ont un	-|---|-|---|----|-⌫--|-|
noblee tdeux noblesfontu ne mar c	----|-⌫|---|-----|---|-⌫-|---⌫|
etunemarcetdemy	-|--|---|-|---|
fontune li ured	---|--|--⌫--||
Angli terreetainsy	-----⌫----|-|----|
serront r ebatu z	------|-⌫-----⌫|
Maint e nantparlons de	-----⌫-⌫---|------|-|
pluscomm unsnom s des cho ses	---|----⌫--|---⌫|--|---⌫--|
etcomençons	-|---------|
M on pere ma mere	-⌫-|---|-|---|
masoiermon fi l z	-|----|--|--⌫-⌫|
mafille mon	-|----|--|
aielmaai e llem onuncle ma antem o nm arima	---|-|--⌫-⌫--|-⌫-|----|-|---|-⌫-⌫|-⌫--|-|
femmeespouseemon compai gnonma compaign e monamy mamye	----|-------|--|------⌫---|-|--------⌫|--|--||---|
monseig neurmadame	--|----⌫---|-|---|
E tains i di tez	-⌫|----⌫|--⌫--|
Aut rema niere	---⌫-|--⌫----|
de parler un	-|-----|-|
hom meunefe m meunenfant	---⌫-|--|--⌫-⌫-|-|-----|
une pucell eun garçonunegarseun	--|------⌫|-|------|--|----|-|
ualt onun uale t	----⌫-|-|----⌫|
unechamberi ereun pro udhommeuneproude f emmeun	--|--------⌫--|-|---⌫-|----|--|-----|-⌫---|-|
r ibaudune	-⌫----|--|
ribaudeunmaquerelunem aque relleun	------|-|-------|--|-⌫----⌫----|-|
putierun eput aigne un	-----|--⌫|---⌫----|-|
uilleinun e uilleine	------|--⌫|-------|
Unemperour un e empere ss e	-|-------|--⌫|------⌫--⌫|
un royuneroigneun	-|--|--|-----|-|
pr inc e une pri ncesseundu cune duces se un	--⌫---⌫|--|---⌫-----|-|--⌫|--|-----⌫-|-|
conteunecontesseu n uiconteuneuicon tesse	----|--|-------|-⌫|------|--|-----⌫----|
une baronesseunchiuailier	--|--------|-|---------|
unechiuaili eresseunescuier uneescu i eresseundam oiselune	--|--------⌫-----|-|------|--|----⌫-⌫-----|-|---⌫----|--|
da moiselleun uarlet	--⌫-------|-|-----|
une moilere un	--|------|-|
laronune larroness e u n	----|--|---------⌫|-⌫|
sorcieru nesorcieresseu n	------|-⌫-|----------|-⌫|
murdreunemur d riere	-----|--|---⌫-⌫----|
Pa peu npatriarchun	--⌫-|-⌫|--------|-|
cardinalun arceuesqueuneuesqueun	-------|-|---------|-|------|-|
a rce diacreun c uré	-⌫---⌫-----|-|-⌫---|
un prestreunch apelainuncl ercun moigne	-|------|-|--⌫------|-|--⌫--|-|-----|
une no nai neunchanoine	--|--⌫---⌫-|-|-------|
un fre reun religious unseculierun	-|---⌫-|-|--------|-|-------|-|
abb e ́une	---⌫-⌫|--|
abbes seunprie urun e	-----⌫-|-|----⌫-|--⌫|
pri euresse uni aco binuncordelerunfrerede carmeun	---⌫------|-|-⌫---⌫--|-|-------|-|----|-|----|-|
au gu stin	--⌫--⌫---|
Unch iualun	-|--⌫---|-|
i ument unt orel	-⌫----|-|-⌫---|
un be ufunueelun sengli erunetru ye	-|--⌫-|-|---|-|------⌫-|--|---⌫-|
unporcunp or celuncuilartune	-|---|-|-⌫--⌫--|-|------|--|
br ebi sunm oto n un aignelu ncogunegelline	--⌫---⌫|-|-⌫---⌫|-|-----|-⌫|--|--|------|
unoef unp oucinungarsune	-|--|-|-⌫----|-|---|--|
oueuncanardunec aneune coulonunepigo nun	--|-|-----|--|-⌫--|--|-----|--|----⌫|-|
o uayselune besteun	-⌫-----|--|----|-|
chienu ne bicheunlieurunelieu rerun ratun	----|-⌫-|----|-|----|--|----⌫--|-|--|-|
c hatune sourisun poilunpuche une	-⌫--|--|-----|-|---|-|----|--|
moucheu ncrepoudunserpent	-----|-⌫|------|-|------|
unlisardun uer	-|-----|-|--|
M onchapron macor nett e maro bemes	-⌫-|------|-|---⌫----⌫|-|--⌫-|--|
drapsm achemisemama nchemon c hapel m aba rrette mon	----|-⌫|------|-|--⌫---|--|-⌫----|-⌫|--⌫-----|--|
gar dcorpsmon	---⌫-----|--|
purpointmahopelande monman telmon	-------|-|--------|--|---⌫--|--|
boton m e sbraies	----|-⌫-⌫|-----|
machausemes s o ule rs	-|-----|--|-⌫-⌫---⌫-|
mesgansmespo lainesmesh osiale mes	--|---|--|--⌫-----|--|-⌫-----|--|
esperonsm asemellemasainturemon e speema lance	-------|-⌫|------|-|-------|--|-⌫---|-|----|
monarcma flechema settemonbas lardm on	--|--|-|-----|-|----|--|---⌫---|-⌫-|
litm esli nc ialzma	--|-⌫-|--⌫--⌫---|-|
maisonm achambre	-----|-⌫|------|
Monchief mateste	--|----|-|----|
magreue mes	-|----|--|
ch euelzm o n h an apelmonc eruil maceruellemon	--⌫----|-⌫-⌫|-⌫--⌫---|--|-⌫----|-|-------|--|
haterelmestemplesm on frontmessurcilzmes y eu xmes	------|--|------|-⌫-|----|--|------|--|-⌫--⌫|--|
c ilzlachasiemaprune l lemes pal pebres	-⌫--|-|-----|-|-----⌫-⌫-|--|---⌫-----|
monr e gartmaueu emon	--|-⌫-⌫---|-|---⌫|--|
morua t monnesemesleuresmonpaletma le ngue	-----⌫|--|---|--|-----|--|----|-|--⌫---|
mesm axilie r s monmentonma	--|-⌫------⌫-⌫|--|-----|-|
barbe moncoul	----|--|---|
mesnerfsmagorgemesgenciuesmagargatte moncuer	--|----|-|----|--|-------|-|-------|--|---|
monpoulmon	--|------|
mafaiemo n	-|---|--⌫|
rat temesb oialzmonala i nem onpa rl ermapoetrinemes	---⌫-|--|-⌫----|--|---⌫-⌫-|-⌫-|--⌫--⌫-|-|-------|--|
mamillesmon uentremonnombrilmon	-------|--|-----|--|------|--|
penilmon uit mescoillonsmaconne	----|--|--|--|-------|-|----|
me scuisse smes genousma	--⌫|------⌫|--|-----|-|
iambemonmo uelm acheuilma	----|--|--⌫--|-⌫|-----|-|
souris mon piémonortoi llemonong le ma	-----|--|---|--|-----⌫--|--|---⌫-|-|
plantemontalonmonculm esfes ses mondors ma	-----|--|----|--|--|-⌫-|---⌫--|--|---|-|
eschin emon	------⌫|--|
cote macot eemonesp au lemon	---|-|---⌫-|--|---⌫--⌫-|--|
blesso n mon brasma coudem amain	------⌫|--|---|-|----|-⌫|---|
mapoignee maialainemon	-|------|-|------|--|
poucemonnellemon doit	----|--|----|--|---|
Le cheminlaruelapais la uille	-|-----|-|--|-|---|-|----|
lechampe le boisle presla	-|-----|-|---|-|---|-|
arbrelaherbele blélefeingleionc	----|-|----|-|---|-|----|-|---|
la foerrelefe u	-|-----|-|--⌫|
tincellelamerelate rre leaierleu en t	-------|-|---|-|--⌫--|-|---|-|-⌫--⌫|
lesnueslefou ldre la	--|---|-|---⌫---|-|
tonerre lalunelesoulail l e sestoilles	------|-|---|-|------|-⌫-⌫|--------|
Dieuxled iabl e paradis	----|-|-⌫----⌫|------|
enferreioie paine	------|---|----|
Fourment s egleor geauoinefeues p oisfruit pom ep oire	-------|-⌫---|--⌫-|-----|----|-⌫--|----|---⌫|-⌫---|
noispainuin seruoiseletmegue beure	---|---|--|-------|--|----|----|
char poissonorargentplom	---|------|-|-----|---|
est aing fe ra cier cuiurearaine la ton	---⌫---|--⌫|-⌫---|-----|-----|--⌫--|
Bon malgrand	--|--|----|
petithaultbassainma lade clerorbe barboil lébel	----|----|--|---|--⌫---|---|---|-------⌫--|--|
la itlongcourtna uréguelririche	--⌫-|---|----|--⌫---|-----|----|
pour eplain uuydecrasmeger fressa lé dou lxamer egre	----⌫|----|----|---|----|---|--⌫--|---⌫-|---|---|
atrampéb l ancnoi rrougep ers uert gris uerm ailbrun	-------|-⌫-⌫--|---⌫|----|-⌫--|---|---|----⌫--|---|
ch autfroitmoillése chardicouartcouroucé	--⌫--|----|------|--⌫|----|-----|--------|
lee chierabonmarch ésaige	--|----||--|-----⌫-|----|
Ie t ucil nous uousceux moytoy	-|-⌫|--|---|---|---|--|--|
soymete se	--|-|-|-|
ci lceulxoucilz	--⌫|----|-|---|
cellecelles	----|-----|
ililsoueulx	-|--|-|---|
elle ellesceo u	---|----|-|-⌫|
cesteslaleles mon mamesto n ta t es	-----|-|-|--|--|-|--|--⌫|-|-⌫-|
sonsasesnost re	--|-|--|----⌫-|
no u suostreuousleur	--⌫-⌫|-----|---|---|
mesmesmi en mien smienne mi ennestient iens	-----|--⌫-|----⌫|-----|--⌫----|---|-⌫---|
tiennet ie nne ssiensienssienne	-----|-⌫--⌫---⌫|---|----|-----|
Susiusauantar riereencoste ́au	--|--|----|--⌫----|-|-----⌫|-|
borten haultenba sciensliens	---|-|----|-|--⌫|----|----|
dedensdehorsdeça deillequesdelaloingpre s	-----|-----|----|-|-------|-|-|----|---⌫|
y cyil lequeslaça parça par l a	-⌫-|--⌫-----|-|--|--|--|--|-⌫|
p arc y sus s ou bzdesusdesoubzpar desus par	-⌫-|-⌫|--|-⌫--⌫-|----|------|--|----|--|
desou bz o ultrepa rmyiu sques	-----⌫-|-⌫----|--⌫--|--⌫----|
auquesautour	-----|-----|
toutenuiron aileursa nuyt huy	---|------|------|-⌫---|--|
mai nt en antnagui eresp ieça ie rdemainmeso uendo res enauant	---⌫--⌫--⌫--|-----⌫---|-⌫----|--⌫|-----|----⌫--||-⌫--|-|----|
formi ent b elcoupedefoisonquesmais ia iamaistourio ursa	-----⌫--|-⌫------|-----|-----|---|-|-|---|------⌫--||
t ousio urs maisunefoisdeulx	-⌫-----⌫--|---|--|---|----|
trois foisne	----|---|-|
nem y nonouyuoiredonquesdenaprés	---⌫|--|--|----|------|--------|
coment combi e n purquoy ap e rtementbell e me ntsaigementsot ementb onne men t mauu eisementet	-----|-----⌫-⌫|------|--⌫-⌫------|----⌫-⌫--⌫-|--------|---⌫----|-⌫----⌫---⌫|----⌫-------|-|
ainsidesa ultres	----|--|-⌫-----|
Aultre manierdelangua ge pourdemand er	-----|-----|-|------⌫-|---|------⌫-|
le droitchemin	-|----|-----|
Dieuuou sdoint	---|---⌫|----|
Dieuuousdoint	---|---|----|
boniour e t	--|---|-⌫|
bon estra ine	--|-----⌫--|
Oubonsanté	-|--|-----|
dointbonne z	----|-----⌫|
Sireuoussoi ezle bienuenu	---|---|---⌫-|-|---|---|
Dieu uousauantbon amy	---|---|----|--|--|
Dieuuousgarde demal m amye	---|---|----|-|--||---|
Quelle heure est i l d eiour	-----|----|--|-⌫|-⌫|---|
Quantezheures est il	------|-----|--|-|
Entresixetsept	----|--|-|---|
Combiendecy a	------|---||
DouseliauesouauquesAilbelchemyn	----|-----|-|-----||-|--|-----|
Dieumaide ntrede ux	---||--|-⌫---|--⌫-|
L e che mynestildroi t	-⌫|---⌫--|--|-|----⌫|
Dieum aiddeuxsire nemyestilbie n	---||--|---|---|---|--|-|---⌫|
Etd itezquantez	-|-⌫---|------|
liau es ailde cy la	----⌫-||-|--⌫-|-|
Ie uousd idouseou entour	-|---|-⌫|----|-|-----|
Estilassésseu rdela rons	--|-|-----|---⌫|-|--⌫---|
Dieux sirenemy	----|---|---|
I l ye ut de sge nsrobbésmaintenant	-⌫||-⌫-|--⌫|--⌫-|------|---------|
uoiresireura yement	----|---|---⌫-----|
Dit ezmoy lenomdeces teuille	---⌫-|--|-|--|-|---⌫-|----|
Sirecest uile e st appell é	---|---|---|-⌫-|------⌫-|
Windess o re	-------⌫-⌫-|
Etquiestseigneu r d	-|--|--|-------⌫||
Ditez oudemoureilmaintenant	----|-|------|-|---------|
Etla dameou	-|-|---|-|
demo ure elle	----⌫--|---|
Ditezsafille estellem ariee	----|-|----|--|---|-⌫----|
Nanyls ireparDé	----|-⌫--|--|--|
Ditezmoy auons	----|--|----|
nou sassésdu	---⌫|-----|-|
iouriusquesla	---|------|-|
Sireil uousfaultch e minerou cheuaucher f or t	---|-|---|----|--⌫-⌫----|-|---------|-⌫--⌫|
Lechemynest ilassésseur	-|-----|--|-|-----|---|
uoir s ireuouspouez passerass e ́sbienAil po int	---|-⌫--|---|----|-----|---⌫-⌫-|---||-|--⌫--|
deslaro ns	--|----⌫-|
Certezs irenous	-----|-⌫--|---|
neouy smede nulle	-|---⌫--|-|----|
Etaquellemain	-||-----|---|
tendrey ie	------|-|
Te nez ala	--⌫--||-|
droite m ain e tdon que sto urné sa	-----|-⌫--|-⌫|---⌫---⌫|--⌫-----⌫||
lap otemain etdonquestout	-|-⌫--|---|-|------|---|
find r oi t	--|-⌫-⌫--⌫|
Dieuuous auant	---|---|----|
Sirebo n n eauenturea i ezuous	---|--⌫-⌫-⌫|-------|-⌫-⌫-|---|
Ale zachater	---⌫|------|
nos tred iner	---⌫--|-⌫---|
Ilserrafa itmainte nant	-|----|--⌫-|------⌫---|
Que estlad roite uoie uers	--|--|-|-⌫----|---|---|
Canterbers	---------|
Ditezailpointdu	----||-|----|-|
perildes larr ons	----|--|----⌫--|
Etparoupur reyie	-|--|-|---⌫--|-|
p assers auuement	-⌫----|-⌫-------|
Sirei lestasséssaufpar iourmais	---|-⌫|--|-----|---|--|---|---|
en cont relanuytil est	--⌫----⌫-|-|---|-|--|
Pourceattendeziusq uesade main	---|-|-------|----⌫--||--⌫---|
Etdonques no usdeiuneronsensemble	-|------|--⌫-|---------|-------|
Etqu antuouschoses	-|--⌫--|---|-----|
seronta ccom pliez donques uous	-----|-⌫----⌫----|------|---|
u ousdespartirez demoy	-⌫--|----------|-|--|
dointbonnecheuauché	----|----|---------|
et uousencroisse	-|---|--------|
enuozma rchandis ez	-|--|--⌫--------⌫-|
Alez auantenuostrechemynque	---|----|-|-----|-----|--|
uous pui ssez ue nir a uo st reherba geqar	---|---⌫---|--⌫--||--⌫--⌫-|-----⌫-|--|
ilconuientqueuousuoush a stez	-|-------|--|---|---|-⌫-⌫---|
Dieuu ousd ointbonne au entu re	---|-⌫--|-⌫---|----|--⌫----⌫-|
et u ousenc roissees h on neurs et uous	-|-⌫--|---⌫-----|-|-⌫--⌫----|-|---|
doi nttielleuieamanier	---⌫-|-----|--||-----|
queluyen soi t	--|--|-|---⌫|
satresdoulcemere	-|---------|---|
Dieu po ursagrande grace	---|--⌫-|-|-----|----|
Autrema nierdelangua ge	----|--⌫---|-|------⌫-|
ap a rlerdesbourdeuse tde	|-⌫-⌫---|--|-------|-⌫|-|
truf ese ttensons	----⌫-|-⌫|------|
Mauuais eribau d uous m e ntez	-------⌫|-----⌫|---|-⌫-⌫---|
Al ezribaud uo uspend re	--⌫-|-----|--⌫-|----⌫-|
Ri bauduousestezdigned estr eperdu	--⌫---|---|----|----||----⌫|----|
Alezdecyse ngle nt filz	---|---|--⌫----⌫-|---|
de putaigne	-|-------|
Certezpa ilarduousne es chiuereziamais	-----|--⌫----|---|-|--⌫-------|-----|
Ga rçon u ousleachetrez	--⌫----|-⌫--|-|-------|
Ribaud uousbaserezm oncuel	-----|---|------|-⌫-|---|
ua ribaudl e diable u ousconfonde	-|-----|-⌫|-----|-⌫--|-------|
Pail ard i e serreybie n	----⌫--|-⌫|-----|---⌫|
uengé deuous	-----|-|---|
Dit ezdam oise lle pa rlezamoy	---⌫-|---⌫----⌫--|--⌫---||--|
Damoisel l eoudemourez uous	--------⌫-⌫|-|-------|---|
uoullezestre ref ete	------|----|---⌫--|
Ieuousayu eu ai leur s	-|---|-|-⌫-|--⌫----⌫|
Dite zmoyquee stuostr enom	----⌫|--|--|-⌫-|-----⌫|--|
Damo iselle uuillezuousal erouesq u emoy et	----⌫-----|------|---|--⌫-|-----⌫-⌫|--|-|
uous serrezmamye	---|-----||---|
donnere y iepour est r em amye	-------⌫|-|---|---⌫-⌫||---|
Damoi selle ditezenbonn e	-----⌫----|----|-|----⌫|
C e rtezuous ne auerez plu spour moy	-⌫-⌫---|---|-|-----|---⌫|---|--|
uaribaudettepens	-|-----|-|-|---|
Tumensfaulzuillein	-|---|----|------|
Paillarduo usne eschiue rez i a	-------|--⌫-|-|-------⌫--|-⌫|
G arçon uadecyau deab le	-⌫-----|-|---|-|----⌫-|
Ale zribaudque	---⌫|-----|--|
met enmalan	--|-|--|-|
auer asmaleauent ure	----⌫-|---|-----⌫--|
uilleinuousmentezetuousleach e terez	------|---|-----|-|---|-|---⌫-⌫----|
R ibaudtu auer aslehaultgibet	-⌫----|-|----⌫-|-|----|----|
Gar çontusera stuédema lem ort	---⌫---|-|----⌫|---|-|--⌫-|-⌫--|
Pai lardalezhorsdema	---⌫---|---|---|-|-|
uadecy uille	-|---|----|
puantpailla rd	----|------⌫-|
Ribaud uousbase rezle	-----|---|----⌫--|-|
cul aude able	--|-|--⌫---|
Larronuousfuisse zdig ne	-----|---|------⌫|---⌫-|
d estre pendu	|----|----|
ua teenata putai gnede	-|-|-||-|-----⌫--|-|
partlediab le	---|-|----⌫-|
quar uo usestez	---|--⌫-|----|
biencuill ezensemb l e	---|-----⌫-|------⌫-⌫|
Garço un demo y t uneaueras	------⌫-|-|--⌫|-⌫|-|-----|
Ribaudtumeasmal serui et	-----|-|-|-|--|----|-|
ce teser ra bienac quité	-|-|---⌫-|---|--⌫-----|
Pailardie serrey bienu eng édet oyuille	------|-|-----|---|-⌫---⌫-|-|-⌫-|----|
t aigneusquetues	-⌫------|--|-|-|
Aultre manieredelang uagep ou r parler ausdames	-----|------|-|----⌫---|-⌫--⌫|-----|--|----|
etausdamoisell es	-|--|---------⌫-|
Dieuuousgarde	---|---|----|
Dieu soitouéuous	---|---|---|---|
dointbonuespres	----|--|------|
Dam euoussoiez	---⌫|---|----|
labienuenue	-|---|----|
Die uuousdointbonneauenture	---⌫|---|----|----|-------|
Dameuo ussoiez bien encon tr e e	---|--⌫-|----|---|-----⌫--⌫-⌫|
Dame c omentu ousest il	---|-⌫----|-⌫--|--|-|
Biensirea uostre comma ndement merciéso i t	---|---||-----|-----⌫------|------|--⌫-⌫|
Et come ntle faituos tremaistre	-|----⌫-|-|---|---⌫--|------|
Biensirequeb ienaiezu ous louésoit	---|---|--|-⌫--|---|-⌫--|----|---|
Aue z uousesté bien aise dame	---⌫|---|----|---|---|---|
uoiresirelauostre mercy	----|---|-|-----|----|
Dame ben oitsoit	---|---⌫--|---|
Dontuenezuous	---|----|---|
Sir eie o u enke de	---⌫|--⌫|-⌫---|-|
Dameuuillezu ousri enque	---|------|-⌫--|--⌫-|--|
iepuissefaire	-|-----|----|
Oil si remoltlau ostre mercy	--|--⌫-|---|-|-⌫----|----|
Dame uouslemecomandere z	---|---|-|-|---------⌫|
Damenostre	---|-----|
Si resoitgardiendeuous	--⌫-|---|------|-|---|
Die uuo usconduye	---⌫|--⌫-|------|
Damoisellereposezuousbien	---------|------|---|---|
Siregrandeioie	---|-----|---|
uousd oint	---|-⌫---|
Damoiselleb iensoi ezuou strouuez	---------|-⌫--|---⌫-|---⌫|------|
Oufustezuousnee	-|-----|---|--|
Ditez mo yqueest uo stre	----|--⌫|--|--|--⌫---|
Damo i sell eou demou rez	----⌫-⌫----⌫|-|-----⌫--|
Ditez ou serrés	----|-|------|
uoustrouuez	---|------|
Damoisellenaue ́suou s point nulamy	---------||---⌫-|---⌫|----|--|--|
uoulezuo usestre mamy e	-----|--⌫-|----||---⌫|
