en un iorgedepresseizde	-|-|--|-|---------|-|
fait ceke iecideuant aimis car cant	---|-|-|-|-|-----|-|--|--|---|
nos nauionspluslon zianeu eo nsnos	--|------|---|---⌫|-|-|-⌫--⌫-|--|
paslop ort	--|-|-⌫--|
de repos cuinoslaissi éta uons.	-|----|--|--|------⌫--|-⌫---||
aoisementde mondolorceesta ioint kela uie	--------|-|--|----|-|--|-⌫----|-|-|--|
desalca nz kilop re sent	--|----⌫-|-|-|-⌫--⌫---|
s ecledetote lurpensedeguerp irenta m emoi rea	-⌫---|-|---|--|----|-------⌫----||-⌫----⌫-||
moies trapeleie.	--|--⌫|-------||
lahaltece des q ueiz	-|------|--|-⌫---|
c ant ieregarde	-⌫--|-|------|
si conoisc om bien ge	-|-----|-⌫-|---|-|
meismesgisentre sbassesc hoses.	------|--|-|---⌫|-----|-⌫----||
des lipluisorenplus secreie uie	--|-|------|-|---|------|--|
pla urentalur faite orli que il parkeil	---⌫----||--|-----⌫-|-|---⌫-|--|-|-|
pa rleshumainsfaiz ne uieziroientd ela	--⌫|--|------|---|-|----------|-⌫|-|
nouele riedelurpense s i neuoltlitotpoissanzdeus	------⌫--|-|--|----|-⌫|-|---|-|----------|---|
i cea zestre	-⌫---⌫|----|
occupeizdes traualz d ecest	-------|--|------|-⌫|---|
m ais ia lesch o seskiparleies sunt miezdemo ster raise	-⌫--|-|--|--⌫-⌫--|-|-------|---|---|----⌫----⌫--|-|
geleschoses ki sont ditespardemandise	-|--|-----|-|---|----|--|--------|
et parresponsiondeuiseparlo souldeuant	-|--|---------|-----|--|-|---|-----|
escrisemen tdesnons.	----------⌫|--|---||
ge neconupas enitailelauiedes	-|-|---|--|-|-----|-|--|--|
alcanzmultauoirlu isit de ue rtuz	-----|---|----|--⌫---|-|--⌫---|
gieresdecui comp arement tu esespr is	-----|-|--|----⌫------|-|-|----⌫-|
genon sai.	-|--|--||
etcertesie	-|-----|-|
ne dotepasbuens hommes	-|---|--|----|-----|
auoiresteitne kedentensengesetuertuzquideiedeaz	----|-----|--⌫-----|-------|-|-----|----|-||--|
u n ient estre fait es ue les so nt io skesaor	|-⌫---|----|----⌫-||-⌫--|--⌫-|--⌫---||-|
ensiparsilencetau eske	---|--|------|---⌫-|-|
nosnesauonsse elesfaitessont	--|-|-----|-|---|-----|---|
se gesoule sles	-|-|-----⌫|--|
ch ose spieresreconte cuig euns des	--⌫---⌫|-----|------|--|-⌫|--|--|
pa rf izet d esa loseiz	--⌫--⌫-|-|-⌫-|-⌫-----|
hommesaiconuesu tesmonianzle s	-----|-|-----||---------|--⌫|
bonsetl es	---|-|-⌫-|
feozhommesu cui	---|-----||--|
geaprispar moi	-|----|--|--|
meismesalsicomge ha ismeliiorsc ess erata nzoiske	------|---|--|-|--⌫---|-|---|-⌫---⌫---|-⌫------|
liser mons	-|---⌫---|
ge uolroike	-|-----|-|
turacon tassesa	-|-----⌫-----||
m oidemandant deazalcuneschoses	-⌫-|--------||--|------|-----|
etporcest ec hoseneto i s emble pesa n z ch ose	-|--|----⌫|-⌫---|-|--⌫|-⌫----|----⌫-⌫|--⌫--|
entrerumprelestuidede	----------||------|-|
lesposition	|---------|
carnient dessem blanzed ifications	--|----|------⌫----|--⌫---------|
naistdela ramenbrance	----|-|-|----------|
de su e rtuz.	--⌫|-⌫-⌫---||
l espo si ti onconoistlo m comentlom	|----⌫--⌫--⌫-|------|--⌫|-----|--|
doittroueirettenirlauertut	---|------|-|----|-|-----|
loraconteme ntdes signesconissonsnos	-|---------⌫-|--|-----|--------|--|
c oment la uertuz troueieetrete nue soi	-⌫----|-|-----|------|-|----⌫--|--|
demostret.	--------||
etsont lia lcantcu iplusen s prendent	-|---|-|-⌫----|--⌫|---|--⌫-⌫-------|
lie xempleal am o r d el	-|-⌫-----|||--⌫-⌫|-⌫-|
celestepais ke lipreeche ment .	------|---|-|-|-------⌫---||
etfaitees t a	-|----|--⌫||
l a foiz dobl eaiuedes exemplesdesperesel corage	-⌫|---|----⌫|---|--|-------|--|----|-|-----|
deloantcar se ilest	--|---|--|-|-|--|
esprisalamordelaui ekiest	-----|||---|-|-|--⌫|-|--|
auenirdelcomparement d esdeuant alanzmeismes s e	|----|--|----------|-⌫-|-----|----|------|-⌫|
quidetestrealcunechosequantilco no istmieldr es	-----|----|-----|----|----|-|--⌫--⌫--|------⌫-|
choses desaltressien es thumiliez	-----|--|-----|-|-|--⌫|-------|
cez choses cuiieaipa rceues parlo	--|-----|--|-|-|--⌫-----|--|-|
raconte ment des	-------⌫---|--|
hono rab les b aron s ie lesraconte	----⌫---⌫--|-⌫----⌫|-|--|------|
se nzdotance parlexemp ledel a s aint eauctoriteitq uant	--⌫-|------|--||-----⌫-|-|-⌫|-⌫----⌫|----------|-⌫---|
ceestatamoiplus cleirke lalumiere ke	-|----||--|---|----|-|-|------|-|
marcusetl ucas	-----|-|-⌫---|
n aprisentp asparueuema is paroie	|-------|-⌫-|--|---|--⌫-|--|--|
leua ngile cuiilde scrissent .	|---⌫----|--|-|--⌫--------||
maisparkeie az lisanzsostraie	---|--|-|-|-|-----|-------|
l oc hisondedotance parchascunesc hoses	|--⌫----|-|------|--|--------|-⌫----|
cui gedesc rira i parqueizauctor s	--|-|----⌫----⌫|--|----|------⌫|
les aipar ce ues manifes te rai.	--|-|---⌫--⌫--|-------⌫--⌫--||
maiscet o iconuoiteges auo irkei ee nalcunes	---|-|-⌫-⌫|-------|-|-⌫---⌫-|-|-⌫|-⌫|------|
chosestan solem entl osensenalcun eschoseset	-----|--|-----⌫--|-⌫|---|-|-----⌫-|-----|-|
lesparol es tiengau oc losens	--|-----⌫-|----|--⌫-|-|---|
de totesperso nes	-|----|-----⌫--|
specialme nt etlesparole suolsissetenir celes raconteies	---------⌫-|-|--|------⌫|-------|----|----|---------|
paruilain usnereceueroitpasco uena blemen tli	--|-----|-|-|---------|--|--⌫----⌫------⌫|-|
grefesdel e scri sant.	-----|-||-⌫----⌫---||
geaiaprispar	-|-|----|--|
loracontementde mult honorablesuielha rsce ke ieraconte	-|----------|-|---|---------|------⌫-|-|-|-|------|
il futuneuile	-|--|--|---|
uena ntiikiiadisfutpatric ese scontreiesdesamnii	----⌫---|-|----|--|------⌫-|-⌫|--------|-|-----|
en la queileui les esahanei resot	-|-|-----|--⌫-|-⌫-|------⌫--|-|
un filhhonoreitparnomkidesenfantilz ans	-|---|-------|--|--|-|--|--------|--|
arstparabstinence al amor delceleste pais.	---|--|---------|||---|--|------|---||
etquantilualoit d e sigrande	-|----|-|-----|-⌫|-|-----|
conuersationetsoi ia	-----------|-|--|-|
restraind oitmeismesdo isouseparole etmu ltsa	---------⌫--|------||-⌫-----|-----|-|--⌫-|-|
chardo ntoit parabsti nence	---|--⌫----|--|-----⌫----|
alsi comgeci de uantaipar l eit	---|--|-|-|--⌫---|-|---⌫-⌫--|
enunior ses peireset same re	-|-|--|--|-----|-|-|--⌫-|
fisentu nconu iue alur uois in se lque ilconuiue	-----|-⌫|----⌫--||--|----⌫--⌫|-⌫|---⌫-|------|
chars astoi tappareilhieamangier.	----|-----⌫|----------||------||
l aqueil e charquanticil	-⌫|-----⌫|---|----|---|
refus oit at och ieramangie rporl amorde	-----⌫--|--⌫---⌫--||------⌫|--||---|-|
labstinenc e dunkes lo com encie r ent	|---------⌫|-----|-|---⌫-----⌫-⌫--|
se speres etsa	--⌫|----|-|-|
mere a eschernir	---||--------|
aporteronsnosdunkes atoipeisson s en	---------|--|-----||--|-------⌫|-|
et enic elliu	-|-|--⌫-|--|
soloien tli	-------⌫|-|
peisso n es treoitnient ueu t.	------⌫|--⌫--|--|----|---⌫||
mais q uanthono rei z as toiteschernizde cez paro lesmanes	---|-⌫---|----⌫---⌫|--⌫---|--------|-|--|----⌫--|----|
el con ui u edefal itaiguealserui se	-|---⌫--⌫-⌫|-----⌫-|----|-|-----⌫-|
etuns serianzauocu nesel ge defu stalsi	-|--|------|---|-⌫-|---⌫-|-|--⌫-|---|
comilokes estc onstumesenalata	--|-----|--|-⌫------||-|---||
la fontaine .	-|-------||
et quant il puisieuetl	-|----|-|--------||
entra t uns peissonsenl aselge.	-----⌫|--|-------|-|-⌫|----||
etretorneiz	-|--------|
li serianz de u antlesbochesdess eanzun	-|------|--⌫-⌫--|--|-----|--|-⌫---|-|
peissonespan ditauocl aigu ekial	------|-----⌫--|---||----⌫|-|-|
totloiorahonoreitpo i s t est rea ssei z.	--|-|--||-------|--⌫-⌫-⌫|---⌫-|-⌫----⌫||
tr estotsoiet tozicile schernissemen z	--⌫----|--|-|--|---|-⌫-------------⌫|
deso n p ereet desamerecess at .	-|--⌫|-⌫--|-|-|-|---|----⌫-||
comencierentenhonoreitmeruilhie r	-----------|-|-------|---------⌫|
l abs tinence cuiilanzois degabeuen t.	|---⌫------|--|-|-----|---------⌫||
etensi t erst	-|---|-⌫---|
omm ed edeul eslaidenges deleschernissement	---⌫|-⌫|--|-⌫-|--------|-||--------------|
lipeis s on s delmont.	-|----⌫-⌫--⌫|--|---||
l i que iz	-⌫|---⌫-|
c antilcreissoi t degra ndes	-⌫--|-|--------⌫|-|---⌫---|
uertuzde sondeuan t ditsanior	-----|-|--|-----⌫|--|-----|
prist ilendonl afranchisesi es torat en	----|-|-|--|-⌫|--------|-|--⌫----|-|
icelli ukiestdizfundizune	---|--⌫|-|--|--|-----|--|
abieencuiilestiut	---|-|--|-|-----|
peresa naisesdedousc enzm oineset l adonat	----|-⌫-----|-|---|-⌫--|-⌫----|-|-⌫|----|
lauie de cel uidune	-|--|-|---⌫-||--|
partetd altre	---|-||----|
exemp les de multha lte	-----⌫--|-|---|--⌫--|
conuers ation.	-------⌫----||
mon tencui sesmonstiersde ssoureapeirten	---⌫|-|--|--|--------|--⌫-----|-----|-|
haltun s faisdunegrande pi err e	---|--⌫|---||--|-----|--⌫---⌫|
rum pitforski uen anz	---⌫--|---|-|---⌫--|
parlo pendantdelm ont	--|-|------|--|-⌫--|
m anec ieuet trebuchementdetotelac ele	-⌫----⌫----|-----------|-|---|-|-⌫--|
de tozlesfreres.	-|--|--|-----||
lo queilfaisde dessoure uenan tquan tlis ai nz	-|----|---|-|-------|-----⌫|----⌫|-|-⌫--⌫-|
hom otueut il apelanzpar souenti ne	--|-|---|-|------|--|-------⌫-|
u oizlonomde	-⌫--|-|--|-|
cristenhelement esten ditsadest re simist encontreluil	----|---------|-----⌫--|-|----⌫-|-|---|-------|--||
la croizetsifichat	-|----|-|-|-----|
c elmeismef aisch eant	-⌫-|-----|-⌫--|--⌫---|
enmeismelo leiz de l mont pe n dant al si	-|-----|-|---|--⌫|---|--⌫-⌫---|--⌫-|
comdi stl auren zlirel igio u shom.	--|--⌫-|-⌫-----⌫|-|---⌫----⌫-⌫|--||
etpartant keliusn iastoitpasen	-|--|---|-|---|||-----|--|-|
cu ilifais	--⌫|-|---|
poi st aherdre	---⌫-|------|
omlauoit ens i	-|-|---|---⌫|
nekedent keil ioske saor	-------|-|-|-----⌫||-|
aceazkiregardentlomontsemb letpendre ac heir	|---|-|--------|-|---|----⌫--|-----||-⌫---|
quidonsno scilz sinobles	------|--⌫|---|-|-----|
beirotil promiers maistrekeil e nap res fut	---|-|-|-------|------|-|-|-⌫|--⌫--|--|
maistresde d isciples	-------|-|-⌫-------|
ge n oi pascestui auoiresteit disciple dalcunui	-||-|--|-----|----|-----|-------||------|
maislidonsde lsaint espirnest	---|-|---|--⌫|----|----||--|
pasconstrainz	--|---------|
c ert esusagesestdedroite conuersation ke	-⌫---⌫-|-----|--|-|-----|-----------|-|
cilnose tpasestre dessourekin	--||---⌫|--|----|-------|-||
aurat ap ris estr edessuz	----|--⌫--|----⌫|-----|
et ciln ec omandetpa sobedienceazsogez laquei le	-|--|-⌫|-⌫------|--⌫|--------|-|----|-|----⌫-|
il n econutpasdoneiraz pre laz .	-|-⌫|----|--|-----|-|---⌫--||
maisne kedent	---|--⌫-----|
sont alafoie ki parm eilo	---||-|---|-|----⌫-|-|
magisteire de lespir par deuenz e nsisontapriske	---------|-||----|--|-----|-⌫--|---|----|-|
cekedefo r s lurfailhetdiscip line d	-|-|----⌫-⌫|--|------|------⌫---||
umainem aistr i enekedent la droiture	-----|-⌫-----⌫-⌫|-------|-|-------|
del deuentrie nmaistre	--|---------⌫|------|
nelurfaltmie.	-|--|---|--||
la uoie nekedentde lur	-|---|-------|-|--|
franchisedese nfers	--------|--|-⌫----|
enexemple ned oit	-|------|-|-⌫--|
pasestretra it e	--|----|---⌫--⌫|
par kealcunsquan tilsoisembl anm entp resu me t	--|-|-----|----⌫|-|--|-----⌫---⌫--|-⌫----⌫--⌫|
e streraempl it del saintes pir	-⌫---|------⌫-|--|----|--⌫--|
ne despitete st re disciplesd al cunhommeets oitfaiz	-|-------|-⌫--⌫-|--------||--⌫--|----|-|-⌫--|---|
mais tresd	----⌫---||
mais la penseki estemplie d eldiuinespir ele	---|-|----|-|--|-----|-⌫-|----|----|--|
at t res aou erteme ntsesensengesceestcarite itet	-|-⌫--|---⌫------⌫-|--|-------|-|--|------⌫-|-|
humiliteit.	---------||
lesqueiles am b edous	--|------|--⌫-⌫----|
uertuzseelesenune	-----|-|---|-|--|
p e nse uinentensemb lecleir echosees tkelesd ela	-⌫-⌫--|-----|------⌫-|-----⌫|----|--⌫||---|-⌫|-|
p resencedel saintespirpo rtenttesm oin	-⌫------|--|----|----|--⌫----|----⌫--|
encor iohan s	----|-----⌫|
libaptiste snestpas liuz	-|--------⌫||--|--|---|
a uo ireutmaistre	-⌫--⌫-|--|------|
ne meisme lau eriteiz ki par corpora l prese nce	-|-----|-|-⌫------|-|--|-------⌫|-----⌫--|
apristles ap ostles e t l i	-----|--|--⌫-----|-⌫|-⌫|
sain zespirs l assemblaten tre	----⌫|-----||--------|--⌫--|
lesdisc iplescorp oralment.	--|----⌫----|----⌫-------||
ma iscuiildeuenzensengieuet	--⌫-|--|-|-----|----------|
ce luilaissatde forsal sicomensa franchi se.	--⌫--|------|--⌫---|--⌫-|--|-|-|-------⌫-||
e nsi mo yseselde sertensen giez	-⌫--|--⌫---|-|--⌫---|-----⌫---|
de la ngeleapri st locomandement	-||-⌫----|----⌫-|-|----------|
lo queil iln econutpasp armeih omme	-|----|-|-⌫|----|--|-⌫----|-⌫---|
mai s cez cho sesalsic om	---⌫|--|---⌫--|---|-⌫-|
deuant auons ditd esenfersdoi uent	-----|----|--|-⌫-|-----|---⌫---|
estrehonoreies nient	----|--------|----|
amoiplaistce	|--|-----|-|
maisiet oipro i	---|-|-⌫-|---⌫|
ketudies a moi se icizsi gra nzpeir es	-|-|---||--|-|---|-|---⌫-|----⌫-|
laissat alcun disciplesi wordeso i .	------|----|-------|--⌫--|-|--⌫||
re dotablesbeirs	--⌫-------|----|
libertinsk ielt ens loroi tot yle fut prouoz	--------|-⌫|-|-⌫--|-|--|---⌫--|--|-----|
decel emeis meabiefund ense	-|---⌫|----⌫-|---|----⌫---|
il conue rsat	-|-----⌫---|
el di scipulage decel u ietfu t nurri z.	-|--⌫--------|-|---⌫-⌫|-|--⌫|-----⌫||
de cu iiasoi t cekepluisors	-|--⌫|-|---⌫|-|-|-------|
uertu zcertainsracontemenzdes p luisor saitde puliétnekedentlaurenzli	-----⌫|-------|----------|--|-⌫------⌫|--|--⌫------|-------|------|-|
relig iousbeirskicideuantfutnomeizki or	-----⌫---|----|-|-|-----|--|-----|-|-|
uitet en cel meismetens a	--|-|-|--|-----|---||
lui futtrespriueizila constumatpluiso rs	--|--|---|------|-|-⌫--------|------⌫-|
choses amoidir e decelui desqueil escelesdont	-----||--|---⌫|-|----|--|-----⌫-|----|---|
mo isouient poi raco nterai.	--⌫|------|--|----⌫-----||
enc ele meismecontreiedesamnii	-|-⌫--|-----|-------|-|-----|
cu igecidessoure r am enbra icizmeismes	--⌫|-|-|-------|-⌫--⌫-----⌫|--|------|
beirslibertinsporl autiliteitdel ab ie	----|--------|--|-⌫|--------|-||--⌫-|
pren doit uoi e	----⌫---|---⌫|
etquantdaridali	-|----|-----|-|
duxdesgothes auocson ostdeu en ist encel	--|--|-----|---|--|--|---⌫--⌫--|-|--|
l iuliser sde	-⌫-|-|---⌫|-|
deu d e soncheual	--|-⌫|--|-----|
surcuiil seoit futi usg etteizdes	--|--|-|----|--|-⌫-|-⌫-----|--|
homesdecelu i .	----|-|----⌫||
li queiz uolentierssoffranz lo damage	-|----|---------|-------|-|-----|
des onperdut iument a uoclofl aelcui	-|-⌫-|-----|-----|-⌫--|-|--⌫--|--|
iltenoitoffr it aceaz ki	-|-----|----⌫-||---|-|
lui tolirent disanzprend eizparke	--|-------|-----|-----⌫--|--|-|
uosaiezco m ent	--|---|--⌫-⌫--|
iumentpuissiez meneir .	-----|-------|-----||
quantilcezch oses	----|-|--|--⌫---|
otditmanessoidonatenori s on .	-|--|----|--|----|-|---⌫-⌫-||
etli ozdel du c	-|-|-|--|--⌫|
ci deuan t d itpar enhelcurs	-|-----⌫|-⌫-|--|----|---|
paruintal fluetuulturnum par nom.	------|-|----|--------|--|--||
lac ascunlurche ualza ferir	-|-⌫----|--|---⌫---||----|
hanstes as anglenteirdesesporons.	------||-⌫---------|--|-------||
maisneked ent	---|-----⌫--|
li cheualbatu t deco zsanglenteit	-|-----|----⌫|-|--⌫|----------|
desesporons mais nekedentlicheua l de	--|-------|---|-------|-|-----⌫|-|
cozsangle nteizdesesporon silpourente stre	--|------⌫----|--|-------⌫|-|------|-⌫---|
l assei tnesoi	-⌫-----⌫|-|--|
po u rentpas mo u oir	--⌫-⌫---|--|--⌫-⌫--|
etensi soicremirentatochier laigu e delflue talsi	-|---|--|--------|-------||----⌫|--|----⌫|---|
comunmortei l treb uchem ent .	--|-|------⌫|----⌫-----⌫--||
etquant longementferantcasc un d e s seor s a stoientlas seit	-|----|--------|-----|----⌫-|-⌫-⌫|----⌫|-⌫------|---⌫---|
dunkesdist l iuns	-----|---|-⌫|--|
deazkepor la cu lpe cui	|--|-|--|-|--⌫--|--|
auoientfait	------|---|
alserfdeuen la	-|---|--|-|-|
uo ie so ffroie nt ilceldetriementdeluruoie.	--⌫-|--⌫------⌫-|-|--|---------|-|--|---||
liqueilman esre torneitderrier e soi	-|----|---⌫-|--⌫------|-------⌫|--|
trouerentlibertingisantenori son.	--------|-------|-----|-|---⌫--||
acui quantildisoientlieuesus	|--|----|-|-------|----|--|
ici lr espondit aleiz	---⌫|-⌫-------|----|
enbien genai p a smestierde	-|---|-||-|-⌫-⌫|------|-|
maisildescendirent	---|-|-----------|
siloleueren t encontre sauolenteite lcheualdont il	-|-|-------⌫|-------|-|--------|-⌫|-----|---|-|
l auoientius misetisnelement	|------|--|--|-|---------|
s enal erent	|-|--⌫----|
liqueilencheu alchanticelfluetcui il anzois ne	-|----|-|----⌫------|---|----|--|-|-----|-|
pore nttres pas se ir curranme ntt respassere nt alsicomci lca nauz	----⌫-|----⌫---⌫--⌫-|--------⌫-|-⌫----------⌫-|---|--|--⌫|--⌫---|
d elfluet neuist pasdaigue.	-⌫-|----||----|--||----||
et ensifutfait kequant u ns sienscheuazal	-|---|--|---|-|----|-⌫-|----|-----|-|
serf dedeues trenduztrestotreprise nt to z lur cheualz	---|-|--|--⌫|-----|------|-------⌫-|--⌫|--|------|
enicel meismeten sessiment	-|---|-----|---⌫|-------|
uintbucillen usauoc les franzoisescontreiesd e ca mpa ngne	---|--------⌫-|---|--|-------|-|--------|-⌫|--⌫---⌫---|
etdelab ie	-|-||--⌫-|
futeissuel anouele del	--|-----|-⌫|-----|--|
s eriantdeuci	-⌫-----|--|-|
deuant p arleit keil a uo itmult dauoir	-----|-⌫-----|-|-|-⌫--⌫-|---||----|
dunkesentrere ntlifr anclo rat oiresi forsenant aq uerre	-----|-------⌫-|-|--⌫--||-⌫---⌫---|-|--------||-⌫----|
liber ti na	-----⌫--⌫||
c rieir l ibertin lauilgis oitius es terneizen o rison	-⌫----|-⌫------|-||-|---⌫--|--|--⌫------|-|-⌫----|
meruiel hou seestcestechoselif ranz ois	-------⌫---⌫-|--|----|----|-|-⌫----⌫--|
querant et fors e nantq uant ilentrerentsihorterent	------|-|----⌫-⌫---|-⌫---|-|--------|-|--------|
al uietsi n eporent	|-⌫-|-|-|-⌫|-----|
pasluimeisme ueoir.	--|--|-----|----||
etensideceut delur auoglementuuits e n ralerent	-|---|-----|-|--|---------|---||-⌫|-------|
delmon stier .	--|---⌫----||
aunal tretens	|-|--⌫--|---|
alt ressi porune	---⌫----|--|--|
causedelmonstierpa rlo com ant	----|--|-------|--⌫|-|---⌫--|
d ela beit	-⌫||-⌫---|
kiuint apres sonmaistre honoreitse n	-|---|----|--|------|-------||-⌫|
a lat l ibertins a rauen ne	-⌫--|-⌫-------||-----⌫-|
etporlamordecelmeismehonorab l e honoreitu	-|--||---|-|--|-----|-------⌫-⌫|-------||
kei lunke s	-|-⌫|----⌫|
aloit auo itil	----|---⌫-|-|
aco nst um eitaport eirtoz t ens en	---⌫---⌫--⌫--||----⌫--|--|-⌫--|-|
sonsainunechalcet t edeson maist r ehonoreit .	--|---|--|-------⌫-⌫|-|--|-----⌫-⌫|-------||
gi eresquant ilsen aloits iau int choseke	--⌫---|----|-||-|----|-⌫|--⌫--|----|-|
unefe mm e aportatlocorsele tdeson filhkiastoit	--|--⌫--⌫|------|-|-------⌫|-|--|---|-|-----|
la qu eilecantele otesgarde it	-|--⌫---|---|--|-|-------⌫-|
l o serf dedeu	-⌫|---|-|--|
eleespr isepar lamordeso n filhtin tp ar	--|----⌫--|--||---|-|--⌫|---|---⌫|-⌫-|
loi ument d elibertin etsi	-|-⌫----|-⌫|-------|-|-|
distaserement ennule maniere	---||-------|-|---|------|
neten iras setunauras	-||-|---|-|-||----|
susciteit mon filh	--------|--|---|
nientaianzuseit it eilmi ra cleespaurit	----|----|----|--⌫--|--⌫--⌫--|-------|
loserementde	-|-------|-|
s ademandise.	-⌫|--------||
