Carleslireisnos tre	-----|-|---|---⌫--|
Fedeilzs eruisese multgranz amistez	------|-⌫------||---|----|------|
uoslidurrezursele ons e chens	--|-|-----|--||--⌫--||----|
camelzemilhostur sm uer sDore d	-----||--|------⌫|-⌫---⌫||-|||
IIII.C. mulscargez	------|---|-----|
Cinquantecarrequ e nferat carïer	--------|----|-|-⌫|----|------|
purratluer sessoldeiers	-----|---|--|--------|
En c es te tereadas ezosteiet	-|-⌫--⌫-|---|-|--⌫-|------|
Aissendeit b enrepairer	--||-|---|-⌫-|-------|
uosles iureza lafeste	--|-|-⌫----||-|----|
S irec e u rezla	-⌫|---⌫-⌫-⌫--|-|
leidechr est ïens	--|-|---⌫---⌫----|
Ser ezsesho mpar	---⌫-|--|--⌫|--|
hon ur eparbenS	---⌫-||--|--||
en uo ltos t ages euoslenenueiez Ud is	-|--⌫-|--⌫-⌫---||--||-|------||-⌫-|
u u intpurl ui afïancer	|-⌫--|--|-⌫-|--------|
Enueiunsi les	-------||--|
f ilz denoz	-⌫--|-|--|
docireienueierailemen	|----||--------|-|--|
Asezestmelzquil	---|--|---|-|-|
Que nusperduns l onurne ladeintet	--|--|------||---|-|-|------|
Nenusse iuns cunduiz ame ndeie r	-|--|--⌫---|------||--⌫-----⌫|
Blancand rins	--------⌫---|
Pacestemeied estreE par la	-|----|---|-⌫----||--|-|
b arbekialpizme uentelet L	-⌫---|-|-|--|-|-------||
Franceisuerrez sempresdesf ere	-------|-----|------|----⌫--|
Francsse nirunt	-----||-⌫|----|
F rancelalurtere	-⌫----|-|--|---|
Quant cascunsert a sun	----|------|--||--|
meillor re paire	------|--⌫----|
Car l es serat ad	---⌫-⌫-|----|-|
Ais a sa c apele Ase in t	--||-|-⌫----||--⌫--⌫|
Micheltendratm ulthaltefeste	-----|------|-⌫--|----|----|
uen dratl iiurzsipasse ratlit e rmesNorrat	---⌫---|-⌫|---|-|-----⌫--|-|-⌫-⌫---||----|
denos parolesn e nuueles	-|--|------|-⌫|------|
Li reisestf iersesiscu ra gespesm es	-|---|--|-⌫---||--|--⌫--⌫--|----⌫-|
De nozost ages	-|--|---⌫---|
ferat trecher les testes	----|------|--|-----|
As ez estmielzqu il	--⌫-|--|----|-|-|
ipe r dentlest e s te s	|--⌫-⌫---|--|-⌫-⌫-⌫--⌫|
Que nusperdunsc lere	--|--|------|-⌫---|
Es p a ignel abele	--⌫-⌫-⌫---|-⌫|---|
Nenusaiunsles	-|--|----|--|
mals neles suffra ites	---|-|--|------⌫---|
D ientpaien	-⌫---|----|
Issi poet il benestre	---|---|-|--|----|
M arsilieouts u ncunseillfinet	-⌫------|--|-⌫-⌫|-------|----|
Sinap e lat	--|--⌫-⌫--|
Es ta marin e	--⌫--⌫----||
Eudro pinsun perE	-----⌫--|--|--||
P riamu ne	-⌫-----⌫||
Guarlanlebarb e tE	------|-|----⌫-⌫||
Ma chin ere sun un cle	--⌫----⌫-||--|--⌫--|
Malbi endultr emer	-----⌫-||----⌫---|
Blancandrins porlara isuncun ter	-----------|--|-|--⌫---|---⌫--|
Des pl usfelu ns dis	--|--⌫-|----⌫-|--|
enadapelez	-|-|-----|
Seignursbaruns	-------|-----|
Car lemag neirez	---⌫-----⌫-|---|
Co rdres lacitet	--⌫----|-|----|
oliue enu oz mainsport ereizÇos enefi e t	----|-|-⌫-|----|----⌫----|--|-⌫-----⌫-⌫|
h umilitet	-⌫-------|
Pa ruoz sa ueirsse mpuëzacor der	--⌫|--|--⌫----|--⌫|----|----⌫--|
Io uosdurra ior eargent	-|--|-----⌫|-||-----|
Teresefieztantcum uosen	----||---|---|--|--|-|
Dient pai en	----|---⌫-|
Deç o auun	-|--⌫|---|
Marsili eoutfinetsuncunseill	-------⌫|--|----|--|-------|
Di stas es humes	--⌫-||-⌫-|----|
Sei gnursuos enireiz	---⌫----|--|-|----|
Br anches dol iue	--⌫-----||--⌫--|
mains portereiz	----|--------|
Si medireza	-|-|----||
Carlem agnelerei	------⌫---|-|--|
Purl e soen	--|-⌫|---|
Deuqu ilaitm ercit	--|-|-|--|-⌫----|
Ia ein zn euerrat passercestpremer	-|---⌫|-⌫|-----|-----|---|-----|
Queielsiuraiodmil de mes	--|--|-----|-|--|-|--|
Sireceu ra ila c hr estïe nelei	-|-----⌫--⌫|-|-⌫--⌫------⌫-|--|
Se raise s hom	--⌫--|--⌫|--|
para mure par feidSiluoeltostagesil	--|-⌫--||--|---||-|----|------|-|
enauratparueir	-|----|--|---|
Blancandrins	-----------|
Multbonpla it enaurei z	---|--|---⌫-|-|-----⌫|
Disblanches mulesfistamener	--|-------|----|---|-----|
Ma rs ilies	--⌫--⌫----|
Queli t ramis t	--|-|-⌫-----⌫|
Lifrein sunt d orles selesdargent	-|----|---||-|--|----||-----|
Cilsuntmunte zkile	--|---|-----⌫|-|-|
message firent	------|-----|
Enzen lu rmains port e nt branches d	--|-|--⌫|----|----⌫-⌫-|-------||
uin drent a	---⌫----||
Charlesk i	------|-⌫|
Fra ncead e n baillie	---⌫--|-|-⌫|------|
Nesp oet gu ar der quea lques ne	--|-⌫--|--⌫--⌫--|--|-⌫----|-|
lengi gnent	|----⌫----|
Liem pere res sefaite	-|--⌫----⌫--|-|---||
balz eliez	---||---|
Cordresadpriseeles murs p ece iez	------|-|----||--|---|-⌫---⌫--|
Odsescadables le stursen abatie d	-|--|-------|--⌫|---|-|------⌫|
M ultgran tesch echen unts i	-⌫--|----⌫|----⌫--|-|--|-⌫|
cheualerDore	-------||-||
d arg ented egu ar nemenz chers	|---⌫--||-⌫|--⌫--⌫-----|----|
Enl a cit etnenadremé s paien	-|-⌫|---⌫-|--|-|-----⌫|----|
N es eitocisu de uientch restïe n	-⌫|-⌫--|---||--⌫----|--⌫-------⌫|
Liemper eres estenungrant uerger	-|-----⌫---|--|-|-|----|-----|
Ensemblodlui	------|-|--|
Ro llant e	--⌫----||
Sansu nlidux e	-----⌫|-|--||
Anseï s li	------⌫|-|
A nioule r eigunfanuner	-⌫---|-|-⌫-|---------|
Esi i fu ren t e	|-||--⌫---⌫||
Lau cis tfurentd esaltresioutbien	-||---⌫|-----|-⌫-|-----||--|---|
Francei adqui nzemilliers	-----||-|---⌫--|-------|
Sur palies	--|-----|
blan css iedentcil	----⌫-|-⌫-----|--|
As tablesiuentpurels	-|-----|----|--|--|
esbane ier E as	------⌫--||-|
eschecs l i plussai ueeli ueillE esc re missent	------|-⌫|---|---⌫-||-|----||---⌫--⌫------|
cil bach elerleger	--|----⌫---|----|
Desu zunpin	----⌫|-|--|
U nf aldestoediu ntfai ttutd orme r	-⌫|-⌫--------||-⌫-|---⌫|--||-|--⌫|
La siet lir eis kidulce	-|---|-|-⌫--|-|----|
Francet ient	-----|-⌫---|
Blanch e ad	------⌫|-|
tu tflurit lechef	--⌫|-----|-|---|
G entad lecors elecuntenantfi erS est	-⌫--|-|-|---||-|--------|--⌫-||--|
kil de mande t	--|--⌫-----⌫|
nelestoeten seigner E li mess agedescendirenta pied	-||-----|--⌫------||-|----⌫--|-----------||---|
Silsa luerentparamure	--|--⌫------|--|---||
Blancandri ns a d tutpremereins parled Edist	----------⌫-|-⌫|--|---------|-----||---|
Saluetseiez de	-----|----|-|
Gloriusquedeuu nsaürer Içouusmandetre is	------|--|----⌫-|-----|---|--|-----|--⌫-|
Mars ili e slibers	----⌫---⌫-⌫|-|---|
Enquis admultlaleide	-----|-|---|-|--|-|
Desu naue iruos	-|--⌫|---⌫-|--|
Urseleunseue ltrese ncha igne z	--||----||--⌫----|-⌫----⌫----⌫|
Setcenzcameilze mil hosturs muezDor e	--|---|------||--|------|---||-||
IIII.cenz muls	----|---|---|
C inqua ntecarequecarïer enferez	-⌫-----⌫--|---|--|------|-|----|
Tantiauratd e besanz	---||----|-⌫|-----|
Duntbienp urrezuozsoldeiers luer	---|---|-⌫----|--|--------|---|
pai ̈sauezestetasez	---⌫-|---|----|---|
Ai sdeuezbienrepairer	--⌫|----|---|-------|
L auos siurat	-⌫|--|-----|
ço d itmisauoez	--|-⌫-|--|----|
Li e mpererestent sesm ains	-|-⌫-------|---|--|-⌫---|
B aisse t sunchefs icumenceta	-⌫-----⌫|--|---|-⌫|-------||
L iemperere sentintsunchefenclin	-⌫|--------⌫|-|---|--|---|-----|
De sapar ole nefutmi ehas ti fs	-|-|---⌫--|-|--|--⌫|---⌫--⌫-|
Sacustume es tquilparolet aleis ir	-|------|--⌫|-|-|------||----⌫-|
Quantse re drecet	----|-|--⌫-----|
multparoutfier luuis	---|--|--|---|-|--|
D ist as messag es	-⌫--|-|------⌫-|
uusauez multbendit	--|---|---|--|--|
Marsiliesestmu ltmis	--------|--|--⌫-|--|
Decez p a roles queuos auez ci	-|--|-⌫-⌫----|--|--|---|-|
Enqu elmesure enpurrai estrefiz	-|--⌫-|-----|-|-----|----|--|
uoetpa r hos tagesçodist li	---|--⌫|---⌫----|--|---|-|
Duntuosau rez udisuquinzeuuint	---|--|--⌫--||--||-----||---|
Panu mdocireimetraiun mien	-|--⌫||----||-----|-|---|
filzEsinaure z	---||--|----⌫|
c ̧ o q uidde	-⌫-⌫|-⌫--|-|
plus gentilz	---|------|
Q uantuusserez el palaissei gnurillAla	-⌫---|--|----|-|-----|---⌫------||-|
grantfesteseint	----|----|----|
Michel del	-----|--|
M isau oe z la uos siurat çodit	-⌫-|--⌫--⌫|-|--|-----|--|--|
Enzenuoz bainzque	--|-|--|----|--|
Deuspuru osi f ist	---|--|-⌫-||-⌫--|
L auuldratil chrestïens d e uen ir	-⌫|------|-|----------|-⌫-⌫---⌫-|
Charlesrespunt	------|------|
U n corepurratguarir	-⌫-⌫---|-----|-----|
Bels futl iu esprese liso leilz	---|--|-⌫|-⌫-----||-|--⌫----|
mulez fait	----|---|
Charlesestabler	------|-------|
Elgrantuergerfait lireis ten dre un tref	-|----|-----|---|-|---|---⌫--|-|---|
Le sdis me ssages adfai t enz	--⌫|--|--⌫-----|-|---⌫|--|
XII. serianzlesunt ben	---|------|--|--|--|
Lanoit demuren t t resque uintal iur	-|---|-------⌫|-⌫-----|---|-|--|
Li emper eres e stparmatin leuet	-|-----⌫---|-⌫-|--|----|----|
Messe e mat i nesadlireis escultet	----||---⌫-⌫--|-|-|---|-------|
Desuzunpi nenest lireisale z	----|-|--⌫|-|--|-|---|---⌫|
Ses barunsmandetpur sun	--|-----|-----|--|--|
cu nseill fi ner	--⌫-----|--⌫--|
Par celsde	--|---|-|
Franc euoel tild eltu t er re r	-----⌫|----⌫|-|-⌫-|--⌫|--⌫--⌫|
Li emperere ssenua itdesuzun p i n	-|--------⌫||-|--⌫-|----|-|-⌫-⌫|
Ses baruns	--|-----|
m a ndetp ursuncu nseillfenir	-⌫-⌫---|-⌫-|--|--⌫-----|----|
l arceuesque	|---------|
Richa rdli	-----⌫-|-|
uelze sunne uold	---||--|--⌫---|
Gascu igneliprozquen s	-----⌫---|-|---|----⌫|
Tedbald de	------|-|
Milunsuncusin	----|--|----|
E siif urent e	|-||-⌫----||
Ensemblo d els	------|-⌫|--|
Rollant iuintE	------||---||
O liuerl i prozeligentil z	-⌫----|-⌫|---||-|------⌫|
Franceeniad plus	-----|-||-|---|
Guenesi uintkil at raïson	-----||---|-|-⌫|-⌫------|
Desore cu m enc et le cunseill quemalprist	--|--|--⌫-⌫---⌫-|-|-------|--|--|----|
Sei gn urs baro nsd istlie mperere	---⌫--⌫--|----⌫-|-⌫--|-|-⌫------|
Ma rsili emad	--⌫-----⌫||-|
tr ami ss es mes sages	--⌫---⌫|-⌫-|---⌫----|
Desunau eir meuoeltduner grantm as se	-|--|--⌫--|-|----|----|----|-⌫--⌫-|
Ursel euns	--||-⌫---|
eueltresca eignabl es	|------|--⌫-------⌫-|
Setce n zcameilzem ilhostur s muables	--|--⌫-⌫|------||-⌫-|------⌫|------|
Q uatrecenz	-⌫----|---|
m ulscargezdelord	-⌫--|-----|-||-||
Auoe ciçoplusdecin quanteca re	----⌫|---|---|-|---⌫-----|--⌫-|
Mai si lmemandet	---⌫|-⌫|-|-----|
Ilme siurat	-|-|-----|
Aisam unestage	--||-⌫-|-----|
Sirec eurat la	-|---⌫----|-|
n os tre leiplussalue	-⌫--⌫--|--|---|----|
Chrestïensertde	----------|--|-|
mei tendr at ses marc hes	--|-----⌫-|--|----⌫--|
nesaiquelsenestsiscurages	-|--|----|-|--|--|------|
Ilnus i cuuentguarde	-|--||-----|-----|
Liempere resoutsa raisu nfe nie	-|------⌫--|--|-|-----⌫|--⌫--|
Rollant kinelotrie t mie	------|-|-||-----⌫|--|
E npi ezsedrec e tsiliuintcun tredire	-⌫|--⌫-|-|----⌫-⌫|-|-|---|---⌫------|
Ildis t alrei	-|---⌫|-|--|
Iamar crerez	-|--|-----|
Set anz ad pleins	--|--|-|-----|
Espaigne uenimes	-------|------|
Ieuosc unquis e	-|--|-⌫-----||
Commib le s	------⌫--⌫|
ualtern eela tere	-------⌫||-|---|
Balasgued e	--------||
Ma rsilieifistm ult quetraï tre	--⌫-----||---|-⌫--|--|-----⌫--|
Desespaiens e nueiat quinze	-|--|-----|-⌫-----|-----|
Chascunspor tout u nebranche d	-------|---⌫---|-⌫-|------||
Nuncerentuo scez p arole smeï s meAuoz	--------|--⌫|--|-⌫-----⌫|----⌫-⌫-||--|
F ranceisuncunseillen	-⌫------|-|-------|-|
p resist e s	-⌫------⌫-⌫|
Loerentuos a lques dele gerie	------|--|-⌫----|-|--⌫----|
Do usdeuozcuntes a lpaientramesistesL	--⌫-|-|--|-----|-⌫|----|----------||
Basane lialtres	----||-|-----|
Leschef enpr istes	--|---|-|--⌫--|-|
puis desuz	---|----|
H altil ie	-⌫-----⌫-|
uo slauezenp rise	--⌫||---|---⌫---|
Sarragucemen ezu ostreostban ie	--------|---⌫-|-⌫----|--|---⌫-|
Metez lesegea tute	----|-|---||---|
uostreui e	-----|--⌫|
Siuengez celsquelifels fi st	-|-----|---|--|-|---|--⌫-|
Liemperere enti n t	-|-------|-|--⌫-⌫|
sun che fenbrunc	--|---⌫|------|
afaitads un gernun	------|-⌫-|-----|
nem alner e spun t sunneu u ld	-|-⌫-|-|-⌫-⌫----⌫|--|---⌫-⌫-|
Franceis setaisentnemaisque	-------|-|------|-|---|--|
Enpiezsedrece tsi uint deua nt	-|---|-|-----⌫|-|---|----⌫-|
Multfier e mentcu me ncetsarais unE	---|----⌫-⌫---|--⌫--⌫---|-|----⌫-||
dist alrei	---|-|--|
Ia marcrerezbricun	-|--|-----|-----|
Nemei ne altrese deuostrepr od	-|--|-|----|-|-|-----|--⌫-|
Qu ant ço uos mandetl irei s	--⌫--|--|--|-----|-⌫|---⌫|
Ma rs iliun	--⌫--⌫----|
Quil deuendrat	-|-|--------|
ioint esses mains tish om E	-----⌫-|--|----|--|-⌫-||
E spaignetendrat paruostr edun	-⌫------|------|--|-----⌫|--|
Puis receurat	---|-------|
n uste num	-⌫-|--⌫--|
Ki ç ouos lodetquec estpl ait	-|--⌫|--|----|--|-⌫--|--⌫--|
Nelichaltsiredequel	-|-|----|---|-|---|
mort nusmur iuns	---|--|---⌫---|
Cunseilldorguil lnest dreiz quea plus	-------||------⌫||--|----|--||---|
Laissunlesfols a ssages	------|--|---|-⌫|----|
n u stenuns	-⌫-⌫|-----|
A présiçoie st	-⌫----|---||-⌫-|
Neimesuenud	-----|----|
M eil lor ua s sal n aueitenlacurtnu l E	-⌫---⌫--|--⌫-⌫--||----|-|-|---|--⌫||
distal rei	---|-|--|
auez e nten dud	---|-⌫----⌫--|
Gue nesli quensçouusadrespond ud	---⌫--|-|----|--|--|-|-------⌫-|
S aueiriadma is quil	-⌫----||-|--⌫-|-|-|
sei tentendu d	---⌫|-------⌫|
M arsilieest	-⌫------|--|
deg ue re ue nc ud	-|-⌫--⌫-|--⌫--⌫-|
u osl i aueztuzse s castels	-⌫-|-⌫|---|--|--⌫|------|
Od u ozcaables	-|-⌫-|------|
auez fruisetses	---|------|--|
Sescitez arsesese shu mesuen cuz	--|----|----||--⌫|--⌫--|---⌫--|
Qua nt iluos mandet quaiez	---⌫-|-|--|-----|-|---|
mercit de lui	-----|-|--|
Pe cchetfereitk i dun cli fesist p lus	--⌫----|-----|-⌫|---⌫|-|-----|-⌫--|
U par ostageuos uoelt	|--|-----|--|----|
fa ire soürs	--⌫--|-----|
Cestegr ant	----|--⌫--|
guerr ene deit munteraplu s	-----⌫|-|---|-----||---⌫|
Ben adparletli d ux	--|-|-----|-|-⌫-|
Seignu rsbarunsqui	------⌫-|-----|--|
i enueier uns	|-------⌫--|
Sarragucealrei	--------|-|--|
Ma rsilïuns	--⌫--------|
Respunt dux	------|--|
Io irai pa ru ostredun	-|---|--⌫|-⌫----|--|
L iur ezmenore	-⌫---⌫-||-|--|
leg uantel e bastun	-|-⌫---||-⌫|-----|
Respunt l ireis	------|-⌫|---|
uos estessaiueshom	--|----|-----|--|
Parceste b arbeep arcest men gernun	--|----|-⌫---||-⌫-|---|--|-----|
uosnirezpasuan d e	--||---|--|--|-⌫|
mei si luign	--|-|----|
Ale zs edeirquant n ulsn e uossumunt	---⌫|-⌫----|----|-⌫--|-⌫|--|-----|
S eignursbarunsqu iip urrunsenueier	-⌫------|-----|--⌫||-⌫-----|------|
S arr azin ki	-⌫---⌫---|-|
Sarragucetient	--------|----|
Ioipuis ale rmultben	-||---|---⌫|---|--|
Nufer ezc ertesdist liquens	-|---⌫-|-⌫----|---|-|----|
uostrecurag es est m u lt pesmesef ie rs	-----|-----⌫-|--|-⌫-⌫-|-----||-⌫--⌫-|
Io mecr endreie q ueuo suos	-|-|--⌫------|-⌫-|--⌫|--|
Se lireisuoelt ioipuis	-|-|---|----|-||---|
Respunt li reis	------|-|---|
Ambduiuos entai sez	-----|--|-|---⌫--|
il nipo rterez lespiez	-|||--⌫-----|--|---|
Parcestebarbe queueez blancher	--|----|----|--|---|-------|
Li duzeperm ari	-|---|--|-⌫-||
serunti ugez	-----|-⌫---|
Franceis setaisent asle suus aquisez	-------|-|------|-|--⌫|--|------|
Tur pin s de	---⌫---⌫|-|
Reinsenest	----|-|--|
leuetdelre ncEdistal	----|--|--⌫-||---|-|
Lai sezes teruoz	---⌫--|--⌫--|--|
Ences tpaï s aue z estetset anz	-|---⌫|----⌫|---⌫|----|--|--|
Multunt oüde pein eseahans	---|--|---||----⌫-||----|
Dune z m ensire leba st un eleguan t	----⌫||-|---|-|--⌫--⌫-||-|----⌫|
Eioirai al	|-|---|-|
Sarazinespan	------|----|
S in uoisu edeir alque s de	-⌫-|---|-⌫----|-----⌫|-|
sun semblant	--|-------|
Li emper eres respuntpar maltalan t	-|-----⌫---|------|--|--------⌫|
Alez se d ei rd esurcel pali e	---|--⌫-⌫--⌫|-⌫---|--|----⌫|
blanc Nen parl ezma issei o	----||-|----⌫-|--⌫-|-|-⌫|
neluoscumant	--|--|-----|
Francscheualersdistl iemperere	-----|--------|---|-⌫|-------|
Carmeslisezunbarundemamarche	--||------|-|----|-|-|-----|
Marsiliunmeportastmun message Ço	--------|-|------|--|------|--|
Roll antÇoert	----⌫--|--|--|
Guene smisparastre	-----⌫|--|-------|
Carillepoet ben fair e	--|-|-|---|--|----⌫|
Seluil ess ez	-|--|-⌫---⌫-|
tr ametrezplussaiueE liquens	--⌫------|---|----||-|----|
Guen esenfutmu ltanguisables	----⌫-|-|--|--⌫-|----------|
D esuncol ge t et ses grandespels dema rtreE	-⌫|--|--|--⌫-⌫-|--|------|---|-|--⌫---||
estremésen sunblialt	--|-----|-|--|-----|
uai rsoutlesoilzemu lt	---⌫-|--|--|---||--⌫-|
fier luuisage	---|-|-----|
lecors e lescostezout	-|---||--|-----|--|
Tan tpar fut	---⌫|--|--|
b elstuitsiper	-⌫--|---|-|--|
esg uardent	---⌫------|
Tutfolp urque it	--|--|-⌫-|---⌫||
esr a ge sÇo	---⌫-⌫--⌫|--|
se t h o m ben qu eiosuitispar a stres	--⌫|-⌫-⌫|--|--⌫|-|--|--|---⌫-⌫----|
Si a siuget	-|-⌫|----|
Marsili unenalge	-------⌫-|-|---|
Deus çodunet	---|--|----|
queiodela repaire	--|-|-|-|------|
une sigrant contraire	--|-|----|--------|
Ki dureratatrestu t t un	-|------||------⌫|-⌫-|
Orgoilloi efolageÇose t	------|-||-----|--|--⌫|
aicur edemana c e	-|---⌫|-|----⌫-⌫|
Maissaiues homild eitfa iremessage	---|-----|--|-|-⌫--|--⌫--|------|
Silireis u oe ltp rezsui	-|-|---|-⌫--⌫-|-⌫--|--|
por uus leface	--|--|-|---|
Guenesres punt	-----|---⌫---|
iras tu mie	---|-|--|
Tuniesmesho m neion e sui	-||--|--|--⌫|-|-|-⌫|--|
Carlescomand et que face sunseruise	-----|------⌫-|--|---|--|------|
Sarragu ceeniraia	-------⌫-|-|---||
Mar si lie	---⌫--⌫--|
Einz ifraiun p oi de	---||---|-|-⌫-|-|
Que i onesclair	--|-⌫||------|
cestemei egrant ire	----|---⌫|----|--|
R ollantsi	-⌫-----|-|
cumenc ̧ata rire	------⌫--||---|
Quantçou ei t	----|--|-⌫--⌫|
Guenes que ore se n r it	-----|--|--||-⌫|-⌫-|
Dunc adtel doelpurpoid i re ne fent	---|-|--|---|--|--||-⌫-|-|---|
A be n petitque ilne	|--⌫|----|--|-|-|
per t le sensEdita lcunte	---⌫|-|---||--|-⌫|----|
Ioneu usai mnient	-|-|-⌫-|--⌫|----|
auezturnetfalsiu gement	---|-----|---|--⌫-----|
Dreiz emperereueiz me cien	----|-------|---|-|-|-|
Adempl iruoei ll	------⌫-|----⌫-|
uo strec omand ement	--⌫---|-⌫-----⌫----|
Sarraguce sai	--------|--|
b enquale rmest oet	-⌫-|-|---⌫||---⌫--|
Homki lauaitrepairernesenpoe t	--|-|-|---|-------|-||-|---⌫|
Ensur quetutsiai iouo str e soer	-----⌫-----|-|-|-|--⌫---⌫|---|
Sinai unf i l z	--|-|-|-⌫-⌫-⌫|
ia plusbelsnen est o etes t	-|---|---||-|---⌫-⌫-|--⌫|
Baldewin çoditkie r t	-------|--|--|-|-⌫-⌫|
lu ilais iomeshonurs e mesfieus	--⌫|---|-|--|-----||--|----|
Guardez leb enianeluerraid esoilz	------|-|-⌫-|-|--|-----|-⌫-|---|
Carlesre s p unt	-----|--⌫-⌫-⌫--|
Tro aueztendrec oer	--|---|-----|-⌫--|
Puisquelcomant aler uos enes toet	---|---|-----|---|--|-|--⌫---|
Guene suen ezauan t	-----⌫|---⌫-|----⌫|
Sireceurez lebast un eluguantOïtlauez	-|-------|-|----⌫-||-|----|---||---|
Gue nes ço a d tutfait	---⌫--|--|-⌫|--|---|
Ne lamera ia trestutmun	-||-----⌫||------|--|
Oliuerporçoqu	-----|--|--|-|
i l estsicu mpainz	-⌫|--|-|--⌫-----|
Lid uze p erporço	-|-⌫--|-⌫-|--|--|
laim entta nt	|---⌫--|--⌫-|
De sf ilescis i re uostre ueiant	--⌫--⌫|--|-|-⌫-⌫-|-----|-----|
Çodistl ireis	--|---|-⌫|---|
m alta lant	-⌫----⌫---|
Orirez uo s	-|---|--⌫|
certes quan tiol cumant	-----|----⌫|--|-----|
Ioipuisaler	-||---|---|
au raigu arant	--⌫--|--⌫----|
Bas ilie s nesisfreres	---⌫----⌫|-|--|-----|
Liempereresli tentsunguantledestre	-|--------|-|---|--|----|-|-----|
Ma is liquens	--⌫-|-|----|
Gue nesiloec ne	---⌫--|----|-|
uolsis te s tre	------⌫|-⌫-⌫--|
Quantl e dut prendr e	----|-⌫|--|------⌫|
si licaïtater e	-|-|----||---⌫|
Deus quepu rratçoestre	---|--|--⌫---|--|----|
Decestmes sa genosauend ratgran t	-|---|---⌫--⌫-|--|-----⌫--|----⌫|
Seignursdi s t	-------|--⌫-⌫|
Guenesuos e n orrez	-----|--|-⌫|----|
Guenesdunezmeilec ungied	-----|----|--|-|-⌫-----|
Quanta le r	----|-⌫--⌫|
aiplu sque targer	-|---⌫|--|-----|
C ̧ odistlireis	-⌫-⌫|---|-|---|
Ihes u ea lmien	----⌫||-⌫|---|
Desama in destrel	-|-|--⌫-|-----||
a dasolses eignet	-⌫|----||-⌫-----|
Puisl iliur at lebastuneleb ref	---|-⌫|----⌫-|-|-----||-|-⌫--|
Guenesliquens s en uaitasun	-----|-|----||-|---||--|
Deguar nemenzse prenta cunreer	-|----⌫-----|-|----||------|
De sesmeillorsqueil poutrecuurer	-|--|-------|--|-|---|-------|
Espe runsdoradensespiez	----⌫---||-|-|-|--|---|
M u rgliess es p ee a	-⌫-⌫-----||--⌫-⌫-||
Tachebrunsunde strerest muntedL estreuli	--------|--|--⌫----|--|-----||-----|-|
tintsun uncle	---|--|----|
Laueïs ez	-|-----⌫-|
tantcheualerplorer	---|-------|-----|
Kitu itl idient	-|--⌫-|-⌫|----|
Tantm are fustes ber	---|-⌫--|-----|--|
Enla cortalreimult	-|-|---|-|--|---|
iaueze sted	|---|-⌫---|
Noble uassal uos i	----|-----|--||
solthom clamer	---|--|-----|
Ki ço i ugat que doüsez ale r	-|--|-⌫---|--|------|---⌫|
Char lemagnenert	----⌫------||--|
guariz neten s ez	-----|-|---⌫-⌫-|
R ollant nel s edoü stpe nser	-⌫-----|--|-⌫|----⌫-|--⌫---|
Qu eestraitestes demult grantparent ed	--⌫|------|----|-|---|----|------⌫-|
E nprésli di ent	-⌫-----|-|--⌫--|
nos menezC ̧or espunt	--|----|-⌫-|-⌫-----|
Ne pla cet	-|---⌫--|
q uesul moe rge	-⌫-|--|---⌫--|
qu etantbon cheualer	--⌫|---|--|-------|
Franceseignursuosen	-----|-------|--|-|
DemeiepartmamuillersaluezE	-|---|---|-|------|-----||
