quidiuerscontesuel tt retie r	--|-----|-----|---⌫|-⌫-----⌫|
dist l ico nmentestau enu	---|-⌫|--⌫----|--|--⌫--|
sonor etso nbienap erd u	|---|-|--⌫|---||-⌫---⌫|
quantdetel	----|-|--|
fet sestentremise	--||--|--------|
de liertfe tegra ntiustise	-|-|--|--⌫-|---⌫-|------|
a trauails e r aito rmentee	|------|-⌫-⌫-⌫-|--⌫------|
ouuendue e n autrecontre e	-|-----|-⌫|----|------⌫|
costumeasen ciens	------|-|--⌫----|
et si tenoienta cetens	-|-|-------||-|---|
mi lon r espon tqueilfera	--⌫--|-⌫-----⌫|--|-|---|
q anqu elel iconseill era	-⌫---|--|-⌫|--------⌫--|
quant lenfesfet	----||----|--|
elsera nez	-|---|--|
l em porter ez	|--⌫------⌫-|
quien norronb re est	--|-|-------⌫-|--|
riche dame preuz etsenee	----|---|----|-|----|
silimanderepar	-|-|------|--|
et parpar oleset p a r dit	-|--|---⌫---|-|-⌫-⌫|--|
quec estlenfant asa	--||--||-----||-|
s i nasosfert moltgrant dol or	-⌫|||------|---|----|---⌫-|
orga rt q ue ilsoi tbiennorriz	-|--⌫-|-⌫-|-|---⌫|---|-----|
soitf ille oufiz	---|-⌫---|-|--|
uostreanelaucolli	-----|---|-|--|-|
etbrief li enuo ierai	-|----|-|----⌫----|
e scritiertlenonson pere	-⌫----|---|-|--|--|---|
etlauenture d esa	-||-------|-⌫|-|
quantilse r agranzetcr euz	----|-|--⌫-⌫|----|-|--⌫--|
et ent elaageuenuz	-|-|-⌫-|---|----|
sa c he reson entendre	--⌫-⌫-|----|-------|
lanelet lebrieflido it	|---|-|-|----|-|--⌫-|
sili conma ntt antagard er	-|-|-----⌫-|-⌫--||----⌫-|
quesonperepuissetrou er	--|--|---|-----|----⌫-|
c ons eilsesonttenu	-⌫---⌫--|-|---|---|
tantq ue lite rmes	---|-⌫-|-|--⌫---|
onquesn en fuaparceuance	-----||-|-|----------|
enparole neensembla nce	-|-----|-|-|------⌫--|
lames chine	-|---⌫----|
otfilmoltb el	-|--|---|-⌫-|
aucollipen d iren tla n el	-|--|-|---⌫-⌫----⌫||-⌫-⌫-|
enuneau mosnieredesoie	-|--|--⌫-------|-|---|
au ec l ebrie f que nus	--⌫-|-⌫|----⌫|--|--|
puisle couchent en	---|-|-------|-|
en uelo pé d un blanc	--⌫----⌫--||-|----|
ded esouz lechie fal	-|-⌫----|-|----⌫|||
mistrentoreil lieruail lant	-------|-----⌫---|----⌫---|
etde sus li couuertor	-|--⌫--|-|--------|
orlédemartr e to tentor	----|-|-----⌫|--⌫|----|
ladamelamilo n bailli é	-|---|||----⌫|------⌫-|
quil ota tend ueeluerg ier	--||-|-⌫----⌫-|-|----⌫--|
aconnmandéatel ge nt	|---------||--|--⌫-|
quilenporte rentleaument	--||-|-----⌫---|-------|
pa r le suilesou ilerroient	--⌫|--⌫|----|-|-|-------|
iorsereposoi ent	--|-|-------⌫--|
lenfantfesoientaletier	|-----|-------|------|
couch i erde	-----⌫-⌫-|-|
tant ontledro it cheminer ré	---|--|-|---⌫-|-----|--⌫--|
damelont conmandé	---||--|--------|
lebriefrecutetleseel	-|----|----|-|-|---|
sotquiile stoit	--|--|-|-⌫----|
amerueille le	|--------|-|
c hierissoit	-⌫---------|
cilquilenfantor ent	--|--||-----|--⌫--|
pais sontretorné	---|---|-------|
ensou deespo rson prisquerr e	-|---⌫---|--⌫|--|---|-----⌫|
s am ie remest	|--⌫-|-----|
somper e lidoun ab aron	--|---⌫|-|----⌫|-⌫---|
moltri che honmedu pai s	---|--⌫--|----|-|---⌫|
mo lteff orcibleet degr a ntpris	--⌫-|---⌫------|-|-|--⌫-⌫-|---|
quant ele sot cesteauentur e	----|--|--|----|-------⌫|
a desm esur e	|----⌫----⌫|
ets ou entregretemilon	-|-⌫--⌫--|------|----|
carmoltdoute lamesprison	--|---|----|-|--------|
deceque leoteuenfant	-|-|-|-⌫-|-|-|-----|
ille saurademaite nan t	-|-|----|-------⌫---⌫|
lassefetele	----|--|--|
auraise igno r quantleprandrai	----|--⌫----⌫|----|-|-------|
ienesuiiemiepu cele	-|-|--|-|--|--⌫---|
atotior smesseraiancel e	|--|---⌫|--|----|-----⌫|
ienesaip as qu il fu stainsi	-|-|--|-⌫-|-|-|--⌫-|----|
ain z cuidoie auoir monam i	---⌫|------|----|--|--⌫|
e ntrenos celionl afere	-⌫---|--|-----||----|
ie nelos o ieaillo rs	-|-||--⌫-⌫-|-----⌫-|
miexmeuendroitmorir	---|-|-------|----|
m es ie nesu imie	-⌫-|-|-|--⌫|--|
ai n zai asse z sor	--⌫-⌫|-|----⌫|--|
moi gardans	--|------|
uielzet ionesmes	----|-|----|--|
chambellans	----------|
quitotdis hoent b oneamor	--|--|--|----|-⌫--|---|
etse delitententristor	-|-|-------|-|------|
ormesto ur a einsisof frir	-||----⌫--⌫|----|---⌫---|
au terme quele f u donnee	-|----|-|--|-⌫|-----|
lassequenep uisie	----|--|-|-⌫--|-|
sens irel ena	--|-⌫--||-||
mil o nreuinten	---⌫-⌫|-----|-|
moltf udole nzmol tfu pensis	---|-⌫|----⌫-|---⌫|-|-----|
gra n tduelfist gra nt	---⌫-⌫|---|---|---⌫-|
dueldemena	---|-----|
ce sereconforta	-|-|---------|
quepr esestoitde	--|--⌫-|-----|-|
sa contr ee	-|-----⌫-|
cele quetanta uoi t ame e	---|--|---|-⌫---⌫|---⌫|
milonsem prista p orp enser	----||-|----||-⌫---⌫----|
conm entill aporramander	----⌫--|-|-⌫|----|-----|
si qu ilsoitaparceuz	-|-|-|---|-------|
q uil so it e l pais	-⌫|-|--⌫-|-⌫|---|
ses let resfist se s seela	--|---⌫--|---|-||----|
ci neauoitque	--⌫-|----|--|
au collié	-|--|---|
etdeden z lapl umemucié	-|-----⌫|-|--⌫--|-----|
sien escuier	---|------|
so nmesagelien charia	--⌫|-----|-|--⌫-----|
cargetes dra s	----|--|---⌫|
au ch aste l mamiemir as	-|--⌫----⌫||---||--⌫-|
moncisne porteraso toi	--|----|-------||--|
gardésqueenprenés conroi	------|--|-|------|-----|
seriantoup armeschine	------|-|-⌫-|-------|
quepre s entélisoitl ecisne	--|---⌫-⌫----|-|---|-⌫|----|
cilafetso n c onmande ment	--||--|--⌫|-⌫-------⌫---|
atantsen uale cine prent	|---||-|-|-|---|----|
totledroit chemin	--|-|----|-----|
au chastel uintconme il	-|------|---|----|-|
uil eesttrespassez	---⌫|--|---------|
mest re porte	----⌫-|----|
lepo rtier apelaosoi	-|--⌫----|----||--|
amisfetil e n tentamoi	---|--|-|-⌫-⌫---||--|
iesuiun shon detelmestier	-|--|--⌫|--|-|--|------|
doisiausprandremesaiaidier	|------|------|-|--|-----|
d esozca rlion	-⌫---|--⌫----|
pristcinealacon	----|---||----|
p orfo rcepo rmaintenement	-⌫-|--⌫--|--⌫|-----------|
la dame enueil	-|---|-|---|
ferepresent	---|------|
queienesoiedestorbez	--|-|-|---|--------|
encestpais achoison nez	-|---|---|--------⌫--|
l ibachelers	-⌫|--------|
lir espondi	-|-⌫------|
amisnu sn eparoleali	---|--⌫|-⌫|-----||-|
mesneporquant	--|---------|
giraisauoir	|---|-----|
se geporroie leu	-|-|------|--|
se n peuss emener	|-⌫|-----⌫|----|
i etef eroiealiparler	-⌫|-|-⌫----||-|-----|
en lasale uintliportiers	-|-|---|---|-|-------|
netrouaf ors	-|----|-⌫--|
cheualiers	---------|
sor unegrant tableseoit	--|--|----|----|----|
aunses c hesse	|--|--⌫-⌫--|-|
ded uisoit	---⌫-----|
h astiuementretorneariere	-⌫---------|------|-----|
c eluienm ai n ne	-⌫---|-|-⌫--⌫-⌫-|
entelma n iere	-|--|--⌫-⌫---|
que denului nefu s e uz	--|-|----|-|-|-⌫-⌫-|
destrebezneaparceuz	--------|-|-------|
a la chambreuintsiap e le	|-|------|---|-|--⌫-⌫-|
ouriun epucele	---|--⌫|-----|
c il sontdeuantla damealé	-⌫-|---|-----|-|---|---|
siontl ecisnepresenté	-|--|-⌫|----|--------|
ele ap ela sien uall et	--|--⌫--|---|----⌫-|
p uis siliditorten tremet	-⌫--|-|-|--|-||--⌫-----|
queme s cis nessoit b i engardez	--|--⌫|---⌫--|---|-⌫-⌫-|-----|
etqu e il aituian d e	-|--⌫|-|--|----⌫-⌫|
dame f e t il qui llap orta	---|-⌫-⌫|-|-|-⌫||--⌫---|
ianu s fo rsuousnur eceura	-|--⌫|--⌫-|---|||-⌫-----|
etiaest cepresen z ro iaus	-|-|--|-|------⌫|--⌫---|
u eezconmeest blans etbiaus	-⌫--|----|--|----|-|----|
en tresesbrazlibaill e etrent	--⌫--|--|---|-|-----⌫|-|---|
etel e bonem en tle prent	-|--⌫|-----⌫--⌫|-|----|
le collimani eetlechief	-|--|-|----⌫|-|-|----|
desozlaplume se ntle	----|-|----|--⌫-|-|
lisanzliremueetfremi	-|---|-|----|-|----|
q uil uintde	-⌫|-|---|-|
celuia fetdusiendonne r	----||--|-|---|-----⌫|
si len c onmanda	-||-|-⌫------|
quantla c ham brefu	----|-|-⌫---⌫--|-|
une meschine	--|-------|
l e bri efauoientdes lié	-⌫|---⌫-|------|---⌫---|
etelea leseelbrisié	-|--||-|---|------|
elpremierch ief	-|------|--⌫--|
trouamillon	----|-----|
desonamiconnois tle non	-|--|--|-------⌫|-|--|
foizlebese em plorant	---|-|---|-|------|
ainz quelepu issedireauant	---|-|--|--⌫---|---|----|
achi ef depiece uoit	|---⌫-|-|----|---|
ce quilotcon mandéet	-|-|-|-|---⌫-----|-|
poinesetl esdolors	-----|-|-⌫-|-----|
orestdu touten	-|--|-|---|-|
s onplesir	-⌫-|-----|
delu ioc irreo u du	-|--⌫|--⌫---|-⌫|-|
sel eseustengin gtrouer	|--⌫|----|-----⌫|-----|
conmeelpeust ali	----|-|----||-|
parsesletres	--|--|-----|
lirem andast	-|---⌫-----|
etle cisne lirenuoiast	-|-|----|-|--------|
primes lefacebien	-----|-|---|---|
puissi lelesse tan t	---|-|-|----|---⌫|
troisio rsque	----|--⌫-|--|
iln esoitpeuz	-|-⌫|---|---|
lebriefli soitaucol	-|----|-|---|-|--|
letlealeri l	--|-|---|-⌫|
laoui lprimesconue rsa	-|-|-⌫|-----|-----⌫--|
quant eleotto t l escritueu	----|--|-|--⌫||-----|--|
etcequ ele i	-|-|-|--||
oit e ntendu	--|-⌫-----|
leci sne fetbiense io rner	-|--⌫--|--|---|--⌫--⌫---|
etformentpest reetabeurer	-|------|----⌫-|-|------|
dede n zsachambremois	----⌫-⌫|-|------|---|
oroi ez conment	-|--⌫-|------|
tantqu epar	---|--⌫|--|
artetpar engin	--|-|--|----|
queele ote nqueetparchemin	--|--|-|-⌫---|-|--------|
brie fe sc rit	----⌫|-⌫--⌫--|
t elconlip lot	-⌫-|--|-|-⌫--|
osonanelleseel ot	|--|---|-|----⌫-|
l ecisneotlessiéi e uner	-⌫|----|-|------|-⌫-⌫---|
pentse l letaler	---|-||--|---|
estoit familleus	-----|--------|
etdeuiandecouoi te us	-|-|-----|-----⌫--⌫-|
hastiuementestreuenuz	----------|--|------|
l a d ontprimese stoi t	-⌫|-⌫--|-----|-⌫----⌫|
en lauile etenlameson	-|-|---|-|-|-|----|
desc entdeuant	----⌫--|-----|
lesp i ezmil on	--|-⌫-⌫-|---⌫-|
quantilleu itmol ten fuliez	----|-|-|-⌫-|---⌫|-|-|---|
helesl e prent hetiez	----|-⌫|----|-----|
ilapelas ondes pensier	-|----|-⌫-|---⌫------|
si lif etd on neramengie r	-|-|-⌫-|-⌫--⌫--||------⌫|
lialebr iefosté	-||-|--⌫--|----|
de chiefen	-|----|-|
chiefl aes gardé	----|||--⌫-----|
l es e nsaignesq uili trou ua	-⌫-|-⌫-------|-⌫|-||----⌫-|
etdessaluz serehai ta	-|--|----|-|-----⌫-|
n epuetsanz	-⌫|---|---|
orlirema nt totsonuoloir	-|-|----⌫-|--|--|-----|
fai tement	---⌫-----|
s iferailhastiuemen t	-⌫|---|-|----------⌫|
an z menerent	--⌫|-------|
milo nentreluiets amie	----⌫|----|--|-||---|
du cisnefirent mesagier	-|----|-----|-------|
ni a uoientautreenparlier	||-⌫-----|----|--------|
einsi lefesoie ntiuner	----|-|------⌫-|----|
illelessassentuo l er	-|-|---------|--⌫-⌫-|
c ila q uili oisiaus ue noit	-⌫-||-⌫-|-|------|--⌫---|
icesachiezbienliplesoit	--|------|---|-|------|
ensemble uindrentplusor sf oiz	-------|-------|------⌫|-⌫--|
estredes tr oiz	----|---⌫--⌫--|
ne s itenuzestroitement	-|-⌫|----|-----------|
qu ilnetrouassent le u souent	-|-|-|---------|--⌫|-----|
lo rfilzn orri	--⌫|---|-⌫---|
tant otestée nsembleoli	---|-|----|-⌫------||-|
qu ilest oit	-|-|---⌫--|
uen uzen ae	---⌫-|-|-|
acheualier l	|--------||
a adoub é	|-----⌫-|
molt l aueugent da moisel	---|||--|---|--⌫-----|
lebrief lir en d ietla nel	-|----|-|-⌫--⌫-⌫|-||-⌫--|
puisli a ditquiestsamer e	---|-||--|--|--|-|---⌫|
et l auenturedeson	-||-------|-|--|
ilestbons cheual iers	-|--|---|------⌫---|
t antpreuz	-⌫--|----|
ta nthardizettan t f iers	--⌫-|-----|-|---⌫|-⌫---|
nul m eillor	--|-⌫-----|
nedepris ne de	-|-|---|-|-|
da meli amost r é	--⌫-|-||----⌫-⌫-|
etilau oit	-|-|--⌫--|
biene s couté	---|-⌫-⌫-----|
du biensomperes esi oi	-|---|--|---||---⌫-|
ce quiloto i	-|-|-|-|-⌫|
meismespenseet dit	------|----|-|--|
moltse doit honp ris ierpetit	---|-|---|--|-⌫---⌫--|----|
quantilainsifuengendrez	----|-|----|-|--------|
pere est si a l osez	---|--|-|-⌫-⌫---|
nesemeten greingnor	-|-|--|-|--------|
l ater re etdupais	-⌫|---⌫-|-|-|---|
assezauoit sonestouoir	----|----|--|-------|
ilnideme urefor slesoir	-|||----⌫--|---⌫|-|---|
eldeauoitpriscongi e	-|-|----|---|-----⌫|
amoltchastié	|---|-------|
etdebien fereamones té	-|-|---|---|------⌫--|
asse z lia auoir donn é	----⌫|-||----|----⌫-|
asuha ntone uaitpasser	|----⌫----|---|-----|
conmei lai n spot semetenmer	----|-⌫|--⌫-⌫|--|-|--|-|--|
aba rbefloees tariuez	|--⌫------|--⌫|-----|
dro iten bret aingneenestalez	---⌫-|-|----⌫-----|-|--|---|
l a despendi	-⌫|-------|
et tornoia	-|------|
asricheshommess	-|-----|-----||
onques neuintenn ules t or	-----|-|---|-|-⌫-|--⌫-⌫-|
n ut enist	||-⌫----|
aumei ll or	-|---⌫--⌫-|
le spourescheu alier s amot	--⌫|-----|----⌫-----⌫|---|
ce que des	-|--|--|
richesgaai ngnot	-----|----⌫----|
lordonnoitet	--|------|-|
sire tenoit	-|--⌫-----|
m o lt l argem en tdespendoi t	-⌫-⌫-|-⌫-----⌫--⌫|---------⌫|
onques sonuuel	-----|--|---|
ne seio rna	-|----⌫--|
celesterresla	----|-----|-|
priset laualor	---|-|-|----|
m olt fucor tois moltsothonor	-⌫--|-|---⌫---|---|--|----|
desabonteetdeson	-|-|----|-|-|--|
ua it lanoueleen	--⌫-|-|-----|-|
s onp ai s	-⌫-|-⌫--⌫|
quelidamoi se ldel a terre	--|-|-----⌫--⌫|-|-⌫|----|
qui passa mespor son	--|----|--|--|--|
prisquerre	---|-----|
p uisatan tf etparsapr oesce	-⌫--||---⌫|-⌫-|--|-|--⌫----|
parsonengingpar sa	--|--|-----|--|-|
quinepore ntnomer	--|-|----⌫-|----|
l apeloientpartout	|--------|------|
milon oiceluiloer	----|-|----|---|
etl esbi e nsde	-|-⌫-|--⌫-⌫-|-|
lui reg ret e r	--|---⌫---⌫-⌫|
mo ltf u d olentmolts eplaingnoit	--⌫-|-⌫|-⌫----|---|-⌫|---------|
decheual ier	-|------⌫--|
quitantualoit	--|---|-----|
que tan tc onme	--|---⌫|-⌫---|
il peust errer	-|----|----|
netornoiernarmesporter	-|-------||----|-----|
ne d eustnuldupais nez	-|-⌫---|--|-|---|--|
e streproisieznealo sez	-⌫---|-------|-|---⌫--|
choseseporpe nsa	----|-|-----⌫--|
h astiuementlamer passera	-⌫---------|-|--|------|
si iosteraaucheualier	-|------|-|--------|
porlu i laidir	--|--⌫|-----|
e tempirier	-⌫|-------|
p ar ire seuoudraconba tr e	-⌫-|--|-|-----|-----⌫--⌫|
sille pu et ducheua l abatre	|-|-|--⌫-|-|-----⌫|-----|
dontserailen	---|---|-|-|
finhon niz	--|---⌫--|
apresir aquerresonfiz	----|--⌫|-----|--|--|
quif orsdupaisest issu z	--|-⌫--|-|---|--|----⌫|
mesnesauoitqertdeue nuz	--|-|-----||--|----⌫--|
a f et sauoir	|-⌫-|-----|
congi edel i	-----⌫|-|-⌫|
uoloitauoir	-----|----|
coragel imostra	-----|-⌫|-----|
brie fet see lli e nuoia	----⌫|-|---⌫|-|-⌫----|
cisnemienescient	----|---|------|
l imanda stto tson	-⌫|-----⌫-|--⌫|--|
qa nteleoi sauolente	--⌫-|--|-|-|------|
quant porsonfiz trou e r	----|--|--|--|----⌫-⌫|
uoloitissirforsde saterre	-----|----|---|-|-|----|
et por l e biende	-|--|-⌫|---|-|
l uimostr er	-⌫-|-----⌫-|
neuoloitmied est orber	-|-----|--|-⌫---⌫----|
milon oile	----|-|-|
mandemen t	--------⌫|
sis apar eille richeme nt	-||----⌫----|-------⌫-|
ennorm endiee nestpassez	-|----⌫----|-⌫|--|-----|
pui sestd esqu enbretaingnealez	---⌫|--|-⌫---|-|---------|---|
molts aco intaaplus ors genz	---||---⌫---||----⌫--|---|
moltse rc ha l e stornoi emenz	---|--⌫--⌫-|-⌫-⌫|------⌫----|
richesoster	-----|----|
tenoitsouu ent	-----|----⌫--|
etsi donnoit co rtoiseme n t	-|-|------|--⌫--------⌫-⌫|
tout yue rce mest	---|---⌫|-||--|
conuers amilonelpais	-------⌫|----|-|---|
plusorsbons cheualiersr etint	------|---|---------|-⌫----|
desi quapres	----⌫-|----|
lapasq ueuint	-|----⌫-|---|
quil r econmencent	-|-|-⌫----------|
les tornoiz	--|------|
e tlesgue rresetlestornoi z	-⌫|--|---⌫---|-|--|------⌫|
saintmichiel s	----|------||
asenblerent	----------|
normant et	------|-|
bret oni alerent	----⌫-||------|
etliflamencetlifrancois	-|-|------|-|-|-------|
mesni ot gue res desen glois	--|||-|---⌫--|--|--⌫----|
miloni est alezpremiers	----||--|---|-------|
quim ol t e stoi thardize t	--|-⌫--⌫|-⌫----⌫|-----|-⌫|
leboncheualierdemanda	-|--|--------|------|
assez i otqui	----||-|--|
d eque lpa rtil esto itue nuz	-⌫|---⌫|--⌫-|-|----⌫-|--⌫--|
et sesarmes et	-|--|----|-|
tuitlorenta	---||----||
milon mo stre ́	----|--⌫----⌫|
et ill auoitb ien	-|-||----|-⌫--|
li tor noiemenzasembla	-|---⌫-------|------|
qu iios tequi st to stla	--⌫|---⌫-|---⌫-|--⌫-|-|
quion q uesu oltles rens cerc hier	--|--⌫-⌫--|-⌫--|--|---|----⌫---|
t ost ipue t perdre et g a aingni er	-⌫--||---⌫|-----|-|-⌫-⌫------⌫-|
enencontrerso nconp aingnon	-|--------|--⌫|----⌫------|
tantuos ueildiredemilon	---|--|---|---|-|----|
m ol t le fistbien	-⌫--⌫|-|---|---|
etmo l ti fu	-|--⌫-⌫||-|
p roisi ezleior	-⌫-----⌫-|-|--|
ua llezdontie uos di	--⌫---|---|-|--|-|
sortozles au tres	--|--|--|--⌫---|
ne s ipo t nus ac omparer	-|||--⌫|--|--⌫------|
deiosterne de t orn oier	-|-----|-|-|-⌫---⌫---|
milon le u itsicontenir	----|-|-⌫-|-|-------|
issibienpoin dreissi tenir	---|---|----⌫--|---|----|
parmitotceq uill	----|--|-|-⌫|-||
mo l tli fu b e l etmo lt	--⌫-⌫|-|-|-⌫-⌫|-|--⌫-|
elrencsemetencon trelui	-|---|-|--|-----⌫--|--|
ense mbleiostentam dedui	----⌫---|------|--⌫----|
milon l e f ier ts id urement	----|-⌫|-⌫---⌫|-⌫|-⌫------|
santepecoie uo irement	----|-----|--⌫------|
auoitp as abatu	----|-⌫-|----|
c ilrauoit sim i lonferu	-⌫-|-----|-|-⌫-⌫--|---|
queiusducheuallabati	--|--|-|-----||----|
desoz lauentail le chois i	----|-|-------⌫-|-----⌫|
labarbeetlescheueu schanuz	-|----|-|--|------⌫|-----|
molt lip u isequ ilestcheuz	---|-|-⌫-⌫--|-|-|--|----|
pa rlare sn e	--⌫|-|--⌫--⌫|
lecheualpre nt	-|-----|---⌫-|
d euantlui let inten pres ent	-⌫----|--|-|-⌫--|-|----⌫--|
puis liadit siremo nte z	---|-||--|---|--⌫---⌫|
moltsuid olent ettrespensez	---|--|-⌫----|-|---------|
h onmedeuostre	-⌫---|-|-----|
deussefe r etel outrage	-----|--⌫-⌫|--|------|
milonsautsusmoltlifu	----|---|--|---|-|-|
eldoicel uichoisilan el	-|--|---⌫-|-----||--⌫-|
qua ntill i rend i	---⌫-|-|-⌫|----⌫|
so n cheual	--⌫|-----|
ilareso nneleuassal	-|-----⌫--|-|-----|
amis f etil	---|-⌫-|-|
p or amorde uomnipo tent	-⌫-|---|--⌫|------⌫---|
dimoico nment a	-|--|--⌫----||
nontonp ere	--|--|-⌫--|
conmentasn on quiestta	------|-|-⌫-|--|--|-|
sauoire n ueillauerite	-----|-⌫|---|-|-----|
mo l taiue umoltaierré	--⌫-⌫|-|--⌫|---|-|----|
moltai cerchie ́ sautres	---|-|-------⌫-⌫|-----|
partornoiemen ze t	--|----------⌫|-⌫|
pa r guerres	--⌫|------|
onq ue sp arco upach eualier	---⌫--⌫|-⌫-|--⌫-||--⌫------|
mon destrier	--|-------|
tum asabatu auioster	-||-|----|-|-----|
amerueilleste pu islo er	|---------|-|--⌫-|--⌫-|
respont ieuos dira i	------|-|--|----⌫|
pere tantcon	---|---|--|
iecuitq uilestdeg aresnez	-|---|-⌫|-|--|-|-⌫---|--|
et siestmilon apelez	-|-|--|----|-----|
fi lle a roi riche ama	--⌫--||--|----|--|
c elee m en tmiengendra	-⌫----⌫-⌫--⌫|||-------|
ennorhonbrefuenu oiez	-|--------|-|---⌫---|
lafuinorri z etensaingniez	-|--|-----⌫|-|----------|
une moieantem	--|---|---||
tantm iga rdaens e mble o li	---|||--⌫--|---⌫-⌫---||-|
ch eu alet armes mi donna	--⌫--⌫-|-|----|||----|
encesteterremen uoia	-|----|----||--⌫---|
ci ailongueme ntc onuers é	-|-|--------⌫-|-⌫------⌫-|
en talentaietempense	-|-----|-|-|-|----|
hastiuementmer passerai	----------|--|-------|
enseignes lidirai	--------|-|----|
uo udrar enoier	--⌫---|-⌫-----|
ainzmamerae t tenrachier	---||----|-⌫|----|----|
quantmilon	----|----|
loteinsi parler	|-|----|-----|
le pot plusescouter	-|--|---|-------|
auantsaillihastiuement	----|-----|----------|
pa rlepanduhauberc	--⌫|-|--|-|------|
h edex fet	-⌫|--|--|
amisfet iltuesmesfiz	---|--|-|-|-|--|--|
por toitroueret portoiquer re	--|--|-----|-|--|--|----⌫-|
issio anforsde materr e	---|-⌫-|---|-|-|----⌫|
quantci l oi apiedescent	----|--⌫|-||--|------|
so nperebesedouce ment	--⌫|---|---|-----⌫---|
molt bi au	---|--⌫-|
semblantentreus	-------|---|--|
ettexparoless edisoien t	-|--|------|-⌫|-------⌫|
quantli tornoiem enzdepar t	----|-|--------⌫--|-----⌫|
u amolt liest tar t	-⌫|---|-|--|---⌫|
son fi lz paroultaloisir	--|--⌫-|------||-----|
et qu il li die sonplesir	-|-|-|-|--|--|-----|
en chastelfur entlanuit	-|------|---⌫--|-|---|
a ss ezore nt	-⌫--⌫-|---⌫-|
io ieetdeduit	--⌫-|-|-----|
d eche ualiersa grant	-⌫|---⌫------||----|
m ilo n a son fiz a	-⌫---⌫||--|--||
de samereconmeillam a	-|-|---|----|-||--⌫|
ecomsonpereladonna	|--|--|---|-|----|
laco ntree	-|--⌫----|
etconmentil la puisamee	-|------|-|||---|---|
etel e luid eboncor a ge	-|--⌫|--|-⌫|--|---⌫-⌫-|
etconducisn e	-|--|-|----⌫|
fistmesa g e	---|----⌫-⌫|
lesletr es lifes oitpo r t er	--|----⌫-|-|---⌫--|--⌫-⌫-⌫-|
osoitennul	----|-|--|
lefilzrespont	-|---|------|
parfoi biaupere	--|--|---|---|
i asemble ra iuo set	|-------⌫--⌫|--⌫|-|
son se ignorq uele aoc iraai	--|--⌫----|-⌫|--||--⌫----|
etespouserl a uos	-|-------|-⌫|--|
cel eparole d oncl aiss erent	---⌫|-----|-⌫--|-⌫----⌫----|
a pareille rent	-⌫--------⌫---|
