quibonscountesuoet entendre	--|---|------|---|-------|
karlesterr es deplusurspa rz	--|--|----⌫-|-|------|--⌫-|
delui enuir onaueit	-|--|-----⌫-|----|
q uiensnemarch is	-⌫----|-|-----⌫-|
kese s hommesdeuenusneseit	-|--⌫|-----|------|-|---|
ou soitatortousoitadre i t	-|---||---|-|---||---⌫-⌫|
mes tant iotdemesauentur e	--|---||-|-|----------⌫|
ke o nqesnefisteng endrure	-|-⌫---|-|---|---⌫------|
degra nt ioie	-|---⌫-|---|
fustsor partiz	---|--|-----|
ke unkesne ot filenefiz	-|----|-|-|---|-|--|
mesunson neu uepruzaueit	--|-|--|---⌫-|---|----|
he irapr es lu ie steit	--⌫-|---⌫-|--⌫|-⌫----|
multesteitprisé eamez	---|-----|-----||---|
easarmesmultalo sez	|-|----|---|---⌫--|
multes tei tsagep ur uerite	---|--⌫---⌫|---|-⌫-|-----|
edesp lusorsmult	|--|-⌫-----|---|
beasier t efi ersde gran tuertu	---|---⌫||--⌫--|-|----⌫|----|
capan eusape lé fu	-----⌫--|---⌫--|-|
multou t ge ntcorsebelu iair e	---|--⌫|--⌫-|---||--|-⌫----⌫|
sire steitfrancse debonere	-|--⌫----|-----||-------|
tutcild ela cur t multl	--|--|-⌫|-|---⌫|---||
eta nt cum lerei lehonurerent	|--⌫-|--|-|--|-|---------|
orelerromsdeli atant	--|------|-|-|----|
assezorrez ana u ant	----|----|-|-⌫-⌫--|
liroisotune soror	-|---|-|--|----|
kedoné auoit a	-|----|----||
aducde calabre	|--|-|------|
parconc orddune mellee	--|----⌫--||--|-----|
keentrelurterresa uynt	-|----|--|-----|-⌫---|
doncle duc hommel erei	---|-|--|----|-⌫|--|
luyt inttut e sa	--|-⌫--|---⌫|-|
p uralia ncedesa guerre	-⌫-|----⌫--|-|-|-----|
adespuse ́ sasor or	-|------⌫|-|---⌫-|
une damedegr antualor	--|---|-|--⌫--|----|
l yduxah onorlaga rda	-⌫|--||-⌫---|-|--⌫--|
i engendra	|-------|
nefiu z nefil iep lusn a uoient	-|---⌫|-|---⌫-|-⌫--||-⌫-----|
assez bref terme ensembleesteient	----|---|----|-------|-------|
d eus anzceoquid ensembl e	-⌫--|--|--|---|-------⌫|
eam ed uyu niourmorurent	|--⌫--⌫-|-⌫|---|-------|
elameschi ne	|-|------⌫-|
otleherit age	-|-|-----⌫--|
k e amerueilledeui n tsage	-⌫||--------|----⌫-⌫|---|
kant eleau oit yyanz passez	---|--|--⌫--|-|--|-----|
elea uoite nsei tute	--|-⌫---|-⌫|--|---|
d ebounte fu stenl umin ee	-⌫|-----|--⌫-|---⌫----⌫-|
un kesta nt bele	--⌫--|--⌫-|---|
n efut nee	-⌫|--|--|
elsi e cle	-|--⌫-⌫--|
damene meschine	---|-|-------|
carele poe testr eregne	--|--|---⌫|----⌫|----|
edame de trestutle m und	|---|-|------|-|-⌫--|
detut esdameskii sunt	-|---⌫-|----|-||---|
tantpar estsa gedamoisele	---|--|--|--⌫-|--------|
equointe emu surable e bele	|------||--⌫------||---|
eq uointe ssedegra ntmanere	|-⌫------⌫--|-|---⌫-|-----|
me stant fu orgoi llose e f ere	--⌫|---|-|-----⌫----||-⌫--|
not autreforcefordame r	|-|----|----|--||---⌫|
autre forcene uolt demener	----|----|-|---|------|
kar alp rim eriurk	--|-|-⌫---⌫-|--||
c al ab ree queledameifust	-⌫--⌫--⌫-||----|---||---|
fer ereison	---⌫|-----|
ceooirenttutl ibaro n	--|-----|--|-⌫|----⌫|
keiames seignur ne pren dreit	-|----|------|-|----⌫----|
neespuseiene sereit	-|-------|-|-----|
n e purreinepurhomme	-⌫|--|--|-|--|----|
meske cilfustsi rede rom e	--|-|--|---|--⌫-|-|---⌫|
les reines demu nd	--|-----|-|--⌫-|
e de tuzleshomes kesunt	|-|--|--|----|-|---|
siilnefustchi u a lersipruz	-|-|-|---|---⌫-⌫-⌫--|-|---|
kyas a rmesquit	-|-|-⌫---|---|
kye ntotesterresouentr a st	-|-⌫|----|-----|-|----⌫-⌫-|
lelos e leprispo rtast	-|--||-|---|--⌫----|
lib aront restuz	-|-⌫---|-⌫-----|
kantoiren tcestereison	---|-----⌫|----|-----|
ni out cilkilaueit del oil	||--|--|-||----|-||--|
keceonetintagrantorgoil	-|--|-|---||----|-----|
dites tnesen istra	--|--⌫|-||-|----|
tantcome ele ga rderse purra	---|---|--|--⌫---|-|----|
purces t ep arole	--|---⌫-⌫|-⌫----|
ke eleaddit enceste manere	-|--|-|--|-|----|-----|
l a fiere pucele estnomee	-⌫|----|-----|--|----|
parencen u ait larenomee	--|--|-|-⌫--|-|------|
multes teitdeli grantparlanc e	---|--⌫---|-|-|----|-------⌫|
delumbardiedes qes enfrance	-|--------|---⌫--|-|-----|
bur goineeparp eit ou	---⌫----||--|-⌫---⌫-|
p arani ou	-⌫-|---⌫-|
parlorei nee	--|-----⌫-||
p arh ung rie	-⌫-|-⌫---⌫--|
par flaun dresepar	--|-----⌫---||--|
e par engletereeparbretaigne	|--|--------||--|--------|
epar almaigne	|--|-------|
e npo ille fusta ssezparl é	-⌫|--⌫---|---|-⌫---|----⌫-|
e delapuc elee	|-|-|---⌫--||
de sa fierte	-|-|-----|
desa ualur ede sap rue sce	-|-|----||-|-|-⌫---⌫--|
edesabeaute edesalarges c e	|-|-|-----||-|-|------⌫-⌫|
desunsen des a	-|--|--|-|-⌫|
unqe sn aquit encesteuie	----⌫|-⌫----|-|----|--|
ffemm eketelechosesust	-----⌫|-|---|-----|--|
n eki sole ment ame r p u st	-⌫|-|----⌫---|---⌫|-⌫-⌫-|
mesele aue ittrop fie re corage	--|--|---⌫-|---|---⌫-|-----|
paraturee n fitke	--|----|-⌫|--|-|
ceo dienceosage	--|---|--|---|
kebi en ate nt nem esatent	-|--⌫-|---⌫-|-|-⌫------|
kysehaste pluskil	-|-|----|---||-|
so ue ntli uient mauueis espleit	--⌫--⌫-|-|----|------|------|
ca r bie nau e z oi	--⌫|---⌫|--⌫-⌫|-|
kemauuei se haste nestpruz	-|------⌫-|----||--|---|
cestegueres ne cehas ta	----|-----|-|-|---⌫-|
ou bieno umallen auendra	-|---|-⌫|--||-|------|
enpoileauoi t	-|----|----⌫|
e n icel tens	-⌫|---|---|
unreisqi e r tde	-|---|-|-⌫-⌫|-|
mul tgr ant sens	---⌫|--⌫--|---|
hermogen e sfustapelé	--------⌫-⌫|---|-----|
desleisiertcointes	--|---|---|------|
efustpr uz	|---|--⌫-|
enchiualerie	-|---------|
emultiertfundeze nclereg ie	|---|---|-----|-⌫|------⌫-|
mul tfu prisezenplusurs terr es	---⌫|-|-----|-|------|----⌫-|
ouil othantégrant	-|-|-|-----|----|
parlelos desu nhar deme nt	--|-|--|-|--⌫|---⌫----⌫-|
e pursunfier	|--|--|---|
contene ment	-------⌫---|
de poilelemander ent	-|----|-|------⌫--|
elare a lmel uydonere nt	|-|--⌫-⌫--|-⌫-|------⌫-|
kyeritagep oilefu	-|------|-⌫---|-|
aince sseignoreu	-----⌫|------|-|
cis troistintsagementsagent	---⌫|---|---|-------|-|---|
agr antamor e	|--⌫--|---||
fiz desa mulier	--|-|-|-----|
kinertpa suncorechiualer	-||--|--⌫|-----|-------|
ualletesteit ebeau se	-----|-----||----⌫||
demerueillousafaitemen t	-|----------|---------⌫|
sibeauiuuenceus	-|---|--------|
s ia lig ne ne	-⌫|-⌫---⌫-|-|
ne sicurteysn e siuaillant	-|-|------|-⌫|-|-------|
sifrancsiduz	-|----|-|--|
nesiso ffra nt	-|-|--⌫----⌫-|
t u t e genzde l uy diseientbienz	-⌫-⌫-⌫|---|-|-⌫-|-------|----|
multsauoitdesoysausede chienz	---|-----|--|-----||-|-----|
emultesteit	|---|-----|
de bonse ru ise	-|--|--⌫--⌫--|
tuz lamoientpu rs afra nchise	--||------|--⌫|-⌫|---⌫-----|
il outmult bondoctrinem ent	-|--|---|--|---------⌫--|
eilmul tuolentiersapre nt	|-|---⌫|---------|----⌫-|
ilot mestresicurtey s	-|-|-----|-|------⌫|
keel mu ndnoutsiric hereys	-|-|--⌫-||--|-|---⌫-|---|
k i lnesout	|-⌫|-|---|
mult bi e nseruir	---|--⌫-⌫|-----|
custu me sreteni r	-----⌫--⌫|------⌫|
liuadl etoncor esotassez	-|----⌫-|-----⌫|--|----|
esifut mult bi enlettrez	|-|--|---|--⌫-|------|
kiencler e gieest auqesb aut	-|-|----⌫-⌫--|--|----|-⌫--|
as autresensle melzuaut	-|----|---|-|---|---|
depl usaguengin serra	-|--⌫-|--|----|----|
un ereisonmelz	--⌫|-----|---|
enten dr a	-----⌫--⌫|
ypomedon aueita nou n	-------|----||---⌫|
no tencore	|-⌫|-----|
barbeneguern oun	----|-|-----⌫--|
aune fes teauintissi	|--|---⌫-|----|---|
kele u aleta	-|-|-⌫---||
mangerserui	-----|----|
o ytcesc hiualers	-⌫-|--|-⌫-------|
la f ierepu cele nome r	-|-⌫---|--⌫---|----⌫|
kedeca la bree st eitdukeise	-|-|--⌫--⌫--|-⌫--⌫--|------|
com erta sseignez ecurte ise	--|--|-⌫-------||-----⌫--|
curt desuzla nue	---|----|-|--|
lutrouéne ueue	-|-----|-|---|
desqesen orient	-----|-|-----|
ou tantie rt de affeitemen t	-|---|--⌫-|-|----------⌫|
si parloie n t	-|-------⌫-⌫|
ceschiualers	--|--------|
ei lesc outei tuole nters	|-⌫|---⌫-----⌫|----⌫----|
p lus pen saqene f itsemblant	-⌫--|---⌫-|-|-|-⌫-|-------|
nerespundi t antne	-|-------|-⌫--|-|
kantuintal manger deseruanz	---|---|-|-----|-|------|
a ssezes tpensifse pes a nz	-⌫---|--⌫|------||---⌫-⌫-|
niadg ueres mang é	||-|-⌫----|----⌫-|
simestresl	-|------||
e uaitparler son	|---|-----|--|
belui sa ge	--|--⌫--⌫-|
multest iréenson	---|--|---|-|--|
kantl e ueitmo r needesheité	---|-⌫|---|--⌫-⌫-||--------|
tart l i semble qil soit	---|-⌫|-----||-|---|
eleuédelatable suz	|----|-|-|----|--|
ypo medo nse hasta p lu z	---⌫----⌫|-|----|-⌫--⌫|
comm il einzpoestsenes t	---|-|---|----||-|--⌫|
sunmestrea	--|-----||
sei a dapelé	--|-⌫|-----|
tholmeumestre	------|-----|
m entend ez	|------⌫-|
conseil s uu squer simedonez	-------⌫|--⌫|---|-|-|----|
telkea moy seit honorable	--|-||--|---|--------|
bon ledorr ez uostre escient	--|-|----⌫-|-----|------|
neuus puzmes	-|--|--|--|
cel e rnient	---⌫-⌫|----|
tantai iss ie stée seru i	---|-|---⌫|-⌫---||----⌫|
ke ieometie ngea u ifhoni	-|--|-|---⌫--||-⌫-|---|
sioiparlerde cu rtestranges	-|-|-----|-|--⌫-|--------|
mes keieouoise nuz pie zen l angez	--|-|--|----|--|---⌫|-|-⌫----|
edeiu etutsula ler	|----⌫|--|--|-⌫--|
neuo ilmesc iarester	-|--⌫-|--|-⌫|------|
mestre uussauezbi enkedit	-----|--|----|--⌫-|-|--|
lisages homm een son repit	-|----|----⌫|-|--|----|
deaffaitemen tnaueraiap ris	-|----------⌫||----|-|-⌫--|
forsde une	---|-|--|
cortappris	---|-----|
miperesmeeimee n t el en d reit	-|----|-|---|-⌫|-⌫-|--⌫-⌫---|
pur nul er iennesoff reit	--|---⌫|-⌫--|-|----⌫---|
pur larequeste	--|-|-------|
keieom enpartisede	-|--||-|------|-|
ce rtes mest re qe	--⌫---|----⌫-|-|
odluymesnede m orramie	-|--|--|-|--⌫-⌫---|--|
esiuoil bien	|-|---|---|
que u us le	--|-⌫-|-|
siu usfailliermeu oillez	-|-⌫-|-------|-|-⌫-----|
ke oue moyne uolez uenir	-|--|--|-|----|----|
m esk eendeuera i	-⌫-|-⌫|-|------⌫|
totsul partir	--|--|-----|
enta pinage	-|--⌫-----|
quelque s eie fousou sage	---|--|-⌫--|---|-|---|
aillor sirrai	------⌫|----|
seruisequere	------|----|
tropaie stéenceste	---|-|-⌫---|-|----|
tholomeul ad moutg ardé	-------||-|---|-⌫----|
epu zapres	|--⌫|----|
enad pensé	-|-|-----|
grant piec eapressiresp undi	----|----⌫|----|-|----⌫---|
beaus ireieouusnori	---|-⌫--|--|--|---|
silm ei tde xieouusd or r i	|-||--⌫|--⌫|--|--|-⌫--⌫-⌫|
i cielconseilqeieo saueri	-⌫---|------|-|--|-----|
m u ltmepl otc eoqeditm	-⌫-⌫-|-|--⌫-|-⌫-|-|--||
uostre pensermede sc ourez	-----|-----|-|--⌫--⌫----|
u u smaiortalent	-⌫-⌫|----|-----|
daleraprend re	|---|------⌫-|
af fai tement	--⌫---⌫-----|
uo l ezsauer	--⌫-⌫-|----|
oilpuruoir	--|--|---|
i eouusd irraial mienespeir	-⌫-|--|-⌫----|-|---|-----|
sa uezcom luy chiualer	--⌫--|--|--|-------|
parloienthu ya manger	--------|--⌫||-----|
tost d e lafi e red amoisele	---|-⌫|-|--⌫-⌫-|-⌫-------|
k etantpar	-⌫|---|--|
estcu rtoise e	--|--⌫-----||
esiieone u eis e laffai tement	|-|--|-|-⌫---⌫||-----⌫-----|
iorqene s aie dolenz	--|-|-|-⌫--|-----|
li mestresoytceo quilot	-|------|--|--|-|-|-|
mu ltparluyp letsis e n	--⌫-|--|--|-⌫--|-||-⌫|
uo lez uus amis q ensiseit	--⌫--|--|---||---|---|
bienencest	---|-|---|
siec leta nt	----⌫-|--⌫-|
m ar s errez pensifsdecest	-⌫-|-⌫----|------|-|---|
daler ou euus suitut prest	|---|--⌫|--|--|--|----|
yp o medon multlym erci e	--⌫-⌫----|---|-|-⌫----⌫|
eapresluyrequiert e	|----|--|-------||
keilprenentconge	-|-|------|----|
kil ne coruce uerssoi	|-|-|-----|---|--|
edem e re l a	|-|-⌫-⌫-|-⌫|
deseruier lafieremeschine	-|------|-|----|-------|
th olomeunesest pas targé	--⌫-----|-||--|--|-----|
a l roi uintsiadprise	-⌫|--|---|-|-|----|
lareigne tutensement	-|-----|--|-------|
lotr ie bonement	|---⌫-|-------|
reynemutpesa	----|--|---|
mout aenuisluygranta	---||----|--|-----|
ke s is f izdust	-|-⌫-|-⌫-|---|
esloign er	-------⌫-|
ele notforly sul	--||-|--|-|--|
sil ot cher	-||-|---|
mesl im estresl aloeit	--|-⌫|-⌫-----|-⌫|----|
sigranta ceoq uil uoleit	-|-----|--|-⌫|-|-----|
ypomedonsest apres tez	-------||--|-----⌫--|
ore argentenporte	-||-----|-|----|
keluyuatholemeu son	-|--|-|-------|--|
a uoitseriant	-⌫---|------|
per n entco n geepartizsunt	---⌫-⌫--|--⌫-⌫-||-----|---|
so ulcistdeus d el a	--⌫-|---|---|-⌫|-⌫|
co rtsenu ont	--⌫-||-|-⌫--|
n urentmes fo rs	|----|--|--⌫-|
d eussomers	-⌫--|-----|
chargés dedrapsedeners	-------|-|----||-----|
ungarzpet it le s condueit	-|---|---⌫-|--⌫|-------|
tuitlinsypomedon esteit	---|---|-------|-----|
re tenulo tkarmultert sag es	--⌫---||-⌫|--|---|--|---⌫-|
pu re nuoir ences	--⌫|-⌫----|-|--|
t anterrentparlu riornees	-⌫--|-----|--|--⌫|------|
parle sterrese les c ountre es	--|--⌫|-----||--|-⌫------⌫-|
keencala br e sun tuenu	-|-|----⌫--⌫|---⌫|---|
een lacite	|-|-|---|
suntdescendu	---|-------|
ou l af ie refu st ostilee	-|-⌫|-⌫--⌫-|--⌫-|------|
lacitef utbi e nherbigee	-|---|-⌫-|--⌫-⌫|-------|
m est holome u esteitmultsag es	-⌫-|-⌫------⌫|-----|---|---⌫-|
sisaueitde plusurs	-|-----|-|------|
l ang a ges	-⌫---⌫-⌫--|
ne less apas	-|----⌫|--|
pur auerte	--|-----|
ostelnefu tost atorné	----|-|-|---|------|
kil out assezoreb esanz	|-|--|----|-||-⌫----|
ci l fu larges	--⌫|-|-----|
edesp endanz	|----⌫-----|
a l pl usriche ostel	-⌫|--⌫-|----|----|
kilpoutprend re	|-|---|-----⌫-|
lafisty pomedondescendre	-|---|-⌫------|--------|
ki cists urson deis	-|---|-⌫-|--|---|
sa illi suzmultie r tc ortais	--⌫---|--|---|--⌫-⌫|-⌫-----|
regardalenfante leu i sage	------||-----|-⌫-|-⌫-⌫---|
asse z parus tdehaut para ge	----⌫|-----⌫|-|---|----⌫-|
c urteysementlad	-⌫----------||-|
offrea sauolunt e	----||-|------⌫|
le ualetoitlacur tesie	-|----|--|-|---⌫----|
pa rfundlencline	--⌫----||------|
tostestturné lios teu s	---|--|-----|-|--⌫---⌫|
en l acite	-|-⌫|---|
cortin esdedrasd esei edepeint	------⌫-|-|---|-⌫|---⌫|------|
etaspizbeaus i	|-----|----||
tantrichementatt ornéer e	---|--------|---⌫----|--⌫|
gisery poei tun emp er ere	----||----⌫|-|---⌫--⌫--|
tholomeu neoblia mie	-------|-|----|--|
alos teluintsiad prié	||--⌫--|---|-|-|----|
faceachete rconreie	---|------⌫|------|
noun laschementmesadesrey	---|---------|--||-----|
dep lusbonuined e pluscler	-|-⌫--|--|--||-⌫|---|---|
kil p uisseen	|-|-⌫----|-|
lacitet rouer	-|---|-⌫----|
sisir esacort	-|---⌫-||---|
kelosteseitheiste	-||---|---|-----|
cil etr e stute sa	--||--⌫-⌫----|-|
seientseruirich ement	-----|----|----⌫----|
le u aletdautresdras sao urne	-|-⌫---||-----|---||--⌫---|
edaleracort	||---||---|
kantdututatorné fu	---|-|--|------|-|
ee n ue iseementiert	|-⌫-⌫--⌫-------|---|
belpalfraimonta	--|------|----|
a lac or tt utdreits en	|-|-⌫--⌫|-⌫-|----||-|
m estresesteitoueluy	-⌫-----|-----|--|--|
alacor tsuntuenuzamedy	|-|---⌫|---|----|----|
d elasaledec ent	-⌫|-|---|---⌫--|
l igarzifulo rchiuausprent	-⌫|---||-|--⌫|------|----|
ce l ior iertla	--⌫|--|---|-|
cortplenere	---|------|
homm es qe lafiere	----⌫-|-|-|----|
teneitadon c multg rantplet	-----|----⌫|---|-⌫---|---|
desmellez dem effet	--------|-|-⌫----|
deusrichebaronsde	---|----|-----|-|
este ient e ntréeng ran tguerre	----⌫---|-⌫----|-|-⌫---⌫|-----|
celior enpeus e r lesuoleit	--|--|------⌫-⌫|--|-----|
ca rde redd eiustiseesteit	--⌫|-|----⌫|------|-----|
ypomedonen	-------|-|
lasaleentre	-|---|----|
e simestre seitentresoentre	|-|------⌫|--|----|------|
deune p urprecendaliert u estu	-|--|-⌫----|-----|---|-⌫---|
legrantchaudk eado nkes fu	-|----|----|-⌫|---⌫---|-|
libl ia usp asfure ́	-|--⌫--⌫-|-⌫-|----⌫|
a merueille	|--------|
liman tel ie rtfurédehermin	-|---⌫--|--⌫-|----|-|-----|
ke multiertblanchee	-|---|---|------||
bonee fine	---||---|
e fuu npoiditablé	|-|-⌫|--|-------|
o uemeruailce ndal adenté	-⌫-|------|--⌫---|------|
lablancheu ermyemult	-|------|-⌫----|---|
kan t a purpremeruailset int	---⌫||-----|------|-|-⌫--|
mu ltie rtle bienseant	--⌫-|--⌫-|-|---|----|
emult bieneit	|---|---|--|
mult l iaeitsesdras	---|-⌫|---|--|---|
liualetuint	-|----|---|
touzle reg arderentagr antmerueille	---|-|---⌫-------||--⌫--|--------|
lafaceaukesuermaille	-|---|----|--------|
purla beaute	--|-|-----|
durement lui auenei t	-------|--|------⌫|
desabeaute	-|-|-----|
qu ant ilentra	--⌫--|-|----|
saleen lumina	---|--⌫-----|
sicumlesolai ldoneauior	-|--|-|-----⌫|---|-|--|
clarteapresgr a ntt enebror	-----|----|--⌫-⌫-|-⌫------|
siretleynslaclarte	-|--|----|-|-----|
etla lu me	-|-|--⌫-|
b loiela cheuelure	-⌫---|-|--------|
esiduc el aregardure	|-|---⌫|-⌫|--------|
simplenet ropfie re	-----|-|-⌫--|---⌫-|
assez ertd eb one ma nier e	----|--|-⌫|-⌫--|--⌫----⌫|
plener e lar ge	-----||---⌫-|
aueit lefrunt	----|-|----|
aluisagebi enrespunt	-|-----|--⌫-|------|
cumaucor sfup lu s auenant	--|-|---⌫|-|-⌫--⌫|------|
l esoilzo tclersbelserians	-⌫-|---|-⌫|----|---||----|
ele nesa mesu ré	|-|--|-⌫----⌫--|
pargran testudi e fu	--|----⌫|------⌫|-|
e la bouchesibienlisi st	|-|-----|-|---|-|--⌫-|
tuzio r su usfustuiskeleoffrist	--|--⌫-⌫|-⌫-|---|--||--|------|
a be iserdame o u	|--⌫---|---|-⌫|
dame isele	----⌫----|
tantparf u medle ́ebe le	---|--|-⌫|-----⌫||--⌫-|
long blanche p etrine	---|------|-⌫-----|
assezplusk enefu hermine	----|---|-⌫|-|-|------|
espaulesotilauenauntes	-------|-|-|---------|
p a rmesur e	-⌫-⌫|-----⌫|
biens eauntes	---|-⌫------|
outdebele stature	--|-|---|------|
aukeslonges	----|-----|
lafor chure	-|---⌫----|
e belemainsebraz beau s	|---|----||---|----⌫|
tant entrel ace ́defrese aus	---|------⌫---⌫|-|-----⌫--|
pi sotepe sauenauntment	--⌫|-|---⌫|-----------|
eparse s fl ankesauqes	|--|--⌫|--⌫----|----|
les ia mb esdreites	--|--⌫--⌫-|------|
e les piez	|--|---|
bienfet suntebien tailliez	---|--|---||---|-------|
ie on equid	--⌫|-⌫|---|
pas q eunk es	--|-⌫|---⌫-|
ffeit plusb ele c rea ture	----|---|-⌫--|-⌫---⌫---|
ken di rraic estl asu me	|-|--⌫---||--|-⌫|--⌫-|
ento t lemun d n	-|--⌫|-|---⌫||
a iceliourcum	|---|---|--|
ne tantgetesestrepert	-|---|----|----|---|
nad cureeinz qe celui fe it	|-|---|---|-|----|--⌫-|
e st udieeg ra nt	-⌫--⌫---||-⌫--⌫-|
ent ente y meit	---⌫---||---|
kanke ele s ietfere	----|--|-⌫--|---|
de beau te	-|----⌫-|
outenl uisol ens emblé	--|-|-⌫-|--|---⌫-----|
n e l ui faillitpas lafra nchise	-⌫|-⌫-|------|--|-|---⌫-----|
nelesens ne	-|-|---|-|
lebel seruise	-|--|------|
en lasalenotchiualer	-|-|---||-|-------|
ffr a ncsnecoueit couar tnefie r	---⌫-⌫--|-|-----|-----⌫|-|---⌫|
qu idebonquer	--⌫|-|--|---|
n ele sgardast	-⌫||-⌫-------|
esa beautem ultloat	|-|-----|-⌫--|---|
eke nemerueillastdelui	|-|-|----------|-|--|
keunkestantdebeaute not	-|----|---|-|-----||-|
ff orsso ulela	--⌫--|--⌫--|-|
dama ise lefie re	----⌫---⌫-|---⌫-|
liremua che re	-|----|---⌫-|
k eleneit pas quer comfemm e	|--||--|--|---|--|----⌫|
carnadel munde en	--||-|-|----|-|
kiencelpoint	-|-|--|----|
la garda st	-|-----⌫-|
mienes cientqe n el eamas t	---|--⌫----|-|-⌫|-⌫|----⌫|
l afiere leregar d egrantpose	-⌫|----|-|-----⌫-⌫|----|---|
nepen sade	-|---⌫-|-|
s i quersn	-⌫|----||
e stpason cor edauntés	-⌫-|--|--⌫---⌫|-------|
mesd eu luidoint de ceo assez	--|-⌫-|--|----|-|--|----|
e atutesd e lesorguiloses	||----|-⌫|--|---------|
ked amer sunt si desiro ses	-||---|---|-|------⌫--|
ipomedon n esearesteit	-------|-⌫|-|-------|
fiere dreit	----|----|
aukespr essest aproc hez	----|--⌫-||--|-----⌫--|
deuant luys	-----|--||
estag enoille z	--|--⌫-------⌫|
tholomeu sun mantelprent	-------|--|-----|----|
mult enseignement	---|-----------|
dameun e strange	---|-|-⌫------|
uostre terreesnui	-----|----|----|
tut entutme	--|-|--|-|
sui pre st	--|---⌫-|
ceoqeuu sp les t	--|-|--⌫|-⌫---⌫|
pur oir uostre uoler	--|--|-----|----|
siuol ezmon ser uiseauer	-|---⌫-|--|---⌫---|---|
la dama iselelesgarda	-|----⌫----||------|
assezb ien	----|-⌫--|
