formCHCor012	---|-------|
tot eschoses sico meilestdeuantdi tles quels	---⌫-|-----|-|--⌫-|-|--|-----|--⌫|--|----|
ch osestotes deuantdite sde Athees deFlauigni	--⌫---|----|-----|----⌫|-|-----|-|-------|
etdePoil le nay edesfinagesestoient d oufié	-|-|----⌫--⌫--||--|------|-------|-⌫-|---|
a u di ta b b ée	-⌫|--⌫|-⌫-⌫-⌫-||
à laditeeglise deF lauigni .	-|-|---|-----|-|-⌫------||
li dizGuillemins parsonsairement que	-|--|---------|--|--|--------|--|
ila donécorporau mentpardeua ntnos	-||----|--------⌫---|--|----⌫-|--|
àg uaran t iraudit abbe ́eàla	-|-⌫-----⌫-⌫-|-|--|----⌫||-|-|
dite egliseSaintPeredeFlauig nitotes ceschosesque	---|-----|----|---|-|------⌫-|----|--|-----|--|
ill ora ue nduessi comeiles t deuant	-|-⌫-||--⌫----|-|---|-|--⌫|-----|
ditloiaumentcontre s	--|--------|------⌫|
totesgenz.	----|---||
En t esmoi g nagede cestechose à	-|-⌫-----⌫-⌫---|-|----|----|-|
lar equeste	-|-⌫------|
douditGu il lemin	--|--|--⌫--⌫----|
n osa uons f ait	-⌫-|-⌫---|-⌫--|
metrenostrese elen	----|-----|--⌫-|-|
ce spresentesletres.	--⌫|--------|-----||
Cee st fait enl and e	-|-⌫-|---|-||-|-⌫|
laIncarnacionNostre Seignor mileduscenzesexan te	-|----------|-----|------|--||--|---||-----⌫-|
ianuie r .	------⌫||
CHCor143Atouz	-------||---|
ce s quiuerrontces presentesleitresno s Ieha nzabbéset	--⌫|--|------|--|--------|------|--⌫|----⌫-|-----|-|
touzlicouu enzdeSaintGe rmeindAuceurr esaluta n	---|-|----⌫--|-|----|--⌫----||-------⌫|----|-⌫|
nostre Seigneur.	-----|-------||
N osfai sonsàs au oir àtouz	-⌫-|---⌫---|-|-⌫--⌫--|-|---|
q ue con me	-⌫-|---⌫-|
contenzfust e ntre nosd une partie	------|---|-⌫---|--||--|-----|
etnoble hom eMilesei gneurde Noiersd autresus	-|----|---⌫|---|---⌫----|-|-----||----|--|
nosdiseensquecilsiresnosfais oi t	--|------|--|--|----|--|----⌫--⌫|
tort an tiercesen censiues etanautresc hoses de	---|-|------|-|-------|-|-|-----|-⌫----|-|
nostre mesondeMoolayetdesapart enanc e s ceestà	-----|----|-|-----|-|--|-----⌫-----⌫-⌫|-|--|-|
sauoiràM oolayàArto n	-----|-|-⌫----|-|----⌫|
à Ri che Bou rcàAnnayàMoutotet	-|--⌫--|---⌫-|-|----|-|-----|-|
à Parr eigniet es fina ig es	-|----⌫----|-|-|----⌫--⌫-|
d eces deuenz ditesuile sàlaparfin	-⌫|--|-----|----|----⌫|-|-|-----|
douconseilde	--|------|-|
bones genz par	----|---|--|
b iendepaiznos	-⌫--|-|---|--|
par nost rep artie	--|----⌫-|-⌫----|
es tablimesreligi euxhome fre reGuillaumep rieuxde	--⌫-------|------⌫--|---|---⌫-|--------|-⌫----|-|
n ostre monstier de Sei ntGer mein dAuceurreetl i	-⌫----|-------|-|---⌫-|---⌫---||-------|-|-⌫|
dizMil esnobl e homeHuePioiche cheua lierp r ocureorsà	--|---⌫-|----⌫|---|--|------|-----⌫---|-⌫-⌫-------|-|
tretier de paizsus l a	------|-|---|--|-⌫|
ditebe soi gneetàordener quamque	---|--⌫---⌫--|-|-|------|------|
i l uerroient	-⌫|--------|
q uife roità ordenersus ladite	-⌫-|--⌫---|-|------|--|-|---|
besoigne etpromeim esà	-------|-|-------⌫-|-|
bonefoiàtenir età garderquamqu ec il	---|--|-|----|-|-|-----|------⌫|-⌫-|
d uipr ocureorfe roien tetor deneroie nt susla	-⌫-|--⌫------|--⌫-----⌫|-|--⌫--------⌫-|--|-|
ditebeso ig ne e tde ceu donamesnos l eitr espandenz .	---|----⌫--⌫-|-⌫|-|--|------|--|-⌫----⌫-|------||
Et l id uip rocureorcestàsa uoir Guillaume sprieux	-|-⌫|-⌫-|-⌫-------||--|-|--⌫---|---------⌫|-----|
etHuesPioiche cheualiers	-|---|------|---------|
r eçurentl efais	-⌫-------|-⌫|---|
dece stebesoigne	-|--⌫--|-------|
an auspourbi endepa iz et	-|--|---|--⌫-|-|--⌫-|-|
fire ntan qu estede ceste besoignediligenmentpourletesmonaige	----⌫-|--⌫--⌫---|-|----|-------|----------|---|-|---------|
d e bonegen zdesconte nzetdesantreprises	-⌫|---|---⌫|--|-----⌫-|-|--|----------|
quen o sdise en sq ue cilM iles sires	--|-⌫-⌫|----⌫--⌫|-⌫-|--|-⌫---|----|
deNoiersno s	-|-----|--⌫|
auoitfaiz des ch os e sdeu enz	----|---|--|--⌫--⌫-⌫|---⌫--|
ditesetselon c cequitro uerentpourloudit	----|-|-----⌫|-|-||---⌫-----|---|--|--|
anquautilditrent leur	-|----|-|------|---|
dit etleurordenencean	--|-|---|--------|-|
c es temenier e.	-⌫--⌫-|------⌫||
sauoirquelameson Teuenel deMo ulayet toute la	-----|--|-|----|------|-|--⌫---|-|----|-|
po rpri s edelad itemesonla mes onRotila	--⌫----⌫-⌫|-|-|-⌫--|----|-|---⌫-|---|-|
mesonfeuIaqui erlam es onDroinleTo rtla	----|--|-----⌫-|-|-⌫--⌫-|----|-|--⌫-|-|
maisonBaudinle f ilfeu Michell a	-----|-----|-|-⌫-|--|-----|-⌫|
granchea ̀Lei nglo is lesdeus mesonsMa çueet	------|-⌫|---⌫----⌫-|--|---|-----|--⌫---|-|
lamesonGauteri nso nten no st re	-|----|-------⌫|--⌫-|-|--⌫--⌫-|
censiu elameso n Iof roiD odelid e lamesonf eu Brulot la	------⌫|-|----⌫|---⌫--|-⌫------⌫|-|----|-⌫-|-----|-|
meso nMari ndouFo urla	----⌫|----⌫|--|--⌫-|-|
m esonIo dotlicortis	-⌫---|--⌫--|-|-----|
ausanfanzfeuBiloitlameson	--|-----|--|-----|-|----|
feu Pelé lam esonRobe lin louBoierlameson Bomart	--|----|-|-⌫---|----⌫--|--|----|-|----|-----|
lamesonausanfenz feu More l lamais onGarçon les	-|----|--|-----|--|----⌫|-|----⌫-|------|--|
deusmesonsClari onuaicheD eu	---|-----|-----⌫-|-----|-⌫-|
l a meson Baul eriautoutes	-⌫|----|----⌫----|-----|
cesmeson s etli	--|-----⌫|-|-|
mexdes deuanzdites meso nsson ta nno stre censiue .	--|--|-----|----|----⌫-|---⌫|-⌫|--⌫---|------||
Apre ̀si lditrenteto rdene ren tdeçued Arton	----⌫-|-⌫|------|-|-⌫-----⌫---⌫|-|---||----|
quelame so nPe rrinBouichart e t toutes	--|-|--⌫--⌫|--⌫---|--------|-⌫|-----|
lesmesonsa usicomlichem in s seporteiu queà	--|-----|-⌫--|--|-|----⌫--⌫|-|----|--⌫--|-|
la fontein edeuers	-|-------⌫|-----|
leua l de Reimesontan n ostrecensiueet	-|--⌫|-|----|---|-|-⌫----|------|-|
detouteslesdeuenzdites mesonsetda utre	-|-----|--|-----|----|-----|-||-⌫---|
partdelaruelamesonM ilet Ailler[...]	---|-|-|--|-|----|-⌫---|-----|----|
partitdArtonetli mex decelemeson	-----||----|-|-|--|-|---|----|
Ap rés ildit rentet ord enere ntquelipre ́ etle s	--⌫---|-|---⌫---|-|---⌫-----⌫-|--|-|---⌫|-|--⌫|
lammesqu isont désla	-----|--⌫|---|---|-|
meso n Per rinBoui char tiuqueaupon t sicomlariuier e	----⌫|---⌫--|----⌫----⌫|----|-|---⌫|-|--|-|------⌫|
iuq[ue][ .	------|||
] ]fdelesclusedesusd o umolinde	|||-||------|----|-⌫-⌫|----|-|
Moolayetdésiqui iuque	-----|-|---|---|----|
au p erierCopéqui	-|-⌫----|----|--|
estanuoie Perre usepe r-oul an -	--|-|---|-----⌫--|--⌫||-||-||
uaàSe inteue rtuz	-|-|--⌫---|--⌫---|
forsque l iprez dou	---|--|-⌫|---|--|
Brui l oùl an-	----⌫|--||-||
il aunzearpen zq uelan	-||---|-----⌫|-⌫-||-|
apelelou GrantPré au Par c ̧onni er s sont an	----|--|----|---|-|---⌫-⌫-----⌫--⌫|---|-|
nostrecens.	-----|---||
Apr és il ditren tet	---⌫--|-|------⌫|-|
ordenerentque t outes lesuignesdéslad i teuoi e	---------|--|-⌫----|--|-----|---|-|-⌫-⌫-|---⌫|
Per reusequiuaità	---⌫----|--|---|-|
SeinteuertuzdeRiu iere etdou	-----|-----|-|---⌫---|-|--|
uaude Rei meiuque à	--|-|---⌫-|----|-|
Artonsontan	----|---|-|
nos trecensiueettoutesl es ter resqui	---⌫--|------|-|-----|-⌫-|---⌫--|--|
sontde laditeuo i e	---|-|-|---|--⌫-⌫|
Perr ouseiuquea ̀ Arto n au	----⌫---|----|-⌫|----⌫|-|
chief d esusetdés iq uiiuq ueà l a bone	----|-⌫---|-|---|--⌫-|---⌫-|-|-⌫|---|
quiest antrel e champCouteletetHumbelet	--|--|----|-⌫|----|-------|-|-------|
e tdéscele bonei uque	-⌫|---|---|---|-⌫---|
Ber telo ne t	---⌫----⌫|-⌫|
dés celuipe r ieriuqueaupoizde uo ir e t	---|----|--⌫-⌫--|----|-|---|-|--⌫-|-⌫|
désle ditpoiziuqueà laCodre	---|-|--|---|----|-|-|----|
Borgineetd ésiquiiuqueaufou rDon is iaulet	------|-|-⌫--|---|----|-|---⌫|---⌫--⌫---|-|
dé siq uiiuqu eau pe rierd Aubespine etdésiqui	---⌫|--⌫-|----⌫|-|--⌫---||--------|-|---|---|
i uque auuau	-⌫---|-|--|
deC reelesetd ésiquiiuque	-|-⌫-----|-|-⌫--|---|----|
a uperierde	-⌫|-----|-|
C hamp lienart e t désiquiiuqu eàlau o ie d eSainte	-⌫----⌫------|-⌫|---|---|----⌫|-|-|-⌫-⌫-|-⌫|-----|
uert uze tdésiqui iuqueaup er ierCopé	----⌫-|-⌫|---|---|----|-|-⌫--⌫--|----|
de ladeuan tdite	-|-|-----⌫|---|
uoiePerrousetouteslesterressont	---|-------|-----|--|-----|---|
annostreti erc eet	-|-----|--⌫---⌫|-|
toutesles u igne sann ostrecensiuesa nzleshosc hes	-----|--|-⌫----⌫|-|-⌫----|------|--⌫-|--|----⌫--|
quis onte n	--|-⌫--|-⌫|
lac outume audeuentditMi l eseigne urd e	-|-⌫-----|-|-----|--|--⌫-⌫|------⌫-|-⌫|
Noiers desquexhosches il ditrentet orden ere nt que	-----|--|---|------|-|------|-|-----⌫---⌫-|--|
loscheMalescot dou	|----|-------|--|
ua uLoouuatloscheEstienneBouichart de	--⌫|------||----|-------|--------|-|
L angoustelo scheMilet	-⌫-------||-⌫---|----|
d Artondou uaude Raime l	|----|--|--|-|----||
oscheMiletFerré douuaude Raimel	----|----|-----|--|--|-|----||
o scheOs enon	-⌫---|--⌫---|
dArton douPiéd ouTe rtrel osc heCoutel et	|----|--|---|-⌫-|--⌫---||---⌫-|------⌫-|
dou perier Be rte lone tla	--|-----|--⌫---⌫--|-⌫|-|
mitiédelaterre a ̀laQuanoele	-----|-|-|----|-⌫|-|-------|
de darrier sa	-|------|-|
meso n remeignent an	----⌫|---------|-|
nos tr etierceetquela coutumesoitostee de	---⌫--⌫|-----|-|--|-|------|---|----|-|
h o sches pource qu	-⌫-⌫----|---|-|-|
elesisont m ises	---||---|-⌫---|
ànos tretem ps.	-|---⌫--|---⌫-||
Apr ésilditrentetord e ne rent que de ́sla bonedeuent	---⌫--|-|------|-|---⌫-⌫--⌫---|--|--⌫-|-|---|-----|
ditequi est	---|--|--|
ant r e lo uchamp Coutele tetHumbeleti uqu e aucr otdou	---⌫-⌫|--⌫|----|-------⌫|-|-------|-⌫---⌫|-|--⌫-|--|
pr éLiebautoù	--⌫-|------|--|
p erieretd ésc ecr ot iuque auchampP erruichautque	-⌫----|-|-⌫--|-⌫|--⌫-|----|-|----|-⌫---------|--|
li ueerstientdautr ep art l e	-|----|----||----⌫|-⌫--|-⌫|
gué etdesiquiiuq ueàlerable	---|-|--|---|---⌫-|-||-----|
d e lezl equartierGu illemete t désiqui	-⌫-⌫--|-⌫|-------|--⌫------|-⌫|---|---|
iuqueà la uauceleGibert au	----|-|-|------|-----|-|
ch iefde souzetdésiquiiuque au	--⌫--|--⌫---|-|---|---|----|-|
murgie r qui	------⌫|--|
est antrela uigne	--|----|-|----|
MauclercetOudetetdéscemurg ie r	-------|-|----|-|---|-|----⌫--⌫|
iuqu eà lameson Cha uuete t désiqui contraual	----⌫|-|-|----|---⌫---|-⌫|---|---|--------|
larueleiuquea ̀	-|----|----|-⌫|
lame sonMilet	-|--⌫--|----|
louBata r tet dé s iqu isicomli cheminsse	--|----⌫-⌫|-|---⌫|---⌫|-|--|-|------|-|
porteiuque à	----|----|-|
lamesonGomeriee t désiquis i comlauoie	-|----|------|-⌫|---|---|-⌫|--|-|---|
se po rte pa r	-|--⌫--|--⌫|
deu ant lemou stier	---⌫--|-|---⌫----|
iuqueaupontet dé s	----|-|---|-|---⌫|
loupon ti uq ueauru douMarois ansicomla	--|---⌫|-⌫--⌫-|-|-|--|-----|---|--|-|
riuiereseportededenz	------|-|----|-----|
ces term es lesuignesl ipre ́les	--|----⌫-|--|-----|-⌫|---⌫|--|
hoschese tlesmes ons sontan nostrecensiuesauues	------|-⌫|--|---⌫--|---|-|-----|------|-----|
lescout umeset lesrante s	--|----⌫---|-|--|-----⌫|
au deuentditseigneur	-|-----|--|-------|
Aprésilditrent[et	-----|-|------||-|
]ordene rentque lamesonfeuPerronlouRouige	|------⌫---|--|-|----|--|-----|--|-----|
lame sonG uibelet	-|--⌫--|-⌫------|
Beleuocel a mesonThieba ut	---|---|-⌫|----|------⌫-|
Chauencela meson feuBorsaut	-------|-|----|--|------|
la mesonGuillemindel a uarennela me sonau	-|----|--------|-|-⌫|------|-|--⌫--|-|
uee rquifuauPr este sontannostre	---⌫|--|-|-|--⌫---|---|-|-----|
censiueetlimolindAnn ai	------|-|-|----||---⌫-|
n os doit.XX.	-⌫-|---|---|
derant eetli prez Lienart désloucrotdou	-|----⌫|-|-|---|------|---|--|---|--|
Perieriuqueàlameson	-----|----|-|-|----|
Liebau t estannostrecen siue.	------⌫|--|-|-----|---⌫---||
Apre ́s i ldi tre nt	----⌫-|-⌫|--⌫---⌫-|
etordenerentque lesd euenz ditesc ensiue ssoien t	-|---------|--|--|-⌫----|----|-⌫------⌫|-----⌫|
pa ie[es] lediimoincheaprés l aSainRe mi	--⌫-----|-|---------|-----|-⌫|---|--⌫-|
àAnnaideue n tlamout ieretseansincauenoit	-|----|----⌫-⌫|-|----⌫--|-|-|-----|------|
ne paias t soncens	-|-----⌫|--|---|
deuentd itli sergenta udi t seigneurde	-----|-⌫-|-|------|-⌫|--⌫|-------|-|
No i ersà la requeste au prieuxde	--⌫-⌫--|-|-|-------|-|-----|-|
Moolay o u à nostrer[equeste][.	-----|-⌫|-|-----|---------|||
]t] s eroit ten uzàga igierdoc ens	|||-⌫----|---⌫-|-|--⌫----|-|-⌫--|
et delam andeiuque	-|-||--⌫---|----|
pourlou def autd e lapaie e tde	---|--|---⌫--|-⌫|-|---|-⌫|-|
celeam andelisires	---|--⌫---|-|----|
deNoiersauroitla mit iéet noslautre	-|-----|-----|-|---⌫--|-|--||----|
et nost re[.	-|----⌫-|||
] [s er] genza u dit seigneurd eNoiers àla req ueste	|--⌫---⌫---|-⌫|--|-------|-⌫|-----|-|-|---⌫----|
au p rieuxdeMoolayn eu oulo i tgaigie rlipr ieuxde	-|-⌫----|-|-----|-⌫|-⌫----⌫-⌫|------⌫|-|--⌫---|-|
Moolayou nost r ecomande m anzpo reent gaigieran l a	-----|-|----⌫-⌫|-------⌫-⌫--|--⌫----|------|-|-⌫|
dite cen[siu e][.	---|-------⌫-|||
Apre ́s ilditr en tetordeneren tquelamesons	----⌫-|-|----⌫--⌫|-|---------⌫|--|-|-----|
Chenuetsoit nostr ee tnos	------|---|-----⌫|-⌫|--|
remaign e sauuel estaige	-------⌫|----||------|
idemeuretantc omeleuiuraet li diz	|------|---|-⌫-|--|----|-|-|--|
pr i eux [pui sse ]messo nerladitemesone tclorre	--⌫-⌫--||---⌫--||-----⌫--|-|---|----|-⌫|-----|
lauoiequi est antre	-|---|--|--|----|
lamesonetl a grainche e tmettre	-|----|-|-⌫|-------|-⌫|-----|
laditemesonan	-|---|----|-|
saclo isontout mei ntenent ouquant	-|---⌫---|---|---⌫------|-|----|
illiplair ae tquela dit e	-|-|-----⌫|-⌫|--|-|---⌫|
famme demeureanladitemesonpourl ou prieux	----|------|-|-|---|----|---|-⌫-|-----|
e t ordener entquelestierc e s	-⌫|-------⌫--|--|--|-----⌫-⌫|
dela terre	-|-|----|
SainteM arie	-----|-⌫---|
n o sdemeur entpo urtelepartiecomnosi a uons	-⌫-⌫|------⌫--|--⌫-|---|-----|--|--||-⌫---|
NosIehanzabbésetlicouenzdiz	--|-----|-----|-|-|-----|--|
ced it etcesteord enences i comeleest	-|-⌫-|-|----|---⌫-----|-⌫|--|--|--|
deuent [di]teuolons loon set	-----|-----|-----|----⌫|-|
prome tonsetotreonsa ̀t eniret àg arder	-----⌫---|-|------|-⌫|-⌫---|-|-|-⌫----|
iourzet quenos	----|-|--|--|
ne p arnosne	-|-⌫-|--|-|
neuanr onsancontre	-|----⌫--|-------|
ceschose sno ssomesap aisié au[deu ent	--|-----⌫|--⌫|----|--⌫-----|-||---⌫--|
] [dit] seigneurdeNoiers et	||--||-------|-|-----|-|
i la ̀nosdetouzlescontenz	-⌫|-⌫|--|-|---|--|------|
quiontestéantr e nosetlui iuqueauiour	--|--|----|----⌫|--|-|--|----|-|---|
quecespresentes	--|--|--------|
letresfurentfaite s.	-----|-----|-----⌫||
[ce ][soit	|-|||---|
][fe]rmeet establ e	|------|-|------⌫|
nosauonscespresentes leitressee leesde nos	--|----|--|--------|------|---⌫---|-|--|
s eaus etgar nies.	-⌫---|-|---⌫---||
Et ceuf u f ait a n	-|--|-⌫|-⌫--|-⌫|
lannostreSeig neurmildeus	|-|-----|----⌫---|--|---|
cenz et. LX	---|-|-⌫-|
//oumois de	||-|---|-|
CH Cor 160Atouzce lsqui uerrontc els presenteslettresg e	--⌫---⌫--||---|--⌫-|--|------|-⌫--|--------|------|-⌫|
Hugue ssiresde Neblan sfais sauoir	-----⌫|----|-|------⌫|---|-----|
q uegere gra rdanzplusors bi enset plusors	-⌫-|-|--⌫---⌫----|------|--⌫--|-|------|
cortoi siesquenobles princesH ugues dux	------⌫---|--|-----|------|-⌫----|--|
deB ergo in gne	-|-⌫----⌫--⌫--|
mess i resm aifaitpluso rsfoiies	--|-⌫-⌫--||-|---|-----⌫-|-----|
etferai en corse	-|----|--⌫--|-|
Deupla ità moietàmes	--|---⌫-|-|--|-|-|--|
hoirs ete specialm entpormon g rantprofitetdeme s	----|-|-⌫--------⌫--|--|--|-⌫---|-----|-|-|--⌫|
hoi rs appar issantai	---⌫-|-----⌫-----|-|
acompaingni é e t acompaingn on s mon s eingnorle	-----------⌫-|-⌫|----------⌫--⌫|--|-⌫------|-|
duc deuantditets eshoirsen	--|-----|--|-|-⌫-|----|-|
toutes les	-----|--|
chosesqueieaietp uis	-----|--|-|-|-|-⌫--|
homesen mése nterresen bois enpreze n	----|-|---|-⌫|-----|-|---|-|---|-⌫|
estansen biez	-----|-|---|
enlais enriuer es en iustise se ten	-|---|-|-----⌫-|-|-------⌫|-⌫|-|
seingnoriesetentou tes autreschoseset	----------|-|-|---⌫--|-----|-----|-|
entouzautrespr o aigesen quelqu e menierequece	-|---|-----|--⌫-⌫----|-|------⌫|------|--|-|
soit do isle biezqui	---|--⌫-|-|---|--|
estapelez li biezdelaPerr ouseiu sque	--|-----|-|---|-|-|----⌫---|--⌫---|
à lar iuieredeBreyneensintcun	-|-|-⌫-----|-|-----|-----|--|
celsc hosess	---|-⌫----||
estandentet	--------|-|
se por tent	-|---⌫---|
doisleditbiez dela	---|-|--|---|-|-|
Per r ou seenuerslestam deHauthuinequiest Este uenot	---⌫-⌫--⌫-|-----||----|-|--------|--|--|----⌫----|
deN eblan s	-|-⌫-----⌫|
m onfi let aprés	-⌫-|--⌫|-|-----|
p artentàla	-⌫-----|-|-|
ter redeCrete z e tàlaterredIttre qui	---⌫-|-|-----⌫|-⌫|-|-|----||----|--|
estGu illeminde de Beleueu re	--|--⌫------|-|-|---|---⌫-|
chanoingn edOstum e tpuisapréspa rt entà	---------⌫||----|-⌫|---|-----|--⌫--⌫--|-|
Orsq uies t àladamede Bele ueure et	--|-⌫-|--⌫|-|-|---|-|---|----|-|
doi senqui	---⌫|----|
partentà la	------|-|-|
diteri uier ede B reyne	---|--⌫----⌫|-|-⌫----|
etdoisceleriui eresan -uont	-|---|---|----⌫--||-||---|
etse por ten t	-|-|---⌫---⌫|
iusquea uterreordeBealM e ́setdoisle	-----|-⌫|------|-|---|-⌫-⌫-|-|---|-|
te rreorde Beaul- Més	--⌫----|-|----||---|
bie zdelaP errousedesusditetencel scho ses	---⌫|-|-|-⌫------|----|--|-|-|---⌫|---⌫--|
suntcontenu lauilleetli	---|------|-|----|-|-|
terreorsd e Chanse t t outela terre deFauery et	-------|-⌫|----|-⌫|-⌫---|-|----|-|-----|-|
de toute sl e schos esdesusd ite squi	-|-----⌫|-⌫-⌫|----⌫-|----|-⌫---⌫|--|
sontd eda nz	---|-⌫---⌫-|
les termesdesusdizsuntostéet ex ceptétan t	--|-----|----|--|---|----|-|--⌫-----|---⌫|
