Nos treemperere s fistses	---⌫--|--------⌫|---|--|
Pourcoi ferié suogentarier	---|--|------⌫|-|---|----|
A lo nsa Mèsdontioie	-⌫--⌫-||---|---||--|
Gar inparler .	---⌫-|-----||
Qua n tise ronsfai tesleroy ma nder	---⌫-⌫||--⌫---|---⌫--|-|--|--⌫---|
Qu il laistuo ter r e ni	-|-|----|-|---⌫-⌫|||
ait soingdarest er	--|----||-----⌫-|
Etsil nel faitmaism en	-||-|--|---|---||-|
uolras tourner	-----|------|
S iar as faitt outiuslatouruer ser.	-⌫|--⌫-|---|-⌫--|--|-|---|---⌫--||
uo uscomman dés.	--⌫-|------⌫---||
Aitantfontles gr a ns osaroute r	|----|---|--|--⌫-⌫-|-|------⌫|
AF romo ndinf o ntle nsai g ne	|-⌫----⌫---|-⌫-⌫-||-⌫----⌫-⌫-|
Mout ensontliéchillegi erbaceler.	---|-|---|---|---|----⌫-|------||
Ensanbleen uo ntcuiqu en	-------|-|--⌫-|--|-|-|
d oiepeser	-⌫--|----|
AMe ̀ senuinren t dr oi ta.i	|--⌫-⌫|-|------⌫|--⌫--⌫||||
. aiou rner	|----⌫---|
Dont fissenttr éset pauillons leuer	---|------|--⌫--|-|--------|----|
Lormesa i g iersfonte nlau ileentrer	--|----⌫-⌫-⌫---|---|-⌫|-|-⌫--|-----|
Parler auroyk illecuid enttrouuer.	-----|-|--||-|-|----⌫--|------||
Enlauile entrentlimes aige Pepin	-|-|---|------|-|---⌫---|----|
Parler au roy se	-----|-|--|-|
lepeuen t ueïr .	-|-----⌫|----||
P arla prem iersHard résau	-⌫---|----⌫---|----⌫---|-|
poilflouri	---|-----|
Nostreempereres faitil	-----|--------|---|-|
menuoiechi	|-----|--|
Desfiés lero i estesa	--|----|-|--⌫|----||
Parmoi uousmandeke uousu eésych i	--|--|---|----|-|---|-⌫---|---⌫|
Quelirendés	--|-|------|
saterreetsonpaiis.	-|----|-|--|----||
parleraisire	-------|---|
dis tAns eys .	---⌫|---⌫--||
—uousferé sbiensi reHardrésa dit	|---|-----⌫|---|--⌫-|-------||--|
sachiés que n poroites trepis.	-------|-|-⌫|-----|--⌫--|--||
Anseysfaitla gen taluiue nir	-----|---|-|---⌫||--|--⌫--|
Consilliésmoi	----------|--|
s igne urbaronfaitil	-⌫----⌫-|----|---|-|
a tortlefief Pepin	|---|-|---|----|
Etsi nelpuiscontr e luigarentir.	-|-|--|---|-----⌫|--|-------||
Ken loésuousfranc c heu aliergentil	|-|----|---|----|-⌫---⌫----|-----|
— Re ndésli	|--⌫----|-|
sirepourDie ukinementi	---|---|---⌫|-|-|----|
Si ert apais li t erreetlipaiis	-|--||---|-|-⌫---|-|-|----|
Acesp a rolesont fa itGa ri n u enir	|--|-⌫-⌫----|--|--⌫-|--⌫--⌫|-⌫---|
Sili rendiquank	-|-|----|---||
ily d ut tenir.	-||-⌫-|----||
Qu antçou ot	--⌫--|---|-|
fa itnendemourae nki	--⌫-||-|------|-⌫--|
Ançoiss enuaarierensonpaiis.	------||-|-|----|-|--|----||
C h iuous lairons	-⌫-⌫|---|------|
.i.poid el	|||--|-⌫-|
dironsdelri che	-----|--|--⌫--|
M orianeotetua l—parfond e	-⌫-----|-|-|--⌫---------⌫|
roy s ontensate r re mi s	--|-⌫--|-|-|--⌫-⌫-|--⌫|
Touteli gastentsa t erre etsonpa iis	----|-|------|-|-⌫---|-|--|--⌫--|
I l prentconselcom ment poragarir.	-⌫|----|-----|---⌫---|---|----||
Sesme saigiers enuoia	--|--⌫-------|-----|
IoffroyG a utieretconteB au d uïn	------|-⌫-⌫----|-|----|-⌫--⌫-⌫---|
De ual—parfondesesonten	-|---|-------|-|---|-|
Fr ance mis	--⌫---|--|
Aincnefinerent	---|-|-------|
siui nrent aClugny	-|--⌫----||-----|
Illeukdemande ntnouue lesdePepin	-----|-------⌫-|-----⌫--|-|----|
On leu ren saignea	-|---⌫|--⌫-----||
Len gresl afortcit	---⌫---|-⌫|---|--|
Latientsacou rtain c h onssigrant ne u i t	-|----|-|---⌫-|---⌫|-⌫--|-|----|-|-⌫-⌫|
Begueyest et sesfreresGa rins	----||--|-|--|-----|--⌫---|
Hard re ́s Fr omons G uillaumeslimarch is.	----⌫--⌫-|--⌫----|-⌫--------|-|-----⌫-||
Esles mesaige s kiuinrent a Pepin.	-|--|-------⌫|-|------||----||
PremiersparlaIof frois	-------|----|---⌫----|
lifi eus Gaudin	-|--⌫--|-----|
Que bienloï rent	--|---||---⌫---|
Mansiel et Angeuin	------|-|------|
EtLoherencBai uieretPoiteuin .	-|-------|---⌫---|-|-------||
Chieus Damedieuki	-----|-------|-|
delaigefistuin	-||---|---|--|
Quantsi st	----|--⌫-|
SaintArche decl in	----|-----⌫----⌫-|
