iadi sa saintpantelion	----⌫||----|--------|
u os em pleuis	-⌫-|-|-----|
nu lefame n	--⌫-|---||
asibel uis	|-|--|--|
par qu ele	--|-|--|
eustperd u	---|----⌫|
iame seusta minedrui	----⌫|---|-⌫-|-|---|
quanttuitlibiensont fetpor lui	----|---|-|---|---|--|--|--|
numeto n smiesorautrui	||----⌫-⌫|--|--|-----|
faisonsduconlelaino uel	------|-|--|-|--|--⌫--|
si lorron t	-||-----⌫|
telcui ert moltbel	--|--|--|---|--|
conmantqui	------|--|
miexsauramonter	---|----|-----|
tozuersnostorne r	--|---|--|-----⌫|
l ess e tl ion t	-⌫-|-⌫-⌫|-⌫|--⌫|
a cr ea n té	-⌫--⌫--⌫-⌫--|
moltab ie n	---||-⌫--⌫|
lelaiconmencentaitant	-|--|---------||----|
ch ascunimis tet sonet	--⌫----||---⌫|-|--|-|
etdoucesnotesahau t ton	-|-----|----||---⌫|--|
firent cortoisetbon	-----|------|-|--|
tuitcil quialafes teestoient	---|--|--||-|---⌫-|-------|
lelailessier en t qu il fai s oient	-|--|-------⌫--⌫|-|-|---⌫-⌫----|
uersles damesse	---|--|----|-|
sonttorne ́	---|-----⌫|
fetfor ment loe ́	--|---⌫---|---⌫|
e nsemb l eoeles lelaifirent	-⌫-----⌫-⌫||---|-|--|-----|
qu antlabonemat ire oirent	--⌫--|-|---|---⌫--|-----|
etasc lers etascheualiers	-|-|-⌫---|-|-|---------|
f u lilais	-⌫|-|---|
maintenu zetchiers	--------⌫|-|-----|
molt f u amezm o ltfu ioiz	---|-⌫|---|-⌫-⌫-|-|---|
estilmiehaiz	--|-|--|---|
dic estlaidientlipluso r	|--⌫--|--|----|-|-----⌫|
lelaidu lecheor	-|--|-|------|
n euoil pas dire ledro it non	-⌫|---|--|---|-|---⌫-|--|
c on n umetor t am esprison	|-|||-|---⌫||-⌫-------|
selo nc leconte que i oi	----⌫-|-|----|--||-|
uos ai le lai einsi ntfeni	--|-|-|--|-----⌫-|---|
