#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
deue ́s leroi	----⌫-|-|--|
Leuostrese igne uret	-|-----|--⌫----⌫-|-|
Quemandésl i si ferésb ien.	---------|-⌫|-|-----|-⌫---|
-Cologregnan tfait leroy ̈ n e	|-----------⌫|---|-|---⌫-⌫-⌫|
Neuouschaille	-|---|------|
delahaïne	-|-|-----|
M onseigneurKeu	-⌫---------|--|
l esenescha l	-⌫|--------⌫|
Coust u miers estde	-----⌫-⌫----|--|-|
Si con nelenpuetchastier.	-||-|-||-|---|--------|
Que manderuousue u l etp roier	---⌫-----|---|--⌫-⌫|-|-⌫----|
Queia nena iés aucuerire	--|-||-|-⌫---|-|---|--|
Ne pourlui nelaissi és	-|---|--|-|------⌫--|
Ch ose qui fa iche	--⌫--|--|--⌫---|
Se d ema moruolésioïr	-|-⌫||-⌫--|-----|----|
Siconmenchiéstoutderech ief.	-|-----------|---|------⌫---|
- Cherte s da me che	|------⌫|--⌫-|--|
Q ueu ousmequemandésafaire	-⌫-|-⌫--|-|---------||----|
Ains melais saisse .i. des iextraire	---|-|----⌫-----|--|--|--|-----|
Quehuimaisn ulerienscontaisse	--|--|---|-⌫--|----|--------|
Secourouchie r neuous	-|----------⌫|-|---|
do utaisse	--⌫------|
feraiche quiuoussi et	----|--|--|---|--⌫-|
Conment quelachoseme	------|--|-|----|-|
Puisquiuo usplais toren tendés	---|-||--⌫-|-----⌫|-|--⌫------|
C uer etoroeilles	-⌫--|-|--------|
me ren dés	-|---⌫---|
Carparoleoï e estperd ue	--|-----|---⌫|--|----⌫-|
estde c uer e ntendue.	--|-|-⌫--|-⌫-------|
Or yati x quec he	-|||--⌫|--|-⌫-|
Ne n tend entpascheque	|-⌫-⌫----⌫--|--|--|--|
Etchiln enon tfors que	-|---||-|--⌫|---|--|
Puisqu elicuersn	---|--⌫|-|----||
iente n tmie .	|----⌫-⌫|---⌫|
A s or eillesuie ntle parol e	-⌫|--⌫-----|---⌫-|-|-----⌫|
Au ssic onme liuensquiuole	--⌫--|-⌫---|-|---|--|---|
Ma isni arrestenedemore	--⌫-|||------|-|-----|
Ainssenpart e nmo u tpetitdore	---||-|---|-⌫|--⌫-⌫|----||--|
Selicuersnestsi escill ie ́s	-|-|----||--|-|------⌫--⌫-|
Ca pre n dresoitappareillié s	||---⌫-⌫--|---|------------⌫|
Quech illepuet enson uenir	--|--⌫-|-|---|-|--|----|
Prendreet enclorre	------|-|-------|
et retenir.	-|-------|
Leso r eil le ss ontuoieauois	--|-⌫-⌫---⌫--⌫|-⌫--|---||---|
Ou parentyent re	-|-----||---⌫-|
cuersprent dedens leuen tre	----|----|-----|-|---⌫--|
Leuois quip ar l	-|---|--|-⌫-||
or ei lle yentr e.	--⌫--⌫--||----⌫-|
Etq uiorm euaurra e ntendre	-|-⌫-|-|-⌫|-----|-⌫------|
Cuer etoreillesme doitrendre	---|-|-------|-|---|-----|
Carne ueulpasseruirdesonge	--|-|---|--|-----|-|----|
Ne d efablenedemenchong e	-|-⌫|----|-|-|--------⌫|
Dontmai n tautreuous o ntserui	---|---⌫-⌫|----|---|-⌫-|----|
Ai nsconteraicheque i eui.	--⌫-|-------|--|--|-⌫|--|
Ilauintpre sa de.ui. ans	-|----|---⌫||-|---|--|
seusconme pa ï san s	---|----|--⌫--⌫---⌫|
Aloiequ erantauentures	----|--⌫----|--------|
toutesarmeüres	-----|--------|
Sicon cheua liers	-|--|-----⌫----|
deuoit estre	-----|----|
Et trouuaiunch emin a	-|------|-|--⌫---||
for e stespe sse .	---⌫-⌫-|----⌫---⌫|
Mo utyotuoi e felenesse	--⌫-||-|---⌫|--------|
De ronse set	-|-----⌫|-|
d espinesplaine.	|------|------|
Aq uelahane taquelp a ine	|-⌫--|---|-⌫||---|-⌫-⌫--|
Tout*c heleuoieetche lsenti er	----|-⌫---|---|-|---⌫|-----⌫-|
A bien pre stoutleiourentier	|---|---⌫|---|-|---|-----|
Menalai cheuauch a nt ainsi	|-|---|--------⌫-⌫-|----|
Tantque de l af o restissi	---|--|-|-⌫|-⌫-⌫---|---|
Et chefu enBrocheliand e.	-|--|-|-|-----------⌫-|
Entraietuiunebreteche	-----|-|-|--|-------|
A demieli e ueg alesche	|----|--⌫-⌫-|-⌫------|
Tantiotbien plusn i	---||-|---|---|||
Et uilebarreet	-|-|-|----|-|
Tout enuiro nparfontetlé	---|------⌫|------|-|--|
po ntempiésestoit	--⌫-|-|----|-----|
Sorsonpoi ng .i. ostoirmué.	--|--|---⌫-|--|-----|----|
Neloimie biensalué	-||-|--|---|-----|
Qu a ntilmeuint	--⌫-⌫-|-|-|---|
a l estrierprendre	||------|------|
Si mec onmanda adesce ndre.	-|-|-⌫------||-----⌫----|
Iedescend i i lnio t	-|-------⌫|-⌫|||-⌫|
Quemestier auoiedostel	--|------|----||----|
Et ilmedist toutma intenant	-|-|-|---|---|--⌫-------|
.uii.foisenuntenant	----|---|-|-|-----|
Quebenoit e fust	--|------⌫|---|
laiensuen u s estoie.	-----|---⌫-⌫|------|
Atante nlacourt en entra smes	----|-⌫|-|----|-|-----⌫---|
Le pontet leport epassames.	-|---|-|-|----⌫|--------|
En milecour tdunuauassour	--⌫-|-|----⌫||-|--------|
QuiDixdoig neioieet hon or	--|--|----⌫-|---|-|---⌫-|
T a ntconmeilfistmo ich elenuit	-⌫-⌫-|----|-|---|--⌫|--⌫--|---|
Pe ndoitu ne ta bleiecuit	--⌫----|-⌫-|--⌫--|-|---|
auoitnefernefust	----|-|--|-|---|
N e riensquide coiu renefust.	-⌫|----|--|-|----⌫-|-|----|
Seurchelet abledun	---|----|-⌫---||-|
Q uidele ́sierten	-⌫-|----⌫-|---|-|
.i.po stel	--|--⌫---|
Fer i leuau assor	---⌫|-|---⌫----|
troiscaux.	----|----|
Ch i lq ui	--⌫-⌫|-⌫-|
ierent a mon te nclos	-----|-⌫---⌫|-⌫----|
Oÿrentleuo is etle son	------|-|--⌫-|-|-|--|
Sisi renthors de la m aison	|---⌫---|---|-|-|-⌫----|
E tuinrent enla touraual.	-⌫|------|-|-|---|----|
Liun tornerentau cheua l	-|-|--------|-|-----⌫|
Queli boinsuaua ssortenoit	--|-|----|----⌫---|-----|
Et ieui q ue uersmoi uenoit	-|-|-|-⌫-|---|--|-----|
Une puchelebeleetgente.	--|------|---|-|-----|
Enli esgarderm ism entente	-|-|-------|-⌫-||------|
Elefu l o ngue e tgraill eet droite.	--|-|-⌫-⌫---|-⌫|------⌫|-|------|
desar merfuadr oite	-----⌫--|-|---⌫---|
Quele lefiste tbiene tbe l	-|--|-|---|-⌫|---|-⌫|--⌫|
afublaen court	-----|-|----|
uertde scallatep aon nache	---||-⌫-------|-⌫---⌫----|
nousguerpirent l e plache	---|---------|-⌫|-----|
Queaue cmoi	--|---⌫|--|
ne auec li	-|---|-|
Nerema i nst nus	-|----⌫-⌫--|--|
che mabel i	--||----⌫|
Q ueplusnequer oie ueoir .	-⌫-|---|-|----⌫--|-----⌫|
Elplus belpr aelet dumonde	-|---|--|--⌫----|-|----|
La letrouuaisi	-|-|------|-|
Sibienp arlant	-|---|-⌫-----|
etenseignie	-|--------|
Det elsam blant etdetelestre	-|-⌫-|---⌫----|-|-|--|----|
Qu e moutmi	--⌫|---|||
delitoitae stre	-------||-⌫---|
Neianmais pou r ui ure	-|------|---⌫|--⌫--|
est ouuoir	---⌫-----|
en quisiss eremouuoir.	-|-------⌫|---------|
M a istantlanuitmefi s tdeguerre	-⌫-⌫-|---|-|---|-|--⌫-⌫|-|-----|
Li uauassoursquimeuintquerre	-|---------|-||-|---|-----|
Quantdusouperfut a nsethe ure	----|-|-----|-|-⌫-⌫-|-|--⌫--|
N ipoip lus fair e dedem eure	||--|-⌫--|----⌫|-|---⌫---|
Sif istostson quemandement.	-|-⌫-|---|--|------------|
Dusouper uo u s dira i	-|-----|--⌫-⌫|----⌫|
briesme nt	-------⌫-|
Quilfudu tout	-|-|-|-|---|
a ma deuise	|-|-----|
Desque deu a nt	--|--|---⌫-⌫-|
m oi fu assise	-⌫-|-|-----|
La puchele qui s iassist.	-|------|--|||------|
Aprésso uper itant m ed i st	-----|--⌫---|----|-⌫|-⌫-⌫-|
Liuauassou rs quilnes au oit	-|--------⌫-|-|-|-|-⌫--⌫--|
Letermepuisqu e ilauoit	-|----|---|--⌫|-|----|
Herbegiéc heual ier e rrant	--------|-⌫-----⌫--|-⌫----|
Quiauentu re	--|------⌫-|
alastquerant	----|------|
Si n auoit	-||----|
ilmai nt her b egié.	-|---⌫-|---⌫-⌫-----|
Apre ́s c heme	----⌫-|-⌫-|-|
proi a quegi é	----⌫|--|--⌫-|
hos tel m en reueni sse	---⌫--||-|------⌫--|
En guerred onse	-|-------⌫-|-|
lidisuolentierssire	-|--|---------|---|
Quehontesfust del escondire.	--|-----|---|-||---------|
Moutfui bienlanuithostelés	---|--|---|-|---|--------|
E t mescheuax fue nselés	-⌫|--|-----|-|-⌫------|
io u r ueoir	--⌫-⌫|----|
Eti e loimout proiél esoir	-|-⌫||-|---|-----|-⌫|---|
Sifubienfaitema pri ere .	-|-|---|----|-|---⌫---⌫|
M onboi nhosteetsafille chier e	-⌫-|---⌫|----|-|-|----|-----⌫|
A Sa intEsp erit	|--⌫--|---⌫---|
Atrestouscongié	|-------|------|
de ma nd ai	--⌫--⌫--⌫-|
Simenparti ainsqu eiepo i.	-||-|----|---|--⌫|-|--⌫-|
L os telgaireses longién oi	|--⌫--|-----|--⌫------||-|
Quantietrouuai en.i.c o ssars	----|-|------|-|--|-⌫-⌫----|
Torssau ua gesetes p arars	---|---⌫--⌫--|-|--⌫-⌫----|
Qu i s entreconbatoienttuit	--⌫||---------------|---|
Etdemenoi entsi gran t	-|-------⌫--|-|----⌫|
Que de paourmetraisarriere	--|-|----|-|----|------|
Q ue nule bestenestplusfiere	-⌫-|---|----||--|---|----|
Neplus o r gueilleus ede	-|---|-⌫-⌫---------⌫|-|
Unsuilainsquires amb loit	--|------|--|---⌫---⌫---|
hi deu s a	--⌫---⌫||
d esmesur e	-⌫-------⌫|
Etsi treslaidecreature	-|-|---|----|-------|
Que nu sp orroitdire de bouche	--|--⌫|-⌫-----|---|-|-----|
Ychilseoit seurun eçouche	----|----|---|--⌫|------|
Unegr ant machu e ensemain.	--|--⌫--|-----⌫|-|-|----|
Ie maprochay u ersleuilain	-||-------|-⌫--|-|-----|
Etuiqu ileutgrosse lateste	-|-|-|-|--|-----|-|----|
Plusque ronchi nsneautreb este	---|--|------⌫-|-|----|-⌫---|
Cheueu z otno irs et fron t	------⌫|-|--⌫--|-|----⌫|
Soutbien .ii .e sp anesde lé	|--|---|---⌫|-⌫--⌫---|-|--|
Oreille smous suesetgrans	-------⌫|----⌫---|-|----|
a. i.oliffans	|-⌫-|-------|
L esso urchis gran s	-⌫-|--⌫-----|----⌫|
etleuis plat	-|-|--|---|
Le coull enoirenesde chat	-|-----⌫|----|--|-|---|
B ouchefendu econme	-⌫----|-----⌫|----|
Dens de sen gleraguset rous	---|-|---⌫---|---|-|---|
Bar benoir eet grenonstortis	---⌫-|----⌫|-|------|-----|
Etlementonae rs	-|-|-----|--⌫-|
Longueeskine tort eetbochue.	-----|-----|----⌫|-|------|
Apoiésfus eur	------|-|-⌫--|
se machu e	-|-----⌫|
ues tusderobesiestrange	---⌫--|-|---|-|-------|
Q u iln iauoit	-⌫|-|||----|
nelinne l ange	-|--|-|-⌫---|
asonco latach iés	|--|--⌫|-----⌫---|
denouuelescorchiés	-|-----|----------|
toriaus ou de.i i.bués.	------|-|-|--⌫-|-----|
Empiés saliliuilainslués	-|----|---|-|------|----|
Quilm e uit	-|-|-⌫|--|
ue rslui ap rochier .	--⌫-|--|--⌫-------⌫|
Iene soisi lmeuaut	-|-|--||-⌫|-|---|
soi qu iuoloitemp rendre	--|-||-----|---⌫-----|
Maisiem egar nide	---|-|-⌫|---⌫-|-|
d effendre	-⌫-------|
Tan tque i euique ils estut	---⌫|--|-⌫|-|--|-||----|
E mpiés tou sd rois si	-⌫|----|---⌫|-⌫---|-|
Etfumonté sdeseuru ntronc	-|-|------⌫|-----|-⌫|----|
Sotbi en.xuii. p iésdelonc	|-|--⌫-|-----|-⌫---|-|---|
Simes gardaet mot	-||--⌫----|-|--|
Nient plusc u ne be ste	----|---||-⌫-|--⌫--|
Etiequid aiqueilneüst	-|-|----⌫-|--|-||----|
Rais onne parlerneseüst.	----⌫-|-|-----|-|------|
Toutes uoiestantm	------⌫----|---||
Que ielidis	--|-|-|--|
u a cor me	-⌫||-|-|
es boinechoseo unon	-|----|----|-⌫|--|
Etilmed istIesui	-|-|-|-⌫--|-|--|
- Qu es homdiie.-Tescontuuois	|--⌫-|--|-|--|---|--|-|---|
Ienesuiautr es	-|-|--|----⌫-|
nule f ois.	---|-⌫---|
-Et quefaistu ychi to us cois	|-|--|---|-|---|--⌫-|---|
chesbestes par chubois .	---|-----|--|--|----⌫|
-Conm entPoursaint	|----⌫--|---|----|
P erred eRonme	-⌫---|-⌫|----|
Et neconnoi ssent eleshonme	-|-|------⌫----|---|----|
Puisse n tgarderbeste sa uuage.	------⌫-⌫|-----|----|--⌫-----|
- Ielesgartsiuoir etiust is	|-|--|---|-|---|-|----⌫-|
Quei anistro ntd echest	--|-⌫||-----⌫-|-⌫|----|
p ourpris.	-⌫-------|
-E ttu conmentDimentle	|-⌫|-|------|-||--|-|
ach eliqu isostmouuoi r	|--⌫--|--⌫||--|------⌫|
Des qu eles	--|-|---|
m eu oient u enir	-⌫|-⌫----|-⌫---|
Carquantienp uislu net enir	--|----||-|-⌫--||-⌫-|-⌫---|
Siledes tr a ingparmi	-|-|---⌫--⌫-⌫--|----|
Adpoin squei	-|----⌫|--||
aietdursetfors	-|-|---|-|---|
Quelesautr esdep aourtramblent	--|--|----⌫-|-|-⌫---|--------|
Etto utenui ronmo i	-|--⌫-|----⌫--|--⌫|
sasambl ent	|------⌫--|
A ussi co n pour	-⌫---|--⌫|---|
