pourlamitiede	---||-----|-|
diexdeu oirlesachiez	---|-|-⌫--|-|------|
plus enest	---|-|--|
ce es toutrages	-|--⌫|-------|
queque la pucellepa rolle	-----|-|------|--⌫----|
liroisescoutes a parole	-|---|------|-⌫|-----|
biencommen ciee auoi t	---|------⌫---|----⌫|
et de s o nuislaclarteuoit	-|-|-⌫-⌫|--|-|-----|---|
onquesmestelenotueu e	-----|--|---||-|---⌫|
so nu isso nc or setsaueu e	--⌫|-⌫-|--⌫|-⌫--⌫|-|-|---⌫|
si bi engarder	-|--⌫-|-----|
quederi ens	--|-|--⌫--|
nelaespris n edece u	-|||-----|-⌫|----⌫|
siestoit e lletre tantbel le	-|-----|-⌫--|---⌫---|---⌫-|
il lirepont gentis pucel le	-|-|-----|-----|-----⌫-|
ienes e miede tonn on	-|-|-⌫|--|-|--|-⌫-|
nese tue s i eune	-|-|-|-⌫|-⌫---|
ettues plus	-|-|-|---|
blanche quenois	------|--|---|
neton pereienequenois	-|--|---|-|-|------|
naquelmestretu	||---|-----|-|
mes ilpertbie na tabonte	--|-|---|---⌫||-|----|
mal p arage	--|-⌫----|
ettalanguequitantest	-|-|-----|--|---|--|
demontrentbienque bonscl ersfurent	---------|---|--|---|--⌫--|-----|
c il quien cureter ecurent	-⌫-|--|-|---|-|-⌫------|
mesili otdetant mesp ris	--|-||-|-|---|----⌫--|
que defauseteas apris	--|-|------|-|----|
n o zd iex quisontde	-⌫-⌫|-⌫--|--|---|-|
grant pu issance	----|--⌫------|
ic etiengeag rant enf ance	--⌫|---|-||-⌫---|---⌫---|
ladamo iselelires pont	-|----⌫----|-|---⌫---|
ce qu idema nde liespont	-|-||----⌫--|-|-----|
rois len mapelleka theri ne	---|--||-----|--⌫-----⌫-|
fille dero i et de roine	----|-|--⌫|-|-|----|
costentinsli rois	---------|-|---|
fumonpe re	-|--|--⌫-|
se tu demandes	-|-|-------|
emper eres	-----⌫---|
qui furentetconorentnon	--|-----|-|--|----|--|
ilfurent demou l t grant	-|-----|-|---⌫-⌫|----|
tantcommeacemontapartient	---|----||-|---|--------|
mespor ce qua monc ors ne	--|--|-|-||--|-⌫--|-|
de luinous	-|--|---|
rie ns forsuene gloire	---⌫-|---|---|-----|
tiexe stdemon non	---|-⌫-|-|--|--|
le m emoire	-|-⌫-----|
desqueierecuilacl arte	-----|-|----|-|--⌫---|
deihesucr istetlabonte	-|-------⌫--|-|-|----|
m atoutenluminélecors	||---|--------|-|---|
e tieté lesf riuoleshors	-⌫|----|--|-⌫------|---|
queiauo ie a pris enm	--||---⌫-|-⌫---|-||
u oiedesa pience	-⌫--|-|--⌫-----|
l ors tornaimonqe uralescrit	-⌫--|-----|--|--⌫-|||-----|
parcoiiequenoisihesucrit	--|--|-|------|--------|
iai oipa rle r	|-|-|--⌫---⌫|
qui dit sanzbarat	--|--|---|----|
et sanzguile	-|---|----|
irede struista la	--|--⌫------||-|
lasapiencedecemond e	-|-------|-|-|----⌫|
dauid redi st nos tre bon mes tres	----|----⌫-|---⌫--|--|---⌫---|
diexestuciell aest ses	---|--||---|-⌫|--|--|
diluecfetsauolentetoute	|----|--|-|------|----|
mescre anze st q uid ecedo ute	------⌫--|-⌫-|-⌫-|-⌫|-|--⌫--|
me slidieu	--⌫|-|---|
qao rentlagent	|--⌫---|-|---|
sont fe tau mai ns	---|--⌫|-|---⌫-|
dore tdarge nt	|-|-⌫||----⌫-|
n es ontpasdieu ai nzsontde able	-⌫|-⌫--|--|---|--⌫-|---|--⌫---|
quisonte nenfer conuenable	--|---|-⌫|----|---------|
quetu aoe uressimplement	--|-|---⌫---|---------|
roistuf es	---|-|-⌫-|
troptondempneme nt	---|--|--------⌫-|
etsetu uel spo r	-|-|-|---⌫|--⌫|
honeurleurface	-----|---|---|
tumemont errasleur	-|-|----⌫----|---|
puisquilontdo mesemb lan ce	-----|-|--||-⌫-|----⌫---⌫-|
dontcouient il q ueleur oe ullu oient	---|------|-|-⌫-|---|--⌫--|-⌫----|
le u ro r illessententetoient	--⌫-⌫|-⌫-⌫----|------|-|----|
bouchesdoiue nt parler	------|-----⌫-|-----|
lesmai ns baillier lespiezaler	--|---⌫-|-------|--|---|---|
secen estuoir s bie npeuz	-|-||--|----⌫|---⌫|---|
cilont po des auoir	--|--|-|-|-⌫----|
quia cesd iexportenthoneur	--||--|-⌫--|------|-----|
quilon tpooirasez meneu r	-|-|--⌫|----|---|-----⌫|
qu e nontcilquihoneurleu r	--⌫||--|--|--|-----|---⌫|
biausirediextant uosmeffont	---|---|---|---|--|------|
ceu lsqu i uoslesse n tet	---⌫-|--⌫|--|-----⌫-⌫|-|
enne u rent	----⌫-⌫---|
celsquinoient	---|--||----|
quino ntpoissancene ualor	--||-⌫-|--------|-|----|
ne se ntent ne froi t ne	-|--⌫----|-|----⌫|-|
roisitiexdiexaoeurestu	---|----|---|------|-|
force n e uertu	----|-⌫|----|
lempereresi semeruelle	|-------|-||--------|
ets esbahistdela	-||-------|-|-|
queil otlapu celedi re	--|-|-|-|--⌫---|--⌫-|
o r nu luoi ll pas	-⌫|--⌫|---⌫-|--|
ferede spir e	---|--⌫----⌫|
riensque tuai esaconté	----|--|-|--⌫-|------|
me ssesuibi ena talenté	--⌫|-|--|--⌫-|-⌫-------|
sensetd eta loq uence	---|-|-⌫|-|---⌫----|
quesetufussesde stan f an ce	--|-|-|-----|--⌫||--⌫-⌫--⌫-|
denosmestresfusseaprise	-|--|------|----|-----|
fu ssesiaentreprise	--⌫---|-|---------|
demestr equelenpoistquerre	-|-----⌫|--|--|----|-----|
nencepaisn ena utrete rre	|-|-|---||-|-⌫---|--⌫--|
se tant fustque	-|---|---|--|
enn eurporta sses	---⌫--|-----⌫---|
au diex quetublames etquasse s	-|---|--|-|-----|-|------⌫|
ornepuismesatoi entendre	-|-|---|--||--|-------|
m estantmeconu endraaten dre	-⌫-|---|-|----⌫----|----⌫--|
quecesoit f et quei	--|-|---|-⌫-|--||
a ie mpris	-⌫|-⌫----|
ap resserali termespris	--⌫--|---|-|-----|---|
apresuendrasen monpales	----|------|-|--|----|
uelslorsqu e ie te les	---|------⌫|-|-|--|
et tedongnedons ho norables	-|-|-----|---|--⌫-------|
guerpir t esteuttotestesfables	------||-----|----|--|-----|
et crier a nosdiexmerci	-|----||--|---|----|
moi f et ildec i	--|-⌫-|-|-|-⌫|
tant la gardezque	---|-|-----|--|
la d emant	-|-⌫----|
agrant honeurlauoscommant	|----|-----|-|--|------|
en gardeest p rise	-|----|--|-⌫---|
etle mperiereun	-||-⌫-------|-|
clercapele	----|----|
unes let resferecommande	---|---⌫--|---|-------|
eslestres a queliroismande	-|------||--|-|---|----|
aufilosofesdes aterre	-|--------|-|-⌫|----|
au melleur sque	-|-------⌫|--|
lenpoist querre	--|----|-----|
qu il u iegnenttuit	-|-|-⌫------|---|
enal i xandre	-|--⌫-⌫-----|
quedeus uoudraun consoilprendre	--||--|-----|-|------|------|
d unecause quila	|--|----|-|-||
qu illal ipeuentachi ef	-|-|-|-⌫|-----||---⌫-|
quagrantho neuretrichedo n	-||----|--⌫---|-|----|--⌫|
lesenren uoieraar riere	--|-|---⌫-----|--⌫----|
tiex fude sles tres lamaniere	---|-|--⌫|---⌫---|-|------|
qua nt f urentfetesetbie net bel	---⌫-|-⌫----|----|-|---⌫|-|--|
delapierredesonanel	-|-|-----|-|--|---|
lesfet sag e men t seeler	--|--|---⌫-⌫---⌫|-----|
limessagier penssed errer	-|--------|-----||----|
fuf oxneesbahiz	-|-⌫-|-|------|
tan a estéparlepais	--||----|--|-|---|
t entaerré et	-⌫--||----|-|
mer et terre	--|-|----|
q u i latroué	-⌫|-⌫||-----|
cequ iluaquerre	-|-|-|-|-----|
les sag es homesenamaine	--|---⌫-|----|-|-----|
lesmell eurscl ersdetout leregne	--|----⌫---|--⌫--|-|---|-|----|
de touteescien c esa uoi ent	-|----|------⌫-⌫|--⌫---⌫--|
deuent le roi lesameno ien t	-----|-|--|--|-----⌫---⌫|
quimoultbienlesa	--|----|---|--||
q uant illesaaperceuz	-⌫---|-|--||-------|
al acort son ttenu z moultchier	|-⌫|---|---⌫|----⌫|----|----|
liroisle s prist a	-|---|--⌫|----||
e ncerchier	-⌫--------|
deleurdotri nealafoiee	-|---|-----⌫-||-|----|
etcil neliontpa sdesuoiee	-|--|-|-|--|--⌫|-------|
ainz mo ntr ent bien parleur pa rolle	---|--⌫---⌫--|---|--|---|--⌫----|
quilont este ́a bone	-|-|--|----⌫||---|
moul t li responde nt par	----⌫|-|--------⌫-|--|
grant s en	----|-⌫-|
quantliro islot merueilless en	----|-|--⌫-||-|---------||-|
l iemper eresqu etense mble	-⌫|-----⌫---|--⌫||-|--⌫---|
i ssiluiont dit	-⌫--|--|--|--|
tuiten semble	---|--⌫-----|
porcoi nosasatelbesoing	--|--|--|-||--|------|
cif et ueniret	-|-⌫-|----|-|
de s iloing	-|-⌫|----|
setu asgrant	-|-|-|----|
bes ogneafere	---⌫---||---|
biente s auronsde grantafe re	---|-|-⌫-----|-|----|---⌫-|
conseille rsetu nosen qui ers	---------⌫|-|-|--|-|---⌫--|
nusnenos porroitpas	--|-|--|------|--|
bien partou t rep ond re	---|--|---⌫|---⌫---⌫-|
lirois r epontqui pasne	-|---|-⌫----|--|--|-|
ieaiunepuc eleeng arde	-|-|--|---⌫--|-|-⌫---|
belealec o rsieunedaage	---||-|-⌫-⌫-|----||---|
mestantpar est parfete e t	--|---|--|--|------|-⌫|
quelesbon scle rstretouzseurmonte	--|--|---⌫|---⌫-|------|--------|
etles acon cluset fet honte	-|--||---⌫---|-|--|----|
prouuanc e natentnus	--------⌫||----|--|
quei lme semblentto z	--|-⌫|-|-------|--⌫|
bienparollesens	---|------|---|
me stant yademespriso n	--⌫|---|||-|--------⌫|
quetoz nozdiexhetet	--|--|--|---|--|-|
etleurcomman deme n trefuse	-|---|------⌫----⌫-⌫|-----|
etencoreditel lepi s	-|-----|--|--⌫-|--⌫|
porc equeia isond ieu despis	--|-⌫|--||-⌫|--|-⌫--|-----|
apel etoz nos d iexde abl es	----⌫|--|--|-⌫--|--⌫---⌫-|
icinestpassessens meta b les	--||--|--|--|---|----⌫-⌫--|
b ien la po isse	-⌫--|-|--⌫---|
af orcetraire	|-⌫---|-----|
p ors ac refice	-⌫-|-⌫--⌫-----|
ouliocirre	-|-|-----|
partor ment	--|---⌫---|
serafet sagem ent	---|--|-----⌫--|
se paruossens	-|--|--|---|
quelrequ en e ust son meffet	-|-|----⌫--⌫-⌫--|--|-----|
et quelsacrefiast nosd iex	-|-|-|---------|--|-⌫--|
qu eltie ntporfaxet pormort iex	-|-|---⌫-|--|--|-|--|----⌫--|
selseme ntientensafoli e	|-|-|--⌫-----|-|-|----⌫|
que deno i entles	--|-|--⌫-⌫--|--|
contra lie	------⌫--|
ielifere sanzr efuser	-|-|---|---|-⌫-----|
d ole ur sau ie	-⌫---⌫-|-|-⌫-|
mes ieuos ditotderech ief	--|-|--|-|--|------⌫--|
quesenpoueztrairea un	--||-|----|-----||-|
siquecon fu sela rend ez	----|---⌫--⌫-|-|----⌫-|
t el guerredonenat endez	-⌫-|--------|-|--⌫----|
quer iens nem esarois requerre	--|-⌫---|-|-⌫|-----|-------|
quem ai ntenant ne facequerre	--|-⌫--⌫------|-|---|-----|
ouse uos commenciezmonestre	-|-|--|---------|--|----|
demonco nsoi lls eroiz t uitmest re	-|--|--⌫----⌫-|-⌫----|-⌫--|----⌫-|
li unsrepondip ar gra nt	-|--|------|-⌫-|---⌫-|
seg neuroez nostresire	---⌫---|--|-----|---|
nos afeten uaintraueillier	--||--|-|---|----------|
ma tinleuerl a	--⌫--|----|-⌫|
nu itueillier	--⌫-|-------|
siesttoute la	-|--|----|-|
porunenfentqui	--|-|-----|--|
parenfance	--|------|
nefetforslagentescharnir	-|--|---|-|---|--------|
ornosafetlir oisg arnir	-|--||--|-|-⌫--|-⌫----|
dequestions et des of imes	-|--------|-|-|-⌫--⌫---|
puisquenossonmesageoimes	------|--|--|-----|----|
fume s a grantbesoing	----⌫||----|------|
et sisomesuenuzde	-|-|----|----|-|
roi s lapu cele q uetu diz	---⌫|-|--⌫---|-⌫-|-|--|
p orcequen eso ions desdiz	-⌫-|-|--|-⌫|--⌫---|-----|
nosuo lons queelle issoit	--|--⌫---|--|---|-|---|
feilauenirque l queell e soit	--|-|----|---⌫-⌫--|---⌫|---|
elle sachesanzdoutenc e	---|----|---|-------⌫|
q u el noi	-⌫|-||-|
o nq uessapience	-⌫--⌫--|-------|
issirdomesel n elot hui	----||--||-|-⌫||-|--|
