cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
masubiecti un	-|--------⌫-|
quant es pertuzt ut	----|-|-----|-⌫-|
puisherbergereiure	---|--------||--||
iue re fere mun	---⌫||---|--|
ore rema neza nuitodmei	--|----⌫--|-⌫---|-|--|
musteraipar dreitefei	-------|--|-----|--|
surla molemut	--|-|---|--|
ni auerez rienque	||-----|---|--|
uus desp leise	--|----⌫----|
as ez auer e zferine egreins	--⌫-|----⌫-⌫|-----||-----|
delbleq ueremein tasuileins	--|--|-⌫-|------⌫|-|------|
l areine uient par s a priere	-⌫|----|----|--|-⌫|-----|
amdeussasient sur l a	-----||-----|--|-⌫|
mu tt rouerent amanger	--⌫|-⌫-------||-----|
sanzcuntredite sanzdan ge r	---|--------||---|---⌫--⌫|
la surizparamur dem ande	-|----|--|---|---⌫---|
ala reinede sau iande	|-|----|-|-|-⌫----|
semb leueritel	----⌫-|-----||
ne nment irai fet e lemie	|-⌫|----⌫---|--|-⌫-|--|
mutp a rest eitbien	--|-⌫-⌫|---⌫--|---|
apparai ll é	-------⌫--⌫-|
siene weeust	-|-|-⌫-|---|
esté muillé	----|------|
enmice lpre	---|--⌫|--|
en un wasc el	-|-|----⌫-|
fus sumsore	---⌫---|--|
quemut es t bel	--|--|--⌫|--|
laest lameie m ansiun	-|--|-|---|-⌫-----|
beleamiekarialum	---|---|--||---|
tant iauerez i oie ededuit	---||-----|-⌫--||-----|
ia mes naurieztal entc eoquit	--⌫--||-----|---⌫--|-⌫-|---|
derepeirer acestmu lin	-|-------||---|--⌫--|
tan t lipremetpar sun	---⌫|-|-----|--|--|
elablandist	|-|-------|
pars aparole	--|-⌫|-----|
q uel a creisifis tkefol e	-⌫-|-⌫|---|-|---⌫|-|---⌫|
e nsemble odlis	-⌫------|-|-||
enes talee	-|--⌫|---|
lepr ez fupl einde ru see	-|--⌫-|-|--⌫--|-|--⌫--|
lasur i zfu	-|---⌫-⌫|-|
issimuille e	---|------⌫|
queelequ idabien estre ne e	--|--|--⌫--|---|----|--⌫|
are re uoleitret urner	---⌫-|-----|---⌫----|
karne poeitauantale r	--|-|----|----|---⌫|
mesla re ine l	--|-|--⌫--||
que afor cel ena d amenee	--||---⌫-||-|-⌫|-----|
amur tantparp reere	---|---|--|-⌫----|
tant quilu ie nentauneriuere	---|-|-|-⌫--⌫---||--|-----|
d un cne pot la	-⌫--⌫|-|--|-|
suriz auant	----|----|
re ined ist enpluran t	--⌫--|-⌫--|-|------⌫|
cinepuisieop aspasser	-|-|---|--|-⌫-|-----|
ka rieone soiunkes	--⌫|--|-|--|----|
p r en fetlareinecestfilet	-⌫-⌫-|--|-|----|---|----|
si l liezfer m atungaret	-||---|---⌫||--|----|
eieolatacher ai al	|--||-------⌫-|-|
lariuerepassumb ien	-|-----|-----|-⌫--|
la suriz sest del f i lliee	-|----||--|--|-⌫-⌫|---|
estatach ee	--|-----⌫-|
elguesemettent sisen	-|--|-|------|-||-|
quantel esuindrental p arfunt	----|--⌫-|-------|-|-⌫-----|
uo ltlareine neie r	--⌫-|-|----|----⌫|
o d licumenceaplunger	-⌫|-|------||------|
la surizpipe	-|----|---|
enaute crie	-|--||---|
quequ id a	--|--⌫--⌫|
t utestreperie	-⌫-|----|----|
une scufleiuient roant	-|-⌫-----||----|----|
uitlasu rizkiue itpi pant	--|-|--⌫--|-|--⌫-|--⌫---|
leselesclotaualdescent	--|---|---|---|------|
l ielar eine	-⌫||-|-⌫---|
ensembleprent	-------|----|
amdui fure ntalfilpe ndant	----|----⌫-|-|--|--⌫----|
la reinefucorsuegrant	-|----|-|----||----|
li escuflesp ar cu ueitise	-|-------|-⌫-|--⌫------|
lasurizlaitla reine	-|----|---|-|----|
mangiélade deuoree	------||-||------|
elasuri zfu	|-|----⌫|-|
deliuer ee	-------⌫-|
siestdesueiziezfeluns	-|--|--|------|-----|
ian a ue runt sibonscumpainuns	-||-⌫--⌫---|-|---|---------|
tan tface nta eusgr a nthonur	---⌫|----⌫-||--|--⌫-⌫-|----|
lur deit cu sterde llur	--|---|--⌫---|--⌫|--|
quedu rementneseientliez	--|--⌫-----|-|-----|---|
s i pareussei entengin niez	-⌫|--|--|---⌫--|-----⌫---|
mesi lra uientas ez	--|-⌫|--⌫----|--⌫-|
quede memesleturme nt	--|-|----|-|-----⌫-|
queasaut res quide ntpurch acer	--|-|---⌫--|-----⌫-|-----⌫---|
auientl urcorsapperiller	-----|-⌫-|---|---------|
cic unte de unchienm enteur	-|-⌫---|-|-|----|-⌫-----|
guisches e tricheur	-------||-------|
q ueune berbi ze npleida	-⌫-|--|-----⌫|-⌫------|
deuantiustiselamena	-----|------|-|---|
si liad unpaindemandé	-|-|-|-|---|-------|
quilli aueitce o dit apresté	-|-|-|----|--⌫|--|-------|
la berb iztutlerenea	-|----⌫-|--|-|----|
editquenul neliapresta	|--|--|--|-|-|------|
liiuge salchiendemanda	-|----⌫|-|----|------|
sinult estimoi neen	-|--|-⌫-------⌫-|-|
illirespu nt quilen ad deu s	-|-|-----⌫-|-|-|-|-|---⌫|
ce oe st li scufleseli lus	--⌫|-⌫-|-|------||-|--|
cil furentauantam en é	--|-----|----|--⌫--⌫-|
parserm entuntafermé	--|----⌫--|--|------|
queceo fuu eirs	--|--|-|-⌫---|
que lichiens dist	--|-|-----|---|
sauezp urquei chescun lef ist	----|-⌫-|---|------|-|-⌫--|
quilen atendeientpart ie	-|-|-|---------|----⌫-|
s ilaberbizperdistla uie	-⌫|-|-----|------|-|--|
liiugere dunc demanda	-|-----|---|------|
a laberbiz qu	|-|-----|-|
purquei il	--|---|-|
otle pain neié	-|-|---|----|
que li chiens liaueitb aille ́	--|-|-----|-|----|-⌫-----⌫|
mentienotpur	----|-|-|--|
orelirendisteinzq uilfus tpis	--|-|------|---|-⌫|-|---⌫|--|
lacheitiue no tduntrendre	-|-------||-⌫|---|-----|
dun c lic ouie nts al e ineuendre	---⌫|-|-⌫----⌫-|-⌫|-⌫-⌫--|-----|
yue rne steitde fr eit f umor te	---⌫-|-⌫----|-|--⌫--|-⌫|---⌫-|
li chie ns i uient sa	-|----⌫-||----|-|
le ineenporte	--⌫--|-|----|
eliescufles	|-|-------|
e pui s lilu s	|---⌫|-|--⌫|
trop estli tart	---|--|-|---|
que lachar s fust e ntre	--|-|----⌫|---|-⌫---|
eusdestreité	--|---------|
kar deuiand e e u rentsuffreité	--|-|-----⌫|-⌫-⌫---|---------|
ne labe rbiz	-|-|--⌫---|
plusneues qui	---|-|---⌫--|
sissi re sdel tut laperdi	--|--⌫--⌫|--|--|-|----|
parcestees sam ple nusueutmu strer	--|----|--⌫---⌫--|--|---|--⌫----|
edeme int hu mele	|-|--⌫--|--⌫-|-|
prispruuer	---|-----|
kipa rmentirepa r t richer	-|--⌫|-----||--⌫|-⌫-----|
funtlespoures s uuentp leider	---|--|-----|-⌫----|-⌫-----|
faustesmoi nessouent	---|------⌫--|-----|
del aueiraspoures	-||----|-|-----|
le sapaient	--⌫|------|
nelurchautqu e	-|--|----|--⌫|
lila s deuienge	-|--⌫|-------|
chescunsa partti eng e	------|-|---|--⌫---⌫|
parunefeiz ceonusrecun t	--|--|---|--|--|-----⌫|
passotunchiendesurun punt	-----|-|----|----|-|---|
unfurmage ensabuche tient	-|------|-|-|----|----|
quan tenmilepuncel ui ent	----⌫|---|-|-----|--⌫--|
en l eweuit lumbre delfur mage	-||--|--||----|--|---⌫---|
purpens aseiensuncurage	-------⌫|--|-|--|-----|
queaue i rle suo leitamduis	--|---⌫-⌫|--⌫|--⌫---|-----|
ileoc fu iltropco ueitus	----|-|-|---|--⌫-----|
en lewesaut la	-||--|---|-|
buche oue ri	----|---⌫-|
furmages lichei	-------|-|---|
eumbreuite umbrefu	|----|--||----|-|
esunfurmage	|--|------|
aueitper du	----|---⌫-|
pur ceo sedeiuent	--|--|-|------|
trop sule ntcoue iter	---|----⌫-|----⌫---|
k ipluscoueiteque	-⌫|---|------|--|
parseimemes	--|--|----|
iladpe rtsou en t	-|-|--⌫-|---⌫--⌫|
edeautruinail	|-|-----|||-|
paressa mp lefetcientendre	--|----⌫--⌫-|--|-|-------|
quelisoleiluol t femmeprendre	--|-|-----|---⌫|----|------|
a tutecreaturele	|---|-------|-|
equechescun	|--|------|
s epurueist	-⌫|-------|
lescreaturess asemblerent	--|--------||----------|
a la destinee e n ale ren t	|-|-------|-⌫|---⌫---⌫|
sili mu strerent	-|-|--⌫-------|
que defemmepren drequert cun seil	--|-|----|----⌫--|----|---⌫---|
lad e sti neelurcuma nde	-|-⌫-⌫---⌫--|--|----⌫--|
queueirl i d ient de ladem ande	--|---|-⌫|-⌫---|-|-|---⌫---|
ece oqu eauislur ene steit	|--⌫|--⌫|---|--|-|-⌫----|
celeparlakeme uz saue it	---|----|-|--⌫-|----⌫-|
quantles oleil fetilest hauz	----|-|-⌫----|--|-|--|---|
elte n sd esteest il sichauz	-|--⌫-⌫||---|--|-|-|----|
quilnelestrienfructifi er	-|-|-|---|---|--------⌫-|
tere e herbe fe tsechier	---||----|--⌫|------|
esil adesforc ement	||-|-|------⌫----|
ec umpainea suntalent	|-⌫------||--|-----|
nuler iensnelp urra suffrir	---|-⌫---|-||-⌫---|------|
d esuzli uiure	-⌫---|-|----|
ladesti ne e	-|-----⌫--⌫|
ue irauezdit	--⌫-|---|--|
leissumleissi	------|-|---|
cumilad est é gr ant tensa	--|-|-|---⌫-|--⌫--|---||
kar iapar meinelforcera	--|-|--|--|-||------|
issi chastielesplusurs	---|------|--|------|
qu isure usuntle smaus segnur s	--⌫|--|-⌫-|--|--⌫|---|------⌫|
quepasnesdeiuent es forci er	--|--|-||------|--⌫-----⌫-|
naplusfo rtde	||---|--⌫-|-|
eusacumpa iner	--|------⌫---|
parl u rsenn e parluraue ir	--|-⌫-⌫|--|-⌫|--|--|---⌫-|
me s destur bera lur	--⌫|------⌫--||--|
estfortpis	--|---|--|
tuz iurslur esten mal a guet	--|---|--|--|-|--|-⌫---|
issiauint queu n lus runga	---|----|--|-⌫|--|----|
unos quea l	-|-|--|-⌫|
col liuola	--|-|---|
e quant el	|----|-|
mutdurement en	--|-------|-|
tutes lesbes tesasembla	----|--|---⌫--|------|
eleso iseus	|--|-⌫----|
aseiman da	|--|---⌫-|
pui sadfet	---⌫|-|--|
atuz demander	|--|-------|
sinul seseitmed i ciner	-|--|-|---|---⌫-⌫----|
en tre eusenu ntlu r cunse ilpris	--⌫--|--|-|-⌫-|--⌫|-----⌫-|---|
che scun en	---⌫---|-|
distlesuen auis	---|-|---|---|
fors la grueceo dient	---|-|---|--|----|
n iadnulde	||-|--|-|
sache rie n	----|---⌫|
le coladlu ngelebek gr os	-|--|-|--⌫-||-|--|--⌫-|
eleenpurreit bien	--|-|------|---|
entreir e los	-------⌫||-|
li lus l ipr ami stgrant loer	-|--|-⌫|--⌫---⌫-|----|---|
luiuousistaid er	--|------|---⌫-|
lagruelancele	-|---|----|-|
dedenz lagul eal mal fesa nt	-----|-|---⌫|-|---⌫----⌫-|
losenadtreitp uis li	|-|-|-|----|-⌫--|-|
quese pramesselirendist	--|-|-------|-|------|
liluslidi stparmaltalent	-|--|-|--⌫-|--|--------|
eafermaparserement	|-----|--|-------|
que li semblot e	--|-|------||
q u ebonluer	-⌫-⌫|--|---|
quant sateste ensa buchemist	----|-|----|-|-|----|---|
estrangla e oscist	--------||-----|
tuesfetilfole pruue e	-|-|--|-|---|-----⌫|
quantdemei	----|-|--|
esuiueeschapee	-|---|-------|
quet ureque rsautre luer	--|-⌫|-----⌫-|----|---|
qued etacharaig rant	--|-⌫|-|---|-|-⌫---|
meiki suilu sti eng	--|-|--|--⌫|--⌫--|
ieopu r fol	--|--⌫|--|
que odmesdenz ne tren ch ait unco l	--|-|--|---|-|----⌫--⌫-|-⌫-|--⌫|
autresi e stdel mal seignur	------|-⌫-|--|--|------|
si poureshu mlifeth onur	-|-----|--⌫|-|--|-⌫---|
e puisdemantsun	|---|-----|--|
ia nen a uerasimaugren un	-||-|-⌫---|-|--|--|-⌫-|
pur ceo quil sei te n	--|--|-|-|---⌫|-⌫|
sa b a illie	-|-⌫-⌫----|
merc ier lid itde sauie	----⌫--|-|-⌫-|-|-|--|
deun e lisse uoilo recunter	-|--⌫|----|---|-⌫-|-----|
quepreste e steit de cha eler	--|-----|-⌫----|-|---⌫---|
m esne sotuestre peust	-⌫-|-|--||----|----|
chael sauerde ust	-----⌫|---|--⌫--|
a un autrel isse	|-|----|-⌫---|
queens unosteletla	--|-|-⌫-|------|-|
ta ntkeele	--⌫-|-|--|
eus tchaelé	---⌫|------|
m utlensauereitc eodist b o ngre	-⌫-||-|-------|-⌫-|---|-⌫-⌫|--|
tant lad requise	---||-|------|
quecele od	--|---|-|
lui ladher bergé	--||-|---⌫-----|
puisquantele o t	---|----|--|-⌫|
eespeldrizfur entebels	|--------|---⌫--||---|
kilostelesteit	-||----|-----|
pareussouentdamagea ue it	--|--|-----|-----|-⌫--⌫-|
m eisunlesruue eissir	-⌫----|--|---|-----|
ne sueutmespluscunsentir	-||---|--|---|--------|
lautresepristadementer	|----|-|----||-------|
e ditque ele n eseitu	|--|--|--|-⌫|---||
yuerestei tp urlafr eid ur	---|-----⌫|-⌫-|-|--⌫---⌫-|
murratlaforsa	-----|-|---||
grantd o lur	----|-⌫-⌫--|
duncl i requistparcha r ite	---|-⌫|------|--|---⌫-⌫--|
queelel erbergedesquea leste	--|--||------|-----|||---|
cel eotdeli mutgrantpite	---⌫|-|-|-|--|----|---|
sili adissi otrié	-|-|-|---|-----|
quant lebe l ten suitreuen ir	----|-|--⌫|---⌫|--|-----⌫-|
duncle senruuefors	---|--⌫|-|---|---|
laut re comencea	|---⌫-|------||
siiameslen oeit parl e r	-|----||-|---|----⌫-⌫|
quesichae lledetrareient	--|-|----⌫|-|----------|
us labutereien t	-|-|---------⌫|
la for ceertlure laui gur	-|---⌫-|--|--||-|--⌫--|
fo rs lenunt misea deshonu r	--⌫-||-|--|---||-------⌫|
cesteessamplep urrez	----|-------|-⌫----|
eparm eintprudume	|--|-⌫---|------|
queparbuntedesuncurage	--|--|----|-|--|-----|
est d echaciéd ehe r itage	--|-⌫-------|-⌫|--⌫-⌫----|
ki felunhummeodlui acui lt	-|----|----|-|--|----⌫-|
ne sen partmie qu a nt	-||-|---|--|--⌫-⌫-|
il le ueut	-|-|---|
c i d itde unesurizuilaine	-⌫|-⌫-|-|--|----|------|
qu eauneuilepruceine	--⌫||--|---|-------|
u o leitaler purdeporter	-⌫-⌫---|---|--|-------|
p armiu n boisles tut passer	-⌫---|-⌫|---||--⌫--|-----|
dedenzle bo is li	-----|-|--⌫-|-|
unehulette	--|------|
ileoctrou a	----|----⌫|
queunesurizdeb ois o t	--|--|----|-|-⌫--|-⌫|
i otatrete	|-|-----|
la surizdeuiledemande	-|----|-|---|------|
si e le otiluecpointde uia nde	-|-⌫-|-|----|----|-|---⌫--|
cele respun tieoen aiasez	---|------⌫|--|-|-|---|
uenez a uante silueez	----|-⌫---||-||---|
si pluseus sezcumpai nie	-|---|---⌫--|------⌫--|
siense riezuu sbie nserui e	-|-|--⌫---|--⌫|---⌫|-----⌫|
quante leotpie cei luec	----|-⌫-|-|---⌫-|-⌫---|
asa cumpa ine ad	|-|-----⌫--|-|
di stqueo dliest	--⌫-|--|-⌫|-|--|
e q uee le ne	|-⌫-|-⌫-|-|
uoltdemurer m eis	---|------|-⌫--|
odli uie ngesi	-|-|---⌫--|-|
riches saleske	-----|----|-|
l i dur ra	-⌫|---⌫-|
belesdespensesbeauscelers	----|--------|----|-----|
e bons beiuresebons	|---|------||---|
celelacreiodli sen ua	---|-|---|-|-||-|-|
enrichessaleslamen a	-|-----|----|-|---⌫|
mustré ses	------|--|
sesdespenses sescel ers	--|--------|--|---⌫--|
plentedefarine e demiel	-----|-|-----||-|---|
celeq uitbienestr e elciel	---|-⌫--|---|----⌫|-|---|
meso reuien drentlibuteler	--|-⌫-|----⌫----|-|------|
que entre rdurentelceler	--|-----⌫|-----|-|----|
si tost cum i louri rentlus	-|---|--|-⌫|----⌫---||-|
lasurizsenf uit es pertus	-|----||-|-⌫--|-|-----|
laboscagefuesbaie	-|------|-|-----|
que lurestren e	--|--|----|-⌫|
saueitm ie	-----|-⌫-|
e issirentdelceler	-⌫-------|--|----|
reui ndrentmanger	----⌫-----|-----|
ce lefumurne eendolur	--⌫-|-|----||-|----|
sacu mpaine la re g arda	-|--⌫-----|-|--⌫-⌫---|
pargrantducur li	--|----|----|-|
q uelsem b lan tfetma duceamie	-⌫--|---⌫-⌫---⌫|--|-|---|---|
ieo suifetele	--|--|--|--|
maubaillie	---------|
purlapourq ueieo	--|-|---|-⌫-|--|
m utme r epent	-⌫-|-|-⌫----|
queteaicr ue	--|-|-|--⌫-|
tumecuntoues tuttunbi en	-|-|-------|--|--|--⌫-|
tunmalnedeistes rien	--|--|-|------|---|
oreastupourde lagent	--|-|-|---|-|-|---|
de c hazdeoiseu s	-|-⌫--|-|-----⌫|
tutensement	--|-------|
edesengins que	|--|-----|--|
humfetpurtei	--|--|--|--|
meuzamereie al	---|------|-|
boisparmei	---|--|--|
a se urtees anzd estr esce	|--⌫---||-⌫--|-⌫----⌫---|
s olersodtristesce	-⌫----|-|--------|
cestefableditpurresp it	----|----|--|--|----⌫-|
chescuna im tmeuz lesue n	------|-⌫--⌫|---|-|---⌫|
queil adenpesesanz	--|-|-|-|--||---|
richesce odmesestance	-------|-|---------|
d un gupilcunt lamanere	|-|----|---|-|-----|
que erteissuzdesatesniere	--|--|-----|-|-|-------|
odses enfanz deuant iua	-|--|-----|-----|--|
uneglesuient lu nenporta	-|----|----||-⌫|-|----|
li g upilzuet aprescriant	-|-⌫----|--|----|-----|
q uillirendi st sunenfant	-⌫|-|-|-----⌫-|--|-----|
mesi l neluolt mie escu ter	--|-⌫|-||---|--|----⌫--|
cuuien tareturner	------⌫||-------|
un tisunpri st defeu ardant	-|----|---⌫-|-|--|-----|
e sec chebucheuetcuillant	|---⌫--|----|--|-------|
enturl e ch esnelemeteit	----|-⌫|--⌫---|-|-----|
u liaigles	|-|-----|
sunniaueit	--|-|----|
liegle suitlefues pris	-|----⌫|--|-|-|--⌫---|
a lgupi l pr ieedit	-⌫|----⌫|--⌫-||--|
esteinle f euprentunchael	-----|-|-⌫-|---|--|----|
iaserunt arstutmi	-|-----|--|--|-|
essam plee ntendum	-----⌫--|-⌫------|
estdelriche	--|--|----|
iadelpourenau eramerci	-|--|----||--⌫--|----|
purs apleinte nepur sun cri	--|-⌫|------|-|--|--|--|
messicil sepustduncuenger	--|-|--|-|---|---|-----|
s iluerreitl um	-⌫||------||-|
tostsuppleer	---|-------|
iadis esteitcus t um eeleis	----|-----|---⌫-⌫--⌫||---|
que lileuns deustestrereis	--|-|----|----|----|---|
surtut esbe steskisunt	--|---⌫-|--⌫---|-|---|
e k econuersente n cestmunt	|-⌫|---------|-⌫|---|---|
del bugleotfetsunsenescal	--|----|-|--|--|-------|
quepruzletien te leal	--|---|-|----⌫||---|
allubaillasaprouo ste	-|-|-----|-|-----⌫--|
tuttreis suntenboisalé	--|----|---|-|---|---|
un c erf tre uent si	-|-⌫--|---⌫---|-|
lchac erent	|----⌫----|
q uantpri sleurent silescorcerent	-⌫---|---⌫||-----|-||----------|
bugle demanda	----|------|
co ment le cer f	--⌫---|-|---⌫|
d e partira	-⌫-⌫------|
ceoes tfe ti lenmun	--|--⌫|--⌫|-⌫|-|--|
qu enusdeuum porte r	--⌫|--|----|-----⌫|
li leuns ad dit	-|----|-|--|
q uetutert	-⌫-|--|--|
suen p uruerit e ́	---|-⌫-|-----⌫-⌫|
l ap rimerepartauer eit	-⌫|-⌫-----|---|----⌫--|
pur ceo quer e i s	--|--|--|-⌫-⌫-⌫|
ert edreiz este it	--||----|----⌫-|
lautrepartieauera	|----|-----|----|
raisunesteit kari l locist	-----|-----|--|-⌫||----|
eki laq uartepa rt	|-|-|-⌫----|--⌫-|
sesenemismorte us serreit	--|-----|-----⌫-|------|
duncnio sanulatucher	---|||-⌫-|--|------|
estutle c erflesser	----|-|-⌫--|-----|
unautr efezotli leun s	-|----⌫|--|-|-|----⌫|
enb o isod lui	-|-⌫-⌫-|-|--|
plus cumpai nuns	---|------⌫---|
l acheuree	-⌫|-----||
l ab erbiz ifu	-⌫|-⌫----||-|
uncerfuntpris	-|---|--|---|
enquatre p artleuoleient	-|-----|-⌫--|-|-------|
lil eunsdistieole	-|-⌫---|---|--|-|
uoilsaisir	---|-----|
lagreinurpartdeitest re	-|------|---|---|---⌫-|
la c urtl otreie	-|-⌫--||-----|
lesurplusa isidiuisee	-|------|-⌫|-|------|
quenulnelauerasanz me llee	--|--|-||----|---|--⌫---|
cumpainunquantloiren t	--------|----||-----⌫|
tutli laisser entsifuiren t	--|-|-------⌫--|-|------⌫|
autresie s t n e	------|-⌫-⌫|-⌫|
si poureshumprent	-|-----|--|----|
cumpaini e	--------⌫|
aplusforthume	|---|---|---|
quilne seit	-|-|-|---|
iadelgu ain n auera	-|--|--⌫--||----|
lirichesuol tauerlon ur	-|-----|---⌫|---||--⌫-|
ulipouresperd ras amur	|-|-----|----⌫-||---|
