o rfaitespaixpourDie	-⌫|-----|---|---|--|
uiuantmefusseab a nd onnee.C estpitéetmes chief	-----|-|----|--⌫-⌫--⌫-----||--|----|-|---⌫----|
qu eainsy suy	--⌫|----|--|
meneeSanscause etsans	----|---|----|-|---|
desse rte.A u ssydisoitlada mequant le duc	-----⌫---|-⌫-⌫--|-----|-|--⌫-|----|-|--|
lebatoi t Car	-|-----⌫|--|
parlesmaises erbesque	--|--|-----|----|--|
butilau oit	--|-|--⌫--|
Estoitte ́s	-----|--⌫-|
atournésque quantil	--------|--|----|-|
secouc hoitQue nt relui et	-|----⌫---|-|-⌫--⌫-|--|-|
safemmeu ne	-|----|-⌫-|
espeemettoit.	----|-------|
Le fil leausen n escaldencoste	-|---⌫-|-|---⌫-⌫----||------|
luigisoitEtdelézsa	--|-----|-|-----|-|
moullier asoncorpzhabitt oitEt	-------||--|----|------⌫--|-|
faisoit.Seleducoisseenparle leducle	-------|-|-|-------|-|----|-|--|-|
fortbatoi tEt deses	---|-----⌫|-|-|--|
ping z aussy tell ement	----⌫|----|----⌫----|
la tournoit Quesontresdoulxu iairetelz	|-⌫-------|--|--|---|----|-⌫----|---|
atournézest oitQ uedeuantles baronsamonstr er nes	--------|---⌫--|-⌫-|-----|--|-----||------⌫-|-||
osoit . Et sen	-----⌫|-|-||
estoit n ulzhomsse leducenblasmoitQu	-----|-⌫--|---|-|-|--|-|-------|-|
ilne perdistsa mo ur e t	-|-|------||-⌫--⌫-|-⌫|
co ngiet luidonno it .Troiz moi saccompliz telleu iemennoit.Si	--⌫----|--|-----⌫--⌫|----|---⌫|--------|----|-⌫-|-------|-|
aduientque	------|--|
ung sergentquiac ourtrepairoitFuprins	--|------|--||-⌫---|--------|-|----|
de larrechinde	-|--------|-|
iuea ulxquil	----⌫--|-|-|
embloitSy q uil	------|-|-⌫|-|
estoit cert ainsquependr e	-----|----⌫---|--|-----⌫|
failloit.La uielleuientalui	--------|-|-----|----||--|
en lapr isonto ut droitSelidist	-|-|--⌫---|--⌫-|----|-|-|---|
lemie ncorpzmorird oit.M aisse	-|---⌫|----|----|-⌫---|-⌫--|-|
uoullïé z f airece	---------⌫|-⌫---|-|
c o rpzdiroitTu serroyesdeli ureet mizhorsd u	-⌫-⌫--|-----|-|-------|----⌫--|-|--|---|-⌫|
b ea uffro it .-Dame	-⌫--⌫-----⌫--⌫||---|
uarle ́zq uidecue r lescout toitIl n estriens	-----⌫-|-⌫-|-|---⌫||------⌫---|-||--|----|
qu e mescorpz ne feroitPourgarrandir-	--⌫|--|----|-|-----|---|--------||
Da medistl isergenspens e ́z	--⌫-|---|-⌫|------|----⌫-⌫-|
ded eui serCariefer aytoutc equeuousuouréz	-|-⌫---⌫--|--|-|---⌫-|---|-⌫|--|---|------|
c ommand er. -Amisse	-⌫------⌫--||---|-|
distOstriss eiluousf a ultencoupper Lafemme	---|-------⌫|-|---|-⌫-⌫--|--------|-|----|
ou duc d un	-|--||-|
tu meorascompter.T u dirasque a ton	-|-|---|-------|-⌫|----|--||--|
corpzuault l	----|----||
marchan derDu bonducSa uaryparuenine nerber	-------⌫--|-|--|--|--⌫---|--|----|-⌫-----|
Et luid euois do nner a	-|--|-⌫----|--⌫---||
leure dudisner.	|---|-|------|
tul aurasditpourla	-||----|--|---|-|
dam e gr euerI ete	---⌫|--⌫---|-⌫|-|
feray parnuyt deprisondeliurer Et	----|--|---|-|-----|-------|-|
ungrichecheualaurazpour	--|----|-----|----|---|
mo nt erEtXXX bes ansdo rteferay	--⌫--⌫-|-|--|---⌫--||-⌫|-|----|
enb oursser.Et deceteniruouray	---⌫-------|-|-|-|----|-----|
ma foyiurer EtYd ernem a	-|--|----|-|--⌫---|-⌫|
filleleuoulrac reanter	----|-|-----|-⌫------|
Afaireto ut	|----|--⌫-|
quemoéz deuiser. - Damedistli	--||---|-------||---|---|-|
garch on f aite s m oy	-----⌫-|-⌫----⌫|-⌫-|
ame nerYderne	---⌫--|-----|
u o strefi lle pourc efait accorde rCardesy	-⌫-⌫---|--⌫--|---|-⌫|---|-------⌫|--|-|-|
fait marchiéqua nt on	---|-------|---⌫-|-|
leueult outrerAffiertsouffissantgaig e	-|----|-----|------|----------|----⌫|
o uon se p ui s tfÿerCaron	-⌫|-|-|-⌫--⌫-⌫|----|--|-|
doit nulzcroire. Quant Ostrissele uiell e en tend y lesergent	---|---|------|----|-------|-|-----⌫|--⌫----⌫|-|------|
fillecourrutquerrequesot leconu enantEt uientau	----|------|-----|--|--|-|----⌫----|-|----|-|
prisonnierle	---------|-|
serment iurantDe lui a	------|-----|-|--||
deliurersansestred e ffaillantEtd edo n ner	-------|---|----|-⌫-⌫--------|-|-⌫|--⌫-⌫--|
la uoi r san s estre	|-⌫---⌫|---⌫|----|
deffalant.Etchilzdistquil	---------|-|----|---|-|-|
ferraleurbonet	----|---|--|-|
leurcomm and. Lorssen	---|----⌫---|---||-|
uo nt l esd amesde lep ri so ndeseurant. Et	--⌫-|-⌫-|-⌫---|-|-|-⌫--⌫--⌫|---------|-|
chie ulx uauist em e ntensoupal laizmandant	----⌫--|-|----⌫--⌫-⌫-|--|-|---⌫---|------|
uiengnealui	------||--|
parle rcar lebesoin gestg rant	-----⌫|--|-|------⌫|--|-⌫---|
uouloit direpour fairea u	------|---|---|----|-⌫|
duc grant.Adont yenu oy ale duc	--|-----|----||---⌫--⌫|-|--|
son l ieutenan tEtII IIcheualie rsou	--|-⌫--------⌫|-|--⌫-|--------⌫-|-|
mou lt seua	---⌫-|-|-|
fÿan t.Etceulxa laprison	-----⌫-|-|----||-|-----|
sontuenuzmainten ant.Quant	---|----|-------⌫---|----|
le uarletl esuoitse	-|-----|-⌫-|---|-|
en oy a nt	-|--⌫-⌫-|
Sei gneursdistli	---⌫-----|---|-|
u arl éziesc ̧ay a ess ïantQuilme	-⌫---⌫--|-|--⌫--||---⌫----|-|-|-|
conuien t mo rircarbien es t	-------⌫|--⌫--|--|---|--⌫|
af freant. Ielay biendesseru y	--⌫------|-||-|---|-------⌫|
en uoisrepentant	-|---|--------|
Ma isdi ttes	--⌫-|--⌫---|
moyau ducqu	--|-|--|-|
il seuoistbiengardant De	-|-|----|---|------|-|
Flour esa moullierquine	-----⌫|-|-------|--|-|
l aime no yantCaramoy	|---|--⌫---|--||--|
marchanda as on argentp ayant	--------||-⌫-|-----|-⌫----|
Denherber le	|-------|-|
b onduc.Ie	-⌫-|---|-|
leuchenconuenant	|---|-|--------|
Dont i aylecuerde	---||-|-|---|-|
mic o u r rouc hié	-|-⌫-⌫-⌫-⌫----⌫---|
etdoulant.Pour ce	-|-------|---|-|
dyquedes oreen auant Ne seuoist	-|--|--|--|-|----|-|-|----|
fransduxen safemme	----|--|-|-|----|
fiansCar ie uousiur eDieulePe retou t	----|--|-|---|---⌫|---|-|--⌫-|---⌫|
pois santQue	----⌫---|--|
iayditueritésans estre	|-|--|------|---|----|
uarïantCarou po intouie	-------|--|-|--⌫--|-|-|
suiz eten tel conuenantIammais nement iroye.	---|-|-|--|--------|------|-|----⌫-----|
Quan tlesbarons	----⌫|--|-----|
oÿrentco mptercesteraisonAu ducenontcompté	------|--⌫----|----|-----|-|--|-|--|------|
inte ncïon .	----⌫------⌫|
l iduxoÿc ompt ercesterai so n	-⌫|--|--|-⌫----⌫-|----|---⌫--⌫|
Ilmeïsmezencorp zuint	-|-------|-|----⌫|---|
parler a ugar ch on Etl ui	-----|-⌫|---⌫--⌫-|-|-⌫-|
fi stre cordertoute ceste raison.Et	--⌫-|--⌫-----|----|----|------|-|
dux l eoÿ si signasa faichon.	--|-⌫|--|-|----|-|-------|
Aupallaisremo ntaquinedistone	-|------|----⌫--|--|-|---||-|
n om.L adame euist tueedeboise	-⌫--|-⌫|---|----|---|-|----|
ou d e basto nMaize lle senfu ïau	-|-⌫|-----⌫|---|-⌫--||-|--⌫-|-|
des pen sierGuionEnmy le nu ytlostella pardedenssa	---⌫---⌫---|----|-|-|-|--⌫-||------|--------|-|
mai son . O r	---⌫---⌫|-⌫|
uous diray d	---|----||
Ostrissequiait	-------|--|--|
mal eÿchonElleenn ortale	---⌫------|---|---⌫---|-|
prenistl e	------|-⌫|
garc honEt	----⌫--|-|
tantost morssa ns nullearrest acion.	------|---|--⌫-|----|------⌫-----|
L eduxl e comma nda enle	-⌫|--|-⌫|-----⌫--|-|-|
nuyt leprustonEt	---|-|----|-|-|
luitrenchaon letest e	--|------|-|-|----⌫|
pa rdessu slementon Sa ns au oir	--⌫------⌫|-|-----|--⌫-|--⌫--|
d eparlern ezuneaudici onC ar	-⌫|-----|-⌫----|------⌫-|-⌫-|
estoit pourh ast erl efaichon. La	-----|---|-⌫---⌫-|-⌫|-------|-|
re cheutlemeschans m ort	--⌫----|-|-------|-⌫--|
sansconfessi ̈onEnssy doitcom parer quichaschet raÿson.	---|--------⌫--|----|---|---⌫----|--|------|-⌫-------|
dollans ensaco ndicïonQuilentrapource	------|-|-|--⌫-------|-|-|----|---|-|
f aitentelle a bbussïon	-⌫--|-|----|-⌫--------|
Quiliurale SeigneurqueLon gin sfi st	-|-|---|-|-------|--|---⌫---⌫|--⌫-|
pa rdon Qu il ard erasa	--⌫---|-|-|---⌫--|-|
enungfu decha rbon . Bie nsceultlafauls e	-|--|-|-|---⌫----⌫|---⌫|-----|-|-----⌫|
uielle ou p rinst	-----|-|-⌫----|
herberguisonSeledist	-----------|-|-|---|
auducquiSauaryotn om	-|--|--|-----|-|-⌫-|
Quitantostlefist	--|------|-|---|
ma nder par sonpruuost Huon.Oupallaiz	--⌫---|--|--|------|----|-|------|
l e menerenteng rant	-⌫|-------|-|-⌫---|
contrissïon Endestorda ntsespoins enfai santma rission.Aterre	-----------|-|--------⌫-|--|----|-|---⌫---|--⌫-------||----|
p ausma quant perc heutsonb aron.Etl ydux	-⌫----|----|----⌫---|--|-⌫----|-|-⌫|--|
s es crÿa	|--⌫----|
clerementahault	--------||----|
thon Ar dés	---|--⌫---|
moyl eputain sans nullearrest i ss ion	--|-⌫|-----|---|----|------⌫-⌫--⌫--|
Quifai re m e	--|---⌫-|-⌫|
u oullo it f inerparpuisson E tla	-⌫-----⌫-|-⌫---|--|------|-⌫|-|
dames esc rÿ eAbbassiézuo	---||---⌫---⌫|---------|-|
oncqu es ne le pensayneeubza uissionDe me ffaireuers	-----⌫-|-|-|-----|-|---|-⌫------|-|--⌫-----|---|
uouslemonted un	---|-|----||-|
bouton .Maisie sça yb i enquiueultd est ruire	------⌫|---|-|----⌫|-⌫-⌫-|--|----|-⌫---⌫----|
co mmench onOn	--⌫------⌫-|-|
s us leraige.Laduchoiseot grant deuilt	-⌫-|-|-----|-|-------|-|----|-----|
mou lt senuamesaisant.Et	---⌫-||-|-|---------|-|
liduxdistahault B a ron	-|--|---||----|-⌫-⌫--|
comman dArdézmoy ce stefau lse	------⌫|-----|--|--⌫--|---⌫--|
n alézplusarr es ta ntCa r s onfa it	|----|---|---⌫--⌫--⌫-|--⌫|-⌫-|--⌫-|
estprou ué i e c roy b ie n	--|----⌫--|-⌫|-⌫--|-⌫--⌫|
le ser ge nt .-A	-|---⌫--⌫--⌫|||
Sire d istla	---|-⌫--|-|
d amegrosse	-⌫--|-----|
sui dun en ffant.I e uousprie	--||-|--⌫-----|-⌫|---|---|
pour Dieu quem oygardéztantQue i	---|---|--|-⌫-|------|---|--||
ensoy edel iureeenl o nneurD ieulegra nt.	-|---⌫|---⌫----|-||-⌫----|-⌫--|-|---⌫--|
Puismefai tesmorir ie	---|-|---⌫--|----|-|
desirantCar plus ch iera ya morirc a	-------|--|---|--⌫--|-⌫||----|||
plus estre	---|----|
Pour souffrirle meschiefd e uo	---|-------|-|-------|-⌫|-|
pute songnan t.Caroncques puis	---|-------⌫-|--|------|---|
allast es accoi ntan tIe n euch	------⌫-|-----⌫----⌫|-||---|
bie npuis sedyenbuuant	---⌫|----⌫---|-|-----|
nem engan t.	-|-⌫-----⌫-|
Iehsusleuous pardoinstleroydeBelliant	-----|-|---|--------|-|--|-|-------|
le uo u spardoinz	-|--⌫-⌫|-------|
pu isce iou r enauant.Lorssepausmala	--⌫-|-|---⌫|-|-----|---|-|-----|-|
dameXfoizenungtenant.	---||---|-|--|------|
Maislidux n y acc ontele	---|-|--|||---⌫---|-|
monta nced ung gantC aril	-----⌫--||--|---|-⌫-|-|
auoitbutla	----|--|-|
mallepouldreardan tGarn ydesorc h eri e.Lydux uoit	----|------|-----⌫|----⌫|-|----⌫-⌫---⌫-|-|--|---|
safemmedollante	-|----|-------|
etcou rrouchieQuiencha int e se faitdontbien nelui	-|---⌫-------|--|-----⌫---⌫|-|---|---|---|-|--|
p leutmy e.Adont	-⌫---|--⌫-|----|
ena ppellasanobleba ronnye. Seigneurssed istle	-|-⌫-----|-|----|--⌫------|--------|-|-⌫--|-|
roy orne me	--|-|-|-|
celézmi eCommen tmemain terrayde	-----|--⌫|------⌫|-|----⌫-----|-|
c est re noÿe	-⌫--|--⌫----|
Dontdist un g	---|---|--⌫|
c heuall ierqui	-⌫------⌫--|--|
f udesa meisnieSir ele dameu ient	-⌫|-|-|------|---⌫|-|---|-⌫---|
anchisoire rieEll ees t fill eThie ry	----------⌫--|---⌫|--⌫|----⌫|----⌫-|
lebonroyde Pauye .	-|--|--|-|-----⌫|
uo usferéz etm e z corpzuo usenprie	--⌫-|-----|-|-⌫-⌫|----|--⌫-|-|---|
Ieloe bonneme nt	-|--|-------⌫-|
quelle soit	-|---|---|
renuoÿeAson pere	-------||--|---|
tout droit quia cher hardye Etl isoitune	---|----|--||---|-----|-|-⌫|---|--|
donnee etottroÿe Du faitainsiquil faitet	-----|-|-------|-|---|----|-|-|---|-|
dont est rattraitie	---|--|---------|
Etsoitau gréduroyse lonson fa it	-|---|-|---|-|--|--⌫--|--|--⌫-|
iugie. Ainsyseramoultbi en	-----|----|---|----|--⌫-|
cest echo seu en gieEt sen	----⌫|---⌫-|-⌫--⌫--|-|-||
e n serré z i a	-⌫|------⌫|-⌫|
r ete ́ zdeuil lonnye.-Pa rma	-⌫---⌫-⌫|-|---⌫------||--⌫|-|
foy distl iduxetme s c orpzsy	--|---|-⌫|--|-|--⌫|-⌫---|-|
ot trye.Ad ontparlali d uxuoy ant	--⌫----|--⌫--|----|-|-⌫-|---⌫--|
sabaronnyeDameieuous bann isdela	-|-------|---|-|---|----⌫-|-|-|
moy e partieDAcq uit aine	---⌫|-----||---⌫---⌫---|
legrant que iayenmanburnye.Et	-|----|--||-|-|---------|-|
syuousen allézetnayéz	-|---|-|-----|-||----|
mai sn ieT rois damesseullementquemescorpzu ous o ttrye .	---⌫--⌫-|-⌫---|----|---------|--|--|----|-⌫--|-⌫-----⌫|
uo usferayd AlixandredOb r ieQuia	--⌫-|----||--------||--⌫-⌫-|--||
uope rediralestatdeuostre	-|--⌫-|---||----|-|-----|
uie.Syfaisede uocorp ztoutte	---|-|----|-|-|----⌫|-----|
sacom mandie. -Sire dist la	-|---⌫------||---|---|-|
duch oseet	----⌫--|-|
ieuouse n mercye	-|---|-⌫|-----|
Donnézmoym esenffansto us	------|--|-⌫-|------|--⌫-|
uo usen prie Et	--⌫-|-|---|-|
lyduxresponduo us	-|--|------|--⌫-|
aurézmie . Se	-----|---⌫|-|
moncorpzempeschi eF aittes ent comme	--|----|--------⌫|-⌫-----|--|----|
dis tlidux faitesalézuo us	---⌫|-|--|-----|----|--⌫-|
ent Se ieuoustr eu uede main	--|-|-|---|--⌫--⌫-|--⌫---|
nonneprouchaineme nt	----|------------⌫-|
Ieu ous fe rray ardoira	-|-⌫--|--⌫---|-----||
deuilet atort	----|-||---|
torment Adontploura	------|----|-----|
la dame qui lecu er	-|---|--|-|--⌫-|
otdollent.T rois	-|-------|-⌫---|
ch ambrierespris t ason comm ande men tEtallases de u x	--⌫--------|----⌫||--|----⌫----⌫---⌫|-|---|--|--⌫-⌫|
fieulxbaisier	-----|------|
pit e usement.Ledeul qu elle me naasondeppartemen t	---⌫-⌫-------|-|---|-|---|--⌫-||--|-----------⌫|
Nyeult sy dur	||---|-|--|
cuer i usqua lArbrequiFent	---|-⌫---|||----|--|---|
Quin en eub stpitéselon mon	--||-|---⌫-|----|----|--|
essie nt.Alixan drelidistA lons	-----⌫--|------⌫--|-|---|-⌫---|
n ous e ntIhesusuous	-⌫--|-⌫-|-----|---|
qui le mon sappent .A	--|-|---⌫|------⌫||
lostelG uion	|----|-⌫---|
prinrentle nuyt herberge ment.	-------|-|---|--------⌫----|
OrescouttézdO st rissequeli corpz	-|---------||-⌫--⌫----|--|-|----|
D ieu cra uentCellenuyt	-⌫--|---⌫---|----|---|
luiassembl ama intparent Etfu rentiusqu	--|-------⌫|--⌫--|-----|-|--⌫---|----|
quiel les at tent	--|--⌫-||--⌫---|
Et leu rdist	-|---⌫|---|
Mesaimizor	--|----|-|
oyézmont allent. ParYderne mafille	----|--|-⌫------|--|-----|-|----|
qu i debeautéresple nt	--⌫|-|------|------⌫-|
So m meznousahonneur tr estousentieremen t	--⌫-⌫--|---||------|--⌫-----|----------⌫|
