A Blaiuesfuisent	|------|------|
Arde n tet proientetgastent lepa is	----⌫-⌫|-|------|-|------|-|--⌫-|
Ches maisons ardent et on t parterremi s.	---|------|-----|-|--⌫|--|----|--⌫||
Bie nfa itGe rinde	---⌫|--⌫-|--⌫--|-|
trestotsonpl aisir	------|--|--⌫----|
Cas tel netroue quiue rslisostten ir.	---⌫--|-|----|--|--⌫-|-||--|---⌫-||
Ens enGasco gne fait li	--|-|-----⌫--|---|-|
dusrete nir	--|----⌫--|
Mai ntecité	---⌫--|----|
et ma intcas tel	-|--⌫--|---⌫--|
Morl antb risaa. i.lundimati n	----⌫--|-⌫---|||||----|----⌫|
u int a la Resteparfor ce	-⌫--||-|----|--|---⌫-|
Gas tant sen uapartres totlepai s.	---⌫---||-|-|--|----⌫--|-|---⌫||
Qui l niot home qui li os ast	-|-⌫|||-|---|--|-|--⌫--|
Morsfu GuillaumedeBlancafortlecit	---|-|--------|-|---------|-|--|
Nial astmie	-|--⌫--|--|
s eliu assausfust u is	-⌫|-|-⌫-----|---|-⌫-|
