ad mes mainsestuenuznouelement	-|--|----|--|----|---------|
p assibles c hi stozhommesai	-⌫-------|-⌫--⌫|--|-----|-|
uiscu s en complente	----|-⌫-|--------|
tre s tu senforc entdestrurema	---⌫-⌫-||------⌫--|-------|-|
uieetfrem issentet	--|-|----⌫-----|-|
forsenn e encontre moi parase nblee	-------⌫|-------|--|--|---⌫----|
mai npor tentencontre	---⌫|---⌫---|-------|
moil e sperilzetsi tra hent amon	--|-⌫-⌫|-----|-|-|---⌫---||--|
torments i	------|-⌫|
me mo nent	-|--⌫---|
etmapelent aperilscenusne	-||------||-------|--|-|
defentasalut	-----||----|
nunsnenaiostedefendement	---|--|-----|----------|
nunsnimido nent	---|-|-|--⌫---|
nunsnesecorta	---|-|-----||
mesmasdiuirpitsuiz	--|--|-------|---|
detozquiunquesme uai toume	-|--|--|-----|-|---⌫|-|-|
fuitoup ar	---|-|-⌫-|
a uenture m e	-⌫------|-⌫|
porseuti l m esgar dent	------|-⌫||-----⌫---|
cumme c ha tifetparolent	----|-⌫--⌫--|-|-------|
abo i si epar pas ibl espa role spar	|--⌫-⌫--⌫|--|---⌫---⌫-|--⌫----⌫|--|
paro lesao rnen t lor	----⌫--|--⌫----⌫|--|
reponue malice	------|-----|
altrech osema tent	----|--⌫--|--⌫---|
fors parbochee ta ltre	---|--|----|-⌫|-⌫---|
porpensentencurs c elq uil	---------|-|---|-⌫-|-⌫|-|
p rome tentp ar	-⌫----⌫---|-⌫-|
destruent par our esiu untpar	--------|--|---⌫|-|-⌫--|--|
ui nimecorag edesoz	--⌫---|-----⌫|----|
l abitd ipi et e etcuure ntlor	|---|-⌫|--⌫--⌫|-|-----⌫-|--|
malice par	-----|--|
lacolord e	-|----|-⌫|
bonte uosote treponentpar	----|------⌫|-------|--|
simplicitetam ist e	----------|--⌫---⌫|
fignentparbos ie etd emons trent	------|--|---⌫-|-|-⌫-----⌫----|
ac u croe stua cuaiostetufai	|-⌫|----⌫|-||-|-----|-|--|
queluisinsentes	---|----|-----|
tude fai nunsnesetauoir	-|-|--|---|-|--|----|
f oi to uestfoit	-⌫--⌫|-⌫|--|---|
peries ttollue	---|--⌫|-----|
estetnului	--|-|----|
en estseurefo it	-|--|----|--⌫-|
siloauteestnian zetnulle	-|-----|--|----⌫|-|----|
uertez dei ugementn un e st	-----|-|-⌫------|-⌫-|-⌫-|
sidroitureest	-|-------|--|
d is ie tee etnon	-⌫--⌫--⌫--|-|--|
esttr ou e eiusticeest	--|--⌫--⌫-⌫|------|--|
dene ie atozlesloi speri ssent	----⌫-||--|--|---⌫|----⌫----|
i u iantl auaricedrot ures	-⌫-⌫---||------|----⌫---|
neua lentniantpar a mordecu uise	-|--⌫---|----|--|-⌫--|-|--⌫---|
liloiretlesdonesportent	-|---|-|--|----|------|
forcesasl oispar to tuai nt	-----|-|-⌫--|--|--⌫|---⌫-|
richace et	------|-|
iugeme ntest	------⌫-|--|
uen ausn u llepaor nest	---⌫--|-⌫-⌫--|---||--|
nullepaorsn	----|----||
deiugementsenpone e stli	-|-------|--|---|-⌫-|-|
co ngiezdemal uiure nus ne	--⌫----|-|--|----|--|-|
contradis tas	---------⌫|-|
pech anz nus ne	----⌫--|--|-|
uangefelonie	----|------|
tozblasmesmain tlifelon	--|------|----⌫|-|----|
suntsalfliinnocent	---|---|-|-------|
pe ris sent libonuntdisate	--⌫---⌫---|-|--|--|-----|
li prochié abundent	-|-------|-------|
etliescumen iésu ntpo ssant	-|-|-------⌫--|--⌫-|--⌫----|
li felunsuntlie	-|----|---|--|
sunt deceu	---|----|
etd olantéete m	-|-⌫------|-|-⌫|
sen causeet	--|----|-|
contraietentetamatent	-----------|-|------|
li ent encontre moilornoz	--⌫--|-------|--|--|--|
ato rnent enmoileu	---⌫----|-|--|--|
d esuspiciun	-⌫|--------|
en b lasmeeten p erilme	-|-⌫----|-|-|-⌫---|-|
ama ten ta	---⌫---⌫||
moiloub lasmes	--|--|-⌫-----|
sai delquel nule chose	--|--|---|---|----|
n estes q ui se	|--|--⌫-⌫--⌫-|
n ule ue rtetnene s tchac hie	-⌫--|--⌫---|--|-⌫-⌫|----⌫--|
nekedant ne reposent findre	-------|-|-------|-----|
maisc ontram eap arrelierfas	---|-⌫----|-⌫|--⌫-------|--|
tesmonegenecesentde	--------|-|-----|-|
cont raietir	----⌫------|
liacuso r ne finent	-|-----⌫|-|-----|
dedampn erli	-|-----⌫-|-|
etla fause	-|-|----|
destesmonzetie	--|------|-|-|
innocenzsuy	-------|--|
menezamort	----||---|
dunmesmes conse l	|-|-----|-----⌫|
etd une com panie	-||--|---⌫----|
suntli tesmun	---|-|-----|
li iu io r	-|--⌫--⌫|
et liacuso rlesreprochieziuiors	-|-|-----⌫|--|---------|-----|
oposentleste mon	------|--|--⌫--|
contreiateencuitesmo nageunt	---------|-|--|-----⌫---|--|
lorfiacenusne	--|----|--|-|
uaitd iceosnenediscorde	---||----|-|-|-------|
n unerefuse	-⌫|-|-----|
lo rconsel aquid irai cui	--⌫|-----||--|-⌫---|--|
requer eaic ui d em anderaiconsel	------⌫--|-⌫-|-⌫--⌫------|-----|
emcuimeterai moncorageha i	-|--|------|--|-----|--⌫|
toz deu irpitde	--|---⌫----|-|
lacharite d etoz ensusde	-|------|-⌫|--|----|-|
deiet enttuit	-----⌫--|---|
tuitmefun t bestepar	---|-|---⌫|----|--|
abominationt uit	----------|-⌫--|
me horis ent	-|-----⌫--|
etre fusent	-|--⌫-----|
et portedent	-|--------|
escumengementie uoil fuira	------------|-|---|---||
osmais ilmemenacentie	-|---|-|-|-------|-|
cuueitdeprier lor piezmas il	-----|------|--|---|--|-|
me fuientcont rarientet	-|-----|----⌫------|-|
heenti esuoil auoir	----||-|---|----|
pro pices em pr oant maisillme	---⌫----|-|--⌫---|---|--|-|
sunt plus molestenekedantala	---|---|------|-------||-|
fies acompagneamoi	--||--------||--|
car ite ne mie por conforte	---⌫--|-|--|--|-------|
masp orasairfintementpa r olen tet	--|-⌫-|----|--------|--⌫-⌫----⌫|-|
lorcoi sie rn est	--|---⌫---⌫||--|
pa ssimplesilqui rentque	--⌫|------|-|---⌫---|--|
manifeiscent	-----------|
etquelc hos eillme decou ent m ais	-|---|-⌫---⌫|--|-|-----⌫--|-⌫--|
ieencliné lochif humilié	-|-------|-|---|-------|
uiaredimiselafa iconmitaceetsi	----|-----|-|--⌫---|-|---|-|-|
permagne enl	-------|-||
encomencés ilenceiamisuarde	---------|-⌫-----|||--|----|
et signaclead oné ama boch e	-|-------||-⌫---||-|----⌫|
m auoi sce etm aparol eairepresse e	-⌫|---⌫--|-|-⌫|-----⌫|-|--------⌫|
etm a l angue restr oite	-|-⌫|-⌫----|-----⌫---|
depa rler ent	-|--⌫---|--|
nesdebienente ruezme	--|-|---|----⌫---|-|
to isgekar mi ezuoil	--⌫-|-|--|--⌫-|---|
c oisierasreprochiez quemai sil	-⌫-----|-|---------|--|---⌫|-|
reposentet	-------|-|
forsanneetpluset plus	-------|-|---|-|---|
porseuentmo i ferutet	--------|--⌫|----|-|
trabuchent	---------|
resonentsormoi	-------|--|--|
parclam ors	--|----⌫--|
mai ietent e nuoi sement	--|-----|-⌫----⌫-----|
blasmespar	------|--|
uoizpa r quuisepar	---|--⌫|-----|--|
resonemenzsallents or moi	---------|------|-⌫-|--|
par aouerteu oiz iatent sormoi	--|------|-⌫--|-----|--|--|
org uel ousdizetreprochen t	---⌫---⌫--|--|-|---------⌫|
dautruiporuoch iert uitsunt	|-----|-------⌫--|-⌫--|---|
commeutsor m o itui	------|--|-⌫-⌫|--|
forse nne ntemmoi tui	-----⌫---⌫-|-|--|--|
entenden t em montormenttui	--------⌫|-|--|------|--|
appare ll entlormains emmamortie	------⌫--⌫--|--|----|-|-|---|-|
ch atisensig rant	--⌫---|-|-|-⌫---|
paor suiporriz	---|--|-----|
chaitissui em pal iz ie	------|--|--⌫---⌫-|-|
dim em orz sui s	---⌫|-⌫--|---⌫|
afleueliezmes	---------|--|
cursestenmarcit	---|--|-------|
ieschaufeet purispar pauo r	|-------|-|----|--|----⌫|
trenblementetpa uors	----------|-|--⌫---|
unt quasseem a nme ens isui	--|------||-⌫--|---⌫|--|
botezenessiletdamnez	----|-|----|-|-----|
paressiletplorlapoined	--|----|-|---|-|----||
etg emisladampnation	-|-⌫---|-|---------|
d ess ilamenezsu ialien	|---⌫-|-----|--⌫||---|
seru itut apre ssezp ar faisde	----⌫---|----⌫---|-⌫-|---|-|
s eriantie s umisaoure deser ianten	-⌫-------|-⌫---||---|-|---⌫---|-|
froidoren noifet tropgrant	------|-|---|-|---|----|
langoretn oires tempest ez entot	-----|-|-⌫----|-------⌫-|-|--|
tra uail ettozperizsui	---⌫---|-|--|----|--|
apresles dama gesdesbinsa pres	----|--|----⌫--|--|---|-⌫---|
perdede t ote sch oses	----|-|-⌫---⌫|--⌫---|
soif aizbesongnos pourese t	--|-⌫--|--------|-----|-⌫|
a flauilliez iai	-⌫---------||-|
bes o gneie	---⌫-⌫--|-|
mendieiemalauroi s	-----|-|--------⌫|
auuertement demant	----------|-----|
mo nuiureetnus na drace sa i	--⌫|----|-|--||-⌫----|--⌫|
mai n a moibosengnant	---⌫||--|---------|
tuitme despisent me ndiant	---|-|--------|--⌫-----|
saolentdelorm iate s	------|-|--|-⌫----⌫|
lo ufamillant	--⌫|--------|
nunsnespa nt	---||----⌫-|
sesgottes de refrigere	--|-----|-|--------|
enl aboche	-|-⌫|----|
desoilla ntnunsn e	-|------⌫-|---|-⌫|
de netamo inesunepeti te	--⌫--||--⌫|--|--|----⌫-|
roseedaiguekariesui	----||----|--|-|--|
tozhahynos	--|------|
tuimedespi sent cumm erugnois	--|-|-----⌫---|----⌫|------|
etderachent cumme	-|--------|----|
flarantetenhorrisentcumme	------|-|----------|----|
liprosdefiens etd eboes	-----|-|----|-|-⌫|---|
litormantne defai llent neianin	-|------|-|-----⌫----|-|-|--|
i ai tmoi ns ch ascumior	|--⌫|---⌫-|--⌫----|--|
estpluscruirtez	--|---|-------|
et adariens	-||------|
litormentordescire nt	-|--------|-------⌫-|
moncorspartormantetdepecent	--|---|--|------|-|-------|
mesent ra illesetmesmembres	--|---⌫--⌫----|-|--|------|
entrengeman ieresdes p oinesquicunque	-|-----|---⌫----|--|-⌫----|--------|
cruer chose il puient	----|----|-|-----|
por pen s entsormoipa r	---⌫---⌫-⌫--|--|--|--⌫|
milp oines	--|-⌫----|
tormentetz sumis a miltormen z	---------|----||--|------⌫|
et dis ciriezmac har s est purie	-|---⌫-----|-|-⌫---⌫|--|----|
detaillie parplaiesme u cot et	--------|--|-----|--⌫|---⌫-|
espa ndentporr oturemeu	----⌫----|----⌫----|--|
d es cirit menbredecorre nt	-⌫--⌫----|-----|-------⌫-|
deporreturee nseb leles	-|--------|-⌫----⌫-|--|
plors etles	----|-|--|
larmes d ec ort	-----|-⌫--⌫--|
liquesnespas	-|---||-|--|
deslarmesmas	--|-----|--|
des plaisiechatis	--|----|-|-----|
suiconsumez e n	--|-------|-⌫|
dolor m es corset	----|-⌫-|---|-|
mes cora gesde faitendolor	--|----⌫--|--⌫---|-|----|
ma p e nseest uencueetmani me	-|-⌫-⌫--|--|-----|-||---⌫-|
estdeuantclo separ	--|-----|---⌫-|--|
dolorm ente schose s	----|-⌫----⌫|-----⌫|
aisofer tke n e	-|-----⌫|-|-⌫|
f ontasof rirmente	-⌫--||---⌫--|----|
agreschosesasu s tenuimente	----|-----||--⌫-⌫----|----|
tenc e onaporteeunquessi	----⌫-⌫-||-----|-----|-|
grisets icruirpla ine	---|-|-⌫|----|---⌫|-|
suipa rs ubiten	--|--⌫|-⌫-----|
d estruimente tapresse z parastrange	-⌫---------|-⌫|-------⌫|--|-------|
plaie lamis er emat	----|-|---⌫--⌫||-|
apresseisubitenementniantsap antli	-------|-----------|----|---⌫--|-|
subitensdestruamenz	-------|----------|
et auenture	-|-------|
mo nt ascrauantét	|-⌫-|-----------|
chatis p or koi suiienezet	-----|-⌫-|--|--|-|--|-|
ietez ences te	----|-|---⌫-|
cestec ha tiueuie p orkoi	----|-⌫--⌫---|--|-⌫-|--|
chatisaiueu ceste	-----|-|--|----|
encontret li nasch emenz	--------|-|-----⌫----|
de cesteeuieamo i	-|-----|--||--⌫|
c ha tifla	-⌫--⌫--|-|
meeuolen teusise	--|-----⌫-|----|
isnelem e ntd el	-------⌫-⌫-|-⌫-|
e tteplaistlaisez paranc une	-⌫|-|-----|-----|--|---⌫--|
ena la sedel siecle	-|-⌫--⌫-|--|-----|
etamoic ouaitantmorr irleust	-||--|-⌫-------|----⌫-|----|
endr oi t aiesir karannois	----⌫--⌫||----|--|-----|
deu iure estamoi	-|-⌫---|--||--|
etdesi ers	-|----⌫--|
morirl asol e morzpl ais	----|-⌫|---⌫|---|--⌫--|
maisie chatis ententet a	---|-|-----|-----|-||
uie tartotumorzcumme	--|---||-|---|----|
achaitis cum	|------|--|
suisas uiuant ameremen t	---|-|-----|--------⌫|
cumesioos ea sdol an z etas	--|-|----⌫|-⌫|---⌫--⌫|-|-|
plo ra n z o r aproche	---⌫--⌫-⌫|-⌫|------|
liconfo rz	-|-----⌫-|
gri em ortagrant	---⌫|-⌫--||----|
uiel ir epois	--|-⌫|-⌫----|
desepulturedonefindemisereet	-|--------|---|--|-|-----|-|
mor zdeuiene	---⌫|-|--|-|
uientsiueasnon	----|-----|--|
mis erese n comencestet	---⌫--||-⌫-⌫--------|-|
matefindes mais	---|--|--|---|
et terminedes	-|------|--|
mis er es et	---⌫--⌫-|-|
tote chatiui te mio ze st bien m orir	---|-------⌫-|---⌫|-⌫-|---|-⌫---|
nian t estreque	----⌫|----|--|
aestremalauros a	|----|-------||
lesgardementdesmess	|----------|--|---|
mi se res cuielesmor zestr e	--⌫--⌫--|-|-|--|---⌫|----⌫|
plus aurosqueles	---|----|--|--|
uiuantzles priaspargniza	------|--|--|--------||
dolo re tamonpl or	----⌫|-⌫||--|--⌫-|
pardene zamon anguisedenezm e	-------⌫||--|------|----|-⌫|
pard enez am esdo lors	----⌫---||-⌫-|--⌫---|
ne uoi l es trecom m eut	-|---⌫|--⌫--|---⌫-⌫--|
encontre moi	-------|--|
ensigrant dolors	-|-|----|-----|
iep l agnemabat u ire dep lorm a	-|-⌫-⌫---|-|---⌫-⌫--|---⌫--|-⌫|
m isere et plorl a	-⌫----|-|---|-⌫|
priueepastilence di chaitiuit et	-----|---------|-|---------⌫-|
dolorma mi nistrepl us ors	----||-⌫--⌫-----|--⌫--⌫--|
chosesi echaitis	-----|-⌫|------|
ne poisestre	-|---|----|
confortezkarmas	--------|--|--|
estnianzsofranz et mes plors	--|----|------|-|--|----|
manir enestpl a ieasuagienule	-----⌫||--|--⌫-⌫-|------|---|
finsest aslarmeset	---|--|-|-----|-|
desdo lor snule f ianc enestiade	--|--⌫---⌫|---|-⌫----⌫||--|-|-|
corageni puitiasofrir	-----|-|---|-|-----|
li cora geset	-|----⌫--|-|
uencuz estetcheuz	-----|--|-|----|
parmisere s	--|------⌫|
otuhomp orko difies	|-|--|-⌫-|-|-----|
corage etsigranm e ntes	-----|-|-|-----⌫-⌫-|-|
aflauellizparpensesetconfusenton	---------|--|-----|-|-----|-|--|
digetizpar tanz	------|--|---|
descoragementeteshum iliez en	------------|-|-|---⌫----|-|
co ntrarioseschoses la ssce	--⌫---------|-----|--⌫---|
etboteensusdetoitristac eet	-|---|----|-|--|-------⌫|-|
s oies dolanz	-⌫---|-----|
ne s o uiecesnene	-|-⌫-⌫-----|-|-|
dener leu a	----|--||
dolanteidebote etesc lou	-------|-----|-|---⌫--|
dolor deto n	----|-|--⌫|
corageretie nla force	-----|-----⌫|-|----|
dedolor neperseuerer	-|----|-|---------|
d olorue ncet sormonte	-⌫---|--⌫-|-|-------|
delcorageetd e	--|-----|-|-⌫|
la panse enquelm anirepar que l co uent	-|----|-|---|-⌫----|--|---⌫|--⌫---|
commentconfate ment	------|-------⌫---|
p a r quel	-⌫-⌫|---|
raisonparquelart par quelc on s e lpar	-----|--|---|--|--|---|-⌫--⌫-⌫-⌫|--|
quel engen g	---|-----⌫|
partote o ure etforc e eta rtet	--|---|-⌫--|-|----⌫|-|-⌫-|-|
etco n sel eten gengetuertuit	-|--⌫-⌫--|-|--⌫---|-|------|
et partot enchacement pre nt lute	-|--|--|----------|---⌫-|---|
enco ntrel e stemperaus	----⌫---|-⌫-⌫|--------|
dolante zsofranment etpareugalco rage	-------⌫|---------|-|--|----|--⌫---|
sof r etotesc ontr ares	---⌫-⌫|----|-⌫----⌫---|
cho s esnene nt e ndrea ta sol e au enture	---⌫-⌫-|--|-⌫--⌫-⌫---||-|---⌫|--⌫-----|
n e doi espaspens er	-⌫|---⌫-|--|----⌫-|
ata s olea due rsitet ned e	|-|-⌫--|-⌫---⌫-----|-|-⌫|
mise reesgardeles	----⌫-|------|--|
semblanzau enturesdes	-------|--⌫------|--|
ent entl esmi seresdiceous	---⌫--|-⌫-|--⌫----||-----|
aquesauien tan cu ne chose	|---|-----⌫|--⌫--⌫-|----|
a gr ementquant tu rimembres	-⌫--⌫----|----|-|--------|
lesmausastren ge splu s	--|---|------⌫--⌫|---⌫|
porteslestienskar	-----|--|----|--|
exanpl edes atres	------⌫|--|----|
talege nt la	|-----⌫-|-|
confortez plusligierement parastrenges	--------|---|----------|--|--------|
maspor ko encuses	--|--|-|------|
tutestre s	-|--|---⌫|
cruir s iug emenz et	-----⌫|---⌫----|-|
plore stantp o rlaca use	-----⌫|---|-⌫-⌫|-|--⌫--|
de to n perilteu torment ne sunt	-|--⌫|----|--|------|-|---|
nouel exanp l e	----|-----⌫-⌫|
detamiserequan th omme	-|-|-----|----⌫|-⌫---|
un ts of ert	--⌫|-⌫--⌫--|
tesau en turesette s peril z	--|--⌫--⌫----|-|--⌫|-----⌫|
ceuquesofraule	--|--|-------|
chosee stauenuza	----|-⌫-|-----||
m en z fai ta sofrir	-⌫--⌫|---⌫||-----|
aunsofra nmentlapoene	|-|-----⌫----|-|----|
de cesteuie	-|----|--|
estbrie setcil	--|----⌫|-|--|
quiesttormen tezestmortes	--|--|------⌫--|--|-----|
latribulatio ns de cest	-|----------⌫-|-|---|
te nsatfi ntotesles chose sdel	--⌫-|-|--⌫|----|--|-----⌫|--|
secle tre spassen t	----|---⌫-------⌫|
etnemainent	-|-|------|
mi es tot q ui	--⌫-|--|-⌫-|
uient ne puitester	----|-|---|----|
nule chosenestlongement en la	---|----||--|--------|-|-|
uiedel ummenes ilonge	--|-||---|-|-⌫|----|
fineiscetenbriftenstote	--------|-|---|---|---|
riensso zcela tsafin	----|--⌫|--|-⌫|-|--|
nepuitest rek i s oies	-|---|---⌫-|-⌫|-⌫---|
nes o fresang uisses	-|-⌫-⌫---|---⌫-----|
dolors ettristaces unt	-----|-|-------|-⌫--|
ch osesatoz	--⌫---||--|
nossof runs	--|---⌫---|
toiten cest	---|-|---|
se cl epar senblan t	--⌫--⌫|--|-------⌫|
auenturenunsne st	-------|---||-⌫-|
p armingnalement	-⌫-------------|
senspartiedemalet qu ese	---|-----|-|--|-|--⌫|-|
dol leten cest secle	---⌫--|-|---|----|
en cest eui equi ne	-|----⌫|--⌫|--|-|
sospir e totes ch os es	------⌫|----|--⌫--⌫-|
suntplenes	---|-----|
entremasle atoy etsoies	-------|-||--|-|----|
parcinirsetuenk ettoi rai sons	--------|-|----⌫-|--|---⌫---|
a tempretocor agee t	-⌫-----|-|---⌫--|-⌫|
confa rme ta nime	-----⌫--||-⌫---|
pa r ra isonliquele	--⌫|--⌫---|-|----|
r apre ssela force	-⌫----⌫--|-|----|
desigra ntplo rn	-|-|---⌫-|---⌫||
aiesdote d enul	---|---|-⌫|--|
perilparconfa r mé corage	----|--|-----⌫-⌫--|-----|
parmentestribu lationsnos co ui ent	--|-----|-----⌫------|--|--⌫--⌫--|
entrer o reg nedeules	-----||---⌫-|--|--|
p as sionsd ecestten sne	-⌫--⌫----|-⌫|---|---⌫|-|
q uiest aaueni r ceuqui	-⌫-|--||-----⌫|--|--|
est temperascho se	--|-------|---⌫-|
etligire ensi	-|-----|---|
cumlestri bul ations	--|--|---⌫---⌫-----|
parmi ngnableestsor	-----⌫------|--|--|
es tlihaizfazdeglore	--⌫|-|---|--|-|----|
litribulationsetles apr essuresde	-|-----------|-|--|---⌫------|-|
c esteuie suntutles	-⌫---|--|---|----|
limauistizdesmausne t	-|-------|--|---|-||
maist enstrut l	---||------||
auersite zdesmau aznete	--------⌫|--|---⌫-|-|-|
deietetpas ma st enliuet	------|--|--⌫||------|
lihumenete mptacions t a rguetnet	-|-----|--⌫--------||-⌫----|-||
ocitmies tantcum nos	---|---|---|--|--|
sun storm ente ́ten cest	---⌫|----⌫----⌫-|-|---|
se cle tant	--⌫--|---|
sun s confarméo u	---⌫|--------|-⌫|
parmignauletantcum	----------|---|--|
ploronstan teni oirons	------|---⌫|---⌫-----|
est a auenir	--||-----|
suns triu l e ipar	---|----⌫-⌫-⌫|--|
atrouésunsespurgié el	------|---|--------|-|
deusneuret totensis c iceosqu	---|-----|-----|--⌫-⌫|---|-|
ilaperellet al a	-|--------||-⌫|
parming nan ts alutli or sest	-------⌫---⌫|-⌫---|-|--⌫|--|
proueze nl a fornasequi lsoi t	-----|-⌫|-⌫|------|-|-⌫|---⌫|
senzor d ez e ttuesesp urgizp arla	---|--⌫-⌫-|-⌫|-|-|---⌫----|-⌫-|-|
fornas edetriblationki	------⌫|-|---------|-|
purs apperesd eper secut i onses	---|------|-⌫|---⌫-----⌫-⌫--|-|
fauergizk idetot e or dede	-------|-⌫|-|---⌫|--⌫-|-|
pechisoesespurgiz tot que	----|---|-------|--|--|
sofresestesp rouemen z	-----|--|---⌫-------⌫|
porce ne murmur er pasnen aphetes	--|-|-|------⌫-|--|--|------|
p orqoisofre	-⌫-|--|----|
iemasmaisdipechi aiet	-|--|---|-|----|-|-|
recu sicumdigneses toe	---|-|--|-----|--⌫--|
ancor ne senie pasegal	----|-|--|-|--|---|
ueniance de	-------|-|
monp ec himo insmec ono i s	--|-⌫--⌫-|--⌫--|-|-⌫---⌫-⌫|
feruquei enedotases eluncla	---|--|-⌫|-|-----|-⌫----|-|
manir edelcri mineestmenres	-----⌫|--|---⌫---|--|-----|
liwardonsde ueniance seluncla	-|------|-|-------|-----|-|
disertedespec hiz	------|--|---⌫--|
lacausedes poines li	-|----|--|-----|-|
torm e ntnesun t pa s	----⌫-⌫-|-|---⌫|--⌫|
cumli pe chikarplu s tariede u	--|-|--⌫--|--|---⌫|----|--⌫|
quim urmureten s ba tures	--|-⌫------|--⌫|--⌫----|
plu sporuochelafo rsennerie dedeu	---⌫|-------|-|--⌫--------|-|--|
etamo n cel elire de	-|---⌫-⌫---⌫||--|-|
lin dignatio n dammedeu	|--⌫--------⌫|-------|
m aisqui les	-⌫--|--|--|
adu ersetez su stientso franment	---⌫------|--⌫-----|--⌫-------|
apasenteplustost	-------|---|---|
uuesestreespurgi zaccuse	---|----|-------⌫|-----|
poeneetloelai us tiedeu	----|-|--|-|-⌫--⌫--|--|
a espurge menzteprofetet	|-------⌫---|-|-------|
sofresatornesa la	-----|------||-|
ius ticedeu	---⌫---|--|
et por tad enee	-|--|-|-⌫---|
miserehum blesaueresglorifiit	-----|---⌫---|-----|--------|
deu kardeuste chastoit	--|--|---|-|-------|
ett argueparflael	-||----|--|----|
cha stiem e nt etqu i esparnant	---⌫-----⌫-⌫-|-|--⌫|--------|
r a pe leuet asof irant huche qui	-⌫-⌫--⌫----||-|-⌫----|----|--|
tureperesp ensehom	-|------|-⌫---|--|
t ozl estormenz domundeet les	-⌫-|-⌫-|------|-|----|-|--|
d osec le etles	-⌫|---⌫-|-|--|
dolors des	-----|--|
torme n z les aspritezdes dolors et	-----⌫-⌫|--|-------|--|-----|-|
matenlesgartdenfer	--|-||-----||----|
ligirt otqu e t usofres	----|-⌫-|--⌫|-⌫|-----|
si tucrien s dote	-|-|-----⌫|---|
icalespoenes	-----|-----|
kars i cazs unt	--|-⌫|--|-⌫--|
temperauscale sunt	--------|---|---|
sen fin encazsen uu ntli	--|--|-|--||-|--⌫-|-|
tormantmo ranteten	------|--⌫---|-|-|
so sen tretparmignaule dolor ssitu	--⌫---⌫---|----------|-----⌫|-|-|
es co nue rtizam ademenz	-|--⌫---⌫---|--⌫------|
estcuque tuso fresk arli	--|-|--|-|--⌫---|-⌫-|-|
flaelaso uent loconuerti	----|---⌫---|-|-------|
de spechizet	--⌫|-----|-|
liporfete nta	-|-------⌫-||
purga tionle s e nchacant plai es	-----⌫---|--⌫|-⌫-------|----⌫-|
kar qui ciestchastiezlaest	--|--|-|--|-------|-|--|
deliur ezet	------⌫-|-|
quin e sunt	--|-⌫|---|
amende ́desozloflael sunt	------⌫|----|-|----|---|
damn ée nc estetemperalp oene	----⌫-|-⌫|-⌫---|-------|-⌫---|
et laparmingnant	-|-|----------|
iugépr um irs enc estsecleet	----|--⌫--⌫--|-|-⌫--|----|-|
