sech il qui	-|--⌫-|--|
ettantestoitcourtois	-|---|-----|-------|
aperce ustleure	------⌫--||---|
enu erslepulebien	---⌫--|-|---|---|
ent rela gentuenoi t	---⌫-|-|---|-----⌫|
festeetleeche demenoit	----|-|-----|-------|
estre s auoita chascunfue r	----|-⌫----||------|---⌫|
carillauoit dede n ssoncoe ur	--|-||----|----⌫-⌫|--|---⌫-|
p la ntésiqu	-⌫--⌫---|-|-|
iluiuoitsa ns gille	-|-----|--⌫-|----|
selo ncle z di s	----⌫-|--⌫|--⌫|
deleuuangile	-||--------|
on cuidoit qui lama stlemonde	-|------|-|-⌫|---⌫-|-|----|
maislec oeur	---|-|-⌫---|
auoitnet etmonde	----|--|-|----|
trop parestoitdeneteui e	---|--|-----|-|---|--⌫|
dyabl esenotgran tenuie	-----⌫-|-|-|----⌫|----|
p oursainte uiequilmenoit	-⌫--|-----|--|-|-|-----|
nuit etiour ent ou r	---|-|---|---⌫--⌫|
il lec u idoit fairepe c hier	-|-|-⌫-⌫----|----|--⌫-⌫---|
en g rantsemetdel treb uchier	--⌫-⌫---|-|--|--|----⌫-----|
enmaintemanierel	-|-----|------||
mai z sez engiensr iens neliuaut	---⌫|--|------|-⌫---|-|-|---|
foiz cr e ance ertsez	---|--⌫-⌫---|--|--|
quilnepo oit	-|-|-|--⌫--|
es tre uencus	--⌫--|-----|
d i ablesenotgrantengaigne	-⌫-⌫----|-|-|----|-------|
tout aut ressi comme larai gne	---|---⌫----|----||----⌫--|
metdeuantlemou ske	--|-----|-|---⌫--|
len penaet	|--⌫---|-|
mistmal auroy	---|--|-|--|
par unetro pfauss eque rele	--|--|---⌫|-----⌫|---⌫---|
li rois ot unefille	-|---|-|--|----|
li pulezloeet prise	-|----|--|-|----|
m oulte r tcourtoiseetbienaprise	-⌫---|-⌫-⌫|--------|-|---|-----|
sese urezset	--|-⌫---|--|
etsonsa utier	-|--|--⌫----|
uolentierzaloi t au moustier	---------|----⌫|-|-------|
souuent aucapel ai n	------|-|-----⌫--⌫|
kimaintbelm otli enseignoit	-|----|--|-⌫-|-|---------|
nientendoitnulefolie	||--------|---|----|
diablesla siass alie	------|||-|---⌫---|
et pointed un aguquarel	-|-----||-|--|-----|
amerlifistu ndam oisel	---|-|---|-⌫|---⌫----|
amaladamoisele	--|-|--------|
en aus yyes pr ist l estincele	-|--|-|--⌫--⌫--||--------|
lidansiaus ta nt	-|-------|--⌫-|
siacoi nta	||----⌫--|
tantuint aliqui	---|---||-|-||
lengroissa	|--------|
li diable zapourcacié	-|------⌫||---------|
l ef ruit k	-⌫|-⌫---||
enli asemenchié	-|-||---------|
nel potpascouurirlonc termine	-||--|--|------|---|------|
moul t sed ementela	----⌫|-|-⌫-----|-|
ca rbienscauoit qu ele ert dechute	--⌫|---|------|-|--|--|------|
quantd iablezlaaperchute	----|-⌫-----|||--------|
aproism i ezs	-------⌫-⌫-||
e st iou ste lorel l e	-⌫-|---⌫--||----⌫-⌫|
defo lenie licons el le	-|--⌫----|-|----⌫--⌫-|
dam oisel equeuaut	---⌫-----⌫|--|---|
uopl ainte	-|--⌫----|
tout entre sait	---|-----⌫---|
estezenchainte	----|--------|
quantli roislesa ra uospe re	----|-|---|-|--⌫-|--|--⌫-|
et larouine	-|-|-----|
uostremere	-----|---|
leu s en serezmise agehi ne	---⌫|-|----|---||----⌫-|
o rsoiez tantcourtoiseetfine	-⌫|----|---|--------|-|---|
qu euo stre	--⌫|--⌫---|
amien descoupez	--|-|--------|
miusestk autrui enenc o mbrez	---|--||-----|-|---⌫-⌫----|
queuosdrusen	--|--|---|-|
mortelmain	-----|---|
metezle sourlecapelain	----|-|---|-|-------|
d ite z quauezestésadr u e	-⌫---⌫|-|---|----|-|--⌫-⌫|
etuous ensere zbien c reu e	-|---|-|----⌫|---|-⌫---⌫|
un o eufn euouz	-|-⌫--|-⌫|---|
enp eut mieest re	-|-⌫--|--|---⌫-|
seuousfaite z	-|---|-----⌫|
tuerun p rest re	---|-|-⌫----⌫-|
diableztentee	------|-----|
b ienestentalen tee	-⌫--|--|-------⌫--|
delprestremettrea dampnement	--|------|-----||---------|
nene demouralonge ment	-|-|------|-----⌫---|
queperch utesestlarouyne	--|-----⌫--||--|-|-----|
aucontenementde safi l le	-|----------|-|-|--⌫-⌫-|
etaumengierquelef aisoit	-|-|------|-|--|-⌫-----|
entelgu isese contenoit	-|--|--⌫--|-|--------|
cascun iorsanlle q ue d eui e	-----|--|-----|-⌫-|-⌫---⌫|
connutbi entel uie	-----|--⌫-|--|--|
s icommefemmeda u ltr efait	-⌫|----|----||-⌫-⌫---⌫|---|
ent resaitsotke leotmeffait	---⌫-----|--||-⌫-|-|------|
ke lealefachepaleet tainte	|-⌫-||-|----|---|-|-----|
samer eladet an ta tain te	-|---⌫|||-|-⌫--⌫|-⌫----⌫-|
keleseut lamesauenture	|--|---|-|----------|
auroycon tal a co ntenur e	-|--|---⌫-|-⌫|--⌫------⌫|
ki mo ultgran t d olouren demaine	-|--⌫--|----⌫|-⌫----|-|------|
enune cambreosoi l	-|--|-----||--||
niot fo r sla ro ineetlu y	||-|--⌫-⌫|-|--⌫--|-|--⌫|
fi lle faitnous azgra nt	--⌫--|---|---|-|---⌫-|
etl aitreprou ier	-|-⌫--|------⌫--|
qu ienchainte ezensoig nen tage	--⌫|--------|-|-|----⌫---⌫---|
cert ez moul tpa r ena igrantho nte	----⌫-|----⌫|--⌫|-|-⌫|----|--⌫--|
ormeditost et sime	-|-|-|---|-|-|-|
decuituezensihonnie	-|--|-|-|---|-----|
g ehisl e t os tnelc ouremie	-⌫---|-⌫|-⌫--⌫|-||-⌫---|--|
dite zlemoi sa ns demorance	----⌫|-|--|--⌫-|--------|
moultenertpriscruexuengance	----|-|--|---|----|-------|
dece luiquita empraingnie	-|--⌫--|--|||----------|
diablezquilotens eig nie	------|--||-|---⌫---⌫--|
sestacelconseile mba tus	|--||--|------|-⌫---⌫--|
par cu i mains homest abatu s	--|--⌫|----|--|--|-----⌫|
e tmisahonteetaderroy	-⌫|--||----|-||-----|
enplourant esgaiteleroy	-|-------|------|-|--|
quelat enrefache limoulle	--|-|-⌫---|----|-|-----|
azpiezsonper esagen ou lle	-|---|--|---⌫||----⌫--⌫--|
sile z a baisi ezfainte ment	-|--⌫||-----⌫-|------⌫---|
puisli ad itmoult piuement	---|-||-⌫-|----|-------|
merci faitelebiauxd ous	----|---|--|----|-⌫--|
noienttout	-----|---|
t estuetdire	|-----|---|
lenon de chel ui qu iestmeffais	-|--|-|----⌫-|--⌫|--|------|
decu ytu azr echupt lefais	-|--⌫|-|-|-⌫-----|-|---|
q uisi par	-⌫-|-|--|
es torsetuilains	--⌫|--|-|------|
si rezieh ansuoscapelains	--⌫--|---⌫--|--|--------|
quoncuidedesi gr a ntnete	-|-|----|-|-|--⌫-⌫-|---|
matolue ma caaste	||----|-|-----|
au premierle bien	-|------|-|---|
m ensig na	|-----⌫-|
etaudarainm	-|-|-----||
en groi sc a	--⌫----⌫--⌫|
de mal fairee stbienensigniez	-|--|----|-⌫-|---|--------|
qu antleroislotsi s	--⌫--|-|---||-|-||
est signiez	--|------|
iehan zfait ild istua	-----⌫|---|-|-⌫-|-||
o ilbiauxtrez dous sirecertez	-⌫-|----|---|---|---|-----|
lir oizlaroineresgard e	-|-⌫--|-|----|-------⌫|
etquisedonnastdec hou garde	-|--|-|------|-|-⌫--|----|
desisai nt	-|-|---⌫-|
homme comiehan	----|--|----|
ilena rahonte eteshan	-|-|-⌫-|----|-|----|
parla c o uron ne que	--|-|-⌫-⌫----⌫-|--|
arriuez est a	------|--||
mo ul tmalpor t	--⌫--⌫|--|---⌫|
t ro ppar esto r ciz blasme zlaiz	-⌫--⌫|--|--|-⌫|--|------⌫|---|
li roiz ma ndaensonpalaiz	-|---|--⌫--|-|--|-----|
sezplushauz	--|---|---|
baronsadroiture	-----||-------|
silourdistlames auenture	-|---|---|-|---⌫-------|
a in c nele uaut plus at arg ier	-⌫--⌫|-|-|---|---|--⌫---⌫--|
homm ezafaitiu gier	----⌫-||---|--⌫---|
lecapelai nqui nel scauoit	-|-------⌫|--|-||------|
e tcouppezel meffai t	-⌫|------|-|------⌫|
mais diablezqui	---|------|--|
etquant le ui rentlibaron	-|----|-|--⌫---|-|----|
ontcommeu n	--|----|-⌫|
k yes tre pri sasezdesroiz	-⌫|--⌫|--⌫---⌫||--|------|
iehaniehan chedistli	----|----|--|---|-|
tacaasteestr edou scie	-|-----|--|-⌫----⌫---|
fi lle engrosie	--⌫--|-------|
taf ausetez	-|-⌫------|
estr esoignose	--|-⌫--------|
laigueco iees tplusperilose	|----|--⌫-|--⌫|---|-------|
qu enest li	--⌫||--|-|
ra deetplu s	--⌫-|-|---⌫|
se n gar de qui le uoit	|-⌫|---⌫-|--|-|---|
lip r iuezlorees tl ipluzmauz	-|-⌫-⌫---|---|--⌫|-⌫|---|---|
cuidoi eettuez fauz	------⌫|-|-|-|---|
t u m asdonné uenin	-⌫||-|-----|----|
pour basme	---|----|
quantiehans otleuilai nb lasme	----|-----|-|-|-----⌫|-⌫----|
sai ne neset que	---⌫-|-|--|--|
p oi prisastensonescondire	-⌫-|------|-|--|--------|
cour ssor luiresonne	----⌫|--|--|------|
liroiseniures a	-|---|-|---|-⌫|
demain menezen lille	-----|----|-||---|
ulimerzbat etliuenshill e	|-|---|--|-|-|---|----⌫|
detadesserte	-|-|-------|
arazledr oit	---|-|--⌫--|
or uouzdirayq ue lz l	-|---|----|-⌫--⌫-||
illees toit	---|--⌫---|
unsrochie rzfud emer encloz	--|------⌫-|-|-⌫|--|-----|
deboz estoittousplainzlic loz	-|--|-----|---|-----|-|-⌫--|
t ro pauoiten ladesertine	-⌫--⌫|----|-|-|--------|
li onsetsauue chine	--⌫--|-|-----⌫----|
wiurezdragonsse rpensuolans	-----|------|--⌫----|-----|
quantertreprisaucunsdolanz	----|--|-----|-----|-----|
quondeuo ita mort trauillier	-|-|----⌫-||---|---------|
la ertmenez	-|--|----|
pouressillier	---|--------|
etlezbest ezledeuouroient	-|--|----⌫-|-|----------|
dolourl alessilloi ent	-----|-⌫||--------⌫--|
entelafaireentel ahan	-|--|-----|-|--|---|
roiz essill ieriehan	---|------⌫--|----|
par ledit deladamoisele	--|-|--|-|-|--------|
asa capelle	|-|------|
siatoutmaint en antha herz	-||---|-----⌫--⌫--|--⌫---|
parchemin et tailléquoierz	--------|-|------|------|
etdesonencre plaincorn et	-|-|--|----|----|----⌫-|
sezpe nezets on quen i uet	--|--⌫--|-|-⌫-|----⌫-⌫--|
tout porter ao luiles ire	---|------⌫||--|-|-⌫--|
ca r aucun	--⌫|----|
bienuau rra es cripre	---|---⌫--|--⌫-----|
enl illedesouzle	-||---|-----|-|
neredoutebestesauuage	-|------|----|------|
apaour ne doubt anche	|----|-|-----⌫----|
comment il	------|-|
aits asoustenanche	--|-⌫|-----------|
caren n os tresignoursefie	--|-|-⌫--⌫--|------|-|--|
qui sezse rianspaznedeffie	--|--|--⌫----|--|-|-----|
ainsesttouz iourz presadeffendre	---|--|---|----|---||--------|
comma ndaaprendre	-----⌫--||------|
pour destruireetpo urdeuourer	---|--------|-|--⌫-|-------|
ne leuaurraplusdemou rer	-|-|-----|---|-----⌫--|
i u ont enezle zp az	|-⌫--|------⌫--⌫-|
sil amainentplu zquele	-||-------|---⌫|--|-|
celui quinertmiemeffaiz	----|--||--|--|------|
la filleau roy fuelpal aiz	-|----|-|--|-|-|---⌫--|
silid istquantleu itue nir	-|-|-⌫--|----|-|-⌫-|--⌫--|
ich ou uouzd oit bi en aduenir	---⌫-|---|-⌫--|--⌫-|------|
danzf au sprestre malu aiz l eci ere	---|-⌫--⌫|------|----⌫--|-⌫---⌫--|
li sainshom aleuélaciere	-|----|--||----|-|----|
entendul a p arole	------|-⌫|-⌫----|
siaresgardé	-||--------|
malefemm e c azd it	---|----⌫||-|-⌫-|
certezlaidement azmesdit	-----|--------|-|-----|
di u zs etmoultbienque ie naycoupez	--⌫-⌫|-⌫-|----|---|--|-||-|-----|
en celpechiedonttum encoupez	-|--|-----|---|-||-------|
moultco mpera c iertondesroy	----|--⌫----|-⌫--|--|-----|
ca riedepriausouurainroy	--⌫|-|----|-|-------|--|
qu ilte r engeta fausse plainte	-|-|-|-⌫---|-|-----|------|
si quedel fruit	-|--|--|----|
e nchaint e	-⌫-------⌫|
anuliourdel iurene	|--|---|---⌫---|-|
des ia dontquemereuoi ez	---⌫|-⌫------|-|-----⌫-|
l iseriant l	-⌫|------||
enmainentatant	--------|----|
parsleuont	---|-|---|
narreste nt d usquezalariue	|-------⌫-|-⌫-----||-|---|
delaidengierc as cuns estriue	-|---------|-⌫--⌫---|------|
aprestétr ouua le	-------|--⌫---|-|
d o ucementie n treet s oef	-⌫-⌫------||-⌫-⌫--|-|-⌫--|
licapel ainsdon tli oe l	-|-----⌫---|---⌫|-|--⌫|
etli s eriantq ui	-|-|-⌫-----|-⌫-|
moultbiensarment	----|---||-----|
pou rlezlion setpour lezou rz	---⌫|--|----⌫|-|---|--|--⌫-|
lemerpasser entadroitcourz	-|--|------⌫--||----|----|
dus quenlillequ	---⌫-|-||---|-|
il uontrequerre	-|---|-------|
le s ainthommemiren ta terre	-|-⌫---|----|-----⌫||----|
pu iss isesont ariereesp aint	--⌫-|-⌫|-|---|-----|---⌫---|
etlicapelains	-|-|--------|
quiremaint	--|------|
s esta laterrea g eno ulliez	|--||-|----|-⌫-⌫---⌫-----|
u nesainte	-⌫-|-----|
orison commenche	-----|--------|
e uraisdieux cui audimenche	|----|----|--|-|-------|
detez manoeuur ez r eposaz	-|--|--------⌫-|-⌫-----|
enparadis a danposaz	-|------|-⌫--|----|
dontpuisfu	---|---|-|
mishorzcom	--|---|--|
pour lefruitquel ideffen diz	---|-|----|--|-⌫|------⌫--|
quoyaerzil lapome	---|---|-|-|---|
queconpréo n ttrestout lihome	--|------|-⌫-⌫|-------|-|---|
quenatureafo rmez	--|-----||--⌫---|
ilmeismeze no t telfaiz	-|------|-⌫|-⌫|--|---|
ken t ra u ail fu	|-|-⌫--⌫-⌫--|-|
ta ntcomfuuiz	--⌫-|--|-|--|
e t puisfuen inferr auis	-⌫|---|-|-|----|-⌫---|
en tenebrez enoscurte	-|-------|-|------|
pourle f ruit	---|-|-⌫---|
de maleurete	-|--------|
honte enot lia meetli co rpz	----|-|-|-|-⌫-|-|-|--⌫--|
e uraizperezmi sericors	|----|----|--⌫-------|
due leusde	---⌫|--|-|
tacreatu re	-|------⌫-|
ki estoiten la u il closure	-|-----|-|-|-⌫-|------|
utoutalo ientfol	|---|---⌫---|--|
enterreen uoiaz unmessage	-|----|--⌫----|-|------|
fu disli salus	-|--|-|----|
q uie stuoie	-⌫-|-⌫-|---|
uieetsaluz	--|-|----|
celeparolecharzdeuint	---|-----|----|-----|
aunoel anaiscement uint	-|---||---------|---|
l i angeles	-⌫|------|
az pasteurz	-|-------|
l e nonch ierent	-⌫|-----⌫-----|
qui fo rmentsen esle echierent	--|--⌫----||-|----⌫--------|
lestoil efu dez roiz ue u e	|------⌫|-|--|---|--⌫-⌫|
cas cun s co nn uten	---⌫---⌫|--⌫--⌫-|-|
lestoi leauo uslez amena	|-----⌫-||--⌫-|--|----|
diuerseo f frand e uous	------|-⌫-⌫-----⌫|---|
cascunsselo n cce	------|----⌫-⌫|-|
qui lo ursamble	--|--⌫-|-----|
e tuouzle z p resistezensamble	-⌫|---|--⌫|-⌫-------|-------|
a ssambl ast ezsire	-⌫------⌫---⌫-|---|
cascuns uintseuzdes onempire	------|---|---|-|-⌫-|-----|
temple fu st ezofferz	-----|--⌫--⌫-|-----|
liiust ezsimeonuosserz	-|----⌫-|-----|--|---|
uousrec huptde ioieaem pliz	---|---⌫---|-|---|---⌫---|
l orsfustse z des i rsacomplis	-⌫--|---|--⌫|---⌫-⌫-|-------|
etlaparole q u	-|-|-----|-⌫|
ilsc a uoit	-|--⌫-⌫---|
quesainsesprisditliauoit	--|----|-----|--|-|----|
a inzquela morzp aor te fache	-⌫-----|-|---|-⌫--|-|----|
uerraztutondi uenla fac he	-----|-|--|--⌫|-|-|---⌫-|
il leuit uoir aso n talent	-|-|--|---||--⌫|-----|
sicom ioucr o itouturaie ment	-|--|--|--⌫-⌫|---|-----⌫---|
kensiauinttouzciz	|---|----|---|--|
si s auuez uouz	-|-⌫----|---|
m a me et monco rpz	|-⌫-|-|--|--⌫--|
et enuo ie zsustanche etuie	-|----⌫--⌫|--------|-|--|
diabl ezmafait parenuie	-----⌫-|||---|--|----|
chestdu el qui st demalens eigniez	----|--⌫-|--|-|-|--|---⌫------|
illieuesu zsisestsigniez	-|----|--⌫|-||--|------|
lorison zf uenlatin dite	|------⌫|-⌫|-|----|---|
porce layen	--|-||-|-|
romanzescri pte	-----|-----⌫--|
qu eli laylep u isent entendre	--⌫|-|--|-|-⌫-⌫----|-------|
leurcuerz etaprendre	---|----|-|-------|
ki l e dira deboin	-|-⌫|---|-|---|
miusen ertatout	---|-|--||---|
lisain shomq uista tortm enez	-|----⌫|--|-⌫-|-||---|-⌫---|
ertde tous biensenl u minez	--|-|---|----|---⌫-⌫----|
en uer slecielr esgardehau t	--⌫---⌫|-|---|-⌫------|---⌫|
hardi emententraelgaut	-----⌫----|----|-|---|
bestezneresoigna	-----|-|-------|
oroiez que diu z	-|---|--|---⌫|
quan t ilu int e n ladesertine	----⌫|-|-⌫--|-⌫|-|--------|
l idragonetla serpentine	-⌫|-----|-|-|---------|
li lionet lez aultr ez	-|---|-|--|-----⌫-|
dont il iot mou ltderube stez	---|-||-|---⌫-|-|----⌫---|
enc ontrelesainthomealoient	---⌫----|-|----|---|------|
sila oren tetenclinoient	-||-⌫----⌫|-|----------|
h umlement co m fuscentoelles	-⌫-------|--⌫|------|-----|
l ezu e rt uzdiu etles merueillez	-⌫-|-⌫-⌫--⌫-|--|-|--|---------|
n eporroit bouce d ome	-⌫|------|----||--|
t ant alapar	-⌫--|--|--|
le b oslisire	-|-⌫-|-|---|
kiluitunar bre	|-|--|-|--⌫--|
et undestor	-|-|-----|
dont liherbe	---|-|----|
estoit drue entor	-----|---|----|
derains de foelleest	-|----|-|-----|--|
bien uestuz	---|-----|
preudomarrestus	------|-------|
et siliplotarema noir	-|-|-|---||----⌫---|
lauaura faire	-|----|----|
sen ma noir	--|--⌫---|
etdelafoelle	-|-|-|-----|
closure ifaitentre ee tporte	------||---|-----⌫|-⌫|----|
q uant che otfaitlidiu amis	-⌫---|--|-|---|-|--|---|
signasoysisest deden s	----|--|-||--|-----⌫|
lauaurraaucu nbie nescripre	-|-----|----⌫|---⌫|-------|
maisilnescetde coypuistuiur e	---|-|-|---|-|--|----|----⌫|
nede quelpartsecourzliuie gne	-|-|---|---|------|-|---⌫--|
a diu seluiplaist	|--|-|--|-----|
ensouuiengn e	-|---------⌫|
par sa grasse pa rsa	--|-|-----|--⌫|-|
lanuitqu ant	-|---|--⌫--|
il uint an uité	-|---|--⌫----|
lisai nshomn e	-|---⌫-|--|-⌫|
l obliapas	|----|--|
age nousu a enezlezpa z	|--⌫---|-⌫|---------⌫|
distcom plie deuenzsa	---|---⌫---|-----|-|
d elauiergepucele	-⌫|-|-----|-----|
etaprezu igiledesmorz	-|----|-⌫----|--|---|
lebo inus uil	-|--⌫-|-||-|
uaurrase il peutmai n tenir	-----|-|-|---|---⌫-⌫----|
ladroiteuo ie	-|-----|--⌫-|
ue ut tenir	--⌫-|----|
se bienaouuréduska	-|---||-----|---||
s ilpeutmieusle f era encore	|-|---|----|-|-⌫--|-----|
d edensl anouu ele ma ison	-⌫----|-⌫|----⌫--|--⌫---|
fut outenui taorison	-|-⌫---|---⌫||-----|
sildor mi ce fu ageno us	|-|---⌫-|-|-||----⌫-|
pi echaqu iln o t esté saous	--⌫---|-|-||-⌫|----|----|
m at inez di st	-⌫--⌫---|--⌫-|
a l aiournee	||-------|
quantclerefu la	----|----|-|-|
adiu moultsa intemen trendi	|--|----|--⌫-------⌫|----|
etprime ettiercheetmidi	-|----|-|------|-|---|
enson cueu r	-|--|----⌫|
fai tueu etp rome sse	---⌫|--|-|-⌫----⌫--|
s armez eust il cantastmess e	|----|---|-|------|----⌫|
ep i tle eteuangile f ist	--⌫-⌫--|-|-------|-⌫--|
aprezundezquaierzeslist	----|-|--|------|-----|
siapres tason escr i toire	-|-----⌫-|--|----⌫-⌫----|
comme nchier u eut unsaintestoire	-----⌫-----|-⌫--|-|----|------|
e lnonde lp o isantroycelestre	-⌫|--|--⌫|-⌫-⌫----|--|-------|
ilne ua urr amieh ui seusestre	-|-|--⌫---⌫|--|-⌫--⌫---|----|
kien huiseuse s amolie	-|-|-------||-----|
penserlifai tmainte	-----|-|---⌫|-----|
sonpa rkemin s apenetail le	--|--⌫-----|-⌫|---|----⌫-|
puisentr e	---|----⌫|
enlahaute b ataille	-|-|----|-⌫------|
dontdiablez a g ran tenuie	---|------||-⌫---⌫|----|
i lco mmencheunesainteuie	-⌫|--⌫------|--|-----|--|
uot mai ntebe leauenture	|-|---⌫--|--⌫-|-------|
formentli plaisoitl escri pture	------|-|-------||-----⌫----|
sonfa inoubliepoursaioie	--|--⌫-|-----|---|-|---|
m aizau diablemoultanoie	-⌫--|-|-----|----|----|
bi ensotselauie	--⌫-|--|-|-|--|
est escripte	--|-------|
uiloretant	|-|--|---|
quesouuente z foislelira	--|--------⌫|---|-|---|
a presc esti aultre escr ipr a	-⌫---|-⌫---|-----|----⌫---⌫|
de uantluy es tuenuserrant	--⌫---|--|--⌫|----|-----|
seliadittoute n	-|-||--|---|-⌫|
iou t e cuida iauoiru encu	--|-⌫|-----⌫|----|-⌫---|
prisle hau t escu	---|-|---⌫|---|
dont bienesen uer z moicouuerz	---|---|-|--⌫---⌫|--|------|
sonc orn eta	--|-⌫---⌫-||
lifel haherz	-|--|-----|
toutlencr een	---||----⌫|-|
h a espandu	-⌫|------|
hom uausistestremo rz	--|------|----|--⌫-|
quan til uitson enc reespandu	----⌫|-|--|--|---⌫-|------|
oraii outoutperdu	-|-|-⌫-|---|----|
puisquemez	------|--|
e ncresgist pa rterre	-⌫----|---|--⌫|----|
hal asqui ma fa itceste	-|-⌫-|--|||--⌫-|----|
ma lecoseaence st c ontour	--⌫-|---||-|--⌫-|-⌫-----|
li sains homgardetoutentour	-|----|--|----|---|-----|
lane miu itpardeuan t luy	|---⌫-|-⌫-|--|-----⌫|--|
i oiea desonan u y	-⌫--||-|--|--⌫-⌫|
et fa itl iechiere	-|--⌫-|-⌫-|-----|
ah idistilmal ua izlec iere	--⌫|---|-|---⌫--⌫-|---⌫---|
par to i est	--|--⌫|--|
abatusmezencrez	-----|--|-----|
cu idez t udoncq ue tu me	--⌫---|-⌫|---|-⌫-|-|-|
ol uoirabatus	-|---|-----|
or medide q u oy	-|-|-|-|-⌫-⌫-|
touttonencreaspe rduau	---|--|----|-|--⌫--|-|
orseronth uiseusez t ez	-|-----|-⌫-------|-⌫-|
kisisepenoie nt douurer	-|-|-|------⌫-||-----|
or nara zenc r e	-||---⌫|---⌫-⌫|
uretrouuer	|--------|
toutas per duu eu etprome sse	---|-|---⌫-|-⌫-|-|-----⌫--|
cariamai s ne	--|-----⌫|-|
c an ter az mes s e	-⌫--⌫---⌫-|---⌫-⌫|
etdenoie ntuiuerastu	-|-|----⌫-|------|-|
ou iln ane	-|-|||-|
pai nne ferin e	---⌫|-|-----⌫|
mais our setau ltres auuechine	---|---⌫|-|--⌫---|-⌫--------|
dont tezcorpz esten grant	---|--|----|--|-|----|
parmoyestumiseness i l	--|--|-|-|--|-|---⌫-⌫|
cartropcointez est resa uloiez	--|---|------|---⌫-|--⌫-----|
semonconseil croireuoloiez	-|--|------|-----|------|
iout eracor deroie auroy	--|-⌫|-----⌫-----|-|--|
quantli sainsho motl edesr o y	----|-|----|--⌫|-|-⌫|----⌫-⌫|
lieuesamain s our luyfi stsi gne	----|-|---|-⌫--|--|--⌫-|--⌫--|
dela c r oisquita nt	-|-|-⌫-⌫--|--|--⌫-|
parest digne	--|--|----|
k anemis aproc ierlose	|-----|-----⌫--||--|
l esatanazmaldist et c ose	-⌫|------|------|-|-⌫--|
kimoultlafaitelcorp zdolent	-|----|||---|-|----⌫|-----|
puisliadit	---|-||--|
