ainzkelamalege nt dep erse	-----|-|---|--⌫-|-|-⌫---|
celuisda n zkene lleis sassent	--|-----⌫-⌫|-|-||----⌫------|
queil euesque	--|-|------|
departdeuc u mlenfeire	-|---|--|-⌫-⌫|--|----|
tu ite n sem bleg rantioie eurent	--⌫-|-⌫-⌫---⌫--|-⌫---|---|-----|
letre sde leuesquere ceu rent	-----⌫|-||------|--⌫---⌫---|
leu esqueueni r	|--⌫----|----⌫|
comandemenz oir	----------|--|
t heofl ec ure naueit	-⌫-----⌫|-⌫--||----|
r efusatle	-⌫-----|-|
quanqu il poeit	-----|-|----|
purluignal	--------||
eire a sun po eir	---||--|--⌫--|
re quistlagentmat ines e ir	--⌫----|-|---|---⌫-||-⌫-⌫-|
que euesque	--|------|
nelf eissentm ie	-||-⌫------|-⌫-|
ase zoutt utten sde	---⌫|--|-⌫-|---⌫|-|
a sezlidegre	-⌫--|-|-|--|
tantc um uesq uist su n uisdann e	---|-⌫-|----⌫---|--⌫|-------⌫|
kedi gnenesteit	-|--⌫--||-----|
honuratelen dr eit	----||--|--⌫--⌫--|
mais l abone gentk ilame re nt	---|-⌫|---|---|-⌫||---⌫--⌫-|
almestreeu esquel a m enerent	-|-----|--⌫----||-⌫-⌫------|
euesqueslereceut	-------|-|-----|
agranth onursicumild ut	|----|-⌫---|-|--|-|-⌫-|
theoflesemistag enui lz	------|-|---||-⌫----⌫-|
alpauementplurad e s	-|-------|----|-⌫-⌫|
eleu esquepa r les	||--⌫----|--⌫|--|
piezpri st	---|---⌫-|
deuesquien outcureceodist	|-------||--|---|--|---|
edistk il outfor mentpechie ́	|---||-|--|---⌫---|------⌫|
n er tdigned	|--⌫|----||
curen au eitde	---||--⌫--|-|
t el honur	-⌫-|----|
de cue r se recon uitpeche ur	-|---⌫|-|-----⌫--|-----⌫-|
cumegeuaueitl u ngem ent	---|--|----|-⌫-⌫----⌫--|
as p ie z leu esq ue al	-|-⌫--⌫||--⌫---⌫-|-|
lieuesqu es li	-|------⌫-|-|
fi st celgrace	--⌫-|--|----|
k e tre isior z l i	-⌫|---⌫-|---⌫|-⌫|
duna despace	---||-----|
de c eo fairedeceoenprendre	-|-⌫-|----|-|--|--------|
ueni st raisunren dre	----⌫-|-----|---⌫--|
apre sletierziorue irement	----⌫|-|----|--|--⌫------|
t intli euesquesparl e ment	-⌫--|-|-------|----⌫-⌫---|
d istath eofleoduoizben igne	-⌫--||--⌫----|-|---|---⌫---|
quedeleuesquieesteit	--|-||-------|-----|
pur ceoqual poepleerta plai sir	--|--|-|-|-----|--||----⌫--|
des uolt sun u oleiroir	--|---|--|-⌫----|--|
mai sth eof le de tut entut	---⌫|--⌫---⌫-|-|--|-|--|
r efu sat leuesqui e de	-⌫---⌫--||-------⌫|-|
e distbienque nesteitbenigne	|---|---|--||-----|------|
de siege nedehonursi	-|----|-|-|----|-|
quanteues quesentend i	----|----⌫---|------⌫|
ke rienne purnulpri	-|---|-|--|--|--|
laissa le e taut re sacra	-----|-|-⌫|---⌫-|----|
elliukecist tantref usa	-|--|-|---|---|---⌫--|
epuiskecistesteit sacré	|-----|---|-----|-----|
re uint a sa	--⌫---||-|
propreci te	-----|--⌫-|
e f ist sei conuis trea se ignu r	|-⌫--|--|------⌫--||--⌫----⌫|
must r a ses leiscumdeitpastur	----⌫-⌫|--|---|--|---|-----|
icoqu il aparuint	--|-|-|-------|
es tabl iestint	--⌫----⌫--|---|
uindrentsi clercsi	-------|-|----|-|
encuserent	---------|
th eo fle aleuesq ue m ellere nt	--⌫--⌫--|||-----⌫-|-⌫------⌫-|
erequistrent quelostast	|----------|--||-----|
et altreensu nli uorde nast	-|----|-|--⌫|--⌫|----⌫---|
lieuesqu esl e fistdegre	-|------⌫-|-⌫|---|-|--|
a ltremist en celuisdamn e	-⌫---|---|-|--|-------⌫|
theofleod g rantdeuociun	------|-|-⌫---|-------|
mi stpuisensapropremaisu n	--⌫-|---|-|-|-----|-----⌫|
maisdiablesli felchai tifs	---|------|-|--|----⌫---|
liculuerzhumainsenemis	-|------|------|-----|
kitantestfel etenu i us	|----|--|--|-|---⌫-⌫-|
u itcestuitant	-⌫-|-----|---|
pesa de sabu nte	---|-|-|--⌫--|
e nmal enui e	-⌫|--|----⌫|
elqueorlimistgrant felunie	-|----|-|---|----|------|
desunuisda mneeutenu ie	-|--|-----⌫--|--|---⌫-|
emistl e en	|---|-⌫|-|
sifait errur	-|---|----|
kemilz am as t m un dainhonur	-|---|--⌫--⌫|-⌫--⌫---|----|
mun dainegloireemaluestie	---⌫----|-----||--------|
kel adiuine amist i e	-|-⌫|-----|-----⌫-⌫|
pl usde sir out	--⌫-|--⌫---⌫--|
honurmundaine	----|-------|
ke deun ela i oiesouraine	-|--|-⌫|-|-⌫--|-------|
he lasmu testmalfefel un	-|--|--⌫|--|----|---⌫-|
quelpitiedesi saintbar u n	---|----|-|-|----|---⌫-⌫|
kienu ers deuout ferm amur	-|---⌫--|--|--|---|---|
h e ula s q uel pi tiequ el	-⌫-⌫|--⌫|-⌫--|--⌫--|--⌫-|
quediableladsicunquis	--|-----||-|-|------|
que ilnetientdedeunulpris	--|-|-|----|-|--|--|---|
enicelec ite	-|----|-⌫--|
mistun f o rce né	---|-|-⌫-⌫---⌫--|
un deuene mi	-|--|---⌫-|
un chaitif	-|------|
un felunun	-|----|-|
en diablee ste ituenimus	-|-----|-⌫---⌫-|------|
art al d iableengign us	--|-|-⌫----|------⌫-|
multcrestiens aueitcunquis	---|--------|----|------|
eparsun engin a mal	|--|--|----||--|
theofle le solt e nginnus	------|-|---|-⌫------|
uintaluicumfol	---||--|--|--|
une nuitpursundesirer	--|---|--|--|------|
epr ista saportecrier	|--⌫--||-|----|----|
hebreuslefistentrer	------|-|---|-----|
cumenca li	------|-|
a deman der	|-----⌫--|
ditesbarun	----|----|
la ueritee lach eisun	-|-----|||---⌫----|
pu rqueiuus s eiez	--⌫|---|--|-⌫---|
b ienueiqu egrantb os ui gnauez	-⌫--|--|--⌫|----|-⌫--⌫--⌫-|---|
eth eoflechietases	|--⌫----|----||--|
ditlis iresire meaidiez	--|-|-⌫--|---|-|-----|
kar mise uesquesme	--|--|-⌫------|-|
aillursne sai	------|-|--|
que r ecumfort	---⌫-⌫|------|
de mun belmes tie r	-|--|--|---⌫---⌫|
detutesparz sui enuile ́	-|----|---|--|------⌫|
munuisd amnem adt oleit	--|----⌫---||-|-⌫----|
cherneme tient nesai quedeit	---|-|-|----|-|--|--|---|
acheisunsl i mustradasez	--------|-⌫|------|---|
du nc ditlihebreus	--⌫-|--|-|------|
theoflemutescurius	------|--|-|-----|
detutesparzetanguissus	-|----|---|-|--------|
mai snetepui sorerien faire	---⌫|-|-|---⌫|--|---|----|
enue rst unosteltientuneire	----⌫-|-⌫-|----|---|--|---|
anuitke uendra uiena mei	----|-|-----|---||--|
bienteconseilleraiceocrei	---|-|-----------|--|---|
aceste orecum dituusai	|----|--|--|--|--|-|
et a m unseignur temerra i	-||-⌫-|------|-|-----⌫|
uel s fair esunuolei r	---⌫|----⌫|--|-----⌫|
metraiengrant	-----|-|----|
tosttem etrai	---|-|-⌫----|
enhal td ebas	-|---⌫|-⌫|--|
t onbonfrasdequ a n que	-⌫-|--|---|-|--⌫-⌫-⌫--|
equanttheoflelentendi	|----|------||------|
alas en e mult	--||-||---|
laplus preceinenuitkeu int	-|---|-------|---|-|-⌫--|
asunhebreus un chemin tint	|--|-----|-⌫-|-----|---|
l i felhebreuli for c ené	-⌫|--|-----|-|---⌫-⌫---|
lemena tforsdel a	-|----⌫|---|-|-⌫|
el theatr ekiloeces t eit	-|------⌫||----|--⌫-⌫--|
edist liq uefairedeueit	|---|-|-⌫-|----|-----|
dist alu im ara ués pou r	---||--⌫|-⌫-|-⌫---|---⌫|
di c e okeuerrascientur	|-⌫-⌫-⌫|-|-----|-|----|
ianet estot dute runa s	-|-||----|----⌫|-|-⌫|
de soe nketuiciorras	-|---⌫|-|-|--|----|
bien te defend	---|-|-----|
kenete seignes	-|-|-|------|
nekeiad euclamerne deignes	-|-|-|-⌫-|-----|-|------|
theofle dist ke	------|---|-|
maissauolentesiwereit	---|-|------|-------|
eli hebreul imustreen aire	|-|-----|-⌫|-----|-|---|
beals mantelezp urfals atrair e	----|-------|-⌫-|---|------⌫|
od mult chandelabrescrianz	-|---|-----------|-----|
l urprinc ese anz	-⌫-|-----⌫|--⌫--|
coerentdiablefelun	-|----|-----|----|
limestre s	-|------⌫|
es icumpaignun	|-⌫|---------|
l ihebreusl i culuertg urfains	-⌫|------|-⌫|------|-⌫------|
ti ntdunc th eofle par	--⌫-|---|--⌫----|--|
menatlealcouentenferna l	----|-|-|-----|-------⌫|
co ncilleprincipal	--⌫-----|--------|
diab lealhebreud ist	----⌫-|-|-----|-⌫--|
di aqueiuienta mei icist	-||---|----||--|----|
eli hebreurespunt	|-|-----|------|
siseuesques	--|-------|
mul test enuers	---⌫|--|-----|
licurucié	-|-------|
purceo ses tauosap rocié	--|--||--⌫||--|--⌫-----|
uostregrant ai e requiert	-----|----|--⌫|-------|
ditl i diableco m ent iert	--|-⌫|-----|--⌫-⌫--|---|
quelaie pui sf aire a gen t	---|--|---⌫|-⌫---||---⌫|
ki serue nt lur deulealment	-|-----⌫-|--|--|-------|
nequedents	--------||
uers m eitraire	---|-⌫-|-----|
e tutem auolente faire	|---|-⌫|------|----|
e stre mis hoem emisserianz	-⌫---|--|---||--|------|
entremesc heu aliers u aillan z	----|--|-⌫---⌫-----|-⌫------⌫|
kedet res t uzaurameistrie	-|-|-⌫---⌫-⌫-|---|-------|
tuitsuncom andement	---|--|---⌫-------|
esis e uesquesensement	|--|-⌫------|-------|
lihebreusu erstheofle turne	-|------|-⌫--|------|----|
dit lide s neseies	--|-|--⌫|-|----|
dunas tuce sts ucur soi	--|-|-|--⌫-|-⌫----⌫|-|
theofledit suemerc i	------|--|--|----⌫|
tutsunco m andeme nt	--|--|--⌫-⌫------⌫-|
purceo que	--|--|--|
alege ment	-----⌫---|
sicomencaduncab aiser	-|------|---||-⌫----|
lespiezdicelp r inceau ersier	--|---||---|-⌫-⌫---|--⌫-----|
re q uistsaaiee	--⌫-⌫---|-|--||
sun cumfort	--|------|
cuntre cels	-----|---|
quilifir en t tort	--|-|---⌫--⌫|---|
duncditli diable alhebreu	---|--|-|-----|-|-----|
re n i tmarieesundeu	--⌫-⌫-⌫|----||--|--|
purceok enuerseus aihau r	--|--||-----|--|-|---⌫|
neuoilkecistseitmaisde	-|---|-|---|---|---|-|
ren itmariee	---⌫-|----||
su ncherf iz	--⌫|---|-⌫-|
parcumfer meisunparescriz	--|------⌫-----|--|-----|
a i tengranthau r	-⌫-⌫|-|----|---⌫|
idunk esaurail m amur	-----⌫-|---|-||---|
puisqu anqu eildema ndera	---|--⌫----⌫|-|----⌫----|
a son plaisi rdemei	|--|------⌫|-|--|
dunc entrasathanas	---|----|-------|
dedenzth eoflele	-----|--⌫----|-|
e qu antil erten lui entré	|--⌫--|-|--|-|--|-----|
dittheoflel i ma le uré	--|------|-⌫|--⌫--⌫---|
i oreni deule	-⌫|---|--|-|
sa mere etute lur aie	-|---||---|--|--|
e puisuncyrograf eescri st	|---|-|--------⌫|-----⌫-|
c umlenf aiten	-⌫-|--|-⌫--|-|
cirele mist	---|-|---|
de s un an ellenseela	-|-⌫-|--⌫-||------|
e aldiablelebail la	|-|-----|-|----⌫-|
s i se n par ticummalbricun	-⌫||-⌫|---⌫-|--|--|-----|
saperdic ium	-|------⌫--|
si seu esqu esdelacite	--⌫|--⌫----⌫-|-|-|---|
par d euespeirenbi entu r né	--|-⌫-|-----|-|--⌫-|--⌫-⌫--|
lende mai nenu eapurli	|----⌫---⌫|---⌫-|--|-|
g rant honur	-⌫---|----|
sonm esti eresonuisd am ne	--|-⌫----⌫-||--|----⌫--⌫-|
de posa laltrea grant uilte	--⌫---||----||----|----|
oiantlescle rs	----|--|---⌫-|
li redonamultbonement	-|-----|---|-------|
lauct orit edesunmestie r	|----⌫----⌫|-|--|------⌫|
etutlepopleaiustisier	|--|-|----||--------|
comandaliasunpla isi r	------|-||--|---⌫---⌫|
iceleiglisea	----|-----||
de tuzle s apartenemenz	-|--|--⌫|-----------|
fei st tuzsesco mandemen z	---⌫-|--|--|--⌫--------⌫|
dublepoe iredu blehonur	----|---⌫-||--⌫--|----|
keu nkesainzeusta nul iur	-|-⌫---|---|---||--|--|
outoretheofl e degre	--|--|------⌫|-|--|
desun euesqueed el	-|--|------||-⌫-|
q u elieuesques	-⌫-⌫|-|-------|
q ue cruelme nt	-⌫-|-------⌫-|
uer s d eu	---⌫|-⌫-|
qu antostél out deluisdamne	--⌫--|----||--|--|-------|
purmettreunaltre meins	--|-----|-|----|----|
profitable	---------|
pur ceo s erendimult	--|--|-⌫|----|---|
theofleensu nliu restorez	------|-|--⌫|--|-------|
eshalcezemulthonurez	-------||---|------|
sur t uzse dreca	--|-⌫-|-|----|
cumpuissant	--|-------|
duterent lepetit	-------|-|----|
e npoidetensert	-⌫|--|-|---|--|
que de trest uzertmultdu te z	--|-|-----⌫-|--|---|--⌫--⌫|
li hebreusliescumengi é	-|------|-|---------⌫-|
lideue nemienragié	-|--|-⌫---|-------|
uintalisouenirem ent	---||-|---------⌫--|
edist li mul tpriueement	|---|-|---⌫|---------|
theofledunas	------|--|-|
cu mri checun s eilas	--⌫|--⌫--|---⌫-⌫--|-|
par meie parmona uo é	--|--||--|--|-⌫--⌫-|
tut tisdesirsestaueré	--|--|-----|--|-----|
distth eofleoilue irement	---|--⌫----|--|--⌫------|
al ieatei gracesrent	|-⌫|||--|-----|---|
icoesteit d a mnez	--|-----|-⌫-⌫---|
l ihebreusl iculu ert re neez	-⌫|------|-⌫|----⌫--|--⌫---|
pursamaluestiepu r so n tort	--|-|--------|--⌫|--⌫|---|
leliurer entli	-|------⌫--|-|
prince a mort	-----||---|
p ard re it senzalt reache isun	-⌫-|-⌫--⌫-|---|---⌫-|----⌫---|
l iure r entamor tlifelun	-⌫----⌫-⌫--||---⌫|-|----|
cumtheofleert en poid etens	--|------|--|-|--|-⌫|---|
entelorguil entel p urpe ns	-|--|-----|-|--|-⌫----⌫-|
pursunchaitifrenie ment	--|--|------|-----⌫---|
en fern alturment	--⌫----⌫-|------|
gloriuscrea tur	------|----⌫--|
u el tlamortde pecheur	-⌫--⌫|-|---|-|------|
recor da laconuersiun	-----⌫-|-|---------|
desbienzkain z feseit cest	--|----||---⌫|-----|---|
e cumilseruilealm e nt	|--|-|----|-----⌫-⌫-|
en seinte iglisebonement	-|-----|-----|-------|
e c umilalmonir s esteit	|-⌫-|-|-------⌫|-----|
cu m as p oures grantbienfes eit	--⌫|-|-⌫----|----|---|---⌫--|
asueduesetasor fenins	-|-----|-|-|--⌫-----|
asmeseals eta sfr arins	-|------|-|-⌫|--⌫----|
n e despistpassacrea ture	-⌫|------|--|-|----⌫---|
compun ctiunli donapure	------⌫----|-|---|---|
kart heofle se purpensa	--|-⌫-----|-|-------|
e tensei meism esturna	-⌫|-|--|-----⌫-|----|
ecomencadunca	|------|---||
a u eillieretadeuurer	|-⌫------|-||--|---|
ieun aetfistafflictiuns	----⌫|-|---|----------|
b atisa culpea	-⌫--|-|----||
genu i lluns	----⌫-⌫----|
bienuitqu ilesteit	---|--|-|-|-----|
de lasouera ineamis tie	-|-|------⌫--|----⌫--|
d equ eru itsam ortperd urabl e	-⌫|--⌫-|-⌫-|-|-⌫--|----⌫-----⌫|
equesaalme ir reitdeable	|--|-|---|--⌫---|-----|
quantdeson	----|-|--|
chai tifcors	----⌫--|---|
enunemaleflambe	-|--|---|-----|
si cum ilo ut ceo	-|--|-|-⌫-|--|
purp ensé	----⌫----|
d e pourdedutetrublé	-⌫|---|-|---|------|
du nc dis t ildolerusement	--⌫-|---⌫|-|-----------|
o dplur e t o dgemis sement	-⌫|---|-⌫|-⌫|-----⌫-----|
c haitifs h oem c h aitif meseurus	-⌫------|-⌫--|-⌫-⌫----|-------|
queaiiofa itlas dolerus	--|-|-|--⌫-|--|------|
uirraima dolurmust rer	|----|-|----|----⌫--|
quemalmepuissesaluer	--||---|-----|-----|
dolentch aitifoufuer ai	-----|--⌫----|-|----⌫-|
kideuet sa mere niéai	-|--|-|-|---|---|-|
serfm e f is almalfeenclin	---|-⌫|-⌫-|-|----|-----|
par cyrog rafeen parchemin	--|-----⌫---|-|--------|
dunc maa l metolir	---|-|-⌫-⌫-|----|
quelbosuignoiuquel	---|------|-||---|
de c omustre celaue rsier	-|-⌫|-----|--|---⌫----|
cel deuenemi celheb reu	--|--|----|--|---⌫--|
kisime f istrenier deu	-|-|-|-⌫--|-----|--|
quemeualto re cestdeliz	--|-|---|-⌫-|---|----|
cestcha itif	---|---⌫---|
tem porel parfiz	---⌫----|-----|
keualtla super f lu ite	-|---|-|-----⌫-⌫--⌫--|
decestordsieclemaleur é	-|---|--|-----|------⌫-|
heula s chaitiftantm aleu ré	--|--⌫|------|---|-⌫----⌫--|
comentsu ide deusu ppl anté	-----|--⌫|-|--|--⌫---⌫----|
guai michait if comentp erdi	---|-|-----⌫-|-----|-⌫---|
leiorqua ntenl anuitc h ai	-|--|---⌫-|-|-⌫|---|-⌫-⌫-|
esteiedels eneiss u	-----|--|-⌫-|----⌫|
et abs orbéetcumfun du	-|---⌫----|-|------⌫-|
quantde siraipur glori eueine	----|--⌫----|--|-----⌫|----|
liurermalm een fe u	-----||---⌫|-|--⌫|
lasquela ierequerai	--|---|-⌫-|-------|
kilade uuertupe rduai	-|-|--⌫|----|--⌫--|-|
iomeime ss u i acheisun	-|-----⌫|-⌫-⌫|-------|
decesteo rde perditi un	-|----|-⌫--|-------⌫-|
traitresui dema salu	------|--|-|-|---|
au ctur suidu nt	--⌫---|--|--⌫-|
su icumfun du	--⌫|------⌫-|
guai mi l as coment su irau iz	---|-|-⌫-|-----|--⌫|---⌫-|
l asquedirraisimal bailli z	-⌫-|--|-----|-|---⌫------⌫|
ke deue ndraiakiirr ai	-|----⌫----||-|---⌫-|
algrant iugem entke dir r ai	-|----|-----⌫--|-|---⌫-⌫-|
q uan ttute sriens se ru ntouertes	-⌫---⌫|----⌫|----|--⌫--⌫-|------|
euea nttutegent	|---⌫-|---|---|
kedirraichaitifauersier	-|-----|------|-------|
quant liiuste elidreiturie r	----|-|----||-|---------⌫|
seruntdeuantde u coru né	-----|-----|--⌫|----⌫--|
e tio chaitifdel tut damné	-⌫|-|------|--|--|-----|
u c oment esterai	|-⌫----|------|
deuantle s iegee spoen table	-----|-|-⌫---|-⌫-----⌫----|
udeuse rraodsesami s	|--|--⌫--|-|--|---⌫|
quantiliu g eramorzeu is	----|-|--⌫-⌫--|---||-⌫-|
dekiauraidefensiun	-|-|----|--------|
en celetribulaciun	-|---|----------|
eki purrapur meipreier	|-|----|--|--|-----|
quantchaun rece itsunluier	----|----|----⌫-|--|----|
sulunc que	-----|--|
auradeserui	---|------|
ki au r ad uncde	-|--⌫-⌫|-⌫--|-|
k imeai deraen	-⌫|-|--⌫---|-|
d efend radeturment	-⌫-----⌫-|-|------|
n uluersautreentend re	-⌫-|---|----|------⌫-|
chascun deitpur sei	------|---|--|--|
raisun rendre	-----|-----|
la neaide ranulsun	-|-|----⌫-|--|--|
chascunendreitseiiert	------|------|--|---|
gua i cha it iuealme	---⌫|---⌫--⌫--|---|
comen t es pri seetmiseenbas	-----⌫|-|---⌫-|-|---|-|--|
coment estuescolurgié	-----|-|-|----------|
coment estuengi nnié	-----|-|-|----⌫----|
d e quel t re sbuchestu	-⌫|---|-⌫--⌫----|-|-|
parqu e lperiles tumalmise	--|--⌫-⌫|----|-|-|------|
d equeltaiestu entaié	-⌫|---|--|-|-|------|
aquelportuendras mesaisié	|---|---|------|--------|
uauerasturec hate ment	|-----|-|---⌫----⌫---|
cheleskefrai allasdolen t	-----|-|---|----|-----⌫|
guaimique frai u	---|-|--|---||
pu isale r	--⌫-|---⌫|
plungié su ine	-------|--⌫|-|
puis releuer	---|------|
irrai sanzcumf ort	----|---|----⌫--|
enpei neen p erdur a ble m ort	-|---⌫-|-|-⌫-----⌫-⌫--|-⌫--|
quantsi out parlé	----|-|--|-----|
almeensement	---|-------|
part elsdizparautresplusurs	--|-⌫--|--|--|-----|------|
nesolt uersdeu	-|---|---|--|
queresucur s	----|-----⌫|
deus li bonsiustisiers	---|-|---|---------|
lim ercia ble etlidr eituriers	-|-⌫-----⌫--|-|-|--⌫--------|
nedespist pas sa creature	-|------|--|-|-------|
dunal iespera ncese ure	---|-⌫|------⌫--|--⌫--|
alme dunafeientiere	---|---|--|------|
recei ureensapreiere	-----⌫--|-|-|------|
karparle sperancek	--|--||-⌫-------||
distd ebon cuere si plu rout	---|-⌫|--|---||-|---⌫---|
c er tesiaseitque io sace	-⌫--⌫--|-|---|--|-|---|
keies us seit nezparsa gra ce	-|---⌫-|---|--|--|-|---⌫-|
desaint emariela bele	-|-----⌫|----|-|---|
d e lag loriusepulcele	-⌫|-|-⌫------|------|
cumnost re seigneurcum fizdeu	--|----⌫-|-------|--|--|--|
kei orenea ipa r lehebreu	-|-⌫|-----⌫|--⌫|-|-----|
nepurquantacelemenirai	---------||---||-|---|
cummeredeularequerr ai	--|---|--|-|-------⌫-|
de tutmu n c uer	-|--|--⌫|-⌫--|
detut munsens	-|--|--|---|
reniez s uifalscres tiens	-----|-⌫-|---|----⌫----|
de queoretde	-|----|-|-|
tutmunpoeir	--|--|----|
larequ erraimatineseir	-|----⌫----|----||---|
elsuensain	-|---|---|
t emple ieu nerai	-⌫----|---⌫----|
ura ntsiquen ecesserai	---⌫-|-|--|-⌫|-------|
saseinteu r eisun	-|-----|-⌫-⌫----|
tru isse de cestpec hie pardun	---⌫---|-|---|---⌫--|-----|
distderechiefcome nt	---|--------|----⌫-|
o dquel sleureslarequerrai	-⌫|----⌫|-----|-|--------|
n e saicertessuidigne	-⌫|--|-----|--|----|
derequerr elad ameben igne	-|-------⌫|-|-⌫--|---⌫---|
tres b ien sai que i o	---|-⌫--|--|--|-⌫|
lai f orfait	|-|-⌫-----|
de tutesparzme	-|----|---|-|
surcde shait	---|--⌫----|
queleiertl entreeuraisun	----|---||-----||-----|
dela meiecunfe ssi un	-|-|---|-----⌫---⌫-|
par quelditu	--|---|--||
par que lma niere	--|---⌫|--⌫----|
t urnerai malange a p r ei ere	-⌫------|-|----||-⌫-⌫--⌫--|
ucome ntme s leuresourai	|----⌫-|--⌫|-----|----|
i cestfaitco me n t	-⌫---|---|--⌫--⌫-⌫|
emprend rai	-------⌫--|
de qu el pechi equerrai pardun	-|--⌫-|-----⌫|------|-----|
de prim esen remi ssiun	-|----⌫-|-|----⌫----|
heulaschaitifquefraidolent	--|--|------|--|---|-----|
lcome nzsi folem ent	|----⌫-|-|-----⌫--|
feua rdantdel cieldesce ndra	--|-⌫----|--|---|-----⌫---|
e cruelment mu ncors	|--------|--⌫|---|
limundne poet s uffr irensei	-|---|-|---|-⌫----⌫-|-|--|
le smals que i of olfis parmei	--⌫|---|--|-⌫|-⌫-|--|--|--|
tualme li ef e	-|---|--⌫-||
destenebres	--|-------|
kite unts aisie	-|-|--|-⌫----|
l aducemere	-⌫|---|---|
kiportasunfiz esun	-|----|--|--||--|
irequi e rlaquelea itmerci	|-----⌫-⌫|-|-|--|-⌫-|----|
del mesfait que iouersli	--|------|--|-|---|-|
tresbien con uisuer ai emen t	---|---|---⌫--|---⌫--⌫----⌫|
faire acordement	----|---------|
bien s aique	---|-⌫-|--|
eleadl apuissanc e	--|-|-⌫|--------⌫|
tute mafiance	---|-|-----|
odceosecumfor taforme nt	-|--|-|------⌫-|-----⌫-|
siqueel que orneout d e stur bement	-|--|-|---⌫-|-|--|-⌫-⌫----⌫-----|
el temple n o str edame ala	-|-----|-⌫-⌫---⌫|---|--|
ehumbl eme nt s agen ui lla	|-----⌫---⌫-||----⌫--⌫--|
requi stdeses	-----⌫-|-|--|
mesf ai zp ardu n	----⌫--⌫|-⌫----⌫|
uratod grantdeuociun	---|-|----|-------|
