nobles lilions	-----|-|----|
aysengrin et a	|-------|-||
ysengr i nssest a m oic lame ́s	------⌫-⌫-||--||-⌫-|-⌫----⌫-|
deren art qui	-|---⌫--|--|
siestblamés	-|--|------|
de safeme quilamalmis se	-|-|---|-|-||------⌫-|
etdesouslui a	-|-----|--||
siuiu men tet entelmaniere	-|---⌫---⌫|-|-|--|------|
con s ece fust	--|-⌫|-|---|
sa canberi ere	-|-------⌫--|
tos ses pensers f u	--|--|------|-⌫|
aconpl i s	------⌫-⌫|
se droit nena	-|----||-||
ies ui honnis	-|-⌫-|-----|
ieneuuel que ma	-|-|---|--|-|
gentmeh ace	---|-|-⌫--|
dr oi t me couuient queieliface	--⌫--⌫|-|-------|--|-|-|---|
quantroenia ls li uiusmatins	----|------⌫-|-|---|-----|
quir esetdepluissors latins	--|-⌫---|-|--------|-----|
e tquimuta fierleuisage	-⌫|--|--||---|-|-----|
sere clainmequ ant el	-|--⌫------|--⌫--|-|
lauoi etr amis	|----⌫|--⌫---|
de ma part	-|-|---|
quemefeistuenirr enart	--|-|----|----|-⌫----|
lorsl i fis trenarssigrant	---|-⌫|---⌫|-----|-|----|
queie nesai d ire leconte	--|-|-|--|-⌫--|-|----|
mais bien a	---|---||
oi lequerell e	-|-|-------⌫|
deced ontroh enials lapiele	-|-|-⌫--|---⌫-----||-----|
et dis t queparsatraison	-|---⌫|--|--|-|------|
le fistreten irenp risson	-|---|-----⌫-|-|-⌫-----|
amuser le sotdeparole	-----|-|--|-|-----|
il li distdune	-|-|---||--|
orio nnole	----⌫----|
quezzuila insauoit	--|-|----⌫--|----|
leszz uo ie desfen due	--|-|--⌫-|------⌫--|
q uelagisoitzz sa intua ires	-⌫-|-|-----|-|--⌫-----⌫---|
qui ert ap ie léss ainshylaires	--|--|--⌫--⌫---|-⌫---|-------|
etbienentendantlia	-|---|--------|-||
quelar edrec ent li con t rai t	--|-|-⌫-----⌫--|-|---⌫-⌫---⌫|
ci l ne sotpasla	--⌫|-|--|--|-|
cuida quil desistu erite	----|-|-|-----|-⌫----|
fistpar eng ien ac ro ire	---|--|---⌫--|--⌫--⌫--|
queilti nt sa paroleauoire	--|-|--⌫-|-|-----||----|
ci lquisagesestresoloit	--⌫|--|----|----|-----|
est si s agesn efoloit	--|-|-⌫---|-⌫|-----|
lalifis trena rs grant	-|-|---⌫|----⌫-|----|
e nlengin auoitz zforma ge	-⌫||----|----|-⌫|-----⌫-|
que zz uilains	--|-|------|
etre n ar s mut bienlesauoit	-|--⌫-⌫--⌫|--|---|-|-----|
roenialsnefis tpasque	-------|-|---⌫|--|--|
ilsabaissapr ist le formag e	-||------|--⌫--|-|------⌫|
neuautl aissier queilnimorde	-|---|-⌫------|--|-|||----|
auresachier dest ent	-|--------|----⌫--|
quideseurlecol lideuale	--|-----|-|--|-|-----|
painneetangoissesoufr imale	-----|-|-------|-----⌫|---|
c ilse frandouillaetretorne	-⌫-|-|----------|-|------|
m aisre nars	-⌫--|--⌫---|
quipasnese iorn e	--|--|-|--⌫----⌫|
etqui l ot la issié conmefol	-|--||-|--⌫-----|----|--|
l elaissape nda nt parle col	-⌫|-----|--⌫---⌫-|--|-|--|
renar s l i rousm alsfus arde	-----⌫|-⌫|---|-⌫--|--|---|
lad istquilfu st	-|-⌫--|-|-|--⌫-|
desuing n es garde	--|----⌫-⌫-|----|
b ienfulimastinsdeceus	-⌫--|-|-|------|-----|
quant des uiniersfu	----|--|------|-|
omacues o roenials	|-----||-------|
li au neren tbien	-|--⌫-----⌫|---|
se sb ur i als	--⌫|-⌫--⌫-⌫--|
iluecontant	----|-|---|
lelasbat u	-|--|---⌫|
qua laterrelont	-||-|----||--|
ne braitnecr iec ar	-|----|-|--⌫-|-⌫-|
sinplementc ontenirlestu et	---------|-⌫------||----⌫-|
pa ineenescapauis	--⌫--|-|-----|--|
siconildist	-|--|-|---|
ieuospleuis	-|--|-----|
biend euroiton renar t destr uire	---|-⌫-----|-|-----⌫|-----⌫---|
toslimo nslideue roitnuire	--|-|--⌫-|-|----⌫---|----|
banist labo nnegent	-----|-|--⌫--|---|
prendra iorne	-------⌫|-|-|
q ueienele	-⌫-|-|-|-|
destr uieupende	-----⌫--||----|
seilnestte l s qu	-|-||--|--⌫-⌫|-|
ilse d effend e	-|-|-⌫------⌫|
renart totceauésmeffa it	-----|--|-|----|-----⌫-|
cuice estbiels	--|-|--|---||
ai tmaldeha it	--⌫|--|----⌫-|
maispa rma	---|--⌫|-|
barbe seie puis	----|-|-|---|
etseenmoncon selle truis	-|-|-|--|---⌫--|-|----|
quant uos demoi de p artirois	----|--|-|--|--⌫-⌫-------|
iamaisbiestenatra pero is	-----|-----||----⌫----⌫-|
la moiefoienuuel iu rer	-|---|--|-|---|--⌫--|
uerrésauer er	------|----⌫-|
caraceest es uos	--||-|---⌫-|--|
qu e drois en ertacor t	--⌫|----|-|--||---⌫|
r ena rt faiti ltrop eshais	-⌫---⌫-|---|-⌫|---|-|---|
cilnestoitpastropx xx	--||-----|--|---|-⌫-|
hasti sdes aparole	-----⌫|-|-⌫|-----|
esté a uo itamainteescole	----|-⌫--⌫-||-----|-----|
uersterr etintenclin	---|----⌫|---|-----|
etfaits anblantmut	-|---|-⌫------|--|
lisoitgrief	-|---|----|
bien sa uoit trai re et bien parler	---|--⌫---|----⌫-|-|---|-----|
bienrespondrebienanposer	---|--------|---|------|
qua ntilen	---⌫-|-|-|
orli couuient que	-|-|-------|--|
il setais se	-|-|----⌫-|
cariluoi tleroi co rechié	--|-|---⌫|-|--|--⌫------|
unp etita dre ciélecief	-|-⌫---||---⌫---|-|---|
en l u iqueaprendre	-|-⌫-⌫|--|-------|
sotgarderdem esprendre	--|-----|-|-⌫--------|
a di t quilli otroit	|--⌫|-|-|-|-----|
qu i l puis se	-|-⌫|----⌫-|
r espondr esondroit	-⌫-------⌫|--|----|
droitqui l diras acort	----|-|-⌫|---||----|
diraqu i lnauratort	---|-|-⌫||---|---|
renartfaitnobles	-----|---|-----|
bi enasd it	--⌫-|-|-⌫-|
i adece niaurasmesdit	-⌫|-|-|||----|-----|
ordirasnose scoute rons	-|----|--|-⌫------⌫---|
se tu dis b ien nosno stair ons	-|-|--|-⌫--|--|--⌫|----⌫--|
sirec edi st renarsbi endites	---|-⌫|--⌫-|-----|--⌫-|----|
qu idites quenesui pas	--⌫|----|--|-|--|--|
des alonges queuos aifaites	--|------|--|--|-|-----|
queu os a uésdeseurmoit raite	--|-⌫-|-⌫---|-----|--|-⌫----|
d etib e rt et dela masenge	-⌫|---⌫-⌫-|-|-|-|------|
maisiedibienaque	---|-|-|---||--|
de chante cleretdecopee	-|------⌫---|-|-|----|
qu e par moi	--⌫|--|--|
nefuenco pee	-|-|----⌫--|
n eroenieldeso nformage	-⌫|------|-|--⌫|------|
