quib en com encee	--|-⌫-|---⌫---||
quiiug erentlepoeple e ngr es	--|---⌫----|-|-----|-⌫---⌫-|
iusqu a sau lle	----||---⌫|-|
pr e mer rei	--⌫-⌫--|--|
fu degra n tdesrei	-|-|---⌫-⌫|-----|
uersdauiqu i pr odhom e fu	---|---|--⌫|--⌫-----⌫|-|
comentgolie fu uencu	-----|----|-|----|
comsalom onle t empl efist	--|-----⌫-|-|-⌫----⌫|---|
qu ipr es de qu ara nt e anzi mist	--⌫|--⌫-|-|--⌫---⌫--⌫|--||---|
com apresluiuin trobo am	--|----|--|---⌫|----⌫-|
e comedanz ieroboam	|---|---|-------|
fu donc desdislignees	-|---|--|--|------|
comentdoncchangerentlesleis	-----|---|---------|--|---|
le temple ba al	-|-----|--⌫-|
comentdonc com encalemal	-----|---|---⌫---|-|--|
quia ltensdet anzreis	--|-⌫|---|-|-⌫--|---|
comentlipoe plesmes erra	-----|-|---⌫---|---⌫---|
comil fue n chaiti ueison	--|-|-|-⌫|------⌫-----|
enbab iloinelaprison	-|---⌫-----|-|-----|
coment ierusalemfufrai te	-----|--------|-|----⌫-|
fua presref a i te	-|-⌫---|---⌫-⌫-⌫-|
comentlibonmacabeuindren t	-----|-|--|-----|-------⌫|
quil aga rd erente meintindre nt	--|-⌫|--⌫--⌫----||----------⌫-|
fupuis malmise	-|---|------|
aro m esozmise	|--⌫-⌫|------|
eco ment deulidol zlip is	|--⌫---|--|-|---⌫|-|-⌫-|
outpuispitede	--|---|---|-|
co mentilu int donqu e s enter re	--⌫---|-|-⌫--|-----⌫-⌫|-|---⌫-|
por sa centism e oeillequerr e	--|-|-------⌫|-----|-----⌫|
c omen til	-⌫----⌫|-|
n asq uide marie	-⌫---⌫-|-|----|
c oment e par q uelt richerie	-⌫----||--|-⌫--|-⌫-------|
fur entocc is l i innocent	---⌫--|---⌫-|-⌫|-------|
pl usdequaran temilee c ent	--⌫-|-|------⌫-|---||-⌫--|
com en t iesu	---⌫--⌫|---|
cr ist pre ccha	--⌫--|---⌫---|
quil a nouelel ei d ona	--|-⌫|-----|-⌫-|-⌫--|
puis encroizpenez	---|-|----|----|
edes espines coronez	|--|------|------|
comilfuelsepulcre	--|-|-|-|-------|
com ilpramist ases amis	--|-|------||--|---|
qualterzior	-|-|---|--|
leuereitde mor t	-------|-|---⌫|
co mentlanefuintdo ncaport	--⌫---|-|--|---|--⌫-||---|
quitant outesté	--|---|--|----|
ded ire uos	-|-⌫--|--|
trestot coment	------|-----|
seintegli secrute flori	----|----⌫-|---||----|
comentseintpol s e conuerti	-----|----|--|-⌫|-------|
coment li apos tlelefirent	-----|-|----⌫--|-|-----|
eli martir quit antsoffriren t	|-|-----|--|-⌫--|---------⌫|
ceomeserreit	--|-|------|
fortaretraire	---||-------|
m esuosorreiz delbestiaire	-⌫-|--|-----|--|--------|
sicomuos aie ncouenant	-|--|--|-|-⌫|-------|
sicome nceraimeinten ant	-|----⌫-----|-------⌫--|
dreizestqueprim esuosdio m	----|--|--|----⌫-|--|---⌫|
dela n aturede ll ion	-|-|-⌫----|--⌫|-⌫--|
lions e stune bestefer e	----|-⌫-|--|----|---⌫|
ehardiedegrantmanere	|-----|-|----|-----|
treisn atures aprincipals	----|-⌫-----||---------|
l i lionsqu isi	-⌫|----|--⌫|-|
estuassal s	--|------⌫|
chescuneuosserraben di t e	-------|--|----|--|--⌫-⌫|
lapremereestqueilhabite	-|------|--|--|-|-----|
mon taignesp arnatur e	---⌫------|-⌫-|-----⌫|
quant ceoauentpar auentu re	----|--|----|--|------⌫-|
quecha cezes t deueneor	--|---⌫--|--⌫|-|-----|
espei a grant poo r	----||----|---⌫|
estquealuia ta igne	--|--||--|-⌫--⌫---|
de mult loing sentenl a m on taign e	-|---|----|---|-|-⌫|-⌫--⌫-----⌫|
lodordel ueneor quilchac e	|---|--|-----|-|-|----⌫|
d o nccoe u reo dsacuesatr a ce	-⌫-⌫-|---⌫-⌫-|-⌫|-|--|-|--⌫-⌫-|
qui lnesacheesmer	-|-⌫|-|----|----|
n e ate indr e	-⌫|---⌫----⌫|
leconuers ouiluoe lt	-|------|-|-|---⌫-|
del al t r en atu re	-||--⌫-⌫-⌫|-⌫---⌫-|
e st merueille	-⌫-|--------|
car quanti l se d ort sis	--|----|-⌫|-|-⌫--|--|
oilu eil le	--|-⌫---⌫-|
e ndormantale s	-⌫|------||--⌫|
eluisan zeaperz	|------⌫||----|
laterce natureensemen t	-|----|-----|-------⌫|
estmerueilloseestrangement	--|----------|-----------|
emerueilloseessample d one	|----------|-------|-⌫--|
c ar quantlaf emelefoone	-⌫-|----|-|-⌫----|----|
lifoonsch etsorterremor t	-|----|--⌫-|--|----|---⌫|
deuie nauraiaconfo rt	-|--||---|-|-----⌫-|
iu squeli peres al terz ior	--⌫---|-|----|-|---|--|
elecchepar amor	|-----|--|---|
en telman e rele respire	-|--|---⌫-⌫-|-|------|
n e porreit aueiraltre mire	-⌫|------|----|----|---|
en telguise	-|--|----|
r euenta uie	-⌫----||--|
orentendez qu esignefie	-|-------|--⌫|-------|
si gnefianceiamultclere	--⌫--------|||---|----|
quant deunostre souer ainpe re	----|--|-----|-----⌫--|--⌫-|
e speritall ion	-⌫-------|-⌫--|
uintp ornost resaluation	---|-⌫-|----⌫-|--------|
ici en te rrepars a grace	--|-|--⌫--|--|-⌫|----|
sis agement couris atrace	-|-⌫------|----|-⌫|----|
que oncn esou tleuen eo r	--|--|-⌫|---⌫|-|---⌫--⌫|
quece of u stnostresalueor	--|--⌫|-⌫-⌫-|-----|------|
enatures esmerueilla	|-----||----------|
ui ntentr en os	--⌫-|----⌫|-⌫-|
de lue neordeuezentendre	--⌫|--⌫---|----|-------|
celuiquifet h omemesp rendre	----|--|--|-⌫--|----⌫-----|
e quilencha lce p o roccire	|--||-----⌫--|-⌫-⌫|-----|
malfezquimaldesi re	-----|--|--|----⌫-|
qua ntcistlionsf uen croi z	---⌫-|---|----|-⌫|-|----⌫|
iueusses ene mis	----|--|---⌫--|
iuge renta	----⌫---||
isoffri mort	|-----|---|
quant l esp eritdelcor sre ndi	----||---⌫---|--|---⌫|--⌫--|
enlaseinte	-|-|-----|
croi zs endormi	----⌫||------|
la deiteueilla	-|----|-----|
altrementnelen tendezia	--------|-||--⌫-----|-|
s iuosuolez resord reau ie	-⌫|--|----|------⌫-||-⌫-|
deit enepoutmie	----⌫|-|---|--|
estrebai lleenesentu e	----|---⌫---|-|-----⌫|
neescopie ne batue	-|------|-|----|
lumanitepo uthom	|------|--⌫-|--|
sanz ladeite empeirer	---|-|----|-------|
mustrer ai parsemblanc e	-------⌫-|--|--------⌫|
que n endeuezaueir d otance	--||-|----|----|-⌫-----|
tr enchez un arbre halt	--⌫-----|-|----|---|
quantl esoleilserraraiant	----|-⌫|-----|----|-----|
enl oschedel prem ercospel	-||----|--|----⌫-|-----|
uerreizlerai	------|-|--|
d el sole il bel	-⌫-|----⌫-|--|
eco mplus creissezlosche	|--⌫|---|-------||----|
sol eilp a rtots espant	---⌫--|-⌫-⌫---||-----|
uos neporreiz l erai	--|-|------|-⌫|--|
b lesce r n eprendreneten ir	-⌫-----⌫|-⌫|------|-|---⌫-|
tresto t larbre	------⌫||----|
poeztre n cher	---|---⌫-⌫---|
sanzle soleilpointempeirer	---|-|-----|----|-------|
altresi fudeiesu crist	------|-|-|---|----|
lumanitequilpo r	|------|-|-|--⌫|
queporlamor denosues ti	--|--||---|-|--|---⌫-|
pei ne e traua ilemortsenti	---⌫-||-----⌫-||---|----|
la deite ne	-|----|-|
issicre ezse ferei z ben	---|---⌫-|-|-----⌫|--|
tr eisiorsi futan t	--⌫--|---||-|---⌫|
e al terzio rle resp ir a	|-|---|--⌫|-|----⌫--⌫|
li peres quilresuscita	-|----|--||--------|
a ltresi co me le lion	-⌫-----|--⌫-|-|---|
re s pi resonpetitfoon	--⌫-⌫--⌫-|--|----|---|
oruosauo m	-|--|---⌫|
del lion dit	--|---|--|
la ueriteselonc	-|-----|-----|
lilionsf et mu lt	-|----|-⌫-|--⌫-|
grantnobl esce	----|----⌫---|
chait ifhom e neblesce	-----⌫-|---⌫|-|-----|
encon tre enmisaueie	-----⌫--|---|-|---|
neia si grantf eim nelaspr ei e	-|-|-|----|-⌫--|-||----⌫--⌫|
homema l nefera	---|--⌫|-|---|
sid eu antcorocénela	-|-⌫--⌫--|------|-|||
lil ionsqui s i	-|-⌫---|--|-⌫|
portetote saforcee lpiz	----|---|-|----|-⌫|--|
quant a tei nt	----|-⌫---⌫-|
estdeu eneor	--|-|-⌫----|
desonespeiagr antp oor	-|--|----||--⌫--|-⌫--|
escroissementde roe s	------------|-|---⌫|
simesmerueildont ceoliuen t	-||--------|---|--|-|---⌫|
qu e debl an ccoc	--⌫|-|--⌫--⌫|--|
grant poora	----|---||
ia qu ilpuistnelateindr a	-|-|-|----|-||-------⌫|
oruosdirraid	-|--|-----||
un ea lt re beste	--⌫|-⌫--⌫-|----|
qui a de us co rnesenlateste	--||--⌫-|--⌫---|-|-|----|
si trenchantesc o m ealemele	-|----------|-⌫-⌫-⌫|------|
icest e beste es t sii gn ele	-----⌫|----|--⌫|-|-⌫--⌫--|
ueneo rnel ate i nt	-----⌫|-||---⌫-⌫-|
siceled ale r n esef eint	-|---||---⌫|-⌫|-|-⌫---|
esi uos puisbe naficher	|-|--|---|--⌫|------|
sesco r n es	--|--⌫-⌫-⌫-|
poettrenche r	---|-------⌫|
unarbregros eparcreu	-|----|---||------|
c estesprouée b enseu	|--|-------||-⌫-|--|
aptalosces tebesteanon	------|---⌫-|----||--|
si habiteen	-|-----|-|
ou cor tlefluiue	-|---⌫|-|-----|
d euf rates	|---⌫----|
quantsei laprent sicortades	----|--|-|----|-|---|---|
a celflu iueedelew e beit	|--|---⌫--||-||--⌫|---|
quantbeuasi uetto td reit	----|--||-|--|--⌫|-⌫---|
iloecpres aunboissonei	----|---||-|--------|
si espes c om un r oncerei	-|----|-⌫-|-|-⌫------|
la s ontlesr amezsi	-|-⌫--|--|-⌫---|-|
si espessibels e si	-|----|-|---||-|
oulabestese uet f rotant	-|-|----|-|--|-⌫-----|
enu eis ee iuetant	---⌫---⌫||--|---|
d escornesaual e amon t	-⌫-|-----|---||----⌫|
quetotenuolupeesi	--|--|---------||
corn essontatachees	----⌫-|---|-------|
esuerge ttesqui sont delgee s	-|-----⌫---|--|---|------⌫|
e e leestprise el ron cerei	|-⌫-|--|----|-|---⌫----|
comunpeissonenune	--|-|------|-|--|
doncti ree sacheag rant poei r	---|--⌫-||----||-⌫---|----⌫|
quantsescornesne p oet	----|--|-----|-|-⌫--|
mul ts esforce	---⌫||------|
mesrenne ualt	--|--|-|---|
donc se corocee	---|-|-----||
q uelem lapoet deloing oi r	-⌫-|--|-|---|-|----|--⌫|
don cuent li ueneresda ir	---⌫|---|-|------||-⌫-|
quilatro eueiloecense rree	--|-|---⌫--|----|----⌫---|
silafertde lanc eoudespee	-|-|---|-|----⌫|-||----|
al t reglaiues iloccit	--⌫-⌫-|-----|-⌫||----|
carelne poet	--|-|-|---|
grantnepetit	----|-|----|
diloecfuir ne s eidefendre	|----|---|-|-⌫-|-------|
l a licouent	-⌫|-|-----|
lau ierendre	-|-⌫-|-----|
seign orsceste bes te	-----⌫--|----|---⌫-|
donegrantes sampled e sei	---|----|--⌫-----|-⌫|--|
icestebestesigne fie	-----|----|-----⌫--|
plusor shomesquisontenuie	------⌫|----|--|---|-|--|
qui ontdeus cornesf in ement	--|--|---|-----|-⌫--⌫----|
ce st lun e lalt rete stame nt	|-⌫-||-|||---⌫-|--⌫-----⌫-|
quilontapris	-|-|--|----|
e recordé	|-------|
elunal altreconcordé	||-|||----|--------|
siquil enseuent to zl espas	-|-|-|-|-----|--⌫|-⌫-|--|
mesporceo ne l esse nt	--|--|--|-|-⌫----⌫-|
quiln algentel	-|-||-----|-|
boissoniuer	------|---|
e lescornesenuoluper	|--|-----|--------|
e quelboiss on por reit ceo	|---|-----⌫-|---⌫---|--|
fors cestma lua i smo nde terrestre	---|---|--⌫---⌫-⌫|--⌫--|--------|
quisi estfalse d ec euant	--|-|--|---||-⌫--⌫----|
o utant s eiuentl i alquant	-⌫|---|-⌫|----|-⌫|------|
quilisontpr ise a cro chez	-|-||---|--⌫-||-⌫---⌫---|
liueneres ben	-|------|--|
estcilq ui lef ol home	--|--|-⌫-|-|-⌫-|---|
tant qu illatein t enc eleplace	---|-|-||-----⌫|-|-⌫--|----|
soz leboissonel a	--|-|------||-⌫|
sanzdefense	---|------|
esanzcon tr edit	|---|---⌫--⌫---|
l en s o e ffrela bail lie	|-|-⌫-⌫-⌫---|-|----⌫--|
fetc il mul tgrant folie	--|-⌫-|---⌫|----|----|
qui tant se deli t eesolace	--|---|-|----⌫-⌫||-----|
e lmonde que	-⌫|----|--|
tropsi e n l ace	---|||-⌫-⌫-⌫--|
quilnepoetses cornesre t raire	-|-|-|---|--|-----|--⌫-⌫----|
sime uent a	-|-|---||
multgrantcontraire	---|----|--------|
desclers qu ilesdeuscornesont	--|----|--⌫|--|---|-----|--|
queto ta cos tumelefon t	--|--⌫||---⌫---|-|---⌫|
alboissoniu enttoteior	-|------|--⌫--|---|--|
ueient l eueneor	-----|-⌫|-----|
qu ile sencha lcep o r occire	--⌫|--⌫|-----⌫--|-⌫-⌫|-----|
a de s a seilesti r e	-⌫--⌫||--|--|--⌫-⌫|
la uei neg l oire elede lit	-|---⌫-|-⌫-⌫---||-|--⌫--|
decestmon dequiles	-|---|---⌫-|--|--|
equilesplussage s	|--|--|---|----⌫|
tantfetbeles trede soz	---|--|--|--⌫--|--⌫--|
del boissonout a nt se delitent	--|------|-|-⌫-⌫-|-|-------|
que t ro puo lonters	--|-⌫--⌫|--⌫------|
i hab itent	|---⌫----|
la les tene ntl esbels mangers	-|--|----⌫-|-⌫-|---|------|
l es b onsbeiuressuesechers	-⌫-|-⌫--|------|---||----|
les be lesfemmesl esbelsdras	--|--⌫--|-----|-⌫-|---|---|
lespalefreizamblanz e	--|--------|------||
e larg ent	||---⌫--|
el a pecune	|-⌫|-----|
qui tan tf et malaquil	--|---⌫|-⌫-|--||--||
tantdemor entsoz c el	---|-----⌫--|--|-⌫-|
quel iuener es	--|-⌫|-----⌫-|
u entsore lselales acore	-⌫--|--|-⌫-||-|--|----|
o dson gla iue plus	-⌫|--|---⌫--|---|
hapordeu homegardetei	-|--|--|---|----|--|
qui endeuas	--|-|--|-|
creance efei	------||--|
fuihomicidefu iluxure	--|-------|--⌫|-----|
renieorgoi lgu erpis usur e	----|-----⌫|--⌫----|----⌫|
lais seauo rti refuiiuresce	----⌫-|---⌫---⌫-|--|------|
een uiequilal meb les c e	|--⌫--|--||--⌫-|-⌫---⌫-⌫|
sitesco rs nepoezdesaerdre	-|--|--⌫-|-|---|--------|
la uie tencouendra p e rd re	-|--||-|-------|-⌫-⌫--⌫-|
non pasd e l cors	--|--|-⌫-⌫|---|
t ants ulement	-⌫--|-⌫------|
del a lmeensement	-||-⌫--|-------|
nesemb le p as	-|----⌫-|-⌫-|
labestemue	-|----|--|
quidel b ois son	--|--|-⌫---⌫--|
ne se remue	-|-|----|
deua ntqu ele ies t entre prise	----⌫-|-|--||--⌫|-----⌫----|
essample asbenaprise	-------|-|--|-----|
eseloncceo	|-----|--|
uole zourer	----⌫|----|
gran tbenen	----⌫|--|-|
porras recourer	-----|-------|
nostre matireestmult	-----|-----|--|---|
ca rsoue nt s e diuerse echange	--⌫|----⌫-|-⌫|------||-----|
eneporquant si est t oteu ne	|---------|-|--|-⌫--|-⌫-|
car leses samplesque	--|--|--⌫------|--|
e lea u ne	-⌫-|-⌫-⌫-|
sonttotespo rlame nd ement	---|----|--⌫||---⌫--⌫----|
d omequieirefo lement	|--|--|---|--⌫-----|
enorientlasus am ont	-|-----|-|--|--⌫--|
adeusp erres sorunhalt	|---|-⌫----|--|-|---|
qui multsont destrange nature	--|---|---||-------|-----|
ca relportentf euear d ure	--⌫|-|------|-⌫-||--⌫-⌫--|
sisont come	-|---|---|
mad l e e femele	---⌫-⌫||-----|
enoistesonquesnouele	-|-----|-----|-----|
plusmerueillo se	---|---------⌫-|
c arli liu r esn osfeta creire	-⌫-|-|---⌫-⌫-|-⌫-|--|-⌫-----|
quantcesperr esso ntl o inga loing	----|--|----⌫-|--⌫-|-⌫-⌫--||----|
feu n enistreitpornulbesoi ng	--||-|------|--|--|-----⌫-|
me squantparauentureauent	--⌫|----|--|-------|----|
unepres de	--|---|-|
l altreuent	|----|---|
s i espernen t efeusenist	-⌫|--------⌫||---|-|--|
quiand e us lesperres bruist	--|---⌫-⌫-|--|-----|-----|
et ant cr est lif eus	|-⌫--|--⌫--|-|-⌫--|
e engraigne	|--------|
quilesp renttotelamo ntaigne	-|-|---⌫---|---|-|--⌫------|
equanqua dechescunepart	|-----||-|-------|---|
de lamontaigne esprent eart	-|-|--------|------||--|
ic ideiuen tessampl epr endre	--⌫|------⌫|-------⌫|--⌫----|
cilquiadeus euoel entrendre	--|--||--|-⌫|----⌫--|-----|
maignentenbone	-------|-|---|
fuir deiuen tla compaignie	---|------⌫|-|---------|
desf emmes ententiuement	--|-⌫----|------------|
elor charnel	|--|------|
apr e s memen t	---⌫-⌫-⌫-----⌫|
qu e ce leflambe eceleardor	--⌫|--⌫-|-----||---|----|
dela charne lamor	-|-|------⌫|---|
n arde les bens	|---|--|---|
quienelssont	--|-|--|---|
quedeuqui estsiresdelmont	--|--|--|--|----|--|---|
aenelsparsagra ce	|-|--|--|-|---⌫-|
c arenpoidoreson tmalmis	-⌫-|-|--||--|---⌫|-----|
lesbensou cele	--|---|-|---|
fl ambecort	--⌫---|---|
q ui de lachalde	-⌫-|-|-|-----|
femelesort	-----|---|
porueritesauei rdeuom	--|-----|-----⌫|----|
iors a langlef elo n	---|||----|-⌫---⌫|
sonagaitporfaire	--|----|--|----|
le chastehom l edreit urer	-|-----|--|-⌫|-----⌫---|
elachastefemme ensem ent	|-|-----|----|-----⌫--|
comen c eme nt	-----⌫-⌫---⌫-|
p ecchaparino bedienc e	-⌫----|--|---⌫-------⌫|
decelpeccheremest semence	-|--|-----|-----|------|
quit oziorscreste multiplie	--|-⌫-|---|----||--------|
cardi ablespa s ne	--|--⌫----|--⌫|-|
parl aflam be decestpe cc he	--|-⌫|----⌫-|-|---|--⌫--⌫-|
hom estéengigné	--|----|-------|
iosephfu temptez esamson	-----|-|------||-----|
lunfuuencu laltre	|-|-|----||----|
ue ncu laltre	--⌫--||----|
onc la flambenel cor rompi	--|-|-----|-||---⌫----|
unebes teest	--|---⌫-|--|
e quin abite mieenter re	|--||----|--|-|---⌫-|
mesenc elegrantmer	--|-|-⌫--|----|--|
c estebe sten estpa spetite	-⌫---|--⌫--||--|--⌫|-----|
ainzestdurementcorpor ue	---|--|-------|------⌫-|
granz elesa	----|---||
labestemue	-|----|--|
quanteleueit en celemer	----|--|---|-|---|--|
l e s neselesdromonz sigler	-⌫-⌫|--||--|------|-----|
enseselesrecoil tl e	-|--|---|------⌫|-⌫|
uerslanefsigledurement	---|-|--|----|-------|
leuen tla portes usles	-|---⌫|-|----|-⌫-|--|
saleeseparfonde s	-----||--------⌫|
issiuetlon guements iglant	---|--|---⌫------|-⌫-----|
ta ntquelenepoe ten a uant	--⌫-|-|--|-|---⌫|-|-⌫---|
do nc chetaual ese recr ei t	--⌫-|---|---||-|----⌫--⌫|
e lam erl assorbist	|-|-⌫-||--------|
ela traitaual e lparfont	|-|----|---|-⌫|------|
linotiner q ui	-|------|-⌫-|
parmer uont	--|--|---|
nela querent	-|-|------|
iaencontrer	-|--------|
ca r c es tu ngra ntperildemer	--⌫||--⌫|-⌫|---⌫-|----|-|--|
soue n tlanefperir	----⌫-⌫|-|--|----|
aq ui elepoet paruenir	|-⌫-|--|---|-------|
iceste bestesan z dotance	-----|----|---⌫|------|
porte multgran tsignef ian ce	----|---|----⌫|------⌫---⌫-|
lamerqu iest grantepa r fonde	-|--|--⌫|--|----||--⌫-⌫----|
signefiecest presen tmonde	-------|---|------⌫|----|
quimultestmalua is	--|---|--|-----⌫-|
e perill os sicom la	|------⌫-|-|--|-|
cil quipar la	--|--|--|-|
mersigl antuont	--|----⌫--|---|
signefie nt les bons	--------⌫-|--|---|
parcestmo ndenagant	--|---|--⌫--|-----|
elor nef adr e it	|--|--|---⌫-⌫-|
conduia nt	-------⌫-|
par les ondesparlest ormenz	--|--|----|--|--|-⌫-----|
contrelesperi ze lesuenz	-----|--|----⌫||--|---|
ceo estadire	--|--||---|
eaentend re	||------⌫-|
ceoson t libon qu e entre prendre	--|---⌫|-|--|--⌫|-----⌫------|
ne poetcilnefai r eneier	-|---|--|-|---⌫-⌫|----|
s fine deguerreier	|---|-|--------|
parm ices tmonde uont	----⌫|---⌫|----|---|
li prodhomel ornef menant	-|-------|-⌫-|--|-----|
sidreitquelife l	-|----|--|-|--⌫|
nelespoetfaire p eri lle r	-|--|---|----|-⌫---⌫---⌫|
labeste dont ieouosaidit	-|----|---|--|--|-|--|
queparla mersig le	--|--|-|--|---⌫-|
pui sre creit e	---⌫|--⌫----||
ch etelp arfo n t	--⌫-|-|-⌫----⌫-⌫|
s ignefie plusorsquis ont	-⌫------|------|--|-⌫--|
quicomencentabenourer	--|--------||--|----|
aseruirdeue aam er	|-----|--|||--⌫-|
equan til uene nt	|----⌫|-|----⌫-|
des granzaisesede sd eli z	--|----|----||--⌫|-⌫---⌫|
des coueitisesquigranzson t	--|---------|--|----|---⌫|
edesboi sdiesde cest mont	|--|---⌫----|-|---|---|
doncr ecreient	---|-⌫-------|
de dreitnager	-|----|----|
idonc le s	----|--⌫|
est oetperiller	---⌫--|-------|
e chairesaduersitez	|----|-|---------|
especcheze siniquitez	-|------|-⌫|--------|
quilestraientelfonzaual	--|--|------|-|---|---|
dreitenla m a isonenfernal	----|-|-|-⌫-⌫---|-------|
caladriusestu ns oisels	--------|--|-⌫-|-----|
sortozaltrescorte is	--|--|-----|-----⌫-|
altresiblanscomel aneis	------|----|---|-⌫|---|
multp arestcistoiselscorteis	---|-⌫-|--|---|-----|------|
alcunefeiz l etroeuelem	-----|---|-⌫|-----|--|
deierus alem	-|-----⌫---|
quanthome estengran tmaladie	----|---|--|-|----⌫|------|
quelem despeire	--|--|-------|
de sa u ie	-|-|-⌫-|
donc estcistoisels aportez	---|--|---|-----|------|
estreconfort ez	----|-------⌫-|
erepas serdecel malage	|-----⌫--|-|--|-----|
l oisel li	|----|-|
t orne le uisage	-⌫---|-|-----|
e treta sei le nf ermete	|---||--||-⌫--⌫-----|
esilnedeitaueirsante	||-|-|---|----|----|
loise l se tornedalt rep art	|----⌫|-|----||---⌫-|-⌫--|
ia nefer a uerslui regart	-|-|---⌫|---|--|-----|
ores t raisonqueieo	-|--⌫|-----|--|--|
blanc oiselsi gnefie	----|----|--⌫-----|
ilsig nefi e sanzerr o r	-|---⌫----⌫|---|---⌫-⌫|
