ocum es ri ches	|--|-|--⌫---|
femmesetbenoz	-----|-|----|
fruz detonuent re	---|-|--|----⌫-|
s ingulerment est	-⌫----------|--|
u oirement fruzdet onuent remais pe r me i	-⌫-------|---|-|-⌫-|----⌫-|---|--⌫-⌫--⌫|
ties ti lper uenuz ascuers de	-|--⌫|-⌫|---⌫----|-|----|-|
detoz le sa ltresensifutza	-|--|--⌫|-⌫----|---|--|-|
liroseietoteel	-|-----|---|-|
toteenl aree	---|-||---|
maise n nulepertie delaree	---|-⌫|---|-----|-||---|
nefutil le	-|--|--⌫-|
mi e sensitote	--⌫-⌫|---|---|
ille futel	---|--|-|
uerreentisoule	----|-|-|----|
sumiliat etabr euiat ciltre s	|------|-|---⌫----|--|---⌫|
richeset ciltres halzrois	-----|-|--|---|---|---|
uraisdeustoteuoiese tfilz dede u	----|---|--------|-⌫|---|-|--⌫|
e stcil quientiprentchar	-⌫-|--|--|-|-|----|---|
quel frut certes	---|---|-----|
por ceuk e	--|--|-⌫|
nostu itsoien senrichit	--|--⌫-|-----⌫|-------|
po uerte it etessal ciét	--⌫-----⌫-|-|-----⌫----|
des onhumiliteit	-|-⌫-|---------|
magn ifie ́ tde	----⌫----⌫-⌫|-|
sonamanrementet desonincarnation	--|---------|-|-|--|----------|
e nsi ahersadeuke nos	-⌫--|----||--|-|--|
iai encomm encien s	--|------⌫------⌫|
