seimme peti t queut	-----|----⌫|----|
sa intpollodit etielo lu i	--⌫--|--|-|--|-|-|-|--⌫|
il ma int endeuet	-|--⌫--|-|--|-|
don csa ch eizbiendeueri te	---⌫|--⌫--⌫--|---|-|----⌫-|
quelidon sontdecha rite	--|-|--|---|-|---⌫---|
quel iboen scuensp elipesdon e	--|-⌫|----⌫|----|-⌫-----|---⌫|
c onque sn uluin e nareisone	|-----⌫|-⌫---||-⌫|-------|
forssol son	---|--|--|
loe le biena fere	--|-|---||---|
neualtcist mialzque neualut	-|---|---|----|--|-|----|
a lixandrescuinechalut	-⌫--------|--|-|-----|
decharite ne	-|------|-|
denu lbien	-|--⌫|---|
oilnendotezia	--||-|----|-|
bien sauuesap oine	---|----|-|-⌫---|
crestiens qui antenteet	--------|--|------|-|
ar im o ierlemeil lor	|-⌫--⌫-⌫--|-|----⌫--|
quis oitcontez	--|-⌫--|-----|
a cor troial	|---⌫|----|
c e e stlicontesdelgr a al	-⌫|-⌫-|-|-----|--|--⌫-⌫-|
cu e nslibaille	--⌫-⌫-|-|-----|
so r roi z comentilsendeliure	|-⌫-⌫---⌫|-----|-||-|------|
enla terre degale es toient	-|-|----|-|---|--⌫-----|
yyfrere qui mout ualoient	-|----|--|---|-------|
ce f ueltansquarbre f lori ssent	-|-⌫|-|---|-|----|-⌫----⌫----|
f oill entb osch ageetpreuerdisse nt	-⌫----⌫--|-⌫----⌫--|-|--|--------⌫-|
et ciloi selen lo r	-|--|--⌫--|-|--⌫|
clerementca nt entau matin	--------|--⌫--⌫--|-|----|
ett outeriens	-|-⌫---|----|
u eue dame	-⌫--|---|
de lagas te forestsoutain e	-|-|---⌫-|-----|-------⌫|
sel eua et nelifu	-|-⌫--|-|-|-|-|
quei l s a s elene meist	--|-⌫|-⌫|-⌫--|-|----|
sorsoncaceoretpresi st	--|--|-----|-|-----⌫-|
troisgauelos	----|------|
etto utensi	-|--⌫-|---|
forsd elmano irsa me re is si	---|-⌫-|----⌫-|-|--⌫-|--⌫-|
etpensa queueo iriroit	-|----|--|---⌫-|----|
herceorsquesamereau oi t	-------|--|-|---|--⌫--⌫|
quis esauaineslihercoi ent	--|-⌫-|------|-|------⌫--|
ensi en lafore stsenentre	---|-|-|----⌫-||-|----|
etmaint enant li	-|-----⌫----|-|
cuersdeluentr e	----|--|-----⌫|
porle douctans	--|-|---|---|
lesch ansqueil oi	--|--⌫--|--|-|-|
de soisia usquisouef	--⌫|-----⌫-|--|----|
cant oient	----⌫----|
t outes cescosesli plai soient	-⌫----|--|----|-|----⌫-----|
porlad olcordeltanss erain	--|-|-⌫----|--|---|-⌫----|
o sta au caceorl efraim	-⌫--|-|-----|-⌫|----|
laissaal erpaissant	-----|--⌫-|-------|
par lerbefreschee t	--||---|------|-⌫|
uer d oiant	---⌫-⌫----|
bi en lancer sa uoit	--⌫-|-----|--⌫---|
desgauelosque	--|------|--|
aloitenuiron lui lanchant	----|------|--|-------|
une o reariereetlautre auant	--|-⌫-|-----|-||----|----|
une oreloignetlautreenhaut	--|--|----|-||----|-|---|
tantqu iloiparmi	-----|-|-|----|
uen iryych eualie rs a rmés	---⌫-|-|--⌫------⌫-|-⌫----|
d etou tes a rmesace smés	-⌫|---⌫--|-⌫---|---⌫----|
etmoutgrantnoise demeno ien t	-|---|----|----|------⌫---⌫|
les armesdeciaxqui	--|----|-|---|--|
u e noient	-⌫-⌫-----|
ca r souenthurtoient asarme s	--⌫|-----|--------|-|----⌫|
des c aisnes etdescarm es	--|-⌫-----|-|--|----⌫-|
leslan cesase scushu rtoient	--|---⌫--|-|-⌫---|--⌫------|
et toutli ha uber cfremill oi ent	-|---|-|--⌫----⌫|-------⌫--⌫--|
sonel ifuss onelifers	---|-⌫|--|-⌫--|-|---|
et des escus etdes ha uber s	-|--|----|-|--|--⌫----⌫|
o tetne uoit pas	-⌫|-|-|---|--|
c ex q uiuie nen t p lusque l e	-⌫-|-⌫-|---⌫---⌫|-⌫--|--|-⌫|
sis esmerueil leetditparmame	-||---------⌫-|-|--|--||--|
uoirmeditma m erema	---|-|--|-|-⌫--|-|
quimeditquedeia bleso nt	--|-|--|--|----⌫--|--⌫-|
plus esf reé que	---|---⌫---|--|
e tsidit pormoiensaigner	-⌫|-|--|--|--|--------|
que poraxsedoiten	--|--|-|-|---|-|
ansaigdes daign e rai	-----|---⌫-----⌫-⌫--|
ia porax nemen	-|--|-|-||-|
sa igner ai	--⌫-----⌫-|
ainzferraisitotle	---|-----|-|--|-|
du nde sia uel oz q ueie port	|-⌫|--⌫|--⌫---⌫-|-⌫-|-|---|
quei a naprocherauersmoi	--|-⌫||--------|---|--|
nulsdesautressi com	---|--|-----|-|--|
einsi alui meis mes dist	----||--|----⌫--|---|
li uallezainz quil lesue ist	-|-----|----⌫-|-|--|--⌫--|
etqant il lesu itenap ert	-|---|-|--|-⌫-|-|--⌫--|
quedo boi s furent desco uert	--|-|---⌫|-----|-----⌫---|
s i uitlesh aubersfremi anz	-⌫|--|--|-⌫-----|-----⌫--|
etles hiau mesclersetluisanz	-|--|----⌫--|----|-|------|
et les lan ceset	-|--|---⌫--|-|
qu e onqu e s	--⌫|----⌫-⌫|
mai s nauoitueu z	---⌫||----|---⌫|
et ui tlo ue rtetle	-|--⌫|-|--⌫-|-|-|
r eluirecontrelosoleil	-⌫-----|-----|-|-----|
et loretlazur et	-||-|-||---|-|
s ilifum outetbel etgent	-⌫|-|-|-⌫--|-|--|-|---|
hasiredex merci	-|---|--|----|
ce sont angr equeieuoici	-|---|----⌫|--|-|--|-|
hauoir o rai iemout pechié	-|---|-⌫|-|-|---|------|
or aiiem out malespl oitié	-|-|-|-⌫--|--|----⌫-----|
qui disquec estoientdeable	--|--|--||-------|-----|
dist pa s ma merefable	---|--⌫|-|---|----|
que lian greestoi ent	--|-|--⌫--|-----⌫--|
le splusbeles choses qui	--⌫|---|----|-----|--|
for dex quiplus biax	--|--|--|---|---|
estque tuit	--|--|---|
deusicomie cuit	--|-|--|-|---|
quiun sibe leni	--|-|-|--⌫|-||
et l i autre se	-|-⌫|----|-|
dex me gart	--|-|---|
nont miedebi auteladis me	|--|--|-|--⌫---|-|---⌫-|
dit ma m ere me ism e	--|-|-⌫--|--⌫---⌫|
q andoitdeucroireet	|-|---|--|-----|-|
et soupl ier	-|-----⌫--|
etieaoreraic e s tui	-|-|------|-⌫-⌫-⌫--|
et tozse s angresauec lui	-|--|--⌫|-----|---|--|
maint enantuers	-----⌫----|---|
terre selance	----|-|----|
etd it trestotesacreance	-|-⌫-|-------|-|------|
eto reison sque ilsauoit	-|-⌫------⌫|--|-|-----|
e tsame re apri s	-⌫|-|--⌫-|----⌫|
etli mestresdes c he ualiers	-|-|------|--|-⌫--⌫------|
lou itetditest ezarr ie rs	-|-⌫-|-|--|---⌫-|---⌫--⌫-|
c ate rreest	||--⌫--|--|
depo orcheuz	-|--⌫-|----|
liuallezquinosaueuz	-|-----|--|--||---|
senos alionstuitensam ble	-|--|-----|---|-----⌫--|
uersluiil auroit ce	---|--|-|-----|-|
sigrantpoor quemorr oit	-|----|---|--|----⌫--|
nere spon drenenosporroit	-|--⌫----⌫--|-|--|------|
dem and ase	---⌫---⌫--|
cils a rest entet il	--||-⌫----⌫--|-|-|
uerslo ualet grantaleure	---|-|----|----|-----|
silos alueet ase ure	-|-|-⌫---|-|---⌫--|
etd itualetn a iés peor	-|-⌫-|----||-⌫---|---|
iepar losauueor	-|--|-|------|
fait liual ezen	---|-|---⌫-|-|
cuiie croi	--|-|---|
uosdeunenilparf oi	--|--|----|--|-⌫-|
qu ie stesuos dom cheualier	--⌫|-⌫---|--|--|--------|
ain zmaischeualier neconu i	---⌫|---|--------|-|----⌫|
fa it liualezne	--⌫-|-|----|-|
nuln enu i	--||-|-⌫|
nonquesmes parler	|-----|--|-----|
mesuosestesplusbiaxque dex	--|--|----|---|---|--|--|
car fuse ie oreautretex	--|---|-|--|-------|
ausiluisanz	---|------|
m otpresde l ui sesttr ez	-⌫-|---|-|-⌫-||--|--⌫-|
licheualiers	-|---------|
si lidemande	-|-|------|
ueis tuhuiencestelan de	---|-|--|-|----|---⌫-|
yycheualierset	-|---------|-|
etli uale zautresnoueles	-|-|----⌫|-----|------|
enquerreetde m anderentent	-------|-|--⌫-⌫----|-----|
asalan ce samainli ren t	|-|---⌫-|-|---|-|---⌫|
prent e tditbiax sire	----|-⌫|--|---|---|
cheual iers	------⌫---|
uosquiaueznon	--|--|---|--|
cheualiers	---------|
que esti ce qu euost e nez	--|--|-⌫-|--⌫|--|-⌫-⌫--|
mout bienasenez	---|---|-----|
fa itlicheualierscemestuis	--⌫-|-|---------|-||--|--|
iecuidoie biaxdolzamis	-|------|---|---|---|
noue l esaprend re detoi	----⌫-⌫-|------⌫-|-|--|
ettules uiaxsa uoirde moi	-|-|--|---|--⌫---|-|--|
iel tediraice	-||-|----|-|
e stmalance	-⌫-|-|----|
do ncqu een	--⌫-|--⌫|-|
si comie faz mes i auel oz	-|--|-|--|--|-⌫----⌫-|
n enilua leztuiestozsoz	-⌫---|--⌫--|-|--|--|--|
ainzenfiert en tot dem enois	---|-|----|-|--|---⌫----|
doncualtmielzliunsde ceztr ois	---|---|----|-|--|-|--|--⌫--|
iauelozquei e	------|--|-⌫|
tie ng ici	---⌫-|--|
qarq en que i e uoil	--|-⌫--⌫--|-⌫|---|
oisiaxet be ste sabes oig	-----|-|--⌫---⌫||---⌫--|
et silesocidesilo ig	-|-|--|--|-|-|--⌫-|
com lanporroitzzb o uzo ntrer e	--|--|------|-|-⌫-⌫---⌫|----⌫|
ualetde ce naiie que	----|-|-||-|-|--|
maisdescheu aliersmerespo nt	---|--|----⌫-----|-|-----⌫-|
sez oilso nt	--||-|--⌫-|
etl espucelesueistu	-|-⌫-|------|---|-|
li ualezau	-|----|-|
pen del escu	--|-||---|
lopr entetdittot	-|--⌫--|-|--|--|
etde coi uos	-|-|--|--|
diuaualezce	---|----|-|
qen autres	|-|-----|
p ar olesme mez	-⌫--⌫---|-|--|
que ienetequ iern e dem an t	--|-|-|-|--⌫--|-⌫|---⌫--⌫|
iecu idoie sedexmamant	-|--⌫----|-|--||----|
nouelesmedeisses	------|-|------|
ainz que d e moi lesapreisses	----⌫--|-⌫|--|--|--------|
que ie lest apreigne	--|-|--||-------|
ieltediraico men tquilpraig ne	-||-|----|--⌫---⌫--|-|-----⌫-|
cara toiuo le nt iersmacort	--||--|--⌫--⌫--⌫---||----|
escuanon cequeiepor t	---||--|-|--|-|---⌫|
escu anon uoire	---||--|----|
ldoitpas tenir	|---|--|----|
qar ilm est tant d e	--|-||--|---|-⌫|
qu ese nus lan ceo	--⌫|-|--|---⌫-||
tretuers moi	---|---|--|
tozlescous se	--|--|---|-|
s eruisequil m efet	-⌫-----|-|-|-⌫|--|
atantcil q uifurent ar rie re	----|--|-⌫-|-----|--⌫---⌫-|
s enuin drent totelachariere	|-|---⌫----|---|-|-------|
uer s lorseignortrestotlo p as	---⌫|--|------|------|-|-⌫-|
sil i d i entenelopas	-|-⌫|-⌫-⌫--|-------|
sire q ueuosditcistgalois	---|-⌫-|--|--|---|-----|
il neset pastot es	-|-|--|--|---⌫-|
faitl ime stres se dexm	---|-⌫|--⌫----|-|--||
riennulequelidemant	---|---|--|-|-----|
ne respontilon ques adroit	-|------|-|--⌫---||----|
ainzdemandedeq anquilu oit	---|------|-|-⌫---|-|-⌫--|
c ommentanon	-⌫-----||--|
etque nan fai t	-|-|-⌫|-|---⌫|
s ires achiezbien	-⌫--|-⌫-----|---|
e ntresait	-⌫-------|
quega loissonttuitpar	--|--⌫---|---|---|--|
plu s folque n estb est ean	---⌫|--|--||--|-⌫---⌫|-|
cist estausi co mm unebeste	---|--|---|--⌫-|--|----|
fox estqui	--|--|--|
de lezlui sareste	--⌫--|--||-----|
la muse neuial tmuse r	-|---|-|----⌫|----⌫|
foli eus e r	----⌫|--⌫-⌫|
ne saifaitcil	-|--|---|--|
sedexmeuoie	-|--|-|---|
mai sa inzquem e meteau oie	---⌫|-⌫-----|-⌫|---||-⌫--|
qanque iluold ralidirai	-----|-|----⌫-|-|----|
iaautrementn enparti rai	-|--------||-|-----⌫--|
lors lide ma ndederech ief	---|-|--⌫--⌫--|------⌫--|
ualet faitil	----|---|-|
ne tesoitgrief	-|-|---|----|
yy cheual iersme	-|------⌫---|-|
etdes puce les aut resi	-|--|----⌫--|---⌫---|
lesa ncon tra sne ueis	--|-⌫----⌫---⌫|-|---|
etliualezle tenoitpris	-|-|----|-|-----|---|
delhauberc silotire	--|------|-|-|---|
o rmeditesfai t ilbiax	-⌫|-|----|---⌫|-|---|
estqu euosauez	--|--⌫|--|---|
ualet fetil d onnesez	----|--|-|-⌫-|-|--|
nenil fait i l cestun sh aubers	----|---|-⌫||--|--⌫|-⌫-----|
a us ipes antcommefer s	-⌫--⌫|---⌫--|----|---⌫|
quile stde	-|-|-⌫-|-|
ferceseztubien	--|-|--|-|---|
decefaitil	-|-|---|-|
ne saiie rien	-|--|-|---|
maismout estbiaxsedex me sau t	---|---|--|---|-|--|-|---⌫|
qenfaitesuo set queuosuaut	|-|-----|--⌫|-|--|--|---|
ualetc esta	----||--||
direlegier	---|-----|
seuoloiesam o i	-|------||-⌫-⌫|
iau el otne seeste	---⌫--⌫-|-|-----|
nemeporroiesnulmal	-|-|-------|--|--|
danz cheualiers	---|---------|
de tex hau bers	-|--|---⌫---|
gart dexles biches	---|--|--|-----|
etles cers	-|--|---|
oci rr e nen	---⌫--⌫||-|
neiam aisa presne	-|---⌫--|-⌫---|-|
etlich eualiers	-|-|--⌫-------|
uale tdi moi se dext ait	----⌫|-|--|-|--||--|
set u mesezdirenoueles	-|-⌫|-|--|---|------|
des c heualiers et despuceles	--|-⌫--------|-|--|------|
petitfusenez	----|-|----|
liditfus tes uosissinez	-|--|---⌫--|--|---|--|
nenilual et	----|---⌫-|
que n ulerien	--|-⌫--|---|
puistissinestre	----|---|-----|
qui uosatorna	--|--|-----|
ualet iete diraibienqui	----|-|-|----|---|--|
don cmoutuolentiers	---⌫|---|---------|
na mie ancor	||--|----|
cest hernoisme	---|------|-|
liroisartusqui	-|---|----|--|
desor mere dique deuindrent	--|-|-|--⌫-|--|---------|
licheualier quiparciuindren t	-|--------|--|--|-|-------⌫|
qui le stro is puceles c o mduient	--|--⌫|---⌫-|------|-⌫-⌫------|
uon tillop as oi l s en fuient	---⌫|-|-|-⌫-||-⌫||-|-----|
or esgard ez	-|------⌫-|
celplushautboisqueu os	--|---|---|---|--|-⌫-|
qu icele montaign ee nu irone	--⌫|---|--------⌫|-⌫--⌫----|
laso ntlidestroi tdeualdon e	-|--⌫-|-|-------⌫|-|------⌫|
etqu estdecefaitil bi ax frere	-|-|--|-|-|---|-|--⌫-|----|
lasontliherceorm amere	-|---|-|------|-⌫|---|
q ui sester ressenme nteteren t	-⌫-|--|---⌫--|-----⌫-|-|----⌫|
etse cez genzitre spasere nt	-|-|--|---||---⌫-------⌫-|
il le s uir ents e luos	-|--⌫|---⌫--|-⌫||--|
d ien tquei lir ont	-⌫---⌫|--|-⌫|--⌫--|
auecluis e illesimaine	---|--|-⌫|-|--||----|
iuscacel squi	---||---⌫|--|
pren tsoncha ceor	----⌫|--|---⌫---|
oli hercheor	|-|-------|
herch oientl esterresarees	-----⌫----|-⌫-|-----|----|
o lesaueines	|--|------|
sontsemees	---|-----|
e tqantciluire nt	-⌫|---|--|----⌫-|
lor seigno r	--|------⌫|
si tr enbleren t tui tdepeo r	-|--⌫--------⌫|---⌫|-|---⌫|
et s aue zporcoi illefirent	-|-⌫---⌫|--|--|-|-|-----|
porl es cheualie r squei l	--|-⌫-|--------⌫-⌫|--|-⌫|
quiauec lor sei g noruenoient	--|---|--|---⌫-⌫--|-------|
carbien sorent	--|---|-----|
s illiauoien t	|-|-|------⌫|
lorsafere di tetlorestr e	---|----|--⌫|-|--|----⌫|
uoldr oitcheualieres tre	-----⌫--|--------|--⌫--|
e t samereenistroitde l	-⌫|-|---|-|------|--⌫|
q uedestorn erlen cu idoit bien	-⌫-|-------⌫-||-|--⌫----|---|
qu eiache ualie rsn e	--⌫|-|---⌫-----⌫-|-⌫|
nelor aferen apr eist	-|--|----||---⌫---|
etl i ualezdit	-|-⌫|----|--|
asbou iers	-|---⌫---|
ueistes uo s y yc heualie rs	------|--⌫|-⌫|-⌫-------⌫-|
etyypuce lesci	-|-|----⌫--|-|
ilne fi nerent h uid	-|-|--⌫-----|-⌫-||
pa r cez d es t roiz fontli bouier	--⌫|--|-⌫--⌫-⌫---|---|-|-----|
etliuale zau	-|-|----⌫|-|
q ui tantauoitali parlé	-⌫-|---|----||-|-----|
di tsireparci sont alé	--⌫|---|--|-|---|---|
li che ual ieretles puceles	-|---⌫---⌫--|-|--|------|
dites lesnoueles	----|--|------|
delroiq uilescheualiersfa it	--|--|-⌫-|--|---------|--⌫-|
oi lpluss e	|-⌫|---|-⌫|
ualet fa itil dir e teuoil	----|--⌫-|-|---⌫|-|---|
roisseiorne acardoil	---|------||------|
namieancorpass équint	||--|----|----⌫-|----|
q u eil iestoit a sei o r	-⌫-⌫|-||-----||---⌫-⌫|
queiei fuietsil	--|-||--|-|-||
troeues i qui	------|-⌫--|
bieniertque let	---|---|--|-||
ainsaigne ra	---------⌫-|
ia sitrestor naus	-|-|-------⌫---|
que t u lanenoiesensignes	--|-⌫|-||-|---|-------|
mai s or te prique	---⌫|-|-|--|--|
tum ensa i gne s	-||----⌫-⌫---⌫|
nonietapelerai	--|-||-------|
sirefaitil ieluosdirai	---|---|-|-||--|----|
i ai non be iax filz b iaxfi lz asor e	|-|--|--⌫--|---|-⌫--|--⌫-|-|--⌫|
iecuitbien	-|---|---|
que tuas encore	--|-|-|-----|
u nautre nonsireparfoi	-⌫|----|--|---|--|--|
nonbiaxfrerebien	--|---|----|---|
tum e nuiaxdire uoir	-||-⌫|---|---|---|
tondroitnonuold raiiesauoir	--|----|--|----⌫--|-|-----|
il bienu ospuisdire	-|---|-⌫-|---|---|
camondr oitnonai n on	||--|--⌫--|--|-|-⌫-|
ci abia unon	-||---⌫|--|
asentu plussire ie	-|-|-|---|---|-|
neonque scertes plus nen	-|-----⌫|-----|---||-|
sim aitdex	-||--|--|
merueill esoi	--------⌫-|-|
le sgreignorsqu eioissemais	--⌫|--------|--⌫||----|---|
nenecuitqu e ioied esmo is	-|-|---|--⌫||--|-⌫-|--⌫-|
tantost licheuali erssan part	------|-|-------⌫--||-|---|
lesg ranz g aloz cui moutfutar t	--|-⌫---|-⌫---|--|---|-|---⌫|
a utreseust atainz	-⌫----|---|-----|
etliualezne sestpas	-|-|----|-||--|--|
deretornerasonmanoir	-|-------||--|-----|
osameredola ntet noir	|-|---|----⌫-|-|---|
auoit locuerpors ad e more	----|-|---|--|-⌫|-⌫-⌫---|
mais gran t i oieoten icele	---|----⌫|-⌫--|-|-|----|
qu elelouit	-|--|-|--|
celerla ioiequ eleenot	----|-|---|-|--|-|-|
sicomemer e	-|---|---⌫|
q uimout aime	-⌫-|---|---|
c or tcontre lui et	-⌫--⌫|-----|--|-|
silocla ime	-|-|---⌫--|
biaxf ilz biax f i lzplus de	---|-⌫--|---|-⌫-⌫-|---|-|
biaxfilzmouta es té dest roi t	---|---|---||--⌫--|----⌫---⌫|
mescuerspo ruostredemo ree	--|----|--⌫|-----|----⌫--|
deduelaiestéacor ee	-|---|-|----|----⌫-|
si quepar pou mo rten e sui	-|--|--|--|--⌫--|-⌫|--|
o auezuo stant esté hui	|---|--⌫|---|----|--|
oumadamei el uosdi rai	-|-|---|-⌫||--|--⌫--|
queiace rtesn	--|-|--⌫---||
enmentirai	-|-------|
ai moutgrantioie	-|---|----|---|
dune choseq ueia i u eu e	|--|----|-⌫-||-⌫|-⌫--⌫|
mesoliezuosdire	-|-----|--|---|
que liangre de u	--|-|----|--⌫|
nostresire	-----|---|
sontsi t r esbel c	---|-|-⌫-⌫-|--||
onques n atur e	-----|-⌫----⌫|
nefistta ntbe lecriature	-|---|--⌫-|--⌫-|-------|
n elm onde	|-|-⌫---|
natantbelerien	||---|---|---|
bi axfilz encorlodi iebien	--⌫-|---|----|-|-|-|---|
dis poruoir etdiancore	--|--|---|-|-|-----|
taisiezmen ne	------||-|-|
bel es chos esdo mont	---⌫-|----⌫-|-|---|
lagaste forestuont	-|----|-----|---|
ilsontplusbelsicom iecuit	-|---|---|--|-|--|-|---|
siengletuit	-|----|---|
lamerea ntre sesbrazle p rent	-|---|-⌫---|--|---|-|-⌫---|
bia xfilzditeleadeuterent	---⌫|---|--|--||--|-|---|
que mo utaigrantpoo rdetoi	--|--⌫-|-|----|---⌫|-|--|
tu asueu sico m iecroi	-|-|--|-|--⌫|-|---|
lesangresd omla	--|-----|-⌫-|-|
gentseplaignen t	---|-|--------⌫|
qu i ocient qanqu ilatai gnent	--⌫|-----|----|-|----⌫----|
non ai uoirmerenonainon	--|-|---|---|--|-|--|
cheualier dientquil	--------|----|-|-|
lameresepaumeace lm ot	-|---|-|----||--⌫|-⌫-|
qantcheualiern om erl i ot	---|--------|-⌫--⌫-|-⌫|-|
etqa ntelefuredrecie	-|--⌫-|--|-|-------|
si ditcommfamecor rocie	-|--|---|---|---⌫----|
halass eco m	-|----⌫|--⌫|
suimalbaill ie	--|--------⌫-|
b iaxchierf ilz decheualerie	-⌫--|----|-⌫--|-|---------|
uoscuido ieiesigarder	--|-----⌫-|-|-|-----|
q ue ia nen	-⌫-|-||-|
oisiez parle r	-----|-----⌫|
neianule n	-|-|--|-⌫|
coneussiez	---------|
cheualierestredeusiez	--------|----|------|
biaxfilzs eda melde upleust	---|---|-⌫|--⌫-----⌫|-----|
que uostr epereuoseus t	--|-----⌫|---|--|---⌫|
ga rdé e t	--⌫---|-⌫|
uoz aut resamis	--|---⌫--|---|
notcheualier	|-|--------|
desi hautpris	-|-|---|---|
ento tesl esillesd emer	-|--⌫--|-⌫-|----|-⌫|--|
dece me puis ie b ienuanter	-|-|-|---|-|-⌫--|-----|
tantredoténetantcremu	---|------|-|---|----|
biaxfilzcomuostreperesfu	---|---|--|-----|----|-|
decheezde rien	------|-|---|
de s on linage ne del mien	-|-⌫-|-----|-|--|---|
car iesuidecheuali ersnee	--|-|--|-|-------⌫--|--|
desmeil lorsdecestecontree	--|----⌫---|-|----|------|
de mernotlinag e	-|--||-|-----⌫|
meillordelmi enamonaage	------|--|--⌫-||--|---|
maislimeillor sontdec heu	---|-|------|---|---⌫--|
plusorsleus	------|---|
que lesmescheances	--|--|----------|
aspreu dome squisemaintienent	-|----⌫----⌫|--|-|----------|
eng ran tenor	-|-⌫---⌫|---|
etenproesce	-|-|------|
ma uu estiezhon teneparesce	--⌫--⌫-----|---⌫-|-|------|
nedechietpas	-|------|--|
q uelenepuet	-⌫|--|-|---|
maisles b oens decheoirestuet	---|--|-⌫---|-------|-----|
uo strepere	--⌫---|---|
sinel sauez	-|-||----|
fupa rmila hanche naurez	-|--⌫--|-|-----|-----|
si q ueilmah aigna delcors	-|-⌫-|-|---⌫----|--|---|
ses gra nzterres	--|---⌫-|-----|
s o ngrant tresor	-⌫-⌫|----|-----|
queilau o it com richesh om	--|-|--⌫-⌫-|--|-----|-⌫-|
a lato za per ditiom	-⌫-|--⌫||---⌫-----|
s i chai engrant	-⌫|---|-|----|
apouriet heserité	-----|-|--------|
etessi llié f u rentat ort	-|----⌫----|-⌫-⌫---||-⌫--|
lipreudome enpressam ort	-|-------|-----|-|-⌫--|
uderpandagronqui	------------|--|
etper esleboen roi artu	-|---⌫-|-|---|--|---|
lesterres furent essillies	--|-----|-----|--------|
etlesboenes genz auillies	-|--|-----|---|-------|
sisen fuiquifui rpot	-||-|--|--|---⌫|--|
uostrepere	-----|---|
ce stmanoiro t	--⌫-|-----|-⌫|
ici enceste forestgaste	--|-|----|-----|----|
nepo t fuir mesagran t haste	-|--⌫|---|--||----⌫|----|
enli tiereaporterse fist	-|--⌫----|------|-|---|
ail l ors fui st	---⌫-⌫--|---⌫-|
etuo squi p etizes t ie z	-|--⌫|--|-⌫---|--⌫-⌫--⌫|
biax fre res auiez	---|---⌫--|----|
petizestiezal aitanz	----|-----|--⌫-----|
n auiez pas pl us	|----|--|--⌫-|
auroideca u alonala	-|--|-|--⌫-⌫---|--|
li ain znezettantseruila	-|---⌫---|-|---|----|||
que che u alier sfuadobez	--|---⌫-⌫-----⌫|-|-----|
etliautre squi	-|-|-----⌫|--|
puis funez	---|-|--|
fuauroib a ndegongaret	-|-|--|-⌫-⌫|-|-------|
anun ioramdui li	-|-|--|----|-|
adobéetcheua l ier furent	-----|-|-----⌫-⌫--|-----|
eten zziormeis mesmu rent	-|-|-|--|----⌫--|--⌫---|
porreuenira lorrepere	--|------||--|-----|
que ioie meu oloientfe re	--|---|-|-⌫------|--⌫-|
etlor pere qu ipuisnesuit	-|--|---|--⌫|---||-|--|
