oeztrestuitunnouauc onte	--|-------|-|----|-⌫---|
ou t bric hilde parmoltgrantpo igne	--⌫|----⌫----|--|---|----|--⌫---|
lafilleauroichuz de	-|----|-|--|---|-|
sessoi g ne	------⌫-⌫-|
celeout yyfilz desons eignor	---|--|-|---|-|--|-⌫-----|
fl oi resfutlinon s a ugreignor	--⌫--⌫--|--|-|---⌫|-⌫|-------|
qui sain tmartin puisengendra	--|----⌫|-----|---|-------|
h ilg r i ns al autreet	-⌫---⌫-⌫-⌫-|||----|-|
li r oisnomméd onons onpere	-|-⌫--|-----|-⌫|--|-⌫-|---|
aumer cil duidesrainfre re	----|--|--|------|---⌫-|
ontpuise ngendré d eyytoses	--|---|-⌫-------|-⌫|-|----|
lesyydormanz	--|-|------|
q uilorespouses	-⌫-|--|-------|
estoientloresalo rguise	-------|----||--⌫|----|
do rmantenu neyglise	--⌫----|-|-⌫-|-----|
gisentamermoustier sanz	-----||----------|---|
p oi est homatorsqu i n i aille	-⌫-|--|--||---|--⌫|||----|
qu antuetaup ardon	--⌫--|--|-|-⌫----|
en pasq uou r	-|----⌫---⌫|
a mamatirem e nacour	|-|-----||-⌫|----|
quartropya e ncora	---|---|||-⌫---||
li rois floir es f ists on	-|---|-----⌫-|-⌫--|-⌫-|
r eaumeasadeui se	-⌫----||-|----⌫-|
tantq uep ar co nuoitise	---|-⌫-|-⌫-|--⌫-------|
l a max im iensenuai	||---⌫--⌫---|----|
ettuitsihommel onttrai	-|---|-|----||--|---|
quenzzsoenchas t ell	-|-|-|---|----⌫-⌫-||
o utassi s	-⌫-|----⌫|
li emperier esquiassi s	-|--------⌫-|--|----⌫|
estoitauplusbeauleudomonde	-----|-|---|---|--|-|----|
cl oset acaint	--⌫-|-|-----|
demu rsetd efossezplain sd eue	-|--⌫-|-|-⌫|-----|-----⌫||--|
liemperierestotsedesue	-|---------|--|-|----|
q ueilne poutlechas teauprendre	-⌫-|-|-|---|-|----⌫---|------|
etiur a quil les	-|---⌫|-|-|--|
f erapendre	-⌫--|-----|
seille chasteaune li rendent	-|-|-|-------|-|-|------|
etcildedenzbien	-|--|-----|---|
sedeffen dent	-|------⌫---|
tantqueparpo o r	---|--|--|--⌫-⌫|
s ere ndenta lem pereo r	-⌫|--⌫----|||--⌫-----⌫|
sauueslormembre setlo r uie	-----|--|------⌫|-|--⌫|--|
li emperierestanto stlie	-|---------|-----⌫-|--|
l eroietsesfre res ensemble	-⌫|--|-|--|---⌫--|-------|
silesenuoiece	-|--|-----|-|
arommea dyoclicien	|----||---------|
chartreetenfort lien	------|-|-|---|---|
les comma nda	--|-----⌫--|
ma int enantmetre	--⌫---⌫----|----|
desor emeuueilentremetre	--|--⌫|-|----|---------|
de conter com furent de li ure	-|-----|--|-----|--⌫--⌫--|
dyoclic i ens u itqueuiur e	-------⌫-⌫--|-⌫-|--|----⌫|
ne porroitpas li	-|------|--|-|
sil i ma ndaque se par chartre	-|-⌫|--⌫--|--|-|--|------|
toutlerea u me	---|-|---⌫-⌫-|
de hong rie que	-|----⌫--|--|
il quité ot	-|-----|-|
auant queilfustem	-----⌫--|-|---|-|
etilfust t oz iorz mes	-|-|---|-⌫-|---|--|
dela r ent etot so naage	-|-|-⌫---⌫|--|--⌫|---|
et lichasteauetli homma ge	-|-|-------|-|-|-----⌫-|
alempi ereremainsissont	||----⌫--|------------|
a insi lui et	-⌫---|--|-|
ceu squ olui so n t	---⌫|-||--|--⌫-⌫|
t oz ense mble deliuerroit	-⌫-|----⌫---|----------|
ne que s isfilzroisne	-|--|-⌫-|---|---|-|
for squepreuoztan t solem ent	---⌫---|-----|---⌫|-----⌫--|
einsifut feitmesleidement	----|--|---|--|--------|
enmor utp uiset a	-|---⌫-|-⌫--|-||
g r anthon te	-⌫-⌫--|---⌫-|
m aximienssicomlen conte	-⌫-------|-|--|--|----|
floires li roisson	------|-|---|--|
au boen co stent inqui	-|---|--⌫-----⌫-|--|
apres ceus yyque uo usoe z	----|---|-|--|--⌫-|--⌫|
floireslienfensmoltl oez	------|-|-----|---|-⌫--|
futd e trestous ceus	--|-⌫|-------|---|
desa bonteacort	-|-|----|----|
al empe riere	||----⌫----|
seue niecebele	---|----|---|
ata ntostal enfant donne e	|--⌫----|||-----|-----⌫|
cheua lierlefistetl	-----⌫---|-|---|-||
li cai nstetchauca l esperon	-|---⌫--|-|-----||------|
pr e u os tlefistp lusneferon	--⌫-⌫-⌫--⌫|-|---|-⌫--|-|----|
contec ommentilla to rna	----|-⌫-----|-||-⌫--⌫--|
floi r esmaintenan ts	----⌫-⌫-|---------⌫||
a sonp ere et sa	|--|-⌫--|-|-|
fame emmeinne	---|-------|
liroisfloires grantioie	-|---|------|----|---|
quantillauoit	----|-|-|---|
etsachiezbienquelen auo i t	-|------|---|-|--||---⌫-⌫|
oson sei gn or g ueres	|--|---⌫--⌫-|-⌫----|
quant zzenfanta conceu	----|-|-----||-----|
que floiresfistnommer lipe res	--|------|---|-----|-|--⌫--|
cil enfesnefupas li	--|----|-|-|--|-|
deso npais neleplusu is	-|--⌫|---|-|-|---|-⌫-|
quantyyanz	----|-|--|
ot sil ifuuis	-|-|-⌫|-|--|
deustestre prin seigniez	----|----|----⌫-------|
pri nseigniezfutet	---⌫--------|--|-|
enseign iez	-------⌫--|
desaint pa ule lepreuzlenoble	-|----|--⌫--|-|----|-|----|
le uesquede	|-⌫-----|-|
costentinn oble	----------⌫---|
loreslape la	----||---⌫-|
l i enfes pasne lecela	-⌫|----|--|-|-|---|
dis tpart otepanoi ne	---⌫|--|-⌫--|-----⌫-|
d ont i l fu nez ou	-⌫--|-⌫|-|--|-|
maint e moingne	-----⌫|------|
aencoreenuneabeii e	|-----|-|--|-----⌫|
qu imolt d emainent	--⌫|---|-⌫-------|
sainteui e	-----|--⌫|
il lequesousont aseior	--⌫-----|-|---||----|
etsachiez bien que	-|------|---|--|
quedexn asquitiusque funez	--|--|-⌫-----|-----|-|--|
icist mart ins quiaunez	----|----⌫--|--|----|
aurale sanzsanz nulabatre	---|--⌫|--|---|--|-----|
y yanzety yyy	-⌫|--|-|-⌫|-|
itrouerasa nznulefaille	|------|--⌫-|---|-----|
li roisfloires asafinalle	-|---|------||-|------|
estoituenuzdontgranz	-----|----|---|----|
sesh oir s	--|-⌫---⌫|
mes sis aages	--|--|----|
nele pooitpl usen d ur e r	-|-|----|--⌫-|--⌫-⌫--⌫-⌫|
afloi ressonfilz	|----⌫--|--|---|
sa terreet	-|----|-|
sesfilz l ibailla	--|---|-⌫|-----|
f loiressesfreres quen	-⌫-----|--|-----|-|-|
haut ementet	----⌫----|-|
bien maria	---|----|
ens onpaiset puissia	-|-⌫-|---|-|---|-||
so nfilz a cons tanz amen é	--⌫|---||----⌫---|----⌫-|
qui a uoitcem e st	--|-⌫---|-||-⌫-|
uisreign é	--|-----⌫-|
empres co stentin so nb o np ere	-----|--⌫------|--⌫|-⌫-⌫|-⌫--|
costa nzq u ipreuzetuail lanz ere	-----⌫-|-⌫-⌫|----|-|----⌫---|--|
r ecut lenfa n tmoltuolentier s	-⌫---||----⌫-⌫|---|---------⌫|
ma rt i nsa	--⌫--⌫-⌫-||
biencincans	---|---|--|
emper ierecosta nz	-----⌫---|-----⌫-|
si eustilfettex	-|---|-|--|--|
mes acheuali er l adoub a	--||-------⌫-||-----⌫|
armes etcheu a letrob ea	----|-|----⌫-⌫|-|---⌫||
mart instresto ut asadeuise	----⌫--|------⌫-||-|-----|
porsabonteporso nseru ise	--|-|----|--|--⌫|----⌫--|
lalemperi eresheno re ́	|||------⌫---|----⌫--⌫|
martinsnag ueresdemore ́	------|||-⌫----|------⌫|
ainz estre torn ezen	---|--|--⌫----⌫-|-|
ilecmen a moltsainte uie	---|---⌫|---|-----|--|
tele que nzzdes	---|-|-⌫|-|--|
hermitages	---------|
sefustdonez me ssis	-|---|----|--⌫|--|
nopooit encore soff rir	||----|-----|----⌫--|
sialotto z lesio rsoffrir	-|---|--⌫|--|--⌫-|-----|
aumostieretoirlamesse	-|------|-|--|-|----|
sil arg ese stoitquepromesse	-|-⌫---⌫-|-⌫----|--|-------|
nefeist queil ne	-|----|--|-|-|
quili bail lastil	--|-|----⌫---|-|
de spendi s t	--⌫------⌫-⌫|
trestoutlau oiroth euien	-------||--⌫--|---⌫----|
mesenoe urede	--|-|--⌫--|-|
cre s tie n	---⌫-⌫---⌫|
lem e toit	-|-⌫-⌫---|
quar ilenue s toit	---|-|-|--⌫-⌫---|
lespoureset se nus es toit	--|-----|-|-|--|--⌫---|
enprison il le deliurout	-|-----|-|-|--------|
sonuiureout	--|----|--|
endemainnepensa	-------|-|----|
e tporfeiresa	-⌫|--|----|-|
z zescuier ta n tsolement	-⌫|------|--⌫-⌫|-------|
aqui maintefoi z	|--|-----|---⌫|
humblement	---------|
terd it ses	----⌫-|--|
sol l ersetosta	---⌫-⌫--|-|---|
etporsones c uiertost	-|--|--|--⌫-⌫---|---|
mai nti or le	---⌫-|-⌫-|-|
mangera presté	-----|-⌫------|
yyanza uoit qanto ut esté	-|--|-⌫---|---|-⌫-|----|
feitcheu alier s	---|----⌫-----⌫|
nou e lement	---⌫-⌫-----|
puis uint seli liures ne men t	---|---|-|-|-----|-|---⌫|
enyuerp a rmoltgrantgele e	-|---|-⌫-⌫|---|----|----⌫|
aamie nsoua encont ree	|----⌫-|-||------⌫--|
unecria turemolt n ue	--|----⌫---|---|-⌫-|
quia ce us quipa rm ila rue	--||--⌫-|--|--⌫--⌫|-|--|
pass oientaumosne	----⌫----|------|
martinsui tbien que i l	------|--⌫|---|--|-⌫|
grantbien seillia i uot	----|---|-|-|-|-⌫-⌫--|
domanteauq uau colpenduot	-|------|-⌫|-|--|----|-|
lialun emoitiepartie	-|||--⌫|-----|-----|
uoit q uines en r ie	---|-⌫-|-||-|-⌫-|
uns alautresub lé	--|||----|---⌫--|
quantille uir en tafublé	----|-|-|---⌫--⌫|------|
siuil ment d	-|---⌫---||
un manteaudemi	-|------|---|
m es maint pro dommeen otge mi	-⌫-|----|---⌫----|-|-|--⌫-|
don iln e puent autelfeire	--|-|-⌫|----|----|----|
desrobes donontmaintepere	--|----|--|--|-----|---|
lanui t apresqu ilout	-|---⌫|----|-|-|--|
nostre sires quidec efeit	-----|----|--|-|-⌫|---|
nesefumieentrob lie z	-|-|-|--|------⌫---⌫|
sestalu ides cieuxescriez	|--||--⌫|--|----|------|
martinsma einsireuestu	------|||----|------|
martinsdeuaillantzzfestu	------|-|-------|-|----|
nesen orgu eillitneuanta	-||-|----⌫-----|-|----|
ilequese rre ́tanta	------|-⌫---⌫|---||
uers le paisou ondeiez	---|-|---|-|------|
a uoit es te ́quebaptiziez	-⌫---|--⌫--⌫|--|--------|
futde saintpaulele	--|-|----|----|-|
de sonaage	-|--|---|
est o i tlasomm e	---⌫-⌫-⌫|-|----⌫|
yy ansmesdes on pere	-|--|--|-|-⌫-|---|
molt lipeso i tetde same re	---|-|----⌫-⌫|-|-|-|--⌫-|
don cil nestoientbaptizié	---⌫|-||-------|--------|
e n celtens	-⌫|--|---|
ontsi guerr oy é	--|-|-----⌫--⌫-|
sarrazins iuliancesayre	--------|-----|------|
q uedecheualierso ut af air e	-⌫-|-|---------|-⌫-|--⌫---⌫|
si lor fistmanderpar	-|--|---|-----|--|
quilue nissontlaoui l eire	-|-|--⌫------|-|-|-⌫|---|
a se s s oude es a garmaise	|--⌫|-⌫----⌫-||-------|
lafu tma r tinsa moltma l eaise	-|--⌫|--⌫-⌫---||---|--⌫-⌫|---|
quiln outcure de	-|-||--|---|-|
telso ud e e	--|--⌫--⌫-⌫|
d euanttoz lempereorpree	-⌫----|--||-------|---|
lelest aleresbatre	-|---|---|------|
car ilne l e stpas a comba t re	--|-|-|-⌫-⌫-|--||-----⌫-⌫-|
ch eualiersd euonule gent	--⌫-------|-⌫-||---|---|
sine seroit	-|-|-----|
nebeau neg ent	-|---|-|-⌫--|
me n ast p o r neentfeir e	--⌫-⌫--|-⌫-⌫|----|----⌫|
et maintefoiz	-|-----|---|
asonafeire	|--|-----|
o utestési lidoinstcon gie	-⌫-|----|-|-|-----|---⌫--|
liemperieresdist quant	-|---------|---|----|
aitot monaffeireapresté	-|--|--|------|-------|
d emo i combat re ca esté	-⌫|--⌫|------⌫-|||----|
d itdemauuesecoar dise	-⌫-|-|------|----⌫---|
cist r ep reuches formen tatise	---|-⌫--⌫------|------⌫|----|
s estem pie zle ue z	|--|-|---⌫|--⌫--⌫|
e t dists ir e se	-⌫|---|-⌫--⌫|-|
alerenbat a illedemain	---|-|---⌫-⌫---|-----|
quantia ureid emadestre ma in	----||-⌫---|-⌫|-|-----|--⌫-|
en mimonfront la cr oizpor treit e	--⌫-|--|----|-|--⌫--|---⌫-----⌫|
et ieaur oi	-|-|---⌫-|
mor oison feite	|--⌫----|----|
adeu p arqui	|--|-⌫-|--|
aitan t uescu	-|---⌫|----|
sa nzheaumepre ndre e t	--⌫-|-----|---⌫---|-⌫|
lesira ipremierenua ir	--|---⌫|------|----⌫-|
lie mperieresmoltdair	-|-⌫--------|---||--|
le fistpr endreq u ilnesenaille	-|---|--⌫----|-⌫|-|-||-|----|
uo lt q u if ust enlabataille	--⌫-|-⌫||-⌫--|-|-|-------|
premiers sicomm eil le	-------|-|----⌫|-|-|
me sd e x sans sa ncespandremist	--⌫|-⌫-⌫|---|--⌫-|-------|---|
telpaizentr eusquil serend irent	--|---|---|--|-|-|-|----⌫----|
alemperiere	||--------|
etsifiren t	-|-|-----⌫|
d otot sau o lent etrestote	-⌫|--|-|-⌫-⌫----⌫|-------|
nest mie sage	|--|--|---|
c ilquidot e	-⌫-|--|---⌫|
quedex einsi	--|--|----|
fei t neleus t	---⌫|-||---⌫|
por martin qu arsi li	--|-----|--⌫-|-|-|
nule feistp artotale r	-|-|----|-⌫-|--|---⌫|
n enulsnele p eust	-⌫|---|-|-|-⌫---|
einsi f u en	----|-⌫|-|
cheualerie	---------|
yyanz etm enasainteuie	-|--|-|-⌫--|-----|--|
puisquant saintpollot	---|----|----|--||-|
des id onc a tot reneié	--|--⌫--||--|------|
france s auoi e	-----||----⌫|
tant quapoitiersuint d roite uoie	---|-||-------|---|-⌫----|---|
auboneuesque	-|--|------|
sa int hilaire	--⌫--|------|
qui porluienseigni erafaire	--|--|--|--------⌫-||----|
dechariteleuure etle fet	-|------||----|-|-|--|
latantost essor ciste fet	||------|-----⌫----|--|
martinsifupoiarre stez	-----|||-|--|----⌫---|
enson ge am monestez	-|---⌫-|--⌫-------|
q ua lastson pereui siter	-⌫|-⌫---|--|---|--⌫----|
e ts amereetlesforsgeter	-⌫|-⌫|---|-|--|--------|
delorfoleloi sarrazin e	-|--|---|--|--------⌫|
co ngie prentet derre rnefine	--⌫---|----|-||----⌫|-|---|
il es tas alpes	-|--⌫|-|----|
i lec es tprisetdetenuz	-⌫--|--⌫|---|-|------|
de larrons et	-|------|-|
d u necoign ie	|-⌫-|-----⌫-|
f ustfer uzquantlaempoignie	-⌫--|---⌫-|----|||--------|
z z deusquile prentet	-⌫||--|--|-|----|-|
e tli dem andequil lidie	-⌫|-|---⌫---|-|-|-|--|
s e ill o n tp oint	-⌫|-||-⌫-⌫|-⌫---|
espoin té	------⌫--|
ditet conté	--|-|-----|
quedelorpe chi es esmaya	--|-|--|--⌫---⌫||-----|
de soipuis essoia	-|--|---|-----|
aula rrongeterdepech ie	-|--⌫---|----|-|----⌫-|
etlata ntil ecp reechié	-|||--⌫-|--⌫-|-⌫-------|
quilleconuert i tsanz d emore	-|-|-|-------⌫-⌫|---|-⌫----|
apa ssermelannedemore	|--⌫---|----|-|-----|
si comsichem ins li mostra	-|--|-|----⌫--|-|-----|
zzde able ilecenc ontr a	-|--⌫---|---|---⌫----⌫|
quiauo i tdommela fi gure	--|---⌫-⌫||---|-|--⌫---|
et demanda queleauenture	-|------|----|-------|
le menoitetq uil a loit	-|-----|-|-⌫|-|-⌫---|
etlemenacaque laguerre	-|-|-----|--|-|-----|
mesdode ableau ra	--|-|--⌫---|--⌫-|
iasi gardernesesau ra	-|-|-----|-|-|---⌫-|
martinquilaparole escoute	-----|--|-|-----|------|
respont que nul homenedoute	------|--|--|---|-|----|
quarihesucristaen	---|----|----||-|
quantlideables	----|-|------|
sa parolede luise part	-|-----|-|--|-|---|
etmar tins e rrecelepart	-|---⌫---|-⌫--|---|---|
du n il estoitpr imesuenu z	--⌫|-|-----|--⌫---|----⌫|
floiressis	------|--|
per esqu ichenuz	---⌫-|--⌫|-----|
estoit etuieuzquantuit uenir	-----|-|----|----|--|----|
si nesepouttenir	-|-|-|---|----|
quen plorant ioyeneli face	-|-|------|---|-|-|---|
lamere licortetlembrace	-|---|-|---|-||------|
silifontanduisi g rant	-|-|---|----|-|-⌫---|
cuitqueiamais oye	---|--|-----|--|
nul es ig rant puissarmonna	---⌫|-⌫|-⌫---|---|-------|
sameretantquil	-|---|---|-|-|
e tbaptesme etcrestiente	-⌫|-------|-|---------|
sonperea mainte f oiztent é	--|---||-----|-⌫--|----⌫-|
comment c onuertir l e	------|-⌫-------|-⌫|
mesporriensil	--|--|----|-|
ne lipleust	-|-|-----|
a changier saloinesauie	|-------|-|--|-|-|--|
siseremest	-|-|-----|
en safolie	-|-|----|
loi qui molt	--|--|---|
etmartinprecheen lacon tree	-|-----|-----|-|-|---⌫---|
la loi deuetleseuangiles	-|--|--|-|--|--------|
liprouoiredesuiles	-|-------|--|----|
do paistuitensem bleuindrent	-|---|---|-----⌫--|-------|
et demartin	-|-|-----|
lorco nseiltin drent	--|--⌫----|---⌫----|
quartuite stoientarrie n	---|---|-⌫------|-----⌫|
silont priset	-||--|---|-|
mise n l i en	--|-⌫|-⌫-⌫-|
etp uis batuet forsgité	-|-⌫--|---|-|--------|
del orterre etd elor cite	-|-⌫-|----|-|-⌫|--|---|
l orsuint martins en lombardie	-⌫--|---|------|-|--------|
ouil alanoue le oiie	-|-||-|----⌫-|---|
h eri te renoié	-⌫---⌫-|------|
orentsainthylaireenuoié	----|----|------|------|
en essil etes toit troblee	-|----|-|--⌫---|------|
sainteeglisequenlum in ee	-----|-----|-|-----⌫--⌫-|
auoitlibonscler cssain t hylaires	----|-|---|----⌫-|----⌫|-------|
d ileciusquemelann	|---|-----|----||
si se porpensa qu ili rei t	-|-|-------|-|-|-⌫---⌫|
eta t otel a	-||-⌫--|-⌫|
gentdiroi t	---|-----⌫|
c o mment i l	-⌫-⌫----|-⌫|
deuoie ntdeucrer re	------⌫-|--|----⌫-|
delaloinese uoltretrerre	-|-|--|-|-|---|-------|
po rrie nquel	--⌫|---⌫|--||
endoye a uenir	-|---|-⌫----|
il ecfistpierreet fusuenir	--⌫-|---|-----|-|--|----|
siauneyglis efo ndee	-||--|-----⌫|--⌫---|
e tlaloid i eusiessaucee	-⌫|-|--|-⌫-⌫-|-|-------|
quemoltenfist	--|---|-|---|
decrestiens	-|--------|
mais aussences unsarri ens	---|--------|--|----⌫--|
sor so n poisescout é	--|--⌫|---|------⌫-|
labienbatuetforsbouté	||---|---|-|---|-----|
lors uintal il egaulinaire	---|---|||--⌫|---------|
unsprestres c emestauiaire	--|-------|-⌫||--||-----|
quimoltestoitde sainteuie	--|---|-----|-|-----|--|
par compa ignie	--|-----⌫----|
encel ilequi	-|--|--|--|
durotauoittant dese rpe nz	----|----|---|-|--⌫---⌫-|
quenombrenen po utestr e oi z	--|-----||-|--⌫-|----⌫|--⌫|
sen est oit	|-|---⌫--|
p o rpo ourd eusetpor	-⌫-⌫|--⌫--||--|-|--|
mesilparsa	--|-|--|-|
les enfisthors trest ozfoir	--|-|---|---|-----⌫-|---|
sico m p uisnepoutle noir	-|--⌫|-⌫--|-|---|--⌫|--|
quenuluenist d uneleuiee	--|--|-----||--|-----|
u erslaborne qu	-⌫--|-|----|-|
iloutfic hie e	-|--|---⌫---⌫|
ilec men iout s anzplusracines	---|---⌫---|-⌫--|---|------|
derbeset porespi cesf ines	|----|-|--|----⌫--|-⌫---|
lauenimoseherbeeleb ore	-|-------|----|----⌫--|
ommemaintenantacoure	---|---------|-----|
quilenatan t	-|-|-||---⌫|
n equant g ousté	-⌫|----|-⌫-----|
tant enme niaquetrop	---|-|--⌫--|--|---|
li a quarparpoi n enperit	-||---|--|--||-|----|
mesnostre sirelimerit	--|-----|---|-|----|
cequoutlemontpo rlui despit	-|-|--|-|---|--⌫|--|-----|
silen gari sanz	-||-|---|---|
nulres pit	--|---⌫--|
desainthylaire	-|----|------|
quiuenoitd essil si ala	--|-----||----|-|--|
a rommealuimes	|----||--|--|
genzas sez	---|--⌫--|
li distrentquoutreestoit passez	-|-------|-|----|-----|-----|
p ar ilequesnen auoi t gaire	-⌫-|------||-|----⌫|----|
lorssem ist m artinsenrepaire	---|-|-⌫--|-⌫-----|-|------|
uerspoit ououaler	---|----⌫-|-|---|
eue squeu e nirl euoit	---⌫---|-⌫-⌫--|-⌫|---|
enoutqu arm oltla mout	-|--|--⌫-|-⌫--||-⌫---|
encor safameetsa fille out	----|-|---|-|-|----|--|
sai nzhylaires quidoncmorirent	---⌫-|-------|-|----|-------|
parlapriere queil	--|-|-----|--|-|
martinsquil emontdespit	------|--|-⌫|---|-----|
ilecaligli sefond a	---|||----⌫-|----⌫|
zz mostierdonioicon ter	-|------|--||-|---⌫--|
quesainthy l airei dutchanter	--|----|--⌫-⌫---||--|------|
et martinsqui led euoitsu iure	-|------|--|-|-⌫----|--⌫---|
deuoitporterapr es sonl iure	-----|-----|---⌫-|--|-⌫---|
mesacelef oizl oublia	--||---|-⌫--||-----|
sonl iure demandé lia	--|-⌫---|-------|-||
leuesqu e q ui sereuestoit	|------⌫|-⌫-|-|--------|
cilquiobli ezs	--|--|----⌫-||
tantostpor	------|--|
le querresesleisse	-|-----||-------|
mesde xqui l ass ernelelesse	--|--⌫|--|-⌫---⌫-|-|-|----|
quen luit ropse	-|-|--|-⌫--|-|
par zzang reen uoie ́ lia	--|-|---⌫-|--⌫----⌫|-||
ileque stoztenssei orna	------⌫|--|---|---⌫---|
m artin stan tq u alisetorna	-⌫-----⌫|---⌫|-⌫||-|-|----|
unshonsquiniertqueon deiez	--|---|--||---|--|--⌫----|
quiporestre mieuzaueiez	--|--|----|----|-----|
de sacr eance ifu tuenuz	-|-|--⌫----||--⌫|----|
mes dunefieurefutenuz	--||--|-----|-|----|
si f ort quemorir lencou int	-|-⌫--|--|----||-|---⌫--|
q uantmartindep reechier uint	-⌫---|-----|-|-⌫-------|---|
en merueilleetm oltl en	-|--------|-|-⌫--||-|
lagen t quiplo remo ltsaquo ise	-|---⌫|--|---⌫-|--⌫-||----⌫--|
mes il afaittoutau	--|-||---|---|-|
quillesmis t toz fors de	-|-|--|---⌫|--|---|-|
et se lsremesto l	-|--⌫-|-----|||
o mmemo rt	-⌫--|--⌫-|
puispriadeutantquedemort	---|---|--|---|--|-|---|
legita etli dona uie	-|---|-|-|---|--|
cil quiont	--|--|--|
lanou ele oiie	-|---⌫--|---|
sesbahi ss ent eti	|------⌫--⌫--|-||
die uenl oentet puisennorent	---⌫|-|-⌫---|-|---|-------|
m artinmesil n outdece c ure	-⌫----|--|-||--|-|-|-⌫--|
limorz lorcontes auenture	-|---|--|----||-------|
comilfu morz etpuismenez	--|-|-|---|-|---|----|
deu antdieueten char trenez	---⌫--|---|-|--⌫----⌫-----|
dutestreen chartre mol t o bscure	--|----|-|------|---⌫|-⌫-----|
lors uind ren tmolt gr antaleure	---|----⌫---⌫|---|--⌫--|-----|
duiangre iusquedeuant de	--|----|-----|-----|-|
quilidis tre nt que de ma nd é	--|-|---⌫---⌫-|--|--⌫--⌫--⌫-|
lauoitma rtinspargrant	|----|--⌫----|--|----|
s i uoltdexqueporteear rie re	-⌫|---|--|--|-----|--⌫---⌫-|
fust lameencorsetdedenz mise	---||--|-|---|-|-----|---|
desquemartinl auoitre quise	-----|-----||----|--⌫----|
lage ntquilotmolt se	-|--⌫-|--||-|---|-|
etcil mainte na nts	-|--|------⌫--⌫-||
dosaintbapt esme rec euoir	-|----|----⌫---|---⌫----|
se l bapti za	-||-----⌫-|
mart indeuo ir	----⌫-|-|--⌫-|
etu esq uit	-|-⌫---⌫--|
puismoltsai nt ement	---|---|---⌫--⌫----|
t oziorzi usqua s on fin ement	-⌫-|---|-⌫---||-⌫-|---⌫----|
c hie s zzprodome	-⌫---⌫|-|------|
i lecdelez	-⌫--|----|
quilupiensfu t apel ez	--|------|--⌫|----⌫-|
