carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
lire isma rsilieout su n	-|--⌫-|--⌫-----|--|--⌫|
cunseillfin ét	-------|---⌫--|
sin apelat clarin deb ala guet	-||-----|-----|-|-⌫---⌫---|
estam arineeudropinsunper	-----⌫---||-------|--|--|
epriamune guarlanlebarbé t	|------||------|-|------⌫|
e machiner e sun uncle maheu	|-------||--|----|----|
m albiendul tremer	-⌫-----||--⌫-----|
eblancandrinsporlaraisuncunter	|-----------|--|-|-----|-----|
desplusfeluns disenadapelez	--|---|-----|--|-|-|-----|
seignurs baru n s	-------|----⌫-⌫|
acarl emagn esirez	|----⌫-----⌫-|---|
a cor dreslac i tet	|---⌫---|-|-⌫-⌫--|
branches doli ues	-------||---⌫--|
en uozmain spo r te rez	-|--|----⌫|--⌫-⌫--⌫--|
co sene fiet paise humilitet	-|----⌫---|---||--------|
paruozsa uei rssem	--|--|--⌫---⌫-|-||
puezacor der	---|----⌫--|
iouosd ur r ai oreargentasez	-|--|-⌫--⌫-⌫-|-||-----|---|
teresefieztantcum	----||---|---|--|
uosen uuldrez	--|-|------|
dient paiende coauun nusasez	----|----|-|-|---|--|---|
lirei s marsilieoutfi nétsu ncu nseill	-|---⌫|-------|--|--⌫---|--⌫|--⌫-----|
dist aseshumesseignursuos en	---||--|----|-------|--|-|
br anchesd	--⌫-----||
oliueen uozmainsportereiz	----|-|--|----|--------|
sime direzacarlemagne le re i	-|-|----||---------|-|--⌫|
pu rle soendeuqu i l ait	--⌫|-|---|--|-|-⌫|--|
mercit demei	-----|-|--|
ia einz neuerratpas ser c es t	-|---|-|-----|---⌫--|-⌫--⌫|
premer me i s	-----|--⌫-⌫|
q ue ielsiuraiodmil	-⌫-|-||-----|-|--|
demes fe de ilz	-|--|--⌫--⌫--|
sirec euraila chres ti en e lei	-|---⌫----|-|-----⌫--⌫--⌫|--|
seraiseshomp ar	----|--|--|-⌫-|
amureparfeid	---||--|---|
silu oeltostagesile nauratpar ueir	|-|-⌫---|------|-|-⌫|----|--|---|
di stblancan drins	--⌫-|-------⌫----|
multbonpla itenaureiz	---|--|---⌫-|-|-----|
disbla n chesmules fist amene rmarsilies	--|---⌫-⌫---|----|---|-----⌫|--------|
q uelitramist	-⌫-|-|------|
lirei s desuatilie	-|---⌫|-|-------|
lifrei nsuntd	-|----⌫|---||
or lesselesd argentmi ses	-|--|----||-----|--⌫--|
cilsuntmuntezkil emessage fi rent	--|---|-----|-|-⌫|------|--⌫---|
enzenlu rma ins portentbranchesdoliu e	--|-|--⌫|--⌫--|------|-------||----⌫|
ui ndre ntacharles ki francead enbaillie	--⌫----⌫-||------|-|-----|-|-|------|
nespoet garder quealquesne lengi gnent	-||---|-----|--|-----|-||----⌫----|
liempere res	-|------⌫--|
cor dres ad	---⌫---|-|
lesmur speceie z	--|---⌫|------⌫|
odses cadable slestur s enabatied	-|--|-------⌫|--|---⌫|-|------|
m ultgrant	-⌫--|----|
eschech enu n tsi cheualer	------|-|-⌫-⌫|-|-------|
do r edarge nt ede guarnemenzc hers	|-⌫|||----⌫-||-|---------|-⌫---|
enlacitetnen	-|-|----||-|
a dremespa ien	-⌫|----|--⌫--|
nesei tocis udeuientchrestien	-|---⌫|---||------|--------|
liem p er erese stenungrantu erg er	-|--⌫-⌫--⌫---|-⌫-|-|-|----|-⌫---⌫-|
ensemblodluirollant e oliuer	------|-|--|------||-----|
sans unli duxe	----⌫-|-|--||
gefreidd aniou lereigunf anuner	------||----|-|--|----⌫-----|
esiifur ent e gerine	|-||---⌫--||----||
laucistfurentdesaltres	-||---|-----|--|-----|
de dulcefrance i	-|----|-----||
ad quinzemilliers	-|-----|-------|
surpaliesb lancss iedentcilce ualer	--|-----|-⌫----|-⌫-----|--|--⌫----|
astablesiuentpurelsesban eier	-|-----|----|--|--|-----⌫---|
easeschecsl iplussaiueeli	|-|------|-⌫|---|----||-|
eescremis sentcilbachelerleger	|--------⌫---|--|-------|----|
desuzunpi n	----|-|--⌫|
delezun e g lenter	----|-|-⌫-⌫-----|
unfald esto edi unt faitt ut	-|----⌫----⌫-||--|---|-⌫-|
lasietli r eiskidulcefr ance	-|---|-|-⌫--|-|----|--⌫---|
blan chead	----⌫--|-|
tut flu ritlechief	--|---⌫--|-|----|
gen tadlecorse la cuntenanc efier	---⌫|-|-|---||-|---------⌫|---|
sestkil demandetnelestoet ens ei gner	|--|-||-------|-||-----|---⌫--⌫---|
e limessagedescend irentapied	|-|------|-------⌫----||---|
silsaluerentparamur eparbien	-||--------|--|---||--|---|
blan ca ndrinsad tutpreme reinsparléd	----⌫--⌫-----|-|--|-----⌫----|------|
al r eisaluétse iez dedeu	-|-⌫-|------|--⌫--|-|--|
le glo riusqueaurer	-|---⌫---|--|----|
i couusmandet re ism a rsil ie slibers	-⌫-|--|-----|--⌫-|-⌫-⌫----⌫--⌫|-|---|
enquisad multl alei	-----|-|---|-⌫|--|
desaluetez	-|-------|
aueiru osuoe lt	----|-⌫-|---⌫-|
urseleunseueltres	--||----||------|
encha ignez	-----⌫----|
set cenzcameilze mil	--|---|------||--|
ho stursmue z	--⌫----|---⌫|
d oredargent y y cenz	|-|||-----|-⌫|---|
mulstrus sez	---|----⌫--|
cinquantecareque	--------|---|--|
c ari e r en	-⌫---⌫-⌫|-|
au rat d ebesa nz	--⌫--|-⌫|----⌫-|
dunt bienpurrez	---|---|-----|
uozsoldeiers luer	--|--------|---|
paisauezestétasez	---|---|-----|---|
en franceada is deuezbien	-|-----|-|-⌫-|----|---|
la uos si uratcoditmisauoez	-|--|--⌫---|-|--|--|----|
liempererest ent	-|--------|-⌫--|
sesmains ue rsdeu	--|----|--⌫-|--|
baissetsunchefsicum ence t a penser	------|--|---|-|---⌫----⌫||-----|
liempererese n tintsunchefenclin	-|--------|-⌫|---|--|---|-----|
des aparo lene futmi ehastifs	-|-⌫|----⌫-|-|--|--⌫|------|
sacustume estquilparolet a le i si r	-|------|--|-|-|------||--⌫-⌫--⌫|
quant seredrecet mult	----|-|-------|---|
paroutfierlu ui s	--|--|---|-|--⌫|
distasmessages uus a uez multbendit	---|-|-------|--|-⌫--|---|--|--|
lireismars ili ese stm ultmis	-|---|----⌫---⌫-|-⌫-|-⌫--|--|
decezparole squeu osauez cid it	-|--|------⌫|--|-⌫-|---|-|-⌫-|
enquel m esureenpu rr a iestre fiz	-|---|-⌫----|-|--⌫--⌫-⌫|----|--|
uoet parhostagesco	---|--|-------|-|
sarrazin s	--------⌫|
d u nt uosau rezu disuquinzeu	-⌫-⌫-|--|--⌫--||--||-----||
nu m d eocire i metrai unm ienfilz	--⌫|-⌫|----||-----|-|-⌫--|---|
e sinaurezcoquid de	|-||----|-|---|-|
plus gentils	---|------|
q u antuusserezelpalaiss eignurill	-⌫-⌫--|--|----|-|-----|-⌫--------|
a lagran tfeste seint mi cheldelperil	|-|----⌫|----|----|--⌫---|--|----|
mis auoezlauossiuratco d it	--|----|-|--|-----|-|-⌫-|
enzenuoz ba inzqu edeus pur uos	--|-|--|--⌫--|--⌫|---|--|--|
lauuldrat ilchrestiensdeuenir	-|------|-|---------|------|
ch a rl esres puntun co re purrat gu arir	--⌫-⌫--⌫-|---⌫---|--⌫--⌫-|-----|--⌫---|
bel sfut l iuespre seli s o l eilz fut cler	---⌫|--|-⌫|------⌫||-|-⌫-⌫-⌫---|--|---|
lesdis mulez fai tcharles establer	--|--|----|---⌫|------|-------|
el gra ntu erger	-|---⌫-|-⌫----|
faitlireistendre untref	---|-|---|-----|-|---|
l es dism essages adfaitenz	-⌫-|--|-⌫------|-|---|--|
yyserianzles un t b iencunreez	-|------|--|--⌫|-⌫--|------|
l a noitdemurenttresque uintal	-⌫|---|-------|------|---|-|
liempereresest parmatin	-|--------|--|--|----|
matines adlireis escultét	------|-|-|---|--------|
desuzunpinenest	----|-|--|-|--|
l i reisa lez	-⌫|---|-⌫--|
se sbar uns mandetpursuncuns eill finer	--⌫|---⌫--|-----|--|--|----⌫---|----|
p ar celsdef ran ce uoelt i ldeltut	-⌫-|---|-|-⌫---⌫-|----|-⌫|--|--|
liemperes senuaitdesuzunpin	-|------||-|---|----|-|--|
sesbar uns m ande tpur	--|---⌫--|-⌫----⌫|--|
suncun se i llfenir	--|---⌫--⌫-⌫-|----|
leducogerel arceuesquetu rpin	-|--|---|||---------|--⌫---|
uels esun hen ri	---||--|---⌫-|
edegas c uigne li p roz quen s	|-|---⌫-⌫----|-|-⌫--|----⌫|
tedbald dereinsemilunsun cusin	------|-|----||----|--|----|
e sii furente	|-||-----||
gerersegerin	-----||----|
en s e mblodelsliquensrollantiui nt	--⌫-⌫-⌫--|-|--|-|----|------||--⌫-|
e oliuerli proze ligentilz	|-----|-|---||-|------|
desfra ncsdefranceeniadplus	--|---⌫--|-|-----|-||-|---|
guenesi uint ki	-----||---|-|
lat raisunfist	-|-⌫-----|---|
desore cum encetl e cunseillquemal	--|--|---⌫----|-⌫|-------|--|--|
se ig nursba r onsdi st	--⌫--⌫---|--⌫-⌫--|--⌫-|
l iempe rer e ca rles	-⌫|----⌫---⌫|--⌫---|
li reismarsiliema dtram isses messages	-|---|-------||-⌫|----⌫-|--|-------|
desunauei rme	-|--|----⌫|-|
uoeltdunergra ntmass e	----|----|---⌫-|----⌫|
u rsel eunseu elt re scaeignables	-⌫-||-⌫---||-⌫---⌫--⌫|----------|
set c e nzca me i lzemil hostursmuables	--|-⌫-⌫-|--⌫--⌫-⌫-||--|------|------|
quat recenzmulzcargezdel ord ara be	----⌫-|---|---|-----|-||-||---⌫-|
auoec ico plusde	----|--|---|-|
cinquant ecare	--------⌫|---|
maisilmemandetqueenfranc eme n	---|-|-|-----|--|-|-----⌫||-⌫|
ilmesiu r atad ai sa mu nestage	-|-|---⌫-⌫-|-|--⌫||--⌫|-----|
si receurat la	-|-------|-|
nostreleiplus salue	-----|--|---|----|
chrestiensert d e meitendratses	---------|--|-⌫|--|------|--|
ne sai quelsenestsis curage s	-|--|----|-|--|--|------⌫|
dient fran ceisil	----|----⌫---|-|
nusicuuentguarde	--||-----|-----|
li emp erere sout	-|---⌫-----⌫|--|
sa raisun fenie	-|-----|----|
li quensrollant	-|----|------|
ki n elotrie tmie	-|-⌫||-----⌫|--|
en piezsedrecets iliuintc u ntredire	-|---|-|-----|-⌫|-|---|-⌫-⌫-------|
ildistalrei iamarcrer ezmar s i lie	-|---|-|--|-|--|----⌫-|---⌫-⌫-⌫--|
setanzpleins qu een	--|--|-----|--⌫|-|
espaigneuenimes	-------|------|
iouos cun quise	-|--|---⌫---||
c ommible s	-⌫-------⌫|
prisaiualterne e lateredepine	---|-|-------||-|---|-|---|
ebal asg uedetueleesezilie	|---⌫---⌫--||----||------|
lireismarsil ieifi st mu ltquetraitre	-|---|------⌫-||--⌫-|--⌫-|--|------|
chancunsportoutunebranche d	-------|------|--|------||
nuncerent uo s cez pa ro les	--------|--⌫|--|--⌫--⌫--|
auosfra nceisu ncunseill en pres is tes	|--|---⌫----|-⌫|-------|-|----⌫--⌫--|
loeren t uosal ques delegerie	------⌫|--|--⌫---|-|------|
cu nt es al	--⌫--⌫-|-|
paientram esis tes	----|----⌫----⌫--|
lunfutbasanelialtresbasil ie s	|-|--|----||-|-----|-----⌫--⌫|
lesch efen p ristes	--|--⌫-|-|-⌫---|-|
puisdesuzha ltilie	---|----|--⌫-----|
fa itesl a cum uoslauezenpr i se	--⌫---|-⌫|--|--||---|----⌫-⌫-|
en sarra gucemenez uostre ostbanie	-|-----⌫---|----|-----|--|----|
met ez lesege atuteuostreuie	---⌫-|-|---||---|-----|--|
siuengezcelsque lifelsfist ocire	-|-----|---|--|-|---|---|----|
liempereentintsunchef enbrunc	-|-----|-|---|--|---|------|
sabarb e afait ad su ngernun	-|----⌫|-----⌫-|--⌫|-----|
neben nemalner espu ntsun neuuld	-|--|-|--|-|-⌫----⌫-|--|-----|
franceissetaisent nema isqueguenelun	-------|-|------|-|--⌫-|--|-------|
enpiezsedrec et si	-|---|-|----⌫-|-|
uintde uantcar lun	---|--⌫---|---⌫--|
multfierement cume ncetsaraisun	---|--------|----⌫---|-|-----|
edist al rei	|---|-|--|
i amarcrerezbricun	-⌫|--|-----|-----|
nemeinealtre sede	-|--|-|----|-|-|
uostr ep rodnun	-----⌫|-⌫--|--|
quant couos mandetlireismars iliun	----|-|--|-----|-|---|----⌫----|
qu il deuendrat	-|-|--------|
iointe s sesmainstis hom	------⌫|--|----|--|--|
etuteesp aignetend ratpar uostre dun	|---|---⌫----|----⌫--|--|-----|--|
puisrece urat la lei quenustenum	---|----⌫---|-|--|--|--|----|
kico uo slodet	-|-|--⌫|----|
quecest plait	--|---|----|
degetu n s	------⌫-⌫|
nelicha l tsiredeque lmort	-|-|---⌫-⌫|---|-|---⌫|---|
nusmuriuns	--|------|
cunseill d	-------||
or guillnest	--⌫----||--|
plus m unt	---|-⌫--|
la issunlesfolsa s	--⌫----|--|---|-⌫|
sagesnustenuns	----|--|-----|
apresic oi	----|--⌫||
estne imesuenud	--|--⌫---|----|
meilloruassalnaueitenla	------|-----||----|-|-|
reibe n l auezentendud	--|--⌫||---|-------|
quensc ouus	----|-⌫|--|
ad respond ud	-|-------⌫-|
a d mais quil	-⌫|---|-|-|
seiten tendu d	---|--⌫-----⌫|
mars ilie e st degu ere uen cu d	----⌫---|-⌫-|-|--⌫--|---⌫--⌫|
uo sliauez tuz	--⌫|-|---|--|
sesca ste lstoluz	--|--⌫---⌫-|----|
od uoscaables a uezfruise ́t sesmu rs	-|--|------|-⌫--|------⌫-|--|--⌫-|
sescitez ars eseseshu mes uencuz	--|----|---⌫-||--|--⌫--|-----|
qu anti l uos mandetquaiez mercit de lui	--⌫--|-⌫|--|-----|-|---|-----|-|--|
pecche t fereit kidunc	------⌫|-----|-|---|
li fesistplu s	-|-----|---⌫|
u paro stageuosuoelt	|--|-⌫----|--|----|
fairesours	----|----|
ceste grantguerre nede itmunter aplus	----|----|-----|-|--⌫-|-----||---|
d ientf rance isben	-⌫---|-⌫-----⌫-|--|
adparlét lidux	-|------|-|--|
s eign u rsba run s quiienueieruns	-⌫----⌫-⌫-|--⌫---⌫|--||---------|
en sarraguce alr ei marsiliuns	-|--------|-|-⌫-|---------|
respuntdux neime sioira iparuostre dun	------|--|-----⌫|-|---⌫|--|-----|--|
l iure z menore	-⌫----⌫||-|--|
le gu ante le ba stun	-|--⌫--||-|--⌫---|
respuntli reis uo s	------|-|---|--⌫|
es te s sai ueshom	--⌫--⌫|---⌫--|--|
parcestebarbee	--|----|----||
men gernun	--|-----|
uosnire z pasuande meisiluign	--||---⌫|--|--|-|--|-|----|
alezse d eir quantnulsneuussu mu nt	---|--⌫-⌫--|----|---|-|--|--⌫--⌫-|
seignursbarunsqui i purr uns en u eier	-------|-----|--||----⌫--|--⌫-⌫---|
alsarrazi nki sarraguceti ent	-|-------⌫|-|--------|--⌫--|
respuntrollant i oipuisalermult	------|------|-⌫||---|---|---|
nu ferezcertesdistli quensoliuer	||----|-----|---|-|----|-----|
uostre cur ages est	-----|---⌫---|--|
mul tpesmesefiers	---⌫|-----||----|
io mecrendreie queuosuos meslisez	-|-|--------|--|--|--|-------|
se lireis uoeltioi puis	-|-|---|----|-||---|
respuntlireisambdui	------|-|---|-----|
uos e n taisez	--|-⌫|-----|
ne uos neil n	-|--|-|-||
iporterezlespiez	|-------|--|---|
par ce ste barbe queueez	--|--⌫--|----|--|---|
liduze per marise run ti ugez	-|---|--|--||--⌫---⌫|-⌫---|
fra nceiss etai sent	---⌫----|-⌫|---⌫---|
asle suusaquisez	-|--⌫|--|------|
turpin sde reinse n estleuétdelrenc	------⌫|-|----|-⌫|--|-----|--|---|
edistalreilaisezesteruozfrancs	|---|-|--|-----|----|--|-----|
enc estp a is aue zestét set	-|-⌫--|-⌫-⌫-|---⌫|-----|--|
multunt oud epe inese ahans	---|--|--||--⌫---||----|
sirelebastune leg uant	---|-|-----||-|-⌫---|
alsara zine nespaig ne	-|----⌫--|-⌫|------⌫-|
uedeiralques desunsemblant	-----|-----|-|--|-------|
liemperer es respun tpa rmaltalant	-|-------⌫-|------⌫|--⌫|--------|
alezsede irdesurcelpali e blanc	---|----⌫-|----|--|----⌫|----|
n enparlez maisse ioneluos	|-|-----|---|-|-|-||--|
francscheualersdist liemperere carle s	-----|--------|---|-|-------|-----⌫|
c ar me s lisez un ba run de	-⌫-||-⌫-⌫----|-|--⌫--|-|
marsiliun me port a stmunmess age	--------|-|----⌫-⌫-|--|----⌫--|
ro llant coertgue nesm is pa ras tre	--⌫----|-|--|---⌫--|-⌫-|--⌫---⌫--|
dient franceiscaril lepoet ben	----|-------|--|-|-|---|--|
le s sezni tram etr ez plus	--⌫-⌫--|||----⌫---⌫-|---|
quensguen esen fut mult	----|----⌫-|-|--|---|
anguisables	----------|
de s uncol getetsesgra ndespelsde	-|-⌫-|--|----|--|---⌫---|---|-|
ees t remesen	|--⌫|----|-|
uai rsou temultfie rl uu isage	---⌫-|--⌫||---|---⌫|-⌫|-⌫----|
gentout lec ors	---|--|-|-⌫--|
e lescostezoutlarges	|--|-----|--|-----|
tantp ar fut bels	---|-⌫-|--|---|
tuitsi perlen esgua rdent	---|-|--||-|-----⌫----|
distarollant tutfolpurqueitesrages	---||------|--|--|------||------|
cos et homb enq ue	-|-⌫-|--|-⌫-|-⌫-|
io sui tis para stre s	-|--|--|----⌫----⌫|
sias iugétqu a	-|-|-----|-||
marsiliumen alge	--------|-|---|
sedeuscodunetque iode la	-|---|-|----|--|-|-|-|
iotenmuu raunsigrant	-||-|---⌫-|-|-|----|
kidurerat atrestuttun edag e	-|------||------|--|----⌫|
respunt ro llantorgoilloi e	------|--⌫----|------|-||
co set homben	-|--|--|--|
naicure de manace	|-|---|-|-----|
saiu esh o mildeit faire	----⌫-|-⌫-⌫|-|---|----|
r eisu o eltprezsuipor uus leface	-⌫--|-⌫-⌫--|---|--|--|--|-|---|
guenesrespun t pur mein i rastu	-----|------⌫|--|--||-⌫--|-|
ies mes hom neio ne suit issir e	--|--|--|-|-|-|--|-⌫-|---⌫|
carles comandet quefacesun seruise	-----|-------|--|---|--|------|
ensarragu ceeniraiamarsilie	-|-------⌫-|-|---||-------|
einz iun poi	---||-|--|
qu e ione scl air c estem ei e granti re	--⌫|-||-⌫---⌫--|-⌫---|-⌫--⌫|----|-⌫-|
quantlotrollan tsicumencat	----||-|------⌫|-|-------|
qua ntcoueitguene sq ueoresen	---⌫-|-|---|-----⌫|-⌫-|--||-|
ri t rol lant	--⌫|---⌫---|
duncad teldoelpur	---|-|--|---|--|
poidirene fe nt	--||--|-|--⌫-|
abenpetitqueil	|--|----|--|-|
ne pertle sens	-|---|-|---|
edita lcunte io	|--|-⌫|----|-|
a uezturnétfals	-⌫--|------|---|
dreizemperereueizm e cienpresent	----|-------|---|-⌫|-|-|------|
ademplir uoeilluos trecomandem e nt	-------|-----|---⌫--|--------⌫-⌫-|
en sar ragucesaibenaler mestoet	-|---⌫-----|--|--|---||-----|
uaitrepair er ne sen poet	---|------⌫-|-||-|---|
en s urquetutsi aii o	--⌫-⌫-------|-|-|-⌫|
u ostresoer	-⌫----|---|
unfi lz iaplusbels n e n	-|--⌫-|-|---|---||-⌫|
coes tbaldewincodit ki	-|--⌫|-------|-|--|-|
ertprozdoem	--|-------|
aluilaisiomeshonurs	|--|---|-|--|-----|
em esfieus	|-⌫-|----|
guardezlebenia	------|-|--|-|
ne l uerr ai des	-||----⌫-|--|
carlesrespunt	-----|------|
tro auezte ndre coer	--|---|--⌫---|---|
puisquel c omanta ler uu s	------||-⌫----|-⌫--|--⌫|
codistlire is	-|---|-|--⌫-|
gue nesu enezauan t	---⌫--|-⌫---|----⌫|
sireceuezlebastun e	-|------|-|-----||
lu g uan t	-|-⌫---⌫|
auez suruos	---|--|--|
leiugentfranc	-|-----|----|
siredistguen escoadtut faitr ollan t	---|---|----⌫-|-|-|--|---|-⌫-----⌫|
nelamera i atrestut mun	-||-----⌫||------|--|
n e oliuer	-⌫|-----|
porcoquilest	--|-|-|-|--|
sic u mpain z	-|-⌫-⌫-----⌫|
liduzeperp or qu	-|---|--|-⌫-|-|
desfi les ci sire uos tre ueiant	----|--|-|---|---⌫--|-----|
codistlireistro pauezm altalant	-|---|-|---|---⌫|---|-⌫-------|
or i rezuosce rt esquant iolc u mant	-|-⌫--|--|--⌫--⌫-|----|-||-⌫-⌫---|
pui sal er m ai sniauraiguarant	---⌫|--⌫-|-⌫--⌫|||----|------|
outb asiliesne sisfrere sbasant	--|-⌫------|-|--|-----⌫|-----|
lie mpe reresl itent s un gua nt le	-|-⌫---⌫----|-⌫|---|-⌫-|---⌫-|-|
mais li quens guenes iloec	---|-|----|-----|----|
neuolsist es tre	-|------|--⌫--|
quantl e d u t prend resi licaita	----|-⌫|-⌫-⌫|-----⌫-|-|-|---||
di entfranceisdeus quepurrat c o	--⌫--|-------|---|--|-----|-⌫|
dec estmessagenosauen dratgrant perte	-|-⌫--|------|--|----⌫---|----|----|
seignu rsdis tguenesuosen	------⌫-|---⌫|-----|--|-|
orreznouel es	----|-----⌫-|
sired istguenes dunezme i	---|-⌫--|-----|----|--⌫|
l e cungied	-⌫|------|
qua ntalerdein	---⌫-|---|--||
plusque targer	---|--|-----|
co dist lir eisalihesu	-|---|-|-⌫--|-|----|
desa mai n des trela dasolse	-|-|---⌫|---⌫--||-⌫|----||
pu isli l iuratle bas tu n el e	--⌫-|-|-⌫----|-|---⌫--⌫||-⌫|
g uenes liquens s en uaitasun	-⌫----|-|----||-|---||--|
deguarnemenzse	-|---------|-|
pren t a c unreer	----⌫||-⌫-----|
de sesmeillors queilpoutrecuurer	-|--|-------|--|-|---|-------|
es perunsdor aden sespiezf ermez	--⌫-----||-|-|-|--|---|-⌫----|
ceintmurglies sespeeasun	----|-------||----||--|
e ntachebrunsu n destrerestm untéd	-⌫|--------|--⌫|------|--|-⌫-----|
l estre ulitint su nuncleguinemer	|-----⌫|-|---|--⌫|----|-------|
laueisez tantcheualerp lore r	-|-----|---|-------|-⌫----⌫|
kituitli di ent tantma ref ustes ber	-|---|-|--⌫--|---|--⌫-|-⌫----|--|
e ncor talrei	-⌫|---⌫|-|--|
mult iauezestéd	---||---|-----|
nob leuass aluosisolthom clamer	---⌫-|----⌫-|--||---|--|-----|
kicoiugat que dousezaler	-|-|----|--|-----|---|
parcharlemagne	--|----------|
n guariz nete nsez	|-----|-|--⌫---|
li quens r ol lantnelse dou st penser	-|----|-⌫--⌫---|-||-|---⌫-|-----|
queestrait	--|------|
estes demultgrantpare nted	----|-|---|----|----⌫---|
e np resli	-⌫--⌫--|-|
dientsire carnosmenez	----|---|--|--|----|
core spunt	-|--⌫----|
gue nesn eplac etdamnedeu	---⌫--|-⌫|----⌫-|-------|
quesulmoergequetantbon cheualer	--|--|-----|--|---|--|-------|
