quiparoleauroipesche or	--|-----|-|--|------⌫-|
ha dolssire faitpercheuau s	-|---|---|---|---------⌫|
orm editesseiam	-|-⌫|----|-|-||
serare faitene	---|--⌫----|-|
li pr eudo mli res po n t	-|--⌫----⌫|-|---⌫--⌫-⌫|
cilquile fistset le	--|--|-|---|--|-|
parcoi eleest bri sieet fraite	--|--|--|--|---⌫--|-|-----|
p ortezli siserarefaite	-⌫----|-|-|---|------|
nusautresn e nue nroita chief	--|-----||-⌫|--⌫----||----|
lipre udo mli distderech ief	-|---⌫---⌫|-|---|-|----⌫--|
p oiiluecestoi	-⌫-|----|----|
etie reuenrai tost atoi	-|-|-------|---||--|
telchosetedonraipartans	--|----|-|-----|--|---|
dontmieuste rtnenso iesdoutans	---|----||-⌫-||-|--⌫--|------|
caria idetoimolt g ra nt p ite	--||-⌫|-|--|---|-⌫--⌫-|-⌫--|
don tsenuanapas aresté	---⌫||-|-|||--|------|
maismolt tostreuin t a le	---|---|---|-----⌫||-|
etaueclu i	-|---|--⌫|
unbriefap o rte	-|----|--⌫-⌫--|
petitroont t ota com pas	----|----|-⌫-||---⌫--|
il samb lebien qu eneslepas	-|----⌫-|---|-|--------|
eneus tli uteeste ́	-|---⌫|--⌫--|----⌫|
e nuolsistentre metre	-⌫|------|-----⌫----|
del lireet en	--|---|-|-|
s osfrist ahan	-⌫------|---|
qued uien cest	--||-|-|---|
nar oit i lpas	|--⌫--|-⌫|--|
contrui tl e	-------⌫|-⌫|
sont limot	---|-|--|
moltbr i ef	---|--⌫-⌫-|
lipre udomuintque pl us n	-|---⌫---|---|--|--⌫-||
percheuallebriefte nt	--------|-|----|--⌫-|
uassaldist	-----|---|
ilsoiez to z fis	-|----|--⌫|--|
q ueia neserezdes con fis	-⌫-|-|-|----|---⌫---⌫--|
par ane mine	--|---⌫-|-|
ne nushom tan t	-|--|--|---⌫|
so it desceus	--⌫-|------|
neforsdusenssil a	-|---|-|---||-||
est endu pardes orsonchief	---⌫---|--|---⌫-|--|----|
qu etantostnesoitenson sens	--⌫|------|-|---|-|--|---|
maisga rd ezqueparnulassens	---|--⌫--⌫-|--|--|--|-----|
ne soitp ortezen liumaluais	-|---|-⌫----|-|--|------|
uassa ltu nesezou	-----⌫|-|-|--|-|
tu uasquerant chosetant sainte	-|--|------|----|---|-----|
iertat ainte	---|--⌫----|
s iln estiu stesdetozpechiez	|-||--|--⌫---|-|--|------|
ettuenesmolten techiez	-|-|-|-|---|--⌫------|
si tediraienbone	-|-|----|-|---|
que s en toiauoittantde	--||-|--|----|---|-|
comeest u n speti s gra insdesel	---|--|-⌫-⌫|----⌫|---⌫--|-|--|
quetupo rroies unetel	--|-|--⌫-----|-|-|-|
sauoiret fair e totsans force	-----|-|----⌫|--|---|----|
ma isl imaluais d e nient s es forc e	--⌫-|-⌫|------|-⌫|----||--⌫----⌫|
q uilcui de	-⌫|-|---⌫-|
ioie cele stre	---|----⌫---|
uen irpar laioie terr estre	---⌫-|--|-|---|----⌫----|
n e porgrantprisnepor	-⌫|--|----|---|-|--|
p or hardemen tne	-⌫-|--------⌫|-|
porri c hece	--|--⌫-⌫---|
n e nil cene puetauenir	-⌫-⌫--|-|-|---|-----|
qui lpuist	-|-⌫|----|
alagloire uenir	|-|-----|----|
quenous aron sal iu gement	--|---|----⌫|-|--⌫-----|
perche ua ustout apertemen t	------⌫--⌫-|---|---------⌫|
aueu pa ra disterrestre	|--|--⌫--⌫--|--------|
dec estui arons le celestre	-|-⌫----|----|-|-------|
la ou lagloire estsitres	-|-|-|-----|--|-|---|
b iendoitestrech asc unsengr ans	-⌫--|---|----|--⌫---⌫--|----⌫--|
deconque r relaioiefine	-|------⌫-⌫-|-|---|---|
quitostansdur e	--|--|---|---⌫|
ua tenttu nen	-||--|-||-|
saras plusore	----|---|--|
mai saies le brief enmemo re	---⌫|---|-|----|-|----⌫-|
que i aidon é atoi	--||-|---⌫-||--|
atante s telrepai riermis	|---|-⌫-⌫|-|-----⌫---|--|
quantpercheuausescouté ot	----|---------|-------|-|
ceque lipreudo m	-|--|-|------⌫|
en samai ntint lebrief	-|-|---⌫|---|-|----|
unepiec hedeschire etron t	--|----⌫-|-------|-|---⌫|
desacote a	-|-|---||
armer de soie	----|-|---|
distpe r c h euauso u q ue iesoie	---|--⌫-⌫-⌫-⌫----|-⌫|-⌫-|-|---|
de chi p artis le pende rai	-|--|-⌫----|-|-----⌫--|
a m onc olplus	|-⌫-|-⌫-|---|
nat ender ai	|--⌫-----⌫-|
s i come ildistfisterranment	-⌫|---|-|---|---|--------|
puisare prisi snelement	---||--⌫---|-⌫--------|
lesp iecesdesa bon e espee	--|-⌫----|-|-|---⌫|----|
chasc unea	-----⌫--||
elfuerreboutee	-|-----|-----|
lec hiefdesoncheual	-|-⌫---|-|--|-----|
atantse n pa rtderrers	|---||-⌫|--⌫-||----||
preg rant al eure	--|-⌫---|--⌫---|
il gard epar auenture	-|----⌫|--|-------|
arriereluima ispasn	------|--|--⌫-|--||
le c l os quor ains ueuauoi t	-|-⌫-⌫-|-|--⌫---|--|----⌫|
etsin au oit pas unea rchie	-|-||--⌫--|--|--|-⌫----|
encor esau oie e sploitie	-----⌫|-|-⌫--|-⌫-------|
siniu oitri e nf o rsterreplaine	-|||-⌫--|--⌫-⌫|-⌫-⌫-|----|-----|
d es rer moltdure mentse	|--⌫--|---|----⌫---|-|
grantaleure par lepree	----|-----|--|-|---|
tantque par deuantla uespree	---|--|--|-----|-|------|
issiforsdelapraer i e	---|---|-|-|-----⌫-⌫|
terreplaine etgaaigne rie	----|-----|-|-------⌫--|
uittrop b eleetbel gaaignage	--|---|-⌫--|-|--|--------|
dune partsontlilaborage	|--|---|---|-|-------|
etli uignob leet lesriuieres	-|-|------⌫-|-|--|-------|
etu ilesde	-|-⌫---|-|
pluisorsm anieres	-------|-⌫------|
quidegente stoientpueplees	--|-|---|-⌫------|-------|
gransrichecesmueblee s	----|-------|-------⌫|
perc heuausmolts en	----⌫-----|---||-|
esmerueille	----------|
faitil ie uo imerueil l e	---|-|-|--⌫|-------⌫-⌫|
dont ied oibien estreesbahis	---|-|-⌫-|---|----|------|
hersoir quant u in genc estpais	------|----|-⌫--⌫|-|-⌫--|---|
ui cest pais gas teetdesert	-|---|---|---⌫-|-|-----|
or leu oide tout biencouert	-|-|-⌫-|-|---|---|-----|
t outensipercheuau sde uise	-⌫--|---|---------⌫|--⌫---|
deu antluiesgardesi uise	---⌫--|--|------|-|---|
lech ief dune torquernele e	-|--⌫--||--|--|--------⌫|
deusc enzpie zhaute et cent fu lee	---|-⌫--|---⌫|----|-|---|-|--|
dale zun uiuierestassise	----⌫|-|-----|--|-----|
elchief d unehautefali se	-|----||--|----|----⌫-|
unbail edemu rote nt ou r	-|----⌫|-|--⌫|-|-⌫--⌫--⌫|
maintebe letour	-----|--⌫-|---|
maintebe lesale	-----|--⌫-|---|
ie quitquedusquesentesale	-|---|--|------|-|-----|
ch astel mius	--⌫----|---|
sozlecha stel almie n pense	--|-|---⌫---|-|---⌫|----|
au oituileque sitresnoble	--⌫--|---|--|-|---|----|
n auoit dus quen constantinobl e	|----|---⌫-|-|-------------⌫|
mieusaesieneplusb el e	----|----|-|---|-⌫--⌫|
uneriui ere molt i snele	--|----⌫--|---|-⌫----|
cor oitdesozune	---⌫--|----|--|
porta nt q ueon ques enmaui e	-----⌫-|-⌫-|--⌫---|-|-|--⌫|
parlerdausig a illa rde	-----||---|-⌫-⌫----⌫--|
perch euaus da ut repart	-----⌫----||-⌫--⌫-|---|
uitunmanoir dedensle	--|-|-----|-----|-|
onquesenro mansne	-----|-|--⌫---|-|
n oiparle rdesiplaissant	|-|-----⌫|-|-|--------|
p er cheuausuoit un paisan t	-⌫--⌫------|---|-|------⌫|
quib l ese nmeenunecouture	--|-⌫-⌫|--⌫--|-|--|------|
enuersl uienuient adroiture	-----|-⌫-|-|----||-------|
silidem ande molt	-|-|---⌫---|---|
q uisires estde cel ch astel	-⌫-|----|--|-|--|--⌫----|
lipaisansli	-|------|-|
respon t sire	------⌫|---|
a lez ichascun suousdesire	-⌫--||-------⌫|---|-----|
moltfe ronttoutde uousgran t f est e	---|--⌫---|---|-|---|----⌫|-⌫---⌫|
a tantse nu aplu s	-⌫---||-⌫|-⌫|---⌫|
nesare st e	-||---⌫--⌫|
percheuau slepreudomelaisse	---------⌫|-|-------|-----|
etchascunsdelchas tel	-|-------|--|----⌫--|
sesla iss e	|----⌫---⌫|
afair eioie quantleuirent	|----⌫|---|----|-|-----|
ettouta len con tr e li	-|---|||--⌫---⌫--⌫|-|
a crois etapor ces si ons	|----|-||---⌫---⌫--⌫--|
etdisoienten lorrais ons	-|-------|-|--|----⌫--|
sirequinousauez	---|--|---|---|
lesbie ns queauiensperdus	--|---⌫-|--|-----|-----|
maistantauezfait et	---|---|---|---|-|
que paruousauons	--|--|---|----|
lesoeu reset lespraeries	--|---⌫--|-|--|-------|
l e sbiensetles ga aigneries	-⌫-⌫|----|-|--|--⌫--------|
ettrestozlesbienstemp oraus	-|------|--|----|----⌫----|
a grantioiefup erc heuau s	|----|---|-|-⌫---⌫-----⌫|
menezelchas telh ebergier	----|-|----⌫--|-⌫-------|
ne sambl oien tmie b regier	-|-----⌫----⌫|--|-⌫-----|
cilqu ipor luidesar me r u inr ent	--|--⌫|--|--|-----⌫--⌫|-⌫---⌫--|
molt sontlie cil	---|---|--|--|
qui iauinre nt	--||------⌫-|
qua nt desar me ́	---⌫-|-----⌫--⌫|
lontbi enetbel	|--|--⌫-|-|--|
roubeu airecoteetmantel	----|-⌫---|---|-|-----|
liaportaune puce le	-|-----|--|----⌫-|
quimolt estoitbele	--|---|-----|---|
caintureetalmosni er eriche	-------|-|-------⌫--⌫|----|
etfremai ldor dont	-|------⌫||-|---|
arich es pierresdeuertu	|----⌫-|------|-|----|
elroialmele roiartu	-|------|-|--|---|
n auoitplusbelho me remez	|----|---|--|--⌫-|----|
deluiquantilfu	-|--|----|-|-|
nequitant fusthardisnefo rs	-|--|---|---|-----|-|--⌫-|
dunecamb re fors	|--|----⌫-|---|
uneda me maisain c nature	--|--⌫-|---|---⌫|-----|
nef istplusbelecreat ure	-|-⌫--|---|---|-----⌫--|
ne plu ssagen e	-|---⌫|---|-⌫|
mius aprise	---|-----|
sicon li contesle de uise	-|--|-|-----|-|--⌫---|
gen teertde cors	---⌫-|--|-|---|
simp ledeuis	----⌫-|-|--|
sele biauteuousen d eui s	-|-|-----|---|-|-⌫---⌫|
neu ousa nuit aescou ter	-|-⌫--|-⌫---||-----⌫--|
car a dro itle uouswel	--||---⌫-|-|---|--|
grans estet	----|--|-|
cointe etiouenete	-----|-|-------|
dr o ite etbie n faiteunpoi crassete	--⌫-⌫--|-|---⌫|----|-|--|-------|
e spaullesbrascosteza drois	-⌫-------|---|-----||----|
les flansa le	--|----||-|
raisonestrois	-----|------|
lesrainslargetes pardelit	--|----|-------|--|----|
pormiu s sosfrirle iu	--|---⌫|------|-|-|
lesbrasl ons etroons	--|---|-⌫--|-|----|
le s do isl onset petitesmains	--⌫|--⌫-|-⌫--|-|------|----|
mais delabiautedeson chie f	---|-|-|-----|-|--|----⌫|
nepor roieuenira	-|---⌫---|----||
a rac ontersi con ie quit	|---⌫----|-|--|-|---|
plusestoientluisantdor quit	---|-------|------||-|---|
tan testoie nt sor	---⌫|------⌫-|--|
cesamblo ientestrefild	-|------⌫---|----|--||
otplusbl ancduneno is	-|---|--⌫--||--|--⌫-|
o rneuo ussamblem ie	-⌫|-|--⌫-|-----|-⌫-|
seieuous endiueri te	-|-|---|-|-|----⌫-|
qu etoutelepropriete	--⌫|----|-|--------|
uous dirai siconie saimieus	---|----|-|--|-|--|----|
brunes sorcisot etuairsoeus	-----|-----|-|-|----|---|
gros furent etsimpleetriant	---|-----|-|-----|-|----|
uermeille fri ant	--------|---⌫--|
nezotbienf ait	--|-|---|-⌫--|
a sozha idier	|-----⌫----|
ienepuiss auoir	-|-|---|-⌫----|
c on peu stplusbele	|-|---⌫-|---|---|
carnatureporesproue r	--|-----|--|-------⌫|
sonsensim istsonpoo irtot	--|---||-⌫--|--|---⌫-|--|
lac olourleuis	-|-⌫----|-|--|
sanz redout	---|-----|
fumi l ta nsmiusenlu mine e	-|--⌫|--⌫-|---|----⌫----⌫|
queroseenmai la matine e	--|---|-|--|-|------⌫|
li blansestmellésel uermeil	-|----|--|------|-|------|
si bienquet ozm en	-|---|--|-⌫-||-|
esm erueil	---⌫-----|
natur e s enesme rueill a	-----⌫||-|----⌫------⌫|
quiali forme rtraueilla	--||-|-----⌫|--------|
uoirs es t mieneuousmento n	----|--⌫|--|-|---|-----⌫|
ma isdirep uis	--⌫-|---|-⌫--|
deso n menton	-|--⌫|-----|
estoit toz	-----|--|
limieusfa is	-|----|--⌫-|
qui ainc fustpar disneparfa is	--|---|---|--|--|-|--|--⌫-|
lagorgea uoit	-|----|-⌫---|
b eleetpolie	-⌫--|-|----|
molt m emellai	---|-⌫|-----|
degrantfolie	-|----|----|
quanta lide uiser empri s	----||-|--⌫----|-----⌫|
seiauoie ce nt tansa pr is	-||----|--⌫-|---|-⌫--⌫-|
n en diroiepas lamoitie	|-|-----|--|-|-----|
se iauoie tan t esploitié	-||----|---⌫|---------|
direuous puis ab one estri ne	---|---|---||-⌫--|-----⌫-|
quel a blanchordesap oitri ne	--|-⌫|-------|-|-|-⌫-----⌫-|
tot es autres outrer	---⌫-|-----|-----|
bienf u faitepor	---|-⌫|----|--|
e ncontrer	-⌫-------|
careleauoitlesmameletes	--|--|----|--|--------|
dureset unp etit grossetes	----|-|-|-⌫---|--------|
etque uautch ehomt er rie ns	-|--|---|--⌫|--|-⌫--⌫---⌫-|
neuiton quesplusbele riens	-|--|--⌫---|---|---|----|
uestue fudedeus samis	-----|-|-|---|----|
lunuertetuermeilsi	|-|---|-|------|-|
ch iefu nchapelet	--⌫--|-⌫|-------|
quin estoit miedebo net	--||-----|--|-|--⌫--|
il estoi t moltetbuen setbiaus	-|-----⌫|---|-|----⌫|-|----|
desusau oitdeus li onciaus	----|--⌫--|---|--⌫------|
lap ucele otnonescolasse	-|-⌫----|-|--|--------|
