#META #TextURIBenT roieC	-----⌫|------|----⌫----|
#META#DEAFhttp//www.dea f-page.de/ bibl/bib99b.php#BenT roieC	-----|---|-------------⌫----------⌫--------------------⌫----|
#META# TL Troie	-----|-|----|
#META# FEW	-----|--|
#META# AR LIMA http s//www.arlima.net/ad/benoit_de_sain te-maure. html#tro	-----|--⌫---|----⌫-----------------------------------⌫---------⌫-------|
#META#Aut hor	-----|---⌫--|
Qua rantepui to tparegual	---⌫----|--|--⌫|--|----|
Resont quiseient principal	-----|--|-----|--------|
Plusor emaint	-----||----|
en sontassez	-|---|----|
Maisn en estt r aite au toritez	---||-|--|-⌫-⌫---|--⌫------|
Ne n enf uladescrip c i on	-||-|-⌫|-|-------⌫-⌫-⌫-|
Nemaisd equara nte	-|---|-⌫|-----⌫--|
Les prouincesfuren tcontees	--|--------|-----⌫|------|
P ageu04P004	-⌫---------|
Ea seisanted isnombrees	||-------|-⌫-|-------|
Sacheizqueplus n	------|--|---||
en itrouer ent	-||------⌫--|
Ci lq uipa rtot	--⌫|-⌫-|--⌫|--|
lemont alerent.	-|---|-------|
Es treisparties deuisees	-|----|------|-------|
Queariere uosso ntcontees—	--|-----|--|--⌫-|------||
Ço estencele	--|--|-|---|
Eenicele d	|-|----||
Occi d ent	----⌫-⌫--|
E enS ep ten trion—tro uerent	|-|-⌫--⌫---⌫----||---⌫-----|
Si su inz e	--⌫|-⌫--||
cinc genze nombrere nt.	---|---||--------⌫--|
E nlapar tiedeMidi	-⌫|-|---⌫--|-|---|
Nepotestre	-|--|----|
Des genz nulediuersité	--|---|---|---------|
Porle grantchaut	--|-|----|----|
d es mesuré	-⌫--⌫------|
de serz porle s uermines	--⌫---|--|--⌫|-------|
Granzorribleseserp entines	----|-------||----⌫------|
Ni oserentlespiez porter	||------|--|---|-----|
Onc n elor	--|-⌫|--|
uintnesenpenser.	---|--|-|------|
distren t rien	-------⌫|---|
neilneporent	-|-|-|-----|
Quaroncla uerite ́nens orent.	---|--|-|------⌫||-|-⌫-----|
Seio fuss eau qu esleisa n tis	-|-|----⌫|--⌫--⌫-|-----⌫-⌫--|
Pageu04P005	----------|
Dre iz fuste	---⌫-|---||
b iens çomesta	-⌫---|--||--||
Qu e c est es terres uosno masse	--⌫|-⌫---⌫-|-----|--|--⌫----|
Equele s ch osesdeuisasse	|--|--⌫|--⌫---|--------|
Don tciest faitemencion	---⌫|-|--|----|------|
Ma isnesto r lieusne nepoon	--⌫-||--|-⌫|----|-|-|---|
Tropgrant estu ide icoue ndreit	---|----|----⌫--||----⌫-----|
Quidetrestotpa rler uoudreit.	--|-|------|--⌫---|--------|
Tantp aren	---|-⌫-|-|
es tg rantlamatir e	--⌫|-⌫---|-|-----⌫|
Q uequi lcot nen ce reit a dire	-⌫-|---⌫|---⌫---⌫--⌫---||---|
Neser eit passempresa	-|---⌫--|--|------||
Tropic ou en dreitparchemin.	---||-⌫--⌫--⌫----|---------|
Icic ouientqueio	--|-⌫-----|--|-|
aue ir puis e lieu eaise	---⌫-|---||---||---|
Telueureu oudraie mb racie r	--|----|-⌫-----|-⌫--⌫-----⌫|
E enuaïr e comencie r	|------||--------⌫|
Quen tot lemo n tn aurapartie	-|-|--|-|--⌫-⌫||---|-----|
Ouqu eleseitqueione	-|-|--|---|--|-|-|
Quelest comgrantec ornbienti ent	---|--|--|----||-⌫--|---|--⌫--|
Pageu 04P006	-----⌫-----|
Nequili anequ iauient	-|-|-|||-|-||-----|
Quelna tureont li e lemen t	---|--⌫---|--|-|-⌫-----⌫|
Quellescontreesque llagen t.	---|--|-------|---⌫|-|---⌫-|
Quaço sofis t biennost reengenz.	-||--|-----⌫|---|----⌫-|------|
En lap arti ed Oriënt	-|-|-⌫----⌫||------|
Donti oparlaipre m ie reme nt	---|-⌫|-----|---⌫-⌫--⌫----⌫-|
As oluitmersc estCasp ion	|-⌫-|--|---||--|----⌫--|
E lautremarePersicon	||----|---|-------|
Latierce a non	-|-----||--|
çomesta uis	--||--||--|
Adr e it merTiberiadis	|--⌫-⌫-|--|---------|
La quart e rapelent	-|-----⌫|-------|
Parnonl amerAlphatenès	--|--|-⌫|--|----------|
ElaquintemareRubro n	|-|-----|---|-----⌫|
Lasistemer Arabicon	-|----|--|-------|
La se tm emer	-|--⌫--⌫|--|
anon Caphorte	|--|-------|
P ageu04P007	-⌫---------|
EPoi tme apel ent lam er Morte .	|---⌫--|----⌫--|-|-⌫-|-----⌫|
Icilaureitasseza f air e	---|-----|----||-⌫---⌫|
Quibien uoud r eitdire	--|---|----⌫-⌫--|---|
eretr aire	|----⌫---|
Cor ne elessontelesmanie res	---⌫-|---|---||--|-----⌫--|
Ne dontelessont plus	-|---|---|---|---|
plenieres .	---------⌫|
Nu efislesra	--⌫-|----|-|
enOrie ̈nt	-|----⌫--|
Ento te snuefconuersentge nt.	-|--⌫--⌫|---|---------|--⌫--|
Ipopodès lapluslointaine	--------|-|---|--------|
Enapelentla premeraine	-|------|-|---------|
Taprobane c	--------||
estPautre après	--|-----|-----|
Quedousit anzestgra indreemais	--|---|--⌫--|--|---⌫----||---|
anon Elephantine	|--|----------|
Maintechie reespeceamecine	-----|----⌫-|-----||-----|
Cr ei st en li buene epreciose	--⌫--⌫-|-|-|----||-------|
Pageu04P008	----------|
Laquarteisle ra	-|-----|---|-|
non Th erose	--|--⌫----|
ChipreRodeCither ea	-----|---|------⌫-|
C retelagrant	-⌫---|-|----|
eCarphata.	|--------|
Quilesmerueillesuosdi reit	--|--|---------|--|--⌫---|
Q u esisle s son t	-⌫|-|----⌫|---⌫|
quel omi ueit	--||-||---|
Afortchosele	|---|----|-|
t endriëz	-⌫-------|
Rientantuolentiers n	---|---|---------||
Setpuis iracestCaucasus	--|---||-||--|-------|
Sina CametèsLibanus	---|-------|------|
Armenius monz	-------|---|
Elisetmes mon zCas ians.	|-|-----|---⌫|---⌫----|
Quidireitlesdescripcions	--|-----|--|-----------|
Enqueusli ̂eus	-|----|--⌫---|
nenqueus regions	|-|----|------|
Pageu 04P009	-----⌫-----|
Ilsontnequeus fl u e uesicort	-|---|-|----|--⌫-⌫-⌫--||---|
Li queuse nn aistliqueu sens ort	-|----|-⌫|-⌫---|-|----⌫|-|-⌫--|
Comeil s ont hautc om bie nil	---|-|-⌫--|---|-⌫-|---⌫|-|
granz c hosesia uienent	----|-⌫----||-⌫------|
A grantmerueilleuosuendreit	|----|--------|--|-------|
Comfait ementço au endreit.	--|----⌫----|--|--⌫-------|
EnicezlieusOr iëntaus	-|---|----|--⌫-------|
uintedousflueues princ ipaus	---||---|------|-----⌫----|
Sigo t one	----⌫-⌫-||
The rioclès	---⌫-------|
ExosCametèsSigota	---|-------|-----|
Eüf r ate ̀seCarmanta	----⌫-⌫---⌫-||-------|
Ar me diu scestlinouains	--⌫--⌫---⌫||--|-|------|
Quidema intemer ueille est pleins	--|-|--⌫---|---⌫-----|--|-----|
Su se Cort aceeYdaspès	--⌫-|----⌫--||-------|
Crisor aslitrezainsap rès	------⌫-|-|-------|--⌫---|
Pag eu04P010	---⌫-------|
Di ap a git e ePactolus	--⌫--⌫-⌫---⌫||-------|
Al ibota eTaxius	--⌫----||-----|
EleüzereAzon is	-------||----⌫-|
uint ainsanon Tigris	----⌫---||--|-----|
C riso sIord anscestleder ier .	-⌫----⌫|----⌫--||--|-|---⌫---⌫|
Qui so r icezuo udreittraiti er	--|--⌫|---|--⌫-----|------⌫-|
Ediredequeus	|---|-|----|
l ieus iluienent	-⌫---|-|------|
Neenqueus lieus	-|-|----|----|
il s e deti en ent	-|-⌫|----⌫--⌫--|
Queus uiles sontso r	----|----|---|--⌫|
Ne dequeusregnessont de uises	-|-|----|-----|---|--⌫----|
q u ont iprent	-⌫|--||----|
Biensa i deueircertainement	---|--⌫|-|---|-----------|
Queuolentier si enten drei ent	--|---------⌫||-----⌫----⌫--|
Cilqu i retrai relem orre ie n t.	--|--⌫|------⌫-|-||----⌫--⌫-⌫-|
En ce stOriental partie	-|--⌫-|-------|-----|
Deçoner edotonsnos	-|--|-|-⌫------|--|
Pageu04P 0 11	--------⌫-⌫-|
Atreize proui ncescont ees	|-----|-----⌫---|----⌫--|
Oëz cor nee l s sontdeuisees.	---|---⌫-|-⌫-⌫|---|--------|
PerseInd e Isaure eAzonis	----|---⌫|-----||-----|
Laquinte Sineçomestu is	-|-----|---|--||--|-⌫-|
Lasisteanon Apame na	-|----||--|-----⌫-|
Lau treMes op otamia	|--⌫--|---⌫--⌫-----|
PheniceAssireCommaci ne	------|-----|-------⌫-|
Lonzimeape lentPalestine	|-----|---⌫---|--------|
Si relapluschaudelardant	--⌫-|-|---|-----||-----|
EMe de quemout	|--⌫-|--|---|
Toz Oriënz	--|------|
tres to zentiers	----⌫--⌫|------|
Q u idelmontestlunsdes quar t iers	-⌫-⌫|--|---|--||--|--|----⌫-⌫---|
E nicezchosesest co mpris	-⌫|---|-----|--|--⌫----|
Edes autres treispar z	|--|-----|----|---⌫|
Dont i one uueilorplus	---|-⌫|-|----|-|---|
çomecou ientrepairier	--|-|---⌫---|--------|
Po r quei a idetotço tochié.	--⌫|--||-⌫|-|--|--|-------|
Pageu04P012	----------|
Çonos recontent	--|--|--------|
li Traitié	-|-------|
Eligrant LiureHist orial	|-|----|----|----⌫----|
Qu enlaparti e Orie ̈nta l	-|-|-|-----⌫|----⌫----⌫|
EstAmazoineterregrant	--|-------|----|----|
Oëz quen ost rouonsli san t.	---|--|-⌫-|-⌫-----|--⌫---⌫-|
D e fe mme sesttote ha bite e	-⌫|--⌫---⌫|--|---|--⌫----⌫|
D etantcomd urela	-⌫|---|--|-⌫--|-|
Nienterrahom anulio r.	||------|--||--|--⌫-|
Maissi comdiënt l i autor	---|-|--|-----|-⌫|----|
Delez laterr eprès	----|-|----⌫|----|
Aunis le qui b ienest lez	|-|--⌫-|--|-⌫--|--|--|
Seis ante liuëstient	----⌫---|-----|----|
Dep r eciosar bresest pleins	-|-⌫-⌫----|--⌫---|--|-----|
Ederbe schier essp eciaus.	||----⌫|-----⌫-|--⌫------|
Plainsestliisleseeguaus	-----|--|-|----||-----|
Ede litoser iche ebel.	|--⌫----||-⌫---||---|
Lauo nt contrelete ns	-|--⌫-|-----|-|--⌫-|
Belsa t or nenteric he m en t	--||-⌫-⌫--⌫---||---⌫--⌫-⌫--⌫|
Preciosson tloruestemen t	------|---⌫|--|--------⌫|
Pageu04P013	----------|
D e ̀s que st	-⌫-⌫-|-|-⌫-|
li meisd au ri le ntrez	-|---||--⌫--⌫|-⌫----|
i uin z senestal ez	-⌫---⌫||-|--|--⌫-|
I sonta i oiee a soio r.	|---||-⌫--|||----⌫-|
Lihomedesregnesentor	-|---|--|-----|----|
uienen ta eles	------⌫||---|
T reismei sisonteneientplu s	-⌫---|---⌫||---||-----|---⌫|
Amoutgran tioie	|---|----⌫|---|
lesreceiuent	--|--------|
Adonc empr eignente c on ceiuent.	----|----⌫------||-⌫--⌫-------|
Les plusbeles	--|---|----|
le spluspreisiees	--⌫|---|--------|
Ni sonteu ̈es n atochiees	||---|--⌫--||--------|
S ede c eusnonq uiontualor	-⌫|-|-⌫--|--|-⌫-|--|----|
Equiplusont pris	|--|---|--|---|
L iplus uaillantas plu suaillanz.	-⌫|---|-------|-|---⌫|--------|
Iluecapo rtent les enfanz	----|---⌫----|--|-----|
Quima sl esonted	--|--⌫--⌫|---|||
As peressont il uecdoné	-|----|---|--⌫--|----|
Qu eia unsol nen	--⌫|-|-|--||-|
retendront	---------|
Neplusdunannelmorriront	-|---||-|-|--|--------|
L esmeschin esce lesnorrissent.	-⌫-|-------⌫-|--⌫--|----------|
E quantçouientquildepartis sent	|----|--|----|-|-|--------⌫---|
Totlansont	--||-|---|
puis i a desesieuz	---|-⌫|-|--|---|
Nesuerra homiounesneuieuz	--|----|--|-----|-|----|
Pageu04P014	----------|
Senlorterremete it	|-|--|----|----⌫-|
Sempre sserei ttoz detren c hi e z.	------⌫|-----⌫|--|------⌫-⌫--⌫-⌫-|
D elesia mout gran t p a rtie	|---|||---|----⌫|-⌫-⌫---|
Quei aanuliordeloruie	--|-⌫||--|--|-|--|--|
Neseront domesadesees	-|-----||---|------|
Neianie re nt d espucelees.	-|-||--⌫--⌫-|-⌫----------|
Armesportent	----|------|
m ou t sontuai llanz	-⌫--⌫|---|---⌫----|
Eh ardie secombatanz	|-⌫-----⌫||--------|
Eentozlie usensontpreisiees.	|-|--|---⌫-|-|---|---------|
Aue n u es t ma inte sfeiees	---⌫-⌫|--⌫|--⌫----⌫|-----|
Queeisseientdel orpai s	--|--------|-|-⌫-|---⌫|
Arm es po rtentpor	---⌫-|--⌫----|--|
auei rpris.	----⌫|----|
uingtetuniè m ebata illee xploitsdePanthesilée.	----|-|-----⌫-⌫|----⌫---|-⌫------|-|------------|
Enicelterm e eencez	-|---|----⌫||-|--|
Que cistsiegesesteit si granz	--|---|-----|-----|-|----|
A Troie esteit enlo rco nt ree	|----|-----|-|--⌫|--⌫--⌫--|
La reinePa nt hes ilee .	-|----|--⌫--⌫---⌫----⌫|
Prozehardie ebeleesage	---||-----||---||---|
D e grant ua lor degrantparage	-⌫|----|--⌫--|-|----|-----|
Mout ertpreisiee	---|--|-------|
Pag eu04P015	---⌫-------|
D eliesteit grant r enomee.	-⌫|-|-----|----|-⌫------|
PorHector q ueuole it ueeir	--|-----|-⌫-|----⌫-|----|
E porpr isconque rreeaueir	|--|--⌫-|------⌫--||----|
Sesmutauenira lso c ors .	|----||----|-⌫|--⌫-⌫---⌫|
Mout fu rent richessesators.	---|--⌫---|-----|--|-----|
Moutame na r ichecompa igne	---|---⌫-|-⌫---|-----⌫---|
E fiereehardie e grifaig ne	|----||-----||-------⌫-|
M il dameiseles adurees	-⌫-|---------|------|
Forz aidanzebien armees	---|-----||---|-----|
Sorbonscheuaus A rabiëis	--|---|------|-⌫-------|
M outparorent richeherneis	-⌫--|--|----|----|------|
T an t erreren tpar	-⌫--⌫|-------⌫|--|
lor iorne es	--|-----⌫-|
Tant trespasseren tdes contrees	---|------------⌫|--|-------|
QuaTro ieuindr ent	-||---⌫-|-----⌫--|
cert mestiers.	|--|--------|
Dous mei s e	---|---⌫||
plust restozenti ers	---|-⌫-----|----⌫--|
AueientGr eusi s a sp ortau s	------|--⌫-|--⌫|-⌫|-⌫-----⌫|
Queneneste it	--||-|----⌫-|
eissu 2uas saus	-----⌫|---⌫---|
Prian znilaissot	-----⌫|||------|
porte ourir	----|----|
Qui les a te ndeitauenir.	--|--|-⌫--⌫----||-----|
Quantnonci éfu	----|-----⌫-|-|
Pan thesi lee	---⌫-----⌫--|
Lad olorosedesti nee	-|-⌫------|-----⌫--|
Qu Ector ert	-|----|--|
mor zmoutl enpesa	---⌫|---||-|---|
Pageu04P01 6	----------⌫|
Unsi fait duelende mena	-|-|---|---|-|--⌫---|
neuitoncsigrant	-|--|--|-|----|
Porpoinese	--|--|-|-|
Bienertseüquelelamast	---|--|---|-|--||----|
Sefu s t qu enuie l etr o u ast.	-|--⌫-⌫|-|-|--|-⌫|--⌫-⌫-⌫---|
Troï en so rentsau enue	-----⌫-|--⌫---|-|-⌫---|
Contreli estlorgent eissue	-----|-|--|--|---|-----|
LireisPrianzl i fa it	-|---|-----|-⌫|--⌫-|
g ran t ioie	-⌫---⌫|---|
E tuit icil qu iso ntaTro ie.	|---|---|--⌫|--⌫-||---⌫--|
Panthes il eegrant	-------⌫--⌫-|----|
Quantlireis lidit eretrait	----|-|---|-|--||------|
S on d u el e	-⌫-|-⌫-⌫-||
songrant desc onfor t	--|----|----⌫-----⌫|
Ecomsifilest eientmort	|--|-|--|---⌫----|---|
Sire faitla franchereïne	---|---|-|------|-|---|
Tropaici fieredestine	---||--|----|------|
Oncmai stelpertene fu faite.	--|---⌫|--|----|-|-|-----|
Sacheizde ueirmout medeshaite	------|-|---|---|-|-------|
Que i o Hectorne truisen	--|-⌫|-----|-|----|-|
Toz i orzenser ai m aisma rri e	--|-⌫--|-|---⌫-|-⌫--|--⌫---⌫|
Plus l amo ë	---||---⌫-|
querienuiuant.	--|---|------|
La pertede	-|----|-|
lui esttr op gr ant	--|--|--⌫-|--⌫--|
Page u04P017	----⌫------|
Ma i s enço nan ul r e courier.	--⌫-⌫|-|--|||-⌫-|-⌫-⌫-------|
Fa itesuo z gen zapar eiliier	--⌫---|--⌫|---⌫|----⌫------|
Sironsla forsas Greus parler	|----|-|---|-|----|-----|
Iusqua poilor	----||--|--|
uoudraimostr er	------|-----⌫-|
Qu euspuceles	--⌫--|------|
iomein g omei	-|----⌫||--|
Ne quelesual ent entorn ei.	-|-|---|---⌫--|-|----⌫--|
Duel aidEc torsor	---|-||--⌫--|--|
Ancuisen aparçeur ontbien.	----||-|---------⌫--|----|
Samortl o r feraicompare r	-|---|-⌫-⌫|----|-------⌫|
e nsauro ntsiguà rd e r.	-⌫|-----⌫-|-|----⌫--⌫-⌫-|
Queuosi reieporloignant	--|--|-⌫---|----------|
Somo ndreafait	----⌫---||---|
le reiPriant	-|--|-----|
ge nzqu uns n	--⌫-|-|--||
i remaîgne.	|---------|
Laotatachiémainte en seigne	-|-|-------|-----|--⌫-----|
Emain tpenon enfust plané.	|----⌫|----|-|---|------|
Tot e se stormistla cité.	---⌫||-⌫-------|-|----||
Par tôt s	--|---||
arm èr entco mun al.	---⌫---⌫--|--⌫---⌫--|
Laotcouert	-|-|-----|
mai ntboncheu al	---⌫-|--|----⌫-|
Laot es chîelesdeuisees	-|-|--⌫-------|-------|
En unespla ce s gr anz elees	-|---|---⌫--⌫|--⌫--||---|
Delezunestorsanc ië nes	----|---|---|---⌫---⌫--|
Pageu0 4P0 18	------⌫---⌫-|
S armèr entAmazoniënes.	|------⌫--|------------|
Un haubercu estPanthesilee	-|------|-⌫--|----------|
Pl usblan c	--⌫-|----⌫|
qu e nei sd esorgelee	--⌫|---⌫|-⌫---|----|
Onque s nus homços ai de ueir	-----⌫|--|--|--|-⌫-|-|---|
Si belarmé nepotueeir.	-|--|----|-|--|-----|
Douspu celesmouthon orees	---|--⌫----|---|---⌫----|
E delor damemout amees	|-|--|---|---|----|
elchief son h eau measis	-|----|--|-⌫---⌫-|---|
Richesdut estr eet degrantpri s	-----|--|----⌫|-|-|----|---⌫|
Quar lïcercl ese	---|--|-----⌫-||
Fut oz a pierrespré ciaus	-|-⌫-||------|----⌫----|
Plus respl endissanzquenestrai.	---|-----⌫--------|--||--|---|
Sorun che ual dEsp aignebai	--|-|---⌫--||---⌫----|--|
Pl usgrant plusfort	--⌫-|----|---|---|
eplusuaillant	|---|-------|
Da u trecheua l epluscorant	|-⌫-⌫--|-----⌫||---|-----|
Estm ontéedeliurement	--|-⌫-----|----------|
P leinedire edemautalent .	-⌫----||--||-|---------⌫|
P ageu04P01 9	-⌫---------⌫|
Couerz futozdun drap	-----|-|--||-|---|
Quiplus que f lor	--|---|--|-⌫--|
delis blanchei e.	-|--|--------⌫-|
Centescheletescl er	---|---------|--⌫-|
Petitesd ornonmiegranz	------||-|--|--|----|
I ata che nt.	|---⌫---⌫--|
Senzplustargier	---|---|------|
A ceintlebrant forbidacier	|----|-|----|----||----|
Dontelferra gra nzcousma neis .	---|-|----|---⌫-|---|--⌫----⌫|
Unfo r t e scuplus bI ancqueneis	-|--⌫-⌫|-⌫--|---|--⌫--|--|---|
O uneboc ledef ino r	|--|---⌫-|-|-⌫-|-⌫|
Orléde pie rrestot	----|-|---⌫---|--|
robi ns clerse ardanz	----⌫-|----||-----|
E desmeraudesuerdeianz	||---------|--------|
Parl a guige	--|-⌫|----|
dorfreisla pris	|------|||---|
colserrée	--|-----||
Unela nce de fustfraisnin	--|--⌫--|-|---|-------|
Ountrenchantferacerin	|-|--------|--|-----|
Li abaillié une	-||-------|--|
0 une enseigne f resch e ebele.	|--|-------|-⌫-----⌫||----|
Hastiu ements enz demorer	------⌫----|-⌫--|------|
Àfaits amaisnieemonter	-|---|-⌫|-------|-----|
plusni apas	---||||--|
Pageu04P020	----------|
n aientarmez l e suis	|----|----|-⌫-⌫|--|
Les chiéslesb raze les	--|-----|--|-⌫--||--|
Sor leshaube rsd obliers safrez	--|--|-----⌫-|-⌫------|-----|
OntIorbea us crins	--|--|---⌫-|----|
tozdes treciez	--|---⌫------|
Sireluisanzesipeigniez	-|--------||-|-------|
Quorsesme rezsembl a sto scurs.	-|--|----⌫--|-----⌫-⌫-|-⌫-----|
Ohardizcuerseos eür s	|-----|----|||-⌫----⌫|
Che uauchentdreituers lesportaus	---⌫-------|----|---|--|------|
Leses c u zprisso r lesche uaus.	--|--⌫-⌫-⌫|---|--⌫|--|---⌫----|
Puisqueli mondescomen ça	---|--|-|-----|-----⌫--|
Neiamaistantcor ne il du r ra	-|-|---|---|---⌫-|-|--⌫-⌫-|
Niertmais u eüetelcom paigne	|---|---|-⌫---|--|---⌫-----|
Ni acelequi nait	|||---|--||--|
E grossela nceofer	|-----|--⌫--||--|
Mouto ïsseiz lesdeuspreier	---|-⌫------|--|---|-----|
Asgentisd ameshonorees	-|-----|-⌫---|-------|
QuedeIa uilees teient n ees	--|-|-|---|--⌫-----|-⌫--|
Quil lesdefendisse n t l e ior	-|-|--|----------⌫-⌫|-⌫|--|
D emo rtde	-⌫|--⌫-|-|
pert eededoIor.	----⌫||-|-----|
ArmezsefuPh ilemenis	----|-|-|--⌫-------|
Quiprochains	--|--------|
ert delor pa ïs	--|-|--|--⌫--|
Pageu04 P021	-------⌫---|
Cilloruoudraestreen	--|--|-----|----|-|
Tant comli ierte lcors la	---|--|-|---|-⌫|---|-|
O luisontliPaflagone is	|--|---|-|---------⌫-|
Quioncior nameren t	--|--|--||------⌫|
LireiIipri ncee lidemeine.	-|--|-|---⌫--||-|-------|
Chascunsdelatorn er sepeine	-------|-||-----⌫-|-|----|
puissent leiorsi	-------|-|--|-|
E tantlor enemisforfaire	|---|--|-----|-------|
Parquedes port aus lesdesio ig nent	--|--|--|----⌫--|--|-----⌫--⌫---|
Por uoiruo sdimout	--|---|--⌫|-|---|
s enbesoignent.	|-|----------|
Sorlesmurs ha uzec renelez	--|--|---|--⌫-||-⌫------|
