alaueillede	|-|-----|-|
mostier p or oirl a mes se a	------|-⌫-|--|-⌫|---⌫-||
grant compai g ni e	----|------⌫-⌫--⌫|
dehauz h omes.	-|---|-⌫---||
et qu antlitro i	-|--⌫--|-|---⌫|
cousin furentuenusidescendire nte nlacor tet	-----|-----|---|-|----------⌫-|-⌫|-|---⌫|-|
mont eren t enlas ale enhaut.	----⌫----⌫|-|-|-⌫--|-|---||
etlors co men cierentaparlerde lenfantque	-|---|--⌫---⌫------||-----|-||-----|--|
lancelota uoitfetcheuali er	-------|-⌫---|--|-------⌫-|
si d istbo orzquiln auoit	-|-⌫--|--⌫--|-|-||----|
onqu es ueu homeq u i tant resemblast	----⌫-|--|---|-⌫-⌫|---|---------|
lancelotcomecilfesoit .	-------|---|--|-----||
n e cre roie iamesrienssecen	-⌫|---⌫---|----|----|-|-||
est ga laad	--|--⌫---|
en gendrezen	--⌫------|-|
l abe lefilleauricheroi pesche or	-⌫|--⌫-|----|-|----|--|------⌫-|
caril retretaceluiligna geeta unostr e	--|-|-----||----|-----⌫-|-|-⌫|-----⌫|
tropme rueilleuseme nt.	---|--⌫------------⌫-||
parfoifet lyoniaus i ec roibie n quece	--|--|--|-------|-⌫|-⌫--|---⌫|--|-|
soitilcarilresemblemolt	---|-|--|-|-------|---|
bienmon s eig nor .	---|--|-⌫---⌫--||
grantpiece parlerentd ecestech ose porsau oir	----|----|--------|-⌫|----|--⌫--|--|---⌫--|
silen tresissen triensdela bouchela ncelot	|-|-|---------⌫|----|-|-|-----|--⌫-----|
mesaparoleque il	--||-----|--|-|
deis sent deceste chose	----⌫---|-|----|----|
nere spondiil	-|--⌫-----|-|
onq ue s ace l e foiz .	---⌫--⌫||--⌫-⌫|---||
quantliroisfu reuenuzdelmostier e til	----|-|---|-|------|--|------|-⌫|-|
uit que lan celotfuuenuz etilot a menéboort	--|--|---⌫----|-|----|-|-|-|-⌫----|----|
etlyonelsil orfet molt grant ioi eet	-|-----|-|-⌫-|--|---|----|---⌫|-|
ditque bien soi entil u enu.	--|--|---|---⌫--|-|-⌫--||
festecom ence par laienzgrant	----|---⌫---|--|-----|----|
etm erueilleusecarmoutsontliezlicompaigno n	-|-⌫----------|--|---|---|---|-|---------⌫|
delatabl ereonded el auenueas deusfreres	-|-|----⌫|-----|-⌫|-⌫|----|-|---|-----|
etmess iresgauu ainslor dema ndecoment	-|--|-⌫---|----⌫---|--|----⌫--|-----|
illontpuisfetquilse	-||--|---|--|-|-|-|
partirent decor t.	--------|-|---⌫||
etildie nt b ie n	-|-|---⌫-|-⌫--⌫|
die um erci	---⌫|-⌫---|
carilonttoz iorz estésainzethait iez.	--|-|--|--|---|----|----|-|----⌫--||
certesfe t mes	-----|--⌫|--|
sire sg auuains ce meplestmout	----⌫|-⌫------|-|-|----|---|
granzestla	----|--|-|
ioiequecildel a	---|--|--|-|-⌫|
cortfo nt a boort	---|--⌫-||----|
e talyonel	-⌫||-----|
mesqu iln es	--|-|-||-|
auoie nt ueu z.	-----⌫-|---⌫||
etlirois com ande que lesnapessoient misescar	-|-|---|---⌫---|--|--|----|-----|----|--|
i lesttensdemengier	-⌫|--|---|-|------|
cel iestauis.	-|-⌫|--|---||
sirefetke x	---|--|--⌫|
lisen eschauxse uosass eezia	-|---⌫------|-|--|---⌫--|-|
ilm es tauis queuos enfraind roizlacostume de	-||--⌫|---|--|--|--------⌫---|-|------|-|
carnos a uonsueutoziorz	--|--|-⌫---|--|--|---|
queu os ahaute	--|-⌫-||----|
fes tenasseieza tabled euantqueaucuneauenturef ust	---⌫-||------||----|-⌫-------|-----|-------|-⌫--|
cor t aue nueuoiantto zlesbaronsdeuos treo stel	---⌫|---⌫--|-----|--⌫|--|-----|-|---⌫--|-⌫---|
c ertesfetlir oiskexuosdites	-⌫----|--|-|-⌫--|--|--|----|
ces te costume	---⌫-|------|
io rstenueetlatendrai tantc omei e p orrai.	--⌫-|----|-|-|------|---|-⌫--|-⌫|-⌫----||
mesieauoies i grantioiede la n c elot	--|-|----|-⌫|----|---|-|--⌫-⌫-⌫---|
etd eses cousin squiestoient	-|-⌫|--|------⌫|--|-------|
cortsa inet	---|--⌫-|-|
haitiéquil ne	------|-|-|-|
mesouenoitde lacostume.	-|-------|-|-|------||
oruosen so uiegnefet kex.	-|--|-|--⌫-----|--|--||
ende mentresquilparloienteins i	----⌫--------|-|--------|----⌫|
sientralaienzuns	-|----|-----|--|
u as lez qui di s tau roi	-⌫--⌫--|--|--⌫-⌫|-|--|
sirenoueles	---|------|
uosap ort molt	--|--⌫--|---|
merueille use s .	---------⌫---⌫||
fet lirois.	--|-|---||
dilesm oitost.	-|--|-⌫-|---||
sirelaa ual de sozuostrepale saun	---|-|-⌫--|--⌫--|-----|----⌫||-|
perron grantq ueiaiueufl oter	-----|----|-⌫-||-|--|--⌫---|
par d e sus leue.	--|-⌫-⌫--||--||
uenezleueoir qaries ai	----|-|----|--|-|-⌫-|
bienqu eceestauenture	---|--⌫|-|--|-------|
merueill euse.	--------⌫---||
etlirois d escen tmaintenantporces temerueilleueoir	-|-|---|-⌫-----⌫|---------|--|---⌫-|--------|----|
et sifon t	-|-|---⌫|
etquant il sont uenualariue	-|----|-|---|---||-|---|
sitro euentleperronquiestoi toiss uzde l	-|---⌫----|-|-----|--|-----⌫|----⌫-|-||
eueetestoitde marb reuermeil	--|-|-----|-|----⌫-|------|
et ouperronauoitu nees peef iche e quim o lt	-|-|-----|----|-⌫-|--⌫--|-⌫----⌫|--|-⌫-⌫-|
estoitetbele etriche par s emb lant	-----|-|---|-|----|--|-⌫---⌫---|
eten estoitli ponzd	-|-|-----|-|---||
unep ierre preciose	--|-⌫----|-------|
ourezale tres	----||--⌫---|
dormolt soutilment.	|-|---|---------||
etlibar on regardentlesletres quidisoientianus	-|-|---⌫-|--------|--|-----|--|-------|-|--|
nem ostera deci se	-||-----|-|-|-|
a cuicos teiedoipendre	|--|---⌫-|-|--|-----|
etci l seralimieldres	-|--⌫|---|-|-------|
cheual iersdelmonde.	------⌫---|--|----||
etquan tliroisu o it	-|----⌫|-|---|-⌫-⌫-|
cesletr ess idita	--|----⌫-|-⌫|--||
lancelotbiausi receste espeeestuostrep a r	-------|---|--⌫-|----|----|--|-----|-⌫-⌫|
b on dr oit qarie	-⌫-|--⌫--|--|-|
saibien queuos esteslimieldres	--|---|--|--|----|-|-------|
cheualiersdelmon de.	---------|--|---⌫-||
responttozcorouciezcertessir e	------|--|--------|-----|---⌫|
neelenestm oiene	-|--||--|-⌫--|-|
iena uroiele corag e demettrei	-||-⌫----|-|-----⌫|-|-----||
mainn ele hardem ent	---|-⌫|-|------⌫--|
carienesu i zmie	--|-|-|--⌫-⌫|--|
dignesneso ffisanzqueiel a doiepre ndre.	-----|-|--⌫------|--|-|-⌫|---|---⌫---||
men tendraiieetni metraiiala	|-|------|-|-|||-----|-|-|
maincar ce s eroitfol iese ietendoie	---|--|-|-⌫----|---⌫-|-|-|------|
a auoirla.	|----|-||
toute su o iesfet liroi si essai erez u os	-----⌫|-⌫-⌫--|--|-|---⌫||-----⌫---|-⌫-|
seuosla porriezoste r	-|--|-|------|----⌫|
sir efet ilnonferaig e.	---⌫|--|-|--|----|-⌫||
cariesai bienque	--|-|--|---|--|
nus ni e ssaieraiap orquilifaille	--|||-⌫------|-|-⌫-|-|-||-----|
n enrecoiuepla ie	|-|------|---⌫-|
et quesauezuos	-|--|----|--|
fetli rois.	--|-|---||
iel esaibie n	-|-⌫|--|---⌫|
e t en coreuosdigea u trechose	-⌫|--⌫---|--|-|-|-⌫-⌫--|----|
ca r ie uoilqueuossachiezque en	--⌫|-|---|--|--|------|--|-|
cestior d uic ome nceront	---|--||-|-⌫---⌫------|
lesgranzauentureset lesgranzmerueillesd ou sain tgraal	--|----|--------|-|--|----|---------|-⌫-|----⌫|----|
qu antliroi sot	--⌫--|-|---⌫|-|
quelanc e lot n enferapl ussidistamon	--|----⌫-⌫--||-|---|--⌫-|-|---||--|
seignorga uuainbiax	------|--⌫----|---|
nie zessaiezisire fetil sauueu o stre	---⌫|------||---|--|-|----|-⌫-⌫---|
grace nonferaipuisque	----|--|----|------|
mes sir es lancelotni ueltessaier.	--|---⌫-|-------|||---|------||
g ime tr oie la	||--⌫--⌫--|-|
mainpor noien tcar cesauez	---|--|-----⌫|--|-|----|
uos bienquiles tassezmiel dresc h eualie rsqueie	--|---|-|-|--⌫|----|----⌫---|-⌫-⌫------⌫-|--|-|
toutes uoies fet liroisiessaierez uosporce	-----|----|--|-|---||--------|--|--|-|
queieleuoi l	--|-|-|---⌫|
porl espeeauoir.	--||----|----||
etilgi etel amain	-|-|--⌫--|-⌫|---|
e tprentle spee	-⌫|----||-⌫---|
parle heutets ach emesilnela	--|-|---|-|-⌫---⌫|--|-|-|-|
puettrerefors.	---|----|---||
et liroi slidist maintenan tbiax	-|-|---⌫|-|---|---------⌫|---|
niezlaissezester	---|------|----|
carbienauez fe t moncomande ment .	--|---|---|--⌫|--|-------⌫---||
messiregauuainfetlanc elotors achiez	--|---|------|--|----⌫---|-|-⌫-----|
que cest eespeeuos touchera	--|----⌫|----|--|-------|
enco re desip r esque uos	----⌫-|-|-|-⌫-⌫-|--|--|
n elauoldriez	-⌫|-|-------|
au oirbailleeporu nchastel.	--⌫--|------|--|-⌫|------||
si refet messires gauu ains	--⌫-|--|--|----|----⌫---|
ienenpoimes	-||-|--|--|
endeuss eorendro itmori rsi	-|-----⌫|-------⌫-|----⌫|-|
lef eisseieporla	-|-⌫----|-|--|-|
u olentemo nseignoracomp lir.	-⌫-----|--⌫|------|-----⌫--||
etq u an tlirois	-|-⌫-⌫--⌫|-|---|
otc esteparolesiserepe nt de	-|-⌫---|-----|-|-|----⌫-|-|
ceq ue me ss ires	-|-⌫-|--⌫|-⌫---|
l orsdi sta per c eual	-⌫--|--⌫-||---⌫-⌫---|
queilessait a l es pee.	--|-|-----|||--⌫--||
et il dist	-|-|---|
quesif erauolentier spor	--|-|-⌫--|---------⌫|--|
seignorgauuaincompa ignie.	------|------|-----⌫----||
si met la mainal e speeet tret	-|--|-|---|||-⌫---|-|---|
mesil ne l a	--|-|-|-⌫|
puetauoir .	---|----||
croie ntbie n tuitcil	-----⌫-|---⌫|---|--|
delaplaceque l ancelot dieuoire t	-|-|----|--|-⌫------|--|---|-⌫|
queles letres douponts oientueraies.	--|--|-----|--|---|-⌫----|------||
sini amess ih ardi quimai ni	-||||--|-⌫|-⌫---|--|---⌫||
ostmet re.	--|---⌫-||
et mes sire kex	-|--|---|--|
roi sires ire pa r monchi eforpoez	--|---|-⌫--|--⌫|--|---⌫-|-|---|
uosseurement asseoiraudisnerquantuos	--|--------|------|-|-----|----|--|
p lera c ara aue nturenauez uos	-⌫---|-⌫-||---⌫----||---|--|
pasfaillideuant	--|-----|-----|
men gier cemesemble.	---⌫---|-|-|-----||
alons donc fetli rois	----|---|--|-|---|
carausie nestil	--|---|-⌫|--|-|
bie ntens.	---⌫|---||
e tlors s enuontli	-⌫|---||-|---|-|
c heualieretlaissentleperronala	-⌫-------|-|-------|-|-----||-|
roisfetleue corner	---|--||--|-----|
sis asi et	-||---⌫-|
en sonhautdoiset li	-|--|---|---|-|-|
co mpai gnondelatablereonde sasieentc hascunsen	--⌫----⌫---|-|-|----|-----||------|-⌫------|-|
seruirentlaienzq uatre roituit	--------|-----|-⌫----|--|---|
corone ́etauecaus	------⌫|-|---|--|
ta ntde hauz hom esquea merue ill es	--⌫-|-|---|---⌫-|--||-----⌫---⌫-|
l e poi stlen	-⌫|---⌫-|--|
celuiiorfua ss izlirois	----|--|-|-⌫--⌫-|-|---|
aso nhaut doisoupa lesetot	|--⌫|---|---|-|--⌫--|-|-|
alui seruirg rant com paign iedehauz	|--|-----|-⌫---|---⌫-----⌫-|-|---|
si auintei n siqu ant il se	-|----|--⌫-⌫-|--⌫--|-|-|
fu re nttuitas sizparlaienzquei l	--⌫--⌫-|---|--⌫--|--|-----|--|-⌫|
trou erent quet uitli com paignondela tablereondefurent	----⌫----|--|-⌫--|-|---⌫------|-|-|----|-----|-----|
uenuetli siegeae mpli fors seul ement	---|-|-|----|--⌫---|---|----⌫----|
cil q uelenapeloi t	--|-⌫-|--|------⌫|
perilleus.	--------||
quantilorenteulepremi er	----|-|----|-|-|-----⌫-|
mes s ilo rauints i merue illeuseau e ntu re quetui t	--|-⌫|--⌫|----|-⌫|-----⌫------|--⌫-⌫---⌫-|--|---⌫|
lihuisd ou	-|---|-⌫-|
pal es ouilmengo ient et	---⌫-|-|-|-----⌫---|-|
lesfenestresclostrentpareles	--|--------|--------|--|---|
entelmanierequenus nimi stlamain	-|--|------|--|--|||--⌫-|-|---|
etnepor quantla	-|-----⌫----|-|
salenef up asennuble	---|-|-⌫|-⌫-|------|
etd ece stechosefurent es b a hiet	-|-⌫|--⌫--|----|-----|--⌫-⌫-⌫-|-|
li foletlisage.	-|--|-|-|---||
etli roisartuzqui prem iers pa r la	-|-|---|----|--|----⌫---|--⌫-⌫-|
dist pardieubel seign ornosau onshuiueue	---|--|---|--|-----⌫-|--|--⌫--|--|---|
merueillesetciet	---------|-|-|-|
a la riue.	|-|---||
mes iecuitquenoslesuerronsencor ea nuit	--|-|---|--|--|--|------|-----⌫|-⌫---|
g re ig nors que cesne	-⌫--⌫--⌫---|--|--|-|
endementresqu eli	-------------⌫|-|
roisparloiteinsisi entral aienz	---|------|----|-|----|-⌫----|
uns preudonsau neblanche robe	--|-------||-⌫-|------|---|
uiel z etan ciens	----⌫|-|--⌫----|
mesil n otcheualierla ie nzqui seust p arou	--|-||-|--------|--⌫--⌫-|--|----|-⌫-|-|
ilient ra.	-||---⌫-||
et lipreudons uen oi tapieetamenoit pa r	-|-|-------|---⌫--⌫||--|-|------|--⌫|
lamainu ncheualiera	-|---|-⌫|--------||
une s arme s uer meill essan s	---⌫|----⌫|---⌫-----⌫-|---⌫|
esp ee etsans esc u .	---⌫-|-|---|---⌫||
s i dists i tostcomeilf uenmi	-⌫|---|-⌫|---|---|-|-⌫|---|
l e pal espessoit o uos.	-⌫|---⌫-|--|---||--||
etapresdist au roilaou ille	-|----|---|-|--|-|-|-|-|
uitroisar tusiet	--|---|--⌫--|-||
amei gnlecheualie rdesi rre ́ c eluiq uiestestraizdou	----⌫-|-|--------⌫|----⌫---⌫|-⌫---|-⌫-|--|------|--|
haut l ignage	---|-⌫-----|
leroid auidetdelpa rente io sephd a rimacie	-|--|-⌫---|-|--|--⌫----|--⌫---||-⌫------|
celuiparcui lesme rueillesde cestpaiset	----|--|--|--|--⌫-------|-|---|---|-|
desest rangeste r resrem aindr ont.	--|---⌫-----|--⌫-⌫--|---⌫-----⌫--||
et li roises t	-|-|---|--⌫|
moltliesde	---|---|-|
ce stenouele	--⌫--|-----|
sidist aupreudome sireb iensoiezuos	-|---|-|-------|---|-⌫--|----|--|
uenuzse cesteparoleestueraieet	----|-|----|-----|--|-----|-|
biensoitli cheua liers uenus	---|---|-|-----⌫----|----|
ca rsec eestcil q uenosate ndions	--⌫|-|-⌫|--|--|-⌫-|--|---⌫-----|
aacheuerles	|------|--|
au ent ures del sa in tgraalonquessi	--⌫---⌫---|--|--⌫--⌫|----|-----|-|
nefut f etedomecomenosf eronsde lui	-|--|-⌫--||--|---|--|-⌫----|-|--|
soitoucilque	---|-|--|--|
uos di tes ouautresie uoldroieque	--|--⌫--|-|-----|-|-------|--|
bien sliuenistp uis quil	----⌫|-|-----|-⌫---⌫-|-|
estsi ge ntil zhometdesi ha utl ignage	--|-|--⌫----⌫|--|-|-|-|--⌫-|-⌫-----|
comeuo sdites	---|--⌫|----|
parf oifetlipreudonsuosen u errezpar	--|-⌫-|--|-|-------|--|-|-⌫----|--|
ten zbelcomencement.	---⌫|--|----------||
etlorsfe tl echeualiertoutdesarmer	-|---|--⌫|-⌫|--------|---|-------|
s iremes t	-⌫|-----⌫|
en unecote de	-|--|---|-|
cendaluermeil	-----|------|
baillem ai nte nant aafubler unmanteluer meilque	-----|-⌫--⌫---⌫---||------|-|-----|---⌫---|--|
ilportoitsor	-|------|--|
toutdesami tet pardedenz e st oit	---|-|----⌫|-|--|-----|-⌫--⌫--|
f orrezdunblanchermine.	-⌫----||-|----|------||
quant ill auestuetapareillie ́	----|-|||----|-|----------⌫|
si l i distsiuez moi sirecheualier.	-|-⌫|---|----|--|---|--------||
e t ilsifet .	-⌫|-|-|--||
et i l lemoinnetou tdroitausiegeperilleus	-|-⌫|-|-----|---⌫|----|-|----|--------|
d elez coi lancelotseseoit e t	-⌫---|--|-------|-|----|-⌫|
souzlieue le	--------|-|
drapdesoiequecil iauoien t	---|-|---|--|--||------⌫|
s itroeueles letre s	-⌫|-----|--|-----⌫|
quidient ci	--|----|-|
estl isiegesgalaad .	--|-⌫|-----|-----||
etlip reudons resgardeles let resiles troeue	-|-|-⌫------|-------|--|---⌫--||--|-----|
n o uelement fetesceli estauisetilconoistle	-⌫-⌫-------|----|-|-|--|---|-|-|------|-|
si enhautquetuit cil de	-|-|---|--|---|--|-|
la ienzl o ie nt	--⌫---||-⌫--⌫-|
sire che ualiersaseezuoscicar	---|---⌫------|----|--|-|--|
cist lexestuostres	---|--|--|------|
et cils asiet toutse u reme nt etdit a upreudom	-|--||----|---|--⌫-⌫----⌫-|-|--|-⌫|------|
sir eoruosen	---⌫|-|--|-|
poez rale rcarbiena uezfaitce que	---|----⌫|--|---|-⌫--|---|-|--|
lenu os comanda .	--|-⌫-|------||
etsaluezmoitozcelsdousainthostelet	-|-----|--|--|---|--|----|-----|-|
m o n oncle le	-⌫-⌫|----|-|
roi pe llesetmonaiol	--|--⌫---|-|--|---|
lericheroi pescheo r et	-|----|--|-------⌫|-|
deparmo i queielesireu eoirau	-|--|--⌫|--|-|--|--|-⌫---|-|
pl ustostqu e	--⌫-|---|--⌫|
ie porr aiet queiee na urailoisir.	-|----⌫-|-|--|-|-⌫|-⌫---|-----||
p reudonsse	-⌫------|-|
p artdel aienz	-⌫--|-|-⌫----|
