#ME TA# TextURISGeorguosL	---⌫--|------|---------|
#META#DEAF http//www.deaf-pa g e.de/bibl/bib99s.p h p#SGeorguosL	-----|---|-----------------⌫-⌫------------------⌫-⌫-----------|
#M ETA#T LSGe orge	--⌫---|-⌫||--⌫---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttp s//arlima.net/no/2627	-----|-----|----⌫--------------------|
#META#Author	-----|-----|
#M E TA#Author B or n	--⌫-⌫--|------⌫-⌫--⌫|
#M E TA #AuthorBornAmb	--⌫-⌫--⌫|------------|
#META #AuthorDied	-----⌫|---------|
#ME TA# AuthorD ie dAmb	---⌫--|-------⌫--⌫---|
#ME T A#AuthorFl1	---⌫-⌫-|--------|
#ME TA#Autho rF l2	---⌫--|-----⌫--⌫-|
#META#TextTitle La	-----|--------|-|
uiede s aintGeorg e	--|-|-⌫---|-----⌫|
Lefels direpar poi	-|---||--|--|--|
Seque iluei t	-|--|-|---⌫|
forment l i g rieu e.	------|-⌫|-⌫----⌫-|
Sai ns Iorgesenclot sensraison	---⌫-|----||-----|---|-----|
Chesunefeme	---|--|---|
e n samaison	-⌫|-|-----|
Lisa insàla	-|--⌫--|-|-|
ueuedemande	---|------|
Del pa inou	--|--⌫-|-|
Ainslapourel i	---|-|----|-⌫|
dist Sa insIorge	---|--⌫--|----|
Ien a ipain d ef ormentne	-||-⌫|---|-⌫|-⌫-----|-|
Cui creisdisti l el di stGecrei	--|----|---|-⌫|-|--⌫-|-|---|
Apolincuigecreire	-----|--|-|-----|
FemesenIesu-Cri stcréusses	---||-|--------⌫-|--------|
Pain et autrebienéus ses.	---|-|----|---|----⌫---|
Il esgardentsiu irentmise	-|--------|-|-⌫----|---|
Pre ̀sdéaust ab le	---⌫-|-----|-⌫--⌫-|
àlor d euis e	-|--|-⌫----⌫|
Char géeuir ent lad ictetable	----⌫---|---⌫--|-|-⌫---|----|
ui and eesperitab l e	--⌫---⌫|---------⌫-⌫|
Queli A ngeleorentapo rtée.	--|-|-⌫----|----|---⌫-----|
Lada me f ureco nfortée	-|--⌫-|-⌫|----⌫-------|
Puisdis tSir e ies uid ol ente	---|---⌫|---⌫|-|-⌫-|-⌫--⌫---|
De monfisqui perdsaiouente	-|--|--|--|---|-|------|
Sorses tet musetneueit	---|--⌫|-|--|-|-|---|
Etco ntr aisdesdeusparssansdote	-|--⌫---⌫--|--|---|---|---|---|
l efe ́ices aler	-⌫|--⌫----|---|
Oïretuéiretparler	---|-|----|-|-----|
En tonDeu su i preste decreire	-|--|--|--⌫|-----|-|-----|
EtDeub ienseruirsans	-|--|-⌫--|-----|---|
LiSainsà Deu s e s mains	-|----|-|--|-⌫-⌫|----|
Etso nanfantsa inlirendi.	-|--⌫|-----|--⌫-|-|-----|
Quantses otDacienssiman de	----|-|-⌫-|------|-|---⌫-|
A sagent e tleS aint demande	|-|---|-⌫|-|-⌫---|------|
Iorgeparqu elart	----|--|--⌫-|--|
De cès-tul es gen sdemes	--⌫------|-⌫-|---⌫|-|--|
De us aen totpui ssance	--⌫-||-|--|---⌫-----|
S equeiluiautfaitsans dotance .	-⌫|--|-|----|---|---|-------⌫|
Iorge sedist	----|-|---|
lo rsDaciens	--⌫-|------|
uautdonc ti Deusmiaus	---|---|-|---|----|
que li miens.	--|-|-----|
dist Limi ens fist	---|-|--⌫--|---|
l e mond e	-⌫|----⌫|
E tsie let	-⌫|---⌫|-|
tereet merp ar fonde.	---|-|--|-⌫--⌫-----|
Ti Deu s e st	-|---⌫|-⌫-|
n ep arler n e	-⌫|-⌫----|-⌫|
sedistli e n pereres	-|---|-|-⌫-⌫------|
XI IIIsiegesfist mesperes	--⌫--|-----|---|--|----|
Darbr esuia usquiencore ap ere n t	|----⌫-|---⌫-|--|-----|--⌫---⌫-⌫|
Conques nul iorfruit	------|--|--|----|
ne port erent	-|----⌫----|
Deusquearbresseient	---|--|-----|-----|
Lisiegeet fru it	-|----|-|---⌫-|
et foilesaient .	-|-----|-----⌫|
pu et telchos efair e	--⌫-|--|----⌫|----⌫|
Merueilosest mul t t edeit	--------|--|---⌫|-⌫|---|
Dacie nsquant tu ne	-----⌫-|----|-|-|
Dreis estq uesapuissance u ées.	----|--|-⌫-|-|--------|-⌫----|
Dec e prial isainssans dote	-|-⌫|---|-⌫|----|---|---|
Deuquisauolentéf isttote.	--|--|-|-------|-⌫--|----|
Arbres furen tlisie gestui t	-----|-----⌫|-|---⌫--|---⌫|
Et port erent foilesetfruit .	-|----⌫----|-----|-|-----⌫|
Pluso rs qu isesmiraclesui ren t	-----⌫-|--⌫|--|-------|--⌫---⌫|
ADeu gloireet le ́en gesfirent .	|--|-----|-|--⌫---⌫--|------⌫|
Totcenep risaunepeire	--|-|-|-⌫---|--|----|
Daciens neri enneuostcreire.	------|-|--⌫-|-|---|------|
Lorsdis tquelisainspa rdéable	---|---⌫|--|-|----|--⌫|------|
Oureit oparar tdeceua ble.	-----||--|--⌫|------⌫---|
Riantl iprieet	----|-⌫|---|-|
Sesdeusserui re tfai refeste.	--|---|-----⌫|-⌫|---⌫-|-----|
SainsIorged ist	----|----|-⌫--|
Sacref ier	------⌫--|
Mestue ta ̀tes deus faicrier	|-----⌫|-⌫|--|---|--|----|
Qu etagent	--⌫|-|---|
uiei gneetla ̀uoie.	----⌫--|-|--⌫|----|
LorsfistDaciensmu l tgr antioie	---|---|------|--⌫-⌫|--⌫--|---|
Biencuidaqueue n cul	---|----|--|--⌫-⌫-||
T ot se it	-⌫-|--⌫-|
qu esoncuer neséust.	--⌫|--|---|-|------|
Totmaintenantsansfaireautreuure	--|---------|---|----|---|----|
SainsIorge uaitlamaison euure	----|----|---|-|-----|----|
Oùseles ymagesestéent	--|----|-----|-------|
mescreantaouere ́ent	--------|------⌫---|
Apolin RacheAg aba	-----|----|--⌫--|
honimultles gaba.	---|---|--|----|
Apolin fista ̀ soiuenir	-----|---|-⌫|--|----|
Sil nesosa contret enir	--|-||--|-------⌫---|
Aincèsiss i	------|---⌫|
for sdesyma g e	---⌫|-||---⌫-⌫|
Tos f orc enés etplainsderage.	--|-⌫---⌫----|-|-----|-|----|
distenapertsans cl ose	---|-|----|---|--⌫--|
Es-t uDeudechait iuech ose	----⌫|--|-|-----⌫--|--⌫--|
Po r queio nt	--⌫-⌫---|-⌫-|
enteisig rantfiance	-|--|-|-⌫---|-----|
Quies -tu queestt ap uiç ance	--|--⌫--|--|--|-⌫|-⌫----⌫---|
Apo lindi stDéablesu i	---⌫--|--⌫-|------|--⌫|
mai ns omese nnui	---⌫-|---|-⌫---|
Les ymagesfaisa ourer	--|-----|---|-⌫----|
Et Deudelciel des ono rer.	-|--|--|---|---⌫---⌫---|
Lors fu sains	---|-|----|
Iorge corossiés	----|---------|
Enterre fiertun	-|----|----|-|
desespié s	-|--|----⌫|
Elefendicontraual tote	--|----|----|---|---|
Ius qu enabis mefutderot e.	---⌫-|-|----⌫-|--|-----⌫-|
Lo rspris tet quas salesymages	--⌫-|----⌫|-|----⌫-|--|-----|
Tot de sen e	--|-|-|-⌫|
fist-il q ue	------|-⌫-|
Lorsfist Apolinledéable	---|---|-----|-|------|
Trabuch eren leu péreil lab le	-------⌫-|-|--|-------⌫---⌫-|
Auall enclos teten serra	---||------⌫|-|--⌫----|
Ete n lab ismelenterr a.	-|-⌫||--⌫---||------⌫-|
Li felsd irep arpoi	-|---||--|-⌫-|--|
qu ilu eitformentli	-|-|-⌫--|------|-|
Daciensdec es	------|-|-⌫-|
Lisaint prist totledesmenbra	-|----|----|--|-|--------|
Tosl esmenbres et	--|-⌫-|------|-|
les b oeles	--|-⌫----|
C o ma ndaboilir enpaeles.	-⌫-⌫--⌫--|-----|-|------|
Porboil ir lecuida d e strain dre	--|----⌫-|-|----|-⌫-⌫------⌫--|
Ma isDeuli fistlefeuestaindre	--⌫-|--|-|---|-|--|--------|
Parunang l equilenuoia.	--|-|---⌫-⌫|-|-|------|
OncsainsIorge nes esm aia	--|----|----|-||---⌫--|
D elapaeleforssailli	-⌫|-|----|---|-----|
L aigeb oilantlef eufailli.	|---|-⌫-----|-|-⌫-|------|
U nsangeles distNai es	-⌫-|------|---||--⌫-|
Tu asuenculen peréor	-|-|----||--⌫------|
Deusqui lauic toiretedone	---|--|-|---⌫----|-|---|
Tafait auci el fairecorone.	||---|-|--⌫-|----|------|
Al exandrie larai ne	--⌫-------|-|---⌫-|
uitl agrant puissancedeuine	--|-⌫|----|--------|-----|
Main tenant crute n Deusansdot e	----⌫-----|---|-⌫|--|---|---⌫|
EnIe sus-Crist mists am or tote	-|--⌫--------|---||--⌫-|---|
Tantostget a sans nuleare st e	------|---⌫|---|---|---⌫--⌫|
Lacoroneiusde	-|-----|--|-|
Etdeuestisa réal	-|------|-|----|
Dontsol oitestr ec ointe et n obl e.	---|---⌫--|----⌫|-⌫----|-|-⌫---⌫-|
uers Daciens enest	---|-----||-|--|
EtdistADeumesu i rendue	-|---||--|-|--⌫|-----|
EnbonDe ue ncuiIorge c reit	-|--|--⌫|-⌫|--|----|-⌫---|
Quitot fisttotseitet totueit .	--|--|---|--|---|-|--|----⌫|
Daciens f orm e nt lors sescrie	------|-⌫---⌫-⌫-|---||-----|
Alexandrie	---------|
barattaesméue	----|||------|
Io rgeet t aformentde céue	--⌫--|-|||------|--⌫----|
Lairas-tutonre gne	--------|--|--⌫--|
et t asale	-|-⌫|---|
Etmorr as dem ortgreu eetmale	-|----⌫-|-|-⌫--|----⌫|-|---|
respont sinpl ement	------|-----⌫----|
Et si liadithumlement	-|-|-||--|--------|
monsei gnoret	--|---⌫---|-|
monmaistre	--|------|
uoil- ie m orir nepuetaut re estre	-----⌫-|-⌫---|-|---|---⌫-|----|
Des amorne	-||---|-|
pue tdeceurer	---⌫|-------|
Nultant pui ssemo n cors greuer.	--|---|---⌫--|--⌫|---|------|
Da ci ensplo reetmult s esma ie	--⌫--⌫--|---⌫-|-|---||----⌫-|
Mu ltlapriemultlasosplai e	--⌫-|-|---|---|-|-------⌫|
Ohdocer aine queferai	-|---|-⌫---|--|----|
Comentmo rrirtesoffe rai	-----|--⌫---|-|-----⌫--|
P orquei desconf ortes	-⌫-----|-------⌫----|
mon reg ne	--|---⌫-|
Etm oi tufais multmalepei ne	-|-⌫-|-|---|---|---|---⌫-|
uos-tuplusl a	-----|---|-⌫|
coro neet que hautesse	----⌫-|-|--|-------|
S eler esponttotma inten ant	|--|-⌫-----|--|--⌫-----⌫--|
Etsilidist sona uenant	-|-|-|---|--|-⌫-----|
Lacoron eueut pardurable	-|-----⌫|---|---------|
Nen feraiplusbienueusque	|-|----|---|---|---|--|
or pues moncors destruire	-|---|--|---|--------|
Dac iens neuostp lusatend re	---⌫---|-|---|-⌫--|-----⌫-|
Par lest resses haut lafist pendre	--|--|-⌫-----|---|-|---|-----|
Lecor squil otiadis tantchier	-|---⌫|-|-|-|----|---|----|
Fisttot desronpr e etdetre nchier.	---|--|--------⌫|-|-----⌫------|
Quanquel esofreit telmartire	---|-|--⌫|------|--|------|
uersle sa intse torne etsospire	---|-|--⌫--|-|----|-|------|
Etdist Sire	-|---|---|
pri èspor moi	---⌫--|--|--|
I esumton D eu encu iie c r oi.	-⌫---|--|-⌫-|-|--⌫|-|-⌫-⌫--|
Ie ueus a ueirlesa i nt	-|---|-⌫---|-|--⌫-⌫-|
b abtes me	-⌫-----⌫-|
Delsaintesper it	--|----|-----⌫-|
etdel cresme.	-|--|------|
autremainate ndue	----|---||--⌫---|
LisainsuersDeu	-|----|---|--|
e tsisa rg ue	-⌫|-||-⌫--⌫-|
Deupri eque	--|---⌫|--|
ilparsagra ce	-|--|-|---⌫-|
Aigedel ciel ueni rlifa ce.	---|--|---|----⌫|-|--⌫--|
Lo rs li uin ttanto st une n u e	--⌫-|-|---⌫|-----⌫-|--|-⌫-⌫|
Qui ot assezaigetenue.	--|-|----|---|-----|
L isai ns i prist de la rosée	-⌫|---⌫-||----|-|-|-----|
L a d ameena totearosée.	-⌫|-⌫--|-||---|-------|
Lorsbaptis aladamesainte	---|------⌫|-|---|-----|
Sif ist-ila ut re	-|-⌫-----|-⌫--⌫-|
damemainte.	---|------|
Mener la fistàgrant	----|-|---|-|----|
Daciens for s	------|---⌫|
de las it é	-|-|-⌫--⌫-|
Etc om anda quefustocise	-|-⌫--⌫---|--|---|----|
eleer te nsachemi se.	--|--⌫|-⌫|-|-----⌫--|
Ainsquefustoci seni morte	---|--|---|---⌫-|-|----|
LiSainsdocementlac o nfort e	-|----|-------|-|-⌫-⌫-----⌫|
Etmulttrès debonair e ment	-|---|----|--------⌫-⌫---|
s ifaiti e rement	-⌫|-----⌫-⌫-----|
Aie ̀s bon	---⌫-|--|
cueretrienne	---|-|---|-|
Damne-Déest ot ei s ansdote.	--------|--||-⌫-|-⌫--|----|
De lcorsp ristDaciensuenianc e	--⌫|---|-⌫---|------|-------⌫|
Trespe rcierlafistd une	------⌫----|-|---||--|
L armeenala tot àdeliure	|---|-|--|--|-|------|
pard urableuiure.	----⌫-----|-----|
Lachoseatant nela issa	-|----|----|-|--⌫---|
Dacie nspleinsdefelon ie	-----⌫-|-----|-|-----⌫-|
En son si ege sala séoir	-|--|--⌫--||--|-----|
Et uostlesaintàceoi r.	-|---|-|----|-|-|--⌫-|
AuantlidistAlexand rie	----|-|---|-------⌫--|
Aiàport eiperduela	|--|--|-⌫-|-----|-|
uacau quitantde malen b races	----|--|---|-|--|--⌫-⌫----|
Une c hose	--|-⌫---|
unesepu lture	--|----⌫----|
Quiest uieile et	--|--|-----|-|
ancor dur e	----|---⌫|
Mors ià nul	---|--|--|
nepue tsaue ir	-|---⌫|----⌫-|
niquansip uet	-|----||-⌫--|
Pri ia ̀t on Deu queil	--|--⌫|-⌫-|--|--|-|
Reuiuresi que	------|-|--|
faceàf ace	---|-|-⌫--|
Lespuissomtuit ueir ensemble.	--|------|---|---|--------|
puet fa ir ebie n	---|--⌫--⌫|---⌫|
me s emble	-|-⌫----|
Q uet u l e ndèsplus	-⌫-|-⌫||-⌫|---|---|
ch ierteni r .	--⌫--|----⌫-⌫|
SainsIorgequi uost main tenir	----|----|--|---|----⌫----|
Les b iensqu	--|-⌫---|-|
ilaueitporposé	-|----|-------|
De uant le tirantaosé	--⌫---|-|-----||---|
C omandertostalerq uerre	-⌫------|---|---|-⌫----|
Toslesosettraired eterr e .	--|--|-|-|-----|-⌫|----⌫-⌫|
Sans plus dire	---|---|---|
etsansplus parler	-|---|---|-----|
FistDaciens àcesosaler.	---|------|-|--|-|----|
Ilalerentgranta le ́u r e	-|------|----|-⌫--⌫--⌫-⌫|
Qu antuindrentà lasepulture	--⌫--|-------|-|-|--------|
Ilneporen t paslesosprendre	-|-|-----⌫|--|--|-|------|
Tuit estée nttornéensendre.	---|------⌫-|-----|-|------|
Ensenblela sendre	-------|-|-----|
apo rtere nt	---⌫-----⌫-|
Etd euantle	-|-⌫----|-|
saintl aposere nt.	----|-⌫|------⌫--|
Lisainss agenoille en laplac e	-|----||--------|-|-|----⌫|
Deupriaquemiracle face.	--|---|--|------|----|
Multpitosementuerslesnues	---|---------|---|--|---|
Sesma i nsiointes a este nd ues	--|--⌫-⌫-|------||----⌫--⌫--|
EtdistD eusquitot	-|---|-⌫--|--|--|
conpass a s	-------⌫-⌫|
Etde nferles port esbrisas	-||-⌫---|--|----⌫-|-----|
Sir equi tot	---⌫|--|--|
Toscesmor s enuiere maine.	--|--|---⌫|-|--|--⌫-----|
Ai nsqueeustsaprieredit e	--⌫-|--|---|-|-----|---⌫|
