Quenul senblant	--|--|-------|
que olui Eüst home deson lina g e	--||--|----|---|-|--|----⌫-⌫|
Motmapenéson mariage	--|||----|--|------|
D e xpo rquoiestli roissifol	-⌫-⌫|--⌫----|--|-|---|-|--|
Ainzmelair oi e	---|-|----⌫--⌫|
par lec ol	--|-|-⌫-|
Pe ndreaunarb req en	--⌫---||-|---⌫-||-|
Ouospreïsedrüerie	|--|------|-------|
laitsolescondire	---|--|--------|
Porses felons	--|--|-----|
ue rsmoisaïre	--⌫-|--||----|
T r op par faitmal qu	-⌫-⌫-|--|---|--|-|
illesen croi t	-|--|-|----⌫|
Deceülontgoteneuoit	-----||--|---|-|---|
Motlesui iataisa n tetmuz	--|--|-|-|-----⌫-⌫|-|--|
Morhotfuça	-----|-|--|
uns d eustotsous	--||--|--|---|
Qui osastprendr es esadous	--|----|------⌫|-⌫-|----|
Motui mon on cleiluec pensi s	--|-|--|--⌫--|----|-----⌫|
Mexuosist estremor t que uis	--|-----|----|---⌫|--|--|
Pors onorcroistrem en ar m ai	--||---|-------||-|--⌫-⌫-|
Conbatim ensi l	------||-|-||
Nedeüst pa s	-|-----|--⌫|
misonc leschiers	--|---⌫--|-----|
De moicroir e	-|--|-----⌫|
s eslosengiers	-⌫-|---------|
S ouen tenai moncueririé	-⌫----⌫|-|-|--|---|----|
Pensë il que n	-----|-|--||
enaitpechié	-|--|------|
Certes oïlnifau dra mie	-----|---|||---⌫--|--|
Deul e fizsa inte	--|-⌫|--|--⌫---|
Dameorelid ites	---|--|-|-⌫---|
fa cefaire unfe uardant	--⌫-|----|-|--⌫|-----|
Et iem enentreraielré	-|-||-|-------|-|--|
Seiaunpoi l e n ai bruslé	-|-|-|---⌫|-⌫|-|------|
Delah airequ	-|-|-⌫---|-|
a urai uestu	-⌫---|----|
S imelai sttotardoir ufeu	-⌫|-|---⌫-|--|-----||--|
Qarie sai bien	--|-|--|---|
n a desacort	||-|-|---|
Quiabat alleo	--||---⌫---||
moi s en tort	--||-|---|
Dame por uostr e	---|--|-----⌫|
grantfranchise	----|--------|
Don cneuosenestpitié pri se	---⌫|-|--|-|--|-----|---⌫-|
uos en crimerc i	--|-|--|----⌫|
Tenezmoibie namonami	----|--|---⌫||--|--|
Qa ntieuincçaaluipa r	--⌫-|-|---|--||--|--⌫|
Comaseignoriu ol	--||------||-⌫-|
Par fois ire	--|--|-⌫--|
g ranttortauez	-⌫---|---|---|
Q ui de telcho se a moipar lez	-⌫-|-|--|---⌫-||--|---⌫--|
uo slemete ar aison	--⌫|-|---||-⌫----|
Etde s iref acepardo n	-|-||--|-⌫--|-----⌫|
Iene uuelpasenco rmorir	-|-|---|--|----⌫|----|
Nemoidutot	-|--|-|--|
ent o tperir	-|-⌫-⌫|----|
Ilu osmesc roitde moiforment	-|-⌫-|----⌫---|-|--|------|
Et ientendraileparlement	-||-|------|-|--------|
Doncser oiei etrophardie	---|---⌫--|-⌫|---|-----|
Tristr annen ferai	------⌫-||-|----|
Neuosnu m e	-|--|-|-⌫|
deuezre querre	----|--⌫-----|
Totesuisoleencesteterre	---|--|---|-|----|----|
Iluosa fait c ha n bresue er	-|--||---|-⌫--⌫-⌫---|--⌫-|
Pormo isilorm	--|--⌫||-|-||
enotparler	-|-|-----|
Bienme po rroit	---|-|--⌫----|
tenirporf ole	----|--|-⌫--|
Par foiianendiraiparole	--|--|-||-|----|-----|
u os diraiun e	-⌫-|----|--⌫|
Si uuelqueuosle	-|---|--|--|-|
sacie ́sbien	-----⌫-|---|
Seiluospard ounot beau sire	-|-|--|----⌫----|---|---|
maut alentetsireIenseroieioioseetlie	----⌫----|-||--||-|-----|-----|-|--|
So r sa uoitcestecheuauchi e	|-⌫|--⌫---|----|---------⌫|
Ce l sai iebien	--⌫|--|-|---|
q uei are sort	-⌫-|-⌫|--⌫---|
Trist rannau reie contremort	-----⌫--||--⌫---|-----|---|
u oismenimaisne prendraisome	-⌫--||-|----|-|-------|---|
Grant poor	----|---|
aique aucun home	-|--|----|---|
Nenosa itciueü	-|--|-⌫-|-|---|
uen irSunmot enpuet lirois oïr	---⌫-||-|--|-|---|-|---|---|
Qu en osfuso n çaa senb lé	--⌫|-⌫-|----⌫|--|-⌫----⌫--|
Il me feroi t ardoirenr é	-|-|-----⌫|-----|-|-⌫-|
Ne seretpasmeruellegr ant	-|----|--|-------|--⌫--|
Mis corstrenble poor aigrant	--|---|------|---|-|----|
Delap oorqui	-|-|-⌫--|--|
or mep re nt	-|-|-⌫--⌫-|
trop suicil onguement	---|--|-|-⌫--------|
I seutse nto rneil	-⌫---||-⌫|--⌫--|-|
Deuquienp ucele	--|--|-|-⌫----|
Pri st por	---⌫-|--|
lepuepleumanité	-|-----|-------|
Conselliezm oiparcharité	---------|-⌫-|--|-------|
Bie nsaini	---⌫|--|||
osez maisre maind re	---|---|--⌫-----⌫-|
ne saiaqui pla indre	-|--||--|---⌫----|
Biensai quemotmehetli	---|--|--|--|-|--|-|
Engagieze st	-------|-⌫-|
totmonhernois	--|--|------|
Car lemef aites deliurer	--|-|-|-⌫----|-------|
Si me n fuirai	-||-⌫|-----|
nio se ster	||-⌫|-⌫---|
Biensai que i	---|--|--||
aisigrant proo ise	-|-|----|----⌫--|
Par t oteterreou soladoise	--|-⌫--|----|-|--|-----|
B i ens ai que u mo nden	-⌫-⌫-|-⌫-|--||--⌫--||
a cortSi uoislis ires	|---|||---|-|-⌫---|
Et seo nques point du suenoi	-|-|-⌫----|----|-|---|-|
Yseut par cest mienchiefle bloi	----|--|---|---|----|-|---|
Nelseuoudr oit auoirpensé	--|-|-----⌫--|----|-----|
Meso nclesai nzun an passé	--|-⌫----|--⌫-|-|-|-----|
Porsigrantd orcomilest	--|-|----||-|--|-|--|
Ne uos enqier	-|--|-|---|
mentirdeus	-----|---|
Yseu tpo r	----⌫|--⌫|
Deu demoi pensez	--|-|--|-----|
Enuer smonos tem	-----⌫|--|--⌫-||
Tristranmotmem eruel	-------|--|-|-⌫----|
Quimedonezitelconsel	--|-|----|---|-----|
uosmalezporchaça n tm onmal	--||---|---------⌫-⌫|-⌫-|--|
Icestc on sel	----|-⌫--⌫--|
nestpa sloi al	|--|--⌫|---⌫-|
bien lamesc reance	---|-|----⌫-----|
Ousoit sa uoi rousete nfance	-|---|--⌫---⌫|-|--|-⌫-----|
sire glor i os	---|----⌫-⌫-|
cielet t er reet no s	---|-|-⌫--⌫-|-|--⌫|
ot u n mot parler	-|-⌫|--|-----|
Queu osgages	--|-⌫-|----|
faceaqui ter	---|----⌫--|
seroitapertechose	-----|-----|----|
Certes ienesuis pa ss iosse	-----|-|-|---|--⌫|-⌫|---|
Nec euosdipor	-|-⌫|--|-|--|
Cesaci ésuosdeuerité	-|----⌫--|--|-|------|
Atants enest	----||-|--|
Iseuttorne e	----|-----⌫|
Tristranlaplo rantsalüee	-------|||---⌫---|------|
S or leperro ndemarbre	-⌫-|-|-----⌫|-|-----|
Tristran s	-------||
De men te soial ui	--⌫---⌫-|--||-⌫-|
Dexbeausi resaint	--|---|--⌫-|----|
Ienepe nsaifa iretel pe rte	-|-|--⌫---|--⌫--|--|--⌫--|
Ne fo ïrm	-|--⌫--||
en a telpouer t eN en	-||--|-----⌫-⌫||-|
mer ré a rmes necheual	---⌫--|-⌫---|-|-----|
Ne con p aigno nfors	-|---⌫-⌫-----⌫|---|
Dexdome desator né	--||--|-------⌫--|
Petitfaitom de	----|---|-|-|
luicherté	--|------|
Q ant ieseraienau t r eterr e S oi	-⌫--|-|----|-|--⌫-⌫-⌫|----⌫||-|
cheualierp arlerdegerre	--------|-⌫----|-|----|
oseraimo tsoner	-----|--⌫|----|
Ho mnunan ulleu	--⌫|-|||-⌫-|--|
Ormestour a sofrirfortune	-||------⌫|-----|------|
Tropmaura faitma l e trancune	---||---|---|--⌫|-⌫|------|
Beaus oncles po ime deconnut	----|-----|--⌫|-|-------|
Qui det afeme mem escrut	--|-|-⌫|---|-|-⌫-----|
oi talentde telrage	-|-----|-|--|---|
Petits aur oita	----|-⌫---⌫--||
moncora ge	--|----⌫-|
Liroisquisusenl	-|---|--|--|-||
arbreestoi t	----|-----⌫|
Outl asenb lee	--||-----⌫--|
E t laraisontoteen tendue	-⌫|-|-----|---|--⌫-----|
Delapitié qau co r li prist	-|-|-----||-|--⌫|-|----|
Quilneplorastnese ntenist	-|-|-|------|-||-⌫|-----|
Pornulau oi r	--|--|--⌫--⌫|
mo uta grantd uel	--⌫-||----|-⌫--|
Mothetlena inde	--|--|-|--⌫-|-|
Tint a guel	----⌫-⌫---|
Las faitlir oisor	--|---|-|-⌫--|-|
Qu elinains	--⌫|-|----|
m a tr o p deceu ̈	||--⌫-⌫|-----⌫|
arbrem efist	----|-⌫|---|
Iln emepout plusahon ter	-|-⌫|-|---|---|----⌫--|
Dem on neuo	-|-⌫-|---|
me f ist en tendre	-|-⌫--|--⌫-----|
Mençongeporqoifera ipendre	--------|-----|----⌫|-----|
fistmetreen aïr	---|----|-|---|
De mamollierfaireh aïr	-|-|------|----|-⌫---|
encruietsif is	-|---|-|-|-⌫-|
Ligerredonl en	-|-------||-|
Seie le puisaspoin z	-|-|-|---|-|----⌫|
Parfeu ferai sonco rsfenir	--|--|----|--|--⌫-|----|
Pa rmoiauraplu s	--⌫|--|---|---⌫|
Quene fistfaire	--|-|---|----|
C oste ntinA	-⌫----⌫---||
Seg oço nquiles colla	---⌫----⌫|-|-|--⌫----|
safemeletroua	-|---|-|----|
I llauoitco ronéa	-⌫||----|--⌫----||
Etlaseruoient	-|-|--------|
maintprodome	----|------|
Il latint c hie reethono ra	-|-|---|-⌫---⌫-|-|----⌫-|
En liémesfistp uisen	-|---|------|-⌫--|-|
Tristran se n e rtp ieça alez	-------||-⌫|-⌫-|-⌫----|---|
Lir oisde la rbr e	-|-⌫--|-||-⌫---⌫|
e st deualez	-⌫-|------|
c ue rdi tor c roitsa feme	-⌫--⌫|--⌫|-|-⌫---|-|---|
Etmescroitles baron sdu	-|-------|--|-----⌫|-|
Qu elifaisoient	--⌫|-|--------|
choseac ro ire	----|--⌫--⌫--|
Queil setbienque	--|-|--|---|--|
nestpas uoire	|--|--|----|
Et quilaproue ́a	-|-|-||-----⌫||
Ornelairaquaunain nedo ngeO s	-|-|----|-|-|---|-|--⌫--|||
espeesisa merite	----|-|-|-----|
P a rlui niertmais t raïsondi te	-⌫-⌫|--||---|---|-⌫------|--⌫-|
Neiamai siorne mescroi ra	-|-----⌫|--|-|-------⌫-|
Tristra nd	-------⌫||
Iseu t ainzlorlaira	----⌫|---|--|----|
L achanbre to taloru oloir	-⌫|------|--⌫||--|-⌫----|
O rpu is iebien	-⌫|--⌫-|-|---|
enfinsauoir	----|-----|
Sefeü stu oirceste	-|----⌫-|-⌫--|----|
N e feüst p as i ss i	-⌫|-----|-⌫-|-⌫--⌫|
ilsamas ent de folamor	-||----⌫--|-|--|---|
Ciauo ient	-|---⌫---|
as ezl eisor	--⌫-|-⌫----|
Bien lesueïseentre bais ier	---|--|-----|-----⌫----⌫--|
Gesaioï sigramoier	--|-|--|-|-------|
Orsai ie bienne nont	-|--|-|---||-⌫|--|
Porq oicroiesi fortoutr age	----⌫-|--|-|-|---|----⌫--|
m oi simenrepent	-⌫-|-||-|-----|
Mote stfous quicroittote	--|-⌫-|---|--|----|---|
Bien deüseainzauoirp roué	---|-----|---|----|-⌫----|
genzla ueri té	---|-|----⌫--|
eüse fol espoir	----|--|-----|
Buenui renta primier cestsoi r	---|--⌫---|-⌫------|---|---⌫|
Auparlement	-|--------|
aitant a p ris	-|---|-⌫-⌫--|
Iamaisio rnenseraipensis	-----|--⌫||-|----|-----|
Par matinetse rapaiez	--|------|--⌫-|----|
Tristr ano moisaura congiezD	------⌫-||--||---|------||
son plesir	--|-----|
remésli suen	-----|-|---|
Qui l uoloitfaire lematin	-|-⌫|-----|----|-|----|
Oiezd una inbo ç u	---|-⌫|--⌫-|--⌫--⌫|
Forsestoitsi	---|-----|-|
gard oite nl	----⌫--|-⌫||
Orïent et	------|-|
Desesto ile slecorss au oit	--|----⌫---⌫|-|---|-⌫--⌫--|
Lessetplanes tresdeu isoit	--|--|------⌫---|---⌫----|
bi en qu e	--⌫-|--⌫|
oiet unenf antnestre	---|-|---⌫--|-----|
L espoinzcontottoz desauie	-⌫-|----|-----|--|-|-|--|
Frocinsplainsde u o isdie	------|-----|-|-⌫-⌫----|
Motsepenoutd ecel	--|-|-----|-⌫|--|
deço iu r e	-----⌫--⌫-⌫|
Qu id elameleferoitsoiure	--⌫|-⌫||--|-|-----|-----|
As est oileschoisi st	-|---⌫----|------⌫-|
De mau talent rogistetenfle	-|---⌫-----|-----|-|----|
Bi en se tlirois fort lemenace	--⌫-|--⌫|-|---|---|-|-----|
nu desface	-|------|
Motest linainner ciet pale s	--|--|-|---|---⌫-|-|----⌫|
Mo ttost senuet fuiant	--⌫|---||-|--|-----|
Liroisuaitmotl enainquerant	-|---|---|--|-⌫|---|------|
Nu puett rouer se na	-|---|-⌫----||-⌫||
Yseutestensa chanbree ntree	----|--|-|-|------|-⌫----|
Brengainlauitdesc oloree	-------|-|--|----⌫-----|
Biensoutque ele a uoitoï	---|---|--|--|-⌫---|--|
Te lrie n dont outlecu ermar ri	--⌫|---⌫|---|--|-|--⌫-|---⌫-|
Quisimu oit	--|-|--⌫--|
et paliso it	-|------⌫-|
Seli demande ce quedoit	-|-|------|-|--|---|
Ele respo n t	--|-----⌫-⌫|
Be lemagistre	--⌫-|-------|
Bie n doi estre	---⌫|--|----|
p ensiueett ristre	-⌫-----|-|-⌫-----|
Brengain neuo su elpasmentir	-------|-|--⌫|-⌫-|--|-----|
Ne sai qui	-|--|--|
huinosuout	--|--|---|
Maisliroi s	---|-|---⌫|
Mar ce sto it en la rbre	---⌫|-⌫---⌫-|-||-⌫---|
Ouli perr onsestaitde	-|-|----⌫--|-----|-|
Ieuison on br e enla fontaine	-|-|--|--⌫--⌫|-|-|-------|
Dex mefistparlerpremerai ne	--|-|---|-----|--------⌫-|
Onques deceque ie	-----|-|-|--|-|
ditce uo s pleu is	--|-|--⌫|----⌫-|
Mais m eruellos conplaigne ment	---|-⌫-------|----------⌫---|
Etmeruellosgemi ss emen t	-|--------|----⌫--⌫----⌫|
Gelblasméqueilmem andot	--|------|--|-|-|-⌫----|
Eti lautretant	-|-⌫|--------|
Quelacordas ea	--||-------⌫||
m onseignor	-⌫-|------|
Quiagrantt ortert	--||----|-⌫--|--|
uersl uidemoiet ielid is	---|-⌫-|-|--|-|-|-|-⌫-|
Queg rant fol ie au oit requ is	--|-⌫---|---⌫-|--⌫--|----⌫-|
Queiealu imaisne	--|-||--⌫|---|-|
Neiaa ur oine	-|-|-⌫|-⌫-|-|
parlero ie	-------⌫-|
Nesaiqueieplu sr acontasse	-|--|--|-|---⌫|-⌫--------|
Conplainz io utune grantmasse	--------||-⌫-|--|----|----|
Onquesliro is nesaperç ut	-----|-|--⌫-|-||------⌫-|
Nemon est renedesconnut	-|--|---⌫-|-|--------|
Par tiemesuidu tripot	---⌫--|-|--|-|-----|
Breng ainmotsenesiot	-----⌫--|--||-|----|
Iseutmada megr antmerci	----|-|--⌫-|--⌫--|----|
De xfaitquine menti	--⌫|---|--|-|----|
uosafaitdeseurer	--||---|-------|
Duparlementsanz plusout rer	-|--------|---|---|---⌫--|
Queli r oisna chose ueüe	--|-|-⌫--|||----|----|
Qui nepuiseestren bientenue	--|-|----|---|-|---|----|
G ranzmiracles uos	-⌫---|-------|--|
Il estuerai s pereset	-|--|-----⌫|----|-|
cu redefaire ma lAceusquis ontbuenet	--⌫-|-|----|--⌫||---|--|-⌫--|---|-|
Tri s tran rauoitto tracontéA	---⌫-⌫---|-----|--⌫|-------||
sonmestrecomoutou uré	--|-----|--|--|--⌫---|
Qantcont erl	---|----⌫-||
Deuen mer cie	--|-|---⌫--|
Queplusnioutfait osamie	--|---|||--|---|||---|
Ne poutsonnaintrouerlirois	-|---|--|---|-----|-|---|
D ex tant ert	-⌫-|---|--|
Tristransordois	-------|------|
Asachanbre l i	|-|------|-⌫|
rois enuie n t	---|-|---⌫-⌫|
Iseutleu oitq uimotlecrient	----|-|-⌫--|-⌫-|--|-|-----|
Deudontu enezuos	--|---|-⌫---|--|
Auezbesoin qui	---|-----|--|
Ro ïn eainzuiena u o s parler	--⌫---⌫|---|---||-⌫-⌫|-----|
Et u ne chosedema nder	-|-⌫-|----|----⌫---|
Sine me celezpasle uoir	-|-|-|----|--|-|---|
Qarla uertéenuuelsa u o ir	--|-|-----|-|---|--⌫-⌫-⌫-|
Si re onq ues iorneuosmenti	--⌫-|---⌫--|--|-|--|----|
Selamor tdoi receuoir ci	-|-|---⌫|--|-------|-|
Sen di rai	|-|--⌫--|
i eleuoi rdu tot	-⌫|-|---⌫|-|--|
au ram entidun mot	--⌫-|-⌫---||-|--|
Da meueïs pui smon	--⌫-|----|---⌫|--|
Sireleu oiruosendes no	---|-|-⌫--|--|-|---⌫-|
Necroiras pas	-|------|--|
queu oiren d i e	--|-⌫--|-|-⌫-⌫|
Maisie l diraisanztriche rie	---|--⌫|----|---|------⌫--|
G elu iet pu sparlaia luiO	-⌫-|-⌫|-|--⌫|-----||--||
tonn euosoz celpinfu i	--|-⌫--|--|--|--|--⌫|
enociro isetu	-|--|--⌫|-|-|
Certesgelu i	-----|--|-⌫|
Ceestgrantdeus	-|--|----|---|
Qartupensesquei	--|-|-----|--||
T ristrain	-⌫-------|
Parputerieet par anien	--|------|-|--|----|
Si aitelduelque moinenchau t	-|-|--|---|--|--||-|----⌫|
mefai s prendreun mal saut	-|---⌫|------|-|--|---|
Siremerciacelle foiz	---|----||----|---|
si ne men croiz	-|-||-|----|
Einzcroi z	---|----⌫|
parolefole et uain e	-----|---|-|----⌫|
Mabonefoi me fer asaine	-|---|--|-|---⌫|----|
Tristrantesniésuintsoz celpin	-------|--|----|---|--|--|--|
Quiestla ienz en cel iardin	--|--|--⌫---|-|--|-----|
Simemandaqualasse alui	-|-|----|-|-----||--|
Ne medist rie n mais ielidui	-|-|---|---⌫|---|-|-|--|
Anor fairenont ropfrari ne	---|----|--|-⌫--|-----⌫-|
suiie deuosroïne	--|-|-|--|-----|
Certesnefusent	-----|-|-----|
Q uiuosdïent ce qui ia niert	-⌫-|--|-----|-|--|-||---|
u olantierslifeïse anor	-⌫--------|-|-----|---|
Sire iost ien pormonseignor	---|--|-⌫--|--|--|------|
Etilestuostre nie ́sç	-|-|--|-----|---⌫-|-|
Poru os l ai ietant amé	--|-⌫-||-|-|---|---|
M a is lifel onlilo sengier	-⌫-⌫-|-|---⌫-|-|--⌫------|
Q ui l uuelent	-⌫--⌫|------|
de cortesloig nier	-|---|------⌫---|
Tefontacroi re la mençon ge	-|---|-----⌫-|-|-------⌫-|
Tristransenuet	-------||-|--|
De xlor en doinge	--⌫|--|-|-----|
Ma l e u erg oig ne	--⌫-⌫|-⌫---⌫---⌫-|
rece u oirA tonne uop arlaiersoir	----⌫-⌫--||--|--⌫-|-⌫----|-----|
M ot seconplaintcomang ois os	-⌫-|-|--------|--|---⌫---⌫-|
Sirequelacord ass e au os	---|--||-----⌫---⌫||-⌫-|
disce quils	--|-|-|-||
Nu le foizmaisn eme mandast	--⌫-|---|---|-⌫|-|------|
Qarieal ui	--|-||-⌫-|
maisneuendr oie	---|-|-----⌫--|
Nei aa uosnenp arl eroie	-|-⌫||--||-|-⌫---⌫----|
Sirederie n ne mencreir ez	---|-|---⌫|-||-|-----⌫-|
Seuosuolez	-|--|----|
O cïezmoimesciertato rt	-⌫----|--|--||---||--⌫-|
Tris tran senuet porle	----⌫---||-|--|--|-|
Bien saique outr e	---|--|--|----⌫|
lame rpasse	-|--⌫|----|
Dist moi quel ostellaq u itasse	---|--|--||----||--⌫-⌫-----|
Neluo l deriennule aq uiter	--|--⌫|-|---|---|--⌫----|
Nelongueme nt a luiparler	-|--------⌫-||--|-----|
Sireort aiditleuoirsanz	---|-||-|--|-|---|---|
Sei e temen tlechief	-|-⌫|-|---⌫|-|----|
Ce saciezsiresa nzdo utance	-|-----|---|--⌫-|--⌫-----|
Ielif eïsela quitance	-|-|-⌫----||-⌫-------|
Seieosa seuolentie r s	-|-|---⌫-|--------⌫-⌫|
N e so lquatr ebesanzentiers	-⌫|--⌫|-----⌫|-----|------|
uolmetreen s aumosniere	--|----|-||---------|
Por ta mes nienoueliere	--|-|---⌫--|--------|
Pouresenuet	----||-|--|
Dexl eco n duie	--|-⌫|--⌫-⌫---|
Par gran tpechié lidonez	--|----⌫|------|-|----|
iaen celpai ̈s	-|-|--|---⌫-|
soi t ueraisamis	---⌫|-----|---|
Li rois sout bienq ue lotuo irdit	-|---|---|---|-⌫|-⌫|-|--⌫-|--|
Les parolestotes oït	--|------|----|---|
Aco le lac entfoi z	---⌫-|-|-⌫--|---⌫|
El p loreilditquele s e	-|-⌫---|-|--|-|--|-⌫|
Ia nesmescrerr amaisnul io r	-|--|--------⌫|---|--|--⌫|
Pordi t de nul lo sengeor	--|--⌫|-|--|--⌫------|
Al lentet uieng ent alorbuens	--⌫---|-|-----⌫--||--|----|
Tristr anertmes suens	------⌫-|--|--|----|
Etli suens	-|-|----|
