pe leusiertunsrichesre is	--⌫---|---|--|-----|--⌫-|
festefis tli reis	----|---⌫|-|---|
g ranzfu lacor zqui	-⌫---|-|-|---⌫|--|
egranzlagenz q uil asenb la	|----|-|---|-⌫|-|-----⌫-|
assez iotco ntesed us	----||-|--⌫---||-⌫-|
echeualierssetcenzeplus	|---------|--|---||---|
iason ifuehe rcules	----||-||--⌫-----|
sos tintmain tpesan tfai s	---⌫---|----⌫|-----⌫|---⌫|
e mainte grant merueill ef ist	|-----|----|--------⌫|-⌫--|
emaint felon iaiantocist	|----|----|-----|----|
el esb on esiluec	|-⌫-|-⌫--⌫-|----|
ou alisa ndre s lestroua	-|-----⌫----⌫|--|----|
sesgranz merueilles esi	--|----|---------||-|
seront atoziorzmaisret rait	-----||--|---|---|---⌫---|
granz epleniere fulacorz	----||-------|-|-|---|
e quant elot	|----|-|-|
duré yyiorz	----|-|---|
sali reisiasonapelé	||-|---|----|-----|
o ianttoz l a ara isoné	-⌫---|--|||---⌫-----|
oie z biausn ie sfait	---⌫|----|-⌫--⌫|---|
rien queseit uiue	---|--|---|---|
n ainioplus	|--|-|---|
sachesbien	-----|---|
maismonstrerteu ueilu nerien	---|-------|-|-⌫---|-⌫-|---|
mout par esbeausprozehardiz	---|--|-|----|---||-----|
siescheualiers g r anz e	|--|---------|-⌫-⌫--||
mou tas gentcors	---⌫|-|---|---|
egrantuertu	|----|----|
m aintluecomb atu	-⌫---|--|----⌫--|
tozi orz enasui ctoireeue	--|-⌫--|-|-|--⌫-----|--|
maintechose t est	-----|----||--|
donttutepuezmou t	---|-|-|---|---⌫|
fai reliez	---⌫-|---|
edonttuiesm out essaucie z	|---|-|--|-⌫--|--------⌫|
nusnes t huiuis	--||--⌫|--|--|
deton aage	-|--|---|
qui pr oece	--|--⌫---|
neuasselag e	-|--------⌫|
aitenuersteidenu illeterre	--|-----|--|-|--⌫---|----|
troppar porra sencor co nquerre	---|--|-----⌫|----|--⌫------|
grantprise gr antualor	----|---||--⌫--|----|
mout asco n quisegrant enor	---|-|--⌫-⌫----|----|---|
maiscon querrela puez	---|---⌫-----|-|---|
moutma ire	---|--⌫--|
sun e ch osepoeiesfaire	|--⌫|--⌫--|-----|----|
si ere s si	-|---⌫|-|
pr oz nesi os	--⌫-|-|-|-|
latoison de colcos	-|-----|-|-----|
qu iest de	--⌫|--|-|
fin or senzdotance	--|-|---|------|
ilest tielreparlance	-|--|---|---------|
poussesparnulsensaueir	------|--|--|---|----|
siaure ies doncs mais conquis	-|----⌫--|----|---|------|
q uiomt errien squiseit uis	-⌫-|-|-⌫------⌫|--|---|--|
es achess orlesdeuste iur	|-⌫----|-⌫-|--|---|-|--|
e leiaum ent tenfaz	|------⌫--||-|--|
t oisonpuesaue ir	-⌫----|---|---⌫-|
demonregn etehei r	-|--|----⌫|-|---⌫|
eamont ense	||--|-⌫--||
tenli uerrai	|-|--⌫-----|
la seignorie	-|--------|
delto ttenferaim aistr e e	--|--⌫||-|----|-⌫-----⌫||
ianeuoudras pensernedire	-|-|------|-----|-|---|
cele chose que io nenface	---|----|--|-|--|---|
quebel te se itet	--|--|-|--⌫-|-|
qui te place	--|-|----|
iasonoi quelireisdist	----|-|--|-|---|---|
el apramessequ il lif ist	|-⌫|-------|-|-|-|-⌫--|
sotlesgranzbiensqu	|-|--|----|----|-|
illir etr ait	-|-|-⌫---⌫--|
d esg ran z proeces qu il	-⌫-|-⌫---⌫|------|-|-|
bel emoutli plot	--||---|-|---|
emoutgrant	|---|----|
sietqu il atantfor ce e uigo r	---|-|-||---|---⌫-||----⌫|
eproeceeualor	|-----||----|
quelatoiso nsenzfailleaur a	--|-|-----⌫|---|-----|---⌫|
d esq ueils enentremetra	-⌫---⌫-|-||-|---------|
ia ne seraenluesi fort	-|-|---|-|--|-|---|
coliestuisne	-|-|--|--|-|
gra ntcue rae grantuolente	---⌫-|---⌫|||----|------|
daler enestrangeregne	|---|-|-------|----|
edeueei r l esregion s	|-|----⌫|-⌫-|------⌫|
dontiloinomerlesnons	---|-|-|----|--|---|
emo utu oudreitfa iret elrien	|--⌫-|-⌫------|--⌫--|-⌫-|---|
quelonliatornastabien	--|--|-|-------||---|
e d ontilessauc a stsonnom	|-⌫--|-|------⌫-⌫-|--|--|
lapr amesse ote legrantdon	-|--⌫-----|-||-|----|--|
quesisoncles li	--|--|-----|-|
prametei t	--------⌫|
e nginnientendeit	-⌫---|||--------|
ainzcuidotbi encertain ement	---|-----|--⌫-|-------⌫----|
senznula utredeceuemen t	---|--|-⌫---|---------⌫|
qu i po rson bie nl iloastfai r e	--⌫|--⌫|--|---⌫|-⌫|----|---⌫-⌫|
ni entend eitmalnecontraire	||------⌫--|--|-|--------|
totbonementl i respo n di	--|-------|-⌫|-----⌫-⌫-|
sirefaitiluostre merc i	---|---|-|-----|----⌫|
bie n saieueine dotd e rien	---⌫|--||--|-|--|-⌫|---|
o noruolezemonbi en	-⌫--|----||--|--⌫-|
hautecho seme prame tez	----|---⌫-|-|-----⌫--|
gr an zmercizu os enrente	--⌫--⌫|-----|-⌫-|-|---||
lair aiio q uant	-|--⌫-|-|-⌫---|
b eluoses t	-⌫-|--|--⌫|
moutuo lun ti ersuezmen to tprest	---|--⌫---⌫--⌫--|--||-|--⌫|----|
ianen quierplus	-||-|----|---|
l oncsoiorfai re	-⌫--|----|---⌫-|
sedeusmeg uaristdec ontr air e	-|---|-|-⌫-----|-|-⌫----⌫---⌫|
senue ndra	|-|--⌫---|
siguardezlimout ons	-|------|-|----⌫--|
ag u aris etient peleus	|-⌫-⌫--|-⌫|----|-----|
manderequer re	-----||----⌫-|
fistarg us	---|---⌫-|
engignersert	--------|--|
ici lp rouez	---⌫|-⌫----|
liplustressaius qu i	-|---|---|----|--⌫|
homnesaueits ozcielson pe r	--|-|-----|-⌫-|---|--|--⌫|
nequensibie n	-|-|---|---⌫|
seu stou rer	---⌫-|--⌫--|
reislot aseimandé	---||-||--|-----|
preié li a e comandé	-----|-|||-------|
cune nef se it f aiteehastee	|--|--|--⌫-|-⌫---||-----|
forzesiglanteatornee	---||------||------|
unfort tor ment	-|---|---⌫---|
e uno r ageeun grosuent	|-|-⌫-⌫--||-|---|---|
argusrespontiusque un	----|------|-----|-|
osedeuientanc or	|-|------|---⌫-|
r endraisipresteelanef	-⌫-----|-|------|-|--|
dire mastne tref	---|---|-|---|
cilse pena d e laneffair e	--|-|---|-⌫|-|--|----⌫|
quimout e nsot bie na	--|---|-⌫|--|---⌫||
chieftra ire	----|---⌫--|
elefut moute granz e	--|--|---||----||
e bien fu garniedebo rz	|---|-|-----|-|--⌫-|
c ouu elentdireliplusor	-⌫|--⌫----|---|-|-----|
maisione l tru i s mieenl	---|-|-||---⌫-⌫|--|-||
qu eco fulapremier ene s	--⌫|-|-|-|-------⌫|--⌫|
o uonquesotu eilesne	-⌫|-----|-|-⌫----|-|
neque pr emi erscorutparme r	-|--|--⌫---⌫--|----|--|--⌫|
ci lquios apremiers	--⌫|-||--⌫|-------|
cof uias o n	-|-⌫|---⌫-⌫|
coestquid é	-|--|----⌫-|
mais nen truisautr eautori te	---||-|----|----⌫|------⌫-|
cil otlanefapa reillé	--|-|-|--|---⌫------|
ebiencl auelee echeuillee	|---|--⌫-----||--------|
eencordeedefustna ins	|-------|-|------⌫--|
e go uernauzi oterains	|--⌫------||-||----|
ue i lesyta ges e obens	--⌫-⌫--|---⌫--||----|
chaa blese granzdrens	----⌫---||----|----|
ni ot rien plus	||-|---|---|
que aprester	--|-------|
de s or pue t omo l isigler	--⌫|-|---⌫|-||-⌫|-----|
parm i la mer ohautesueil es	----⌫|-|--||-----|----⌫-|
soleil easesteiles	-----||-|-------|
etparm ila contr ee	-|----⌫|-|-----⌫-|
quepeleusli	--|-----|-|
reisfaiseit	---|------|
faireagrant espleit	----||----|------|
en queiasondeu eit e ntrer	-|--|----|---⌫--|-⌫----|
queen colcosdeuoitsi gler	--|-|-----|-----|--⌫---|
caraue ircuidela t oison	--|---⌫-|----|-|-⌫----|
qued efinor estelmouton	--|-⌫|--|-|--|-|-----|
de splusproel i plus	--⌫|---|--||-⌫|---|
desplusdotezdesmielzaidanz	--|---|----|--|----|-----|
eq ui plu s erent	|-⌫-|---⌫|----|
ens o ntdr eit a iason uenu	-|-⌫-⌫-|--⌫--||----|---|
o ffertpramise dit lion t	-⌫----|-----||--|-|--⌫|
q uensemblemen to lu iiron t	-⌫|-----------⌫||--⌫|----⌫|
e iltrestoz les en	|-|------|--|-|
edoucementlordit eprie	|--------|--|--||---|
queq u ant	--|-⌫-⌫--|
ilaureitbuen orag e	-|-----|---|----⌫|
uerrei entsonmessage	------⌫--|--|------|
apareillié fu ssenteprest	----------|--⌫----||----|
la oulanesest	-|-|-|--|--|
ensilionttuitotr eié	---|-|--|---|---⌫---|
apresontpris	----|--|---|
delui congie	-|--|-----|
qu antuint contreletens	--⌫--|---|-----|-|---|
quedouceme ntch a n tentoisel	--|-------⌫-|--⌫-⌫-⌫---|----|
q u elapareistblancheebele	-⌫-⌫|-|------|------||---|
estuert fres che	--|---|----⌫--|
quantliuergiersontgentflori	----|-|------|---|---|----|
edelor fue illesreuesti	|-|--|---⌫----|------|
laure douce	|---|----|
uentee soef	----||---|
d oncsfistias ontraire	-⌫---|---|---⌫-|-----|
dedenzlamerne	-----|-|--|-|
tariap lus	----|-⌫--|
del non argus	--|--|----|
argus laueit	----||----|
faite eo uree	----||-⌫---|
porargusfu argo nomee	--|----|-|---|----|
guarni rlafistpeleusbi en	------⌫|-|---|-----|--⌫-|
nelordefaillinul e	-|--|-------|---⌫|
deq ua nt queloresteit	-|-⌫--⌫--⌫--|--|-----|
u enu furentl icheualier	-⌫--|-----|-⌫|--------|
e tuitsiautrecompaignon	|---|-|----|---------|
enla nef entrenta	-|-|--|------||
ensemble oeusuaithercules	-------||--|---|-------|
quipa r enziertiasonmoutpres	--|--⌫-⌫--|---|----|---|---|
liuenzcorutdeuersla	-|---|----|-----|-|
qui laneftost de l portdesserre	--|-|--|---|--⌫|---|-------|
la ue ile ontfait elmastdrecier	-|--⌫--|--|---|-|---|------|
drei turie r	----⌫-----⌫|
donccomencierent asig ler	---|-----------||---⌫--|
par m ilatranse delamer	---⌫-⌫|-|-----|-|-|--|
sigléa u eilepleine	-----||-⌫---|-----|
ainzquetrespa ssastlasemai n e	------|------⌫----|-|-----⌫-⌫|
ariuerentasporzdetroie	--------|-|---|-|----|
ag ra ntleece	|-⌫--⌫-|----|
eagranti oie	||----|-⌫--|
elhaure desimoent a	-|----|-|-------⌫|
sai bie nquel anesariua	--|---⌫|--|-⌫|--|----|
horsseneissirentambedui	---||-|--------|------|
iasonehercule solui	----||-------⌫||--|
e tu itloraut r ec o mpa ig non	|--⌫-|--|---⌫-⌫|-⌫-⌫---⌫--⌫--|
g rantioi e m e inentelsablon	-⌫---|---⌫|-⌫-⌫----|-|-----|
lor euedou ceont ref reschee	--|--|---⌫-|--|---⌫------|
que lamer sa u eitempeiriee	--|-|---⌫|-⌫-⌫--|--------|
sor leriuag e	--|-|-----⌫|
elbe lgr auier	-|--⌫|--⌫----|
o nt faitco n ree r lo r	-⌫-|---|--⌫-⌫---⌫|--⌫|
dousiorzaueientsoiorné	---|---|------|-------|
quarauques	---|-----|
estei e nt la ssé	-----⌫-⌫-|--⌫---|
mie grantcora ge	--|----|----⌫-|
defa ireelpais	-|--⌫--|-|---|
loncestage	---|-----|
maismout loriertebuenebel	---|---|--|---||---||--|
dere poser enlu e nouel	-|--⌫----|-|--⌫|----|
e d auquess eiorner lor	||-----|-⌫------|--|
tuite stei ent de lanefh ors	---|-⌫----⌫--|-|-|--|-⌫--|
mal nedamag e nefaiseient	--|-|-----⌫|-|--------|
enlacontree	-|-|------|
ou il esteient	-|-|-------|
liroisde troiel aumedon	-|---|-|----|-⌫------|
ertariuezehercules	--|-----||-------|
eautrescheua liersades	|-----|-----⌫----|---|
plusdesetcen z	---|-|--|---⌫|
prouzeh ardiz	----||-⌫----|
gr ece l es plusesliz	--⌫--|-⌫-|---|----|
te r rec auenu	--⌫-⌫-|-⌫|---|
totl e paisontc onf ondu	--|-⌫|---|--|-⌫---⌫---|
les chaste ausarsprise lapr ei e	--|------⌫--|--|----|-|--⌫--⌫|
mouttos tnesen enueie	---|---⌫||-|-|-----|
damageli fer ont en fin	-----|-|---⌫--|-|--|
seil longuessunt siuei si n	-|-|------|---|-|---⌫--⌫|
n esiuueilleiaconsentir	|-||------|-|--------|
q uargranz mau s lenporr eit uenir	-⌫--|----|---⌫||-|----⌫--|----|
laom edonfu degrantsens	----⌫---|-|-|----|---|
dotaensonporpens	---|-|--|------|
gre ceconsenteit	---⌫-|---------|
ne e n nulsenslo ramordeit	-|-⌫|--|---|--⌫|-------|
ariuassentases porz	---------||--|---|
il e n sereit hon iz em orz	-|-⌫|-----|---⌫-||-⌫--|
bienenporreit	---|-|------|
perdre s onor	-----||---|
equant ue ndre italchie fdeltor	|----|--⌫----⌫-|-|----⌫|--|--|
t ost lifereien t lait	-⌫--|-|-------⌫|---|
lireisapris unsuenmessage	-|---||---|-|---|------|
cuensestei t cildehau t	----|-----⌫|--|-|---⌫|
p roudomeaueiten lu ie	-⌫------|----|-|--⌫||
sontalent liench arge e	--|-----|-|----⌫---||
misenescrit	--|-|-----|
puises tm ontezelpa lefrei	---|--⌫|-⌫----|-|--⌫-----|
di sc o mpaignon s menao	--⌫|-⌫-⌫--------⌫|---||
tan tch auauchier enta	---⌫|--⌫---------⌫--||
quealpo rtson tuenu	--|-|--⌫-|---⌫|---|
t o t dre it	-⌫-⌫|---⌫-|
leseignoronttantde man dé	-|------|--|---|--⌫---⌫--|
que li autreloront	--|-|----|--|--|
son messagelidist licuens	--|------|-|---|-|----|
q ui sire em estre esteit	-⌫-|---||-⌫----|-----|
iason fait il	----|---|-|
ententamei	-----||--|
de partlaomedonl e r ei	-|---|-------|-⌫|-⌫-|
uieng a t eitot	----||-⌫-|--|
nomee ment	-----⌫---|
eacesautresensement	||--|-----|-------|
queto st ten issesde sat erre	--|--⌫-||-|----|-|-|-⌫---|
paislauouttenir senz	---|-|---|----|---|
s enzsoncong ie ese nz songre	-⌫--|--|----⌫-||--⌫-|--|--|
estesens onpaisentré	----|-|-⌫-|---|-----|
il nes iet pasparquelafai re	-|-|-⌫--|--|--|---|----⌫-|
litorneagra ntcont rai r e	-|----||---⌫-|----⌫---⌫-⌫|
dontuo sonquesciariua stes	---|--⌫|-----|-|-----⌫---|
nequededenz	-|--|-----|
s a terreent rastes	-⌫|----|---⌫-----|
neuueutq ue	-|----|-⌫-|
plusi d emoreiz	---||-⌫------|
ain zuueut tres bienque uos	---⌫|----|---|---|--|--|
tost uostorreit	---|--|------|
agrant folie	|----|----|
ne uosiaseurez m ie	-|--||------|-⌫-|
eissezu os en grantale ure	-----|-⌫-|-|----|---⌫--|
a inzqu il uosface	-⌫----|-|--|---|
autr e l aidure	----⌫|-⌫-----|
sun so l iora ueie zenfre it	|-|--⌫|--|-⌫----⌫|-----⌫-|
le deuiequep armei uosfait	-|----|--|-⌫-|--|--|---|
nenporrei tpu i s u n solbaillier	|-|------⌫|--⌫-⌫|-⌫|--|-------|
que iaiormaiseus t mestier	--|-|--|---|---⌫|------|
deu ossereit	-|-⌫-|-----|
faiteiosti se	----|-----⌫-|
ia nensereitraencons	-||-|-----|-------|
iaso n oilade sfiance	----⌫|-|-|--⌫------|
grantduel enaegrantp esance	----|---|-|||----|-⌫-----|
par d eu fai tilseignor grez eis	--|-⌫-|---⌫|-|------|----⌫--|
grant honteno s	----|----|--⌫|
afait cistr eis	|---|---|-⌫--|
qui desa terrenos	--|-|-|----|--|
e conosmandeeno sd euiee	|-|--|----||--⌫|-⌫----|
quedem ain n iseionstroué	--|---⌫--|||-----|-----|
nosdeussonsestre	--|-------|----|
par l ui eparlasoegent	--|-⌫-||--|-|--|---|
m a is deto t	-⌫-⌫-|-|--⌫|
co na il talent	-|||-|-----|
mauuais emen tnos i henore	-------⌫----⌫|--||-----|
ma isencorcuitueeirtiel ore	--⌫-|----|---|----|---|--|
quilsenrepenti ramout	-|-||-|-------⌫-|---|
uassa us faitila l messag ier	-----⌫-|---|-|-⌫|------⌫--|
d irepoe zauostre rei	-⌫--|---⌫||-----|--|
q uepa rlesdeusdenost relei	-⌫-|--⌫|--|---|-|----⌫-|--|
icipre i mes port	--|---⌫-⌫--|---|
damageer gu e il honte ne to rt	-----|--⌫--⌫-⌫-|----|-|--⌫-|
n euousi mesf aireensaterre	-⌫|-----⌫--|-⌫---|-|-|----|
nenau i onst a lentd e	-||--⌫-⌫--|-⌫-⌫---|-⌫|
es ilengrecefustuenuz	||-|-|----|---|----|
agrantioie fustrece uz	|----|---|---|----⌫-|
il nen fust	-||-|---|
mie congee z	--|------⌫|
ancei sifust mouthonor ez	-----⌫||---|---|-----⌫-|
seraencorretraite	---|----|-------|
ceste hontequ	----|----|-|
at ielsqui mo ut	|-⌫---|--|--⌫-|
iafailleniaura	-|-----|||---|
hercules adit	-------||--|
al mess age	-|----⌫--|
uassautl eportele riuage	------|-⌫|---||-|-----|
guerp ironsnosia	-----⌫----|--|-|
mais dunechos efa zcerta in	---||--|----⌫|--⌫|-----⌫-|
la ome donuostreseign or	--⌫---⌫--|-----|-----⌫-|
iu squ t r eisan zuerratielior	--⌫--|-⌫-⌫--|--⌫|----|---|--|
q u encest	-⌫|-|---|
pa isarri uerons	--⌫-|----⌫-----|
c ongie ne	-⌫----|-|
len querrons	|-|-------|
uienepormanace	--|-|--|-----|
olise itbeloli desplace	|-|--⌫-|--||-|-------|
ni lai s seronsasoiorner	||---⌫-⌫-----||-------|
enuie rnosdeitet	-----⌫|--|---|-|
de lahontequilnos afa i t	-|-|----|-|-|--||--⌫-⌫|
moudeureitaueirtel	--|------|----|--|
quelitornast a deshonor	--|-|------||-------|
ainzqueuenist	------|-----|
alchiefdel tor	-|----|--|--|
toz iorzse	--|---|-|
poustplai ndre	----|----⌫---|
siferailnepuet remaindre	-|---|-|-|---|--------|
limessag es fumoutc orte is	-|------⌫-|-|---|-⌫----⌫-|
pardie u seignorfaitilg rezeis	--|---⌫|------|---|-|-⌫-----|
laidec hoseestdemenacier	----|-⌫---|--|-|-------|
ioneuie ncmie	-|-|---⌫-|--|
mo nm essag e	--⌫|-⌫-----⌫|
uo saiditbien	--⌫|-|--|---|
ne quitque i obliasseri en	-|---|--||-------|--⌫-|
ionena ip lus o	-||-|-⌫|-⌫--||
uosq ue faire	--|-⌫-|----|
desormemetraiel repaire	--|-|-|-----|-|------|
seuosp laistuos i remain dreiz	-|--|-⌫----|--||------⌫----|
u osenirez	-⌫-|-|---|
maiscesacheziolo ereie	---|-|-----|-|--⌫----|
queuosm eisse iza laueie	--|--|-⌫-----⌫-||-|---|
a tant senpa rt esi sentorne	-⌫---||-|--⌫-||-||-|----|
a ci lremist renttrist e m orne	|--⌫|------⌫---|----||-⌫---|
une chosepuet honsau eir	--|----|---|--|---⌫--|
s ileneus se ntlepo eir	|-|-|---⌫--⌫-|-|--⌫--|
terreneneississe nt	----|--|--------⌫-|
deciq uedama ge ifesissent	-----⌫-|----⌫-||--------|
sontgentalcomencie r	---|---|-|--------⌫|
icelelora faitlaisser	--|-|--||---|------|
nio serentplusremanei r	||-⌫-----|---|-------⌫|
enlorn efentrent uersl e seir	-|--|-⌫-|------|---|-⌫|---|
fortment sigleren tenagierent	-------|--------⌫||--------|
delacontreeses l oigniere nt	-|-|------||--⌫-⌫--------⌫-|
m outregrete	-⌫--|------|
s ouentiason	-⌫----|----|
coquelo ra faitlaomedon	-|--|--⌫||---|-------|
a luieasescomp aignons	|--|||--|----⌫------|
tantontt ire ́as	---|--|-⌫---⌫|-|
attant sig léapleinesueiles	-|---|---⌫--||------|-----|
asesteiles	-|-------|
ariuerentenco lcon	--------|-|--⌫---|
delanefesteissuz	-|-|--|--|-----|
s icom pa ignon	-⌫|---⌫--⌫----|
sor le riuage	--|-|-----|
elbel sablon	-|--|-----|
u estirentlor corsgen tement	-⌫-------|--|---|---⌫-----|
richefurent lorgarnement	----|-----|--|--------|
de drasdeseie aorbrusdez	-|---|-|---||-|------|
d egris e dermineforrez	-⌫|---|||-----|-----|
lipluspouresotuest eure	-|---|-----|-|----⌫---|
r ichebienfaitea s amesure	-⌫---|---|----||-⌫|-----|
un e citeot iluec pres	--⌫|---|-|----|---|
quelon clamot	--|--|-----|
iaco nides	----⌫----|
beleerte gran zetforze gente	---|--||----⌫|-|---||----|
aueitb ientresqu	----|-⌫--|-----|
clos ee steitt otedebuen m ur	----⌫|-⌫----|-⌫--|-|---|-⌫-|
definmarbres erréedur	-|--|-----|-⌫----||--|
m outiau eit	-⌫--||--⌫--|
ri chesmaisons	--⌫---|------|
egranz palaisehauzd onions	|----|-----||---|-⌫-----|
ec heuali erse merchaanz	|-⌫------⌫--||--------|
ric hes esag ese	---⌫--||---⌫-||
dames iotmout epuceles	----||-|---||------|
ebo rge isescointesebe les	|--⌫---⌫---|------||--⌫--|
moutfulacitezbienfon de e	---|-|-|----|---|---⌫--⌫|
et moutfurichela contree	-|---|-|----|-|------|
de fruiz doiseus edepeissons	-|----||-----||-|-------|
c osachezgra n z	-⌫|-----|---⌫-⌫|
f o i so ns	-⌫-⌫-⌫--⌫-|
ri c heiertiaco nites	--⌫-⌫-|---|----⌫----|
lirei saueit nonoetes	-|---⌫|----|--|----|
asseza ueitriche tenue	----|-⌫---|----|----|
quar moutiertl i slebienta nue	---|---|---||-⌫--|---|--⌫--|
e clersliiors	|----|-|---|
term in e de pascor s	----⌫--⌫|-|------⌫|
ia sonli proz	--⌫--|-|---|
ettu i tlur	-|--⌫-⌫|--|
c ompaignonapres	-⌫--------|----|
son t uenudreita lacite	---⌫|---|----||-|---|
gentement furentconreé	--------|-----|------|
b ie nsemblerentbuene m ais niee	-⌫--⌫|---------|----|-⌫---⌫---|
quartrop fubienapa reilli ee	---|---|-|---|---⌫------⌫-|
a merueilleleses guarderent	|--------|--|--⌫---------|
q uant ilenla cite entrerent	-⌫---|-|-|-|---|--------|
cildesruese desso liers	--|--|---||--|--⌫----|
d esfe nestre se des	-⌫-|--⌫------⌫||--|
planchie rs	--------⌫-|
et mo utpar sontd	-|--⌫-|--|---||
dontiluienent n edeque lterre	---|-|------|-⌫|-|---⌫|----|
pristr e ntfin ne ces	------⌫-⌫-|--|-|--|
de ciqu il uin drent el palais	--⌫---|-|---⌫----|-|-----|
ou oesteslireis	-|-----|-|---|
quiunsgr anzplaiz	--|--|--⌫--|----|
leiorten eit	-|--|---⌫--|
deuantlasale l ez	-----|-|---|-⌫-|
