Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
Ga udinsliBrunset Huësde	--⌫----|-|----|-|----|-|
Coumarchis lifrans	---------|-|----|
Bieu seconnurentas	---|-|--------|-|
ensengnes cri ans.	--------|---⌫---|
Lors renoueleliesto urs moltpesans.	---|-------|-|----⌫--|---|------|
Maiutge ntilh omeperdi iluecsontans	----|--⌫---|-⌫--|----|----|--|---|
Ki puis ueuituefam eue	-|---|-|--|-|---⌫|-|
Gransfulestorspar uerte ́le	----|-||-----|--|-----⌫|-|
P r e usont licou teet parentetami	-⌫-⌫-⌫|---|-|---⌫-|-|-----|-|--|
Nese fauro nttautcomil so ient ui f.	-|-|-----⌫-|---|--|-|--⌫---|--⌫-|
Maisuiuiënting iouaup lushard i	---|------|---|--|-|-⌫--|----⌫|
unefois porpaiensne	--|---|--|-----|-|
Deuantlesautresaueülaup atri	-----|--|-----||---||---⌫---|
Kileior lot	-|-|--||-|
nauréetmalbail li	-----|-|--|----⌫-|
Parmi le corsdesonespilforbi	--|-|-|---|-|--|----|----|
Cefulapla iekile	-|-|-|---⌫-|-|-|
plusli nuisi.	---|-|-----|
Mai sui uiëus uel apas meschosi	---⌫|--⌫-----|-|||--|-------|
Tellid ouna del branc dacier	--|-|-⌫---|--|----||----|
Par mi sonelme k	--|-|--|---||
ilo ta orbruni	-|-⌫||-|----|
Dusqesespa ulesla	---|-|----⌫---|||
fenduetparti	----|-|----|
Mortle treb ucedo u destrier	---|-|----⌫--|--⌫|-------|
D iëutliconteDie x	-⌫----|-|----|---⌫|
q eluasalac h i	-⌫-|----||-⌫-⌫|
Garisles ire	----|-|-⌫--|
parla toiemerchi	--|-|---|-----|
Ai cestcop s escrie ̈ntArabi	|-⌫---|--||------⌫--|----|
Dist lunsalautre Ma lsommesescarni	---||--|||----|--⌫|-----|------|
Li uisd iableontcestui	-|--|-⌫----|--|-----|
re ues qui	--⌫---⌫--|
Qua ntilfumors tr es ierami ëdi.	---⌫-|-|-|---|--⌫-|--||--⌫----|
l ienfant Aimeri	-⌫|-----|-----|
Guillaumesalero iTiebau thouni	---------||-|--⌫|------⌫|----|
Quan tdameOra blesafeme	----⌫|---|---⌫--|-|---|
Etde saterreladeltotdes sai si.	-|-|-|----|-|--|--|---⌫---⌫--|
Seci s t gloutonnosescapentensi	-|--⌫-⌫|------|--|-------|---|
MoltdeuonsestredeMa honmet	---|-----|----|-|--⌫-----|
Tropleur au onsleurorgu el consenti	---|---|--⌫--|---|----⌫-|-------|
Ma isa insleues pre k eilsoi t aseri	--⌫-|-⌫--|-|---⌫--|-⌫|-|---⌫|----|
SetenrabieuGuillaum e sa h oni	-|----|---|--------⌫-⌫||-⌫--|
mau aiset rec re antfailli.	---⌫--|-|---⌫--⌫--|------|
uoir di stB ertra nsu osiaués	---|--⌫-|-⌫-----⌫-|-⌫-||----|
L orsse re quierentli	-⌫--|-|--⌫-------|-|
m ortel anemi.	-⌫----|-----|
D on tueïssiésf ier	-⌫--⌫|---------|-⌫--|
estore sbaudir	----|-⌫------|
Ta nt for tescuestroer	--⌫-|---⌫|---|------|
etcroissir	-|-------|
T autelmefra ind retant hau berc desartir.-	-⌫--|---|---⌫---⌫-|---|---⌫---|---------|
Telnoi se maiuentette l huet	--|---⌫-|------|-|--⌫|-|-|
De.ii.granslie uesles	-|---|----|---⌫--|--|
aonbienoï.	|-|---|---|
Celebatailleoutli nos	---|-------|--|-|--|
Mais dusqa po iserontgrain	---|---||--⌫|-----|----|
Sedexnenpense por lasoemerci.	-|--||-|----|--|-|--|-----|
G ra ns fulanoi selic ri setlahuë e.	-⌫--⌫-|-|-|---⌫-|-|-⌫--⌫|-|-|----⌫-|
Iceleesciele fubieu desbaretee	----|------|-|---|---------|
Q uautAeroflesleursort du n e	-⌫---|-------|---|---||-⌫-⌫|
O tout .x.m. de	|---|----|-|
lagentdesfaee.	-|---|-------|
Lagen sfuiausest oluiretornee	-|---⌫|-----|--||--|-------|
Iai auradole reusemellee.	-||---|----⌫----|------|
Aincuacointi ere nt	---||-------⌫---⌫-|
li nos piëur ioruee	-|--|-----|-----|
Caratesgens au ront poideduree.	--||--|---|--⌫---|--|-|-----|
Sorl es .uii.contes estl eurfo r ce	--|-⌫-|----|-----|--|-⌫--|--⌫-⌫-|
Lau centleur la nces et fau sars	---⌫---|---|--⌫---|-|---⌫---|
Niac eluinaits a t argefausee	|||-⌫---||--|-⌫|-⌫---|-----|
ro m pulachar ensauglente e	--⌫-⌫-|-|---|-----------⌫|
En.xu. lieus	-|---|----|
Cil sedesfendent comm e gent	--|-|---------|----⌫|---|
Cascunstenoi t elpoig d est re	------|-----⌫|-|---|-⌫---⌫-|
As paieus caupentmain tpoingmainteco r ee	-|-----|------|----⌫|----|-----|--⌫-⌫-|
A ma int enfontchaï rlaboelee.	|--⌫--|-|---|-----⌫|-|------|
D echo uke chautIau iaront	-⌫|---⌫|-|----|-|||----|
Cardepaiens e sttropgran sl	--|-|-----|-⌫-|---|----⌫||
Maiut esaiete leuroutt raiteetbersee.	-----⌫|-----|---|--|-⌫----|-|------|
EsAero fiepoignant de ra ndonee	-|----⌫--|-------|-|--⌫-----|
Tientunehacek ibieufu	----|--|---|-⌫|---|-|
uie nta Guicarttele li	---⌫-||------|---|-|
Kepar de rire asa targecaupe e	-|--|--⌫---||-|----|-----⌫|
E tle ce ualtr es	-⌫|-|--⌫--|--⌫-|
par mileskinee.	--|-||-------|
Dechiquater reest l a hace	-|--|-||---⌫-|--|-⌫|---|
Pl us de.ii.piés	--⌫-|-|---|----|
mienesci aut entree.	---|----⌫--|------|
Guicharschaïe uuersenm il apree	-------|----|-⌫----|-|-⌫|-⌫|---|
Et sescheuau s les luigeuleba ee.	-|--|------⌫|--|--|----|--⌫--|
QuautAe roflesuitlaseleuersee	----|--⌫-----|--|-|---|-----|
G rans f uet forss	-⌫---|-⌫|-|---||
otlabrac equarree	-|-|----⌫|------|
s i forthomme dusqen laMer	-⌫|---|----|---|-|-|--|
F orsRain ouart fielsase rorlais nee	-⌫--|----⌫----|---|-|--⌫--||---⌫--|
Et Hauceb i r despu is de Grimolee	-|------⌫-⌫|--|--⌫-|-|-------|
La fulafor cedeltiu el esproue e.	-|-|-|---⌫-|--|---⌫-|-------⌫-|
Qu ant A ero flesotG uic artabatu	--⌫--|-⌫---⌫---|-|-⌫---⌫--|----|
For s fuetfiers et	---⌫|-|-|----|-|
degraudeuertu	-|-----|----|
Guica rt saisista lauber c c	-----⌫-|------|||-----⌫||
Ausi le li eue c om.i.raiudeseu ̈	---|-|--⌫--|-⌫-|--|---|-|---⌫|
l auf errantgernu .	|---⌫-----|-----⌫|
Par dr oite fo rc elia	--|--⌫---|--⌫--⌫|-||
CilescriaBertransire oues tu	--|-----|------|---|-|-|-|
OnclesGuil laumesorm aué suosperdu	-----|----⌫-----|-||----⌫|--|----|
B ertran slententdiexsid olant	-⌫------⌫||-----|---|-|-⌫----|
Toutli.ui.conte	---|-|---|----|
i sont po ignantuen u	|---|--⌫-----|---⌫|
Li.iii.enfierentle p aien	-|----|-|------|-|-⌫---|
Sou entlefiertc as c unsd el	---⌫--|-|----|-⌫--⌫-⌫--|-⌫-|
b rancmolu.	-⌫---|----|
elmemais nenpir eunfestu.	---|---||-----⌫|-|-----|
L iautre .iii. ontfi erest or rendu	-⌫|----|----|--|--⌫-|---⌫-|----|
Ochisifurent.l.mescreü.	----||-----|--|--------|
Dec houk e cha utquantnesontsecoru	-|-⌫--|-⌫|---⌫-|----|-|---|-----|
Car depai ens sont	--|-|---⌫--|---|
totl icanpuest u	--|-⌫|---|----⌫|
Moltgrantdamages le uri estauenus	---|----|------|--⌫-||--|-----|
Cartotensamblesont	--|--|-------|---|
prisetretenu	---|-|-----|
Forsuiuiën	---|------|
kil outam ortferu	|-|--||-⌫--|---|
De .xu. espiex el cors parmilebu	-|---|-----|-|---|--|-|-|-|
Ma isne chietmie kil neplaist a Ihesu.	--⌫-|-|----|--||-|-|-----||-----|
Aiuski limuire seramoltchier	---||-⌫||----|---|---|----|
Diexqueldamag el	---|---|-----⌫||
Sihardis hom	-|-----|--|
EnAlisch ansotmeruilleus	-|------⌫--|-|---------|
hu st in .	--⌫--⌫--⌫|
Ber tranont prispa ie netSar asin	---⌫---|--|---|--⌫--⌫|-|---⌫---|
Guicha r tlenfant	------⌫-⌫||-----|
G er ar tet Guie ̈liu	-⌫--⌫--⌫|-|----⌫---|
Huon lepre u etl	---|-|---⌫|-||
aloséGaudin	-----|-----|
Gautierde Termes outloié du u saïn.	------|-|-----|--|----||-⌫|-----|
Dist uiuie ̈nsBertranssi recous in	---|-----⌫--|-------|--⌫-|----⌫-|
O ruo usenmaiuentliglouto nde	-⌫|--⌫-|-|------|-|------⌫|-|
Gerart lepreueGu ichart le	-----|-|---||--⌫-----|-|
pe rdraGuillaumest ot sonli n.	--⌫---|---------|-⌫-|--|--⌫-|
Diex porquoiui f quantneme pren tla	---|--|---|--⌫|----|-|-|----⌫|-|
Tex.xu .p laies aielcorssouslermin	--|---⌫|-⌫----|-|-|---|---||----|
D elame neur	-⌫|-|--⌫---|
morustunbarba riu	-----|-|-----⌫--|
lapos t le qu eq uier entperelin	|----⌫-⌫-|--⌫|-⌫----⌫--|------|
Puisquei e uoi que deuaiauois in	---|--|-⌫|--|--|--|-||----⌫-|
Nele nmenr on tli cuiuertd eputlin	-||-⌫|----⌫--⌫|-|------|-⌫|--|--|
Ainssentirontmoubonbrancache r iu.	---|--------|--|--|----|----⌫-⌫--|
descu for slauberc doublentiu	|---|---⌫||-----|---------|
Ets ouuertel meau bon cercledorfin .	-|-⌫-|---|--⌫-|-|--|-----||-|---⌫|
lieurentdesq uasse ́ li mas t in.	-|-----|----⌫-----⌫|-|---⌫-⌫--|
Ilr eclamale b aronsaint Martin	-|-⌫-----|-|-⌫---|----|-----|
E tsaintAudrie usai nt	-⌫|----|------⌫|---⌫-|
Poletsaint Fermin	--|-|----|-----|
Et saintHerhert ki sietdeseurle Ri n	-|----|------|-|---|-----|-|--⌫|
Etlec orssaint bene o it Flo rentin	-|-|-⌫--|----|----⌫-⌫-|---⌫-----|
hauta n gle	---|-⌫-⌫--|
qu en cla imeSeraphin	-|-|---⌫--|-------|
Killemaintigne uer slagent	|-|-|--------|---⌫|-|---|
EtdantGuillau melecomtepal asin	-|---|-------⌫-|-|----|---⌫---|
Lemei llorh omequionc beüst de uin.	-|---⌫---|-⌫--|--|--|-----|-|---|
Qnant uiuiëns ot	----|-------|-|
fine ́sorison	----⌫||-----|
Dont fuplus fiersquel upart nelion	---|-|---|----|--|-⌫----|-|---|
Lespee traitefier tpaiens aba ndon	|----|-----|----⌫|-----||--⌫---|
Fie rt un neueuAerofle le	---⌫-|-|----|------|-|
Elmes ne scus	----||-⌫---|
nelifistgarison	-|-|---|------|
Totleporfentdeschi	--|-|------|-----|
Gambesleuees labat	-----|-----||---|
mortelsa blon.	---|-|--⌫----|
Ap ré sr o chistsoufrere Clarion	--⌫---⌫|-⌫-⌫----|--|----|------|
EtAgol a freet	-|----⌫-⌫--|-|
lef ierGlorion	-|-⌫--|------|
EtFausebe r cMurgantetRub ion.	-|-------⌫-⌫|------|-|---⌫---|
T urs n e Persans	-⌫--|-⌫|------|
nauersluigarison	||---|--|------|
re doutentquetigrene li on.	--⌫------|--|----|-|--⌫--|
Tantenocistne st	---|-|----||-⌫-|
semerueill eno n.	-|--------⌫|--⌫-|
Dechou kechauttrop iadaus fuison.	-|---|-|----|---||||--|------|
EsHaucebierd ou tre Cafarn aon	-|--------||--⌫--|------⌫--|
En totlemont	-|--|-|---|
not p a iensife lon.	|-|-⌫-⌫--|-|--⌫---|
NiésfuTiebaut	----|-|------|
C i lot Guillaumema int	-⌫-⌫|-|--------|--⌫--|
CiexHauc ebiers fu de si hautrenon	---|----⌫-----|-|-|-|---|----|
Qu en paienimepar toutenp arloit	-|-|-------|--|---|-|-⌫-----|
P lusot d e force	-⌫--|-|-⌫|----|
ke.xii i i.Es clauon.	-|----⌫-⌫-|--⌫------|
Pl aist uos	--⌫---|--|
o ïrun po idesafac hon	-⌫--|-|--⌫|-|-|---⌫--|
Demie lanceot del oncel	----|----|-|-|-⌫--|-|
Et unetoisepar lesflanse nuiron .	-|--|----|--|--|----|-⌫------⌫|
Es paulesleesne	--⌫-----|---|-|
samble pasgarch on	-----|--|-----⌫-|
Lesbr aso tgros lespo insc arrésen son.	--|--⌫-|-⌫|---|--|--⌫--|-⌫-----|-|---|
De mipié otentre l esiexdoufrout	--⌫-|---|-|----|-⌫-|--|--|----|
Lat este g ros se etde c he u eusfuison	-|-⌫---|-⌫---⌫-|-|-|-⌫--⌫-⌫--|-----|
Lexiexotrouge s	--|--|-|-----⌫|
es pri scommec arbon.	--⌫---⌫|----|-⌫-----|
Unecaree porteroitbien	--|----|--------|---|
For sRenouartaincnefusiforsh om	---⌫|-------|---|-|-|-|---|-⌫-|
Kipuistlocistsicomdist	-|----||----|-|--|---|
lacanchon.	-|-------|
D i s t Haucebi ers Carlaisiéscel glouton	-⌫-⌫-⌫|-------⌫--|--|-------|--|------|
Iasoie force neuautpas	-|---|----|-|---|--|
un bouto n	-|-----⌫|
Senenauoi ereproc edeMa hon	-||-|----⌫|------⌫|-|--⌫--|
Ial au eroie tuéa uubasto n.	-||--⌫----|---||-|-----⌫-|
Ens amaiutint duuelanceuu tronch on	-|-⌫|---|---||--|----|-|------⌫-|
Partelaïr eu	--|--|---|-|
ietale baron	---|-|----|
Totlidesro ntsonhaubercfremil lon	--|-|-----⌫-|--|------|------⌫--|
Ettr espercha parmi son a uketon	-|--⌫-------|--|-|--|-⌫-----|
S ikep ar mi	-⌫|-|-⌫-|-|
sonuermeilci glaton	--|------|--⌫-----|
Lienbati elc orsi usquaupoumo n.	-|-----|-|-⌫--|-⌫---|-|-----⌫-|
uiu iënschie t	---⌫----|----⌫|
oui l u ausistounon.	-|-⌫|-⌫-----|-|---|
Di stHauchebiersDecestuipais auon.	--⌫-|----------|-|-----|---|----|
EnAlesch antGuillaume	-|------⌫--|--------|
querreallon	-----|----|
Et anosnesen prison lemeton	-||--|--|-|-----|-|----|
SonanemiTiebautlepresenton	--|----|------|-|--------|
A s onplasire np rengeue ngis on	|-⌫-|-----|-⌫|-⌫----|--⌫----⌫-|
en tornere n tb rochanta	-|-------⌫-⌫|-⌫------||
u i uiën laisen tgisant	-⌫-⌫----|------⌫|-----|
Li bersedrecequant uie nt depamiso n	-|--|-|----|----|---⌫-|-|------⌫|
Deua ntlui ga rde uitu n de strierGascon	----⌫-|--|--⌫--|--|-⌫|--⌫-----|-----|
Il le saisis a ns	-|-|----|-⌫-⌫-|
nulearest oi son	---|-----⌫--⌫--|
Amoltgr antpainee stmon tés	|---|--⌫--|----|-⌫-|---⌫---|
enlarch on	-||----⌫-|
uintenlArchantsousunarbre roont	---|-||------|---|-|----|----|
Sousune stancui t daige afuison.	---|-|-⌫----|--⌫||---||------|
Ladesce ndis ia ditso rison	-|-----⌫--|-⌫||--||-⌫----|
facedesespec hiés	---|-|--|---⌫----|
uiuiën sest des o usl arbr een	-------⌫|--|---⌫-⌫-||----⌫|-|
mer pardale ́sun est ant	--|--|----⌫-|-|---⌫--|
fo ntain edontli ruisont	--⌫-----⌫|---|-|--|---|
Lioilli torble nt l acolour	-|--|-|------⌫-|-⌫|-----|
fiotekidelc or sl idescent	----|-|--|-⌫--⌫|-⌫|------|
Tout otlecorsetleha uberc sangle nt.	---|-|-|---|-|-|--⌫----|------⌫--|
u ersdamedieuuet sacoupe batant	-⌫--|-------|--|-|----|-----|
Etdoucementdeuraicue r recl amant.	-|--------|-|---|---⌫|----⌫-----|
Diex distiI sireurais	---|---|-|---|----|
peresraie mant	----|----⌫---|
Par toiesttou te creatu reuiu ant	--|--|--|---⌫-|------⌫-|---⌫--|
Epoez fere detotauos commant.	|---|---|-|--||--|-------|
Siuo ir em en tco muouseuBelleent	-|--⌫--⌫--⌫--⌫|--⌫|---|-|-------|
Delapuceleui rgefu stes ness ant	-|-|-----|--⌫--|--⌫---|----⌫--|
Etbaut es ti re preï s	-|----⌫--⌫--⌫-|-----⌫|
el flunIordant	-|---|------|
Si comcestu oirset iei sui	-|--|---|-⌫---|-|-||--|
dec estchetif	-|-⌫--|-----|
Biax siredex pa ritel	---|---|--|--⌫|---|
Ai nzquemes corsseuois e definant	--⌫-|--|--|---|-|----⌫|-------|
uoieGuillaumee t a moiso itpar lan t	---|--------|-⌫||--|--⌫-|---⌫---⌫|
S eiepui smuir	-⌫|-|---⌫|---|
mameenirachantant.	|--|-|--|--------|
Aicestmot uet saco lp e	|----|--|--|-|--⌫--⌫|
Encontret erresestendi	-------|-⌫---|-------|
e ucr o isant	-⌫|--⌫-⌫----|
ce rueleli	--⌫----|-|
chietas el zde uant .	----|-|--⌫|--⌫----⌫|
Et le saintangle leuetreconfortant	-|-|----|----|-|--|-----------|
