o tzzempereeur	-⌫|-|--------|
le sgenzsire ditil	--⌫|---|---|--|-|
uous lemebaill eroi z ne	---|-|-|-----⌫----⌫|-|
pu is dir eque	--⌫-|---⌫|--|
sauoirlesens ames	-----|-|---||--|
compaignon smesqua nque	----------⌫|--|---⌫---|
li feraisa uoire nyy	-|----|--⌫---|-⌫|-|
se le ua l iqui nz e t	-|--⌫-|-⌫|---⌫-|-⌫|
o tn oncaton derome	-⌫|-⌫-|----|-|---|
b el aageet fu	-⌫-|---|-|-|
entremell ez de ch iennesqu e	---------⌫-|-|--⌫-----|--⌫|
passoientleblancil	--------|-|----|-|
apel alempere eu ret l i	----⌫||------⌫--⌫|-|-⌫|
si ream oilebaille ro iz	--⌫-||-⌫-|-|------⌫--⌫-|
seil uousplest	-|-|---|----|
i enedipasq ue	-⌫|-|-|--|-⌫-|
li fa ce sau o ir quanque	-|--⌫-|---⌫-⌫-|------|
m icompai gnon	-⌫|------⌫---|
seuent carie neconnes	-----|--|-|-|-----|
son sensne son retenir	--|---|-|--|------|
mesquanque	--|------|
quanque iepor raisauoir	------|-|---⌫--|-----|
ieli ferai sauoirau	-|-|----|-----|-|
plus to st que ille	---|--⌫-|--|-|-|
porraretenir	----|------|
apressel eua	----|-|-⌫--|
sisiesme et	-------|-|
cheueusplus	------|---|
iaune squecir e e t	-----⌫|--|---⌫|-⌫|
recercelezeteulzuerz	---------|-|---|---|
conmefaucons	----|------|
biendroitet	---|----|-|
b i enasiset fugros	-⌫-⌫-|---|-|-|---|
lesespaul esetg relle s	--|------⌫-|-|-⌫-----⌫|
parles co s tez	--|--|--⌫-⌫--|
nebarbe negrenonet	-|----|-|-----|-|
otnoniosse il dist	-|--|----|-|---|
alempereeur	||--------|
sireuousleme	---|---|-|-|
baille roizet	------⌫---|-|
entr emetraisi	----⌫------|-|
que uous m en	--|---||-|
au chiefde trois anz	-|----|-|----|--|
ap r esseleu a	--⌫-⌫-|-|---⌫|
les eptiesme	-|-⌫-------|
martin oe tdistal	------⌫|-⌫|---|||
emp ereeur	---⌫-----|
sir eieu ous r equi er que	---⌫|-|-⌫--|-⌫----⌫-|--|
uousm emeriss iez le	---|-⌫|------⌫--|-|
queie ai misen uous	--|-|-|--|-|---|
toutema u ie	----|-|-⌫-|
uost refilza endoc triner	----⌫-|---||-----⌫-----|
uous quittout	---|---|---|
mo nseruise	--⌫|------|
etle ma uroizbien	-|-||-⌫----|---|
liempe rieresarespo ndu	-|----⌫-----||-----⌫--|
m ou lthumble menta touz	-⌫--⌫-|------⌫---||---|
s eigneu r	-⌫------⌫|
gran z merciz de	----⌫|-----|-|
u ousmeco ntendez	-⌫--|-|--⌫------|
depar tirai pas	-----⌫----|--|
ce ste bone	--⌫--|---|
conpaigniemeintenant prist	---------|---------|----|
distiele uous bail	---|-|-|---|---|
et illienclinentet	-|-|-|--------|-|
en droit soi	--⌫----|--|
yycenzmercizlisage	-|---|-----|-|---|
enfantentr	-----|---|
consisto irec e estuns	--------⌫--|-⌫|--|--|
leus ouil ti e ne ntl es	---|-|-|--⌫-⌫--⌫-|-⌫-|
parlemenzetl esgra nz	--------|-|-⌫-|---⌫-|
conseu lzdes a p artenanz	------⌫-|--|-⌫-⌫-------|
rome ilpranent cons e il	---|-|------|----⌫-⌫-|
entreeulsqui l nel e	----|---|-|-⌫|-|-⌫|
laiss eront	-----⌫----|
pasar om e caril i	--||-⌫--⌫|--|-||
porroitbienacun emauuese	------|---|----⌫|------|
parol ede borioise	-----⌫|-|-------|
oudechamber iere oude	-|-|-------⌫---|-|-|
ma uue sgarconapre ndreil	--⌫---⌫|-----|----⌫---|-|
esgarderent	----------|
zzuergierhorsderome	-|------|---|-|---|
auneliuepre s	|--|---|---⌫|
uergiers teno it	-------|----⌫-|
un e liueen to uz	--⌫|---|-|--⌫-|
etestoitplantezen	-|-----|------|-|
touzsensde bons	---|---|-|---|
arbresetdetoutes les	-----|-|-|-----|--|
bo nesfontaines	--⌫--|--------|
seust d euise r	----|-⌫-----⌫|
enmi celuergier	---|--|------|
esgarder entzz biauleu	--------⌫--|-|---|--|
couue nableet	-----⌫----|-|
firentfere	-----|---|
unemesonbele e tquarree	--|----|---|-⌫|------|
granzchambresde rriereset	----|-------|--⌫------|-|
bel esloge s de uant	---⌫-|----⌫|--⌫---|
qua ntlamaison fufete	---⌫-|-|-----|-|---|
etparsouuieles yy sages	-|--------|--|-|----|
delame sonfirent	-|-|--⌫--|-----|
paindre lesyyarz	------|--|-|--|
p rem ierementast ronomie	-⌫---⌫-------|---⌫------|
apres nigr omancemus ique	----|----⌫-----|---⌫---|
arim etiquerec toriqu e	----⌫-----|---⌫------⌫|
dialetique	---------|
e tgrama ire ilfirent	-⌫|-----⌫--|-|-----|
fe rel e litau ualle t	--⌫-|-⌫|--|-|-----⌫|
enz zdes anglez	-|-⌫|--|-----|
de la sal ep our ueo ir	-|-|---⌫|-⌫--|---⌫-|
arzlisagele	--|-|---|-|
conmencierent a	------------||
aprendre etaenseignie r	-------|-||---------⌫|
et quant li un s le	-|----|-|--⌫|-|
l essoitliautres	-⌫-----|-|-----|
lere pr e noitet	-|--⌫--⌫-⌫---|-|
en seig noitdu miexq uil	--⌫----⌫---|-|---|-⌫|-|
e i nsin t le t indrentyy	-⌫-⌫----⌫|-|-⌫------|-|
an zeti lses ot	--⌫|-|-⌫|-|-⌫-|
moultreconnestre	----|----------|
e syy arzapresc es	-⌫|-|--|----|-⌫-|
anzle tindrent il	--|-|-------|-|
piece si que	----|-|--|
ildesputoit	-|--------|
det outeclergie etqu	-|-⌫---|------|-|-|
ilparlerent	-|--------|
en t r eulsquill	--⌫-⌫|---|-|-||
essaieroi ent l ors	---------⌫--|-⌫--|
yyfueillesd ie rre	-|-------||--⌫--|
sien mirent	-|-|-----|
cha sc unpec oulde sonlit	---⌫--⌫-|---⌫--|-|--|--|
quantl e litfufet	----|-⌫|--|-|--|
leualle tsecouchail	-|-----⌫|-|-----|-|
pristpasg a rdede	----|--|-⌫-⌫--|-|
quan t ce u i ntau	----⌫|-|-⌫-⌫-|-|
qu e leuall et	--⌫|-|----⌫-|
fue sueillié ilgarda	-|-⌫--------|-|----|
amontetauale t	----|-|---|-⌫|
a senestr el i sa ge se	|-------⌫|-⌫|--⌫-|-|
meru eill ierentmoultdece	----⌫----⌫-----|----|-|-|
l euirentsi	-⌫|-----|-|
esb ah i si	---⌫--⌫|-|
lapeler entet	|------⌫--|-|
demanderent qu il	----------|-|-|
auo itoineueune	---⌫-|-|-|--|-|
sentuetqu il l e ur	----|-|-|-|-⌫-⌫-|
deistli ualle zl eur	----|-|-----⌫|-⌫--|
respond icertes biau	-------⌫|-----|---|
sei gneuroula	---⌫----|-|-|
couuerture	---------|
decestemeson	-|----|----|
estabess ieeouterre	--|-----⌫--|-|----|
estseurmontee o umes	--|---------|-⌫|--|
h auciez li unsregardal	-⌫-----|-|--|------||
autre etdirentensa mb le	----|-|-----|----⌫--⌫-|
sagesestoit	----|-----|
ne dem orapas apres	-|---⌫--|--|----|
lo n gue mentque lisage	--⌫-⌫---⌫---|--|-|---|
h omed e rome	-⌫--|-⌫|---|
uindre nt asonp ere et	------⌫-||--|-⌫--|-|
li dir e ntsir e	-|---⌫-⌫-|---⌫|
mer u eillons moul tqu euous	---⌫-⌫------|----⌫|--⌫|---|
ne uousmariezcaruous	-|---|-----|--|---|
assezgra nzterrese t	----|---⌫-|-----|-⌫|
granzrent es decoiyy	----|----⌫-|-|--|-|
enfanzou quatre	-----|-|-----|
s e uo us l es auiez	-⌫|--⌫-|-⌫-|----|
se roien triche home	--⌫-----⌫|----|---|
emper iere fu uiel	-----⌫---|-|---|
si p ensaetapresso n	-|-⌫---|-|----|--⌫|
pens e leur respon di	----⌫|---|------⌫-|
l apre n droie	-⌫|---⌫-⌫----|
uo lenti ers se el e estoit	--⌫-----⌫--|-|--⌫|-----|
qui seetuous uousen	---⌫-|-|---|---|-|
uoliezentremetre	-----|---------|
car ausintna iie	--|-----||-⌫|-|
cilres pondirent	--|---⌫--------|
uous querrons	---|-------|
uo lentiers	--⌫-------|
meintena ntl a quiren t et	--------⌫-|-⌫|------⌫|-|
cerchierentpar meintes	----------|--|------|
terrestantqu	-----|-----|
il la trouuerentetla	-|-|---------|-|-|
m enerenta lempereeur	-⌫------|||--------|
li emperie res	-|-------⌫--|
lauit b ele etgente	-|--|-⌫--|-|----|
e tillifirententendre	-⌫|-|-|-----|-------|
e leestoitdegra nt	-⌫-|-----|-|---⌫-|
l ignageliparentala	-⌫-----|-|-----||-|
d onerent a	-⌫------||
l empereeur	|--------|
laprist moult	-|----|----|
u ol entiers	-⌫--⌫------|
auscoustumes	--|--------|
de la terr e	-|-|----⌫|
nusho nspot	--|--⌫-|--|
plus am erfame etla	---|--⌫-|---|-|-|
dam e luiausint	---⌫|--|-----|
un iou r auintque li	-|---⌫|----|--|-|
emperieres e t	---------|-⌫|
lempe reri z	|----⌫----⌫|
seul aseulenu ne	---||---|-|-⌫-|
chambreet lenauoi t	------|-|--|----⌫|
ditalemperer iz que	--|||-------⌫-|--|
lie mperieresauoitzz	-|-⌫--------|----|-|
etseil estoit mor z	-|-|-|-----|---⌫|
qui istroientde	--|--------|-|
seroienthoi rde l	-------|---⌫|-||
empireder ome encele	-----|-|-⌫--|-|---|
cha mbre ouil	---⌫---|-|-|
est oient mistl	---⌫----|---||
emperer i z	-------⌫-⌫|
lempereeur	|--------|
s ireuo u s auezzzfilz	-⌫--|--⌫-⌫|---|-|---|
ausi estilmiencon me	---|--|-|---|---⌫-|
bienpuetestrequenous	---|---|----|--|---|
nenaurons iames	|-|-----|----|
toutiour zenmu eil	--------⌫|-|--⌫|-|
yyan z queuous	-|--⌫|--|---|
me preistesonquespuis	-|-------|-----|---|
ne le ui si	-|-|-|-|
uerroieuolentiers	------|---------|
sirepa r lafoique	---|--⌫|-|--|--|
u ousmedeue z enuo ie z	-⌫--|-|----⌫|----⌫--⌫|
uous au eztenu	---|--⌫-|---|
e mpire to ut u os tre aage	-⌫----|--⌫-|-⌫--⌫--|---|
o nques neustes	-⌫----||-----|
tantm estresnetant	---|-⌫-----|-|---|
entrodute ursconme uous	---------⌫--|----|---|
y enuoierai	|--------|
matingranz mercizsire	----|----|-----|---|
lem perer izcarieai	|--⌫-----⌫-|--|-|-|
grantfaind e lui u eoir	----|---|-⌫|--|-⌫---|
li emper ieres	-|-----⌫----|
mesages alez	------|---|
et m onte zet me saluez	-|-⌫----⌫|-|-|-----|
lesyy sageset	--|-|----|-|
leurditesque ieleur	---|----|--|-|---|
a moi etq ueil m	|--|-|-⌫-|-||
am ai gnentmon filz car	--⌫--⌫----|--|---|--|
fereesprou u eret sa uoir	---|------⌫-⌫-|-|--⌫---|
combienil setdet ant	------|-|--|-|-⌫--|
illonttenu li	-||--|---|-|
mesagierm onterentmein tenant	-------|-⌫-------|----⌫-----|
eta lerent	-|-⌫-----|
ce le partou	--⌫-|---|-|
e sto ient et	-⌫---⌫---|-|
lemp ereeurcilleur	|---⌫-----|--|---|
firentgrantioieet li	-----|----|---|-|-|
enfes autresi	----|------|
limes agiersaluerentles	-|---⌫----|--------|--|
sa ge sdeparlempe reeur	--⌫--⌫|-|--||----⌫----|
et leur diren t	-|---|-----⌫|
seig n eurli emperier esuou s	----⌫-⌫--|-|--------⌫-|---⌫|
queuousl iamenez son	--|---|-⌫|-----|--|
filz et uenezaueques	---|-|----|------|
il ueltsauoircombien	-|---|-----|------|
ilaaprisen	-||----|-|
c onmeuo us laueztenu	-⌫---|--⌫-||---|---|
cildistrentuolentiers	--|-------|---------|
einsintpasserent celui	------|--------|----|
ui nta u soir	--⌫-|-⌫|---|
m engieretil	-⌫-----|-|-|
etlalun e lui soit cler	-|-|---⌫|---⌫---|---|
lisagesetli	-|----|-|-|
descendi r en tdela sale	--------⌫-⌫--⌫|-|-|---|
el uer gierli yysage	-|---⌫---|-|-|---|
garde re nten la	-----⌫--⌫-|-|-|
es estoiles	-|-------|
catonsquifu l ipl us	-----|--|-|-⌫|--⌫-|
sag es de touzgarda	---⌫-|-|---|----|
fondelment	---------|
lun e et es	---⌫|-|-|
estoilesetsotle s	-------|-|--|--⌫|
cons tell acions etles	----⌫----⌫-----|-|--|
muancesdes cou rset	------|--|---⌫-|-|
quantil ot	----|-|-|
parlaetdist	----|-|---|
entendez tu itli	-------|--⌫-|-|
em perieres	--⌫-------|
no us mande q ue nous	--⌫-|----|-⌫-|---|
aillon s aromeetque	------⌫||---|-|--|
nous limaignons son	---|-|-------|--|
et seno us yalons	-|-|--⌫-||----|
menonsdela	-----|-|-|
parolequeilparlerai l	-----|--|-|------|-⌫|
morr a et nous	----⌫|-|---|
tuitdestruit	---|-------|
ce uoiiedistcatons	-|--|-|---|-----|
lu nelisages	--⌫-|-|----|
garde rentapre sesestoiles	-----⌫---|----⌫|-|-------|
etenla lun eet	-|-|-|---⌫|-|
uirentqueuoirs	-----|--|----|
estoitleualletgarda	-----|-|-----|----|
apres en uneestoile	----|-|--|------|
clerequisambloit	----|--|-------|
estreayy t o isesde	----||-|-⌫-⌫---|-|
la lu ne ilapel a s e s	-|--⌫-|-|----⌫|-⌫-⌫|
mestres et	------|-|
l eur dis t	-⌫--|---⌫|
ueez quec ele estoile	---|--|-⌫--|------|
cler equ iest	----⌫|--⌫|--|
sen ef ieaucunec h oseie	---⌫--⌫-|-----|-⌫-⌫--|-|
fet leu allet	--|-|-⌫----|
ieme puis tenirde	-|-|---|----|-|
iusque sayyiourz	------⌫||-|----|
i eseraiga rizdemort	-⌫|----|--⌫--|-|---|
etuous tuit	-|---|---|
de d est ruicion quant l i	-|-⌫---⌫------|----|-⌫|
sag eorentescouté ce	---⌫|----|-------|-|
queleu allet	--|-|-⌫----|
le ur ot diti l	--⌫-|-|--|-⌫|
regarderent enle st oile	----------|-||-⌫--⌫---|
queleuallet	--|-|-----|
leurmoustrae t uirent	---|------|-⌫|-----|
estoit cequ e	-----|-|--⌫|
il disoit par foi fet	-|-----|--|--|--|
messiresbancill as il	--|----|-------⌫-|-|
uoir orno usen	---|-|--⌫-|-|
prendrebon	------|--|
consei l entre	------⌫|----|
f o i f etle	-⌫-⌫|-⌫-|-|
ualletie uous conseill era i	-----|-|---|--------⌫---⌫|
u olezil me	-⌫---|-|-|
couientt enirdeparler	------|-⌫---|-|-----|
yyiorzetuous	-|---|-|---|
estesyysages po ude	----|-|----|--⌫|-|
d ediscrecion	-⌫|---------|
se chascunn e	-|------|-⌫|
pa ss er zziour	--⌫--⌫-|-|---|
cer tesfet messir es	---⌫--|--|--|---⌫-|
bancillasie passeraibien	--------|-|-------|---|
etielemiendit	-|-|-|---|--|
catons don testce bien	-----|---⌫|--|-|---|
or couuendra	-|--------|
que chascuns uiegne a	--|-------|-----||
quanta utr ement ne por roit	----|-⌫---⌫----|-|---⌫---|
e s tre etuo u sseroiz a	-⌫-⌫--|-|--⌫-⌫|-----||
une uile cipres au	--|---|-|---|-|
mar tinseigneurs	---⌫--|--------|
aurai granz anuiz	----|----|----|
maintespe rse cuci o ns p our	------|--⌫---⌫----⌫-⌫-|-⌫--|
o r pensezde	-⌫|-----|-|
sont departi etd esseu r é	---|------|-|-⌫-----⌫-⌫-|
etuindr entenlasale	-|-----⌫--|-|-|---|
e tfirentbelechiere	-⌫|-----|---|-----|
a usmesagesl	-⌫-|------||
empereeurliuallezfu	--------|-|-----|-|
mo ultpensis etpensa	--⌫--|-----|-|----|
toutenuitettoutle	----|---|-|---|-|
iourta n tque u i nt au	---|--⌫-⌫---|-⌫-⌫-|-|
se suei llaet	|-⌫----⌫--|-|
furentleué	-----|----|
le pal efroi auua llet fu	-|---⌫----|-|--⌫---|-|
apareillie zetli son	----------⌫|-|-|--|
etcilme st r eses toi t	-|--|--⌫--⌫-⌫-|--⌫---⌫|
ci lquileu rauo it	--⌫|--|---⌫|---⌫-|
quile ur fumestiertant	--|--⌫-|-|------|---|
conm eilfurentensamble	----⌫|-|-----|-------|
uallezsede pa rti em	-----|-|--⌫--⌫--|-|
ses mestres	--|------|
arome ets es m estre	|---|-|-⌫-|-⌫----|
remestr entaubourcsa int	-------⌫--|-|----|--⌫--|
l i e mperieres	-⌫|-⌫--------|
qu eses filzuenoit	--⌫|--|---|-----|
meinte nantm onta	------⌫---|-⌫---|
e tfis t mon ter	-⌫|---⌫|---⌫--|
part ie deses baro nsqui	----⌫-|-|--|----⌫-|--|
auec l uiestoient	---|-⌫-|-------|
liemperi eresencontrason	-|------⌫---|-------|--|
larue sile	-|--|-|-|
etle pristpar	-|-|----|--|
menton et lebesaet	-----|-|-|---|-|
lienclina et lesautres	-|------|-|--|-----|
barons ausii luindrent	-----|---|-⌫|-------|
degr ezde lasale si	----⌫-|-|-|---|-|
descendirentlienp erieres	-----------|-|---⌫------|
lie mperieres p ristpar	-|-⌫--------|-⌫---|--|
lamai n des tr eso n	-|---⌫|---⌫--⌫|--⌫|
puis monteren t	---|--------⌫|
amo ntelpales li	---⌫-|-|----|-|
enperieresdem and e ason	---------|---⌫---⌫||--|
filzcomentilli	---|-----|-|-|
estliuallezl i	--|-|-----|-⌫|
enclin e etriens ne	------⌫|-|----|-|
questcebiax f ilz	-|--|-|---|-⌫--|
emperieresne	---------|-|
parle roizuous miea moi	-----⌫---|---|--||--|
e t cil ne di s tmo tli	-⌫|--|-|--⌫-⌫|--⌫|-|
emperie res	-------⌫--|
mestre de spe nsier	-----|--⌫---⌫----|
quiestoitue nuzau ec	--|-----|--⌫--|--⌫-|
demandacoment	------|-----|
estc equ e mesfilz	--|-⌫|--⌫|--|---|
mieil a estéa	--|-||----||
mau u eseescolece me st	---⌫-⌫--|-----|-||-⌫-|
perduelap arole cilli	-----|-|-⌫----|--|-|
respontsireilpar loit	------|---|-|---⌫---|
to utesmanier es	--⌫---|------⌫-|
deparleureslempere riz	-|--------||------⌫--|
que li enfesest oit	--|-|----|---⌫--|
uen uzetqu	---⌫-|-|-|
parloit mie	------|--|
sienot grantioie	-|-|-|----|---|
mei n ten a n tsatorna des	---⌫-⌫---⌫-⌫-⌫||-----|--|
p l usri ches	-⌫-⌫-|--⌫---|
g arnemenzque e le ot	-⌫-------|--|-⌫-|-|
puis u inten	---|-⌫--|-|
agrantcompa ignie	|----|-----⌫----|
da moiseles	--⌫-------|
li emperieres	-|---------|
cheualie r	--------⌫|
seleuerenten contrel	-|-------|--⌫-----||
empererizel euint	--------|--⌫|---|
s as is te mpresl	|--⌫--⌫|-⌫----||
empereeuretli dist	--------|-|-|---|
onq uesparlabaill iez le	---⌫--|----|-----⌫--|-|
moietie leferai	--|-|-|-|----|
doitparlerpa r	---|-----|--⌫|
foidist li	--|---|-|
emper ieres	-----⌫----|
iele baillie aus	-|-|------|--|
bien parlantpuisle	---|------|---|-|
prist parl a main	----|--|-⌫|---|
lebailla a l empereriz	-|-----|||--------|
li enfesni	-|----|||
aler alezydist li	---|---||---|-|
e mperieres	-⌫--------|
as onfilzli uallez	|-⌫-|---|-|-----|
pasesc o ndire	--|---⌫-⌫----|
ainzseleu ae tsen	---|-|---⌫|-⌫||-|
ala auecl em pereriz en	--|---||--⌫------|-|
sach ambre	-|--⌫----|
lenpererizfist metre	|--------|---|----|
toutes sesdames	-----|--|----|
et sesdamois elesenune	-|--|------⌫---|-|--|
autrechambreet entre	----|------|-|----|
etl euallet	-|-⌫|-----|
demorerentenla cha m bre	---------|-|-|---⌫-⌫--|
s e ul aseulets	-⌫-⌫-||---|-||
asirent sus une	------|--|--|
coustepo inte mo ultriche	-----|--⌫---|--⌫--|----|
couuertedu nd r apde	-------||-⌫|-⌫-⌫-|-|
soielempe reriz	---||----⌫----|
l e re gardamoult	-⌫|--⌫----|----|
ententiuementetleuost	------------|-|-|---|
fereentendreasoi	---|-------||--|
et lidist biausdou z	-|-|---|----|---⌫|
amisbiausdouzs ir es	---|----|---|-⌫--⌫-|
p arler deuous etpour	-⌫----|-|---|-|---|
uoussauezuous	---|----|---|
etpourl agrant a mour	-|---|-⌫|----|-⌫---|
ai i epo urchacié	-|-⌫|--⌫--------|
qu e uostre	--⌫|-----|
pris e afame	----⌫||---|
mon pucelagesique il	--|-------|-|--|-|
not e nmoipartor	|-|-⌫|--|---|-|
siuuei lq u euou sm	-|----⌫|-⌫-⌫|---⌫||
a mezetieuous	-⌫--|-|-|---|
amer ai lo rsli gitases	----⌫-|--⌫-|-|---|--|
braza u col et il	---|-⌫|--|-|-|
ar ier eeleleprent par	--⌫---⌫|--|-|----|--|
lement on si le	-|----⌫-|-|-|
besie ret cil	-----⌫|-|--|
setrestplusariere	-|----|---|-----|
coment fetele biaus	-----|--|--|----|
neparle roizuous miea	-|-----⌫---|---|--||
m oi neneferoizioie	-⌫-|-|-|-----|---|
li ualle z	-|-----⌫|
uoloitgarderl e nneu r	-----|-----||-⌫----⌫|
etla seue si	-|-|---|-|
qu antle mpereri zuit	--⌫--||-⌫-------⌫|--|
elenet r eroit delui	--|-|-⌫-⌫----|-|--|
mot s igietesesmains	--|-⌫|----|--|----|
a uns drasdesoiequ	|--|---|-|---|-|
uestuzetaupelicond	-----|-|-|------||
erm ineetasa c hemise	---⌫--|-||-|-⌫-----|
sides cira tout	-|---⌫---|---|
iusqueenmi lepizet	-----|---|-|--|-|
en coreconmem alengigneuse	--⌫---|----|-⌫-|---------|
p lainn edemal artet	-⌫-----⌫|-|--|--|-|
demalengin si	-|--|----|-|
sesm a in sa s escheu eus	--|-⌫-⌫--⌫||-⌫-|----⌫--|
s ient rest un epar tie	-⌫|-|-⌫---|--⌫|---⌫--|
sesma inscontreualsa	--|--⌫--|--------|-|
esgratina et	--------|-|
sanglan te apresquantele	-------⌫-|----|----|--|
otcef etsi	-|-|-⌫-|-|
hideus etli	-----|-|-|
baronquiestoientenla	----|--|-------|-|-|
sisenuindrent uers	-||-|-------|---|
la cha mbre quantli	-|---⌫---|----|-|
emperieres uit	---------|--|
simalatorn ee	-|--|-----⌫-|
il tanta moi tsifu	-|---|-⌫---⌫|-|-|
au siconme horsdu sens	--⌫-|----|---|-|---|
comentfetilqui	-----|--|-|--|
uousa si atornee	---||-|------|
foif ete lecist	--|-⌫-|-⌫-|---|
dea b l es	---⌫-⌫-⌫-|
qui estcip arpouqu	--|--|-|-⌫-|--|-|
ilnem aestranglee	-|-|||---------|
nefuss i ezsitostuenu z	-|----⌫-⌫-|-|---|----⌫|
ie fu s semorteouil	-|--⌫-⌫-|----|-|-|
demoife t esauolen te	-|--|--⌫-⌫|-|-----⌫-|
ilne uousest riens	-|-|---|--|----|
z zdeable fetes	-⌫|-----|----|
pa rmon chiefdi stli	--⌫|--|----|--⌫-|-|
emperieresil	---------|-|
mielongue mentenga rde	--|------⌫---|-|--⌫--|
liemperie res uen irses	-|-------⌫--|---⌫-|--|
badi aus c eu lsquiserue nt	----⌫--|-⌫--⌫-|--|-----⌫-|
g enzafoleret	-⌫--|-----|-|
alezfe til si	---|--⌫|-|-|
destruisiez cestui q ui mes	----------|-----|-⌫-|--|
filz deuoitestre sire	---|-----|----|---|
font i l nousf er o ns	---|-⌫|---|-⌫--⌫-⌫-|
uostre comandemen tlo rs	-----|----------⌫|--⌫-|
is sirent d e la chambre	--⌫-----|-⌫|-|------|
etentrerent en lasale	-|--------|-|-|---|
lihaut home	-|---|---|
de laterrefurent irié	-|-|----|-----|----|
dece quiloren tue u	-|-|-|-|----⌫|--⌫|
emper ieres	-----⌫----|
uoloitferesonfilz	-----|---|--|---|
sien furentmou t	-|-|-----|---⌫|
nenesoren t	-|-|-----⌫|
estre auenu iluindrent	----|----|-|-------|
aluietlidirent	|--|-|-|-----|
n ous m er ueillonsmoultde	-⌫--|-⌫--⌫-------|----|-|
en respitiusq uedemain	-|-----|----⌫-|-----|
deuostrefilz	-|-----|---|
leiu g em ent de	-|--⌫-⌫--⌫--|-|
u ostrecourtlociez se	-⌫----|----||----|-|
mes fetcert esdit l i	---⌫--|----⌫-|--|-⌫|
emper ieresuolentiers	-----⌫----|---------|
iusqued emain lor s conmande	-----|-⌫----|---⌫|-------|
quilsoit aua lez en	-|-|---|---⌫--|-|
chartrequeilnesen	------|--|-|-||-|
fuiemoult ful	---|----|-||
emp ererizdol ente	---⌫-----|---⌫---|
et corroucieedece	-|---------|-|-|
liuallezestrespi tiez	-|-----|--|-----⌫---|
dedestruire	-|--------|
lorspensa etmurmura	---|----|-|------|
ensoimeismes iusquea	-|--|------|-----||
trouuersibon	------|-|--|
poi ntde lui des truire	---⌫-|-|--|---⌫-----|
e lea uoit qu is et	-⌫-|-⌫---|--⌫-|-|
po r chac ié quantlanui t	--⌫-⌫----⌫--|----|-|---⌫|
liemperieres alac ouch ier	-|---------|--|-⌫----⌫--|
len per erizli fist	|--⌫---⌫---|-|---|
trop ledec h ie reque	---|---|-⌫-⌫--⌫-|--|
estced ame fet	--|-|-⌫--|--|
e m periere s	-⌫-⌫-------⌫|
quelchierefetesuo us	---|-----|----|--⌫-|
ditesmoi uostrepe nse	----|--|-----|--⌫--|
auezc er tessire iel e	---|-⌫--⌫--|---|-|-⌫|
uous diraiuousestes	---|----|---|----|
destruiz carcile st	-------|--|--|-⌫-|
uenuzparquiuous	----|--|--|---|
des herite ze t	---⌫------⌫|-⌫|
