formCico umence	---|-|--⌫-----|
Qan tlirelegieusuit sa norriceplorerilen	---⌫|-|--------|--|-|------|-----|-|-|
fumout dolenzsip ristle sp i ecesdeluessel	-|---|-----|-|-⌫---|--⌫|-⌫-⌫---|--|-----|
cou c haen	---⌫-⌫-|-|
orissons tot plorantenuers nos treSign o r.	-------|--|------|-----|---⌫--|----⌫-⌫||
T antostcomil	-⌫-----|--|-|
furedreciezetil	-|--------|-|-|
ot sorisso nfineei ltr oua seinet	-||------⌫|----|-⌫|--⌫--|---|-|
entierleuesselsiqil	-----|-|-----|-||-|
n i parut i ointurenetrace.	||----|-⌫------|-|----||
Lorslerendiasanorrice etsila	---|-|----||-|------|-|-|-|
confortamoutdocement .	-------|---|-------||
Cest e chose	----⌫|----|
fulaendro it pa rtout seüeet	-|-|-----⌫-|--⌫----|----|-|
coneüecarcil	------|--|--|
qilahabitoient p endirentcel uesselal	-|-|---------|-⌫-------|--|-----|||
entreede leglisse por ce qe	-----|-||------|--|-|-|
cil qiaprés ue ndroient	--|-|-----|--⌫-------|
seüssentco msei nzB enoiz	--------|--⌫|---⌫-|-⌫----|
futres s enfance dehaute	-|---||------|-|----|
merite et desein teuieenuersno stre	-----|-|-|----⌫-|--|-----|--⌫---|
pendi li uesseausmoltlonguement tresq autens	----|-|-------|---|---------|----|-|---|
desLonguebar zqui la	--|---------⌫|--|-|
t erregu ast er e nt.	-⌫---|--⌫---⌫--⌫-⌫-||
Aprésc es ei n zBeneoiz q i lesloe n ges decest	-----|-⌫|-⌫--⌫-⌫|------|-⌫|--|---⌫-⌫--|-|---|
siec leneuoloitmie	----⌫-|-|-----|--|
a qer r eet quisoncors	-⌫---⌫-⌫|-|--|--|---|
u oloitalasserettraueil l ierporl	-⌫----|------|-|-------⌫-⌫--|--||
amorn ostre	---|-⌫----|
Signorconquerresen	-----|--------||-|
fuidesanorrices i	--|-|-|------|-⌫|
qele nensotm otsis	|--||-|--|-⌫-|-||
enunedesertineqie nsusde lacité	-|--|--------|-|-⌫---|-|-|----|
estoi tpre sde.	-----⌫|---⌫|-||
Sicomli seinzhoms en fuioit en	-|--|-|----|--||-|-----|-|
telmanieresi e nc ontrailunmoine qi	--|------|-|-⌫--⌫----|-|-|----|-|
auoitn o nRo mei ns .	----|-⌫-⌫|--⌫---⌫-||
Cil d emand a aseint	--|-⌫-----⌫||----|
Ben eoitouil	---⌫---|-|-|
aloit e t qilque roite tillidist	----|-⌫||-|---⌫---|-⌫|-|-|---|
t otesapensee.	-⌫--|-|-----||
Qan t Romeins loïe te nt endi	---⌫|------||--|-⌫|-⌫--⌫---|
illiaida etconseillad eqanqil	-|-|---|-|--------|-⌫|---|-|
potetsotbenignem entetdocement.	--|-|--|--------⌫--|-|-------||
iouenceausal atantqu	---------|--⌫|---|-|
iluinta un des ertleu.	-|---||-|---⌫--|--||
Cil le u sesto itSublacus ape lez .	--|--⌫-⌫|----⌫-|-------|---⌫--||
Etbien sachie zqece esto itunehaute	-|---|------⌫|-|-|----⌫-|--|----|
roche e nun grantdesert	----|-⌫|-|----|-----|
et qi del piédesozissoit	-|-|--|---|----|-----|
eu esi g rant don tu nslaises toit	--⌫|-|-⌫---|---⌫|-⌫-|---|--⌫---|
granzet le iz	----|-|--⌫-|
desoze tdec ellaisnessoituneriuiere.	----|-⌫|-|-⌫-|---|------|--|------||
rochese mistse inzBen e oiz	----|-|---|--⌫--|---⌫-⌫--|
enune estroitefossepor m ener ui esolitaire	-|--|-------|----|--|-⌫---|--⌫|--------|
ses or isso n sano stre	--|--⌫----⌫-⌫||--⌫---|
Signorsanzueo irl au ani tédece stmon de.	-----|---|---⌫-|-⌫|-⌫---⌫--|-|--⌫-|---⌫-||
Lafu il troiz	-|-|-|----|
anzqeonques ne lisothomnefeme	--|-|-----|-|||--|--|-|---|
for st antseulementRom ei nz qi	---⌫|-⌫--|--------|---⌫--⌫-|-|
parlési com ieuos ai de uantdit.	-----|-|--|-|--|-|--⌫---|--||
CilRomeinsm anoit	--|------|-⌫----|
iluece n unemesondo rdre	----|-⌫|--|----||-⌫---|
ou il auoitun ab b éq i	-|-|----|-|--⌫-⌫-|-⌫|
Deu donezauoi t non.	---⌫----|----⌫|--||
Totesle s heures qe	----|--⌫|-----|-|
Romein s p ooitse mbloi tilde sa	------⌫|-⌫---||-⌫-----⌫|-|-|-|
cheailleet le peincon lidonoita	-------|-|-|---||-|-|-----||
mengierpartoi tils ile	------|------⌫|-|-⌫|-|
port oita sei ntBe neoitla o u	----⌫--||---⌫-|--⌫----|-|-⌫|
ilhabitoit	-|-------|
adoncnauoit mie uoie	----||----|--|---|
tresq alafos se	----||-|---⌫-|
ouliseinzhomconuersoit carlaroche estoitsi	-|-|----|--|---------|--|-|----|-----|-|
ha ut eetsidro i teq e	--⌫--⌫|-|-|---⌫-⌫-|-⌫|
nusni pooit monterdeuersicelepartieme s se inz	--|||----|-----|-----|----|-----|--⌫|--⌫--|
Be neo i zau oitunemout lon guecordeqeRo meinz	--⌫---⌫-⌫|--⌫--|--|---|---⌫--|----|-|--⌫----|
Celecordesiestoi tatachieal	---|----|-|-----⌫|------|||
undescorset liau tres	-|--|---|-|-|--⌫---|
uenoitencontre ual larochetresq aterre.	-----|--------⌫--|-|----|----||----||
Elmileuau oitunecloc e	-|-|--|--⌫--|--|----⌫|
at achies iqeqan tRo meinsuenoitaupié	--⌫----|-⌫|-|---⌫|--⌫----|-----|-|---|
de larocheetilauo itle pein lié	-|-|----|-|-|---⌫-|-|---|---|
alac ordes i sounoit la cloch ete.	|-|-⌫---|-⌫|------|-|-----⌫--||
Par ce sauoi tseinzBeneoiz qantRomeinz estoi t uenuza	--|-|-----⌫|----|------|---|------|-----⌫|----||
uiandeqil ap ortoit silatreioit	-----||-|--⌫-----|-|-|------|
contremont encestemaniere.	---------|-|----|------||
Lideable s otd e	-|------⌫|-|-⌫|
ce stechosegran tenuie caril es tmout	--⌫--|----|----⌫|----|--|-|--⌫|---|
dolenz qan tiluoit a nului bien	-----|---⌫|-|---||----|---|
Por ceuint	--|-|---|
ior ensom larochesige taun e	--|-|--|-|----|-|--⌫-|--⌫|
pierresiqilbris alaclochete qi estoit	-----|-||-|----⌫|-|-------|-|-----|
a lacorde atachie m esonques	|-|----|------|-⌫-|-----|
poriceRomeins	--|--|------|
n e l es s aloeure	-⌫|-⌫--⌫-⌫||----|
afei reqilau oit acostumeetantqeceuint	|---⌫-||-|--⌫--|--------|---|-|-|---|
a un iorq e nostre Siresuoutqe	|-|--|-⌫|-----|----|---|-|
lauiese i ntBeneoitfust seüepo rdoner	-|--|--⌫-⌫-|------|---|----|--⌫|----|
exampleasgenz	------|-|---|
debienfereet si u outqe	-|---|---|-|-|-⌫--|-|
Romein zfus tlaschié s	------⌫|---⌫|--------⌫|
trauail et desueur e.	------|-|-||----⌫||
Adonc aui ntqenostreSires	----|---⌫-|-|-----|----|
sap arutaunprestreqil oingd ela	|--⌫---||-|------|-|-⌫---|-⌫|-|
Cil p restresfesoitaparei l lier	--|-⌫------|-----|------⌫-⌫---|
sesuiandes aunior dePasq ues	--|------||-|--|-|----⌫--|
etnostre Si res li dist Tuapareillestes	-|-----|--⌫--|-|---|-|---------|--|
bonsmengiers aton o ésette s	---|-------||--|-⌫--|-|--⌫|
del iceset	---⌫---|-|
Beneoi s mes serzmu ert d e	------⌫|--|---|--⌫--|-⌫|
feim qi ence lleu ar reste .	---|-|-|--⌫|--|--⌫----||
Lorslinoma	---|-|---|
laroch ecomentel eestoit	-|----⌫|-----|--⌫|-----|
Dont se leualip restres et pristses	---|-|---|-|-⌫------|-|----|--|
uiandestelescom illesa uo it	------|----|--|-|--|-⌫--⌫-|
atorneesensemble o luietala t antqil uin t	-------|-------||--|-|--|-⌫--||-|---⌫|
parmonsetpar	--|---|-|--|
ualees que rantle seinthomeet p a r desertin es	-----|---⌫---|-|----|---|-|-⌫-⌫|--------⌫-|
q illetro ualasicom	|-|-|---⌫-|-|-|--|
il estoi tenorissons e n lafosse	-|-----⌫|-|-------|-⌫|-|----|
ouilhabit oit.	-|-|-----⌫--||
Sitost c o mils entreu irentil	-|---|-⌫-⌫|-||------⌫----|-|
beneïren tnostreSigno r	---------⌫|-----|-----⌫|
Et qantilorent einsiparlé en s amble liprestres qi	-|---|-|----|----|-----|--⌫-⌫----|-|-------|-|
uenuzestoi t parla	----|-----⌫|----|
asei ntBeneoitetsi	|---⌫-|------|-|-|
distIe saibienquilest	---|-|--|---|-|-|--|
Pasq ue sCe	----⌫--⌫|-|
estiordeleesce amoi qantieaide serui	--|--|-|-----||--|---|-|-|--⌫----|
qe ieteuoien la face .	-|-|-|--|-|-|---||
sauoit m ie seinzBeneoiz	-----|-⌫-|----|------|
qu ilfust l asolle mpnitezdePasq ue scar	-|-|---|-⌫|-----⌫------|-|----⌫--⌫|--|
par ce q ilauoitsil onctempor eeste ́	--|-||-|----|-|-⌫--|------⌫|----⌫|
en sus degent sien	--⌫--|-|---|-|-|
auoitilo blié le	----|-|-⌫----|-|
Li prestreslidist encoreSac es qu	-|-------|-|---|-----|---⌫-|-|
ilesthuileiordelaresurr e ctionnostre	-|--|--|-|--|-|-|------⌫-⌫----|-----|
Signor et porcenedoit l en	-----|-|--|-|-|---||-|
m ieab ste nir par geuneset	-⌫-|--⌫---⌫--|--|-----|-|
suiieicie nuoiezatoiqe	--|-|--|-⌫-----||--|-|
nosmengons	--|------|
ensa mble ce qenostre	----⌫---|-|-|-----|
Sir esnosadon é.	---⌫-|--||---⌫-||
Dontbeneïrentnostr eSign or s imengiere nt	---|---------|-----⌫|----⌫-|-⌫|--------⌫-|
Apréssedepartiliprest re sde seintBeneoitsi	-----|-|------|-|-----⌫--⌫|-|----|------|-|
s en ala a	|-|--||
En celtens	-|--|---|
meïmes au intqe lipasteurtrou erent	------|--⌫--|-|-|------|----⌫----|
lesei nt homelaouil	-|---⌫-|---|-|-|-|
habitoitensaf osse.	-------|-|-|-⌫---||
le uirentlaentelmaniere	-|-----|-|-|--|------|
etuestusde peaus ilcuidier ent	-|-----|-|----|-|-------⌫--|
qe c ef ustu ne bestemesqan tilloren t	-|-⌫|-⌫--|-⌫-|----|--|---⌫|-||----⌫|
tantaprochiéq i lleporent plei nementueoirel	---|--------||-⌫|-|-----|----⌫-----|----|-|
sorent bien	-----|---|
q eceest o it unsh om	-⌫|-|---⌫-⌫-|--|-⌫-|
Deu si lenonc ierentas	--|-|-|----⌫-----|-|
g enz qi pres d il uecmanoient.	-⌫--|-|---||--⌫--|-------||
Tre s cel tens auintqegenzi con men cierent	---⌫|--|---|----|-|---||---⌫---⌫------|
aaleret ahan teretaaporte ru iand es	|---|-||---⌫--|-||------⌫|-⌫----⌫-|
a soncorssosteniret	|--|---|-------|-|
illesen segnoitetdoctrinoitde	-|--|--⌫------|-|---------|-|
seintesparoles .	------|------||
Adont auin tuniorqe li	----|----⌫|-|--|-|-|
s einzho mestoit	-⌫---|--⌫|-----|
lideablesqi uolentiers tenteete s sa ie	-|------|-|---------|----|-|-⌫-⌫--⌫-|
ceusqinostr e	---|-|-----⌫|
Signor seruentletemtaenceste maniere q eie	-----|------|-|----|-|----|------|-⌫|-|
uos di rai.	--|--⌫--||
Un merlelicomençaauole ter	-|----|-|-------||----⌫--|
entourleuiaireet si pries a	-----|-|-----|-|-|----||
alerdelaface qe li seinzhom	---|-|-|---|-|-|----|--|
le prista sa	-|----||-|
i l uoltmesiln ele	-⌫|---|--|-|-⌫|-|
uout bail lier	---|----⌫---|
lesigned ela seinte	-|----|-⌫|-|-----|
ilfist encontrese	-|---|-------|-|
departi lioiseausettintsauoie .	------|-|------|-|---|-|---||
Ettant ostco m ilsenfu	-|----⌫--|--⌫|-||-|-|
departizunesigrant temptationde sacha r	-------|--|-|----|---------|-|-|---⌫|
pri st au s eint	---⌫-|-|-⌫---|
homeqeon que s	---|-|--⌫---⌫|
messigrant	--|-|----|
nauoi t eüecari lauoitiad i sune	|----⌫|---|--|-⌫|----|---⌫-⌫|--|
femeu eüeqe limalignesesperizli ramena	---|-⌫---|-|-|-------|------|-|-----|
deuantensa	-----|-|-|
pe nseee tunesi	--⌫---|-⌫|--|-|
grantuolentez	----|-------|
uintpo r lagrantbeautéquil	---|--⌫|-|----|------|-|-|
i auoitueüe qilnesauoit q efere	|----|----||-|-|-----|-⌫|---|
Sifu esprisq uapouq	-|-|-----|-⌫||--||
il nedeg uerpiss oitl e rmitage mespa rlagraced el	-|-|---⌫-------⌫--||-⌫------|--|--⌫|-|----|-⌫-|
sein tEs peritauint que sicomil estoiten	----⌫|--⌫----|----|--|-|--|-|-----|-|
ce letresgra nt flambe deldesirr ier q ili	--⌫-|---|---⌫-|-----|--|------⌫--||-||
auoi tqil reuint enbone pensee.	----⌫||-|-----|-|---|-----||
Ta n tostse	--⌫-⌫---|-|
desuesti toznuzsicom	-------|--|--|-|--|
ilcheïde samereet uint aunbuisson	-|----|-|-|---|-|---||-|------|
q itoz estoitpleinsd espines et dorties	-⌫|--|-----|-----||------|-||-----|
siselessacheo ir dedenze t si	-|-|----|----⌫-|-----|-⌫|-|
set orna dedenz tantetretorna	-|-⌫---|-----|---|-|------|
pla iezetortiez etqe	---⌫--|-|-----|-|-|
coroitde son	-----|-|--|
corsde t ot espa r z.	---|-|-⌫--⌫-|--⌫-⌫||
Einsi chaçail etostalesplaiesq	----|-----|-|-|---|--|-----||
i lauoitensa pensee	-⌫|----|-|-|-----|
p arlesdolereus es plaiesdo nt ilse stoit	-⌫-|--|--------⌫-|-----|--⌫-|-||-⌫----|
n aurezpardefors.	-⌫----|--|-----||
Enceste maniere	-|----|------|
uenquiilledesirrier q	-----|-|-|--------||
ilauoit etmuaen doleur.	-|----|-|--|-|-----||
Ettresdonc	-|---|---|
iltesmoignoit a sesdec ip les fula	-|----------||--|---⌫--⌫--|-|-|
temptat ion decele uolentéen	-------⌫--|-|---|-------|-|
l uisidonteeque onq espuisnen	-⌫-|-|-----|--|---⌫-|---||-|
senti rie n.	----|---⌫||
Donccomencierent pluiseursgenzadeguerpir lesieclee t	---|-----------|--------|---||--------|-|-----|-⌫|
a l eren t a luipor	-⌫-⌫----⌫||--|--|
sauie ensiu rreet s a	-|--|-----⌫--|-|-⌫|
d octrine.	-⌫------||
Qantl iseinz	---|-⌫|----|
hom fu deliurezdelat em ptatio nente lmaniere com	--|-|-------|-|-|-⌫--⌫------⌫|-|--⌫|------|--|
ieuos aic onte ́il	-|--|-|-⌫----⌫|-|
començaf ruit a	-------|-⌫---||
rend re a plu sgrantplentédorissonset	----⌫-||---⌫|----|------||-------|-|
de ie unes et d e	-|--⌫---|-|-⌫|
uei llestouta ussicomlaterre portem ielz	---⌫---|---|-⌫---|--|-|----|----|-⌫---|
qantli chardonetl esespine s ensont	---|-|------|-|-⌫-|------⌫|-|---|
Adon tauin tqeli	----⌫|----⌫|-|-|
abbes du neab eïeq i l a esto it pr o chei ne	----||-⌫-|--⌫---|-⌫|-⌫|----⌫-|--⌫-⌫----⌫-|
fu morzettrespassezdec est siecle .	-|---|-|---------|-|-⌫--|-----||
Qa ntil fuen s eue liz et	--⌫-|-|-|--⌫-⌫---⌫--|-|
e nfoïz si com costu meesttuitli	-⌫-----|-|--|-----⌫-|--|---|-|
frereqi e ncel	----|-|-⌫|--|
leuhabitoient	--|---------|
seintBeneoitetsili proiere ntmo ltdo c ementqil	----|------|-|-|-|-------⌫-|--⌫-|--⌫-⌫----||-|
en uenis tensamb le	-|-----⌫|------⌫-|
oeus etsi fustlorpereset	|--|-|-|---|--|----|-|
lor mestres.	--|------||
Il lorrefusamoutetsilor	-|--|-----|---|-|-|--|
distqiln eporroit mienenecouendro it	---||-|-⌫|------|--|-|-|--------⌫-|
qil menastlormor snelor	|-|-----|--|---⌫|-|--|
ma ni eres .	--⌫--⌫---||
Li frereli proier enttan tetdist r entqillor	-|----|-|------⌫--|---⌫|-|----⌫-⌫--||-|--|
s enalaensembleo e us	|-|--|-------||-⌫-|
enloreglis ses i l es pris ta cha stoi eret a	-|--|-----⌫-|-⌫|-⌫-|----⌫||---⌫----⌫-|-||
doctrinerq	--------||
ilme nassentse inteui e et apréslorblasmapluis eurs	-|--⌫------|--⌫---|--⌫|-|-----|--|-----|-----⌫---|
chosesqilf eso ie nt.	-----||-|-⌫---⌫--⌫-||
Etpuissilor desfendiq iln	-|---|-|--|-------||-||
ississent miedela	--------|--|-|-|
droite uoiedeconuersation .	-----|---|-|-----------||
Don tcomença molta anoierles	---⌫|-------|---||-----|--|
freressilepristre ntentreus a blasmerpor	-----|-|-|-------⌫-|---|--||------|--|
poo ie ntfere ore ce	---⌫--⌫-|---|--|-|
quil soloient siseporpenserentqil	-|-|-------|-|-|-----------||-|
l ocirroient.	|---------||
Lors mistren tuenimmortelensonboi ure	---|-------⌫|----|-----|-|--|---⌫--|
q ienunseul	-⌫|-|-|---|
uaisseldeuo i rr e estoit.	------|-|--⌫-⌫--⌫|-----||
Q antsei nzBeneoiz	-⌫--|---⌫-|------|
fuassisaumengiersi comil auoit	-|----|-|------|-|--|-|----|
ac ostume len	|-⌫-----||-|
li ap ort a cel uessel	-|--⌫---⌫|--|-----|
deu ant et	---⌫--|-|
il fistlesigne d ela Croizencontre.	-|---|-|----|-⌫|-|----|-------||
Meinte n antbris aliuesseausetuo laen	------⌫-⌫--|----⌫|-|-------|-|--⌫-|-|
piecesetauss int fu il	-----|-|----⌫--|-|-|
esqartelez com selenieüstg eté d une	---------|--|-||-||----|-⌫---||--|
grantpi erre .	----|--⌫---||
Liseinzhom entendimeintenantets ot	-|----|--|------|---------|-|-⌫-|
qecestoitmo rtieusb oiuresqi	-||-----|--⌫-----|-⌫-----|-|
nep out miesosfrirle	-|-⌫--|--|------|-|
la Croiz .	-|----||
Lorsseleuan enenfistnulsambla nteinz	---|-|---|-⌫||-|---|--|------⌫-|---|
apelasesfreress iparlaaeu smoutdoc ement	----|--|-----|-⌫|----||--⌫|---|---⌫----|
et silordist Beausfrer es De x	-|-|--|---|----|----⌫-|--⌫|
puissanzaitm e rcideuosPor qoimeuous istesu os	-------|--|-⌫-⌫--|-|--|--|--|-|----⌫----|-⌫-|
telchosefereDonc	--|----|---|---|
ne uos disoie i eançoisq ue	-|--|-----|-⌫|------|-⌫-|
uosmam enissiezça deden z	--||--⌫-------|--|-----⌫|
q emesmeur setles uostre s	-⌫|--|----⌫|-|--|------⌫|
nes acorderoient mieAlezs iqerez	-||-----------|--|---|-⌫|----|
peresol on cuoscostumesca rmoi uosne	---|---⌫--⌫|--|-------|--⌫|--|--|-|
poez plus auoiren n ulem aniere	---|---|----|-|-⌫--|-⌫-----|
Dont sedepartiseinz Bene ois dela sisen	---|-|------|----|----⌫--|-|-|-||-|
ra la ason	--⌫-||--|
le uenlaroch e quil mout	--⌫|-|-|----⌫|-|-|---|
Etlaou il conu er soituenoientmoltde	-|-|-|-|----⌫--⌫---|-------|---|-|
g enz aluietreperoi entporles m iracl es	-⌫--||--|-|-------⌫--|--|--|-⌫-----⌫-|
qenostreSiresf eso it	-|-----|----|-⌫---⌫-|
Et parceus quia	-|--|---|--||
lu irepairoient etp a r	--⌫|----------|-|-⌫-⌫|
l aïde nostreSignorfi stil.	|----|-----|-----|--⌫-|-||
eg lisse souilfistde	--⌫-----⌫|-|-|---|-|
moines p ere s qiens embleoluia r restoient	-----|-⌫---⌫|-|---⌫----||--|-⌫-⌫--------|
et des ozchascunmist ilf reresqu iuesquirent	-|---⌫-|------|---|-|-⌫----|--⌫|---------|
par seinte ri ule	--|-----|--⌫--|
si comil meïmes	-|--|-|------|
ensigniéet doctriné cartu i t estoienta l ui uenuzen	--------|-|--------|--|--⌫-⌫|-------||-⌫-|----|-|
ouil hab it oitporaprendre etporretenirsadoct rine	-|-|---⌫--⌫--|--|-------|-|--|------|-|----⌫---|
etses seintespar oles.	-|--|------|---⌫---||
Lihaut homede	-|---|---|-|
relegie usestoient	-------⌫-|-------|
uind rent aluietsi	----⌫---||--|-|-|
libaillieren t	-|----------⌫|
l orenfanz pornor r iret porensigniera oés nos tre	-⌫-|-----|--|---⌫-⌫-|-|--|--------||---|---⌫--|
Eu itiu sqihau zhomestoitienuoiaMaurum	--⌫----⌫|-|---⌫|--|-----||-----|-----|
son filet The raliusienuoia Placidumqienfes	--|--|-|---⌫-----||-----|-------|-|----|
estoit etdemoutbonescostumes.	-----|-|-|---|----|-------||
En unede ceseglis sesqeli	-|--|-|--|-----⌫--|-|-|
seinz homau oi t iluec e stablies etfet es	----|--|--⌫--⌫|----|-⌫-------|-|---⌫-|
auoitunmoigneqi ne poo ita rres ter	----|-|-----|-|-|---⌫-|-⌫----⌫--|
enl egl isse qantlimoi ne començoientl ororoison s	-||---⌫---|---|-|---⌫-|-----------|-⌫-|-------⌫|
a feremestan tostcomils	|---|--|---⌫---|--|-||
aclinoientpor oreril issoitdel	---------|--|---|-|-----|-||
eglisse forsetsicoum ençoitaucunescho ses a	------|---|-|-|----⌫------|------|---⌫--||
fere qipreutne ualo ient.	---|-|----|-|----⌫---||
Ses abbeslechastia plui s eurs foiz	--|----|-|------|----⌫-⌫---|---|
etamonesta	-|-------|
dece fere qeliautre	-|-|---|-|-|----|
f rere fesoient	-⌫---|-------|
mesc ilnesenuou tonqes	--|-⌫-|-||-|---⌫|----|
amenderpor	------|--|
chosec onlip eü stdire.	----||-|-|-⌫---⌫-|---||
Qant ce uit liabbesilpristl efrere si	---|-|--|-|----|-|----|-⌫|----|-|
seintBeneoit si li	----|------|-|-|
co nta etdist tote	--⌫--|-|---|---|
c estechose	-⌫---|----|
S einzBeneoi zchastoiam outlemoine	-⌫---|------⌫|-------|-⌫--|-|----|
etblasmas afo lieet lidist	-|-----|-⌫|--⌫--|-|-|---|
qetieusaferes	-|----|-----|
nestoitmiesolonc	|-----|--|-----|
Deune bons ame inte nir.	--|-|---||--⌫----⌫--||
Limoin esdistquil	-|----⌫-|---|-|-|
sename nderoit et atant s e nr ep aira	|-|---⌫------|-|----||-⌫|-⌫--⌫---|
Et qua nt il fu re uenuzal	-|---⌫-|-|-|--⌫----|||
a beïea p ein estintil	-⌫----||-⌫---⌫-|---|-|
l amonestement delseinthome .	|-----------|--|----|---||
iorzcarauti erz iorreperailason	---|--|-|--⌫--|--|-----|-||--|
Liabbeslerenonc ̧aa	-|----|-|------⌫-||
sei ntBeneoit.	---⌫-|------||
E tseinzBene oizli	-⌫|----|----⌫--|-|
reman d aquilmeïsmesiro ital abeïe etsi	-----⌫-⌫|-|-|-------|---⌫-|||-----|-|-|
feroitau moineamendercest e	-----|-|----|------|----⌫|
Qant ilfuuenuz a	---|-|-|----||
lab eïeetl espsaum e s furentfi neesenl	|--⌫---|-|-⌫-|-----⌫-⌫|-----|--⌫---|-||
abeïe li frerese	-----|-|----|-|
c ouchie rente n orissonssi co mil auoientaco s tume.	-⌫------⌫---|-⌫|-------|-|--⌫|-|------||--⌫-⌫---||
SeinzBeneoizes garda	----|------|--⌫----|
siuitqu e unsnoirs	-|--|--⌫|--|----|
e nfes trai oit	-⌫---|----⌫--|
forsd e l eg lissel emoigne par	---|-⌫||--⌫----|-⌫|-----|--|
sauesteüreqi	-|--------|-|
nepooitarrester	-|----|-------|
asorissons	||-------|
Dontp a rlaseinz Beneoiztoutcoiement	---|-⌫-⌫--|----|------|---|-------|
a l abéde leglisse	||---|-||------|
qiPompeie ns estoit apelez	-|-------⌫-|-----|-----|
eta unsienmoin equi mout	-||-|---|----⌫|--|---|
