une maniere degent sont	--|------|-|---|---|
etm ist a raisonpa r	-|-⌫--||-----|--⌫|
sireuouses tesbiausetpreus	---|---|--⌫--|----|-|----|
cedienttu itlad ieumerci	-|----|--⌫-|-|-⌫--|----|
siauriezbiendese rui	-|-----|---|----⌫--|
dauoiramie e n	|----|---|-⌫|
si ha utleu	-|--⌫-|--|
quen eus siezhon n o ur etpreu	-|-|---⌫---|---⌫-⌫-⌫-|-|---|
car bie nuousseroit	--|---⌫|---|-----|
madame fetil	-|---|--|-|
e ncorea cemisementente	-⌫----||-|---||------|
parfoi f a it	--|--|-⌫-⌫-|
e llelongue ate nte	-⌫--|-----|---⌫--|
uous porroit	---|------|
nuirecemest uis	----|-||--|--|
si loqueuous soiésamis	-|-|--|---|-----|---|
en un haut lieu seuous ueés	-|-|---|---|-|---|----|
soies bien amés	----|---|----|
cilzrespon t ma d ame	---|------⌫|-|-⌫--|
ienes ai m i e	-|-|-⌫-|-⌫-⌫|
bien pour quoi	---|---|---|
cequedites necoi	-|--|----|-|--|
neienesuineroi s necontes	-|-|-|--|-|---⌫|-|-----|
quisi haute mentamer doie	--|-|-----⌫---|---|---|
suimieayy doie	--|--||-|---|
damesisouuerai nne	---|-|--------⌫--|
sei ebie nn i	-|-⌫|---⌫|||
metoiepa inne	-----|--⌫---|
siestesfait elle	-|----|---|---|
mainteplus	-----|---|
gr a ntmerueilleauien t	--⌫-⌫-|--------|-----⌫|
et aut elauerra encore	-|---⌫-|-----|-----|
d it esmoiseuoussauez ore	-⌫--⌫-|--|-|---|----|--|
seieuousa im amourdonnee	-|-|---|-⌫||----|-----|
quisuih a utedamehonnouree	--|--|-⌫-⌫--|---|--------|
etcilzrespontisnellep as	-|---|------|--------⌫-|
m a dameie ne	-⌫|---|-|-|
mezie uaudr oie uost r eamour	--|-|-----⌫--|----⌫-⌫|----|
auoir pa rbi en et	----|--⌫|--⌫-|-|
pa r ennour	--⌫|-----|
telamourme gart	--|----|-|---|
quamoina uousto urtcele part	-||--|||---|--⌫--|---|---|
ou lahonte mon seigneurg ise	-|-|----|--|-------|-⌫--|
que anulfu ernanuleguise	--||--|--⌫-|||---|----|
ne pren dro iete lmesproi s on	-|----⌫---⌫-|--⌫|-------⌫-⌫-|
commede f airetraison	----|-|-⌫---|------|
quo iquecefustoubienoumal	---⌫|--|-|---|-|---|-|--|
enue rsmons eingneur	----⌫-|--|-⌫-------|
celequiest marie	---|--|--|----|
dantmusart etq uiuousem p rie	---|-----|-|-⌫-|---|-|-⌫--|
hafet cilmadamemerchi	-|--|--|-|---|-----|
nem esitant	-|-⌫-|----|
neuousend i	-|---|-|-⌫|
elenetin talu inulplait	--|-|---⌫||--⌫|--|----|
m ezg rantcourouset grantd eh ait	-⌫-|-⌫---|------|-|----|-⌫--⌫--|
cueretsi pensa	---|-|-|----|
sellepuet bien cenuengera	|---|---|---||-|------|
sifuele forme ntiree	-|-|--|-----⌫-|---|
lanuit quant ell e fu c oucee	-|---|----|---⌫|-|-⌫----|
iouste leduc a	-----|-|--||
commen cae tpui sa plourer	------⌫-|-⌫|---⌫||------|
erraument li demande	--------|-|------|
quellea et licomman de	-|---||-|-|------⌫-|
q uel le l i	-⌫|--⌫-|-⌫|
diemain tenant	--|----⌫-----|
certes fa itelle	-----|--⌫-|---|
i a iduelgrant	|-⌫|---|----|
decequenesetnushaus	-|-|--|-|--|--|---|
qui foi liporte n e	--|--|-|----|-⌫|
me z plu sdebienet do n neur f ont	--⌫|---⌫|-|---|-||-⌫-⌫---|-⌫--|
aceus qui leur	|---|--|---|
traiteur son t	-------|---⌫|
etsi ne s enaperchoit nus	-|-|-||-|--------|--|
p arfoidame f aitsoi	-⌫-|--|---|-⌫--|--|
ie ne sai pourcoiuous le	-|-|--|---|--|---|-|
mais det e lchoz esui	---|-|-⌫-⌫|----⌫|--|
car anu lfuerienameroie	--||--⌫|---|-||------|
traitourseie lesauoie	-------|-|-|-|-----|
nom maqu ine finahui	---⌫-|--⌫|-|---|--|
dem oiprierau loncdou iour	-|-⌫-|----|-|---|--|---|
que ielidonnassemamo ur	--|-|-|-------||---⌫-|
etme dist queil	-|-|---|--|-|
al onctampz	|-⌫--|----|
qu ilaesté	-|-||----|
noncquesmesne lem	|------|--|-|-||
etiemepensai biaus douzsire	-|-|-|-----|----|---|---|
tanto stqueiel euous diroi e	-----⌫-|--|-|-⌫|---|-----⌫|
etcepuetestre choseuoire	-|-|---|----|----|----|
quil apiecaace	-|-||----||-|
de ce qui l n	-|-|-|-⌫||
oino uue ll esn enauons	-|--⌫---⌫--⌫-||-|----|
requierten guerredons	-------|-|---------|
que uostrehonneurie s gardois	--|-----|------||-⌫-⌫------|
sic omsauezque	-|-⌫-|----|--|
lidusacu i s emb lemoutg rief	-|--||--⌫|-⌫---⌫-|---|-⌫---|
lid istienuerr aibien achief	-|-⌫--||-|----⌫-|---||----|
parchainneme ntsi comiecuit	------------⌫-|-|--|-|---|
a malaisefucelle	|------|-|----|
li du squi dormirn e	-|--⌫|--|-----|-⌫|
porle cheualier qu il	--|-|--------|-|-|
etp our cetoute	-|-⌫--|-|----|
nuitueilla	---|-----|
len dema inmatin	|--⌫----⌫-|----|
et celuifist	-|----|---|
quesafemmeli fait	--|-|----|-|---|
q uede rien s namespris	-⌫-|-|----⌫|||------|
maintenantlaar a isonmis	---------||||-⌫-⌫---|--|
seulaseulquen	---||---|--||
iot causdeus	|-||--|---|
c ertes fait	-⌫----|---|
liduscestgransdeu lz	-|--||--|----|---⌫-|
quantproue sceauezetb iaute	----|-----⌫--|---|-|-⌫----|
uous loiaute	---|------|
sime nauez	-||-⌫|---|
bi en decheu	--⌫-|-----|
queiai moutlonguemen t cr eu	--||-|---|---------⌫|--⌫-|
que uousfuissiezdebonnefoi	--|---|-------|-|----|--|
loiaus atouslemains uers	-----||---|-|----|---|
car iaiuers uousamoureue	--||-|---|---|----|--|
sine sai dontuo usest	-|-|--|---|--⌫-|--|
telp ense esi traitresse	--|-⌫----⌫|-|---------|
queproie a ue z	--|----|-⌫--⌫|
la ducesse	-|------|
etrequise de druer ie	-|------|-|-----⌫-|
siau ez fet grantuil onnie	-|--⌫-|--|----|---⌫----|
quepl usu ilainnen estuetquerre	--|--⌫-|-⌫------||-----|-----|
etwidiez erra ntdemate rre	-|-----|----⌫-|-|-|--⌫--|
ca rie u ousenco niursanzdoute	--⌫|-|-⌫--|-|--⌫---|---|----|
ets i leu o usendeffenstoute	-|-⌫|-|-⌫-⌫-|-|------|----|
sen ientrez ne tantn equant	-|||-----|-|---|-⌫|----|
car seiou des	--|-|--|--|
or en auant	-|-|----|
uousipoo ie	---||---⌫-|
faire pre ndre	----|---⌫---|
saichiezieuousf eroie pe ndre	-------|-|---|-⌫----|--⌫---|
quantli cheualiers	----|-|---------|
dire e tde m auta lentesp rent	|--|-⌫|-|-⌫----⌫---|---⌫---|
siqueto utentr amblent simembre	-|--|--⌫-|-|--⌫------|-|-----|
quantdesamie	----|-||---|
li ramemb r e	-|------⌫-⌫|
senest par alerouuenir	-||--|--|---|-|----|
etparrepairierelpays	-|--|--------|-|---|
do ntli dusueut q uilsoit	--⌫-|-|--|---|-⌫|-|---|
etd a utrepa rtlifa itmou t	-||-⌫---|--⌫-|-|--⌫-|---⌫|
cequetraitourde sloial	-|--|-------|--⌫-----|
letientses siresetatort	-|----|--|----|-||---|
s enaaucuerteldesconfort	|-||-|---|--|---------|
qua mortsetient et atrahi	-||---|-|----|-||----|
sirefe til pordieumer ci	---|--⌫|-|--|---|---⌫-|
iane necreés	-|-|-|-----|
iafusse si osés	-|----|-|----|
tort seure	---|----|
neucem pen sene	|--|-|---⌫-|-|
iourn eeure	---|-⌫|---|
s amalfait	||--|---|
quile uousadi t	--|-|---||--⌫|
neuousuaut riensdel	-|---|---|----|-||
fet li d us	--|-|-⌫-|
quepo intnen i a	--|--⌫--||-|||
el lemeismescontéma	--⌫-|------|-----|||
enquel maniereetenquel guise	-|---|------|-|-|---|----|
uous lau ezpr oie	---||--⌫-|--⌫--|
commetrai t resenuiou s	----|----⌫-⌫--|------⌫|
ettelchoz e desiste s uous	-|--|----⌫|-------⌫|---|
puet e stredont ellese	---|-⌫---|---|---|-|
ma damedis tce que lipl aist	-|---|---⌫|-|--|-|--⌫---|
faitc ilquimout e stoitmaris	---|-⌫-|--|---|-⌫----|----|
sineme uau tr iens escondis	-|-|-|---⌫|-⌫---|-------|
neue ritez que iendesisse	-|--⌫----|--||-|------|
sinestriensqu e	-||--|----|--⌫|
ienenfeisse	-||-|-----|
p ar ce queien fussecreu s	-⌫-|-|--||-|----|----⌫|
q uede ce nia	-⌫-|-|-||||
siafait s oilidusparmame	-||---|-⌫-|-|--|--||--|
a cu iilsouui entdelad ame	|--⌫|-|-----⌫--|-|-|-⌫--|
quicuidebiendeuoirsauoir	--|----|---|-----|-----|
femme lia itdi t uoi r	----|-|-⌫-|--⌫|---⌫|
conques nusn oic omparlast	|-----|--||-||-|------|
quecile nautre l ieual ast	--|--|-⌫|----|-⌫--|--⌫--|
dontdistlidusaucheualier	---|---|-|--|-|--------|
se u ousmeuolezf ianc hie r	-|-⌫--|-|----|-⌫----⌫---⌫|
loi alsairemen t	---⌫-|--------⌫|
que uousmedirésu raiem ent	--|---|-|-----|-⌫-----⌫--|
cequeieuousdem anderai	-|--|-|---|---⌫------|
paruoditcertainsenserai	--|-|--|-------|-|----|
seuousaue z fetce ou n on	-|---|---⌫|--|-|-|-⌫-|
uersuo usgrantsouspecon	---|--⌫-|----|--------|
c il qui ta nt conuo iteet desirr e	-⌫-|--|--⌫-|-----⌫--|-|------⌫|
aoster son	|----|--|
se igneurdes	--⌫-----|-||
queila uerslu isansd eserte	--|-||---|--⌫|---|-⌫-----|
que il redouteteleperte	--|-|------|---|----|
comm e deguerpir	----⌫|-|------|
lacontre e	-|------⌫|
ouc eleestouplus li ag ree	-|-⌫--|--|-|---|-|--⌫--|
respontquetoutsan z	------|--|---|---⌫|
contre dit	------⌫--|
quinepens enene regarde	--|-|----⌫|-|-|------|
a ce queli d ussepr entg arde	|-|--|-|-⌫-|-|--⌫--|-⌫---|
necourous ne lil aist	-|------|-|-|-⌫---|
quelidus uoe illedem ander	--|-|--|---⌫---|---⌫----|
d erie nsfors decelle	-⌫|---⌫-|---|-|----|
le serement e n telmaniere	-|-------|-⌫|--|------|
empristl idusetcil	-|----|-⌫|--|-|--|
etlidusmaint enantl i	-|-|--|-----⌫----|-⌫|
s a ichiezenfin e ueri te	-⌫-⌫-----|-|---⌫|----⌫-|
quece queie uou saiame ́	--|-|--|-|---⌫|-|---⌫|
ca en a rriere de fin	-|-|-⌫-----|-|--|
ne me l aistpe nseranul	-|-|-⌫---|--⌫---||--|
uers uo us tel cou rous ne	---|--⌫-|--|---⌫---|-|
ducoissemeconte	-------|-|----|
ne tantne letenisseauoir e	-|---|-|-|------||----⌫|
se cene le mefesistcroire	-|-|-|-|-|-----|-----|
etme mesista gra n tdo ut a nce	-|-|-----||---⌫-⌫|--⌫--⌫-⌫--|
quanti esgart uostreconte n ance	----||-----|-----|-----⌫-⌫---|
etdecointise et d autrerien	-|-|-------|-||----|---|
aquoionpuet	|---|-|---|
sauoirmoutbien	-----|---|---|
queuous ame z	--|---|---⌫|
ou quecesoit	-|--|-|---|
etquant daillours ne s aperchoit	-|----||-------|-||--------|
uousam ésdamoiselle ou dame	---|--⌫--|---------|-|---|
iemepensquece soit	-|-|---|--|-|---|
quime di stqu euou s	--|-|--⌫-|--⌫|---⌫|
leprouu és	-|-----⌫--|
sinen puis estredesuoiiés	-||-|---|----|---------|
quenecui t	--|-|---⌫|
que nsi uo ist laf aire	-|-⌫--|--⌫--||--⌫---|
porriensq ueuousme saichiezfaire	--|----|-⌫-|---|-|-------|----|
se uousnemedite sc	-|---|-|-|----⌫||
amezent ellieup aramours	---|-|-⌫-|---|-⌫-|-----|
faichiezsan znull e doute	-------|---⌫|----⌫|----|
sauoir monla uerite	-----|--|-|-----|
etsecefairene	-|-|-|----|-|
commepariu r esuousenalés	----|-----⌫-⌫-|---|-|----|
forsdemate rresansdelai	---|-|-|--⌫--|---|----|
ci lne setn ul c onsei llde soi	--⌫|-|--|-⌫-|-⌫-----⌫-|-|--|
ques ildis t l aueritepure	--||-|---⌫|-⌫|-----|---|
qui ldirasil ne	-|-⌫|---||-|-|
s epari ure	-⌫|----⌫--|
amortseti ent se	|---|-|--⌫--|-|
ilfaitt ant	-|---|-⌫--|
si lt respasse	|-⌫|-⌫-------|
lecouuenant	-|--------|
qua sa dameet a	-||-|---|-||
ilest seursqu ill e perdra	-|--|----|-|-|-⌫|-----|
senpue utaper cheuoir	|-|---⌫-|----⌫------|
etsil nedistaud ucle	-||-|-|---|-|-⌫-|-|
pariureses t	-------|--⌫|
etfoimentie	-|--|-----|
etpertl epayset s a mie	-|---|-⌫|---|-||-⌫--|
mez doupa ysnelec hausist	--|--|--⌫-|-|-|-⌫------|
amieliremansist	---|-|--------|
quisorto uterienperdrecrient	--|--|--⌫--|---|-----|-----|
etpou rce qu adeslisouuient	-|---⌫|-|-|---|-|-------|
d elagrant ioiee tdousoulas	-⌫|-|----|---|-⌫|--|-----|
quilaeu eentreses br as	-|-||--⌫|----|--|--⌫-|
sise pense sil lemes s iert	-|-|----||-|-|---⌫-⌫---|
parson mes chief le	--|--|---⌫----|-|
q ua ntosline lenpuetmener	-⌫--⌫-|-|-|-||-|---|----|
commentp orrasans li durer	------|-⌫---|---|-|----|
siestentelpointautresi	-|--|-|--|----|------|
comlichastelainsdecouci	--|-|----------|-|----|
quiaucuer nauoitsa mour non	--|-|---||----||-⌫---|--|
dun nechan con	|--⌫-|----⌫--|
doudou z solaset dela	--|---⌫|----|-|-|-|
compaingner	----------|
etdesbiausmosqu	-|--|----|--|-|
am oi soloi tparler	|-⌫-|-----⌫|-----|
celle quime stetcomp aingne et ami e	----|--||-⌫-|-|----⌫-----|-|---⌫|
etquant sasimplecomp aingnie	-|----|-|-----|----⌫------|
dedu itq uesoliens deme ner	----⌫-|-⌫-|------|----⌫--|
commentmepuetli	------|-|---|-|
cuerselcors dure r	----|-|---|----⌫|
quant ilne partcertest rop	----|-|-|---|-----|-⌫--|
estmal ua is	--|---⌫--⌫-|
lic heualier sentelangoisse	-|-⌫--------⌫|-|--|-------|
nes etsele	-|-⌫-|-|-|
uoir enconnoisse	---|-|--------|
ou ilmente	-|-|----|
et laist le pais	-|----|-|---|
etqua ntil	-|---⌫-|-|
esti ssisouspris	--|-⌫--|-------|
quin es et liqueusliuautmiex	-||-⌫|-⌫-|-|----|-|---|---|
doucu erli mon teasyex	--|--⌫-|-|---⌫-|-|--|
pourlanguissec om lipo rchasce	---||-------||-|-|--⌫------|
etlidesc entaualla	-|-|----⌫--|---|-|
siqueleui s	-|--|-|--⌫|
en amoillié	-||-------|
li dusnen a p as	-|--||-||-⌫-|
lecuerl i e	-|---|-⌫-⌫|
entent qu ilyait tel ch oze	-----|-|-||--|--|--⌫--|
quilrecognois tre ne l iose	-|-|---------⌫--|-|-⌫|--|
si liaditene slepas	-|-||--|---⌫-----|
bienuoiq ue ne uo usf iez	---|--|-⌫-|-|--⌫-|-⌫--|
enmoitantqueu ous de ussi ez	-|--|---|--|-⌫--|--⌫----⌫-|
cuidiezuous s emedesissie z	------|---|-⌫|-|--------⌫|
uostreconse i llpriueement	-----|-----⌫-⌫-|---------|
queie desiss e a nulle	--|-|------⌫||----|
lairoieaincois	------|------|
sans faute	---|----|
lunsdemesdenstraire parl autr e	|--|-|--|---|-----|--||----⌫|
ha pourdieu fetil	-|---|---|--|-|
merci sire	----|---|
i enesaique ie	-⌫|-|--|--|-|
puisse di re	-----|--⌫-|
ne queiedoie deuenir	-|--|-|---|------|
m ez ieuaudroie	-⌫-|-|-------|
que per dre	--|---⌫--|
sele uoi r dituo us e n	-|-|---⌫|--|--⌫-|-⌫|
fust iadeli s eu	---|-|-|-|-⌫-|
a riens qu iso it elmont ui u a nt	|----|--⌫|--⌫-|-|---|--⌫-⌫-⌫-|
lorsdistli dusie uous creant	---|---|-|--|-|---|-----|
sorle corsso rl	--|-|---|--⌫||
et seurl amou r et seur	-|---||----⌫|-|---|
quei euous doi	--|-⌫|---|--|
de uostrehomaige	-|-----|------|
n euousfero ietelh ontaige	-⌫|---|----⌫-|--|-⌫------|
que iaacreat ure nee	--|-||-----⌫--|--|
nen i ertparole	|-|-⌫--|-----|
nesonh autf aitg rantne petit	-|--|-⌫--|-⌫--|-⌫---|-|----|
etcilemplourant liadit	-|--|-|-------|-||--|
sireieuous dirai	---|-|---|----|
iaim uostreniecede uregi	|--|-----|----|-|----|
e t elemo itan t comp ue tplu s	-⌫|--|--⌫|---⌫||-|-⌫--⌫|---⌫|
ormedites d o nc fetli	-|-|----|-⌫-⌫-|--|-|
qu antuo usuole zcom uousen	--⌫--|--⌫-|----⌫||-|---|-|
sauoi tnusforsuous de us	-----⌫|--|---|---|--⌫-|
e tcilemplourantli respont	-⌫|--|-|-------|-|------|
nennilcrature delmont	-----|------|--|---|
commen t iau ene zu ou stoutans	------⌫||--⌫---⌫|-⌫--⌫|------|
asse ztostlesarezpar tens	----⌫|---|-|----|--|---|
necommen tsauie zliuneta n s	-|------⌫|-----⌫|--|-|--⌫-⌫|
parfoisire	--|--|---|
fa itcilpar	--⌫-|--|--|
iele uousdirai sanzriens taire	-|-|---|----|---|----|----|
q uan t tantsau e zde	-⌫---⌫|---|---⌫-⌫|-|
nostreafai r e	-----|----⌫-⌫|
a tou tesacontees	|---⌫--|-------|
l es ue nues etles alees	-⌫-|--⌫---|-|--|----|
etl acontenance premiere	-|-⌫|---------|-------|
et dou petitchie nlamaniere	-|--|----|----⌫|-|------|
dont distli dusie uousrequi er	---|---|-|--|-|---|-----⌫-|
que au ostrete rmepremier	--||-⌫----|--⌫--|------|
uoeilliez que uostresco mp aingzsoie	--------|--|------|--⌫--⌫----|---|
daler ouo usen	|---||--⌫-|-|
uo eil l sauoirsansaloin ge	--⌫---⌫|-----|---|-----⌫-|
seains iuauostrebesoingne	-|----⌫|-|-----|--------|
sire fet ilie	---|--|-|-|
le uoeillbien	-|-----|---|
puisquiluousplaiste t a	-----|-|---|-----|-⌫||
mezquil ne	--|-|-|-|
uousgrietet anuit	---|----|-|----|
g irai anuit	|---|----|
etlidu sdistqueilira	-|-|--⌫|---|--|-|--|
n e lianu iera	-⌫|-|---⌫---|
ainz liserasoulasetgeu	---|-|---|-----|-|--|
a ndoideuiserent lelie u	-⌫---|---------|-|---⌫|
ouilassem blerontapie	-|-|-----⌫------||--|
sitostcomilfu anuitie ́	-|---|--|-|-|-------⌫|
carassezp resd iluec estoi t	--|----|-⌫--||----|-----⌫|
oula niecele	-|-|----|-|
ce lepar ttrerent lorch emin	--⌫-|---⌫|------|--|--⌫---|
sont uenue liardin	---|---|-⌫|-----|
o uli dus nefupas	-⌫|-|--|-|-|--|
grant p iec e	----|-⌫---⌫|
q uant iluitlech ienn etsanie ce	-⌫---|-|--|-|--⌫----⌫-|-|---⌫-|
qui senuien t au	--||-|----⌫|-|
ou iltrouua leche ualier	-|-|-----|-|---⌫-----|
q ui grantioiefista uchiennet	-⌫-|----|---|---|-⌫|-------|
tantost alauoie semet	------||-|---|-|--|
le cheualieretle duclai s t	-|--------|-|-|--|---⌫-⌫|
et l id usa preslui sen	-|-⌫|-⌫-|-⌫---|--||-|
pres delacha mbre	---|-|-|---⌫---|
apuieet nesemut	----|-|-|-|--|
dunarbre mout grant	|-|----|---|----|
etmoutlar ge	-|---|---⌫-|
siestoit couuersdunnesarge	-|-----|------||---|----|
ententaluiceler	-----||--|----|
dilluecu it en lachamb reentrer	|-----|-⌫-|-|-|-----⌫-|-----|
l e che ualieretuit issir	-⌫|---⌫-----|-|--|----|
sanieceencontrelui	-|----|-------|--|
fo rs de la	--⌫-|-|-|
chambre enunpraier	------|-|-|-----|
e to itelapel	-⌫|-⌫|--|---|
commeelle li fistpar sou las	----|---|-|---|--|---⌫--|
decuerde boucheet debras	-|---|-|-----|-|-|---|
comelelac ho is i	--|--|||-⌫--⌫--⌫|
del a chambreuers l uisailli	-|-⌫|------|---|-⌫-|-----|
etdeses bras si lacola	-|-|--|---|-||----|
etplus deyyfo is	-|---|-|-|--⌫-|
a insqu ilfesis tl onge parole	-⌫----|-|-----⌫|-⌫---|-----|
etcillerebaiseet	-|--|-|------|-|
et lidis tma dame m amie	-|-|---⌫|-|---||---|
mes cu ersmadruer i e	--|--⌫--|-|-----⌫-⌫|
mesp eran ceettout	|---⌫----⌫-|-|---|
quanquei ain	------||--|
saichiezquei auoie grant fain	-------|--||----|----|---|
destre au eucu ous sicom i e	|----|--⌫--|-⌫--|-|--|-⌫|
tousl es iourspuisque ie n	---|-⌫-|----|------|-||
ell eredistmondouz seignours	---⌫|-----|--|---|--------|
mezdous a mismadouceamou rs	--|---|-⌫--|-|----|----⌫-|
onqu espuisne	----⌫-|---|-|
fuioursnie ure	-|----|-|-⌫--|
quene manuiast lademe ure	--|-||------|-|----⌫--|
mezo rede r ienne	--|-⌫-|-|-⌫--|-|
omoicequeiewoeill	|--|-|--|-|-----|
quantcie stes sa in s et haitiez	----|-|-⌫---|--⌫--⌫|-|------|
etli tresb ien uenus	-|-|---|-⌫--|----|
et cildis tetuousbien	-|--|---⌫|-|---|---|
lidusalentree	-|--|||-----|
quiass ezp riezd	--|---⌫-|-⌫---||
iluecestoi t	----|-----⌫|
la uois connoissoit	-|---|----------|
sibien eta	-|---|-||
lacontenance	-|---------|
il horsdeladoutance	-|---|-|-|-------|
etsiti entdecela ducess e	-|-|--⌫--|-|-|-|------⌫|
q ueleest me nterresse	-⌫|--|--|--⌫--------|
et mou tli pla istoruoi tilbie n	-|---⌫|-|---⌫--|-|---⌫|-|---⌫|
quecil ne lia m effetri en	--|--|-|-||-⌫----|--⌫-|
cedon c ile na mescreu	-|---⌫|-|-⌫||------|
illuecquesesti ss i t enu	---------|--|-⌫--⌫|-⌫--|
nuitendementie r s	---|----------⌫-⌫|
quela dameetli	--|-|---|-|-|
cheualier s	---------⌫|
dede ns lachambreseurzzlit	----⌫-|-|------|---|-|--|
et sans dorm ir toutenuitiur ent	-|---|----⌫-|----|---|---⌫--|
at e l ioi eeta teldeport	|-⌫-⌫|---⌫|-||--|-----|
que nest rai sonsque u ousracort	--||--|---⌫---|--|-⌫--|-----|
nenel e die nenel oie	-|-|-⌫|--|-|-||--|
silauoiraauoir	|-|----||----|
com meamours af insam ans	---⌫-|-----||-⌫--|--⌫--|
quantlorp ainnelorguerredonne	----|--|-⌫----|--|----------|
c arci lqui	-⌫-|--⌫|--|
telioie n atendent	--|---||-------|
se ill oi en t	-|-||--⌫--⌫|
riensniente ndent	----|-|----⌫----|
p or quiln ontaamoursle	-⌫-|-|-||--||-----|-|
c arnus nesar oit	-⌫-|--|-|---⌫--|
a nul fuer	|--|---|
c ombi enuauttel	-⌫----⌫-|---|--|
ioieaauo ir	---||---⌫-|
s amoursnelifaisoitsau oir	|-----|-|-|------|---⌫--|
bi en s nafiertm ie a ceus	--⌫--⌫||-----|-⌫-||---|
c arcou estest ioiesans c oureus	-⌫-|--|--|--|---|---|-⌫-----|
e tsoulase t	-⌫|-----|-⌫|
enuoiseure	---------|
forstantia	---|---|||
que petitdure	--|----|---|
sest auisaumal quei l a	|--|---|-|--|--|-⌫||
iatant leure neduerra	-|---||---|-|-----|
tant liplaistlauiequ	---|-|-----|-|--|-|
quesenui sdeuenoitsemainne	--|-|---⌫|-------|-------|
etsemainnnedeu enoitmois	-|--------|---⌫----|---|
etmois zzanzet	-|---|-|--|-|
u nsans t ro is	-⌫-|--|-⌫--⌫-|
ettroisanz	-|----|--|
yy ety yan z	-|-|-⌫|--⌫|
quan t uerrroitaudefinement	----⌫|-------|-|---------|
nui ta inzqu ilaiou rna st	---⌫|-⌫----|-|----⌫---⌫-|
siua udroi tilquilanuitast	-|--⌫-----⌫|-|-|-|-------|
enite llepensee estoit	-|---⌫--|-----|-----|
cilqu eli dus la	--|--⌫|-|--|-|
i oural er lencouui ent	-⌫--|--⌫-||-|-----⌫--|
lu ialuis uient	--⌫|||--|----|
quant li dus uit clorreluisset	----|-|--|--|-----||-----|
tantosta la	------||-|
