me laisié sporl	-|-------⌫|--||
estde Franch eet delres ne formisseParle	--|-|------⌫|-|--|---⌫-|-------|--|-|
c onsel Makaire que lico rsDieumaudie Unmaluais	-⌫----|------|--|-|--⌫-|---|-----|-|------|
l o sengier	-⌫-⌫------|
.i.glouton.i.	--|------|--|
t rait re Morir	-⌫----⌫-|----|
l encou eraseD ieu smen	|-|---⌫--|-|-⌫---⌫||-|
done uie. T ant aiieespl oitiép arle	---|---|-⌫--|-|-|----⌫-----|-⌫-|-|
Iesuaie Ca	---|--|||
Orlienslaifait metreen la	------||-|---|----|-|-|
ca rtr e p eri ne Dont iln istra	--⌫---⌫|-⌫---⌫-|---|-||----|
iamais e ntrestoute sauieAinsse rauergo ngi és et	-----|-⌫|--------|-|--|---|--⌫-|-----⌫---⌫--|-|
a mart ir e.Nepormon	|----⌫--⌫-|-|--|--|
grant parageniperderés uosmie	----|-----|||--------|--|--|
Omoiuenre ́sen Franche e n l a	|--|-----⌫-|-|------|-⌫|-⌫|
terregarniePuis uous	----|-----|---|---|
prendraiafeme se De xl e medestine .Et	-------||---|-|--⌫|-⌫|-|-------⌫|-|
res pontMir abiaus	---⌫---|---⌫-----|
Ce neu os otroimieCarM ahons	-|-|-⌫-|----|--|--|-⌫----|
die us s i maine	---⌫-|-⌫|----|
iustice Etpornient sesmaie	------|-|--|----||-----|
quienlu i bie nse fie.	--|-|--⌫|---⌫|-|---|
Qua ntlentendi	---⌫-||------|
Aiol[s]sie notdeuletir e Etrespondi	------|-|-⌫|-|---|-|--⌫|-|-------|
.ii . mospa rma ut alent saireM aldehèsaitMahons	---⌫|--|--⌫|--⌫--⌫----||---|-⌫-|-----|--|-----|
enlui se fieCa rse s uertusneualentu ne	-|--|-|--|--⌫|--⌫|-----|-|-----|-⌫-|
pume p orrie	---|-⌫----|
EtiureDam eldélef ie u	-|---|---⌫----|-|-⌫--⌫|
sainte Marie Se	-----|----|-|
i amaisen parl és	-⌫----|-|----⌫--|
tostenpe r drés le	---|-|--⌫-⌫----|-|
uie .Q uant l	---⌫|-⌫---||
ententlapucelemoltenfu	-----|-|-----|---|-|-|
asoup lie .CXXXIXD esors en	-----⌫---⌫|-----|-⌫-|-||-|
ua Aiol[s]en	-|------|-|
Fra ncheson	---⌫---|--|
paisSe m aine lapuce le al	---|-|-⌫---|-|----⌫-|-|
gentc orssi gno ris De	---|-⌫--|--⌫---⌫--|-|
mangieret debo ireli estoittal entpr is	------|-|-|--⌫--|-|-----|---⌫--|--⌫-|
Selabelenena	-|-|---||-||
lacuide ra morir . E lesut b ienparlerde	-|-----⌫-|-----⌫|-⌫-|--|-⌫--|-----|-|
.xiii i.latins	-----⌫-|-----|
Eles auo it	--|-⌫---⌫-|
parleretgrigoiset herminFlamen c etborg engon	-----|-|------|-|-----|------⌫|-|----⌫----|
etto ut le sarrasin	-|--⌫-|-|-------|
P oiteuin etgas conse l i ui enta	-⌫------|-|---⌫--|-|-⌫|--⌫--||
pla isir. Ele u int	---⌫----|--|-⌫--|
aAiolpar le resnelapris	|---|--|-|----|||---|
Cortoisement la pel esi	-----------||-⌫---⌫|-|
l aa r ais onmis. Sauésf ranc	|||-⌫---⌫-|---|-----|-⌫---|
damo iseusqueieuos	----⌫----|--|-|--|
uoilie h irM o lt uolentiersmangaise	---|--⌫-⌫-|-⌫-⌫-|---------|-------|
beus se.i.petit.Ienemeng ai hersoirquiualutmolt	----⌫-|--|-----|-|-|----⌫-|------|--|----|---|
Nonhuiest li	--|--|--|-|
tiers iorsua illant.i.	----|---|--⌫-----|--|
paresis En	------|-|
tel freorest oi eporcel	--|----|---⌫--⌫|--|--|
amiAu oirmedu tafemeet	--|--⌫--|-|--⌫||---|-|
ielu iamariNelreueraimaisla sse n e	-|--⌫||---|--|------|---|--⌫--|-⌫|
Tant a ieplusmonceur corechou[s]etmari.	---||-|---|--|---|----------|-|----|
chedistAiol[s]onques mais telnoi Ne uos	--|---|------|-----|---|--||-|-|--|
a iquedoner	-⌫|--|----|
seDamede[x]	-|--------|
maitNousnet rouonsa uendre	|--|---|-|-⌫-----||-----|
nepain necar	-|---|-|--|
neuin. CXLB elechedist	-|---|--|-⌫--|--|---|
Ai ol[s] sof r éset endurés .	--⌫----|---⌫-⌫--|-|--------⌫|
Par la foique uosdoine	--|-|--|--|--|--|-|
uou sai quedoner uésla	---⌫|-|--|----|---|-|
ter egas tee et lepaisreubé Nou s ne some s	---⌫|---⌫--|-|-|---|-----|---⌫|-|----⌫|
aborcnauile	|---|||---|
Unostrui s o nsauendre ne painneuin	|--|----⌫-⌫-⌫-||-----|-|---|-|--|
A iceste parolle entrerent en	|-----|------|--------|-|
.i.preiT rou ent	--|---|-⌫---⌫--|
unefo ntaine	--|--⌫-----|
s ous .i. arbreraméA iolsi	-⌫--|--|----|----|-⌫---||
dessendide	-------|-|
sonceualliber	--|----|-|--|
Etmistiuslapuceleal	-|---|--|-|-----|-|
gent cors honoreSes ceuaus	---|---|-----|--|-----|
enpasturesia l es frainsost ésSi lor	--------|-||-⌫-|-----|---⌫--|-|--|
laitb oire l	---|-⌫---||
et l e rbepast urerPuis seco ucha	-||-⌫--|----⌫---|---|-|--⌫---|
sorl erbequiuer de	--||---|--|---⌫-|
estoitelpr é .La p ucelese	-----|-|--⌫--⌫|-|-⌫----|-|
couchedeléslebac helerEle	-----|-----|-|---⌫----|--|
ot moltg entlecors	-|---|-⌫--|-|---|
etleui aireclerEtlacolor	-|-|--⌫---|---|-|-|----|
pl usbel eneu eré s.	--⌫-|---⌫|-|-⌫----⌫-|
Aiol s lifi eus Eliele pri st	----⌫|-|--⌫--|---|-|---⌫-|
Ens enso n ce urle	--|-|--⌫|--⌫-|-|
pri st for mentaenamerIa leua usi st	---⌫-|---⌫---||-----|-|-|--⌫---⌫-|
ba i sierseu st kerstient éMaisporchouqu	--⌫-⌫---||--⌫-|---------⌫-|---|--|---|-|
e r tpaienene	-⌫-⌫|-----|-|
leuaut ade serLal oi auroi	-|---|---⌫--|-|-⌫-|-|--|
Iesuneuolo ituergonder	---|-|----⌫-|--------|
Ançoisle uoloit faireba pti s ie r	------|-|-----|----|--⌫---⌫-⌫--⌫|
et leuerSi le prendroita	-|----|-|-|--------||
femea mol lier e t aper.	---||---⌫---|-⌫||---|
I lestoit mo l tformenttrauilliéset	-⌫|-----|--⌫-⌫|------|----------|-|
penésDe l escu etdes armes	-----|-||---|-|--|----|
queilauoi t porté sEt	--|-|----⌫|------⌫|-|
auoitt oute nuitc heuauciet	----|-⌫---|---|-⌫--------|
e t esré Senpres	-⌫|----|-----||
est endor missi	--|-----⌫--|-|
a tou to ublie ́.Lapuceleuella qui a	|---⌫|-⌫-----⌫-|-|-----|----|--||
nese dormi st po r les menbrescoperA ins	-|-|-----⌫-|--⌫|--|------|----|-⌫--|
re ga rd a arieretou t	--⌫--⌫--⌫|-----|---⌫|
leceminferé S ela u ei st nulhome	-|----|----|-⌫|-|-⌫--⌫-|--|---|
ne uenir neal erQ ui	-|----|-|--⌫-|-⌫-|
aprèsliuenistporarieremener.Di euspor	-----|-|-----|--|-----|-----|--⌫--|--|
coi secouchali	--|-|-----|-|
cheu al ier [s] menbrés S	----⌫--⌫---⌫--|-------||
en pens e Iesu qui	-|----⌫|---|--|
liurésAnquisera delcors honi s et ue rgondésLachité	------|----|---|--|---|----⌫|-|--⌫-------|-|-----|
sestor mistdont ilfurent	|-----⌫---|---|-|-----|
tor né Etki erentlapucelemais	---⌫--|-|--⌫----|-|-----|---|
nel peuent trouer	--|-----|-----|
tr ouélemur perchié	--⌫---|-|--|-------|
eteffondré.	-|---------|
Lorue issié s paie n s.i.grantd e uldemener	--|--⌫------⌫|----⌫-⌫|--|----|-⌫-⌫-|------|
Mibrienetse	------|-|-|
feme lor ceue usde skirerSarrasinetpaie n	---|--|----⌫-|--⌫-----|-------|-|----⌫|
se coururentarmerEn auantde.uii.m.	-|--------|----|-|----|-|------|
ontleselmes	--|--|----|
Parl aport esenissent delaboinechité	--|-⌫|----⌫||-|-----|-|-|----|-----|
espartiss en t tout parto ut	---------⌫--⌫|---|--|--⌫-|
leres né Q uil	-|---⌫--|-⌫|-|
nesauent qu elpart	-|-----|--⌫-|---|
(il ) le p eusenttrouer. Lesesclos	---⌫|-|-⌫-----|------|--|-----|
lapuceleseson t li	-|-----|-|---⌫|-|
aléDet ous lesplusardiset lesp lus	---|-|-⌫--|--|---|----|-|--|-⌫--|
alosés I ane l	------|-⌫|--⌫|
g uerpir ontpassaro ntAiol trouéQuisest oit	-⌫------⌫--|--||---⌫-|---|-----|--||---⌫--|
desouslarbreramé .	-----||----|-----⌫|
La pucel e uellaqui son	-|-----⌫|----|--|--|
ceurotiré	---|-|---|
Etregardaariereconilerent ale ́	-|------|-----|--|-|----|---⌫|
ui tl es. iii i.pa iens	--⌫|-⌫-|-⌫---⌫-|--⌫---|
dePanpel une nésAscheua uset	-|------⌫--|---|-|-----⌫-|-|
a s armesles reconnu tassés	-⌫|----|--|-------⌫|-----|
See le enotgr ant ioie	-|-⌫-|-|-|--⌫--|---|
nelesteut demanderCar	-||-----|-------|--|
liun [s]fu	-|--⌫--|-|
sesfreresde	--|-----|-|
no u eladou bé [ s ] Nauoitque.xu.	--⌫-⌫-|----⌫---⌫-⌫-⌫||----|--|---|
gar nimen sportésLiautresert	---⌫-----⌫|------|-|-----|--|
s es onclessi l	-⌫-|-----|-||
cierte ́Etliduisi cousinet de	------⌫|-|-|--|-|-----|-|-|
sonpa rente ́.E	--|--⌫-----⌫-||
Mahometdistel e conuosparestesber	------|---|--⌫|--|--|--|----|--|
Quiuouscroit et	--|---|----|-|
aoure p lusa	----|-⌫--||
ses uolente ́ sQue ne	--|-------⌫-⌫|--|-|
sauroit ceur dom e ne dire	------|---||--⌫|-|---|
nep enserOr	-|-⌫----|-|
ma uésuosrescousse	|-⌫---|--|--------|
par lauostre bonté.	--|-|-----|------|
Enapr èsseporpensede grantnobilité	-|---⌫--|-|-------|-|----|--------|
IamaisdeSarrasi n en	-----|-|-------⌫-⌫||
ore ́ sdetel pa r lerLase distla pucele c	---⌫-⌫|-|--|--⌫-⌫--|---|---|-|-----||
aie u enpensé	-|-⌫|-------|
Comment po raiiouf ai re	------|--⌫--|--|-⌫--⌫-|
si g rantdesloiautéQu e	-|-⌫---|----------|--⌫|
baronendorman tafoler Iam	----|-|------⌫|-----|-||
auoi til conqu ise parso nrice	----⌫|-|-----⌫--|--|--⌫|---|
boinsc heualiers est et uasausad uré s.Pui ske	----|-⌫--------|--|-|-----|--⌫----⌫-|---⌫--|
ie suirescouss eiel	-|--|--------⌫|-||
a l erM ahonsl idoinst e n	-⌫-⌫-|-⌫----|-⌫|-----|-⌫|
Franc hesa uierecourer	-----⌫-|-|--|-------|
Elesetraituerslui	--|-|----|---|--|
als en est re	-|-⌫--⌫---⌫-|
cos t éSelidisten	---⌫-⌫-|-|-|---|-|
lorelleco ieme ntet	|-----|--⌫----⌫-|-|
celéGe ntiex	----|--⌫----|
damoiseussire	--------|---|
troppoé srepo se r	---|----⌫|----⌫--⌫|
Paric elegrantfoi quei e	--|--⌫--|----|--|--|-⌫|
uosdoip orterueschi	--|--|-⌫----|-----|
.iiii. paiensdePanpelunenés	-----|-----|-|--------|---|
Che sont lidru	--|---|-|--|
monperecar	--|---|--|
iesconnoisassés.Il uos	--|------|------|-|--|
ochi ront iaielsaid euerité	----⌫---|-|--|--|-⌫|------|
Aléstost alc eualsusa	----|---|-|-⌫---|--||
bandon montésTor né suos ent	-----|------|---⌫---⌫|--|--|
a rierecegrantceminf eréCar	-⌫----|-|----|----|-⌫---|--|
fo i que do iMahon	--⌫|--|--⌫|----|
porterMiexuaut	-----|---|---|
un[s]boi nsfuirsque melement	----|---⌫-|----|--|-------|
Quantilue ront a moi	----|-|--⌫---||--|
ie sferaiare sterTant	--⌫|----|---⌫---|---|
lo rd irai	--⌫|-⌫---|
par olesmen çoingesetuerte ́s	---⌫---|---⌫-------|-|-----⌫-|
Quebienpoés garir secroire	--|---|----|----|-|-----|
m en uolés. -B eleche	|-|------||-⌫--|--|
distAiol[s].u.c. m erchis et	---|------|----|-⌫-----|-|
Parlafoiqueuosdoiditaués	--|-|--|--|--|--|--|----|
grantbonte t. Iamais	----|-----⌫-|-----|
.i.se usior sn euosend oieame r	--|--⌫-|---⌫|-⌫|--|-|-⌫--|---⌫|
placeaIesu qui	----||---|--|
en croisfupené sPor	-|----|-|-----⌫|--|
.iiii. paiensfuie tantq ueiaie	-----|-----|---|---|-⌫-||--|
ios téA toutmo ngran t	---⌫--||---|--⌫|----⌫|
linageseroit	-----|-----|
mais reproué. Il	---|--------|-|
estsaillisenpié ssi	--|------|-|----⌫|-|
seseinadeDé Etpristse s	-|----|-|--|-|----|--⌫|
garnimens sisenestapr este ́s EtuintaM a rchegai	--------|-||-|--|---⌫----⌫-|-|---||-⌫-⌫------|
estasseurés Le frainlimet elciefsest	--|--------|-|----|-|--|-|---||--|
mont é s De desfendre	----⌫--⌫|-|--------|
son cors s	--|---||
estm ol tbienapre stés.	--|-⌫--⌫|---|----⌫-----|
Euous.i.despaiensdePanpel un ené sIoidire	----|--|--|-----|-|------⌫--⌫|---⌫||-|---|
monm aistre	--|-⌫-----|
ainésOncl esertl apuc ele	-----|----⌫-|--|-⌫|---⌫--|
alg entcors hon oré	-|-⌫--|---|---⌫---|
Plus u intdeuant les	---|-⌫--|-----|--|
autresqu unsarsnepe ust	-----|-|--|--|-|--⌫--|
iet er Quil	---⌫-|-|-|
sietsorboinc eualcorant et	---|--|---|-⌫---|-----|-|
a briué A haut euo isescri e	-⌫-----||----⌫|--⌫-|-----⌫|
Qu iu ersn igarir é sLafille	--⌫--⌫--|||-----⌫--⌫|-|----|
Mib riena granttorten	---⌫---||----|---|-|
m enésSanslel os de seshomesque	-⌫----|---|-|-⌫-|-|--|----|--|
garant nena ue ́s	-----||-|-⌫--⌫-|
Hui es t uenusliiorsque chierle	--|--⌫|----|-|---|--|----|-|
comperrésIa nimetrés	---------|-|||------|
escangedelet e stea c aup er .Aiols lifiex	------|-|-|-⌫-⌫--||-⌫---⌫--⌫|----|-|---|
Elien otcured	---||-|---||
estriuerCa r onqu esde tench ie r	-------|--⌫|----⌫-|-|-----⌫--⌫|
acostumés Ains	---------|---|
brocheMarch ega i p ar g rant	-----|-----⌫---⌫|-⌫-|-⌫---|
nob ilité Et	---⌫-----|-|
alanste brandiedel	||----|------|--|
roit es piel	---|--⌫---|
quarré.uait feri rlepaiennel sou friplus	-------|---|----⌫|-|----|--|---⌫--|---|
Que l escudesonco lli a fraint	--||---|-|--|--⌫|-||-----|
et froé Et l	-|----|-||
dosd es ma llietetfause ́	--|-⌫--⌫--⌫----|-|-----⌫|
Par mioutre le	--|-|----|-|
ferpass e ́ Toute	--|----⌫-⌫|----|
ple ine sal an chel ab atimorte lpré	---⌫--|-|-⌫--⌫--||--⌫--|---|-⌫|---|
Cui uersched istAiol[ s]uous laués	---⌫---|--|-⌫--|-----⌫-|---||----|
compe r e ́De	-----⌫-⌫-⌫|-|
partaibi e nce st	---|-|--⌫-⌫|--⌫-|
eskieca qui té	-----|-⌫---⌫--|
Die us mec on sautdesautres	---⌫-|-|-⌫--⌫---|--|-----|
p arl asoie bonté Et	-⌫-|-⌫|---|-----|-|
li.i ii.Sarrasin	-|--⌫--|-------|
lontsidep rès	|--|-|-|-⌫---|
hasté Nepotligentiexhomal	-----|-|--|-|------|--|||
espielrecourer	-----|-------|
luiresachier	--|--------|
nedelpaieni et er.	-|--|----|-⌫--⌫--|
Puis atraite	---||-----|
l espe edont	|----⌫|---|
lipuinsfudorésSenua fer ir	-|----|-|-----||-|-|---⌫-|
.i . au treque i l a	--⌫|--⌫--|--|-⌫||
Pardes(o)u sl esesp auleslifaitle	--|-------⌫|-⌫-|---⌫----|-|---|-|
ci ef uole r	--⌫-|----⌫|
pa iens eslonge.i.arpentmesu réIluit	--⌫---|------|--|-----|----⌫--|-|--|
les.ii.ensanble	--|---|-------|
tantles aplusdoutés. CX LI	---|--||---|-------|--⌫-|
Aiol[s] p oint	------|-⌫---|
fieremen t seslais saUngrantarp entdetere	--------⌫||------⌫-|-|----|---⌫--|-|---|
eslonga.Iluitl e s .II.en s ambleform ent	-------|-|--|-⌫-⌫|---|--⌫-⌫----|----⌫--|
lesredouta	--|------|
Nauoit esp ielne	|----|---⌫--|-|
l a nch e linobile[s ] uasal[s] Lidui pa ien	-⌫-⌫---⌫|-|--------⌫|-------|-|--|--⌫--|
q uido ient q ue fu i a nt s enalastLa	-⌫----⌫---|-⌫-|--⌫-⌫-⌫-||-|----|-|
puc eleenmenaissent que	---⌫--|-|---------|--|
nusnel ca lengastFolieontenpenseec arcor agen en	--|--|--⌫------|----|--|-------|-⌫-|---⌫--||-|
Ançoisquelorgue rpisse mol t	------|--|--|---⌫-----|---⌫|
chier loruendera.Aiols	----|--|-------|----|
ceualfierementretorna Altorfran çois quil	----|--------|------|-|--|----⌫----|-|-|
e spi el recouraParsonfierarde mentdel p a ienle	-⌫---⌫-|------|--|--|---|----⌫---|--|-⌫-⌫--|-|
uait. i.au tre queli berencontraQuel	---|-⌫-|--⌫--|--|-|--|-------|--||
escude s o n	---|-|-⌫-⌫|
fraintetpeçoiaEtl	-----|-|------|-||
a uberc de son dosronpiet	-⌫----|-|--|--|----|-|
d esmai llaPar mile	-⌫-----⌫--|--|-|-|
gros d elc e ursonespielli	---|-⌫-|-⌫-⌫-|--|-----|-|
T outepla ine salanche l abatmortdel	-⌫---|---⌫--|-|-----||---|---|--|
ceu al E Dieus che	---⌫-||----|--|
d istAi o l[s]or	-⌫--|--⌫-⌫---|-|
s ome sparingalDehait quiporcestila	-⌫---⌫|-------|-----|--|--|----|-|
pucelelairaDe ssi	-----|----|--⌫--|
aicel[e]eureq uecomper é laura.	|------|---|-⌫-|------⌫-||----|
CXLIIAiol[s] pointMarchegailes .ii.renesli lasque	----|------|----|--------|--|---|----|-|-----|
Et ua it ferirl e quart en	-|--⌫-|----|-⌫|----|-|
ladoreeta rg e.Meruelleus cop	-|----|--⌫--⌫-|---------|--|
li d onequeder iensne lespargneQue	-|-⌫--|--|-|-⌫---|-||-------|--|
lescu de son	|---|-|--|
lipeçoiee t de quasseEtl	-|------|-⌫|--⌫-----|-||
aube rcdeson	----⌫-|-|--|
doslidesront et	--|-|------|-|
desmailleSonboin	--------|--|---|
espieltrenchan tparm i le c ors lipase	-----|--------⌫|--|-⌫|-|-⌫--|-|---|
Deuantluia	-----|--||
laterre laba t morte nl aplace .Lafille	-|----||---⌫|---|-⌫|-⌫|-----⌫|-|----|
Mib rie n enun	---⌫---⌫|-|-|
tertrelagardeMolt se c laimekaitiue [ et	-----||-----|---|-|-⌫----|------|-⌫-|
molt]dolanteetlasse Qu efolie	----|------|-|----|--⌫|----|
f esi squantchefranc	-⌫---⌫|----|--|----|
esu ellastesMoltestboins cheu alier [s]e tco ragousas	---⌫-------|---|--|----|----⌫-----⌫--|-⌫|--⌫-----|-|
Orm aoci s mon frere	-|||---⌫|--|----|
touteka itiue laseMes	----|--⌫----|---|--|
m enon c le	-⌫-|--⌫-⌫-|
miensenest	----|-|--|
lidamagesPar lemien	-|------|--|-|---|
ensian tsil	------⌫||-|
fuissen t.x x.etquatreSes	-------⌫|--⌫-|-|-----|--|
eust ilt ousmorscar	---|-|-⌫--|---|--|
uaselage. Bien aue ́soidire	--------|---|---⌫-|-|---|
et asuns etas	-|-|--|-|-|
au tre sQue	--⌫---⌫|--|
femeaime tosth ome quibienfiert	---|---|---|-⌫--|--|---|----|
e n b atailleEleli	-⌫|-⌫------|--|-|
en tent enl	--⌫---|-||
angardeSire uene ́su ousentqu i	------|---|----⌫-|-⌫--|--|--⌫|
estes asa rmes	----|-|-⌫---|
Por uou squerraieDieul[e pere]	--|---⌫|-----|-|---|--|----|
esp eritab l e . QuantAiol[s]l	---⌫------⌫-⌫-⌫|----|------||
enten di moltgranti o i e ena	-----⌫-|---|----|-⌫-⌫-⌫|-||
f aite.C XLIII	-⌫----|-⌫----|
Aiols[s]li	-------|-|
fieus Eliealedam e ente ndue.	----|---||-|---⌫|----⌫----|
Sarrasinsa	--------||
lestestestoluesSorle s	--|-----|-----|--|--⌫|
cheuau sles	------⌫|--|
torsenen uieutlaisier[ ne s]une Ainslesa	----||-|----|------|-⌫--⌫-|--|---|--||
a la rchon	||-⌫----|
parle s ceuieus pe n dues. Lafille	--|--⌫|------|--⌫-⌫----|-|----|
Mib rien la	---⌫---|-|
batailleaue u e	-------||--⌫-⌫|
Sisetmoltbien	-|--|---|---|
c Aiolsparforche la uencu eEleli	|----|--|-----|||-----⌫|--|-|
es cria q ue bienla	--⌫---|-⌫-|---|||
entend ueSi reuenésuous	------⌫-|--⌫-|-----|---|
sui uostredr ue Por uosqu errag eDieu	--|-----|--⌫-|--|--|--⌫---|-⌫|---|
quifumisel	--|-|--|-|
sepulcreSiseraie nsainsf ons b aptisieettenue	-------|-|----|-⌫|----|-⌫--|-⌫------|-|----|
lesuertusM ahon	--|-----|-⌫---|
sont a tere keuesQuantpartoncors	---||---|----|----|--|--|---|
se u las le s teste s toluesAs .iii i. Sarrasins qui	--⌫-⌫|-|--⌫|-----⌫|-----|-|----⌫-|--------|--|
d eDi eu nen	-⌫|--⌫-|--|
Moltmenuistcil des s ers	---|-|----|--|---⌫-⌫--|
etlasel ueramue	-|-|---⌫-|----|
tenons cheminnegrantuoie	-----|-----|-|----|---|
bat ueOr nousconsautcilsires	---⌫-|-|---|------|--|----|
quimaintens e nla nue Moltdesir quen	--|----|--|-⌫|-|--|---|----|-|-|
uote rrefuissea	-|--⌫--|-----||
ioieuen ueSiluosuienta	---|---⌫-||-|--|----||
t ale ntquitement	-⌫---⌫-|--------|
suiuodrue.	--|-|----|
EtAiol[s]s escriaMonioie	-|------||-----|------|
Dieus aiue CXL IuDesor	----|---|---⌫-|--|-|
s e nua Aiol[s ]sen	|-⌫|-|------⌫||-|
m aineso n	-⌫---|--⌫|
eskac.Lapucelef u lassese	-----|-|-----|-⌫|----|-|
causEle uinta Aiol silen	---|--|---||---|-||-|
a rai sona	-⌫---⌫---|
Gentieusd am oise us	-------|-⌫--⌫----⌫-|
siree t demoi qu e sera Ienemenga i	---|-⌫|-|--|--⌫|---|-|-|-----⌫|
soi rnehui troi s	---⌫|-|--|----⌫|
- Belech edist Aiol[s]li	|---|--⌫|---|------|-|
pr euset li	--⌫--|-|-|
loial[s]Neuo s ai que doner fo iquedoisaint	-------|-|--⌫|-|--|----|--⌫|--|--|----|
Tumas ués latereg as tee	----|---|-|---|-⌫--⌫--|
e tlepa is	-⌫|-|--⌫-|
lif ieu sElie de uantluiregarda Coisi	-|-⌫---⌫|---|--⌫---|--|------|----|
.i.pelerinquiasaint	--|------|--||----|
Iake ala Et ui (e)ntde doucheFranche moltform entse	---|--|-|--⌫----|-|-----|------|---|----⌫--|-|
Aiol[s]po int leceualco ntrel ui ceuaucha Li	------|--⌫--|-|----|--⌫---|-⌫-|-------|-|
pelerin[s]le	---------|-|
uitformen t leredouta Crientnefust	--|------⌫|-|------|-----|-|---|
mauaishonquiuenist	-----|--|--|-----|
por s onma l .	--|-⌫-|--⌫-⌫|
Atanteslui Aiol q uibien le	----|-|--|---|-⌫-|---|-|
saluaDeDieu	----|-|---|
gloirequile montestora. CilotdeDieu	-----|--|-|---|------|--|-|-|---|
molt sere confortaI cils ires uos	---|-|--⌫-------|-⌫--|-⌫---|--|
tout lem ont	---|-|-⌫--|
f orma-Amis	-⌫---||---|
chedist Ai olsdont u i ens	--|---|--⌫--|---|-⌫-⌫--|
etde quelpart	-|-|---|---|
ieuieng dOrli ens l afort c ité	-|----||----⌫--|-⌫|---|-⌫---|
roial. Lalaisai iou	-----|-|-----|--|
leroimoltcorecietetmat	-|--|---|-------|-|--|
P or unsiendruAio lqu	-⌫-|-|---|--|---⌫|-|
Espaingeen uoiaSicomp aignonl ontmort cuiil	-------|--⌫---|-|----⌫-----||--|---|--|-|
l e co mm anda	-⌫|--⌫--⌫---|
Et li rois lesa pri seta ualé	-|-|---|--||---⌫|-|-⌫----|
Ensel fontdesa	--|-|---|-|-|
cartresi distqu il lespendraSeAiol[s]ne	-----|-|---|-|-|--|-----|-|------|-|
iustices enfera.Quant Aiol[ s]le ntendi	-------|-|----|----|-----⌫-||-⌫-----|
for mentsen	---⌫---||-|
esma iaPours es.ii.compa ingons	----⌫-|---|-⌫-|---|-----⌫-----|
en grant fr eorent ra.	-|----|--⌫--|---⌫--|
Bienetc ortoise mentDameld érecla ma	---|-|-⌫-------⌫---|------⌫-|-----⌫-|
Quedemortlesdesfengetantque n	--|-|---|--|-------|---|-|-⌫|
France uenraSa	-----|----|||
tans ipeutue nir bienlesdeliuera	---||---|--⌫--|---|--|-------|
Del apriso n	-|-⌫|-----⌫|
andeuslesieteraQuantilen douche	-----|--|-----|----|-|-|-----|
Franceet a	-----|-||
O rl ie ns	-⌫--⌫--⌫-|
ser a.CXLuAmi sche	---⌫-|---|---⌫|--|
distAiol[s]Dexte	---|------|--|-|
enconbrier P elerins biaus amis sés	---------|-⌫------|----|---|---|
