mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
poia uec sasero rp or	--|-⌫--|-|----⌫|-⌫-|
fenmeetdeplus foiblenatur ecar	----|-|-|---|-----|-----⌫|--|
fenme ne se puet mie e n	----|-|-|---|--|-⌫|
te l me niereded uirenemainteni rcom	--⌫|--⌫----|---⌫---|-|--------⌫|--|
fait lihomc	---|-|--||
lapensee doiouencel	-|-----|-|-------|
ap r es c equio tce doné	--⌫-⌫-|-⌫|-||-⌫|-|----|
et done ́multgrantauoirau	-|----⌫|---|----|----|-|
pouresporl a mo r nostre	-----|--||-⌫--⌫|-----|
seignor il	------|-|
porsesorais ons faire si comil	--|--|-----⌫--|----|-|--|-|
a uoit acostuméetpor oir la	-⌫---|--------|-|--|--|-|
seruise don c en t endi le s paroles	------|---⌫|--⌫-⌫---|--⌫|------|
no stre se ign orquildi sten	--⌫---|--⌫---⌫-|-|-|--⌫-|-|
l euangile ce estadire	|-------|-|--||---|
pens ezmiealachosede	----⌫-|--||-|----|-|
sedeparti li sa in z	-|------|-|--⌫--⌫|
e nfes domostiersidon a qu anque	-⌫---|-|------|-|---⌫|--⌫----|
liestoit unques remesaupoures	-|-----|-----|----|-|-----|
comman demenz nostre	------⌫-----|-----|
seignoracomplire tfai redontilne	------|-------|-⌫|---⌫-|---|-|-|
uoloitissirenn ul lemenie re	-----|----|-|-⌫--⌫-|-----⌫-|
ilcommanda sa seror etmistauec	-|-------|-|----|-|---|---|
bonesdamoisel esquiuirges	----|--------⌫-|--|-----|
estoientetsi lo r proiaet	-------|-|-|--⌫|----|-|
distqu e elle s	---|--⌫|----⌫|
ennorass ente t	--------⌫--|-⌫|
do ctrinas sentse lonc loruies par	--⌫-------⌫---|--⌫---|--|---|--|
bons e ssemples lor ss	---|-⌫-------|---⌫||
sainz anthoineslibons iouenciaus et	----|--------|-|---|---------|-|
t rai stseens us detozc el s	-⌫---⌫-|-|---⌫-|-|--|-⌫--⌫|
qui loco noi ssoientnepuisa	--|-|--⌫---⌫------|-|---||
maisonn erepairasicommenc a	-----|-⌫|------|-|-------⌫|
amener multaspre uieet multsaint e	|----|---|----|--|-|---|-----⌫|
sico muos orrezauant	-|--⌫|--|----|----|
retrair e si	-------⌫|-|
lioirs neuose nnuie	-|---|-|--|-⌫----|
adoncnestoie ntm ie	----||------⌫-|-⌫-|
iglis esnehabitacio nsde sa inz	-----⌫-|-|---------⌫-|-|--⌫--|
siespessem entcom e lles	-|--------⌫--|--|-⌫---|
furentp uis ne	-----|-⌫--|-|
nulnemen oit	--|-|---⌫--|
adontencelec ontree uie dermite	----|-|---|-⌫-----|--||-----|
me squiconques uoloitado nt seruir	--⌫|---------|-----|---⌫-|-----|
nostrese ignor ente nti u e ment	-----|--⌫----|----⌫---⌫-⌫-⌫---|
sisemetoit adoncfors	-|-|-----|----|---|
dontilh ertetla	---|-|-⌫--|-|-|
et arestoi tausicom	-|-------⌫|---|--|
li recl us	-|----⌫-|
sainz anthoinesquisenaloitpor	----|--------|--||-|----|--|
sollitairet rou a	---------|-⌫---⌫|
unancienhom quides sanfance	-|-----|--|--|--||------|
erttraizensusdehumain e	--|----|----|-|------⌫|
compa igniequantsainzantho inesl o	-----⌫----|----|----|-----⌫---|-⌫|
liplot sauieetsi	-|---|-|--|-|-|
sepensaq u en manierese	-|----|-⌫|-|------|-|
porroitilbi en dema neret	------|-|--⌫-|----⌫--|-|
m ielz se ilpooit etautreenuie	-⌫---|-|-|----|-|----|----|
auoitilen luinenotunque s	----|-|-|--|-||-|-----⌫|
qued e s entente metreau	--|-⌫||------|----|-|
faireilluechabi tail	----|-----|----⌫-|-|
i ost elabi taclede celui	-⌫---⌫||---⌫----|-|----|
sanz compaignie	---|---------|
dont commenca lisainzen fespar	---|-------|-|----|--⌫--|--|
totae nqu erreles sainzhomes	--||-⌫---⌫---|--|----|----|
qu isaintementuiuoientporuoier	--⌫|---------|-------|--|----|
lamenierecommentil se	-|------|------|-|-|
mainteno ientcefaisoitil au si	--------⌫---|-|------|-|--⌫-|
com litressa geslionsqui	--|-|---|--⌫--|----|--|
quiertsa pat ure et sauiandenene	-----|-|---⌫--|-|-|-----|-|-|
re pairoit unques truquata ntqu	--⌫------|-----|----|---⌫---|
ill au oittrouee aus i neuoloit	-||--⌫--|-----|---⌫|-|-----|
libon s iouenciaxason	-|---⌫|--------||--|
hab itacl e	---⌫-----⌫|
tresqu atantquilau roi tt roué	-----|------|-|--⌫---⌫|-⌫----|
homesquilal oit	----|-|-|--⌫--|
seroitenbeuz	-----|-----|
et doctri nezde	-|------⌫--|-|
saintes dotri nesetdelor	------|-----⌫--|-|-|--|
bonesparoles	----|------|
etadontsen	-|----||-|
repair oitil as on habit aclear i ere	------⌫--|-||-⌫-|-----⌫---|--⌫-⌫--|
ausi co mme liezfaitqua nt	---|--⌫--|-|-|---|---⌫-|
ezsestbi encharg iéde	-||--|--⌫-|-----⌫--|-|
mielet decirea ceauoitil	---|-|-|---||-|----|-|
confermé sonc orage	--------|--|-⌫----|
souen oitde s	-----⌫--|--⌫|
riche s cesso nperene	-----⌫-⌫--|--⌫|---|-|
sa merenenelichaloit	-|---|-|-|-|------|
parent ne deproisme po rau o ir	-----|-|-|------|--⌫|--⌫-⌫-|
ne confortement	-|-----------|
il seraualloitdelueurede ses	-|-|--------|-||----|-|--|
mainspor cequ	----|--|-|-|
escriturequi	--------|--|
di requinon	--⌫-|--|--|
nonmani u stmieilert	--|----⌫-⌫-|--|-|--|
assidueme nt	---------⌫-|
enoroisons qua r il	-|-------|---⌫|-|
auoito ietaprisq u ondoi t	----|-⌫|-|----|-⌫|-|---⌫|
nostr eseignor	-----⌫|------|
p roie rtoz	-⌫----⌫|--|
m ercisansces serilre tenoitsi tot	-⌫---|---|---⌫--|-|--⌫-----|-|--|
leconmandementdel	-|-----------|-||
escritu repar sonbo ncoragequil lo	-------⌫-|--|--|--⌫|-----|-|-|-|
faisoitetaemplisoit	------|-|---------|
et sa bone memoireualoit aut ant	-|-|---|------|-----|---⌫--|
ileust deuan t	-|---|-----⌫|
luitozle sbons liures	--|--|--⌫|---|-----|
ainsi com mencaa	----|---⌫----||
mener sainz	----|----|
anth oi ness isainteuie q ue t uitli	----⌫--⌫--|-⌫|-----|--|-⌫-|-⌫--|-|
frere quinostre s eignor seuoien tl	----|--|-----|-⌫-----|-------⌫||
amoientpar	------|--|
bonc oretauoit	--|-⌫-|-|----|
graices e tl im oine qui	------|-⌫|-⌫|-⌫---|--|
siuois inetquiprochain	-|----⌫-|-|--|-------|
estoien tdeson habitaclelo	-------⌫|-|--|--------|-|
c lamoientsa int h omautantcomse	-⌫-------|--⌫--|-⌫-|-----|--|-|
lor filzou l o r	--|---|-|-⌫-⌫|
per equar eliouence l	---⌫|---|-|-------⌫|
a uoitpa ciencee tdocour s	-⌫---|--⌫-----|-⌫|------⌫|
etcharitezet benignitezet	-|-------|-|---------|-|
misericordeettozcesbiens	----------|-|--|--|----|
ilae mplireta faire a c e que sain z	-||-⌫----|-||----||-⌫|--|----⌫|
anthoinesauoitcommencié a	--------|----|---------||
si sain teuie lidi abl es	-|----⌫-|--|-|--⌫---⌫-|
preus het fu mult	----|--|-|---|
dolen z dece qu	-----⌫|-|-|-|
croistresigranzuer tuzelio uenc el	-------|-|----|---⌫--|-|--⌫----⌫-|
s ise pensaq u aysi niroit	-⌫|-|----|-⌫|---||----|
la cho se en zlode ceur oit par	-|---⌫-|--⌫|-|--⌫----⌫--|--|
sesb esdiesetparsesmalesauentures	--|-⌫-----|-|--|--|----|--------|
donclocommencaa	---|-|-------||
encestemeniere	-|----|------|
metoit d euant	-----|-⌫----|
ensape nseeet	-|-|--⌫---|-|
lesgranz richo ise s etles	--|----|-----⌫---⌫|-|--|
posessions quil auoitlais sies et	---------|-|-|----|----⌫---|-|
quisanz pereet	--|---|---|-|
sanzmere esto itor	---|---|----⌫-|-|
fe m neremeseet descons eillie etde	--⌫-⌫-|-----|-|-------⌫-----|-|-|
lahautesceet de la	-|-------|-|-|-|
lignieetde l	-----|-|-||
enmo rdeschoseste rrienne s	----⌫|--|-----|--⌫-------⌫|
etdelagloire de cest siecle etles	-|-|-|-----|-|---|-----|-|--|
bonsboiureset	---|------|-|
les bonesuiandes etto z lesautres	--|----|------|-|--⌫|--|-----|
delizet lesau tresd olcours	----|-|--|--⌫---|-⌫------|
de cesteuiea p resce l ire mentoit	-|----|--|-⌫-⌫--|-|-⌫|--⌫------|
deuan tquegriefchoseauoit	-----⌫|--|----|----|----|
entreprisse afaire	----------||----|
etg ranttrauailet	-|-⌫---|------|-|
gran tpaineseloncl afragilite	----⌫|----|-----|-⌫|--------|
c orsetlitensesto itlons	-⌫--|-|-|---|----⌫-|---|
a uen ir enc oisquile ust	|---⌫-|---⌫----|-|-⌫--|
cestehueureconsonmeea mplie de	----|-----|--------|-⌫----|-|
p arf aiteenceste maniere	-⌫---⌫---|-|----|------|
l elien nemisplusorsfo iz mesli	-⌫|-|--⌫----|------|--⌫-|--|-|
b ons i ouenciausestoit encon tre	-⌫--|-⌫--------|-----|-----⌫--|
ce s te mptations	--⌫|--⌫--------|
et en contreces pensees	-|--⌫-----|--|------|
fermcorage	---|-----|
et silesso rmontoit totespar	-|-|--|--⌫-------|----|--|
saintesoro is onsetp arsaintes	------|---⌫--⌫--|-|-⌫-|------|
h ueuresquan t	-⌫-----|----⌫|
ce uitlideables si	-|--|-|------|-|
futmultdolenzsi	--|---|-----|-|
recomme nca	-------⌫--|
aasaillirleiou en ce l de tozs e sengins	|-------|-|---⌫--⌫--⌫|-|--|-⌫-⌫|-----|
ilsaparoitparnuit	-||------|--|---|
uisionau si	-----|--⌫-|
c ommeunebelle	-⌫---|--|----|
damoiselep orlu i	--------|-⌫-|--⌫|
mani eredecoiureet	----⌫--|-------|-|
asailloitil aueuequil	--------|-||---|-|-|
que sainzanthoinessecomb atista lui	--|----|--------|-|----⌫----||--|
sicomil faisoit	-|--|-|------|
carli enemiss esforco it de metre	--|-|-----||-------⌫-|-|----|
e lsainthomeles	-⌫|----|---|--|
orde sp enseesetsisepenoit de	----⌫|-⌫-----|-|-|-|-----|-|
giterparasidues	----|--|------|
oroisonsen si l asai llo itli deable	-------|--⌫-||----⌫---⌫-|-|-----|
en toteslesmanieresqui l pooit	-|----|--|-------|-|-⌫|----|
etlib ons iouenciaus qui	-|-|-⌫--|---------|--|
cremoitles	------|--|
to rmenz et	--⌫----|-|
fla mmesdo f eu	---⌫---|-|-⌫-|
pa rmenabl e sormontoit	--⌫-------⌫|---------|
t ozsesenginspar sessaintes	-⌫-|--|-----|--|--|------|
nostresiresaidoitsi	-----|----|-----|-|
s oncontrelodeableetdonoit	-⌫-|-----|-|-----|-|-----|
sigr antfor ceq uelisainz	-|--⌫--|---⌫-|-⌫-|-|----|
pooitbiendireiene	----|---|---|-|-|
contrestoismi e	----------|--⌫|
a l enem i	||----⌫|
par foiemespar	--|---|--|--|
laforcede dieu	-|----|-|---|
deableuita la parfin qu	-----|--||-|-----|-|
ilneporroi tsainz	-|-|------⌫|----|
x m u ain tre	-⌫|-⌫---⌫--|
labo nepens eepa r	-|--⌫-|----⌫-|--⌫|
quilseust faire neparlui	-|-|----|----|-|--|--|
tresmuerenbelle damo isele ne par	-------|-|----|----⌫----|-|--|
autres chosesetmeni eres	-----|-----|-|----⌫---|
auoit essaiéade scoiure s i	----|------||--⌫------|-⌫|
fut mulz dolanzet	--|---|-----|-|
si saparuta saintanthoi nes	-||-----||----|------⌫--|
es tre ausi	--⌫--|---|
comunsen fermsnoi rs	--|--|--⌫----|---⌫-|
laizet hideus si s e la issa	---|-|-----|-|-⌫|--⌫---|
piezsi commencaa	---|-|-------||
pa rler auo izhumaineettot en	--⌫---||--⌫-|------|-|--|-|
ploran t a	------⌫||
ieaimul tde genzso duiz	-|-|---⌫|-|---|--⌫---|
deceuz mesorsui	-----|--|-|--|
sormontez ausi con	--------|---|--|
i es tép a r	|--⌫--|-⌫-⌫|
ma inzhautres s a inzhomes	--⌫--|------|-⌫-⌫--|----|
quantsenzanthoines ui t lenemi	----|---|--------|--⌫||----|
detel for me	-|--|---⌫-|
si noir etsilait	-|---|-|-|---|
s ili dema nd aqui	-⌫|-|----⌫--⌫|--|
ilestoitqui	-|-----|--|
parloi t alui entel	------⌫||--|-|--|
respond ietsi dis tie	-------⌫|-|-|---⌫|-|
suia pelezesperizde	--|-⌫----|------|-|
forn icatio n p ar mone t	----⌫------⌫|-⌫-|--|-⌫|
droit nonie	----|--|-|
sui cil qui mainz homes	--|--|--|----|----|
a ifait repairier alor g ra nz	-⌫|---|--------||--|-⌫--⌫-|
pechiezquantil	------|----|-|
seuoloient	-|-------|
retraire etrete nirdebien faire pa r	-------|-|----⌫--|-|---|----|--⌫|
mes temp ta cions iesuicil	--|----⌫--⌫----|-|--|--|
aitempt é etes saié por	-|-----⌫-|-|--⌫----|--|
dece uoir mesienetepuis	----⌫---|--|-|-|-|---|
uaintre quantsainzant hoine so i	------|----|----|---⌫-----⌫|-⌫|
ens iparlerlodeableilrendi	---⌫|-----|-|-----|-|----|
n os treie s ucri stetfumult	-⌫--⌫--|--⌫-⌫|---⌫-|-|-|---|
plu s qu edeuantconfermez en	---⌫|--⌫|-----|--------|-|
sain teshu eure setp lus hardienuer s	----⌫--|--⌫----⌫|-|-⌫--|----|-----⌫|
silidi stmul tiesla izet	-|-|--⌫-|---⌫|--|--⌫-|-|
ydos etentent is a mal	---|-|------⌫-||--|
fa i re por cetedoitlenbien	--⌫-⌫-|--|-|-|---|--|---|
despireq uar entachierenen ta	------|-⌫--|-|-|-----||-|-|
se mblanc enepuet lene sgarder ne	--⌫------⌫|-|---|--|-⌫------|-|
atendres emalau enture nonde	------|-⌫|-----⌫-----|--|-|
t ote chose etsac hiez	-⌫--|----|-|---⌫---|
bienq u e ie n	---|-⌫-⌫|-||
oure setco mmencasa inzanthoines	----⌫|-|--⌫-----|--⌫--|--------|
adire cest uersdo	|---|---|---|-|
enregardant uersl ocielcesta	-|--------|---|-⌫|---||--||
direnos tresire	---|---⌫--|---|
adierresamoietiem esleescerai	-------||--|-|-||----------|
sormesennemi sde me ntiersque	--|--|------⌫|--⌫--⌫--------|
lisainz hom disoit cest u ers de	-|----|--|-----|---|-⌫--|-|
bon cue rsesu an ui	--|---⌫||---⌫--⌫-|
deabled euant	-----|-⌫----|
luis iqu il no	--|-⌫|-|-|||
miece fu la premiere	--|-|-|-|-------|
uictorieques ainz anth oinesot	-------|--|-⌫---|----⌫----|-|
contrelennemi	-----||-----|
quarbiensa chiez	---|---|--⌫----|
que l ie nn emine lolaissamie	--|-⌫|-⌫--⌫--|-|-|-----|--|
atantnen ot enco remieperdue	----|-||-|----⌫-|--|-----|
sa force nesesmalesa uenturesainz	-|----|-|--|----|-⌫-------|---|
c ommen caaporpenser	-⌫-----⌫-||--------|
maniereil lo	------|-|-|
porroitfaire	------|----|
trabuchierde	---------|-|
l atreshauteuoi e	-⌫|---|----|---⌫|
quelis ainz hom	--|-|-⌫---|--|
a uo itcom menc ie si	-⌫--⌫-|---⌫----⌫-|-|
comm enca nouelles a rset	----⌫---|-------|-⌫-|-|
nouellesmalauen tu re sap orpensersi	-------|-------⌫--⌫--⌫||-⌫-------|-|
cilqui a autrec h osen	--|--||----|-⌫-⌫--||
auoitsen t ente nesa cure	----||--⌫-⌫---|-|-|---|
lisainzhomquis ages	-|----|--|--|-⌫---|
desescritures sa uoitbienque li	--|---------|--⌫---|---|--|-|
deables uoloitenplusde yy	------|-----|-|---|-|-|
manieresceus qui debien fa irese	-------|---|--|-|---|--⌫--|-|
pen oients i s er eg ardoit por ce	---⌫----|-⌫|-⌫|-⌫--⌫-----|--|-|
ettrauail loitsoncors	-|-------⌫---|--|---|
iln e f ust uaincus	-|-⌫|-⌫--|------|
ena lcu ne	-|-⌫---⌫-|
at ornédototento t	--⌫----|-|--|-|--⌫|
soncoragea	--|-----||
bie nfaire sique cil	---⌫|----|-|--|--|
ueoien tse merueilloient comment	------⌫|-|------------|------|
en siionehomepooitauoir	-|-|---|---|----|----|
siparf aitea stin ence	-|----⌫---|-⌫----⌫---|
telmenierequeparla uol ent e	--|------|--|--|-|---⌫---⌫|
qui e nl ui estoi tdenostreseignor	--|-⌫|-⌫-|-----⌫|-|-----|------|
seru irqu ilnelise mbloit	----⌫-|-|-|-|-|--⌫-----|
miegreu ancedepenance	--|----⌫---|-|------|
soffrirtant	------|---|
fustaspreneg rau ase	---|----|-|-⌫---⌫--|
souent es to i t en oroisonsne	-----|--⌫--⌫-⌫|-|-------|-|
menioiechac unior qu	------|----⌫-|--|-|
estoitquant lisolauz	-----|----|-|-----|
ertes conse z enlauespree s	--|--⌫-----⌫|-|-|-------⌫|
dontmenioitpaine t sel	---|------|---|-⌫|--|
solement et	-------|-|
u iandeauoitil	-⌫----|----|-|
me e smementgrantasti nence quar	--⌫-⌫------|----|----⌫----|---|
menioi tmieaotrai geet	------⌫|--||-----⌫-|-|
beuoitpe titdaigueq uar ilne	-----|--⌫--||----|-⌫--|-|-|
uoloit mie que pointi eust	-----|--|--|----||---|
d esmesurede chard euinmepui s	-⌫-------|-|---|-⌫|--|-|---⌫|
b ient airequiln	-⌫--|-⌫---|-|-||
gostoitquarado ncenceltemporene	------|---|---⌫-|-|--|------|-|
gostoientli	--------|-|
sainzhomen eli	----|---|-⌫|-|
moinequ iuoloient me n ersol it aire	----|--⌫|-------|--⌫-⌫-|---⌫--⌫---|
uie por lenmor nostre seignor	--|--||----|-----|------|
quants a inzanth oinesse uoloit	----|-⌫-⌫--|----⌫----|-|-----|
c ochierilnauoitmie l itde	-⌫-----|-||----|--|-⌫-|-|
moles co ltes nedrasd elin	----|--⌫---|-|---|-⌫|--|
enc ois secouroitsozune	---⌫--|-|------|--|--|
na tetantsolemen t	--⌫-|---|-------⌫|
me squetanti	--⌫---|---||
auoit dam ende	----||--⌫---|
qu apressachar	-|----|-|---|
mult aspre	---|----|
etmultdure	-|---|---|
foiequantce	---|----|-|
li sembloi t tr opm olssi	-|-------⌫|--⌫-|-⌫--|-|
c ochoitsor laterre to tenue	-⌫-----|--|-|----|--⌫-|--|
q u ar il ne uoloitmie p ar lesaise s	-⌫-⌫-|-|-|-----|--|-⌫-|--|----⌫|
dec ests ieclequitost sunt	-|-⌫--|-⌫----|--|---|---|
alee saquerre ladoloretlatris tesse	----⌫|------|-|----|-|-|----⌫----|
del fueparmenable	--|--|---------|
ent el menieres e	-|-⌫-|------|-⌫|
deduis oitsainz	------⌫--|----|
anthoinesetsi sepensoit	--------|-|-|-|------|
nos treseig noruoloi tseru ir	---⌫--|----⌫--|-----⌫|----⌫-|
i lau oit ent re pris	-⌫|--⌫--|---⌫--⌫---|
ildeuoitprendree xemple aely ele	-|-----|------|-⌫-----||---⌫|-|
prophetequipremerainemen tl	-------|--|-------------⌫||
auoitde m a nee tel e dontse	----|--⌫-⌫-⌫--|---⌫|---|-|
departi il	------|-|
oile s toit	|-|-⌫-⌫---|
sialae n un	-|--|-⌫|-|
l eu solitaire quidela	-⌫-|--------|--|-|-|
uile ertpresou i lauoi t	---|--|---|-|-⌫|----⌫|
unecel leitesi semis tdedens	--|---⌫----|-|-|---⌫|-----|
a re stere tm anda aun son	-⌫--⌫---|-⌫|-⌫---||-|--|
qui enlauilemenoitquil	--|-|-|---|-----|-|-|
aportast uiandetelecomil	-------|-----|---|--|-|
acostumee a	--------||
mengierpor sostenir son	------|--|-------|--|
corsetsauieetilsi	---|-|-|--|-|-|-|
qua nt il li auoit aporteeil	---⌫-|-|-|----|------|-|
partoitetsainz anthoines	------|-|----|--------|
demoroi tt o z seusen son	-------⌫|-⌫-⌫|---|-|--|
ha bita cle qua ntceuitli deables	--⌫----⌫--|---⌫-|-|--|-|------|
sienfumultdo l anzquaril	-|-|-|---|--⌫-⌫--|---|-|
cremiquemaintau tre	----|--|----|--⌫--|
nep reiss entalu iessemple	-|-⌫-----⌫--||--⌫|-------|
telui eso llitai r etan tqu	--|--⌫|--⌫------⌫-⌫|---⌫--|
ilalass en t	-|-----⌫--⌫|
abiterenl ermitage	-----|-||-------|
do nt pristliennemis	--⌫-|----|-|------|
compaignonsensemblelui si bati	----------|-------|--|-|---|
tant sainzanthoinesquilo	---|----|--------|-||-|
conbrisatot et f ist	-------|--|-|-⌫--|
plaie sporcequ ilic uidatolir	-----⌫|--|-|-||-|-⌫---|----|
l aleretla pa rol eet saint	|---|-|-|--⌫---⌫|-|----|
ant hoi ne	---⌫---⌫-|
reco nta apre s	----⌫--|----⌫|
et distque les	-|---|--|--|
plai es furent s i	----⌫-|-----|-⌫|
gra n z etsicr uo ses	---⌫-⌫|-|-|--⌫--⌫--|
quelestrespasserentle sdolorset	-|---|------------|--⌫|-----|-|
lestormensdecestmonde	--|------|-|---|----|
meslahaute misericorde	--|-|----|----------|
dedieu qui	-|---|--|
u nq uesnefautausuens	-⌫--⌫--|-|---|-|----|
gardalousainthomequeli e nnemis	----|--|----|---|--|-|-⌫-----|
tolimielauie	---|--|-|--|
quant uin t	----|---⌫|
lautreio ra p resle	|----|--⌫|-⌫-⌫--|-|
quilisoloitaporterla	--|-|-----|------|-|
uiandere uint	-----|--⌫---|
sitroualuis	-|----||--|
brisié del abitacleetsaint	------|-||-------|-|----|
gisant a usicommemort	-----|-⌫--|----|---|
totestendua	--|------||
laterrelo rs	-|----|--⌫-|
colsi lemportaa s ama i son	--|-||------||-⌫|--⌫-⌫--|
uil equan tcesorent	---⌫|----⌫|-|-----|
siu o is in	-|-⌫-⌫--⌫-|
etsipa rentsi	-|-|--⌫---|-|
acor urentdetot esparzet	----⌫----|-|---⌫-|---|-|
conmencerent	-----------|
grantdu elaf airepo rlosaint	----|--⌫-||-⌫---|--⌫|-|----|
ensifurent	---|-----|
