c ilqui mistcestcontee nromans	-⌫-|--|---|---|----|-⌫|-----|
ta ntlorbaillededu izdiuers	--⌫-|--|-----|----⌫-|-----|
quil s entindrent	-|-||-|-------|
bi ena pa i é	--⌫-||--⌫-⌫-|
etquantilfur entauoié	-|----|-|---⌫--|-----|
e misen lahauteforest	|--|-|-|----|-----|
au deduit qui moutmiexli	-|-----|--|---|---|-|
senretorneluesdroi tarriere	|-|------|---|----⌫|------|
p a r un eancienecharriere	-⌫-⌫|--⌫|------|--------|
soitierzde cheualiersriant	--|----|-|---------|----|
et si b on	-|-|-⌫-|
cheualiererrant	--------|-----|
quis estoientdebrisie ́darmes	--||-------|--------⌫||----|
sedormentd edesoz	-|------|-⌫|----|
ce zcharmes	--⌫|------|
en paueillons dedrazdesoie	-|---------|-|---|-|---|
iam esuoiren	---⌫-|---|-|
lieuougesoie	---|-|-|---|
neuerraigent	-|-----|---|
a tel solaz	|--|----|
ne tante d ameest roite alaz	-|----|-⌫--|---⌫----||--|
enchainsesri dezl or	-|-------|--⌫--|-⌫-|
bia uzcors	---⌫-|---|
sont cheuex ondoi anzetsors	|--|-----|-----⌫--|-|---|
chapelezdo ra	-------||-⌫||
clers rubiz	----|----|
et cezconte s ses	-|--|-----⌫-⌫--|
et en drazd	-|-|---||
or empe ri als	-|----⌫--⌫--|
lorbia xcors sanz	--|---⌫|---|---|
e tce spuce lesen bendez	-⌫|--⌫|----⌫--|-|-----|
ac hapelezentrelardez	|-⌫------|----------|
debiaxoisiauxetde f l oretes	-|---|------|-|-|-⌫-⌫-----|
lor genzcorsetlor mamelete s	--|---|---|-|--|--------⌫|
lesfont proisier denesaiqu anz	--|---|-------|-|-|--|--⌫--|
decorroiete sde	-|---------⌫|-|
b lans gan z	-⌫---|---⌫|
ere ntmo utbien enhar nesch iees	---⌫-|--⌫-|---|-----⌫-----⌫---|
tot cha n tantestentesionchiees	--|---⌫-⌫---|-|-----|--------|
uontascheualiersquis	---|-|---------|--||
q ui lesbraz	-⌫-|--|---|
et le sma inslortendent	-|--⌫|--⌫--|--|------|
ses traie ntsorl escouertors	|-|-----⌫-|--|-⌫-|--------|
quionqes fuen telsestors	--|----|-|-|---|-----|
bienpuet sauoi r quelsiecleiloren t	---|---|-----⌫|---|-----|-|----⌫|
moutlorestpoi secil demo rent	---|--|--|--|-|--|----⌫---|
qu iestoientaléenbos	--⌫|-------|---|-|--|
etlempereresle s galos	-||--------|--⌫|----|
ert iareper iez asa tente	--|-|-----⌫--||-|----|
uerscez qui ontmoutautr een tente	---|--|--|--|---|----⌫|--⌫----|
q uecilquil a	-⌫-|--|-|-||
elb o is lessiez	-|-⌫-⌫-|------|
enzztrefpointtoz	-|-|---|----|--|
eslessie z	--------⌫|
criant ca cheualierasdames	-----|-|--------|-|----|
i lnepens entpas	-⌫|-|----⌫--|--|
a lor ames	|--|---|
clochesnemoust iers	------|-|-----⌫---|
nen estm iegra nzmest iers	|-|--|-⌫-|---⌫-|----⌫---|
nechapelainsforsles	-|---------|---|--|
moutorent tuitdel oraue aus	---|----|---|-|-⌫-|---⌫--|
d exta nt b eausch ansettantbea usdi z	-⌫-|--⌫-|-⌫---|--⌫--|-|---|---⌫-|--⌫|
sorrichescout esso r beausliz	--|-----|----⌫-|--⌫|----|--|
dit ain c oisquilfustprime	--|---⌫-⌫----|-|---|----|
te nsdeleuer	--⌫-|-|----|
lorsu eiss iezg e nz	---|-⌫----⌫--|-⌫-⌫-|
de samizded rasdoutremer	-|----|-|-⌫--||-------|
debaude quinsdor	-|-----⌫----||-|
cotese tmante aus	----|-⌫|-----⌫--|
freschesbien ourees	-------|---|-----|
de rmine etdegr is che uronees	|-⌫----|-|-|--⌫-|---⌫------|
noirssoe f fleran s	----|---⌫|------⌫|
genz si acesman s	---|-|-------⌫|
netro ueroit ono re mie	-|---⌫-----|-|-⌫-|--|
l empe r eres nese uo utmie	|----⌫-⌫---|-|-|--⌫-|--|
mie x u estirquefirentliautr e	---⌫|-⌫----|--|-----|-|----⌫|
de yysamisde lun	-|-|----|-||-|
fula soerobeben de e	-|-|--|---|---⌫--⌫|
sauez qui mout laamendee	----|--|---|||------|
unepuceleli atache	--|-----|-|-----|
mainsune beleatach e	----|--|---|-----⌫|
deslazdesabl anchechemise	--|--|-|-|--⌫----|------|
labelemaindonte ll a mise	-|---|---|---|-⌫|||---|
fo izboneauenture	--⌫-|---|-------|
saceinture	-|-------|
aunecorroietebl anche	|--|--------|--⌫----|
orlagartbienlapreuz	-|-|---|---|-|----|
lafran ch e	-|----⌫--⌫|
quesanzlor ua l ent b ien les pierres	--|---||-|--⌫-⌫--|-⌫--|--|------|
lesesm erau desuerz comierres	--|---⌫----⌫--|---|--|-----|
yymarzent reyyf rer es	-|---|---⌫-|-|-⌫---⌫-|
beneoizsoit	------|---|
texemperere s	--|--------⌫|
furentleuéu ers	-----|----|-⌫--|
parleboisu on tio er	--|-|---|-⌫--⌫|--⌫-|
grant piece	----|----|
tozdeschausmanches descousues	--|-------|------|---------|
tant qui lsont	----⌫-|-⌫|---|
esille s uenues	-|----⌫|-----|
asfonten elesquisordo ie n t	-|------⌫---|--|-----⌫--⌫-⌫|
mo utp resde laouil estoient	--⌫-|-⌫--|-|-|-|-|-------|
bois porle deduit	---|--|-|-----|
ca yycayycay y ca yy	-|-|-|-|-|-⌫|-|-|
s assieentpo rlauerl orma ins	|-------|--⌫|----|-⌫-|--⌫--|
lilieus nestoi tmie uilains	-|----||-----⌫|--|------|
ainzestoituerzcom	---|-----|---|--|
etsiauoit mou t	-|-|----|---⌫|
grantplente	----|-----|
defloretes indese t blanch es	-|-------|----|-⌫|------⌫-|
ai nc oisquil cou sissent lorman ch es	--⌫--⌫----|-|---⌫------|--|---⌫--⌫-|
leuent lor oils etlor beausu is	-----|--|---|-|--|----|-⌫-|
lespu celes cemestaui s	--|--⌫----|-||--|---⌫|
loratornentfil d e fil ieres	--|-------|--|-⌫|---⌫----|
qu el esonten lor	-|--⌫-|--|-|--|
aum osnieres	---⌫-------|
ornes aigeque rienslorfaille	-|-|-⌫-|-|--|----|--|-----|
asdame se nl ieude touai lle	-|----⌫|-⌫|-⌫--|-|-----⌫--|
emp runtent lorblancheschemise s	---⌫------|--|-------|-------⌫|
o choi son si ontmises	-⌫----⌫--|-|--|----|
lormainsamainte blanchecu isse	--|----||-----|------|--⌫---|
ie nedimiequecilpui sse	-|-|-|--|--|--|---⌫--|
e st recortois quiplusdemande	-⌫--⌫-|------|--|---|------|
etli di s nersetla uiande	-|-|--⌫-⌫---|-|-|-----|
est aprestez	--|-------|
napesassises	----|------|
etlesdamesse	-|--|----|-|
reson t mises	-----⌫|----|
au retou retliche ualier	-|-----⌫|-|-|---⌫-----|
pris ent mauu e sdangi er	----⌫--|----⌫-⌫|-----⌫-|
l a co ued u n euio lete	-⌫|--⌫-||-⌫-⌫|---⌫---|
ainsc hantent ceste	---|-⌫------|----|
chanc onete	-----⌫----|
e nondeu sir e senela i	|--|--|---⌫|-|-||-⌫|
lu ima r l	--⌫|--⌫||
ainzq ue ces tefu st ditetote	-----⌫-|---⌫-|--⌫-|---|---|
comm enceunsautres	----⌫---|--|-----|
enl ar o ute	-|-⌫|-⌫-⌫--|
laiusdes ozlar aime	-|--|---⌫-|-|-⌫---|
aler q uiaime	---|-⌫-|---|
clerei so urt lafontaine	----||--⌫--|-|-------|
einsi doit alerqu ibele	----|---|---|--⌫|---|
ainzquelefustbi en c o mme ncie	-----|--|---|--⌫-|-⌫-⌫---⌫---|
un epucele secorci e	--⌫|-----|-------⌫|
biau chainzea zzblont	---|------||-|----|
enrec ommenced erechief	-|---⌫------|-⌫-------|
sem esami sm ague rpi e	-|-⌫-|---⌫|||---⌫---⌫|
porcen em orraigemie	--|-|-⌫|-⌫----|-|--|
ainzquecestefustbien f eni e	------|----|---|---|-⌫---⌫|
une dame sanzu iloni e	--|---|---|-⌫-----⌫|
qui ertsuerauducdem aien c e	--|--|---|-|--|-|-⌫----⌫-⌫|
hautets erie tcle rcommence	---|-|-⌫--|-⌫|---⌫|-------|
mainseleuabeleaeliz	---|-|---|---|----|
dormezial ousge uos enpri	-----|---⌫--|-|--|-|--|
biauseparamiexs euesti	---|-|---|---|-⌫|----|
d esozler aim	-⌫---|-|-⌫--|
m ignotementlauoiuenir	-⌫---------|-|--|----|
c elequ eiaim	-⌫--|--⌫||--|
et lige n tiz quens d e sauoie	-|-|--⌫-⌫--|----|-⌫|-----|
chanteceste toteune uoie	-----|----|---|--|---|
mignoteme nt lauoiu enir	---------⌫-|-|--|-⌫---|
biens eparamiex seuesti	---|-⌫|---|---|-|----|
dormezialou s etgemenu ois er ai	-----|-----⌫|-|-||---⌫---⌫--⌫-|
e tlique nsde luceleb ou rc	-⌫|-|---⌫-|-|-------⌫--⌫-|
quia moitiloe c	--|-⌫---|----⌫|
un ed am edegrant solaz	--⌫|-⌫--⌫|-|----|----|
qui c hantoit de	--|-⌫------|-|
miex que da me quifupieca	---|--|--⌫-|--|-|----|
am or deli commenc a	--⌫-|-|-|-------⌫|
cesttotl a	|--|--|-⌫|
gieus el glaioloi	----|-|-------|
tenezmoi da metenezmoi	----|--|--⌫-|----|--|
unefontaineis ordoit	--|-------||-⌫-----|
tenezmoidameporles m aus d amer	----|--|---|--|--|-⌫--||---|
sichantante nitel	-|-------|-⌫|---|
r esonttu it reuenuarriere	-⌫----|--⌫-|-----|------|
trusquas trez	-----|-|---|
ou il otb e l estre	-|-|-|-⌫-⌫|----|
car cilqui	--|--|--|
decefurentmestre	-|-|-----|-----|
lesont d erbefresc he	--|--||---|-----⌫-|
biausles ont fez etaffetiez	----|--|--|--|-|-------|
eto ntostéco utesetl iz	-|-⌫-|----|--⌫---|-|-⌫-|
ensa mblemeten tceztapiz	----⌫---|-----⌫|--|----|
porest rea gregnor largete	--|---⌫-||------|------|
uarleziot agrant	-----||-||----|
iloeclor ontl euedone e	----|--|--||--|----⌫|
quelauiandeer taprestee	--|-|-----|--⌫|-------|
tables m i ses et	-----|-⌫-⌫--|-|
napesbeles	----|----|
lic heual i e r et les	-|-⌫-----⌫-⌫-⌫|-|--|
etlesdam essire nt	-|--|---⌫-|----⌫-|
nesecontintpas comesires	-|-|------|--|---|----|
car ses granz	--|--|----|
senzetsaproece	---|-|-|-----|
sabonte etsa	-|----|-|-|
grantlargece	----|------|
lassist moutplu sbasquene die	|-----|---|---⌫|--|--|-|--|
celiui ntdegrantcortoi s ie	-|-|--⌫-|-|----|------⌫-⌫-|
etleuie lduc	-|-|---⌫|--|
d e geneuois	-⌫|-------|
f istilseoir	-⌫--|-|----|
asonhautdois	|--|---|---|
ason c olriches	|--|-⌫-|-----|
piaxdema rtres	---|-|--⌫----|
o r cui t quel iuesquesdechartres	-⌫|---⌫|--|-⌫|------|-|-------|
s amastmiex	|----|---|
iloecquenz zsane	----|-|-|-⌫|---|
que chas cun sig aristetsane	--|----⌫---⌫||-⌫----|-|---|
sesoilsdesgarder	--|---||-------|
les merueil les	--|-------⌫--|
tantesfaces	-----|----|
clere s uermeill e s	-----⌫|--------⌫-⌫|
etcezdo uz uizlonsettrai tiz	-|--|--⌫-|--|---|-|----⌫--|
etcezb iausso rcilsporuoutiz	-|--|-⌫---|--⌫----|--------|
et cezblons	-|--|----|
chiezetcezbiaus c ors	----|-|--|----|-⌫--|
etquantli quens de	-|----|-|----|-|
sag remors	---⌫-----|
otc ha nte ́ une	-|-⌫--⌫---⌫|--|
chan conete	----⌫-----|
uiandeorent etbonee t nete	-----|----|-|---|-⌫|---|
u incler et	-⌫-|---|-|
froitde lam use le	----|-|-|-⌫---⌫-|
et ua issele m ente	-|--⌫------⌫-⌫---|
pas tezdecheurolset lardez	---⌫--|-|-------|-|-----|
deceiertg ran z	-|-||--|-⌫---⌫|
l a pl en t ez	-⌫|--⌫--⌫-⌫-|
de cheu rie x decerse td ed ain s	-|----⌫---⌫|-|---|-⌫|-⌫|-⌫---⌫|
def romagesetcras	-|-⌫------|-|---|
delar iuiere decler mo nt	-|-|-⌫-----|-|----⌫--⌫-|
n estrie nsqui auiande mon t	|--|---⌫-|--||-----|---⌫|
porq uele soitbon eeneste	--|-⌫|--|---|---⌫|-|---|
dont ilni ait agr an tplente	---|-|||--||--⌫--⌫|-----|
et adeuise etasoush et	-||-----|-||-----⌫-|
niac heu aliernes	|||-⌫---⌫----|-||
porlempererequi s enuoi se	--||-------|--||-----⌫-|
etcest droizque	-||--|----|--|
chascunsaoise	-------|----|
sa ioi ep or s enu oise ure	-|---⌫|-⌫-||---⌫----⌫--|
gent ilcreature	----⌫-|-------|
comilertnebutnemenia	--|-|--|-|--|-|----|
etson u oeil nepe n sast ili a	-|--|-⌫---|-|--⌫-⌫---|-|-⌫|
saa r mesnonetaa mors	||-⌫-⌫--|--|-||-⌫---|
ets ottantau tres	-||-|---|--⌫---|
conqestex ber sne fus il	|----|--|---⌫|-|-||-|
mo utlisistetplotcequ	--⌫-|-|---|-|---|-|-|
de sater ree tde sonroiaume	-|-|---⌫-|-⌫|-|--|------|
tant epuc eleettante dame	----⌫|---⌫--|-|----|---|
belcheualier dep ris	--|--------|-|-⌫--|
liserian t quifurent apri s	-|------⌫|--|-----|----⌫|
dosterle sna ppesquantiluire nt	|----|--⌫|--⌫---|----|-|----⌫-|
quenusnemeniasi en	--|--|-|----|-|-|
ce quildu rentmoutbelemen t	-|-|-|--⌫---|---|-------⌫|
li uallet saille nterr omen t	-|-----|------⌫-|---⌫----⌫|
porleu ea sbacins s iladonen t	--||--⌫|-⌫|-----|-⌫|-|-----⌫|
s ach iez que	-⌫---⌫--|--|
maintsiabandonent	----|||---------|
por teni rau bon	--|----⌫|-|--|
roisesmanches	--|--|------|
etcez damesacez	-|--|----||--|
mainsb l anches	----|-⌫-⌫-----|
dont moutlorplesoitlaueue	---|---|--|------|-|---|
quantlapremi ere	----|-|-----⌫--|
ot l e ueeue	-||-⌫-|--|
e t cilet celes	-⌫|--|-|----|
quienuoudrent	--|-|-------|
et lesbe l es dame senuoudrent	-|--|--⌫-⌫-|----⌫|---------|
lo rmantiaxentorlorbi ax c ors	--⌫|------|----|--|--⌫-|-⌫--|
etla fe ste comm encalo r s	-|-|--⌫--|----⌫---|--⌫-⌫|
desestrumen z	--|--------⌫|
etdededuit	-|-|-----|
moutt a riapoiapres ce cui t	---|-⌫-⌫--|--|----|-|---⌫|
ueneorli archier	-----|-|------|
qui ale renthuimainchacier	--|---⌫---|--|---|------|
etli c heualierpo re s batre	-|-|-⌫-------|--⌫|-⌫-⌫----|
ch eminsou	--⌫----|-|
repairentfesantlormen ees	--------|-----|--|---⌫--|
grantple ntedebestes troussee s	----|---⌫--|-|-----|--------⌫|
cheuriex bichese t cers de	-------|-----|-⌫|---|-|
quant l anoise	----|-⌫|----|
etcil quipo r tent les forchiez	-|--|--|--⌫-⌫---|--|-------|
ouil ontmises lordaintiez	-|-|--|----|--|-------|
as co rs d ecerframuz	-|--⌫-|-⌫|---|----|
lorsn ir emestgr anzne menuz	---|||-⌫----|--⌫--|-|----|
espauellons	-|--------|
quine sen isse	--|-||-|---|
en contre ciausquimaint e bische	--⌫-----|----|--|-----⌫|-----|
tuit die nt	---|---⌫-|
quilo ntgrantenuie	-|-|-⌫-|----|----|
ilnifurentalé	-|||-----|---|
cilueneormal atirié	--|-----|--|------|
ci lquiauoientbuisin é	--⌫|--|------|------⌫-|
senreuindrentmout hericie ́	|-|---------|---|-------⌫|
esl edes ch apesdeg risan	-|-⌫---|--⌫---|-|-⌫----|
quin efuren t n oeuesoan	--|-⌫|-----⌫|-⌫----|--|
et heus es uiez rouge setdures	-|----⌫-|---|-----⌫|-|----|
et roncins	-|------|
durssan zambl eures	---|---⌫|----⌫----|
ensa nciusqas iarrez	-|--⌫-|---|-|-----|
e t ontder rier euls	-⌫|--|---⌫---|---|
lor b rache z	--|-⌫-----⌫|
et lesliensdesorlesbraz	-|--|----|----|--|---|
il neporteren t r oiz	-|-|--------⌫|-⌫--|
aincoi spri strentaf orc oier	------⌫|---⌫-----||-⌫---⌫---|
yy cerss anzcequelia rchier	-|---|-⌫--|-|--|-|-⌫-----|
