s eignoursoez chancon	-⌫-------|--|------|
ma dit et conte i	||--|-|-----⌫|
qu etupreigne sla croizsi t	--⌫|-|-------⌫|-|----|-||
anuaoutremer	-|-|-------|
sarrezinse sont	-------|-|---|
malreu elei	--|---⌫---|
tuit tipechiete soentdepardeu pard onei	---|-|-----|-|----|-|--|--|----⌫---|
outoi manras	-|--|-----|
hu gontonconpaig n onfro ntei	--⌫--|--|-------⌫-⌫-|---⌫---|
proudoneste tleaus	------|--|-⌫|----|
et deg rant	-|-|-⌫---|
et il t an	-|-||-|
raman ratota	-----⌫-|--||
tauo lantei	-|--⌫-----|
quanthuges otceditezle uosacon ce i	----|----|-|-|--|-|-|--|----⌫--⌫|
parmiune fenestrea soncorsaualei	----|--|-------||--|---|-----|
asonchief auco ntrementleuer	|--|----|-|--⌫-------|----|
auoittou tceo iet esc outei	----|---⌫|-|-⌫|-|---⌫----|
angre sceditlidus	-----⌫|-|--|-|--|
moipa rl ei	--|--⌫--⌫-|
ie sde pardeucar	--⌫|-|--|--|--|
me giteclarte	-|---|-----|
huges neresp o n tmot quil	----|-|----⌫-⌫-⌫|--|-|-|
sanfuiaialez	|-|-|--|---|
etli dusorsremet questf ormantapans ei	-|-|--|--|----|-|--|-⌫-----|-----⌫-|
q uant hugeslitrait esasarasonfinee	-⌫---|----|-|-----⌫-||-|----|----|
de lach ambred esualecoemantacelee	-|-|--⌫----|-⌫-----|------||----|
parlacordequilo uta un	--|-|----|-|-|-⌫-||-|
piler noue e	----|----⌫|
apre s lu ila	----⌫|--⌫|||
sachi es af ait laretornee	-----⌫|||-⌫--|-|-------|
etlidusors s aut	-|-|--|--|-⌫--|
sussa sam olier boute e	--|||-|-⌫----|-----⌫|
e tla d ame c esuoleduremanteffrah ee	-⌫|-|-⌫--||-----|-------|------⌫-|
si reque uol ez	--⌫-|--|---⌫-|
uosdit la dame ho noree	--|--|-|---|--⌫----|
dameiai une uoiz oieet	---||-|--|---|--|-|
qu iditq uedezme mand esansnuledemoree	--⌫|--|-⌫-|--|-|----⌫|---|---|------|
queieuoiseoutre m er anterregali lee	--|-|----|-----⌫-⌫-|-|----|----⌫--|
laoudexoutsachartr a uall ieeet p enee	-|-|--|--|-|---|--⌫-⌫----⌫--|-|-⌫---|
ou moimanra ihug on quimasa	-|--|-----⌫|---⌫-|--|||-|
etde ceaime ruol le que	-|-|-|-|--⌫----⌫-|--|
nait clarteigitee	|--|------|----|
s i recefu fantomes	-⌫-⌫-|-|-|-------|
dit la dame honore e	--|-|---|------⌫|
deiclarteieut	--|------|--|
parmonchiefditlidusce stuer itez	--|--|----|--|-|--||-⌫-|---⌫---|
ie nedormoem ieainsestreanpan see	-|-|-----|-⌫-|---|----|-|---⌫--|
ahu gon moncom perecu iieai foipor tee	|--⌫--|--|---⌫---|--⌫|-|-|--|---⌫--|
oruos dir ai commant iel aura	-|--|---⌫-|------|-||---|
se ientruisceans	-|-||----|----|
anla chambrepa uee	-|-|------|--⌫--|
angresdeis annulle demoree	-----|--|-⌫-|----|------|
lidusors sautanpiess i	-|--|--|---|-|---|-⌫|
apr ise sespee	|--⌫--||----|
unelampe quitote i er eagoutee	--|----|--|---|-⌫--⌫|------|
parun p ou q uela	--|-|-⌫-|-⌫-|-|
flamme naniere i ai	-----||-|---|-⌫-|
une chandole p rantilecla alumee	--|-------|-⌫---|---|||-----|
li duscerche la c hambrequito teestoitpauee	-|--|-----|-|-⌫-----|--|--⌫-|-----|----|
niar emezcortineque il	|||-⌫---|------|--|-|
bo rnedrap ne escrinnegrant huche fer mee	--⌫|-|---|-|-----|-|----|----|---⌫--|
quelidusn aitlanui thouerte	--|-|--||--|-|---⌫|------|
et defermee	-|-------|
quantnet rouue	----|-|-⌫----|
neluisait safanea pelee	----||--|-|---|-⌫----|
d it lidus	-⌫-|-|--|
ceestchozeprouee	-|--|----|-----|
o rsaic eestuoiz	-⌫|--|-⌫|--|---|
dangleq uimefu de mostre e	|----|-⌫-|-|-|--⌫------⌫|
bauu ai z la losee	----⌫--⌫||-⌫----|
queneuoise	--|-|----|
out remer celle	---⌫----|----|
sa inte con tree	--⌫---|---⌫---|
oudex demor t	-|--|-|---⌫|
auie fitlaresuscitee	|--|--|-|---------|
quant ladamelantanttoutefuesgaree	----|-|---||-----|----|-|------|
formentamoit orsonquilauoit espousee	------|----|----|--||----|-------|
cellenuitc	----|---||
estla damemoutforment demantee	--|-|---|---|------|-------|
po rs onseig nourlouduc m ante larmeploree	--⌫|-⌫-|----⌫---|--|--|-⌫---|----|-----|
carquibon signor pertbi endoit	--|--|--|-----|---|--⌫-|---|
estreadolee	----|-----|
cel le nu itfulidusdure mantanch antez	---⌫-|--⌫-|-|-|--|----⌫---|----⌫----|
parhugon so ncomperequesttraite zprouez	--|----|--⌫|------|-|--|------⌫|-----|
ditlidus a bauuiauz	--|-|--||-------|
et milo nlemienfil	-|----⌫|-|---|--|
meno rirez	-|--⌫----|
plus totque	---|--|--|
ie por rai serai ie retor nez	-|---⌫--|----|-|-----⌫--|
etladuchesseploresiagrantduelme n é	-|-|-------|----|-||----|---|--⌫-⌫-|
ain sne fina	---⌫|-|---|
ladame tantquilfuaiorné	-|---|-----|-|-|------|
d usorsselieuecesta u motier	-⌫-|--|-|----||--|-⌫|-----|
cescomperesli traites prou uez	--|-------|-|------|----⌫--|
ileth uguess anuiegnent	-|-|-⌫----||-|-------|
lunsa la utre	|--|||-⌫---|
or oezdeq uoihugues lan aa rasonné	-|--|-|-⌫--|-----||-||-⌫-------|
comperezd itli	-------|-⌫-|-|
glous e nue r smo ianta ndez	----|-⌫---⌫-⌫|--⌫|----⌫---|
si uosdira imeruol le s iam ais	-|--|----⌫|------⌫--⌫|---⌫--|
teles n orez	----||---|
ennuitdoupremierso mme quantli iorsf uta lez	-----|--|------|--⌫--|----|-|---|-⌫-|-⌫--|
uintuns angl es	---|--|----⌫-|
deiuol anttosampen ez	--|---⌫--|--|-----⌫-|
et me ditquei	-|-|--|--||
alassele sep ulcreaorer	-----|-|---⌫----|----|
queuo s doi	--|--⌫|--|
si ansuianp an sei	-|-|--|-|-⌫--⌫--|
m aruoll esoi d it	-⌫------⌫-|-|-⌫-|
orsp arde idemaitei	--|-⌫-|--⌫|-|-----|
autresiau int moico mme uo s me c ontez	------|--⌫--|--|--⌫--|--⌫|-|-⌫----|
maisieneleconsussequant ieme	---|-|-|-|-------|----|-|-|
cerc hai ma chambreanui ron	----⌫--|-|------|----⌫--|
detoz l ez	-|--|-⌫-|
cuidaiaucuns s ifut	-----|-----|||--|
mucié souaconsez	------⌫|-|------|
anglesfubi enlesaiquantil ni	-----|-|--⌫-|-|--|----|-|||
ma is decememeruoilquenegitaclar t ei	--⌫-|-|-|-|------|--|-|---|----⌫-⌫-|
com pere cedit hugues	---⌫---|-|--|-----|
c efus auo lantez	-⌫|-|-⌫|--⌫-----|
ieiraicedepl ait	-|---|-|-|--⌫--|
nesaiqueuo s	-|--|--|--⌫|
compensdit l i dusorsauec moianuanrez	------|--|-⌫|--|--|---|--|-|-----|
sirecea dit hug uessi comuos command ez	---|-||--|---⌫--|-|--|--|-------⌫-|
bo n m es tieruous	--⌫|-⌫--⌫---|---|
aurai aucheminsdemander	----|-|------|-------|
e tors manda ces	-⌫|--|----|--|
h omedepartot s onregnei	-⌫--|-|--|--|-⌫-|-----|
deparle bauuoisin lesa tous	-|--|-|--------|--||---|
baroncedit lidusanue rsmoian ta ndez	----|-|--|-|--|----⌫-|--|--⌫--⌫---|
outre mer m anirai lai	-----⌫--||-|---|--|
lacroixetles	-|----|-|--|
reliquesbaisiereta o rer	-------|------|-|-⌫-⌫--|
ieuouscommantmaterreetmonfi lagarder	-|---|------|-|----|-|--|--⌫||-----|
etmescompereshuguesceiluia utdemorer	-|--|-------|-----|-|-|---⌫-|------|
soitsiresd e ma	---|----|-⌫|-|
terreet uousbien leseruez	----|-|---|---|-|-----|
quantlan tantlitr aites t roismos	----||--⌫---|-|--⌫----|-⌫---|--|
anuait p arle i	-|---|-⌫----⌫|
ie iraiauecuousseuous le	-|---|---|---|-|---|-|
conm antez	----⌫----|
car ieid oilauoe si	--|-||-⌫-|-|--|-|
conuouslesa ue z	--|---|-|--⌫--⌫|
gran tme tieruousauraiai nsqueuo us retor nez	----⌫|--⌫---|---|----|--⌫----|--⌫-|-----⌫--|
etli dusliresp o nt	-|-|--|-|----⌫-⌫-|
uolantiersetdegrez	---------|-|-|---|
ha de xque	-|--⌫|--|
neconut cesgrandes faucet ez	-|----|--|------|------⌫-|
na laitmie	|-⌫---|--|
auec lui po rl	---|--|--⌫||
ordedisc itez	-|-|--|-⌫---|
ma is ne san donn egarde	--⌫-|-||-|----⌫|----|
l ifransd ushonorez	-⌫|----|-⌫-|------|
moisde maiquelibiaus e stres tez	---|-|--|--|-|----|-⌫-|---⌫--|
que lid usestissus	--|-|-⌫-|--|----|
deb iau uaix sa cite	-|-⌫---⌫---|-|---|
ol uianmoigneh ugonsoncom perefr onte ́	|-⌫-|-|-----|-⌫---|--|---⌫---|--⌫----⌫|
plo rentidamoiselles et bori osesasez	---⌫---||----------|-|----⌫---|---|
poramorau franc duc quetant les	--|---|-|----|--|--|---|--|
etlafrancheduchesseace sd iauzdemené	-|-|------|-------||--⌫|-⌫---|------|
uenu ee stahugon cesbra s	----⌫|-⌫-||----|--|---⌫|
por deisirecomp eresde	--|--|---|----⌫---|-|
monsignour pansez	--|------|-----|
a dei foietlauot r esoit ilhui comm andez	|--|--|-|-|---⌫-⌫|---|-|--|----⌫----|
sire dusb iaus	---|--|-⌫---|
co mp eresestesuous obli ez	--⌫--⌫---|----|---|----⌫-|
ramenezmo n signouret grant	------|--⌫|------|-|----|
preuiaurez	---||----|
damedi t li trichieresde isanseitmon p ansei	---|--⌫|-|---------|--⌫-|-|---|--|-⌫----|
pu is ditantreces densiamais nelou uerrez	--⌫-|--|----|--|---|-----|-|--|-----|
si seraa mes ponshonise t estrangl ez	-|---||--|---|----|-⌫|--------⌫-|
et u andu sp orauor adeniers men oe z	-|-⌫----⌫|-⌫-|---||------|---⌫--⌫|
e tl adamaait ors o ns on signorapel é	-⌫|-⌫|---|--|---⌫-⌫|-⌫-|-----|----⌫-|
sonanel li	--|---|-|
dounaquifud	----|--|-||
o rnae lez	-⌫|---⌫--|
sir ece d it ladam eces t	---⌫|-|-⌫-|-|---⌫|---⌫|
annelp orterez	----|-⌫------|
ceuo u sauezb esoig ariersletrametez	-|--⌫-⌫|---|-⌫----|-----|-|-------|
queseieuoilannelie lecroraiasez	--|-|-|--||----|-|-|-----|---|
dit lidussi con uouscommand ez	--|-|--|-|--|---|-------⌫-|
li dusapris	-|--||---|
lannel an son doilabou té	|----|-|--|--|||---⌫--|
congieprit a safane	-----|---||-|---|
i otmene ́	|-|----⌫|
samoliorets onfil alidusacolé	-|-----|-|-⌫-|--||-|--|-----|
at ritourso nt	|-⌫-----|--⌫-|
ilec deseurei	---|-------|
iamaisneseuerron t sise ront	-----|-|-|------⌫|-|--⌫---|
m out irei	-⌫--|---|
antreorsonethugo n sesontacheme né	----|----|-|----⌫|-|---|------⌫--|
etpassenta saintzust	-|------||----|---|
s ontmondidier orré	|--|--------|----|
noio ns soxonsetrenset chalonsla cite	----⌫-|-----|-|---|-|------|-|---|
etpencentde larrercha c un	-|------|-||----|---⌫-⌫-|
ioraiorné	--|------|
dileca bale cei ansont totdroit ale ́	|---||----⌫--|-|---|--|----|---⌫|
que hugueslitraite snatant del eu	--|-----|-|------⌫|||---|-|-⌫-|
quoc ixaustorsonmoutan	-|--⌫-|---|----|---|-|
abonpa nse	|--|--⌫--|
aromeson t uenu s ont saintpereaore ́	|---|---⌫|---||--|----|---|----⌫|
et dilecabaleteansont	-||---||-----|-|---|
to tdroit al e ́	--⌫|----|--⌫-⌫|
chiefunric hebo rioissont la	----|-|---⌫-|--⌫----|---|-|
nuitost elé	---|---⌫---|
ric hesfutlimangierssinezi	---⌫--|--|-|-------|----||
or escoutez	-|-------|
dugonc oni la	|---|-⌫-|-⌫||
iai uandr ason	--|-----⌫|--|
com perecui il fitfiaute	---⌫---|--|-|--|-----|
ilmonteaunch euaultant	-|----||-|--⌫----|---|
a esperone ́	|--------⌫|
est uenusaup or u n	--|----|-|-⌫-|-⌫|
chalanatroué	-----||-----|
marcheans i	--------||
trouua de laterre y sor e	-----|-|-|----|-⌫---⌫|
decu nibres cel ebonecite	-|--⌫-----|---⌫|---|---|
ac ointa si fudemalpansei	--⌫----|-|-|-|--|-----|
signorc e di st	-----|-⌫|--⌫-|
liglous franc	-|----|----|
c heua liermambre ́	-⌫----⌫---|------⌫|
ieaun riche du cauecmoi	-||-|----|--⌫|---|--|
biauuez tintetclermontetamiensla cite	------|---|-|-------|-|-----|-|---|
ilocit unmienfil	-|---|-|---|--|
bien aun pacé	---||-|----|
ieleuousuandrai	-|-|---|------|
il uousuientangre	-|---|----|-|--|
etci lon t	-|--⌫|--⌫|
respondumo ut auezb ienparlé	-------|--⌫-|---|-⌫--|-----|
son com perelorua nt	--|---⌫---|--|--⌫-|
trentem ars bien	-----|-⌫--|---|
aic esteparoleest huguesretor nez	|--⌫---|-----|--|-----|-----⌫--|
e t uintasoncomperes i	-⌫|---||--|------|-⌫|
l aarasonne ́	||--------⌫|
hugesrepareadonqu e s celprit a	----|-----|------⌫-⌫|-||---||
sire dus biau scompere sia neuousquir	---|--|----⌫|-------⌫|-|-|---|---|
une nefa il ouee qu iiraoutreme r	--|--|-⌫|-⌫---|--⌫|--|-------⌫|
an ierusa lemdr oitd emainainsl aniorner	-|------⌫--|--⌫--|-⌫----|---||-------|
form entsontleaulhomeet si seuent	----⌫--|---|----|---|-|-|-----|
no usironsaueca usce luolez creanter	--⌫-|----|---|-⌫-|-||----|-------|
comperesdit	-------|--|
auotr e uol antei	|----⌫|---⌫----|
uous iestes	---|-----|
m es comp eresan	-⌫-|----⌫---|-|
u ous medoifier	-⌫--|-|--|---|
mescorset mes auors soit a u ous	--|---|-|--|----|---||-⌫--|
doncf o nt limarinierloruo l ezatorner	---|-⌫-⌫-|-|-------|--|--⌫-⌫-|------|
litraitesifait orson	-|------||---|----|
fit d e nuitpor loumiausanchanter	--|-⌫|---|--|--|----|--------|
et l idussicouchaqui nesi	-|-⌫|--|||-----|--|-|||
soutgarder	---|-----|
ethu gues li t r aitesleuarecon forter	-|--⌫---|-|-⌫-⌫----|-|-|-----⌫-----|
si recompainsdormez ne uou sconuiontdouter	--⌫-|-------|-----|-|---⌫|-------|-----|
iecrien malneuousfacela puor	-|----|--|-|---|---|-|---|
duss andor mi	--||-----⌫-|
quifutaseurer	--|--|------|
debiaucareneses taseurer	-|-------|-||--⌫|------|
uenusestaumarchansc	----|--|-|-------||
esprant aapeler	-|----||-----|
faitesmoi monauorbalieretaprester	-----|--|--|---|-----|-|-------|
uezleduc andormiqu eieuous doi	--|-|--|------|--⌫|-|---|--|
etilontrespondu	-|-|--|-------|
sa nplusd edemorer	--⌫|---|-⌫|------|
parlouduc son	--|--|--|--|
co mpe recepranta	--⌫---⌫-|-|----||
litra it forsdeso n	-|---⌫-|---|-|--⌫|
doimaxeleir	--|-------|
souportera an francedeisliputmaldonner	|-|------|-|-----|---|-|--|--|-----|
etporceuoudrail	-|--|-|-----|-|
laduchesseesposer	-|-------|------|
e t l i glosce reparequina soig	-⌫|-⌫|---|-|-----|--|||---|
etlima ren iernagent	-|-|--⌫---⌫--|-----|
et p ri s trentasigler	-|-⌫--⌫-⌫----||-----|
ce ntleues ont	--⌫-|----|--|
erre ́ quantu int al aniorner	----⌫|----|-⌫--|||-------|
soingi aun soigi e quimout	------⌫|-|-----⌫|--|---|
fait a dout er	---||----⌫-|
et li estoitauisqueilfutoutremer	-|-|-----|---|--|-|--|-------|
hugues sestoitaluicor eciés et i rez	-----||-----||--|---⌫-----|-|-⌫--|
abiau uaizla it	|----⌫---||-⌫-|
asis gran t iant ia mandé	---|----⌫|---|||-----|
selifaiso i t	-|-|-----⌫-⌫|
li faussongrant pa la i s	-|---|--|----|--⌫--⌫-⌫|
lorscesuollali dus	---||------|-|--|
notqu airer	|-|-|----|
ouuoit losm are niersp ritlor a	-|---|--|-⌫---⌫----|-⌫--|--||
ouestmeschiers com peresqu i foi	-|--|--|-----|---⌫----|--⌫|--|
me doitporter	-|---|-----|
e tcilontresp ond u u assauslasiés est er	-⌫|--|--|----⌫---⌫|-⌫-----|------|---⌫-|
ilestpartis deuouscon traitesprouuez	-|--|-----|-|---|--|------|------|
car i u ousa iuanduaizpaiensdout remer	--||-⌫--|-⌫|----|--|-----||---⌫----|
dientl imarinierdefolieparlez	----|-⌫|-------|-|----|-----|
ilestpart is de uous do u tot etdeseurez	-|--|----⌫-|-|---|--⌫|--|-|-------|
anous uous auandut rentemarsd or	|---|---||----|-⌫----|---||-|
t resandroit mienuit sanestde	-⌫--|------|------||-|--|-|
uousamblez	---|-----|
iamaisne lou	-----|-|--|
uerro isa n t restou tuostreae	-----⌫-|-⌫|-⌫------⌫|-----|-|
helaisaditlidus	-|---||--|-|--|
tan tsu iie p lusi rez	---⌫|--⌫|-|-⌫--|-⌫--|
an lui uersmoicestpari ure z	-|--|---|--||--|----⌫---⌫|
ayhugues traites	-|-----|------|
mon anelan porte z	--|---|-|-----⌫|
bie n saise	---⌫|--|-|
uolezmat erre	----|-|-⌫---|
etocierez mo nfiletm a	-|------|--⌫|--|-|-⌫|
famep a nrez	---|-⌫-⌫---|
a ices te parolechei	|----⌫-|-----|---|
liduspasmez	-|--|-----|
quantlidusfupasmezet	----|-|--|-|-----|-|
i l fureuen uz	-⌫|-|-----⌫-|
lors dit hug u es comperefaustraitespariurs	---|--|---⌫-⌫-|------|---|------|------|
monane la nportezdonie suiir ascus	--|---⌫|-⌫|-----|--|-|--|--⌫----|
torrez etmonchi er fi lmilon	-----|-|--|---⌫-|--⌫|----|
etlimaronniernagent parla mera	-|-|--------|-----|--|-|--||
ac unibresparu indrent	|-⌫------|----⌫------|
quantli io rs futpar ans	----|-|--⌫-|--|---⌫--|
limaronnier s ariuent	-|--------||------|
bautet lieeti oant	---|-|--|-|-⌫---|
de lac iteiiseren tsarresinet persant	-|-|-⌫---|------⌫|-------|-|------|
etli r oisysorezso run	-|-|-⌫--|-----|--⌫|-|
de strie r a m bl a nt	--⌫-----⌫|-⌫-⌫--⌫-⌫-|
aliu an d entleducc orec ie ́ et	|-|-⌫--⌫-⌫--|-|--|-⌫----⌫--⌫|-|
et ysore z lanmo i g nean	-|-----⌫||-|--⌫-⌫-⌫-|-|
sonpalaispl us grant	--|-----|--⌫-|----|
faitmontrermahom ett e ruagant	---|------|----|-|-⌫-⌫------|
qua nt li dusn esuiautcrore si lou ua	---⌫-|-|--||-|----|----|-|--|-|
a n s achartr elaual eas oncol	-⌫|-⌫|------⌫||----⌫||-⌫-|--|
uncharchan t	-|--------⌫|
or estilanma rtire de	-|--|-|-|--⌫----|-|
ou rscegi st	--⌫-|-|--⌫-|
an la chartre questparfondeetpuans	-|-|------|-|--|-------|-|----|
solausneluitleansne lune ni flambie	-----|-|---|----|-|---|||------|
forme nt man dithugonien eman	-----⌫-|---⌫--|----|-|-⌫||-|
meruoilm ie	------|-⌫-|
etregra t ebauu aizetsonfil et s amie	-|-----⌫-⌫|----⌫--|-|--|--|-||---|
ore scoutez	-|-⌫------|
du gonq uinesares te mie	|-⌫--|-⌫-|-||----⌫-|--|
l iglousc es tporp anc ezdame de xle m audie	-⌫|----||--⌫|----⌫---⌫-|----⌫--⌫|-|-⌫----|
tantdonra charlemaineauoretmenan die	---|----|----------|---|-|-----⌫--|
lidonra ladamee la	-|----|-|---||-|
grantsignorie	----|-------|
sonfiliau locieraa lespeeforbie	--|------⌫|-----|||----|-----|
u nes paum esacha t ea zz xxm	-⌫--|----⌫-|----⌫-⌫||-|--|
r omepa ssaa rieresetcell erneetpauie	-⌫--|--⌫--|-⌫-----|-|----⌫---|-|----|
b iensanblepeller inquiueignede	-⌫--|-----|------⌫-|--|-----|-|
darre mantetda zur auoit sa	|----⌫---|-||-⌫--|----|-|
charnercie	---|-----|
t antesploitiéq ui l passalombardie	-⌫--|---------|-⌫|-⌫|----|--------|
antrezest an	-----|--|-|
borgoigne cuiil mou t	--------|--|-|---⌫|
plusdesire	---|-----|
deci a ch aalon s n i	---||--⌫-----⌫|||
ot regn etirie	-|----⌫|----|
cefutaun epaquesune festeioie	-|--||--⌫|-----|--|----|---|
charlesmartiaustint cortaparis la garnie	------|-------|---|---||----|-|-----|
douba rnage defranceiauoitgrantp artie	--|--⌫----|-|-----||----|----|-⌫----|
atan tezu oushugoncuiiesusmaleie	----⌫|-|-⌫--|----|--|----|-----|
ildesantoup a laiss	-|-----|-|-⌫-⌫---||
a la mu le	|-|--⌫-|
l esn ouales e nuontan la	-⌫-|-⌫-----|-⌫|---|-|-|
sale uo utie	---|--⌫---|
huguesuientdoutremer deter red e	-----|----||-------|-|---⌫-|-⌫|
ancontre lui a loitlirois	-------|--|-⌫---|-|---|
etsa maniee	-|-|-----|
etquantil uithugon se	-|----|-|--|----|-|
lif itchiere li ee	-|-⌫-|-----|--⌫-|
cen tfoislebase etl	---⌫|---|-|---|-||
autre baronnie	----|-------|
huguesceditli rois n onme celez	-----|-|--|-|---||-|-|----|
ouestl id usremexouta ntac ou rtoisie	-|--|-⌫|-⌫-|----|-|--⌫-||-⌫--⌫------|
a quila uostr e foiestiureeet pleu ie	|--|-|-----⌫|--|--|----|-|----⌫-|
quantl antant litraitessi ne s eitque	----||-----|-|------|-|-|-⌫--|--|
s amb lant faitquesepasmee t t ala ntn	-⌫---⌫---|---|--|-|----|-⌫|-⌫---⌫-||
plo redeiauzdouchiefliglouset silarmie	---⌫-|-|---|--|----|-|----|-|-|-----|
