p uisloradist qu	-⌫--|--||---|-|
adonneesabeneiss on	|-----|-|-------⌫-|
quides orau ssigne ri eont	--|---⌫-|--⌫|-----⌫--⌫|--|
desesyy anf ensfurentné	-|--|-|---⌫--|-----|--|
par yyfois yye tangenré	--|-|---|-|-⌫|-------|
fil etfilles	--|-|-----|
cest la uertes	|--|-|-----|
quiyymen ieres	--|-|---⌫----|
d eg en tsunt	-⌫|-⌫--⌫|---|
ai n sis conl e dist lalesons	--⌫-⌫--|--|-⌫|---|-|-----|
cardeiaphefyyenis sirrent	--|-|-----|-|-|--⌫------|
e tyyde ch ame n naquirent	-⌫|-|-|--⌫-|-⌫|--------|
de cham issist chu setnaquist	-|---|-----|---⌫|-|------|
et de chusmenphroht genuit	-|-|---|--------|-----|
q ui babiloinnepuis apr e stint	-⌫-|---------|---|---⌫-⌫|---|
ic ilmenphrohtsag ent manda	--⌫-|--------|-|-⌫--|----|
quilou taq uisen	-|-|--⌫|--⌫--|-|
du nhonmequainsisl ape l a	|-⌫|----|-|-----||---⌫-⌫|
un e plenesseetzz grans leus	--⌫|-------|-|-|----|---|
no blese thauset pl anteu reus	--⌫---|-⌫|---|-|--⌫-----⌫---|
adistq ue il	|---|-⌫-|-|
w el tfa ire	-⌫--⌫|--⌫--|
un et ourha ute enicellehaire	--⌫|-⌫--|--⌫--|-|-----|----|
deteu l ecoite desimentf aite	-|---⌫-⌫|----|-|-----|-⌫---|
lateule coitetlesiment	-|----|---|-|-|-----|
to urenconman cent	--⌫-|--------⌫---|
quiiusquau cielua conmancent	--|----|-|---|-|---------|
senos tres	-|---⌫---|
q uantdieusaueuelor malice	-⌫---|----||---|--|-----|
et q ue latournelairont mi e	-|-⌫-|-|---|-|------|--⌫|
siloramué l or	-|--||---|-⌫-|
lai n guaiges	---⌫-⌫------|
enn onnanteyymultsauuaiges	-|-⌫------|-|---|--------|
autre na nt and oit	----||-⌫--⌫---⌫--|
chascunssueurecoienlaissoi t	-------||----|--|-|-------⌫|
pour ce quel au trena ntandoit	---|-|--||--⌫--||-⌫-------|
ainsisdemoura aparfa ir e	-----|------||-----⌫--⌫|
quemanfroht	--|-------|
cui do i tf aire	---⌫--⌫-⌫|-⌫---|
al ons di sie ntetsifaison s	--⌫--|--⌫---⌫-|-|-|------⌫|
uneto ur ha ute	--|--⌫-|--⌫--|
si mangerons	-|--------|
ensambleet puis departiront	-------|-|---|----------|
en parties	-|------|
detoutlemont	-|---|-|---|
bab elsenondistlalesons	---⌫-|-|--|---|-|-----|
uau t aut entco nconfusions	---⌫|---⌫--|--⌫|---------|
carlalaingue fulaco nfuse	--|-|------|-|-|--⌫----|
quila tour	--|-|---|
a fair erefuse	|----⌫|-----|
n ostressireslesfis tespa rdre	-⌫-----|----|--|---⌫|----⌫---|
parm eilemondeet es sardre	----⌫-|-|----|-|--⌫-----|
deceuss ontuenu li	-|---|-⌫--|---|-|
lainguaige	---------|
qu ienmondesontmultsauu aige	--⌫|-|----|---|---|----⌫---|
puis ledelo ugenoeu esquist	---|-|----⌫--|--|-⌫------|
yyyyansetemplist	-|-|--|-|------|
aigesdeyyyyans	----|-|-|-|--|
e tl al igniecr ust itant	-⌫|-⌫|-⌫----|--⌫--|----|
quelemondeua ramplissant	--|-|----|-|----------|
pourcequeconsu a de ti	---|-|--|----||-|-|
dieusli gr ansiugee n tr emiet	----|-|--⌫--|---|-⌫-⌫--⌫|-|-|
ac ui respondi sth abraham	|-⌫-|--------⌫-|-⌫------|
uoic i f aiena ton talent	--|-⌫|-⌫-|-||--|-----|
doncseleua encontre li	---|-|---|-------|-|
et uigrouse men tlebatist	-|--------⌫---⌫|-|-----|
aga rladoutasif uit	---⌫|-|----|-|-⌫--|
liest apar us	-|--|----⌫-|
alafontainne enuoi e de	|-|--------|-|---⌫|-|
q ui distpuce lle sarrai	-⌫-|---|----⌫--|-----|
ouuasdo nui ens	-|--|--⌫|--⌫--|
et quequier sci	-|--|-----⌫|-|
quil i a di stc er tes iefuis	--|-⌫||--⌫-|-⌫--⌫--|-|---|
mada mequima multbatu	-|--⌫-|--|||---|---|
etliangresdist nos tre sire	-|-|-----|---|---⌫--|---|
retour nea rrier ettumelie	------⌫-|-⌫----|-||-----|
desous tadam e et f aique welt	-----|-|---⌫|-|-⌫-|--|---|
cariec ertesacroitreweil	--|-|-⌫----|-------|---|
tasemenceian iertnombr ee	-|------|-||---|-----⌫-|
serasgenree	----|-----|
uoi cizzfil e nfanter as	--|-|-|--|-⌫-------⌫-|
qui ismae lnonme ́s se ras	--|-----⌫|-----⌫-|--⌫--|
pourceq u oie e stt	---|-|-⌫|--|-⌫-||
icil anfes serasmax	---|----|----|--|
se spooirs encontretous	--⌫|-----|-------|---|
etchacuns mal faire li	-|------|--|----|-|
uouleounontoutesaligni e	----|-|--|----|-|-----⌫|
samaisonierte nt r	-|-----|---|-⌫--⌫|
adonquesdisti ecroi quesoit	-------|---|-⌫|---|--|---|
li t ous puissan s qui	-|-⌫--|-------⌫|--|
certes i aiueuledos celi	-----||-|--|-|--|---|
quecimeuoistde derier li	--|-|-|----|-|-----|-|
p ource apelacellefontainne	-⌫--|-|----|----|--------|
puisdeuoiantqui ai nq ui uainne	---|-|-----|--|--⌫--⌫-|-----|
donq uesagarouts on anfent	----⌫--|---|--|-⌫-|-----|
quanthabraha moutyy	----|-------⌫|--|-|
etyyau ecnansuimantans	-|-|--⌫-||-|--|------|
pu i s yya ns unta conpli	--⌫-⌫|-|-⌫|-⌫--|-⌫-----|
et yy habramd ieus	-|-|-----|-⌫---|
et distplus ne te weilnonmer	-|---|---|-|-|---|-----|
ha bramm ais	--⌫---|-⌫--|
habrahamqu ester	-------|--⌫----|
suest liperesde	----|-|----|-|
ma intes gens	--⌫----|---|
crotret eferaig rante mant	-----|-⌫|----|-⌫-----⌫---|
detoiseron tliroinais sent	-|--|-----⌫|-|--|----⌫---|
atoidonraiet	|--|-----|-|
terr edechanaam nonpi e	----⌫|-|------|--|--⌫|
ettugarde rasqueuour a i	-|-|-----⌫--|--|----⌫-⌫|
quetousmales circo nciss oit	--|---|----|-----⌫---|-⌫--|
acuiyyiours serontparfa it	|--|-|----|-----|-----⌫-|
pui sadieus	---⌫||----|
dis ta habr a ham	---⌫||----⌫-⌫--|
sarraiaueraenfent	-----|----|-----|
etsarraseraapelee	-|----|---|-----|
cui maben eissonsiert donnee	--|-|---⌫------|---|-----|
etzz anfesdeleinaitra	-|-|----|-|--|-----|
decuila nations uenra	-|--|-|------|----|
car lesr ois deluig enrera	--|--|-⌫--|-|--|-⌫-----|
habraha m s	-------⌫||
ancli naetrit	-----⌫-|-|--|
e n soncuer et ainsi s	-⌫|--|---|-|-----⌫|
cuides que	-----|--|
honsquiaitcenta ns	---|--|--|---|-⌫-|
ensauielles s eait	-|-|-------⌫-⌫|--|
etyy yyanssiasarra	-|-|-|--|-||----|
e tzzanfentenfa ntera	-⌫|-|-----|----⌫----|
p uisa distanost resignour	-⌫--||---||----⌫-|------|
ismaeluiureuouroie	-----|----|------|
dieus dedeuan ttoi	----|-|-----⌫|--|
donc nostressire sdista so i	---|------|----⌫|---||--⌫|
ha brahamt afanme	--⌫-----|-⌫|----|
e nfant er a e t	-⌫-----⌫--⌫|-⌫|
quii saac nonméssera	--|-⌫---|------|---|
etatoife raiali ance	-||--|--⌫--|---⌫---|
quadesdurra ettasema nce	-|---|----|-|-|----⌫--|
et ismael ieben eirai	-|-----|-|---⌫----|
etcertes multlac roiterai	-|-----|---||--⌫-------|
grantgentde	----|---|-|
luiueni r fera	--|----⌫|---|
d isq u eisaac	-⌫-|-⌫-⌫|----|
en l autre	-||----|
quant nostressires out	----|------|----|--|
p ar l e ́	-⌫--⌫-⌫-⌫|
habraham tou rnés	-------|---⌫----|
eth abr a hamcirconcisa	-|-⌫---⌫-⌫--|--------||
luiismaellagen t	--|-----|-|---⌫|
habraham auoi t	-------|----⌫|
circonsis ans	---------⌫--|
ha brahamquecirconcisfu	--⌫-----|--|--------|-|
no stress iresli appa rut	--⌫----|-⌫---|-|----⌫--|
enl aualee de menbre	-|-⌫|----|-|-----|
am eidiquant tensestchau fe ́s	|-⌫---|----|---|--|----⌫--⌫-|
al antreedesamaiso n	||-----|-|-|-----⌫|
ou ilseo itpuis	-|-|---⌫-|---|
leuoitdons	-----|---|
sesie x si	--|--⌫|-|
quantil lesuitsicorri tla	----|-|--|--|-|-----⌫|-|
aterr echis t l	|----⌫|----⌫||
puisd istsires	---|-⌫--|---||
aitr o uué	-|--⌫-⌫---|
deuant tes iexgra ceetanmo ur	-----|--|--|---⌫-|-|----⌫-|
tonseriant	--|------|
sire ne passer	---|-|-----|
iusquep oudaiguearai p or té	-----|-⌫-||----|---|-⌫--⌫--|
e tuostr e	-⌫|-----⌫|
piesoientlau é	--|-----|---⌫-|
desou scest	-----⌫|---|
aubr ereposez	----⌫|------|
etaporteraizzmors	-|--------|-|---|
conforte ruoscuersne sientuain	--------⌫|--|----|-|----|---|
et p uisde cepourrés	-|-⌫--|-|-|-------|
iestesa moidecliné	-----||--|-------|
li queldirent faicequasdist	-|---|-----|--|-|-|-|---|
cil s e has te	--|-⌫|---⌫-|
asarr amdist	|----⌫-|---|
tos tet faierra nt	---⌫|-|--|----⌫-|
pains alisquisientc uitsaians	----|---|--|----|-⌫--|-----|
ses beste s entourne	--|-----⌫|-------|
zzuee l ta nredainquia porte	-|---⌫|--⌫--||-----|-⌫----|
q uicoura nment	-⌫-|-----⌫----|
celuicuita	----|---||
prinsq ui cuises toit	----|-⌫-|---|--⌫---|
lai te tbutyrportec esyy	---⌫|-⌫|----|----|-⌫-|-|
d esuslaubre es tuhabra ham	-⌫---||----|--⌫-|-----⌫--|
d eles iceusquisuntmaniant	-⌫---|----|--|---|------|
qua nt ontmang ié icilont	---⌫-|--|----⌫--|---|--|
sa rratafa nme aur azz fil	--⌫--|-|--⌫--|---⌫|-|--|
ouest sarracilrespondist	-|--|----|--|---------|
enta bernacle estuoici	-|--⌫-------|--|--|-|
ence ltens re uanraia	-|--⌫|---|--⌫-----||
et sarrasiaurazz f il	-|----|-|---|-|-⌫-|
qu a ntce llelo i tqu	--⌫-⌫-|--⌫--||-⌫-⌫|-|
es tder ier luis	--⌫|---⌫--||--|
arire print etadistpu is	|---|----|-||---|--⌫-|
uiellesuimes maris	-----|--|--|----|
dauoiranfantferonslesie us	|----|-----|-----|--|--⌫-|
ahabrahamdistnostressires	|-------|---|------|----|
sarr a por coi aprinsa r ire	----⌫|--|--||----||-⌫--|
queiananfa ntera	--|-||----⌫----|
aageque tropgrant a	---|--|---|----||
nullechoseestadieugries	----|----|--||---|----|
toutpuetfaire	---|---|----|
s ansa t a rgier	-⌫--|-⌫-⌫-⌫----|
si contai distiereua nrai	-|--||-|---|-|----⌫---|
filaurasa rra en uerai	--|---|--⌫--|-|----|
uieli donraiquantreu anra i	--|-|-----|----|---⌫----⌫|
dis tien ai m iris	---⌫|-||-|-⌫|--|
maispou rlapeu r m	---|---⌫|-|---⌫||
mieainsispui sadis tdieus	--|-----|---⌫||---⌫|----|
ansoisas risceler n oupues	-----|-|--|----||-|---|
co ncil honmefussentleué	--⌫|--|----|------|----|
do umangier	--⌫|------|
lors iexontgardé	---|--|--|-----|
contresodomedoncaparlé	-----|-----|---||-----|
nostresiresahabraham	-----|----||-------|
h a brahamniere	-⌫-⌫-----||---|
seque iaienmoncuerenpans	-|--|--|-|--|---|-|---|
c ongra ntgent fasdet o iissir	-⌫-|---⌫-|---|--|-|-⌫-⌫|----|
qu i tresfo rsierta	--⌫|---|--⌫-|---||
tou tesle snacions	---⌫--|--⌫|------|
en toi pan rontbeneis son	-|--|---⌫---|------⌫--|
iesaibienque	-|--|---|--|
conmander as	---------⌫-|
a tamai gnieque tuauras	|-|---⌫---|--|-|----|
qu ilgarssent ma	-|-|-------|-|
uoieet quefacent	---|-|--|-----|
iusticeetd roispour	------|-|-⌫---|---|
queiet aiades	--|-||-|---|
quetuauraset	--|-|----|-|
puissidis t	---|-|---⌫|
laclamors deceusd e s odome	-|------|-|---|-⌫|-⌫----|
etdegormorreamoi	-|-|-------||--|
lorpechieses tsiagreués	--|------|--⌫|-|-------|
queclamour	--|------|
faitmulteplier	---|---------|
ie descendera ietuerrai	-|----------⌫|-|-----|
cilont ampliqueclamour fait	|-|--|----|--|------|---|
ceil ontfa i t	-|-|--|--⌫-⌫|
ice par ouure	--|--|----|
queclamours dire amo i labeure	--|-------|---||--⌫|------|
etsisar rai seil est	-|-|---⌫--|-|-|--|
queclamoursfaitentendre am i	--|-------|---|-------||-⌫|
dou leuo usun t se	--|--|-⌫|---⌫|-|
sunttorné	---|-----|
et a sodomes unt alé	-||-----|-⌫--|---|
ou lochtau oitson	-|----|--⌫--|--|
habraham uai	-------|--|
oueusparler	-|--|-----|
qu an tdieuapprochasiadist	--⌫--⌫|---|-------|-||---|
le proudonm en	-|--------⌫||
ocirr a mi	-----⌫|-|
oulemaluais	-|-|------|
i aniertati	-⌫||---||-|
se sinq uan tehonme s unt troué	-|----⌫---⌫-|----|-⌫--|-----|
quisie ntpr o udonmeen c ites	--|---⌫-|--⌫-⌫-----|-|-⌫---|
o u leusiren	-⌫|--|---||
es pairne ras	--⌫------⌫--|
maistou t ensensperileras	---|---⌫|-----|--------|
sinquante quedistai	--------|--|--||-|
san ces cites trouuer lessai	|-|--|----|------|--|--|
hadieussireian iert	-|----|---|-||---|
p ro udonmeocciss es si	-⌫--⌫-----|------⌫-|-|
ou l em aluais	-|-⌫|-⌫-----|
ienier ta toi	-||---⌫||--|
c onli maissoit	-⌫-|-|---|---|
ia nie rtatoi iceste ch ose	-||--⌫-||--|-----|--⌫--|
q u itou te terr e iugeset croles	-⌫-⌫|---⌫-|----⌫|----|-|-----|
ancortedisianeferas	----|-|--|-|-|----|
quele sbon sm essesou lesmais	--|--⌫|---⌫|-⌫----|-|--|---|
maischas cu nss on loier	---|----⌫--⌫-|-⌫-|----|
donca d istdieusse pu es	---||-⌫--|----|-|--⌫-|
yy proudonsen cites	-|-------|-|----|
habraha mieferaipardon	-------⌫|-|----|-----|
atouslesmaispour les proud ons	|---|--|---|---|--|-----⌫--|
h abrahamrespondistencore	-⌫------|---------|-----|
conie soi e cendreetpourre	--|-|---⌫|-----|-|-----|
amon signourieparlerai	|--|------|-|-------|
quantaparlerconman cié	----||-----|------⌫---|
s isunttr ouuéquarante	-⌫|---|--⌫----|-------|
sire lesmanr as	---|--|----⌫-|
et dieus redist n	-|----|-----||
es desferons	-|--------|
sequaranteyytro uue ́ sunt	-|-------|-|---⌫---⌫|---|
e thabraha mrep arla	-⌫|-------⌫|---⌫---|
q uequaranteseie nitru is	-⌫-|-------|-|-|||---⌫-|
qu e fe rastu	--⌫|--⌫--|-|
pour quarante nesferr ai mi	---|-------||-|----⌫-|-|
hasirena iesmi	-|---||-⌫--|-|
sancorpa role nete	|----|--⌫---|-|-|
etseyytrouuerisai	-|-|-|------||--|
pourcesyy n es destruir ai	---|--|-||-|--------⌫-|
unefoissire net anui tmi	--|---|---|-||----⌫|-|
seieparole	-|-|-----|
etseien an i truisque	-|-|-||-||----|--|
turaimidieusa redist	----|-|----||-----|
recour recie rbiau s sire	------⌫-----⌫|----⌫|---|
se weilencorparol edir e	-|---|----|-----⌫|---⌫|
queyysenannipuistrouer	--|-|-||-|||---|-----|
d ieu sdistpouryy n es we ilt uer	-⌫---⌫|---|---|-||-|--⌫-|-⌫--|
apres icedieuss anpartit	----|--|----||-|-----|
et h abrahamen sonleuuint	-|-⌫------|-|--|--|---|
ansis con s i ldireuo usist	----|--||-⌫|---|--⌫----|
ieneweil plusque	-|-|---|---|--|
t u m an pris	-⌫||-|---|
a u ue s preuinrentensodome	-⌫|--⌫-⌫--|------|-|-----|
yyangr elochts oie nten	-|----⌫|----|-⌫---⌫-|-|
dela cite quant ui st iceus	-|-|---|----|--⌫-|----|
contrecesyy	-----|--|-|
anclinae ta oura	------|-⌫|-⌫---|
etpuis ai nsisaeuspa rla	-|---|--⌫---||--|--⌫--|
ieproisignorsoie ́smenant	-|---|-----|----⌫-|-----|
enlamaisondeu ostre enfent	-|-|-----|-|-⌫----|-----|
laués uospies	-----|--|---|
etle mat in	-|-|---⌫-|
uosenirésuostrechemin	--|-|----|-----|-----|
liquelontdistlochtnou ferons	-|---|--|---|----||-|-----|
mais enplacesi	---|-|----|-|
ta ntlo ra	--⌫-|--⌫||
dist qui sun t uenu	---|-||---⌫|---|
side mourrerr ent	-|--⌫--------⌫--|
pains sansleuainlochtlor	----|---|-----|----|--|
etgrant mengi erf iren tl a nuit	-|----|-----⌫-|-⌫----⌫|-⌫|---|
puisontlia ngre ueu	---|--|-|-⌫---|--|
qu a nlaciten o ut p oint	-|-⌫|-|---||-⌫-|-⌫---|
maissies t oitamal	---|-|--⌫-⌫--||--|
pe chiesest	--⌫----|--|
iaconch irien sleselemans	-|-----⌫-----⌫|--|------|
se en f aisiensplus parlement	-|-|-⌫------|---|--------|
angr ealo cht d ist	----⌫||--⌫--|-⌫--|
astu g enre f il les nefil	-|-|-⌫---|-⌫--⌫--|-|--|
tousce usqu isontdetal igni e	---|--⌫-|--⌫|---|-|-|-⌫----⌫|
mest fuerde	---|---|-|
cestecitelie	----|---|--|
car nosuou lonsdestrui retout	--|--|---⌫---|-------⌫-|---|
cestecitecar	----|---|--|
gransclamour	----|------|
uenue en estnostresign ou r	----|-|--|-----|----⌫--⌫|
quinosaen uoié occirre	--|--||--⌫----|------|
le udou toutdestruire	--⌫|--|---|--------|
l oc h t sanissist	-⌫--⌫-⌫||-|-----|
eta cesgenres	-||--|-----|
qui cesfilles deui entpanr e	--|--|-----|----⌫--|----⌫|
distissiez t ostde ces	---|-----|-⌫--|-|--|
car di eusle s we lttout	--|--⌫--|--⌫|--⌫-|---|
a d onc ilcuiden tqueilmoque	-⌫-⌫--|-|------⌫|--|-|----|
quantteuspa rol es lor	----|---|--⌫---⌫-|--|
quantlandemai nfuaiourné	----||-------⌫|-|-------|
liang resuntalocht torné	-|---⌫-|---||----|-----|
lieuetoisusmoigne an	----|--|--|-----|-|
et tesfillesoulei	-|--|-----|-|--|
que parellesne so iesper i s	--|--|----|-|--⌫--|---⌫-⌫|
ouc es citesplain dep er is	-|-⌫-|----|----|-|-⌫--⌫-|
loch t sef ainnoitetf u	----⌫|-|-⌫------|-|-⌫|
li angrelon tparlamainprin s	-|----||--⌫|--|-|---|----⌫|
etsa fanm eetc es	-|-|----⌫|-|-⌫-|
yy fille s	-|-----⌫|
quen eso cisseno st ressir es	--||-|-⌫----|--⌫--⌫--|---⌫-|
fuerslem en errentet conduirent	----|-|-⌫--⌫-----|-|---------|
decesetpuissidi rent	-|--|-|---|-|--⌫---|
sauueta uiene	----|-|--|-|
deri e r ston	----⌫-⌫-⌫|--|
dos ne weille se ster	--|-|------⌫|-⌫---|
en nulle ude cestepartie	-|--|--⌫|-|----|-----|
mais enzzmo ntsauue ta uie	---|-|-|--⌫-|----|-|--|
queouces m aus tu neperi ssez	--|-|--|-⌫--|-|-|----⌫---|
puis ralochta sa ngres parlé	---|-|----|-⌫|-⌫----|-----|
sireseiaigracetrouué	---|-||-|----|------|
ettumesfai tmise ri cor de	-|-||-|---⌫|----⌫--⌫---⌫-|
ma uiedemortdescorde	-|--|-|---|-------|
queseienepu is est r esauué s	--|-|-|-|--⌫-|---⌫-⌫|------⌫|
seie nesui enmontm onté s	-|-|-|--|-|---|-⌫-----⌫|
quaucunsmaus	-|-----|---|
et q ue nemoireet m ors	-|-⌫-|-|----|-|-⌫--|
metai gn e	-|---⌫--⌫|
s ideles estune	-⌫|----|--|--|
quiestpetite	--|--|-----|
illuecf uiraipourmoi	-----|-⌫----|---|--|
petiteestsitepla it	-----|--|-|-|---⌫-|
ill uec uour oiepourt oiuiure	---⌫--|----⌫--|---|-⌫-|----|
ceadistdieusceste o ris o n	-||---|----|----|-⌫---⌫-⌫|
cellepa rdon	----|--⌫---|
f eraiiepou rletien	-⌫---|-|---⌫|-|---|
ha tetoitostlasoiessaus	--⌫-|--|---|-|----|---|
carf er e n epourai assaus	--|-⌫--⌫|-⌫|-----|-----|
ne tempestericescites	-|--------|---|----|
i usques tusoieslaentrés	-⌫-----|-|----|-|------|
lacitespourc eapelee	-|----|---|-⌫|-----|
ou liproudo nslocths	-|-|------⌫-|----||
se gor qui uaut con hatetoi	--⌫--|--|---|--|---|--|
l isoulau sestleué ssusterre	-⌫|------⌫|--|-----⌫|--|----|
etlochten segorentres erre	-|----|-|----|----||---|
nostre si re splutsussodome	-----|--⌫--⌫|---|--|-----|
donques ausi s	------|----⌫|
et sus gomorre	-|--|------|
fe ue tso uffrequiuintdouciel	--⌫|-⌫|--⌫----|--|---|--|---|
etce sc i tesa	-|--⌫|-⌫-⌫--||
tr ebuchié	--⌫-------|
laianste mpeste	-----|--⌫-----|
et br ul eet art	-|--⌫--⌫|-|--|
par lare gion	--|-|--⌫---|
d aut repart	|---⌫-|---|
ueissés descendrefeuetchar bon	-------|--------|--|-|----⌫--|
qui arttoute laregion	--|--|----|-|-----|
etl eshabitours des cites	-|-⌫-|--------|--|----|
adieustrestousenf e u srués	|----|-------|-|-⌫-⌫-⌫|----|
e tcequeuert	-⌫|-|--|---|
ad ieu stre stouten	|-⌫---⌫|---⌫----|-|
cend rem is	----⌫-|-⌫-|
feus e tsouffre sdoucieldescent	---|-⌫|-------⌫|--|---|------|
enlamenierequau printens	-|-|------|-|-|-------|
suet descendregresle sor to is	---|--------|-----|--|--⌫-|
lunepesoiel	|--|-----||
autrefant droit	----|---|----|
li zzgist m ors	-|-|---|-⌫--|
r ent feu etfumee	-⌫--|--|-|----|
san fui ttost agarant	|-|---⌫|---||-----|
maisl iangresuientmult	---|-⌫|-----|----|---|
parmei leuafan dant	-----|-|-|---⌫---|
l autresnefuiten nullep art	|-----|-|---|-|----|-⌫--|
que liangresnelai ttost	--|-|-----|-||--⌫|---|
liang redieufonttel	-|---⌫-|---|---|--|
etlidiable portentlesarmes	-|-|-----|------|--|----|
oruon toru ienentorreuont	-|---⌫|-|-⌫-----|-|-----|
enp lice nt e nferleparfont	---⌫----⌫-|-⌫---|-|------|
onquesen auril m enuement	-----|-|----|-⌫-------|
nechist pluieconuont	-|----|----|--|---|
setoutesle sgoutesdemer	-|-----|--⌫|-----|-|--|
estientfeure	------|----|
temp es ter	----⌫--⌫--|
a lo r martiaus	|--⌫|-------|
noise mene r	----|----⌫|
etpeussent ensambleforgier	-|-------|-------|------|
enzz sol leu ne si	-|-|--|--|-|-|
nepour r oie nt conliauersier	-|----⌫-⌫---⌫-|--|-|-------|
fon t et li angr eencit es	---⌫|-|-|----⌫|-|---⌫-|
quie n feuon ttoutram ene ́	--|-⌫|--|--⌫|---|---⌫---⌫|
uosqui pechiéschatiésuous	--|--|-------|-------|---|
ueoirlagrantirour	----|-|----|----|
quedieu s a quantuoit	--|----⌫||----|---|
permeno ir	-------⌫-|
enpechiene	-|-----|-|
napar soit	|----⌫---|
lagrantmisereou	-|----|-----|-|
quantlia rmedouc o rs istra	----|-|-⌫--|--|-⌫-⌫-|----|
pourpechiel es	---|-----|-⌫-|
afait destruire	|---|--------|
icesc ite setenfeubruire	---|-⌫---⌫|-|-|--|-----|
ainsis a r dratrestoutl e mo nt	-----|-⌫-⌫--|-------|-⌫|--⌫-|
finquantdes truiralom	--|----|---⌫-----||-|
l ochtoitlesescrois	-⌫---|--|--|------|
