 #META#TextURI	-⌫-----|------|
S Geo rg DeG	-⌫---⌫--⌫--|
M yen uo ientpar	||--⌫--⌫---|--|
leursentence.	---|--------|
SaintGeo rge distalames chine	----|---⌫--|---||-|---⌫----|
Filleuousestessar inzine	----|---|----|---⌫-----|
M aisseuousu oul e z enDieu croire	-⌫--|-|---|-⌫---⌫-⌫|-|---|-----|
Leserpentne	-|------|-|
uouspuet mal fai re.	---|---|--|---⌫--|
Sireiycroieray uraiement	---|||-------|--------|
Mepuet ildon c	-|---|-|---⌫|
estre gara nt	----|----⌫-|
matre sdoulce	-|---⌫|-----|
Menez my e t ieuous	----|||-⌫|-|---|
Ilznalerentgairesa ua nt	--||------|-----|-⌫--⌫-|
Quilzneuei ssent leserpent.	-|--|-|---⌫----|-|-------|
D roitala cite ́t ie ntsauoie	-⌫---||-|----⌫|-⌫--⌫-|-|---|
lu idemouroit	--⌫|--------|
Sain tGeorgeluidis thaultement	----⌫|-----|--|---⌫|---------|
D eparDieu	-⌫|--|---|
leroytoutpuissant	-|--|---|-------|
Teco niurquen aiespouoir	-|--⌫---|--||---|-----|
Pag eu0 1P161	---⌫---⌫----|
Que dillecte puissesm ouuoi r.	--||----|-|------|-⌫-----⌫-|
Fil led ist	---⌫-|-⌫--|
SaintGeorge prenez	----|-----|-----|
Laceinturequeceinteauez	-|-------|--|-----|---|
Etl a gettezhardiement	-|-⌫|-----|---------|
Entourle co l	-----|-|--⌫|
aceserpent.	|-|-------|
Saceintur eaucolluigetta	-|-------⌫|-|--|--|----|
Oncque s lese rpentne bouga	------⌫|-|--⌫----|-|----|
Dro ita la ui lle le n menerent	---⌫-||-|--⌫--||-⌫|-------|
Lesgen s gra nt	--|---⌫|---⌫-|
ioyee ndeme nerent.	---|-⌫|-|--⌫------|
Lepucel le dist asonpere	-|-----⌫-|---||--|---|
Sirecroiezuou setmamere	---|-----|---⌫|-|-|---|
O uDieu ac ebon	-⌫|---||-⌫|--|
ch e ualier	--⌫-⌫-----|
Grant pouoira	----|-----||
de uousaidier.	-|---|------|
To ute slesge nssagenoulerent	--⌫---⌫|--|--⌫-||-----------|
ASaintGeorgem ercy criere nt	|----|-----|-⌫---|------⌫-|
PourDieuquiloc c iel a beste	---|---|-|-|--⌫-⌫-|-⌫|----|
Tropparestlaidee t deshonneste.	---|--|--|----|-⌫|-----------|
Lor slaferysansdemou rance	---⌫|-|---|---|-----⌫----|
Parlec hiefdu	--|-|-⌫---|-|
ferdes a lance.	--|-|-⌫|-----|
Touscr i erentap lai ne	---|--⌫-⌫----||-⌫---⌫-|
No uscroiron s le DieuSain t Geor ge	--⌫-|-------⌫|-|---|----⌫|----⌫-|
Eniceltemps donti ayparle ́	-|---|----|---||-|-----⌫|
Quele bonsaint	--|-|--|----|
futmartiré	--|-------|
Estoi ent trois roys dun pays	-----⌫--|----|---||-|---|
Ensemble ont faituncompro mis .	-------|--|---|-|------⌫---⌫|
Dyablesonten	------|--|-|
l eurs que rolle s	-⌫---|---⌫-----⌫|
croientf aussesydoles.	------|-⌫-----|------|
Chascundes trois auoit iuré	------|--|----|----|----|
Que trestous ceulxde leur regné	--|-------|----|-|---|-----|
croiroientenleursydoles	---------|-|----|-----|
Etquinen terroie ntesquer oles	-|--||--⌫-------⌫-|-|----⌫---|
Q u eie uo us	-⌫-⌫|-|--⌫-|
aydeuantnommés	-|-----|------|
Peinesleurso ntap par eillé es	-----|---|--⌫-|--⌫---⌫------⌫-|
Symal eset siengoisseuses	-|---⌫-|-|-|-----------|
Q uach ascun son te spouenteuses.	-⌫||--⌫----|---⌫|-⌫------------|
Quantlescrestiensl o ntouy	----|--|--------||-⌫-|--|
C ha scun agrantpa ourd elui	-⌫--⌫---||----|--⌫--|-⌫|--|
N yacellui qui osecroire	|||-----|--|--|-----|
EnDieu nen point des on	-|---||-|----|-|-⌫-|
Il aduin tque lempereur	-|-----⌫|--||-------|
Qui du payse stoit seig neur	--|-|---|-⌫----|----⌫---|
EstoitappellaDac ien	-----|------|---⌫--|
PAGEu01P 162	--------⌫--|
E t futmoultmescreantpaien.	-⌫|--|----|--------|-----|
Cr ierfist par toutsonempire	--⌫--|---|--|---|--|-----|
Que ceulxfus sent misamarti re	--|----|---⌫---|--||-----⌫-|
Quic ro iroientNostreSei g neur	--|-⌫--⌫------|-----|---⌫-⌫---|
Cresti ens sont agrantdouleur.	------⌫--|---||----|-------|
Lyemperere	-|-------|
Otfaitfa ire parson engien	-|---|--⌫--|--|--|-----|
dor etda rgent	|-|-||-⌫----|
Pou rfaireaou rera sa gent.	---⌫|----|---⌫--||-|----|
Abulonluiotmis	-----|--|-|--|
Hault lontmisdessusun perron.	----||--|--|-----|-|------|
Soubzl uiso ntlesa utresydoles	----|-⌫-|--⌫-|--|-⌫----|-----|
Ceulxq ui lescr oientson t fo lze tf oles.	----|-⌫-|--|--⌫----|---⌫|--⌫-|-⌫|-⌫----|
I lzne croient mie queDieux	-⌫-|-|------|--|--|----|
Fei stla te rre nelescie ulx.	---⌫-|-|--⌫--|-|--|---⌫---|
NostreSeigneurqui	-----|-------|--|
fait to usbi en s	---|--⌫-|--⌫--⌫|
Pou rexaulcier lescrestiens	---⌫|--------|--|--------|
Yenuoiaunmessagier	|-----|-|--------|
Sai ntGeorge otnom lecheualier.	---⌫-|-----|-|--|-|---------|
f uuenu aupays	-⌫|---|-|---|
O ul em pereu ra uoittramis	-⌫||--⌫-----⌫|-⌫---|-----|
Ses messa g espourdemander	--|-----⌫-⌫-|---|-------|
peustnulzcrestienst rouuer	----|---|--------|-⌫-----|
Nuln e siosoi t demous trer	--|-⌫|||----⌫|------⌫---|
QuantSaintGeorgedisthau ltement	----|----|-----|---|---⌫------|
Cr o iezenDieu	--⌫-⌫--|-|---|
omn ipotent	---⌫------|
Saint Georg e eustfine ́e	----|-----⌫|---|----⌫-|
Laparol lequ ot commencée	-|-----⌫-|-|-|---------|
Pour con forterlescr estiens	---|---⌫-----|--|--⌫------|
Lorentsaisyle smescreans.	|----|----|--⌫|---------|
L un l ebouta auantautrearriere	|-|-⌫|----|----|----|------|
E tl amainental	-⌫||-------|||
Enleur loyo rientcommechi en	-|---|--|-⌫----|----|---⌫-|
RoyemperereDacien	--|-------|-----|
ue ez c yunc restientraytre	--⌫-|-⌫|-|-⌫------|------|
et uostre loyde spi te	-|-----|--|--⌫---⌫-|
Quantlemp erere	----||---⌫----|
uitl ymage	--||----|
Decil questo it d eDieumessage	-|--|-|----⌫-|-⌫|---|------|
Moult luisembla de	----|--|-----|-|
b elle forme	-⌫---|----|
Gr antfaina	--⌫--|---||
qu euersl uisetou rne.	--⌫|---|-⌫-|-|---⌫---|
Siluiadem andéson nom	-|--||---⌫----|--|--|
Commenti l estsihardihom	------|-⌫|--|-|----|--|
PAGEu 01P163	-----⌫-----|
Quil os edire aucontraire	-|-|--⌫|---|-|--------|
Desondieuqu ilauoi tfait fa ire .	-|--|---|-|-|----⌫|---|--⌫---⌫|
nomGeorgeets uycrest ie n	--|-----|-|-⌫-|-----⌫--⌫|
uostredieuneuaultpasunchi en.	-----|---|-|----|--|-|---⌫--|
D ieu quifisttout l emonde	-⌫--|--|---|---|-⌫|----|
De quito ut bien	-|--|--⌫-|---|
etgrace habonde.	-|----|-------|
Lempereredistma intenant	|-------|---|--⌫-------|
Georg emoultes tes belenfa nt	-----⌫|----|--⌫--|--|----⌫-|
Mais moult auezpoudesciant	---|----|---|--||------|
Qu ale zmondi eusifo rtblasmant.	-|---⌫|--|--⌫-|-|--⌫-|--------|
EnAbulonm ondieucroiez	-|-----|-⌫-|---|-----|
soiezriches	----|-----|
Sire maisaore zIhe sucrist	---|---|----⌫|---⌫------|
au xarbres	--⌫|-----|
por t e rfruit	---⌫-⌫-⌫|----|
Etfait crois tretou s	-|---|-----⌫--|---⌫|
autresbiens	-----|----|
De q u oyuiuent touscresti ens	-|-⌫-⌫-|-----|---|------⌫--|
Etces ydole shorsgetez	-|--|-----⌫|---|----|
est e s siredoub tez.	---⌫-⌫|-|------⌫---|
Quantlemperere lotouy	----||-------||-|--|
Au cue rfutdoulentet	-|---⌫|--|------|-|
A celleheure tint	|----|----|---|
Cuidaferir le damoisel	----|----|-|-------|
Par myle piédeuantl e	---⌫-|-|---|-----|-⌫|
Lecou tel res s ort maintenant	-|---⌫--|---⌫-⌫--|---------|
Dessu s lepiédelemperere	-----⌫|-|---|-||-------|
Parlagracede Dieu le p ere.	--|-|----|-|---|-|-⌫---|
lemperere ceuit	|-------|-|--|
Si le tintamo ult gran tdespit.	-|-|---||--⌫--|----⌫|------|
Son di euAbul onaiuré	--|--⌫-|----⌫-||----|
Que Georgee nm ale heur efune ́	--|-----|-⌫|-⌫--|----⌫|-|--⌫|
afaitgetier	|---|-----|
Etpuisla fait crucifier	-|---|||---|--------|
Etli fist m ettreen	-|-|---|-⌫----|-|
lieudetombe	---|-|----|
Sur lepisu nemole r onde.	--|-|--|-⌫-|---|-⌫----|
Une roeot faitfai re	--|--|-|---|---⌫-|
Ce ll uiqui est d eD ieucontraire	--⌫--⌫-|--|--|-⌫|-⌫--|--------|
Qu i fut a bonsrasouers	--⌫|--||---|-------|
trenc hans	-----⌫---|
Pour des truirelescr estiens.	---|---⌫-----|--|--⌫-------|
Celluifutli ezpar les	-----|--|--⌫-|--|--|
Qui est oitde	--|---⌫--|-|
Dieu aduocas	---|------|
Laroe partendixtronco ns.	-|--|---|-|--|------⌫--|
Lemperereetses comp aignons	|-------|-|--|----⌫------|
PAGEu01 P164	-------⌫---|
uirentquil ot couppélateste	-----|-|-|-|------|-|----|
Chascu ndeulx	------⌫||---|
en menagrantfe ste	-|---|----|--⌫--|
Et dirent tou s Georg ees t mort	-|-----|---⌫|-----⌫|--⌫|---|
SonDie un ypuetmettre confort .	--|---⌫|||---|-----|-------⌫|
Lors descenta grantconpa i gnie	---|------||----|-----⌫-⌫---|
Da ngesle filz Sainte Marie	|-⌫---|-|---|-----|----|
Etressusc ita son	-|-------⌫--|--|
di s tcertainement	--⌫-⌫|-----------|
Ge orgeamyne tesbay	--⌫---|--|-||----|
Par troisfoisla mortreceur as	--|----|---|-|---|------⌫-|
auraspou r tonseruise	----|---⌫|--|------|
La ioy eque Dieut	-|---⌫|--|---||
a pro mise.	|---⌫----|
Georgeresuscité	-----|---------|
Deu ant l emperere estalé	---⌫--||-------|--|---|
Etl uidistque t out sontrauail	-|-⌫-|---|--|-⌫--|--|------|
Nepri sepa s unchief d	-|---⌫-|--⌫|-|----||
unepainede nfer	--|----||-⌫---|
saroede fer .	-|--|-|---⌫|
Quantlemescreant lot	----|-|--------||-|
Saic hi ezqui lfutmoultesbay	----⌫--⌫-|-|-⌫|--|----|----|
Carill ot ueu en dixpa rs	--|-||-|--|-|--|--⌫-|
Lorslui di stque il iouo itda rs .	---|--|--⌫-|--|-|----⌫-||-⌫--⌫|
Il lecauoi tun nobleconte	--⌫--|----⌫|-|----|----|
n otmie honte.	|-|--|-----|
Il luiaditaha ulteuoix	-|--||--||--⌫---|---|
Georgeiecroyle Die u que cro ys	-----|-|---|-|---⌫|--|---⌫-|
Etmo yet toute ma m esn i e	-|--⌫|-|----|-|-⌫---⌫-⌫|
Creonscelluiqui te	-----|-----|--|-|
L emper ereloreaco mmandé	|-----⌫--|---||--⌫------|
Q ue George	-⌫-|-----|
soitemp risonné	---|---⌫-------|
osteld unepoure	----||--|----|
Pourluifa ire greigne ur di f fame	---|--|--⌫--|-------⌫-|--⌫-⌫---|
Etsideffentqueneluid oi gne	-|-|------|--|-|--|-⌫--⌫--|
Chosedontsau i e	----|---|-|-⌫-⌫|
sou sti engne.	---⌫---⌫-----|
SaintGeorgeauoitm o ult	----|-----|----|-⌫-⌫--|
grant fain	----|---|
deman dapain.	-----⌫-|----|
E lledistqu	-⌫--|---|-|
ell enenapoint	---⌫|--||----|
E l len e sc etqui luiendoi nt.	-⌫-⌫-|-⌫|--⌫-|--|--|-|---⌫--|
Queldi eucroistuamiechiere	---|--⌫-|----|-|---|-----|
“Abulonledieu lemperer e.	------|-|---||-------⌫-|
Cellefemmea uo itunenfant	----|----|-⌫--⌫-|-|-----|
S ourdmueta ueug le impoten t.	-⌫---|---|-⌫----⌫-|-------⌫-|
PAGEu01P165	----------|
La femmedistauprisonnier	-|----|---|-|---------|
“AmyGeorgeie te	---|-----|-|-|
Garysmon enfan tiecroiray	----|--|-----⌫|-|------|
LeDieudu cielquet ucrois.	-|---|-|---|--|-⌫|-----|
S a int George	-⌫-⌫--|-----|
sidis t a l	-|---⌫|||
“Depar Ihesucristte	--|--|---------|-|
Apperte ment sans demourance	-------⌫---|---|---------|
Regarde parleaiesoyence.	------|----|---|------|
parlaoy etuit	----|-|-|--|
ASaint Georgema intenant dist	|----|-----|--⌫-------|---|
“L esuertusdeton	--⌫-|-----|-|--|
Sontgreig neursqu e denulseigneur.	---|-----⌫----|--⌫|-|--|--------|
Chascunuitlemiracleg rant	------|--|-|------|-⌫---|
Que Dieuotfa itdessu sl enfant.	--|---|-|--⌫-|-----⌫||------|
Plus demil s ensont con uert is	---|-|--||-|---|---⌫----⌫-|
ADieurendent gracee t mer cis .	|---|------|----|-⌫|---⌫---⌫|
Saint Georgee ntra enunechambre	----|-----|-⌫---|-|--|------|
Ouil trouuade la	-|-|-----|-|-|
Une tabletoutechargée	--|----|----|-------|
auoitappareillée.	----|------------|
Leiourdap res l en uoia q u erre	-|---||--⌫--||--⌫---|-⌫-⌫---|
Lemperere quiuoulten querre	|-------|--|----|--⌫-----|
Commentil con uer tist s esgens	------|-|---⌫---⌫---|-⌫-|---|
SondieuAbulonyestperd ans.	--|---|-----||--|----⌫---|
“Me screantdeq uoyparies t u	---⌫------|-|-⌫--|-----|-⌫|
Dieuae n luis igrant	---||-⌫|--|-⌫|----|
Quel e p euplelapparcoi tbien	--|-⌫|-⌫----||--------⌫|---|
IlestaDie u tu	-|--||---⌫|-|
n y as rien.	||-|----|
Lemperereua	|-------|-|
“uault m ieulx	-----|-⌫----|
tonDie uque Tauergant	--|---⌫|--|--------|
SaintGeor geluirespont sansfail l e	----|----⌫-|--|------|---|----⌫-⌫|
“Cellu i ne uaultpasdemi maille	------⌫|-|----|--|---|-----|
D e cetoseiebien	-⌫|-||--|-|---|
MonDieu fis tcielterreet me r	--|---|---⌫|---|----|-|--⌫|
Et toutquanqueilyap partient	-|---|------|-||--⌫-------|
fondale firmament.	----|-|---------|
Lemescreantdistautres foiz	-|--------|---|-----|---|
“ SecelluiD i euen quitu	-⌫-|-----|-⌫-⌫-|-|--|-|
Dont tunous	---|-|---|
uas ainsip resch a n t	--|----|-⌫-----⌫-⌫-⌫|
Auertu et p ouoirsi grant	|----|-|-⌫----|-|----|
puissefairepo rterfr uit	-----|----|--⌫---|--⌫--|
Aces arbresquetu	|--|-----|--|-|
PAGEu 01P166	-----⌫-----|
Qui sontseezpas sez a	--|---|---|---⌫--||
Iecro iraytes	-|---⌫---|--|
serm o n nemens.	----⌫-⌫-⌫------|
Bienscayque	---|---|--|
tunecro ir as mie	-|-|---⌫--⌫-|--|
A ucu eras	-⌫|--⌫-|-|
Q ue el lene	-⌫-|--⌫-|-|
po urroitsouffrir	--⌫-----|-------|
deussesconuer tir.	------|------⌫---|
Maist outesuoies pour ac omplir	---|-⌫----|----|---|--⌫-----|
Atoutlepeupl eleurd esir	|---|-|-----⌫|---|-⌫---|
Ie en fer ay	-|-|---⌫-|
Ma parolle	-|------|
n est miechiere.	|--|--|------|
Le prodon s estagenoullié	-|-----||--|----------|
Deuotem entaDieup rié	-------⌫--||---|-⌫---|
Queillui plaiseparsagrace	--|-|--|-----|--|-|----|
Que po urluic e miracle	--|--⌫-|--|-⌫|------|
Quants apriere	----|-⌫|-----|
fu tfinée	--⌫|-----|
Dieu asag racedemoustre ́e.	---||-|-⌫---|---------⌫--|
Lesarbresquifure nt couppez	--|-----|--|----⌫-|------|
Plusdex xans	---|-|-⌫|--|
auoit passez	----|-----|
N eon cques	-⌫|--⌫----|
nauo ientportéfru it	|---⌫---|-----|---⌫-|
uerdir entetporteren t t uit.	------⌫--|-|--------⌫|-⌫---|
Toutlepeuple les regarda	---|-|-----|--|------|
Chascun si senes merueilla	------|-||-|--⌫--------|
escriere nta haulteuoix	--------⌫-||-----|---|
“Nouscreon s leDieu	----|-----⌫|-|---|
quetucrois	--|-|----|
Dacie nn ecreoit neant	-----⌫|-⌫|-----|----|
Etdi stquecestenchante ment.	-|--⌫-|--||--|--------⌫----|
GeorgedistseDieuluiait	-----|---|-|---|--|--|
AinsestcedeparIhesuc rist.	---|--|-|-|--|------⌫----|
Dacien luidist enriant	-----|--|---|-|----|
Georgetu esmo ultbelenfant	-----|-|-|--⌫--|--|-----|
prie quet usacrifies	---|--|-⌫|--------|
Mesdieuxet que nem	--|----|-|--|-||
Ce stAppolinet Tauergan t	|-⌫-|------|-|--------⌫|
Et Au bulonqu i	-|--⌫----|--⌫|
estplusgrant.	--|---|-----|
Ieuueilquai llespa r monempi re	-|----|-|--⌫---|--⌫|--|----⌫-|
Sa nsce que	--⌫-|-|--|
desdi re .	-----⌫--⌫|
Sa i n tGeo rgerespon dibriefm ent	--⌫-⌫-⌫|---⌫--|------⌫-|------⌫--|
Seto u tl epeu p lesic o nsent	-|--⌫-⌫|-⌫|---⌫-⌫-|-|-⌫-⌫----|
Ie sa crifiera y tesymages	-|--⌫--------⌫|--|-----|
Si yauramoult de	-||---|----|-|
dommages .	--------⌫|
empereresilo uy	-------|-||-⌫-|
Deioiefutto utreplany	-|---|--|--⌫-|------|
PAG Eu01P167	---⌫-------|
Carilcuidoit auoiruaincu	--|-|------|----|-----|
Celpo urquiDieufais oit	--|--⌫-|--|---|----⌫--|
La femmeui ntosonenfan t	-|----|--⌫-||--|-----⌫|
Etsescriantmoulthaultement	-||-------|----|---------|
Geo rgeamiscomm ent	---⌫--|---|----⌫--|
Bien gar de ton seign eu r sans faill e	---|---⌫-|--|-----⌫--⌫|---|-----⌫|
SaintGeorgeregarda lenfa nt	----|-----|------||----⌫-|
E tlui a fai tcom ma nd ement	-⌫|--||---⌫|---⌫--⌫--⌫----|
uadeparDieuquant	-|-|--|---|----|
tu uould ra s	-|-----⌫--⌫|
Tou s tempsamy	---⌫|----|--|
deDieuseras .	-|---|-----⌫|
Lafemme sescriaahault	-|----||-----||----|
Ha SaintGeorgele	-|----|-----|-|
TonD ieulaisses et a granttort	--|-⌫--|------|-||----|---|
Quit aressuscité	--|||----------|
E tuasa ourer le sdieuxfaulx	-⌫|--|-⌫----|--⌫|----|----|
Moultten pourroit uenirgransmaulx	----||-|-------|----|----|----|
SaintG eor geentraen la	----|-⌫---⌫-|----|-|-|
Ou lesdieux estoi enten	-|--|----|-----⌫--|-|
Et leur di st deuantlemperere	-|---|--⌫-|-----||-------|
Ieuous c oniurde	-|---|-⌫----|-|
Dieulep ere	---|-|-⌫--|
Qu euou smediez la	--⌫|---⌫|-|---|-|
Q ueuous a uezsansdemoura nce.	-⌫-|---|-⌫--|---|-------⌫---|
L orsluirespond iune uoix	-⌫--|--|-------⌫|--|---|
Nousauonsl e	---|----|-⌫|
pouoir queuois	-----|--|---|
De mene rles gensa c ontraire.	-|----⌫|--|---||-⌫-------||
Et des to urnerdeleur preu	-|---⌫--⌫----|-|---|---|
SaintGeorge	----|-----|
get teemmy la	---⌫-|---|-|
Tres touslesdieuxdela	----⌫---|--|----|-|-|
E tdistque	-⌫|---|--|
