formIcicoume ncelauiede seint Gile	---|--|-----⌫--|-|--|-|----|---|
sine lifaillimiegraceqe nos treSires	-|-|-|-----|--|----|-|---⌫--|----|
nel aornast de	-||------|-|
totesbon esmeurs ensambleos agrants c ien ce	----|---⌫-|----|-------||-⌫|----|-⌫-⌫---⌫-|
Deforsa pa ro ientse s bonesoeurespar	-----|-⌫--⌫--⌫---|--⌫|----|-----|--|
ce qil lesfesoit de denzluiestoit la	-||-|--|-----|--⌫---|--|-----|-|
charitéqi deb ienfere le som onoit.	-------|-|-|-⌫--|---|-|---⌫----||
Unior a uintqelib onsenfesal oita l	-|--|-⌫---|-|-|-⌫--|----|--⌫--|||
eglisse sitroua unma ladeenmi	------|-|----|-|--⌫---|---|
l acitégisant	-⌫|----|-----|
enun e places ire qeroit lesaumosnes	-|--⌫|----|-⌫|--⌫-----|--|-------|
aceus qipar il u e c	|---|-|--|--⌫-⌫-⌫|
trespassoient.	------------||
Qantlisei nzenfesoïlauoizdelmalade	---|-|---⌫-|----|--|-|---|--|-----|
ilen otpit iéet mi sericorde sitrest	-|-|-|---⌫--|-|--⌫--------|-|----|
ilauoituestue si	-|----|-----|-|
carilnauoitaut re cho seqil doner li	--|-||----|---⌫-|---⌫-||-|----|-|
Tanto st comli ma lades	-----⌫-|--|-|--⌫----|
lotreceüei l	|-|------|-⌫|
lauestisien	-|----|-|-|
fud urementliez	-|-⌫------|---|
etioieuscaril fumein tenantsanez de	-|-----|--|-|-|----⌫-----|----|-|
sa maladi e .	-|------⌫||
son o steletlen li deman da qesaco te	--|-⌫---|-||-|-|-----⌫-|-|-|--⌫-|
estoitdeu e nue.	-----|---⌫-⌫--||
Ilrespondiqeunsqiil miene	-|-------|-|--|-|-|--|-|
conoissoi t liauoittolue	---------⌫|-|----|----|
Sesperese tsa me reqi mol t lamoienttendre ment	--|----|-⌫|-|--⌫-|-|---⌫||------|------⌫---|
car ilnauoientp lusd	--|-||------|-⌫--||
enfanzlip ardone rentc est	-----|-|-⌫------⌫---|-⌫--|
meffetl egierement	-----|-⌫---------|
mi emoltlonc ten sqeson	--⌫|---|---|---⌫|-|--|
pe reet sa	--⌫-|-|-|
meremorurentetdeuant	---|-------|-|-----|
ceqilmorussentsot illeureq i l	-||-|--------|--|-||---||-⌫|
deuoientmorirparleseint	-------|----|--|-|----|
Espe rit qi li	----⌫--|-|-|
E t ilqefist Il pristtotsonpatremoi ne	-⌫|-|-|---|-|----|--|--|--------⌫-|
li estoitremés si en fis tnostre	-|-----|-----|-|-|---⌫|-----|
Si gnor oirsiledeparti porl	--⌫---|--|-|-|------|--||
am ornostreSignorIe suCristet	--⌫-|-----|-----|--⌫-|----|-|
donat ou tas poures besoigneus .	---|-⌫--⌫|-|-----|---------||
est oitu neme rueilleq ilenrich isso i ten apourean tuoire	---⌫--|-⌫-|--⌫------||-|------⌫----⌫-⌫|-|--------⌫|----|
parceqi l donoitleschosestemporeu sporle s	--|-||-⌫|-----|--|-----|--------⌫|--|--⌫|
parm enables aq erre.	----⌫------|--⌫---||
auintunior qilrepera	----|-|--||-|-----|
deleglis se siencontra unhomedech etiue	-||-----⌫-|-|-------|-|---|-|--⌫----|
samblancecar unsse rpenz l	--------|--|--|--⌫----||
auoitpointet enuenimési	----|----|-|--------|-|
enestoitenf lésoutr e	-|-----|---⌫---|----⌫|
Qan tliseinzhomleui til	---⌫|-|----|--|-|--⌫|-|
fistanostre Signour s oris onporce luiet	---||-----|------||----⌫-|--|--⌫--|-|
lo rsli fu santérendue	--⌫-|-|-|-----|-----|
Etdontl icoman daseinzGillesli	-|---|-⌫|-----⌫-|----|-----|-|
be neoiziou e nceaus qilenren distgracesa	--⌫----|---⌫-⌫-----||-|-|---⌫---|-----||
nostreSignorDeuparcuipit i éetpar	-----|-----|--|--|--|---⌫-⌫-|-|--|
cu i mise ricorde ilestoit c ur ezet gueriz	--⌫|----⌫------|-|-----|-⌫--⌫-|-|-----|
Parun d ie mence apré sce auintqeu ns	--|-|-⌫--⌫----|-----⌫|-|----|-|-⌫-|
d eruez estoitenlegli sseqilideables	-⌫----|-----|-||----⌫--|-|-|------|
estoit ent rezelco rzqi	-----|---⌫--|-|--⌫-|-|
ledemenoitsicruelm ent	-|-------|-|------⌫--|
qill efaisoit cr ier	|-|-⌫|------|--⌫--|
asi hau tes	|-|---⌫--|
t uitc ilde	-⌫--|-⌫-|-|
leglisseen estoienttroble zmess einz Gilles	|------|-|-------|------⌫|--|-⌫---|-----|
qila estoit secouchaa te rr epor fe re	-|-|-----|-|-----||--⌫--⌫|--|--⌫-|
s icomila uoit acostume.	-⌫|--|-|-⌫---||------||
fureleu eziluintdeuantcelui	-|-----⌫-|-|---|-----|----|
sicoman daal mal igneesperitqu iliss is tdeson	-|-----⌫-|-|---⌫---|------|-|-|---⌫--⌫|-|--|
corsdeuant tozceus	---|-----|--|---|
qilaestoient .	-|-|-------||
n osatresp a sserleco nmandem entdel seint	|--|-----⌫-⌫---|-|--⌫-------⌫--|--|----|
homeeinzde gue rpiceluiqil	---|---|--⌫---⌫--|----||-|
mouto riblementauoitenuaïsi senpartitoutcriant	---|-⌫--------|----|-----|-||-|----|---|-----|
etmuiant etcilremestguerizde sa m ale	-|-----|-|--|-----|-----|-|-|-⌫--|
a uenture.	-⌫------||
Tres celiorenaua nt nepotla uer tuz	---|--|--|-|---⌫-|-|--|-|---⌫--|
d elseint hom e estrece leeei nzuenoienta lui	-⌫-|----|---⌫|----|--⌫--|--⌫-|-------||--|
quienfermet ezauoientet lireqeroien tconsel	--|--------⌫-|------|-|-|---------⌫|-----|
etaïde etil lor	-|----|-|-|--|
aidoita toz de lor gra nz enfermet ez	-----||--|-|--|---⌫-|--------⌫-|
etsecoroitpar	-|-------|--|
lagr ant uertuqeDex	-|--⌫--|----|-|--|
liau o itdon ee .	-|--⌫-⌫-|---⌫-||
Puisqela loeng ede sesg ranz	---|-|-|-----⌫|-|--|-⌫---|
fez fu seüeet	--|-|----|-|
espars epar	------⌫|--|
totesles﻿partiesdeGreceil cremiqesa m erit e	----|--|-------|-|----|-|----|-|-|-⌫----⌫|
nefusta m enui siee naucunemanie reparlaloe nge	-|---|-⌫-⌫----⌫--|-⌫|-----|-----⌫-|--|-|---⌫--|
conli fesoit si se	|-|-|-----|-|-|
porpensaqildeguerpiroit sa terreet sacont ree et	-------||-|-----------|-|----|-|-|----⌫--|-|
trespassero i t lamer	-----------⌫-⌫|-|--|
enaucuneregion etmenroitu ie	-|-----|-----|-|------|-⌫-|
solitaire.	--------||
Etpor seruirnost reSignor	-|--|-----|----⌫-|-----|
plus franchementdontsenala	---|----------|---||-|--|
auriu agedela	-|---⌫--|-|-|
fist sesorissonsanostre Signo r	---|--|-------||-----|-----⌫|
qilli aidasta	|-|-|-----||
aemplir sonpro posement .	------|--|---⌫-------||
Ilnotmie longem ent laesté qan til	-||-|--|------⌫--|-|----|---⌫|-|
uitunenef loingen lamercui	--|--|--|----|-|-|--|--|
t empesteau oitacu e llieqededenznau oitsi sagem arin ier	-⌫------|--⌫--|---⌫-⌫---|-|-----||--⌫--|-|---|-⌫----⌫--|
qicons eilse üst	-|----⌫--|--⌫---|
d esau ieeinz	-⌫|-|-⌫-|---|
estoienttuitdesesperez neautre	-------|---|---------|-|----|
chosen atendoi ent	----||-------⌫--|
qe mortprocheine.	-|---|--------||
Qantli seinzhom l es uit e n tel dolo r	---|-|----|--|-⌫-|--|-⌫|--|----⌫|
etent elea ngoisse	-|-|-⌫--|-⌫------|
il fista nostreSignors	-|---||-----|-----||
orisson poreus	------|--|--|
qille sdeliur astdeceledoleu rou	|-|--⌫|------⌫--|-|---|-----⌫|-|
ilest o ient﻿parsagrant mi sericorde.	-|---⌫-⌫---|---|-|----|--⌫--------||
Lorsfu apesiela	---|-|-----|-|
t e mpesteetciluindrenta portqi	-⌫-⌫-----|-|--|-------||---|-|
grantioi edemen oientpor ceq	----|---⌫|-----⌫----|--|-||
ilestoientdela grant male	-|-------|-|-|----|---|
aue ntureeschapé etde liuré.	---⌫----|-------|-|--⌫-----||
Q anti l uire nt	-⌫--|-⌫|----⌫-|
leseint home	-|----|---|
qiencore estoitenorissons	-|-----|-----|-|-------|
sepens erentqepar ses	-|----⌫----|-|--|--|
proierese stoie n t iles chapezdesgranz	-------|-⌫-----⌫-⌫|-|--⌫-----|--|----|
periu zouil	-----⌫|-|-|
Qantill i orentde mandéqi i l estoitet	---|-|-⌫|----|--⌫-----|-|-⌫|-----|-|
por quel e	--|----⌫|
ochoison il estoit uenu z auport	-------|-|-----|----⌫|-|---|
d e lamerlis e inz	-⌫|-|--|-|-⌫-⌫--|
homlorrespondi	--|--|-------|
qilestoit crestien s e tqil	|-|-----|--------⌫|-⌫||-|
uo loitalera	--⌫---|---||
Dexlenuoloitdoneruertu	--||-|-----|----|----|
lessier ent tuitl ima r inie rcheoiras espiezetsi	-------⌫--|---|-⌫|--⌫-⌫----⌫|-----||-⌫-|---|-|-|
distrent Nos rendo ns gracesa nostreSignorq ilnos	-------|--|-----⌫-|-----||-----|-----||-|--|
deigne d oner	-----|-⌫---|
telcompaignie qin osadeli urez	--|---------|-|-⌫-||----⌫---|
peri lounos esti o nset qinous	----⌫|-|--|----⌫-⌫-|-|-|---|
d ef fendrad esgranz tempestesde la	-⌫--⌫-----|-⌫-|----|--------|-|-|
no sde uon s	--⌫|--⌫---⌫|
tr e s pas ser.	--⌫-⌫-⌫---⌫--||
E tb iensachiezqenos som esdeuers	-⌫|-⌫--|------|-|--|---⌫-|-----|
R omeetseuosiuolezuenir no suos	-⌫--|-|-|--||----|----|--⌫|--|
pa sseronsuolentiers en samble o	--⌫------|---------|--⌫-----||
nul loierqe nosen	--|----|-|--|-|
demandomes etensambletotc e uo s donronsnosa	---------|-|-------|--|-⌫|--⌫|------|--||
oésuostre corset	---|-----|---|-|
amenister rons tot cedont uosaurez	---------⌫---|--|-|---|--|----|
besoin g .	------⌫||
Qantliseinz hom oï ce	---|-|----|--|--|-|
beneïnostreSignor	-----|-----|-----|
etrendigraceset a	-|----|-----|-||
lu ico ma ndason cor s e t	--⌫|--⌫--⌫--|--|---⌫|-⌫|
sescompaignons.	--|----------||
Et lors en tra	-|---|--⌫--|
l ie zetheit ie z en	-⌫--⌫|-|----⌫--⌫|-|
lanefsitendirent lor uoiles	-|--|-|--------|--|-----|
ue nzi feri bons etdroiturie r sq i tostles	--⌫-||---|---|-|---------⌫-⌫|-⌫|---|--|
ot partiz de la terre	-|-----|-|-|----|
E in s intcoru re nt .	-⌫--⌫-⌫--|----⌫--⌫-||
nuizabo nu entet a pluiseurs uoilestendues	---||--⌫|-⌫--|-||--------|-----|------|
tant q ilar r i uerenta	---||-|--⌫-⌫-⌫-----||
u n eisle.	-⌫-⌫|---||
Laissi rentli	-|----⌫---|-|
notonie rpor pre ndre	-------⌫|--|---⌫---|
e ue douceetautreschoses	-⌫-|----|-|-----|-----|
qiboneslorf ussentsi lles i tro uassent	-|----|--|-⌫-----||-⌫|--||---⌫------|
Etq ant ilfu rentseurlaterreil	-|-⌫--|-|--⌫---|---|-|----|-|
uirent pas d ome	-----|--||--|
elsablonapa roirseurle ri ua ge.	-|-----|---⌫---|---|-|--⌫--⌫-||
Dontsiuirent iltantceletrace	---|-------|-|---|---|----|
desp as qiluin drentaunecell eqidedenz	--|-⌫-||-|---⌫----||--|----⌫|-|-----|
unespésbuissonest oitfe te	-|-----|------|---⌫--|--⌫-|
et q antil	-|-⌫--|-|
la proismierentdepresiluirentunho meqi	|-⌫-----------|-|---|-|-----|-|--⌫-|-|
lisoit un liure.	-----|-|----||
Meint enantso t bienseinzGilles qil estoit	-----⌫----|--⌫|---|----|-----||-|-----|
se rz nostr eSig nor si	--⌫-|-----⌫|---⌫--|-|
lidema n dacombienilauo i tiluecest e ́etquel	-|----⌫-⌫-|------|-|---⌫-⌫|----|---⌫-⌫|-|---|
uiei l menoit.	--|-⌫|-----||
C ilrespondi q iliauoit .	-⌫-|-------||-||----||
an zfetesape nean ceet uescu d	--⌫|---|-|--⌫----⌫-|-|----||
eueetderbesetd eracineset	--|-||----|-|-⌫|------|-|
nientda utres ch oses .	----||-⌫----|--⌫---||
Qantli seinzhomloi ̈ il	---|-|----|--||--⌫|-|
cou oitaa menertel u ieet	---⌫---||----|--|-⌫-|-|
puissi fis tsorisso nano stre Signoret	---|-|---⌫||------⌫||--⌫---|-----|-|
apré sla colaet l	-----⌫||-⌫---|-||
e mbraça.	-⌫------||
Einsi proia l i uns l aut req	----|----|-⌫|--||---⌫-||
Einsifurent .	----|-----||
ior zlaet puissipristren t congiéau seint	---⌫|-|-|---|-|--------⌫|------|-|----|
homeq ilamanoitsisenpar ti r ent.	---|-⌫|-|-----|-||-|---⌫--⌫-⌫--||
furen trent ré enlornef il	-----⌫|----⌫--|-|--|--|-|
le ssierentcorre l or uoile stenduesau	--⌫-------|----|-⌫-|-----⌫|------|-|
ue ntet aleren t tant qil uindrent autierz ior	--⌫-|-|------⌫|---||-|-------|-|----|--|
a la citédeMarsel le	|-|----|-|------⌫-|
A doncest oite uesqesdArleCesairesqi moutestoit	-⌫---|---⌫--|-⌫-----||---|-------|-|---|-----|
preudometmenoit se inteuie.	------|-|-----|--⌫---|--||
Et qan tseinzGillesoï lerenond elui	-|---⌫|----|-----|--|-|----|-⌫|--|
h astamoltdaler aArlepor parler au	-⌫---|---||---||---|--|-----|-|
seintismehomeet	--------|---|-|
porestred octrine zdesaseinti smeparole.	--|----|-⌫-------⌫|-|-|------⌫--|-----||
Etta nto stcomil	-|--⌫---⌫-|--|-|
uint enla citéuneueuedameqi mout	---|-|-|----|--|---|---|-|---|
estoitriche	-----|----|
Teocri teest oi tapeleeparn onle	------⌫-|---⌫--⌫|-----|--|-⌫-|-|
reçutensa m esonet herberiamout lieme nt	-----|-|-|-⌫---|-|-------|---|-----⌫-|
Demen tie resqelen	-----⌫---⌫--|-||-|
aparelloit le men gier	---------|-|---⌫---|
se inzhomlepleint d un	--⌫--|--|-|-----||-|
maladeenunanglede lameson s ide ma nd aqe	-----|-|-|----|-|-|----|-⌫|--⌫--⌫--⌫|-|
Teocritelirespo ndiSi re ceestma filleqi	-------|-|-----⌫--|--⌫-|-|--|-|----|-|
anz amenees lesfieu res	--||-----|--|----⌫--|
sienaimeintes ri chescesas mires d eparties	-|-|-|------|--⌫------|-|----|-⌫-------|
etdonee s qi rie nsnemont	-|-----⌫|-|---⌫-|-||--|
ual u nerien	---⌫|-|---|
neliaidierent .	-|-|--------||
Et sesetu s auoies aucunechose dont tu li	-|-|-|-|-⌫-----|-----|----|---|-|-|
peüssesaidierie uoudroi eqetu lasecoreüsses	-------|-----|-|-------⌫|-|-|-|-----------|
porauoir plusgrant do nqetuitli	--|----|---|----|--⌫|-|---|-|
SeinzG illes l i respon di	----|-⌫----|-⌫|------⌫-|
qilnesauoit	|-|-|-----|
toteterrie nem iedecine	---|------⌫-|-⌫-------|
einzfistsorissona no st r eSi gn or	---|---||------||--⌫--⌫-⌫|--⌫--⌫-|
Etmeintenantqil	-|---------||-|
l otfete fu ladamoisele gueriedes	|-|---|-|-|--------|-----|-||
enf erme t éet sanee.	---⌫----⌫-⌫-|-|----||
L arenomee decest	-⌫|------|-|---|
miracle fupartote lacité	------|-|--|---|-|----|
espandueettantqeCes ai reslesotqi	-------|-|---|-|---⌫--⌫--|-|--|-|
estoiteuesqesetilmei ̈smes li euesq essauoitia	-----|------|-|-|---⌫----|-|-----⌫-|-----|-|
seintEsperitqelisei n zhom estoituenuz	----|------|-|-|---⌫-⌫|--|-----|----|
e nlacité	-⌫|-|----|
etsicono issoit to te	-|-|----⌫-----|--⌫-|
Ta ntostlimandap ars onarcediacreqiAurelius	--⌫----|-|----|-⌫-|-⌫-|---------|-|-------|
auoitnonqilu enistaluietseinzGilles	----|--||-|-⌫----||--|-|----|-----|
qifure ceüzagrant	-|-|--⌫----||----|
uenerationetl iseinzeuesq es leretinte nsamble	---------|-|-⌫|----|-----⌫-|-|-----|-⌫------|
anz parmoutgranz proieres .	--|--|---|----|-------||
Q antlidui an furentpassé sei nz Gil les	-⌫--|-|--|-|-----|-----|---⌫-|---⌫--|
qicouoitoi tnostreSignor	-|--------⌫|-----|-----|
ase r uiren	|--⌫-⌫--|-|
uiesolitairese	--|--------|-|
de par t itoutcoi ement delseintimee ues qe et qantil	--⌫---⌫-⌫|---|---⌫----|--|-------|-⌫---⌫-|-|---|-|
o tt respassé	-⌫|-⌫--------|
co mençaaqerreaucunerepo stai lleioste	--⌫-----||----|-----|----⌫----⌫--|----|
la riuieredeGardone ouilpeüsttelu ie	-|------|-|------|-|-|-----|--|-⌫-|
mener co milauoitcouoi tié .	----|--⌫|-|----|-----⌫---||
Sicomila loit	-|--|-|-⌫---|
ceqerant to s	-|-----|--⌫|
tro uapar la uole nté	---⌫-|--|-|----⌫---|
nostreSigno run	-----|-----⌫|-|
s eint home q iuer edemi usau oitnon	-⌫---|---|-⌫|---⌫-----⌫-|--⌫--|--|
porqinostreSignorau oit faitmeintbeaumiracle	--|-|-----|-----|--⌫--|---|----|---|------|
Ci lho mdemoroit enunechaueerocheou	--⌫|--⌫|-------|-|--|-----|----|-|
molt griefentree par	---|----|-----|--|
entregranz	----|----|
pierres qi	------|-|
brisi esestoient	-----⌫-|-------|
Qan tseinzGillesuitsaseinte ui e ilde mora	---⌫|----|-----|--|-|-----|--⌫|-|--⌫---|
unpou d etens ensamble	-|--|-⌫|---|-------|
o luiporueoirsama n iere etp or	|--|--|----|-|--⌫-⌫---|-|-⌫-|
e nuironleu couenable	-⌫-----|--|--------|
pordem ore r .	--|---⌫---⌫||
Moltfunost reSires piusetmisericorzqidesi	---|-|----⌫-|----|---|-|---------|-|-|-|
longue sp artiesmiste nsam blec ez deu sestoilesqe	------⌫|-⌫-----|---|-⌫----⌫--|-⌫-|---⌫|-------|-|
liunsenluminast l autrepor	-|--|---------||----|--|
mielz enlumi ner lesiecl eceest	----|------⌫--|-|-----⌫|-|--|
parles bon esoeures q e	--|--|---⌫-|-----|-⌫|
liunsueï stlautrefereetpar	-|--|----⌫-||----|---|-|--|
s einte uie	-⌫----|--|
Etqiestcilqi peüst	-|-|--|--|-|-----|
raconterne diretozlesm iraclesqenostre Siresfist	-------|-|---|--|--|-⌫------|-|-----|----|---|
por e us .	--|-⌫-||
enceleu meïs m es Cene seroitnus	-|-|--|-----⌫-⌫-|-|-|-----|--|
hom si comiecuitcar nus malad e s	--|-|--|-|---|--|--|-----⌫-⌫|
ne uenoitaeus dontil pr oiassentnos tre Sign or	-|-----||--|---|-|--⌫-------|---⌫--|----⌫-|
qilnefus tgueriz desamal adie.	|-|-|---⌫|-----|-|-|---⌫---||
Laterreqiest oitb ra haigneenceltempoire d euint fe conde	-|----|-|---⌫--|-⌫--⌫-----|-|--|-------|-⌫----|--⌫----|
et bien portanzparla pro iere	-|---|------|--|-|---⌫---|
seintGill e .	----|----⌫||
Mesorle ssons totceester si	--|-|--⌫----|--|-|----|-|
cont onsunautremiracleparcoi li	----⌫--|-|----|------|--|--|-|
duiseinthomesed eparti rent	--|----|---|-|-⌫------⌫---|
Unior auintqe uer edemus estoitdepartiz	-|--|----|-|---⌫-----|-----|-------|
desonhabitacle	-|--|--------|
et aleze n n esa i qel esoiebesoi gneadonc	-|---|-⌫|-⌫|--⌫|---⌫|---|-----⌫--|----|
aporte rentil ne	------⌫---|-|-|
s aiqantun maladeqiperdueauoittote l afor ce	-⌫-|---|-|-----|-|-----|----|---|-⌫|---⌫-|
deses mem bres si le presenterenta seint	-|--|---⌫---|-|-|-----------||----|
Gill e por	----⌫|--|
ho mlorrespondiq il	--⌫|--|-------||-|
atendisse ntueredem ium	---------⌫-|-------⌫--|
tant qilr eue nist.	---||-|-⌫---⌫---||
Et c ilcomencierentaiu rerqeialemalade	-|-⌫-|-----------||--⌫--|-|-|-|-----|
nenreporteroientsil	|-|------------|-||
aue ro its anéaussicom ilsoloit	---⌫--⌫-|-⌫---|----|--|-|-----|
faire lesau treset seinz	----|--|--⌫---|-|----|
Gile sdis t	----⌫|---⌫|
qe nusnenestoit sane zne curez	-|--||-|-----|----⌫|-|----|
se parla d esert euerdem iu mnonle seinthome	-|--|-|-⌫-----⌫|------⌫--⌫|--|-|----|---|
Cil con m encierentadire Tu	--|---⌫-⌫--------||---|-|
berha ignetécha ças e t ostasf orsdenostret erre	-----⌫------|---⌫---|-⌫|----|-⌫--|-|-----|-⌫---|
etq ilafeïs	-|-⌫|-|----|
depluiseurs biens pl ent ei uep uez	-|--------|----|--⌫---⌫--⌫-|-⌫--|
b ien setu	-⌫--|-|-|
uielz ac estuisanté rendre.	----||-⌫----|-----|-----||
Alaparfinfu ueincuz	|-|-----|-|------|
liseinzhom	-|----|--|
carilestoitmou t	--|-|-----|---⌫|
molt piu s sif ist	---|---⌫|-|-⌫--|
s o r issona	|-⌫-⌫----||
nostreSignor	-----|-----|
t outemplorant ettantqe ci lot santé	-⌫--|-|------|-|---|-|--⌫|-|-----|
rec eüequimoutlot desiree.	---⌫---|--|---||-|------||
Dont cremili	---|----|-|
seinz hom qela	----|--|-|-|
noueled e cestmiracleet de	-----|-⌫|---|------|-|-|
pl ui seursautresne despleüst	--⌫--⌫----|-----|-|---------|
Signorpo r ceqetropfust	-----|--⌫|-|-|---|---|
e span due sisepe nsa qil	-⌫----⌫--|-|-|--⌫--||-|
iroit en autreleu	----|-|----|--|
p or plus em p esferelesoeure s parqoi il	-⌫-|---|-|-⌫-|---|--|-----⌫|--|--|-|
peüstpa r uenir a	-----|--⌫-⌫----||
uie parmenable.	--|---------||
Lorssedeparti ilto ut	---|-|------|-|--⌫-|
coiementde uer edemiu msoncompaignonsis enala	-------|-|---⌫------⌫|--|---------|-||-|--|
par la de sertineq e r ant	--|-|--⌫------|-⌫-⌫-⌫--|
leuouil peüst	--|-|-|-----|
Adoncparuintil	----|------|-|
parlau olent e ́ nostreS e gnoraunleu mout	--|-|-⌫-----⌫-⌫|-----|-⌫-⌫---||-|--|---|
sa uuag eet	--⌫----⌫|-|
sin es toit	-||--⌫---|
m ieloing d elaou liRo snes	-⌫-|----|-⌫|-|-|-|--⌫---|
Latrou ail u nefosse en	-|----⌫|-|-⌫-|----|-|
u ne ro che	-⌫-|--⌫--|
naï ue qenatu re au oit	----⌫-|-|----⌫-|--⌫--|
deua ntlentree	----⌫-||-----|
auoi t une fonteneledontl ond eestoitcleree t	----⌫|--|--------|---||---⌫|-----|----|-⌫|
Qantliseinzhomla	---|-|----|--|-|
ui t il fu moutliezetrendigracesa	--⌫|-|-|---|---|-|----|-----||
nostreSign or au ssico ms i le üsttrouéune	-----|----⌫-|--⌫--|--⌫||-⌫|-⌫---|-----|--|
saleroial apa reilli eetatorneedeto te s	---|----|---⌫------⌫|-|------|-|--⌫--⌫|
choses qilcou enistacorsdom e	-----||-|---⌫----||---||--⌫|
iltroisanz siestoitadé senorissonspor tot	-|----|--|-|-----|----⌫|-|-------|--|--|
lepuepl eneneuiu oit d	-|-----⌫|-|-|---⌫--||
a utr ecreatu rese derbesnon	-⌫---⌫|------⌫-|-||----|--|
etde celeeue	-|-|---|--|
decele fonteneletantsolementforsqenostreSiresli	-|---|--------|---|-------|---|-|-----|----|-|
auoit aparellie unecerue dontilauoit	----|--------|--|----|---|-|----|
lettotesles heuresqil	--|----|--|-----||-|
gran tple nte ́ .	----⌫|---⌫---⌫||
Adonc auintpara ue ntureqelamesnieleroiFlaui	----|----|--|-⌫--⌫----|-|-|-----|-|--|----|
qidonte stoit rois	-|---|-⌫----|---|
de la contreeuindrent laendroit porchacier	-|-|------|-------|-|------|--|------|
etmeintenant	-|---------|
uirent la cerue qi desonlet	-----|-|----|-|-|--|--|
pessoit le seint home.	------|-|----|---||
Qa ntil lauiren tp lu s cr a sse et	--⌫-|-|-|-----⌫|-⌫--⌫|--⌫-⌫--|-|
de totes lesa utressidescouplerentlor chiens	-|----|--|-⌫----|-|------------|--|-----|
etcomencierent acorrea lecerue et	-|-----------||----||-|----|-|
ele p ristafoïr d	--|-⌫---||----||
une part et d a ut re.	--|---|-||-⌫--⌫-||
Etqa ntlichienlecomencierent	-|--⌫-|-|----|-|-----------|
aapre sser et	|----⌫---|-|
ueneorseles	------|--||
enui n tafuiant	-|--⌫-⌫|------|
la ouse inzGiles fesoit s esorissons.	-|-|--⌫--|----|-----|-⌫-|-------||
Tanto stcomelea prochalentre edelafos se	-----⌫-|--|--|-⌫-----||-----⌫|-|-|---⌫-|
si com ençaa	-|---⌫----||
muireaussi comelereqeïstmoutisneleme nt aïdeau	----|----|--|--|-------|---|--------⌫-|----|-|
seinthome.	----|---||
Qan t il loïmui reil s esmeruella	---⌫|-||--|---⌫-|-||---------|
m outpor ceqeel ene	-⌫--|--|-|-|--⌫|-|
sol oi t mieauoirce enc este	---⌫--⌫|--|----|-|-|-⌫---|
cost ume .	----⌫--||
Etlorsissifors	-|---|---|---|
sioïleschi ensetle sueneorsetsi	-|--|--|---⌫--|-|--⌫|------|-|-|
uit l acerueqi	--|-⌫|----|-|
tenoit laboucheto teouerte et	-----|-|-----|--⌫-|-----|-|
lalanguetrete for ssiso ffloit	-|-----|----|---⌫|-|--⌫-----|
et gemissoitde p ooretdelasset é	-|--------|-|-⌫--|-|-|------⌫-|
QantseinzGilesconutla chose	---|----|----|----|-|----|
ilfists orissona nostr e Signoretsi	-|---||------||-----⌫|-----|-|-|
liproia qil ligardastla norric eqi l	-|----||-|-|------|-|------⌫||-⌫|
