etuosseruoi eparchans	-|--|------⌫|--|----|
comme e stgar izqui lesertuo lentiers	----|-⌫-|---⌫-|--|-|---|--⌫-------|
or uosdira idel marchis	-|--|----⌫|--|------|
i afuiln eze nzelu al de	-⌫|-|-|-⌫-|-⌫-|-|-⌫-|-|
ocist do ntnese potpaier	----|--⌫-|-|-|--|----|
amonloonenuin t corantausie	|------|-|---⌫|-----|-|--|
ilu ecchai	---⌫-|---|
alenper ereaupie	||-----⌫--|-|--|
e tlenp erereslerecut	-⌫||---⌫-----|-|----|
uolentiers	---------|
terreetcortoise moil lier	----|-|-------|----⌫---|
cilles eruitlong ueman tsanz d ongier	--|-|-⌫----|----⌫-----⌫|---|-⌫-----|
puis auintcho se l e	---|----|---⌫-|-⌫|
roise conb atie	--|-|----⌫---|
asxmsastursetases clers	-|--|-|---|-|-|--⌫----|
lies tor fumerueille us etpleniers	-|--⌫--|-|---------⌫-|-|-------|
abatuzfuliroisdeson	-----|-|-|---|-|--|
ian imon ta s ta	-|||---⌫--⌫-⌫||
nuliordesozciel	--|--|----|---|
quanti sor uint	----||---⌫---|
limarchi sberangier	-|------⌫|--------|
sonseignorui tenp resse	--|------|--⌫|-|-⌫----|
celepartuint corant	---|---|---|-----|
toteslessiez	--|--------|
ens onpoingti ntle brant	-|-⌫-|----|--⌫-|-|----|
forbid acier	----||----|
l afisttelp a rccommeaschiens	-⌫|---|--|-⌫-⌫-|----|-|-----|
le sengler	-|------|
puisdescendide son c orantde str i er	---|-------|-|--|-⌫----|--⌫---⌫-⌫-|
porsonseignorsecorreet aidier	--|--|------|------|-|-----|
li roismontaet	-|---|----|-|
tintl estrie r	---||------⌫|
si sen fo i com mecoar tleur ier	-||-|--⌫|---⌫-|----⌫|----⌫--|
ensiremastli marchisberangier	---|-----|-|------|--------|
la l e ueismesocirreet detra nch ier	-|-⌫|------|-----|-|-----⌫---⌫--|
n e lepeu smes secorrene	-⌫|-|---⌫---|------|-|
remes enestzzcortoisheritier	----|-|--|-|------|-------|
icila no mlepetitberangier	---||--⌫|-|----|--------|
molt parestfox	---|--|--|--|
qui l enfant u eultboi si er	--||-----|-⌫---|---⌫--⌫-|
simaist dexque	-||---|--|--|
feletrenoiez	--|-|------|
li empereresme ueult donersonfie	-|--------|-|----|----|--|--|
ueilmiebienu eil queuos	---|--|---|-⌫--|--|--|
etune chose	-|--|----|
bi enuosdoiacointier	--⌫-|--|--|--------|
parc e lapostrequen a r ome	--|-⌫-⌫|------|-|-||-⌫--|
req ui e r	---⌫--⌫-⌫|
ilna enfrance	-|||-|-----|
sihardicheualie r	-|----|--------⌫|
silprentlaterre	|-|----|-|----|
aupetitbe rangi er	-|----|--⌫-----⌫-|
ace steespee	|--⌫--|----|
tostnepe rdelechief	---|-|--⌫--|-|----|
granz mercizsiredient	----|-----|---|----|
li c he ualier	-|-⌫--⌫-----|
qu iap artienent al	--⌫|--⌫--------|||
enfantberangier	-----|--------|
yyeniaque licli nent	-|-|||--|-|---⌫---|
liuontalaianbeetau pie	-|---||-|----|-|-|--|
si r exmditroisloys	--⌫-⌫|-|--|---|---|
quantcestehennor a	----|----|-----||
pren dre neuossiet	----⌫--|-|--|---|
sediex maist oruo sdorrai tel fie	-|---||---|-|--⌫|-----|--|--|
se sagesestes d ont s e roizsoraucié	-|----|----|-⌫--|-⌫-⌫---|--------|
geuosdorrai defrance	-|--|-----|-|-----|
zzquartier	-|-------|
quartea beieet pu is l e quartmarchie	-----|-⌫---|-|--⌫-|-⌫|----|------|
quarteciteetquartarceue schie	-----|---|-|----|------⌫----|
l equartseriant etlequartche ualier	-⌫|----|------|-|-|----|---⌫-----|
quar tu auasso retquartgarcona	----⌫|-⌫------⌫|-|----|-----||
quartepucel le	-----|-----⌫-|
et laq uartemoilli er	-|-|-⌫----|------⌫-|
e t le quart	-⌫|-|----|
prestreetpuislequartm oustier	------|-|---|-|----|-⌫------|
demese stab le suosd oinglequartdestrier	-|--|-⌫----⌫--⌫|--|-⌫---|-|----|-------|
d emo ntresoruosdoi nglequart deni er	-⌫|--⌫|-----|--|---⌫-|-|----|----⌫-|
laquartepa rt uos o utroiuolentie rs	-|-----|--⌫-|--|-⌫----|--------⌫-|
detot l emp irequeieai	-|--||---⌫--|--|-|-|
abaillie r	|-------⌫|
receuezl enobile cheualier	------|-⌫|-----|--------|
no nf erai	--⌫|-⌫---|
s irexm respondie	-⌫--|-|--------|
genel feroiepor t ot l	-|-||-----|--|-⌫-||
ordesozciel	-|----|---|
queiadiroientcilbaron cheualier	--|-|-------|--|----|--------|
uez laxmle marchis auuis fi er	--|-|-|-|------|-|--|--⌫-|
co mmeilaoressondroit	--⌫--|-||---|--|----|
seignor boisié	------|------|
regneliatototroié	----|-||--|------|
s i ne l enrent uaillissantzzxxm	-⌫|-||-|---|----------|-|--|
bienli aoresonuiure	---|-||--|--|----|
retaillié	---------|
sirexmdit rois	---|-|--|---|
loys li be r	---|-|--⌫|
parce lapostrequen quiert ennoiron	--|--⌫|------|-|-|-----|-|-----|
qu antce stehennorrecoiureneuol e z	--⌫--|--⌫--|-----|-------|-|---⌫-⌫|
enceste terre ne u oss ai quedoner	-|----|----|-|-⌫-|-⌫-|--|----|
nede nuleau tren e	-|-|---|--⌫--|-⌫|
roi sdit xmles siez ledont	---⌫|--|-|---⌫---|-|---|
acestefoiznenquier	|----|---||-|----|
orplus parler	-|---|-----|
quantu osplerauosme dorroiz	----|-⌫-|----|--|-|------|
chastia usetmarchesdoni on set fermetez	-------⌫-|-|------|----⌫--⌫|-|-------|
ac ezparol esse nestlicuens tornez	|-⌫-|-----⌫-||-⌫|--|-|----|-----|
talentauale lesdeg rez	-----|----|--|---⌫--|
enmisauoieabertran	---|-|---||------|
qui lidema nd e	--|-|----⌫--⌫|
sire oncle sd ontuenez	---|-----⌫|-⌫--|----|
e tdistxmia	-⌫|---|-|-|
orroiz uerite	-----|-----|
p ale sou ai	-⌫---⌫|-|-|
grantp ieceesté	----|-⌫---|----|
aroisloys aitenciéetiré	|---|---|-|------|-|---|
moltlaiseruisene mariens	---||-|----|-|-|||----|
bertran a maleiconde	------||-------|-|
uosd roit se ignorne de uezp ashaster	--|-⌫---|--⌫----|-|--⌫--|-⌫-|-----|
ainzle deuez seruir ethennorer	---|-|----|-----|-|-------|
homesgarantiret	----|-------|-|
diuadit ilia	---|--|-|-|
ma il simené	||-|-|----|
qualuiseruir aimon ten s	-||--|-----|-|--|---⌫|
nen ai euuaillantzzoefpelé	|-|-|-|-------|-|--|----|
et ditxm sire	-|--|-|---|
bertra nbiaunies	------⌫|---|---|
auro is er uir aimo n tens enplo ié	-|--⌫|-⌫--⌫--|-|--⌫|---|-----⌫--|
silaipa rforce	-||-|--⌫|----|
leuéetess auci é	----|-|---⌫----⌫-|
orm ade france	-|||-|-----|
unquart i er	-|-----⌫-⌫-|
tote nse m ant	--|-⌫---⌫-⌫--|
com fusten	--|---|-|
pormo n seruise meueultrendre	--|--⌫|------|-|----|-----|
mesparlapostre q uena rome	--|--||------|-⌫|-||---|
cuitli abatre lacor onedelchie	---|-|-----|-|---⌫--|--|---|
ge lali mis	-|-|-|--|
selauorra ioster	-|-|-----⌫|----|
ditbert r ansire s ned itespas queber	--|----⌫-⌫-|----⌫|-|-⌫---|--|--|--|
uodroitseig nor	-|----|----⌫--|
nede uezmenacier	-|--⌫--|-------|
ain zle deuezleueret es saucier	---⌫|-|----|----|-|--⌫------|
contr etozhomes secor reetai dier	-----⌫|--|----|-----⌫-|-|--⌫---|
cuens uos dit esuoir biaunies	----|--|---⌫-|---|---|---|
laleaute do itont oz	-|-----|--⌫-|-|-⌫-|
dexlecommande quitot aaiugier	--|-|-------|--|--|||-----|
onc lexmditber tanlisenez	---⌫-|-|--|---⌫--|-|----|
orearoisloys pa rler	--||---|---|--⌫---|
cestpalespleni er	---|----|-----⌫-|
porquerre zzdondont me sui porpensé	--|-----|-|--|---|-|--|--------|
qu iex seroitil	--⌫--|-----|-|
ditxmliber	--|-|-|--|
e tditbertrania orro iz uerite	-⌫|--|------|-|----⌫-|-----|
demandeliesp aigne	------|-|---⌫----|
e t cortolo us e e tporpaillartso rmer	-⌫|-------⌫--⌫|-⌫|----------|--⌫|--|
etapresnymescelebonecite	-|----|----|---|---|---|
etpuisorenge qui tantfet a loer	-|---|-----|--|---|--||---|
s ilauosdo n e n i af ier t mie	-⌫|-|--|--⌫-⌫|||--⌫---⌫|--|
conquese scune fu	|-----|-⌫--|-|-|
p o rluipo r tez	-⌫-⌫|--|--⌫-⌫--|
necheu alier n en oten soldeez	-|----⌫----||-|-|--⌫------|
assezuos puet celeterredoner	----|--|---|---|----|----|
neson reau me	-|--|----⌫-|
nenie rtgaires greuez	|-|--⌫-|-----|-----|
ot lexms e nazzris	-|-|-||-⌫||-|--|
niesditxmde bone heure	---|--|-|-|---|----|
quetota usil auoieg epensé	--|--|-⌫--||----|-⌫|-----|
mesge uoloieauantatoiparler	--|-|-----|----||--|-----|
as mainsseprenn ent	-|----|-|-----⌫--|
elpalessontmonté	-|----|---|-----|
tr u squala	--⌫-⌫--||-|
sale nes e	---|-|-⌫|
so ntare st é	--⌫-|---⌫--⌫-|
uoitlelirois enc ontre sest	---|-|-|---|---⌫----||--|
aditxm quar	|--|-|---|
non ferai sireditli	--|----|---|--|-|
cuensna turez	----|--⌫----|
me szz petituorro iea	--⌫|-|----|-----⌫-||
uosp arler	--|-⌫----|
porquerre zz don	--|-----|-|--|
dontmesu iporpense z	---|-|--⌫|--------⌫|
etdit li ro is	-|--|-|--⌫-|
abeneicon de	|-------|-|
seuosuol ez	-|--|---⌫-|
nechasteln ecite	-|------|-⌫|---|
uil e donion n efer mete	---⌫|-----|-⌫|---⌫---|
iauosseraotroi éetgraé	-|--|---|-----⌫-|-|----|
d emimonregneseprendrele uole z	-⌫--|--|----|-|------|-|----⌫|
gesireuolenti er s etdegr ez	-|---|-------⌫--⌫|-|-|--⌫-|
quede g rant	--|-|-⌫---|
iorst roué	---|-⌫----|
et p aruossuiroisde franceclamé	-|-⌫-|--|--|---|-|-----|-----|
ena zzrisgité	-||-|--|----|
ouuo itleroi silaa resonné	-|--⌫-|-|--|-|||-⌫-------|
ice stui don par	---⌫---|--|--|
nosnie rti arou é	--||--⌫-|-⌫|---⌫-|
ainzuosd ema nt espa igne	---|--|-⌫---⌫-|----⌫---|
etc ortol ouseet porpaillart	-|-⌫-----⌫---|-|----------|
siu os deman t ny mesce lecite	-|-⌫-|-----⌫|--⌫--|--⌫-|---|
apresorengequitan tfeta loer	----|-----|--|---⌫|--||---|
se l a medonesni	-|-⌫|-|----|||
afiert miegrez	-----|--|---|
co n qu esescu	|-⌫-⌫--⌫-|---|
nenfu port oiportez	|-|-|--|-⌫-|-----|
n a inzcheu aliern eneus a	|-⌫--|----⌫----||-|--||
nea po ure zneniert	-|-⌫--⌫---⌫||-|---|
uost re regne	----⌫-|----|
otle lir o issen	-|-|-|-⌫-⌫-||-|
r o is loy ssire d istxmle fo rt	-⌫-⌫-|---⌫|---|-⌫--|-|-|--⌫-|
p or dieume	-⌫-|---|-|
done despaignetozles por z	---||-------|--|--|---⌫|
ertlat erretu en	--|-|-⌫---|--⌫-|
enertli tresor	-|--|-|-----|
yyc heualierten conduirontenos t	-|-⌫-------||-|---------|-|--⌫|
donemoirois u ause u r e la grant	---|--|---|-⌫----⌫-⌫-⌫|-|----|
et au ecn ym esetlefort mandeman t	-|--⌫-|-⌫--⌫-|-|-|---|--------⌫|
geng iterai	|-|-⌫-----|
le m alp aie n	-|-⌫-|-⌫---⌫|
xmsad estruit po r neant	--||-⌫------|--⌫|----|
demain te st err es	-|----⌫--⌫|-⌫---⌫-|
lesa fetdefuian t	--||--|-------⌫|
sedexmeueult	-|--|-|----|
aidierparson comm ant	-----|--|--|----⌫--|
iaautr eterresireneu osdema nt	-|----⌫|----|---|-|-⌫-|----⌫-|
donez m oi sireuals ore	----|-⌫-|---|----⌫--|
etuals u re	-|----⌫-⌫-|
les granztorsagues	--|----|---|----|
a pres oren ge celecite cremue	-⌫---|----⌫-|---|---|-----|
etneminoiset totelapasture	-|-------|-|---|-|------|
sic omlir osneslicortpar desrubes	-|-⌫-|-|-⌫----|-|---|--|-------|
distroisloysbiausir edeus	---|---|---|---|---⌫|---|
seul ho meiert telehonor tenue	---|--⌫-|---|---|----|----|
etditxm dese iorner	-|--|-|-|--⌫-----|
cheuauchera i ausoiret ala	-----------⌫|-|---|-||-|
demon ha ubertcouertl afeutreure	-|--|--⌫----|-----|-⌫|--------|
sengite railapute gen ttafur e	|-|----⌫--|-|---|---⌫|-----⌫|
sire xmditlirois entendez	---|-|--|-|---|-------|
p ar cel ap ostrequenqui er ten noi ron prez	-⌫-|--|--⌫----|-|-|---⌫--⌫|-|---⌫--|---|
e lnestpas mo iene l auospuis d oner	-⌫||--|--|--⌫-|-|-⌫|--|---|-⌫---|
eincoislatiene ntxmetesclers	------|-|-----⌫-|-|-|------|
clariausdoreng eet	-------||-----⌫|-|
sonfrereacerez	--|----|-----|
etleroidesramez	-|-|--|-------|
etarobanzetm ir anz et barrez	-|------|-|-⌫--⌫--|-|-----|
etyy pau meset s onfrere gondre	-|-|---⌫--|-|-⌫-|----|-----|
otr a nz denyme set liroismorgalez	---⌫-⌫-|-|----⌫|-|-|---|-------|
leroi tieberti	-|--|------||
pris ao rable	---||-⌫----|
l aseror lami re	-⌫|----||---⌫-|
c est laplusbe le	|--|-|---|--⌫-|
que lenp u iss etrou er	--|--|-⌫-⌫---⌫|----⌫-|
enpaienie n en la cre stiente	-|------||-|-|---⌫------|
p or cec r ien ge	-⌫-|-|-⌫-⌫--|-|
se e n tre usu os m etez	-|-⌫-⌫-|-⌫-|-⌫-|-⌫---|
que celet er r ene puissezaquit er	--|---|-⌫--⌫-⌫|-|------|-----⌫-|
m es siluospl estences te	-⌫-||-|--|--⌫--|-|---⌫-|
t otegalme ntdepartonsnozcitez	-⌫-|------⌫-|--------|--|----|
uosaurez ch ar tres	--|----|--⌫--⌫---|
etor liens	-|--⌫----|
etlac oron equeplusn en	-|-|-⌫----⌫|--|---||-|
quier porter	----|-----|
n onferaisireditxmlebe r	-⌫-|----|---|--|-|-|--⌫|
queia diro ient ti baron n atu rel	--|-|----⌫---|-|----|-⌫---⌫--|
ueezxmlimarchisaucorneis	---|-|-|------|-|--|---|
comila oreson droitse ignormo nté	--|-||--|--|----|--⌫----|--⌫---|
de misonregnel i aparmid oné	--⌫-|--|----|-⌫||----|-⌫---|
sine l en rentzz	-|-||-|---|-|
bienli aore sonuiure	---|-||--|--|----|
ditlir o isfransguerrie rs	--|-|-⌫-⌫-|----|-------⌫-|
et uosquechautdemauuesreproui e r	-|--|--|----|-|-----|-------⌫-⌫|
en cesteterrenequierq ue me	-|----|----|-|----|-⌫-|-|
uosaurez c ha rtre s et me	--|----|-⌫--⌫----⌫|-|-|
lessiezorliens	------|------|
et laquoroneque p lus	-|-|------|--|-⌫--|
neuosen quie r	-|--|-|----⌫|
nonfe rais irexm respon d ie	--|--⌫--|-⌫--|-|------⌫-⌫-|
genel feroieportot lordesozciel	-|-||-----|--|--||-|----|---|
deuostrehen nor ne uos	-|-----|---⌫--|-|--|
quier abessier	----|-------|
acrestoieaufer	--------|-|--|
mes s iresestessineuosquie rboisier	--|-⌫---|----|-|-|--|----⌫|------|
cefuau tens a	-|-|-|---||
festeaamichiel	----|-|------|
fui aa agile lorfuigechies zz	--||-⌫|---|--|--|-|----|-|
herberiamoi le cortois che ualier	-------|--|-|------|---⌫-----|
qua n t laresne mesesisa	---⌫-⌫|-|----|-|---|-|
ge des cend i	-|---⌫----⌫|
elemetientl estrie r	--|-|----||------⌫|
men aaualenzzcelier	---⌫|---|-|-|-----|
et delce lieramontenzz s ollier	-|--|--⌫---|----|-|-|-⌫-----|
a inz nensoimotsemecheias	-⌫--||-|--|--|-|-|---|-|
quidai b eau sire quelqueis tamistiez	-----|-⌫--|---|-|-|-----⌫|-------|
ouitel chose	-|---|----|
quefe me ah omequiert	--|--⌫-||-⌫--|-----|
lseusseneme nfusseaproch iez	|-----|-||-⌫|----|------⌫--|
qui medonastyyded eniers	--|-|-----|-|-|-⌫-----|
demandai lidame	-------|-|---|
f emeq uequi ers	-⌫--|-⌫-|---⌫--|
merci zxmnobile	-----⌫|-|-----|
che ual ie r	---⌫---⌫--⌫|
decesteterrequeu os preign epitie	-|----|----|--|-⌫-|------⌫|----|
poramor die u	--|---|---⌫|
qui en croizfudreciez	--|-|----|-|------|
p arla fenestre mefistmetre monchie	-⌫-|-|-------|-|---|----|--|---|
totelaterreui pl a innedaue rsiers	---|-|----|-|--⌫-⌫---||---⌫-----|
uile sardoi r	----⌫|-----⌫|
etuiolermos tier	-|-----|---⌫---|
c hapelesfondreettrebuchierclo chiers	-⌫------|-----|-|---------|---⌫-----|
m am elesto rtrea s	-⌫--⌫---|--⌫---|-⌫|
cortoise s moi lliers	--------⌫|---⌫-----|
q en moncuer men p rist sigran tpitie	|-|--|---||-|-⌫---|-|----⌫|----|
m olttendr ement plor ai deseulzduchie	-⌫--|-----⌫----|----⌫-|--|---|-|---|
la pleuig ele glorieusdu	-|----|-⌫|-|-------|-|
etas aintgiledontu eno ie	-||-⌫---|---|---|-⌫---⌫-|
que ncelet erre	-|-⌫|---|-⌫---|
lor iroieaidier	--|----|-----|
atant degentcom porraiiustis ie r	|---|-|---|--|-----|------⌫--⌫|
sirexmditloys lifr ans	---|-|--|---|-|--⌫--|
quantcestete rreuosuien tatalant	----|----|--⌫--|--|----⌫||-----|
die xg rain zens uietdola nz	---⌫|-⌫----⌫|-|-⌫-|-|----⌫-|
franc che ual ieror uene z	----|---⌫---⌫--|-|----⌫|
d ontauant	-⌫--|----|
geferaiuoir totleuostre t alant	-|----|---|--|-|-----|-⌫----|
tene espaign e	---|-------⌫|
pr en ezl ap arcestgant	--⌫--⌫-|-⌫|-⌫-|---|---|
uosdo ingpar	--|--⌫--|--|
itelco uenant	---|--⌫-----|
en cro ist nepain eneh aan	-|---⌫--|-|----⌫|-|-⌫--|
cine ail l ors n e tenseraigarant	-|-|---⌫-⌫--|-⌫||-|----|-----|
etd it xm etgemiexn edemant	-|-⌫-|-|-|-|---|-⌫|-----|
f ors seul emant zz secors d e yy anz	-⌫--|----⌫----|-|-----|-⌫|-|--|
distrois looge lotr oibonemant	---|---|--|-||---⌫-|-------|
que fe raiuoirtotleuostre	--|--⌫--|---|--|-|-----|
gran zm e r cizs ireditlic uens oreentent	----⌫|-⌫-⌫-⌫--|-⌫--|--|-|-⌫---|--|-----|
licue n sxmsest rega rdez atant	-|---⌫-⌫|-||--|----⌫---|----|
siuitester guielinetbertran	-|--|----|------|-|------|
s ineueu furentfiz bernartdebreban	-⌫|----|-----|--|------|-|-----|
illesa peleh autemantenoiant	-|--|-⌫---|-⌫-------|-|----|
ue nezauantguieli net ber tran	--⌫--|----|------⌫|-|---⌫---|
miami estese tmiprochain	-|--|----|-⌫|-|-------|
deuan tlero iuosmetezenp r esent	-----⌫|-|--⌫|--|----|-|-⌫-⌫----|
quecestehenorq ue	--|----|----|-⌫-|
ci uaisdemandant	-|---|--------|
en omoi quereceuezlegant	-||--|--|------|-|---|
a u roizet les biens etl eshans	-⌫-⌫---|-|--|----|-|-⌫-|---|
ot lebertran sise n r istfaintemant	-|-|------|-||-⌫|-⌫--|---------|
etditenbasq u e	-|--|-|--|-⌫-⌫|
nel entent nea nt	-||-----|---⌫-|
gefer ai iamononclemoltdolant	-|---⌫-|-|--|----|---|-----|
sire ceditlicuensbertr ant	---|-|--|-|----|-----⌫--|
que molt estfierxmleuaillant	--|---|--|---|-|-|-------|
etmoiquechautdit guelin lenfant	-|--|--|----|--|-----||-----|
q uetropsuii uenesn en a iqueyyanz	-⌫-|---|--|-⌫----||-|-⌫|--|-|--|
encorne pu is paine	----|-|--⌫-|----|
soffrirsigrant	------|-|----|
ot lebernar t sonpere debrebant	-|-|------⌫|--|---|-|------|
aparzzpouque il nepertle	|--|-|--|--|-|-|---|-|
h aucelapaume si lia done ́grant	-⌫---|-|----|-|-||----⌫|----|
lechierre sormastufet	---------⌫|-||-|-|--|
deuan tlero i tem etr aienpresent	-----⌫|-|--⌫|-|-⌫---⌫-|-|------|
pa rcel apostreque quieren t pen eant	--⌫|--|------|--|-------⌫|---⌫---|
sauecxmnere ceuezlegan t	|---|-|-|--⌫----|-|---⌫|
de cestee spee	-|----|-⌫---|
aurastu un egrant	----|-|--⌫|----|
iln auramire d uicesti orenauant	-||---|---||-|---|-⌫-|-|----|
qu iuos saintmesent ot uostreu iuant	--⌫|--|----|--|-|-⌫-|-----|-⌫----|
quer ezhenn o rdontuos	----⌫-|----⌫-⌫|---|--|
nauezne ant	|---|--⌫--|
sicomge fit ant com fui deiouant	-|--|-|-|-⌫--|--|--|-|-----|
queparlapo s tre que quierent penean t	--|--||---⌫-⌫--|--|-------|------⌫|
iade l a moie n	-|-|-⌫|---||
aur ez ma is plain zzga nt	---⌫-|--⌫-|----|-|--⌫-|
ainzla dor raitrest ot amon	---|-|---⌫--|-----⌫-||--|
auantpasserent	----|--------|
g uielin etbertran	-⌫-----|-|------|
susuntabl emonterenten	--|-|----⌫|--------|-|
alor uoizcler e sescrient	|--|---|----⌫||-------|
h auteman t	-⌫-------⌫|
dan be rn art debreba n	--|--⌫--⌫--|-|-----⌫|
mespa rlapostreque	--|--⌫||------|--|
quie rent pene an t	----⌫---|----⌫--⌫|
ce comparron t	-|---------⌫|
x m et p ersan t	-⌫|-|-⌫-----⌫|
bie npuentdireent re ́son tenmalant	---⌫|----|---|---⌫--⌫|---⌫|-|--|--|
il enmo rronta millierseta yy	-|-|--⌫----||-------|-||-|
tableestxm montez	----|--|-|-----|
asa uoizcl erecom menca acrie r	|-|---|--⌫--|---⌫----||----⌫|
entendezmoidefrancelebarn e	-------|--|-|-----|-|----⌫|
se dexmaist deceme puis uanter	-|--||---|-|-|-|---|-----|
plu sai de	---⌫|-|-|
terre queyy deme sper s	----|--|-|-|--⌫|---⌫|
encornen a izziornel aq uite ́	----||-|-⌫|-|-----|--⌫----⌫|
icedegeaspoure sbachel ers	--|-|-|-|-----⌫|------⌫--|
clopsetasdrasde spa ne z	----|-|-|---|--⌫---⌫--⌫|
