ceusqu itropprise chou	---|--⌫|---|----|---|
puetbien ouurer	---|---|-----|
parle m on dele puisprouuer	--|-|-⌫--⌫-|-|---|------|
ke trestout en sis edemain e	-|-------|--⌫-|-⌫|------⌫|
a raison ie ne	|-----|-|-|
ieditcosekiuaill e	-|--|---|-|-----⌫|
m aisne doutm iequ egi faille	-⌫--|-|---|-⌫-|--⌫|||-----|
ki es t despit eus	-|--⌫|------⌫--|
asses eni uoiton	----|-||---|-|
kison t faucon	-|---⌫|-----|
dont cest gra nspe s	---||--|---⌫-|--⌫|
carcestde lor	--||--|-|--|
u olertempes	-⌫---|-----|
si uousdira icommentil uole nt	-|---|----⌫|------|-|----⌫-|
tousc eusde strui entetafole n t	---|-⌫--|--⌫-----⌫--|-|-----⌫-⌫|
queilataign ent en	--|-|------⌫--|-|
carquant il	--|----|-|
uontl o mmeaco l an t	---||-⌫--|---⌫-⌫--⌫|
grantren teethiretage	----|---⌫-|-|-------|
cen est fors	-||--|---|
que po urso ndamage	--|--⌫-|--⌫|-----|
sun p eu leseuen t	|-|-⌫-|-|-----⌫|
a mesci ef	|-----⌫-|
lemainli metent surleci e f	-|---|-|-----|--|-|--⌫-⌫|
enpoide tan slonte nkemblé	-|--|-|---⌫||--|-⌫-------|
negot de terr enede ble	-|--|-|----⌫|-|-|--|
plus nel ahenne nene	---|-||-----|-|-|
siquecelui enfans et femme	-|--|----|-----|-|----|
conuientale ra prourete	-------|---⌫||-------|
enani entpl usdepite	-||--⌫--|--⌫-|-|---|
cis fau c onskau oit li	--|---⌫-⌫--||--⌫--|-|
desoisiaxcisestcoustu miers	--|-----|--|--|------⌫----|
de sonproismemetrea	-|--|------|----||
etpourluitenirenualour	-|---|--|----|-|-----|
sonauoir d effe rm e etdesserre	--|----|-⌫----⌫--⌫|-|-------|
etdonneau seg n o urdelaterre	-|----|-|---⌫-⌫-⌫-|-|-|----|
kilaimeet honneu reet	-||---|-|------⌫-|-|
pour lesbi aus	---|--|--⌫--|
d onsconliaporte	-⌫--||-|-|-----|
ki laaqu ismal uaisement	|-⌫||---⌫-|---⌫--------|
cartres t outaussifaitement	--|----⌫-⌫--|----|--------|
conlifa ucons	--|-|--⌫----|
ui etoloit	--⌫|-----|
as oisiaxetpuisrauo loit	-|-----|-|---|----⌫---|
a son maistreu	|--|------||
il er ttensé s	-|--⌫|------⌫|
tout aussiestci sapense ́s	---|----|--|--⌫|------⌫-|
tenseretqua ntil uient	-----|-|---⌫-|-|----|
ueoirsonsegnour sile	----|--|------|-|-|
agranthonnouretsifaitfeste	|----|------|-|-|---|----|
d ecest oisel depute geste	-⌫|---|----|-|---|----|
li de sloiausfaucons	-|--⌫------|------|
kidusuresetd emescons	-||-----|-|-⌫|------|
a les autr esois iaxmenus	|--|----⌫-|---⌫--|----|
des bi e nskilauo ientfaisnus	--|--⌫-⌫-||-|---⌫---|---|--|
nontn i elene plume	|--|-⌫|--|-|----|
etci s so nse gno urac oustume	-|--⌫|--⌫|--⌫---⌫-|--⌫------|
k euolenti ersprent	-⌫|-------⌫--|----|
cil kilreube	--||-|----|
s est uestusde sa	|--|-----|-|-|
coi ntereu be	---⌫--|---⌫-|
li faucons etdeuairfourés	-|------|-|-|---|------|
k ise s proismes adeuou re ́s	-⌫|--⌫|-------||-----⌫--⌫-|
e tsaucunsp reud onlaboureres	-⌫||-----|-⌫----⌫-|---------|
ui eetaoure res	--⌫|-|-----⌫--|
enuer s diu	-----⌫|--|
decek illi	-|-||-|-|
cuideauoirsedes ertepre ste	----|----|-|---⌫---|---⌫--|
dece k au segnouraouuré	-|-||-|------||-----|
q uanti laa	-⌫---|||||
losteltrouu é	|----|-----⌫-|
auoe queslefau conuilain	----⌫---|-|---⌫--|-----|
kipa r ses donsl	-|--⌫|--|---||
a prisalain	|---|||--|
lalidemande sa dese r te	-|-|------|-|----⌫-⌫-|
etlisir es	-|-|---⌫-|
abouc eouuerte	|----⌫|------|
le tenceet maudi st etdeueure	-|----|-|-----⌫-|-|------|
p o u rpo iqueil nelikeurtseure	-⌫-⌫-⌫|--⌫|--|-|-|-|----|----|
q uant de sonfauco nlede stou rbe	-⌫---|-|--|-----⌫|-|--⌫----⌫--|
etdistkilne	-|---||-|-|
li do it unetour be	-|--⌫-|--|----⌫-|
ains lencaceet fai t	---||-----|-|---⌫|
bouter h ors	-----|-⌫--|
preudomcrioitahors	------|-----|----|
nestil nuskien ait	|--|-|--|-|-|--|
tel gent s ont	--|---|-⌫--|
li po ul etf usté	-|--⌫--⌫-|-⌫----|
kisiesto i entd ecac ié	-|-|----⌫-⌫--|-⌫----⌫--|
pourlefa uconetmane cié	---|-|--⌫---|-|----⌫---|
aussil ed ec a c e	----|-⌫|-⌫--⌫-⌫-⌫|
rice homme e tmoustres ire	---|----|-⌫|------||--|
li poures maluenu s	-|-----|--|----⌫|
kiasesenfancons	-||--|--------|
kil n eset decoi	|-|-⌫|--|-|--|
l i siresne	-⌫|----|-|
liuautpaiier	-|---|-----|
ne delorm esc ie fnelicaille	-|-|--|-⌫---⌫--⌫|-|-|-----|
d uisen hui s quier entloruitaille	|--|-|---⌫|-----⌫--|--|-------|
faisoien tlipoulet	--------⌫|-|-----|
kib ienmengaissent rebulet	-|-⌫--|----------|------|
maisquant l i morski	---|----|-⌫|---|-|
toutac ore	---|--⌫--|
prent l efau conki	----|-⌫|---⌫--|-|
laissié tses proism esadestruire	--------⌫|--|------⌫-||--------|
t ost lifait seioie c onstru ire	-⌫--|-|---|-|---|-⌫------⌫--|
enduelencourousete nire	-|---|-|------|-|-⌫|--|
carget e ́sesten unmartire	--|---⌫-⌫-|--|-|-|------|
tresorttres uil et trespuant	---|--|---|--|-|---|----|
u souue ntle uont	|-----⌫-|-|---|
pie urpourcelque li pr em ier	---⌫-|------|--|-|--⌫--⌫--|
kilefauc o nensufum ier	-|-|----⌫-⌫|--||---⌫--|
fisenta sses de uil ou nie	-----|-⌫---|-|---⌫--⌫--|
carciexest sers ale	--|---|--|---||-|
parlorguelasserui	--||-----|------|
org u elleusdesserui	---⌫-⌫-----|-------|
laestlilas fauconsen mue	-|--|-|--|------|-|--|
ki seioieengra ntg rietemue	-|-|---|-|---⌫-|-⌫----|--|
maisq uantli boinspoules trespasse	---|-⌫---|-|----|-----|--------|
lipou reskadessepa s s e	-|---⌫--||---|-|--⌫-⌫-⌫|
decan q u esihe sucrislipreste	-|---⌫-⌫-⌫-|---⌫-|---|-|-----|
li m orsl assau t e t	-|-⌫--||-----⌫|-⌫|
i lsapreste	-⌫||------|
de morir en e stat	-|----|-|-⌫---|
lamedelui ke	|--|-|--|-|
me sr oial	--⌫|-⌫---|
portentli keud iudignement	------|-|--|-⌫-|--------|
liang leu f irma ment	-|---⌫-||-⌫----⌫---|
u ih esu cri sen	|--⌫--|---⌫|-|
fait grantfeste	---|----|----|
las estenle tempeste	--|--|-|-|-------|
kiauoi t uolé sans raison	-|----⌫|----|---|-----|
c angiésesaison	-⌫-----|-|-----|
e t lagieté enlelongaigne	-⌫|||-----|-|-|--------|
ha us rois na	--⌫-|---|||
m ieeng aigne	-⌫-|---⌫----|
de s on pouletains en faitioi e	-|-⌫-|-----|---|-|---|---⌫|
etb ien ueutqu ecascunsleuoie	-|-⌫--|---|--⌫|------|-|---|
cari lsen p aist	--|-⌫||-|-⌫---|
e t serapaie	-⌫|-|-----|
e tesciexsonloierli	-⌫|-|---|--|----|-|
quensots on	----|-|-⌫-|
f auco n c ier	-⌫----⌫|-⌫--|
pu islegeta	--⌫-|-|---|
e nsuf um ier	-⌫-||-⌫--⌫--|
sifubienpaié s a mend it	-|-|---|-----⌫||--|-⌫-|
auoi t son	----⌫|--|
pouletl aidit	-----|-⌫----|
si louno uraadaerr ains	-||----⌫--||-----⌫---|
ki estsouuera ins	-|--|-------⌫--|
si lais tbien randiretuo ler	-|----⌫|---|-----|-|--⌫--|
mai s moulttostta u t lecaro ler	---⌫|----|---|--⌫-⌫|-|----⌫--|
au pl usiouneetauplus	-|--⌫-|----|-|-|---|
il donne etsisesetu engier	-|----|-|-|-|--|-⌫-----|
uengierdu foletauboin	------|-|--|-|-|---|
kimerciprieilli pardo une	-|----|---|-|-|-----⌫--|
s edu meffaitest repentan s	-⌫|-|------|--|--------⌫|
pourcefa it boin usersentans	---|-|--⌫-|---|---|--|---|
parra iso netmoie neme nt	--|--⌫---⌫|-|----⌫----⌫-|
san saquerreuilainement	---⌫|------|----------|
nediuoub lier pour le	-|--|---⌫---|---|-|
s estnices	|--|----|
kiautruiesmon de	-|-----|-----⌫-|
sansraisonpourhaucier sen	---|-----|---|------|--|
d ixabienf airenouss em ont	-⌫-||---|-⌫---|---|-⌫--⌫--|
siseronslimescongoi	-|-----|-|--|-----|
acekeu ousa uésoi	|-|-|-⌫--|-⌫---|-|
prendésgarde s i ert sauoirs	-------|----|-⌫|--|------|
paradisu auttr op miexk auoi rs	------|-⌫--|--⌫-|---||----⌫-|
