e nhaute scrieou	-⌫|---|-⌫----|-|
sorsaincloo ten zz belpre tflorit	--|---|----⌫|-|-|--|---⌫|-----|
leszz bruel le t qui estbiax etfoill is	--|-|-----⌫--⌫|--|--|---|-|-----⌫-|
setant poitfairexm et xm	-|---|---|----|-|-|-|
fussen tbruellet q u atis	------⌫|-------|-⌫-⌫---|
etauue ciaxde cheu alliersyymil	-|----⌫|--|-|----⌫------|-|--|
i m erauroientparle u osdi	|-⌫|--------|--|-|-⌫-|-|
li u allesl oitde ioietre sail li	-|-⌫----||--|-|---|---⌫----⌫-|
damedistil po rdieu qu i nemen t i	---|---|-|--⌫|---|--⌫|-|---⌫-⌫|
ice stafair e li serab ien	---⌫-|-----⌫|-|---|-⌫--|
dis t lapucele alésdonctos t	---⌫|-|-----|----|---|---⌫|
ieuouscommentauroi dep aradi s	-|---|------|-|--|-|-⌫-----⌫|
e tieuousdame l iua llesrespondi	-⌫|-|---|---|-⌫|--⌫---|-------|
a icel mot	|---|--|
sanestdillue cpartis	|-|--||-----⌫|-----|
istp ar zz ieudi	--|-⌫-|-|----|
ainsnefig nadesciqu	---|-|---⌫-|------|
asa inquentin	|--⌫-|------|
xmtrouac orresousetmarrit	-|----|-⌫-------|-|-----|
asai ntquentinen uint	|---⌫-|------|-|---|
lim es s ai g i er	-|-⌫--⌫-⌫--⌫-⌫-⌫-|
elpal aismonte si atroue ́tberni e r	-|---⌫--|----|-||-----⌫-|-----⌫-⌫|
iluoitle me scelprent a araisni er	-|---|-|--⌫|-||----||-------⌫-|
ilcom aués e splotiét	-|--|----|-⌫--------|
ueistesuou s mamie	------|---⌫||---|
au corsli gier	-|---|--⌫---|
oilb iaxsireceler neleuous quier	--|-⌫--|---|----|-|-|---|----|
e lle uousmande	-⌫--|---|----|
s aluset amistie s	-⌫---|-|-------⌫|
ensorquetot ieneluo usquiernoier	----------|-|-||--⌫-|----|----|
lirois l iuueltd oner	-|---|-⌫|----|-⌫---|
zzc heuall ier	-|-⌫------⌫--|
xme t dist quill estpoh ie r	-|-⌫|---|-|--|--|---⌫--⌫|
etmescredi siconioi tesmoin gni er	-|-------|-|--||-|-------⌫---⌫-|
sorsainclootla la	--|---|----|-|-|
doit fiancier	---|-------|
l i doitl oeys	-⌫|---|-⌫---|
zzbo isiaquic iseroit	-|--⌫-|||--|||-----|
etauuec luiyymillecheuallier	-|----|--|-|----|---------|
rauroitia trestornétnan	------|-|----------||-|
xm lent entonques nefu	-||---⌫--|-----|-|-|
a mis distilmo ltte d ois au o ir chi er	-⌫--|---|-|--⌫-|-|-⌫--|--⌫-⌫-|---⌫-|
se ie uisl ongues uous	-|-|--|-⌫-----|---|
a urois m am istie	-⌫----||--⌫----|
p uises criaarmésu ousch euall ier	-⌫--|--⌫---|-----|-⌫--|--⌫-----⌫--|
si redistil tr op	--⌫-|---|-|--⌫-|
p oésatargi er	-⌫---|------⌫-|
mandés xmque	------|-|--|
il uousuaingne a i dier	-|---|------|-⌫-⌫---|
simai s tdiexil l	-||--⌫-⌫|---|--⌫|
bon me stier	--|--⌫----|
xmb ienfaitaostroie r	-|-⌫--|---||-------⌫|
il le mandaet il u int	-|-|----|-|-|-⌫--|
sensta r g ier	---|--⌫-⌫-⌫--|
si amena ol uimil cheuallier	-|----||-⌫-|--|---------|
bernecons alesor xmman dét	--------||-|--|-|---⌫---|
etilatotmild adobés	-|-|---|--||------|
sorsain quentindesce ndi rent espres	--|---|------|-----⌫---⌫---|-|---|
xmleu oi tsiestencontre	-|-|-⌫--⌫|-|--|-------|
decesb iax	-|--|-⌫--|
iexconmencaaplorer	--|-------||-----|
xmdistil por lecors saintomer	-|---|-|--|-|---|----|---|
esteu ousfem eporgrant	---|-⌫--|---⌫|--|----|
dueldemener	---|------|
ianunsfranshonsnesedoit	-|---|----|---|-|-|---|
tantcom ilpuisse	---|--|-|-----|
ces garnemens po rter	--|--------|--⌫---|
pa r mafoit sire	--⌫|-|---|---|
cedist x m l iber	-|---|-⌫|-⌫|--|
ieai telduel	-|-|--|---|
iancu ideforcen er	|-|--⌫--|------⌫-|
poruostrefilleoleuiairecler	--|-----|----||-|-----|---|
l iroisliuueltzzcheual lierdone r	-⌫|---|-|----|-|------⌫---|----⌫|
c estherchanb aussilai	|--|--------⌫--|-||-|
sorsaintcloot li	--|----|----|-|
parlem en senie rt	------⌫--⌫|-|--⌫-|
d oit l oe yscre ant e r	-⌫--|-⌫--⌫-|---⌫---⌫-⌫|
orma mamie u ostrefillemandét	-||||---|-⌫----|----|------|
sor saintcloota zzbrulle t ramé t	--|----|----||-|------⌫|-----⌫|
si estiens	||------|
d a dobés	|-⌫-----|
ielaraur oie sansp lus del arester	-|-|----⌫--|---|-⌫--|-||------|
et dist xmihesus	-|---|-|-----|
de m ai este	-|-⌫--⌫---|
pe re prospicequia	--⌫-|-------|--||
ceesgardét	-|--------|
seestiens y yd ad obés	-|------|-⌫||--⌫----|
siseriensnous paryy	-|------|---|--|-|
foisd es robés	---|-⌫--⌫-----|
etdist xmpar	-|---|-|--|
saintetrinite	-----|------|
moltmedes confortés	---|-|---⌫---------|
uocouardise	-|--------|
nepoésplus celer	-|----|---|----|
iraiatotadobés	---|---|------|
etdist xmtante n aués parlét	-|---|-|---|-⌫|----|------|
soren deuoie	|-|-|-----|
e st retos deco p és	-⌫--⌫-|--|----⌫-⌫--|
siferaiiela uostreuole nte	-|----|-|-|-----|----⌫--|
oruerralenq u iser aal osés	-|----|--|-⌫-⌫|---⌫|--⌫----|
qu i mie xferra	--⌫|---⌫|----|
espee delles	----|--|--|
etdi stxm or	-|--⌫-|-|-|
auésbien parlét	----|---|------|
passa auant aspieslenest alés	----|----|-|---||-|--|----|
ata ntmon tere ntn i sont	---⌫-|---⌫----⌫-|||---|
plusdemo rés	---|----⌫---|
troismilli ersfurentas ue rshia umesgemmés	----|-----⌫--|-----|-|--⌫-|---⌫---|------|
enuersparisprennenta cheminer	-----|----|-------||-------|
etioretnui t	-|--|-|---⌫|
p e nce ntdes peronner	-⌫-⌫---⌫-||--⌫-------|
tantqu eiluinre nt	------⌫|-|-----⌫-|
e ns elbrulletramét	-⌫-|-|------|-----|
sorsaint clootdontuousoitaués	--|----|----|---|---|--|----|
illuec sesontcelle n uitoste le ́s	-----|-|---|----|-⌫--|----⌫--⌫-|
li b aron sont	-|-⌫---|---|
enbuchiésen	---------|-|
belleestliherbe	----|--|-|----|
etmoltbiaxligrauois	-|---|---|-|------|
aumatin et c estl eués	-|-----⌫-||--|-⌫----|
nostr ero is	-----⌫|--⌫-|
uaitoirmesseaumos tier	---|--|----|-|---⌫---|
sa inte crois	--⌫---|----|
q uant o rfu	-⌫---|-⌫|-|
d ite simonte elpalefroi	-⌫--|-|----|-|-------|
et lapuc ele faitm onterdeuant soi	-|-|---⌫--|---|-⌫----|-----|--|
clo ots en est l iro istotdroit	---⌫-||-|--|-⌫|--⌫-|--|----|
so rsaint cloot s en estli roisue n u s	--⌫|----|----||-|--|-|---|--⌫-⌫-⌫|
di eutant i d econtese de dus	--⌫-|---||-⌫|-----||-|--|
ma isni auoien t nelancene	--⌫-|||------⌫|-|----|-|
etxmestforsd el bruell e t	-|-|--|---|-⌫-|------⌫-⌫|
zz rainsel	-|------|
mistpardeuant son	---|--|-----|--|
quenere lui se l iors	--|-|--⌫---⌫-|-⌫|--|
amiequienmi leprefu	---|--|---|-|--|-|
ouuoit xmsi liaament u	-|---|-|-|-||-----⌫|
i euois mamie	-⌫|---||---|
qui uostre	--|-----|
atantdesre gn e son au ferr antcren ut	----|-----⌫--⌫|--|--⌫----⌫--|----⌫-|
li sorxmsi	-|--|-|-|
lauoit detenut	|----|------|
f ransch eu alliers cedistlisorxm	-⌫---|--⌫--⌫------|-|---|-|--|-|
ne uouschaut mieforsdel b ruel let is sir	-|---|----|--|---|--|-⌫----⌫--|--⌫--|
orleslai ssons issir fors	-|--|---⌫----|----|---|
ado nt pr endronsdes	---⌫-|--⌫------|--|
borioisdel a cit	------|-|-⌫|--|
quino set l e uai r etlegris	--|--⌫|-|-⌫|---⌫|-|-|---|
lesb ellesarmeset l escheu a x d epri s	--|-⌫----|----|-|-⌫-|----⌫-⌫|-⌫|---⌫|
lor etlarge nt	|-|-||----⌫-|
dontilsontasasi s	---|-|---|-----⌫|
dont louerons les saudoiersdepris	---|-------|--|--------|-|---|
est roitementfon tle scheuaxtenir	---⌫--------|---⌫|--⌫|-----|----|
que ilne puissentre gin bernehennir	--|-|-|-------|--⌫---⌫--|-|-----|
etlir oisf u	-|-|-⌫--|-⌫|
enmilepretflorit	---|-|---|-----|
sor la uer therbefaitge t erzztapis	--|-|---⌫|----|---|--⌫-⌫-|-|----|
sus cestassi s nostr er oisloeys	--||--|----⌫|-----⌫|-⌫--|----|
deiousteluila fill e au	-------|--|-|----⌫|-|
licheua ll ieret	-|-----⌫--⌫--|-|
licl erc d el pais	-|--⌫--|-⌫-|---|
del autrepar t	-||----|---⌫|
on t lesi ergeporpris	--⌫|-|--⌫---|------|
porlapar oleescoutereto ir	--|-|---⌫--|-------|-|-⌫-|
en piesce dress eliro isdesaint deni s	-|---|-|-----⌫|-|--⌫-|-|----|----⌫|
sin gn ordis tilentendés anuersmi	---⌫--⌫-|---⌫|-|--------|-----|-|
ieuous dirai	-|---|----|
comm e y bersm a baillit	----⌫|-⌫---|||------|
il tintl onord emoidesainquentin	-|---||---|-⌫|--|-|---|------|
d oneea s onfil	-⌫---||-⌫-|--|
do i tdontbastars null ehonormai nten ir	--⌫-⌫|---|------|----⌫|----|---⌫----⌫-|
iene dismie etsinen quie rmentir	-|-|--|--|-|-||-|----⌫|-----|
etuaill ans etha rdis	-|-----⌫--|-|--⌫---|
et c e stedameestfilleau sorxm	-|-⌫-⌫--|---|--|----|-|--|-|
do nerla azz	--⌫--|-||-|
de mesnorri s	-|--|-----⌫|
iedoissaint	-|---|----|
na arce ues que	||----⌫---⌫--|
antres tot monpais	-|----⌫--|--|---|
ne nuleu esqueneabbet bene i t	-|--|--⌫----|-|----|----⌫-⌫|
uueltdesfendreetcontredir	----|--------|-|--------|
quen eli facetoslesmenbres t ol ir	--|-⌫|-|---|--|--|------|-⌫--⌫-|
a dontsetaiss entligr ansetli	-⌫---|-|-----⌫--|-|--⌫--|-|-|
liroisparole	-|---|-----|
coniaporrés	--|-|------|
u ene ́sauant	-⌫---⌫-|----|
xmd epontis	-|-⌫|-----|
prenésla damequeiela uousost ri	------|-|---|--|-|-|---|---⌫-|
etsil respontsireuostre mercit	-|--|------|---|-----|-----|
passaauant parl a mainla saisit	----|----|--|-⌫|---|-|-----|
ilf itquefoxquan t ilsen entremist	-|-⌫-|--|--|----⌫|-||-|--------|
uoitlela dame sia	---|-|-|---|-||
del aforetle	-|-⌫|----|-|
puetonb ieno ir	---|-|-⌫--|-⌫-|
ber nierlententsil aditaxm	---⌫---||-----|-|||--||-|
sire onla donep arl e cors sa int	---|-|-|---|-⌫-|-⌫|---|--⌫--|
seplus ilsui diex	-|---|-|--|---|
m epuistmaleir	-⌫|----|-----|
alésa dieu xm lires pondi	----||---|-|-|---⌫----|
ie uo isdont sirepardieuquine menti	-|--⌫-|---|---|--|---|--|-|----|
adontc eslaissent	----||---------|
decontredit	-|--------|
xmdeuantqui uo lentie rs le fit	-|-----|--|--⌫------⌫-|-|--|
ahauteuo isaescrier	|----|--⌫-||------|
biax sireroispardieuqui neme nti	---|---|---|--|---|--|-|--⌫--|
si maistdie x ueésci le	-||---|---⌫|----|-|-|
quiuientasnocesxmdepontif	--|----|-|----|-|-|-----|
e tiemeismesuou silua ur aiseruir	-⌫|-|------|---⌫|-|--⌫--⌫-|-----|
duntelseru i se lecuer	|-|--|----⌫-⌫-|-|---|
aurésmarrit	-----|-----|
alés auant ce dist li	----|----|-|---|-|
diex maren i ray yuis	---|--|-|-⌫-|-⌫|--|
nep restrene	-|-⌫-----|-|
abbetb ene i s	----|-⌫---⌫-⌫|
queilne s o ientdetrainchiés et ocis	--|-|-|-⌫-⌫---|------------|-|---|
destrousdesl a nces uontlesmoingnes ferir	--|----|--|-⌫-⌫---|---|--|-------|----|
laueis siés	-|----⌫----|
zzfi erabateis	-|--⌫-|------|
elmondepai en nesarrasin	-|----|---⌫-|-|-------|
lesuei stcuipeiti en enpresist	--|---⌫-|--|-----⌫||-|------|
enfu ie to rne liforsr oi sloeys	-|--⌫-|--⌫--|-|---|-⌫--⌫|----|
ensaconpaing neherchanbau t d epont if	-|-|--------⌫-|----------⌫|-⌫|----⌫-|
en zz b atel seson t ensa i nne	-|-|-⌫---|-|---⌫|-|--⌫-⌫--|
n ares teren tdes cidusqua paris	|----⌫-----⌫|---⌫-|----||----|
etl apuc ele fillelesorxm	-|-⌫|---⌫--|----|-|--|-|
siseseoitencorsor zztapis	-|-|----|----|--|-|----|
bernieralensa ingne	------|||----⌫----|
q uil tint	-⌫|-|---|
elleparlaco niapor re ́s oir	---|----|--⌫|-|---⌫--⌫-|--|
baisiés moi s irepordieuquinementi	-------|--|-⌫--|--|---|--|-|----|
plus ledesirqueriensque	---|-|----|--|----|--|
diexfesis t	---|-----⌫|
etdist xm iann ai	-|---|-||--|-|
moltg rant desir	---|-⌫---|----|
mais debaisi ern	---|-|-----⌫-||
es tilm ieorloisir	--⌫|-|-⌫-|-|-----|
quanti e seraiarier asa int quent in	----|-⌫|----|----||--⌫--|-----⌫-|
uau raimanoieret te nir	---⌫--|------|-|--⌫--|
acesparolese su ous les or	|--|------|-⌫|-⌫--|-|-⌫-|
ahauteuoisa	|----|---||
escrier cespr is	------||-|--⌫-|
con celsoient	---⌫--|-----|
li maffesu is	-|-----|-⌫-|
tene ́s lenchautfr anscheuallie rs de pris	----⌫-||------|--⌫--|---------⌫-|-|---|
et dis txmto utauostreplaisir	-|---⌫|-|--⌫-||-----|------|
apresiaxpo ignentlesbon sdestri ers	----|--|--⌫-----|--|---⌫|------⌫--|
en lorconpaingneyy poingneis	-|--|---------|-|--------|
auret ornerquexmlorfi t	-|---⌫----|--|-|--|--⌫|
yydes lorsontre tenuset	-|--|---|--|--⌫----|-|
et la roine et lohe rel sonfil	-|-|----|-|----⌫--|--|--|
etlapucellef ill elesorxm	-|-|------|-⌫---⌫|-|--|-|
firent mo ntersor zzmulet depr is	-----|--⌫---|--|-|----|-|--⌫-|
sonnent lorco rssisontelr eto rmis	------|--|--⌫-|-|---|-|-⌫---⌫|--|
ainsn aresterentdesciqu	---||---------|------|
a sain qu e nti n	|---|--⌫-⌫---⌫|
xmeniur eceliq ui le m ondefit	-|-|---⌫|---|-⌫-|-|-⌫---|--|
nanisteront tantc om il uis	|-|-------|---|-⌫-|-|--|
seneli rent	-|-|-|---|
lirois tresto ussespris	-|---|------⌫-|--|---|
ybert so npe reetgautierleiantil	----|--⌫|--⌫-|-|------|-|-----|
et les yy qu an la chartre	-|--|-|-|-|-|------|
lienpereres	-|--------|
p or la roinequ eenmai nne xm	-⌫-|-|----|--⌫|-----⌫--|-|
droi senpere res dist	----⌫|------⌫--|---|
doosde saintdenis	---|-|----|----|
bonepiec ea quel uousauoiedit	---|----⌫||--||---|----|--|
se l eustprise xm depontif	-||---|----|-|-|-----|
neldeffendit trestousl orquediex	-||--------|-------||-|--|---|
queilnefu s t detrainchiés et oci s	--|-|-|--⌫-⌫|------------|-|---⌫|
s a monconcel u ous en	||--|-----|-⌫--|-|
uol ie ́st enir	---⌫--⌫-|-⌫---|
mandés xmfr ansr oispoestei s	------|-|--⌫--|-⌫--|-------⌫|
sirendés saterre	-|------|-|----|
et so npais	-|--⌫|---|
detoutespars s oie nt rendusli pris	-|-----|---|-⌫---⌫-|-----|-|---|
acordésuoussi s oiésbon	-------|---|-|-⌫----|--|
tantestpreudons b ien en se rois s eruis	---|--|-------|-⌫--|-|--⌫---|-⌫----|
d iexdistli r ois congent concel aci	-⌫--|---|-|-⌫--|--|---|-----||-|
mos nousen	--|---|-|
ferate nir	---|--⌫--|
ielidonraizz muidemonorfin	-|-|-----|-|--|-|--|-|--|
e tieiraidistd os desaintdenis	-⌫|-|---|---|-⌫-|-|----|----|
etdistliroi s de	-|---|-|---⌫|-|
u aitque plusn	-⌫--|--|---||
ilestmontés	-|--|------|
el bon destrier	-|--|-------|
ainsnef i gnadesciq u asa in	---|-|-⌫-⌫--|------⌫||--⌫-|
ilde scendi	-|--⌫-----|
onbredunp in	----||-|-⌫-|
lesdegresmo nte delpalais ma rbrerin	--|-----|--⌫--|--|-----|--⌫------|
xml e uoit	-|-⌫|---|
ce st ancontresaillis	|-⌫-|-------|------|
cousin sdistil	------⌫|---|-|
bienpuissiés uousuenir	---|--------|---|----|
quefait li r oisconment	--|---|-|-⌫--|------|
secontientil	-|-------|-|
pa r mafoitsiremol t l ai	--⌫|-|---|---|---⌫||-|
laissiétmarri	--------|----|
lirois uo usmande	-|---|--⌫-|----|
le uousdis	-|---|--|
acor dé suouset	----⌫---⌫|---|-|
soiés bon ami	-----|--|--|
et distx m dedieu uostre	-|---|-⌫|-|---|-----|
ieanfe rai tre stoutuostreplaisir	-|-|--⌫--|---⌫----|-----|------|
enriant silidit	-|----|-|-|--|
oie ́s q ue mande	---⌫-|-⌫-|----|
de sai nt d enis	-|---⌫-|-⌫---|
acordon sn ous	-------⌫|-⌫--|
et s oien sbon ami	-|-⌫----⌫|--|--|
etdistxm par	-|---|-|--|
ma fo itielostri	-|--⌫-|-||----|
aces mosmon tentl ic heuallierde	|--|--|---⌫---|-⌫|-⌫--------|-|
etauueci axmi l cheua lli er depris	-|----|-⌫-|--⌫|-----⌫---⌫-|-|---|
desai nquentinsesont	-|---⌫|------|-|---|
tuitde par tis	---|--⌫---⌫--|
a tantsanuontalauoieso ntmis	-⌫---||-|---||-|---|--⌫-|--|
tantonterrét le splain setle sl arris	---|--|-----|--⌫|-----⌫|-|--⌫|-⌫----|
qu ilso ntuenus	-|-|--⌫-|----|
ala cort a paris	|-|---||----|
lero itrouuerentet	-|--⌫|---------|-|
morn eetpe ncis	----⌫|-|--⌫---|
il desce n direntd esoslonbredunpin	-|-----⌫-⌫-----|-⌫---||----||-|--|
puis sont montés elpala issingnori	---|---|------|-|----⌫-|-------|
li ro islesuo it	-|--⌫-|--|--⌫-|
e nc ontres aillis	-⌫--⌫----|-⌫-----|
asse slesa acole ́setiois	----⌫|--||-----⌫-|-|---|
xm baisaet puisles orxm	-|----|-|---|-|-⌫-|-|
faiteest l a	----|--|-⌫|
paisladamr edie umercit	---|-|----⌫----⌫|-----|
terre etsonpais	----|-|--|---|
etdeyypars	-|-|-|---|
furentre nduslipris	-----|--⌫---|-|---|
p uis s en	-⌫--||-|
departentbauset	--------|---|-|
ioi ansetfis	---⌫--|-|--|
as a inquentinestxm re uertis	|-⌫-⌫-|------|--|-|--⌫-----|
etaarras ala li	-||----|--|-|
oluigau tiersqui	|--|---⌫----|--|
moltfu cesam is	---|-|--|--⌫-|
e tp uisd illuecalaencambre si s	-⌫|-⌫--||-----|--|-|------⌫--⌫|
ueo ir s an tainaal ai s a ucleru is	---⌫-||--⌫---|---⌫--⌫|-⌫|---|-⌫-|
a rib uemontest ybersreuertis	|---⌫-----|--|----|-------|
g rantioiefucel iorrecoillis	-⌫---|---|-|--|--|--------|
aribuemont fu ybe rsli c or tois	|--------|-|---⌫-|-|-⌫--⌫---|
etxma sainq uent in	-|-||---|-⌫----⌫-|
auuec sa femme	----|-|----|
lanma enfo i	|---|-|--⌫|
puisfuainsiszza net	---|-|-----|-|-⌫|-|
zziorape lles auari lecortois	-|--|---⌫--|-⌫----|-|------|
perron le preusethenridamino is	-----|-|----|-|----||-----⌫-|
barondisti lpordieuconcillié s moi	----|---|-⌫|--|---|----------⌫|--|
pic hiesaifaisdontie	---⌫---|-|---|---|-|
grantpao r oi	----|---⌫|-|
mainthomea imort don tie suien esfroi	----|---|-⌫|---|---⌫|-|--|-|-----|
raoul o ciscertes ce poisemoi	----|-⌫--|-----|-|----|--|
dusqua santgile	----||---|---|
u uela ler demanois	-⌫--|-⌫--|-------|
proierailiqueplaidis so itpormoi	-------|-|--|------|--⌫-|--|--|
ue rsdamredieuqu isires estet	--⌫-|--------|--⌫|----|--|-|
etdis tla dame ieiraiauu ec t oi	-|---⌫|-|---|-|---|---⌫-|-⌫-|
etd ist xm	-|-⌫--|-|
nonferésp ar ma	--|-----|-⌫-|-|
etdistladame	-|---|-|---|
orasdit grantb offoi	-|-|--|----|-⌫----|
iac edie un ire ́s zzi orsans moi	-|-⌫|---⌫||---⌫-|-|-⌫-|---|--|
etdi st xma	-|--⌫-|-||
u ostreplai si r soit	-⌫----|----⌫--⌫|---|
i llapresta son oireets onharnoi s	-⌫-|------|--|---|-|-⌫-|------⌫|
yyc heualliersanmena au uec	-|-⌫---------|-----|--⌫--|
etyyseria ns porf air ele	-|-|-----⌫-|--|-⌫---⌫|-|
pu issachemine ntbellement	--⌫-||--------⌫-|--------|
sansdel oi	---|---⌫-|
etc heuauchierentyy ior ssans deloi	-|-⌫------------|-|---⌫|---|----|
dusquasaint gil een sontuenus	----||----|---⌫|-|---|----|
etd escendirent z z samedi	-|-⌫----------|-⌫|-----|
l a iantildameot le	-⌫|-----|---|-|-|
ioreutfro it	--|--|---⌫-|
prist lic es	----|-|-⌫-|
maxcondieu plaisoit	--|--|---|-------|
cellenuito tzzbelenfant cortois	----|---|-⌫|-|--|-----|------|
qui pu is ot terre	--|--⌫-|-|----|
et honora tenoir	-|----||-----|
landem ainfutl anfes	|-----⌫--|--||----|
andem ainque li	-----⌫--|--|-|
iorsparutcle r	---|----|---⌫|
ontfait lanfant baptisier etleuer	--|---||-----|--------|-|----|
le nonsaint g ile liontf ait	-|--|----|-⌫--|-|--|-⌫--|
porcequil fudedens	--|-|-|-|-|-----|
lauillen és	-|----|-⌫--|
d orenauantier t iu liiensnommés	-⌫--------|---⌫|--⌫-----|------|
endemantie r squ euous moésconter	----------⌫-⌫---⌫|---||---|-----|
lir oiscorsubl eafait x xmsmander	-|-⌫--|-------⌫||---|-⌫--|-----|
etlamas sorsd e cord es	-||----⌫---|-⌫|----⌫-|
