#MET A# TextURI	----⌫-|------|
Al exisP RI	--⌫-----⌫-|
#META#MsOthe r	-----|------⌫|
#META#MsNum1	-----|----||
#META#Ms DateARL	-----|--⌫------|
# META#M sDateAdi	-⌫----|-⌫-------|
# META#Form	-⌫----|---|
#META #Complet e	-----⌫|-------⌫|
#META#NoWords	-----|------|
#ME TA#No L ines	---⌫--|--⌫-⌫---|
#META#Di alAu th	-----|--⌫----⌫-|
#META#Di al Scribe	-----|--⌫--⌫-----|
#MET A#ScanUR Lhttps//archiue.org/details/ lau iedesain tale03alexgoog	----⌫-|------⌫|---------------------------⌫---⌫--------⌫-------------|
#META#ScanURIO ther	-----|--------⌫---|
#META#A rkIDark/13960/t1 ih3nt8t	-----|-⌫---|------------⌫------|
#META#LccnID 140225 1 4	-----|-----|------⌫-⌫|
#META#OclcID 676051 75	-----|-----|------⌫-|
#M ETA#WebAuthorDauid	--⌫---|--------|----|
IosephWrisley	-----|------|
#META#ORCIDWebAuthororcid .org/ 0000-0 002-0355 - 1487	-----|-------------|-----⌫-----⌫------⌫--------⌫-⌫---|
#M ETA# WebReuiewer	--⌫---|----------|
#M E TA#ORCIDReuiewer	--⌫-⌫--|------------|
#META #Mi s cInfo	-----⌫|--⌫-⌫----|
#MET A# C CLicense CCBY-NC-SA4. 0	----⌫-|-⌫-------|-|-------|--⌫|
Interna tional	-------⌫-----|
Page u01P 222	----⌫----⌫--|
CEST LIR O U MANSDE SAINT AL ES SIN.	|--|-|-⌫-⌫-⌫---|-|----|--⌫--⌫---|
Sig nouret	---⌫---|-|
damesentend ésun	----|------⌫--|-|
Dunsa intismeh ome quiAllessisotnon	|-|--⌫------|-⌫--|--|-------|-|--|
Etdune femequei lpr i st	-||--|---|--|-⌫|--⌫-⌫-|
QueilguerpipourD i uso nC reatour	--|-|-----|---|-⌫-⌫|--⌫|-⌫------|
Ca s tepuceleet g lorious eflour	--⌫-⌫-|-----|-|-⌫-------⌫|----|
Qui ainsa li nenotc onuercion	--|---||-|--|-|-⌫--------|
PourD iulefist sena bon	---|-⌫-|-|---||-||--|
Saulueen estl ame	-----|-|--||--|
e lcielnostresignour	-⌫|---|-----|------|
L i co rsengist aR ome	-⌫|--⌫-|-|---||-⌫--|
agrant hounor.	|----|------|
Bonsfu lisiecles a utans ancienour	---|-|-|------|-⌫|---|--------|
10Quarfo isiert	-|---|--⌫-||--|
etiusticeetamour	-|------|-|----|
Si ier tcreancedont	-|---⌫|------|---|
or niamais	-||||---|
Siestmuésperd ueasaualour	-|--|----|----⌫-||-|-----|
[Iamais n iert	------||---|
telsc omfut a usancesours.]	---|-⌫-|--|-⌫-|----------|
Fau ti libiensnipuet auoirui gour	---⌫||-|----|||---|----|--⌫---|
Neportefoil a moillier so n	-|----|--|-⌫|-------|--⌫|
Neliuasalsn	-|-|-----||
e st faalsau	-⌫-|----|-|
A ess ient p erdonsnostresignour	|---⌫---|-⌫-----|-----|------|
Fra isleestlauie ned u erraI ons iours	---⌫---|--|-|--|-|-⌫-⌫---|-⌫--|----|
Altans NoéetaltansAbraham	-|---|---|-|-|---|------|
Pageu01P223	----------|
Eta D auiqueDieus	-||-⌫--|--|----|
par ama tan t	--|--|---⌫|
Fu bons lisiécl esiamaisnie rtsi u aillans.	-|---|-|------⌫-|-----||--⌫-|-|-⌫-------|
Sestempieréset l ibiens uamoran t	|--|--------|-|-⌫|----|-|-----⌫|
Neporte foi	-|----|--|
li pé re sone nfant	-|---⌫-|--|-⌫----|
Nelefiusau parrin	-|-|---|-|-----|
tant ne q uant	---|-|-⌫---|
Etlisignour	-|-|------|
moil lierboisant	----⌫---|------|
Liordenéuont leloi	-|------|---|-|--|
m al menant	-⌫-|-----|
T respasséont leDamediu comma nt.	-⌫--------|--|-|------|-----⌫--|
EtsaintesglisesfillesIherusalem	-|------|-----|-----|---------|
Detoutentoutseuontafoibl ian t.	-|---|-|---|-|---|------⌫---⌫-|
La foisd e lsiécle seuat o utefalan t	-|---|-⌫-⌫|------|-|-|-⌫-⌫--|-----⌫|
Fraisleestl auiene duerralonc	------|--|-⌫|--|-|-----|---|
Conteraiuousdelpéreetdel enfant.	-------|---|--|----|-|-||------|
Que demen çoi gneni a netantnequan t.	--|-|---⌫----⌫--||||-|---|-|----⌫-|
S a int eescri ture em puistraire agarant.	-⌫-⌫---⌫|-----⌫---|-|---|-----||------|
Li fiuss eruibie n Dieu a	-|---|-⌫---|---⌫|---||
son uiuant	--|-----|
Li corsengist	-|---|-|---|
enor et enarge nt	-|-|-|-|----⌫-|
Lameeste nglore	|--|--|-⌫|----|
aDiu com mandement.	|--|---⌫---------|
Lipéresf up r eudom e thounerés	-|-----|-⌫|-⌫-⌫----|-⌫|--------|
Diuamabiens imaintint	--|--|---|-⌫|-------|
Mais lifiusfumeld res	---|-|---|-|----⌫--|
deluiassés.	-|--|------|
A so n uiuantseru isi	|--⌫|-----|----⌫|-|
Quenblan c	-|-|----⌫|
argent et enor esmeré	-----|-|-|-|------|
licorsa R oume l aci té	-|---||-⌫---|-⌫|--⌫--|
Toutcill eséuentki	---|--|-⌫|------|-|
aRoumeontale ́	|----|--|---⌫|
Et cer kiéont	-|---⌫---|--|
par lesma istresautés.	--|--|--⌫-----|------|
Lisiens mou stier sne	-|----|---⌫-----⌫|-|
obli é s.	----⌫--⌫-|
iourque D ius	---|--|-⌫--|
n osuintsauuer	-⌫-|---|-----|
Nostre ancissourorentcr estienté	-----|--------|----|--⌫--------|
Funésunssiresa Ro umela cité	-|---|--|----||--⌫--|-|----|
Riceshomfu de grantno b ilite ́	----|--|-|-|----|--⌫-⌫-----⌫|
Po ur ço uuous did un s ie n	--⌫-|---⌫|---|-||-|-⌫--⌫|
f iluoelparler.	-⌫-|---|------|
Eufemi ensensi	------⌫--|---|
ot no n l ipéres.	-|--⌫|-⌫|------|
Desbelisors qui a celiouriérent	--|-------|--||--|---||-----|
Quen sfu deRoume de	----⌫|-|-|----|-|
t o utel acon trée	-⌫-⌫--|-⌫|---⌫----|
55[Donc pristmo illier uaillantet	-|----|----|--⌫-----|-------|-|
Fille Floure nt onon Boi ne Eurée .	----|------⌫-||--|---⌫-|------⌫|
Bone Eurée	---|-----|
otno n Flou rens.	-|--⌫|----⌫----|
Ill espousaaulos	-||------|-|--|
desesparens	-|--|-----|
Pageu01P2 24	---------⌫-|
Puis conuersér ente nsanlelongement.	---|----------⌫--|-⌫-----|---------|
Quenfant nen	-|-----|--|
orentpoiselor enforment	----|----|--|-|------|
Diuen apèlentandoi	--|-|-------|----|
p arfitement	-⌫---------|
ERo is deglore parto ncom mandem ent.	|--⌫-|-|----|--|--⌫|---⌫------⌫---|
Soittamerc isettesotriemens	---|-|----⌫-|-|--|--------|
Qu enfantnousdonnesquisoitaton talent.	-|-----|---|-----|--|---||--|------|
Tant lipri é rent par	---|-|---⌫--⌫---|--|
granthumilité	----|--------|
Quela moi llierdonnafecondité.	--|-|---⌫----|----|----------|
Un f illordonnesilenseurent bongré	-|-⌫-|--|----|-||-|------|--|---|
D esaintbastesmel	-⌫|----|-------||
ontfaitr e n gener e r	--|---|-⌫-⌫-⌫-----⌫-⌫|
Belnonl i misents elonc c restienté.	--|--|-⌫|-----|-⌫----|-⌫----------|
Baptisiésfus	---------|-||
ota nonA lessi.	-||--|-⌫-----|
Qu i le p orta	--⌫|-|-⌫---|
uolentierslen ourri	---------|-|-⌫----|
Pu islibonsp ér esaes col e l em ist	--⌫-|-|---|-⌫---⌫-||--⌫---⌫|-⌫|-⌫--|
Tantap rist letreske	---|--⌫---|-----|-|
bi enen fugarnis	--⌫-|-|-|-----|
Puislenuoia lempereour	---||-----||--------|
Li emperé resotnonOteuians.	-|-------⌫--|-|--|--------|
Illuecserui	-----|----|
enfrec ia set	------⌫||--|
a faitsonmaistr ecambrelenc .	|---|--|------⌫|----------⌫|
Se licariatousses commandemens	-|-|----|---|--|-----------|
E tsa ius ticedeseurtoutesa	-⌫|-|---⌫---|-----|----|-|
Ceua usetmurset	----⌫-|-|---|-|
pal efroi sambla ns	---⌫-----⌫|-----⌫-|
Etplainnes male sentreor finetargent.	-|-------|----⌫|----|-|--|-|------|
Sonpéreamasi l	--|----|--|-||
donn étant	----⌫-|---|
Eta samérerice	-||-|----|---|
sontetman ant.	---|-|---⌫---|
Oruoit li pérequema is nara	-|---|-|----|--|--⌫-||--|
Mai sque ceseul	---⌫|--|-|---|
que ilpar aimme	--|-|--|----|
Dontse pourpen sede lsiécle a en	---|-|-------⌫-|--⌫|------||-|
p re n gemoi llierasonuiuant.	-⌫--⌫-⌫-|---⌫----||--|------|
Pour lia qu ise lefilleu nnoble Franc.	---|-||--⌫--|-|----|-⌫|----|-----|
La pucele iert d emoult	-|-----|---|-⌫|----|
grant parenté	----|-------|
Fill eauncontedeRome	----⌫||-|----|-|---|
Lesigneo tnonses	------|-⌫|--|--|
père sSignourés	-----⌫|---------|
d e nf ans bien lepuet marier.	|-⌫--⌫--|---|-|---|------|
Emsambleenuontli	-------|-|---|-|
doi pérepa r ler.	--|----|--⌫-⌫---|
Lesdousenfansueulentfaire asambl er.	--|---|-----|------|----|------⌫--|
P age u 01P22 5	-⌫---⌫-⌫-----⌫|
Noumentletermedeleur	------|-|----|-|---|
assamble ment.	--------⌫----|
Quant uint auiourselfisent	----|---|-|---|-||-----|
Ensel moustie rsaint Iehandel Latran	--|-|-------⌫|----|----|--|-----|
SainsAlessis allosdes es parens.	----|------|-|--|-|-⌫-|------|
L a espo uséemoulthounerablement.	||----⌫----|----|--------------|
Maisde toutçou ne	---|-|---|---|-|
uausis tilnient	------⌫|-|----|
touta aDiu sontalent	---|||--|--|-----|
PlusaimmeDiuquenu lerienuiuant.	---|----|--|--|--⌫-|---|------|
Quantçou fucoseq u eillot espouse ́e .	----|---|-|---|-⌫-⌫|-||-|-------⌫--⌫|
Des es alue s moult genteme ntdoue ́e	-|-⌫-|----⌫|----|-------⌫-|----⌫-|
105M outenful iése tli pére e tli	--|-⌫--|-|-|-⌫---|-⌫|-|----|-⌫|-|
Etsiami etc ilde lacontr ée.	-|-|--|-|-⌫-|-|-|-----⌫---|
P uisl emmenaa	-⌫--||-----||
le ma isonsonpe ́re.	-|--⌫---|--|--⌫---|
Quantlor conroi orentaparelli e ́.	----|--|-----|----|--------⌫-⌫-|
des n oeceslepremerainmangier	--|-⌫----|-|--------|------|
Decelsainthoum e	-|--|----|----⌫|
queDiexparot t ant	--|---|--|-|-⌫--|
femekeilprist amoillier.	---|-|-|----||--------|
uouslanui tcangier.	---|-|---⌫|-------|
Cedist li péresBia usfiusaléscoucier	-|---|-|-----|---⌫-|---|----|------|
Auoectesp ouse aDame diucon gié.	----||---⌫---||----⌫--|---⌫----|
lie nfesson pér e	-|-⌫---|--|----⌫|
corec i er.	-----⌫-⌫--|
Susse le ua enuis u uolentiers.	--|-|--⌫-|----||----------|
ua enlacambre o	-|-|-|-----||
sa g e nte	-|-⌫-⌫--|
mo illier.	--⌫------|
Li pe ́re ifu et	-|--⌫--||-|-|
cou c ier.	---⌫-⌫---|
Lecambreon t fa ite	-|-----|--⌫|--⌫--|
ence nseretioncier	----⌫---|-|------|
Ten dentipa iles a	---⌫---||--⌫---||
orentr el aciés .	-|----⌫--⌫------⌫|
Qu antil sen	--⌫--|-||-|
issentsifon tl uisuerillier	-----|-|---⌫||--|--------|
Adous sergansles f ontla nuitgaitier.	|---|------|--|-⌫--|-|---|-------|
SainsAlessins aparlétou sprem iers.	----|-------||-----|---⌫|----⌫----|
Sa ins A lessinses gardalapucele.	--⌫--|-⌫------|--⌫----|-|------|
Asse ́ siardent candoilese t lanternes.	----⌫-⌫||-----|--------|-⌫|---------|
Mout lauitgente et	---|-|--|----|-|
couroi teuseetbele	------⌫----|-|---|
entome ue rslesignou rce le stre	-|---|--⌫-|-|------⌫|--⌫--⌫---|
Qu ilamo it p lusquenuler iens	-|-|---⌫-|-⌫--|--|---|-⌫---|
ter re stre	---⌫--⌫---|
Elasd it-ilcom	---|-⌫----|--|
forsp e ch iésmapresse	---|-⌫-⌫--⌫---||------|
S ornenmenuois ioucrien	|-|--||-|---|--|----|
qu eneteperde	--⌫|-|-|----|
Quim e fesis pe ́re q ui toutgouuernes	--|-⌫|----|--⌫--|-⌫-|---|--------|
Pageu01P226	----------|
Regar de m oi detesclersex enterre	-----⌫-|-⌫-|-|--|----|-|-|----|
Queneper désnemoi	--|-|---⌫---|-|--|
nelapuc ele.	-|-|---⌫---|
Donnés mo is ireitelseruicefaire	------|--⌫|-⌫--|---|------|----|
Conq ues diables denous dousn	|---⌫--|------|-|---|---||
aitp oeste.	--|-⌫-----|
Mes péres m	--|-----||
aimesicui degr antbi en faire.	---|-|---⌫-|--⌫--|--⌫-|-----|
Quime desfie	--|-|-----|
delauiet erestre	-|-|--|-⌫------|
Tollirmeuieut	-----|-|----|
no stresignou rcelestre .	--⌫---|------⌫|--------⌫|
Quant enlacambr efurent andoi	----|-|-|-----⌫|-----|----|
Sains Al essisp rist al ia	----|--⌫----|-⌫---||-⌫||
Le morte l u ie	-|-----⌫|-⌫-|
lipristmoltablasmer	-|----|---||------|
Del a celestreli moustre uérit é.	-|-⌫|-------|-|------|------⌫--|
Queluierttar tkeilsenfusttournés	--|--|--|---⌫|-|-||-|---|-------|
Beledistilc el ui	---|---|-|-⌫--⌫-|
trai a garant	---||-----|
Quinousraienstdeson precie ussanc	--|---|------|-|--|------⌫-|---|
Etde lauiergenefu	-|-|-|-------|-|
nésem Bel li ant	---|-|---⌫--⌫--|
Etbaptistereprist el	-|---------|----|-|
flumdeIordant	---|-|------|
Lasoieuienaraia finement.	-|---|--||--|-|--------|
Beledistilcelui tien a	---|---|-|----|---||
Quinousraienstdesonsanc precious	--|---|------|-|--|---|-------|
Car ence stsieclenenaparfiteamour	--|-|--⌫-|-----|--||------|----|
Amout gra nt	|---|---⌫-|
ioie sasamblent peceour	---||--------|------|
Mais ildesoi urentadoeleta tri stour.	---|-|-----⌫----||---|-||---⌫-----|
Quantsesparole sliotissi conte ́es	----|--|------⌫|-|-|---|-----⌫--|
Etlapucele	-|-|-----|
lesotb ien esc outées	--|-|-⌫--|---⌫------|
Delcouuretoiruapuisacouueté e	--|---------|-|---|---------⌫|
Pristunaneldo ntillot	----|-|---|--⌫-|-||-|
Dousp ars enfistal trenc a nt	---|-⌫--|-|---|-|-----⌫-⌫-|
Lunepartie l	|--|-----||
recou mand ée	-----⌫----⌫--|
Seli priaquele	-|-|---|-|--|
soitbi engar dée	---|--⌫-|---⌫---|
lidem andek ele	-|---⌫---||--|
soi taprestée	---⌫|--------|
Em samb le luien a la utre portée.	--⌫----⌫-|--|-|||-⌫---|-------|
Quese iamaisreuientasa	--|-|-----|------||-|
Etill imoustrele sensegnesprouuées	-|-|-⌫|------|--⌫|-------|--------|
Quel rec o unoisseentreli et sa m ére.	--||---⌫-⌫------|----|-|-|-|-⌫----|
DistlapuceleOr suimoltesgarée	---|-|-----|-|--|---|-------|
Pa geu01P227	--⌫--------|
Mainn eme ladunttumasamene ́e.	-----⌫|-|-|---|-||-|-----⌫--|
Por coime laisIamastu	--|--|-|---|-||-|-|
espousée.	---------|
Queque rras ore	--|---⌫---|--|
enestrange c on tré e	-|-------|-⌫--⌫----⌫|
Qu e poraidire tonpére net a	--⌫|----|---|--|----|-|-⌫|
Sempresmarontdelorterre ieté e.	------||----|-|--|----|-----⌫-|
en iraicomautreasoignentée.	-|---|--|----|------------|
Te lhon tea raiiam ai s	--⌫|---⌫-|-⌫--|---⌫--⌫|
nie rehoune rée.	|--⌫-|-----⌫----|
Bele distiln e ste smiesenée	---|---|-||-⌫---⌫|--|-----|
tiensi deu iensespous ée	---|-|---⌫--||------⌫--|
Tameiertelcielro ine coro u née	|--|---|-|---|--⌫--|----⌫-⌫---|
Em P ar adisiertmise	-|-⌫--⌫---|---|---|
etaleuée.	-|-------|
Bele di s t il	---|--⌫-⌫|-|
ameestu et d e noscor s	--|----⌫-|-⌫|--|---⌫|
del cors quan te n tere porrist	--|---|----⌫|-⌫|---|------|
iertmoultlie qui Diu ar a	---|----|--|--|--|--⌫|
Droi teniraes ci elsdontelle uint	----⌫|-|--|-|--⌫--|---|---|---|
Al Saint EspirtdontDamediu s	-|----|-----|---|-------⌫|
ente redontil	-|--⌫-|---|-|
fuesta blis... ...	-|----⌫-------⌫--|
Li cars deduistli osne pue tporrir	-|---|------|-|-|-|---⌫|-----|
Doucementflaire	--------|-----|
commeflors en aur il	----|----|-|---⌫-|
Etdelmort home referaD iusle u if.	-|--|---|---|-----|-⌫--|-|-⌫--|
La s limeffaitqu e porrontdeuenir	--⌫|-|------|--⌫|------|------|
Quiestorrade lcors au d epartir	--|------|--⌫|---|-|-⌫------|
Dont li co rsput et	---|-|--⌫-|--|-|
liosestpouris	-|-|--|-----|
abisme tr ebucealmalei s	-----|--⌫----|-|-----⌫|
Souslimoterredo nt	---|---|----|--⌫-|
ia n iert reuertis	-||---|-------|
Nesain sne sainte neniert	-|----⌫|-|-----|--|---|
ias i hardis	-|-⌫|-----|
l ip roi t quill i	-⌫|-⌫---⌫|-|-|-⌫|
facemerci.	---|-----|
Pour Diupuceleentençou queioudi	---|--|-----|----|---|--|--|-|
Car tune sésq u e test	--|-|-|---|-⌫-⌫||--|
Quiplus durra ui uer a mou ltpe tit	--|---|----|--⌫---⌫|---⌫-|--⌫--|
uiequi gran s esta	--|--|----⌫|--||
Deln ouuel si ecl equi du errato ndis.	--|-⌫----|--⌫---⌫|--|--⌫---|--⌫----|
Quifait lebien	--|---|-|---|
sereçoitD amedés	-|------|-⌫------|
malcil e stm a leur e ́s	--|--|-⌫-|-⌫-⌫|---⌫-⌫-|
Ens eninferletrebucema u fés.	--|-|----|-|------|--⌫-⌫----|
Pageu01P228	----------|
Souslimoterredont ianiertraca té s.	---|---|----|---||||---|----⌫---⌫-|
Sainte escritureneset	-----|--------|-|--|
auantaler.	----|----|
Dotan tceluikine puet	-----⌫|----|-|-|---|
Si lertdolenzne lest u e t	|-⌫|--|-----|-||---⌫-⌫-⌫|
de ma nd er.	--⌫--⌫--⌫--|
Otlelabe le nece ssede	-|-|-|--⌫-|-|--⌫--|-|
Sirefaiteleor	---|---|--|-|
tec om man t a	-|-⌫--⌫---⌫||
Quant autrementne	----|--------|-|
tepuisretorner.	-|---|--------|
C ilfu moult	-⌫-|-|----|
liéssi uoltdelli t	----|-|---|--|--⌫|
E tenapres lepris tarap eler	-⌫|-|----|-|----⌫||---⌫---|
Belepuc el e c e dist sai n sAle ssins	---|---⌫--⌫|-⌫|---|---⌫-⌫|---⌫----|
Ormenira ie n	-||-|---⌫|-⌫|
estrangep a is	-------|-⌫-⌫-|
Maisio unesaicom	---|--⌫|-|--|--|
iertdel reuenir	---|--|------|
De c estanelqueiouaideparti	-|-⌫--|---|--|--|-|------|
Ces t emoitié qu enmaumoniéreaici	---⌫-⌫|------|-|-||---------|-|-|
Duienun anlerenuoieraici	|-|-|-|-|-|---------|-|
Parunmes aigeumoisei o usui	--|-|---⌫---||--|-|-⌫-⌫|--|
Se ne reuieng puis	-|-|------|---|
pu esp rendremari	--⌫-|-⌫-----|---|
Sau oirporras queal éssuiafin.	---⌫--|-----|--|--⌫--|--||---|
bele si a ie téuncri	---|-||--⌫--|-|--|
Quidesaméreq ueiliuas t al i.	----|-|----|-⌫-|-|----⌫||-⌫-|
Beledisti lu ousme	---|---|-⌫|-⌫--|-|
uolés hounir.	-----|------|
P arDiud istele aiés de mo i merc i.	-⌫-|--|-⌫--|--|----|-|--⌫|----⌫-|
Sire di st	---|--⌫-|
elemoul tai	--|----⌫|-|
moncuermari	--|---|---|
Semo i enpoisepour coime asplus	-|--⌫|-|----|---|--|-|-|---|
Certesnenaiçou	-----|--|-|---|
d itsai nsAlessis	-⌫-|---⌫-|------|
A insuous aim pl usqueriensque	-⌫--|---|--|--⌫-|--|----|--|
Diu sf esist	---⌫|-⌫----|
Sanscelsignourquinous forma	---|--|------|--|---|----|
I al equerraiuil fumor s	-⌫|-⌫|------||-|-|---⌫|
Etau se pulcreuil resurre xi.	-|-|--⌫-----||-|-------⌫--|
Quilno us reçoiue ens elsaint	-|-|--⌫-|-------|--|-|----|
S ir edisteleD iusu ousi laist uenir	-⌫--⌫|---|--|-⌫--|-⌫--||----|----|
Franshomdistele quelleua uras	----|--|---|--|---|-|--⌫---|
G ehisl e moipourDiu eten con fe sse	-⌫---|-⌫|--|---|--|-|-|---⌫--⌫--|
Seiel dihom e	-|-||-|---⌫|
Diuem pu isse i o u	--|-|--⌫---|-⌫-⌫|
Quantil oi que pourDi u	----|-|-|--|---|--⌫|
Dont ne l laissa stpournulauo irdetere	---|-||------⌫-|---|--|---⌫-|-|---|
Ce rtesdistilDamediui ra iquer r e .	--⌫---|---|-|------|-⌫--⌫|----⌫-⌫-⌫|
Pageu01P2 29	---------⌫-|
reçoi ueas onreg ne celes tre.	------⌫-||-⌫-|---⌫-|-----⌫---|
faut mi eahoume	---|--⌫||----|
quile se rue.	--|-|--⌫---|
Au congié	-|------|
Dius i red istla pucel e	--|-⌫-⌫-|-⌫--|-|-----⌫|
Grandduel ar aietnuitetiors acerte s	----|---|--⌫-|-|---|-|---|------⌫|
Iourema nrai	--|----⌫---|
cai t i u eencestete rre.	---⌫-⌫-⌫-⌫|-|----|--⌫---|
Quantiloiquellel	----|-|-|-|---||
oto troié.	-|-⌫------|
homequilpeust courecie r.	---|--||----|--------⌫-|
Siredist eleco m ert de lre p ai rier	---|---|--|--⌫|--|--⌫|--⌫-⌫--⌫---|
Dimele termes el	-|-|-|----|-⌫-|
f eraimetreembrief .	-⌫---|----|-|-----⌫|
Moutasdurcu erqui	---|-|--|--⌫-|--|
orme ueuslaiscie r	-|-|---|-------⌫|
Etpére et	-|----|-|
mére qui part	----|--|--||
ontsitréscie r.	--|-|----|---⌫-|
Iou suim oult	--|--|-⌫---|
fole si ne fasmiebien .	---|-|-|--|--|----⌫|
Quant ne tefai et piésetmains loiier.	----|-|-|--|-|----|-|----|------|
D ont ploura	-⌫--|-----|
biausoels desonc ief.	----|---|-|--|-⌫---|
Ce rte spuceled elt ermenesainie nt	--⌫---⌫|-----|-⌫-|-⌫---|-|--|---⌫-|
s etquantua mais	-⌫-|----|-|---|
le n ne sait quant	|-⌫|-|---|----|
Damediu teti en.	------|-|--⌫--|
QueDiusuous	--|---|---|
doi nstaioierepa irier	---⌫--||---|----⌫----|
Senet e uoi	-|-|-⌫|--|
maisnara imoncuer	---||---⌫|--|---|
Bele di stilpourDiune tet argier	---|--⌫-|-|---|--|-|-|-⌫-----|
De Diuse ruir plusnete	-|--|--⌫---|---|-|-|
uoelproiier.	---|-------|
Cariapeciéresne niert si	--|-|--------||-⌫|---|-|
eslo ngiés.	----⌫------|
P arsainte	-⌫-|-----|
gl isenepuisserepai r ier	--⌫--|-|-----|-----⌫-⌫--|
Cestlis eru icesqueDiu paramoultcier.	|--|-|-⌫---⌫---|--|--|--||----|----|
Di st lap uceleSire	--⌫-|-|-⌫----|---|
uous ditesb ien.	---|----|-⌫---|
CarseDi upl aist orle feraimoultbien.	--|-|--⌫|--⌫---|-|-|----|----|----|
SeDiutant m aimequem	-|--|---||---|--||
ap rocier.	--⌫------|
Belep uceleçou	---|-⌫----|---|
dis tsainsAlessi ns	---⌫|----|------⌫-|
Nede uonsmienos cors	-|--⌫---|--|--|---|
siraempl ir	-|------⌫-|
De grans uentre ́esqueu eulentrecueillir	-|----|------⌫--|--|-⌫-----|---------|
Car endement req ueli pecie ́ re u it	--|--------⌫-|-⌫-|-|-----⌫-⌫-|-⌫-|
E ttientl e biend ontli cors do it garir.	-⌫|----|-⌫|---|-⌫--|-|---|--⌫-|-----|
Ilen doit bienpour samedepar tir	-|-|---|---|---||--|-----⌫--|
gr a ntioie quies t	--⌫-⌫-|---|--|--⌫|
L aestla uiequ i	-⌫|--|-|--|--⌫|
ia n eprendra	-|-⌫|------|
D ola ntle corsquitoutueutenglo ut ir	-⌫---⌫-|-|---|--|---|---|-----⌫--⌫-|
Cara don t lame quantlico rsa	|--|---⌫||--|----|-|--⌫-||
t ro p pris	-⌫--⌫|---|
Quant ia liho mnara sic ier	----|-|-|--⌫||--|-|-⌫--|
Pageu01P230	----------|
Puisqui l estmorsetalésasafin	-----|-⌫|--|---|-|----||-|--|
Queialeueulleplus oir	--|-|-|-----|---|--|
Ainsli esttartquei l soitenf ouis	---|-|--|---|--|-⌫|---|---⌫---|
est engen uis.	--|-----⌫---|
Qu i se trauaillepour infer d eseruir.	--⌫|-|--------|---|----|-⌫-------|
Distla pucele Sire uoir auésdit.	---|-|-----|---|---|----|---|
Lesuosraisons doit	--|--|------|---|
Estesles uousbelement	----|--|---|-------|
Plorentdes oelsne	------|--|---|-|
seporentteni r	-|-----|----⌫|
Et lapucele gentement li adit	-|-|-----|--------|-||--|
e nuas sireDieus telaistreu enir.	-⌫|--|---|----|-|----|---⌫----|
Quantautrem entnete	----|------⌫--|-|-|
puisreten ir.	---|-----⌫--|
Dolante en	------|-|
ert celequi tenori	--|---|--|-|---|
Siertlipé resqui	-|--|-|---⌫--|--|
toiengenui.	--|-------|
Etioumeisme quit	-|--|-----|--||
auoieamari.	----||----|
Ioure manraien es trangep ais.	--|--⌫-----|-|--⌫-----|-⌫---|
Et esgare ́eentretousmes amis.	-|------⌫-|----|---|--|----|
Hui uerrai noecesagrantduel	--|-----|-----||----|---|
Sencor n e	|----|-⌫|
t uoide duel m	|--|-|---||
estuetmorir.	-----|-----|
Ort en uasi rei ou	-||-|-|--⌫-|-⌫-|
teco m man t	-|--⌫-⌫---⌫|
Q uant autrem entn e	-⌫---|------⌫--|-⌫|
tepuisr etorner.	-|---|-⌫-------|
