#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
Quem e d aignie rent	--|-⌫|-⌫------⌫---|
Queieceste	--|-|----|
estoire entendisse	------|---------|
Età rimer	-|-|----|
l entrepreïsse	|------------|
Deuxdamesencu i maint	---|----|-|--⌫|----|
Desensdebiautédeualour.	-|---|-|------|-|------|
Pag eu01 P002	---⌫----⌫---|
L eur n ons neu u eil enapertdire	-⌫--|-⌫--|-|-⌫-⌫--|-|----|---|
Car leurpaisaimetdout leu rire	--|---|---|--|-|---|---⌫|--|
Siqueb iensaique ie morroi e	-|--|-⌫--|--|--|-|------⌫|
De duelsefaitneditauoie	-|---|-|---|-|--|----|
Riensforsle ur plaisi ret	----|---|--⌫-|------⌫|-|
le urgré.	--⌫-|----|
P our ce sero ntleurnonnommé	-⌫--|-|----⌫-|---|--|-----|
puissicouuert ement	---|-|-------⌫----|
ne puissentlagent	-|-------|-|---|
Les n onsdelesqua ntles liro nt	--|-⌫--||---|---⌫-|--|----⌫-|
So nneleu r monstr eo u ̀	|-⌫|-|---⌫|------⌫|-⌫-⌫|
lin onsont.	-|-⌫-|----|
L a findeceli ure cerchiés	-⌫|--|-|-|--⌫--|--------|
Se uous le snonstrouuercu idiés	-|---|--⌫|---|------|--⌫-----|
Desdamesd ont m oé sparler	--|----|-⌫--||---⌫|-----|
Là sontlàle s conuienttrouuer	--|---|--|--⌫|-------|------|
querés s euous uoulés.	------|-⌫|---|-------|
Bons i ou rs leursoit	---|-⌫--⌫-|---|---|
hui aiornés	--|-------|
Etdema in etapr èsau ssi	-|----⌫-|-|---⌫--|--⌫--|
Leu rauiengneceque ie di.	---⌫|-------|-|--|-|--|
D iexen ces	-⌫--|-|--|
I I da mesassist	-⌫|--⌫--|-----|
Tantde bonte ́q uanti l	---|-|-----⌫|-⌫---|-⌫|
Etdebea ultékà souaidier	-|-|---⌫----||-|--------|
Iporroiton	|------|-|
pe titaidier	--⌫--|-----|
nifautparuérité	||---|--|-------|
Cho se qu iafie ̀reà	---⌫-|--⌫|----⌫--|-|
Sageetcourtois eetdebonaire	---|-|--------⌫|-|--------|
Estchacune ca rexamplair e	--|------|--⌫|---------⌫|
detous biens pren dre en eles	-|---|----|----⌫--|-|---|
Ta ntpa rso ntet	--⌫-|--⌫|--⌫-|-|
bonneset beles.	-----|-|-----|
maisuuei lcom mencier	---|----⌫|---⌫------|
Ceste mate reapro chier	----|----⌫-|----⌫----|
enaitelcomm andement	-|-|--|----⌫-------|
Qu enidoimetr elo nguement.	--⌫|||--|----⌫|--⌫--------|
Pageu0 1 P0 03	------⌫-⌫--⌫-|
Mo ult metiengàboneu ̈ré	--⌫--|-|----|-|-----⌫---|
Q ua nt te ́sdames mo nt comman dé	-⌫--⌫-|--⌫-|----||-⌫-|------⌫--|
Defairechose	-|----|----|
qui leurplaise	--|---|-----|
bienestreetaaise.	---|----|-|-----|
Etuou s dirairais onpour quoi	-|---⌫|----|----⌫-|---|---|
I oiedecue ra uoir	-⌫--|-|---⌫|-⌫---|
Pour cequen aise n sdo ntseüsse	----⌫-|--||-|--⌫-⌫|--⌫-|------|
uenir àchiefsei eneüsse	----|-|----|-|-⌫||-----|
E nleurdousc ommantpris l auis	-⌫|---|---|-⌫-----|---||---|
Delueurequeieuousdeuis.	-||----|--|-|---|-----|
Damesde si	----|-|-|
tr èsgr anthaute ce	--⌫--|--⌫--|-----⌫-|
Quelesso ntfiren tgentillece	-|---|--⌫-|-----⌫|---------|
Quan tme daignie ̀rent commander	----⌫|-|-------⌫----|--------|
Etcerte s m o u ltendoiamer	-|-----⌫|-⌫-⌫-⌫-|-|--|---|
Hum i litépar c uilefirent.	---⌫-⌫----|--|-⌫-|-|------|
ce quelesme	-|-|---|-|
Kàfaire empreïs sece l iure.	|-|----|--------⌫-|-|-⌫----|
l ip laist men deliure	-⌫|-⌫----||-|------|
Ent e lmaniereet entelpoint	-|-⌫-⌫|------|-|-|--|----|
Que ià de	--|--|-|
ai tpoint.	--⌫|-----|
Car seurtous	--|---|---|
uices sansmenti r	----|---|-----⌫|
Do it o nlemesdirehaïr.	--⌫-|-⌫|-|------|-----|
Etàceabonne rai s on	-|-|-||----|---⌫-⌫-|
Carmesdismuetdetraïson	--|-----|---|-|-------|
Etcilqui entraïson maint	-|--|--|-|-------|----|
Cese ue ntbienmainte s et	-|--⌫--⌫-|---|------⌫|-|
Diex e n lui.	---|-⌫|---|
Or gartD iexd ehonteet	-|---|-⌫--|-⌫|----|-|
Ce a usquimain ent	--⌫-⌫-|--|----⌫--|
enloiauté	-|-------|
Etm edoin stpar	-|-⌫|----⌫-|--|
sauol ent é	-|---⌫---⌫-|
pui s se uen iràc hief	---⌫-⌫-|---⌫-|-|-⌫---|
D erecorderde chiefenchief	-⌫|-------|-|----|-|----|
Latrèsplusmerueill eusee stoire	-|----|---|--------⌫---|-⌫-----|
Qui onquesfustmis eenmemoir e.	--|-----|---|---⌫|-|------⌫-|
Pa geu01P0 04	--⌫-------⌫-|
B iend oitestre en autorite ́	-⌫--|-⌫--|----|-|--------⌫|
Pourc equele estdeuerit é	-----⌫|-|--|--|-|-----⌫-|
Estra itedou tansancien	-----⌫--|--|---|-----|
Dès le t ans	---|-|-⌫--|
Deoclesi en .	--------⌫--⌫|
Direle uous uor raibriément	---|-|---|---⌫--|--------|
le comm encement.	-|----⌫--------|
Èsestoiresdouroid	--|-------|--|--||
T rueu eonque uns	-⌫----⌫|-|--|--|
Fu i ad is q ui Caldus ot	-|-⌫--⌫-|-⌫-|-----|-|
Poissansfuet	-------|-|-|
de grantr e non	-|----|-⌫-⌫--|
Enf a nsot maisne saipas quans	---⌫-⌫-|-|---|-|--|--|----|
Ma i sbiensaique àceluitans	--⌫-⌫|---|--|--|-|----|---|
Espaigneunepuc ele	-------|--|---⌫--|
Quiauo itnon doneYnabele.	--|---⌫-|--|---|-------|
Plusbele ne c onuenist	---|---|-|-⌫-------|
Hoirsfudetr es toutela terre	----|-|-|--⌫--⌫----|-|----|
D Espaigneetdetoutle	|-------|-|-|---|-|
Sage fuenfais et endi s.	---|-|-|---|-|-|--⌫-|
roi squ i moult	---⌫|--⌫|----|
Lafistre que rre	-|---|--⌫---⌫--|
etdem ander	-|---⌫----|
sienfillet	---|---|-|
Quele mariages auint.	--|-|-------|-----|
Marcadigasànon	---------|-|--|
Sa g es et bia u s e tpre use stoit	--⌫-⌫-|-|---⌫-⌫|-⌫|---⌫-|-⌫----|
Et larges etcourto is etf rans.	-|-----|-|------⌫-|-|-⌫----|
Moultparfurent	----|--|-----|
Ca rarrée ́es telement	--⌫|------⌫--|-------|
Furen t quilafiertà telgent.	-----⌫|-|-|-----|-|--|----|
Pageu01 P 005	-------⌫-⌫--|
entr amèrentpasagas	----⌫-------|--|---|
Y nabele etM arcadigas	-⌫-----|-|-⌫--------|
Mai sco mmea miset commeamie	---⌫|--⌫--|-⌫--|-|----|---|
Moult menèrent honnesteuie.	----|--------|-------|---|
Cil d Espaigne mo ult honnor èrent	--||-------|--⌫--|------⌫-----|
R oiMarc a dig asetamèrent	-⌫-|----⌫-⌫---⌫-|-|-------|
Ca r mo ult fu sagesetuaillans	--⌫|--⌫--|-|----|-|-------|
toute honnou r e ntendans	----|------⌫|-⌫-------|
Etdouset cour toisetloiaus	-|---|-|----⌫---|-|-----|
Et douc o rs	-|--|-⌫-⌫-|
hardis etuassa us .	-----|-|-----⌫--⌫|
À pointsotdon neretprom etre	-|----|--|---⌫--|-|----⌫---|
Et la rgement ens es bons me tre.	-|--⌫------|--|-|---|--⌫---|
Une techeen soncuer manoi t	--|----|-|--|---|-----⌫|
Telequea dèsl isambloit	---|--|-⌫---|-⌫|-------|
Quil ne pouoit trophonnorer	-|-|-|-----|---|-------|
Le sbo nsne tropd ou sien	--⌫|--⌫-|-|---|-⌫-|---|
Gentestraite	---|-------|
d e uilonnie	-⌫|-------|
N amoi tpointensacom paignie	|----⌫|----|-|-|---⌫------|
Ains iamo itlescheua lier s	---||---⌫-|--|-----⌫----⌫|
Lesdamoisiau sle s	--|---------⌫|--⌫|
Quidelignageèrent gen til .	--|-|------|-----|---⌫---⌫|
Telgententourluiamo itil	--|---|-----|--|---⌫-|-|
C a rtel gent	-⌫-⌫|--|---|
con uo itenttousiours	---⌫--⌫----|--------|
L onneuret le preule urseig nour s.	|-----|-|-|---|--⌫-|----⌫----⌫-|
Telgentp ourleu rseignou rmorroient	--|---|-⌫--|---⌫|-------⌫|--------|
La ̀où liuil ains en fui roie nt	--⌫|--|-|---⌫--||-|---⌫----⌫-|
Carli uilains par droitne crie nt	--|-|------|--|----|-|----⌫-|
Honte quantde	----|----|-|
uilainlieu	-----|---|
Neuilainne seuentcremir	-|-----|-|-----|-----|
H ontequantilcuidentmorir	-⌫---|----|-|------|----|
Dontnafiertpas queliuilain	---||-----|--|--|-|-----|
Aientn ul grantprince	----|-⌫-|----|-----|
en leurmain.	-|---|----|
Pag e u01P006	---⌫-⌫------|
R ichesui lai nsneser uiroit	-⌫----|--⌫---⌫-|-|---⌫-----|
Iama is seson pre unis au oit	----⌫-|-|--|---⌫|||-⌫--⌫--|
Cars a nature	--|-⌫|-----|
àcele coite	-|-|-|----|
Queplus aetplu silconuoi te .	--|---||-|---⌫|-|------⌫--⌫|
Pouli t ouchedequ el	--|-|-⌫----|-|--⌫-|
partuie ngne	---|---⌫---|
Au o irsma is kàsonces letie ngne .	--⌫-⌫--|--⌫-||-|--|--|-|---⌫----⌫|
PourceMarcadigas	---|-|---------|
Lesuilains	--|------|
etgentisamo i t	-|-----|---⌫-⌫|
Car biensauoit	--|---|-----|
q uel igent is	-⌫-|-⌫|----⌫-|
Feroituilonn ie àenuis.	-----|------⌫-|-|-----|
Lih aushommoult	-|-⌫--|--|----|
folemento eu re	-------|-⌫--⌫-|
grantconseil	----|------|
uila indescueu re	----⌫-|-------⌫-|
Ca r q uipa r	--⌫|-⌫-|--⌫|
uil ainue utouurer	---⌫--|--⌫-|-----|
Deso nnourbie ndoit meserrer	-||-⌫----|---⌫|---|-------|
Cariàuilai n	--|--|-----⌫|
neloe ̈ront	-|---⌫----|
Nul ehon no urpuis quiliuerront	---⌫|---⌫--⌫-|---|-|-||------|
Qu eseur a usen	--⌫|---|-⌫-|-|
p u ïst e s cheo ir	-⌫-⌫---|-⌫-⌫----⌫-|
de corsn ed	-|---|-⌫||
Carp ieçàcondist	--|-⌫-----|--|---|
c eproue rbe	-⌫|-----⌫--|
De puterac i ne	-|---|---⌫-⌫-|
put e her b e	---⌫|---⌫-⌫|
Et si redi st on àl a	-|-|----⌫-|-|-|-⌫|
Adèsreualile us aubois .	----|---|-|--⌫-|-|----⌫|
Bon faitentour	--|---|-----|
lui auoirg ent	--|----|-⌫--|
Qui aimentmiex	--|-----|---|
h onnourkargent.	-⌫-----||------|
Cis r oisen	--|-⌫--|-|
haute honnour monta	----|------|----|
Pource quelesgentis ama.	-----|--|--|-----|---|
Les bonssotbienuersluitorner	--|---|--|---|---|--|-----|
lessotbienhonnorer	--|--|---|-------|
Etdousien larg ement	-|--|---|----⌫----|
C h ascun selon c c e quilualoit.	-⌫-⌫----|-----⌫|-⌫|-|-|------|
Ainsilefistcilrois	----|-|---|--|---|
Pageu01P007	----------|
Ets e li roiqui	-|-⌫|-|--|--|
Et liprince ainsi lefa isoient	-|-|-----|----|-|--⌫------|
Iecr oibi en q uemiexenuaurroient.	-|--⌫-|--⌫-|-⌫-|---|-|----------|
Desafemme diraiImot.	-|-|----|----||---|
DoneYnabel e	---|------⌫|
quiaincno t	--|---||-⌫|
Soncuersaouléd	--|---|------||
on n ourfa ire	--⌫-⌫--|--⌫--|
Dame fudetr èsbona faire.	---|-|-|--⌫--|--|-⌫-----|
Le spo ures	--⌫|--⌫---|
ge ntis damoiseles	--⌫---|---------|
Etles orphelines	-|--|---------|
Etle s damesdes cons eilli e s	-|--⌫|----|---⌫----⌫-----⌫-⌫|
Estoi e n t pa rliadr e cies.	-----⌫-⌫-⌫|--⌫|-|---⌫-⌫----|
Et leurfistmain te gran t	-|---|---|----⌫-|----⌫|
Ca rplaineestoitd umilité	--⌫|-----|-----||-------|
Etdepiti éet	-|-|----⌫-|-|
d e douçour	-⌫|-------|
Et desensapensé d onnour	-|-|---|------||-----|
Carl argecela couronne ́e	--|-⌫-----|-|--------⌫-|
Fuenso ncu er enracinée.	-|-|--⌫|--⌫-|----------|
Leroiama moultet chieri	-|--|--|----|-|-----|
Etli roislama mo ultaussi.	-|-|---||--|--⌫--|-----|
Lapremiereannéeorentil	-|-------|-----|----|-|
Cetesmoignel	-|--------||
estoireIfil	------||--|
Telains icom ie	--|----⌫|--|-|
truislisant	----|-----|
Qu e pluspre usn epui s n e	--⌫|---|---⌫-|-⌫|---⌫|-⌫|
Nefustt rouuez ennul pa ys	-|---|-⌫-----|-|--|--⌫-|
d armessi très	|----|-|----|
grantp ris	----|-⌫--|
Eüst ces achiezcom ci l ot	----|-|-⌫-----|--|--⌫|-|
Sicomlamerlater reclot	----|-|--|-|---⌫-|---|
Fors queIudas Ma cabéus	---|--|----|--⌫------|
EtHec t or deTr oies	-|---⌫-⌫-|-|--⌫---|
sanspl us.	---|--⌫--|
MaisàcesII	---|-|--|-|
Nuluikàenuis me ntiroi e.	----||-|----|--⌫------⌫-|
Biausetgens	----|-|---|
FuetotnonC l éomadès	-|-|-|--|-⌫-⌫--------|
Pageu01P008	----------|
Ienecuitpasqu eplusco urtois	-|-|---|--|--⌫|---|--⌫-----|
ue ïstonqu esprincesnerois	--⌫---|----⌫-|------|-|---|
Queiles toitn endout e ́s mie	--|-|--⌫---||-|----⌫-⌫-|--|
Nedistnenefis tànului	-|---|-|-|---⌫|-|----|
Tan t parauoit fr anch i seen lui	---⌫|--|----|--⌫----⌫-⌫-|-|--|
Et fine debona i reté	-|---|------⌫-⌫----|
Etsensnorrienloiauté.	-|---|----|-|--------|
bienf usi ente ch ie ́s	---|-⌫|-|----⌫--⌫--⌫-|
faillirie ns cesachiés.	-----|---⌫-|-|--------|
Sitostqueilpot	-|---|--|-|--|
cheuauchier	----------|
Lefist se s p ere s	-|---|--⌫|-⌫---⌫|
E nGrece etaprend regriioi s .	-⌫|----|-|------⌫-|------⌫-⌫|
Quantgrieu sot	----|----|--|
poursau oirtiois	---|---⌫--|----|
uintàCouloigne enAlemaig ne.	---|-|--------|-|-------⌫--|
auoitgrant compaign e	----|----|--------⌫|
Debar o ns	-|---⌫-⌫-|
cheualiers	---------|
Dedamoisiau set descuiers	-|---------⌫|-||-------|
Kàluiertbienaferissant	|-|--|--|---|---------|
Qu il menast nobl e u ie etgrant.	-|-|-----|----⌫|-⌫-|-|-----|
Àcetansc est ue ri tés fine	-|-|---||--|--⌫--⌫---|---|
Couloi gneA grapine.	------⌫--|-⌫-------|
tant demora	---|-----|
Quilsottyo is	-|-|--|---⌫-|
Ou roi aumedeFran ce	-|---⌫---|-|----⌫-|
Qu e on adontGaulenomm o it	--⌫|-|----|----|----⌫-⌫-|
Pourapren dresensethonnou r	---|-----⌫--|---|-|------⌫|
E tcequi lafier tà ualour.	-⌫|-|-|-⌫|-----⌫|-|------|
Fulonct ansencelui p ays	-|---|-⌫--|-|----|-⌫--|
esanciensescris	-|------|-----|
Pageu01P009	----------|
Trueu eo n quetousi oursae sté	-----⌫|-⌫|--|-----⌫---||-⌫---|
France la flo urset la	-----|-|---⌫--|-|-|
Darme sdonnourdegentillece	|----⌫||-----|-|---------|
Decourto isi e et de	-|------⌫---⌫|-|-|
Ce estl a touche etle xamplaire	-|--|-⌫|-----|-||-⌫--------|
ondoitlaissier	-|---|-------|
Tantam en da cildamoisiaus	---|--⌫--⌫-|--|---------|
Quenus mieu dres	--|--|----⌫---|
nenusp lus bia us	-|--|-⌫--|---⌫-|
enn ulpaystrouués	-|-⌫-|---|-------|
N ede to ut esgens siamés.	-⌫|-|--⌫--⌫-|---|-|-----|
EnFrance de moura	-|-----|--⌫----|
lonctan s.	---|---⌫-|
Naipas nommé tous	|-|--|-----|---|
QuotMar cadigas li g entis	-|-|---⌫------|-|-⌫----|
Dedo neYnabe leaucler	-|--⌫-|-----⌫-|-|---|
Troisfilles or ent	----|-----|--⌫--|
don t lains née	---⌫||----⌫---|
Fu Elyadora pelée	-|------|-⌫-----|
Etl autreotnonFenia disse	-||----|-|--|-----⌫----|
Qui nes toit ne laidene nic e	--||--⌫---|-|----|-|---⌫|
Ma isbonne e tbeleetensaignie	--⌫-|----|-⌫|---|-|--------|
Siqu edet ou sbien s f ugar nie	-|--⌫|-|-⌫--⌫|----⌫|-⌫|---⌫--|
E t latie rceauoitno nM arine	-⌫|-|---⌫--|----|--⌫|-⌫----|
Quitantparauo itbiaute ́ fin e	--|---|--|---⌫-|------⌫|---⌫|
Que nature fa ir elesot	--|-----|--⌫--⌫|-|--|
Quilefis ta u miex quel epot.	--|-|---⌫|-⌫|---|-|--⌫|---|
Sigentement estoit taillié	-|--------|-----|-------|
Queseonl eüs ts o uhaidi é	--|-|-||----⌫|-⌫-⌫------⌫-|
Care nl i formeràdroitu re	--|-⌫|-⌫|-----|-|------⌫-|
Mist Diexen tiereme ntsacure.	---|---|--⌫-------⌫-|-|----|
Natureri ens	-----|--⌫--|
Car ie croi Di ex	--|-|---|--⌫-|
li commanda.	-|--------|
Pour cen io sa oubl ier	---|-|||-⌫-|----⌫--|
Ri enque Diexli uoltc o mmand e r	--⌫-|--|---|-|---|-⌫-⌫-----⌫-⌫|
Pageu01P0 10	---------⌫-|
E t elefistsi l ecomman t	-⌫|--|---|-|-⌫|------⌫|
Quelefu beleetauenant.	-|--|-|---|-|-------|
Tantamendèrentet t antcrurent	---|----------|-|-⌫--|------|
Lestroissereursque elesfurent	--|----|------|--|---|-----|
Daagetelque	|---|--|--|
parr aison	--|-⌫----|
Peüs tch ascune auoir baron.	-----⌫|--⌫-----|----|-----|
De leur techesuousparler ai	-|---|-----|---|------⌫-|
Aup lusbr iément que	-|-⌫--|--⌫------|--|
ie porrai.	-|------|
Bi en uouspuis d ire	--⌫-|---|---|-⌫--|
aupremie rmot	-|------⌫|--|
Que nuledelestechen o t	--|---||---|----||-⌫|
Q u in e fust toutedeb on té.	-⌫-⌫|-⌫|---|----|-|-⌫--⌫---|
Orreu e nraiàleurbi auté	-|---⌫-⌫---|-|---|--⌫----|
Dont leuoi rdiraiseiepuis	---|-|---⌫|----|-|-|---|
Selonc cek enlestoire t ruis.	-----|-||-||------|-⌫----|
Si beleenEspai gne	-|---|-|-----⌫--|
Quetoutela mains	--|----|-|----|
beleest oit.	---|---⌫---|
Dechascune	-|-------|
d euiserai	-⌫-------|
La b iau téaumiex queporrai.	-|-⌫---⌫--|-|---|--|------|
Lai ns née	|--⌫--⌫---|
fu belee tplai sans	-|---|-⌫|----⌫---|
Sageetcourtoise et	---|-|--------|-|
Et demanierefuet destre	-|-|------|-|-||----|
T elcomme puceledoites tre.	-⌫-|----|-----|---|--⌫---|
C orset membresot	-⌫--|-|------|-|
Quese àdro itl euous	--|-|-|---⌫-|-⌫|---|
Ie necroiqueen lif ausi st	-|-|---|--|-|-|-⌫----⌫-|
Rienqui pardr oita feresist	---|--|--|--⌫--|-⌫-------|
A ̀ damoise leno bleetgente.	-⌫|-------⌫-|--⌫--|-|-----|
Etse rt d assezi oeneiouuente.	-||-⌫-||----|-⌫---|--------|
uintettroisansotlapucele.	---|-|----|--|-|-|------|
Orestdroit queieuous espele	-|--|----|--|-|---|-----|
La biautédesa suers econde.	-|------|-|-|---|-⌫------|
B lanche fuet uermeille	-⌫-----|-|-|--------|
Pa g eu01P011	--⌫-⌫-------|
S achiezquele	-⌫-----|-|--|
o t XX[et]Ilans	-⌫|-|---|-|--|
Etprès ertp lusbeleII tans	-|----|--|-⌫--|---|-|---|
Que celeque i ai deuisée.	--|---|--||-|--------|
Or uou sdir aid e l a mainsn ée	-|---⌫|---⌫-|-⌫|-⌫|------⌫--|
Briémentpar mi leboismen uo is	--------|---⌫-|-|---||-|--⌫-|
Ce f ulaplus belede s	-|-⌫|-|---|---|--⌫|
D e tr estou t	-⌫|--⌫-----⌫|
bien fu ses cuersplai ns	---|-|--|----|----⌫-|
XXansauoitne plus nemains.	-|--|----|-|---|-|-----|
Àmonpouoi rmons tré uousai	-|--|-----⌫|----⌫---|---|-|
D echascuneceque ien	-⌫|-------|-|--||-|
Dèsoremais s eroit	---|--|---|-⌫----|
mon strass e laraiso n	---⌫------⌫|-|-----⌫|
Por quoi Clé omad è sestoit	--|---|----⌫----⌫--⌫|-----|
quechascunleprisoit	--|------|-|------|
E tquetouts enesmerueilloient	-⌫|--|---||-|--------------|
Cilquidelui	--|--|-|--|
parlerooi e nt.	-----|---⌫-⌫--|
laue ́rité.	-|--⌫------|
Mou ltlonguementauo i tes té	---⌫-|---------|---⌫-⌫|--⌫--|
L iroisMarcadigasengu err e	-⌫|---|---------|-|--⌫---⌫|
liuo rr e nt saterre	-|--⌫--⌫-⌫-|-|----|
uroiqui àluimarc hissoient.	|--|--|-|--|----⌫---------|
Poi ssantf urent	---⌫----|-⌫----|
etmoultau oient	-|----|--⌫----|
SeurMarcadigasg rantenui e	---|---------|-⌫---|----⌫|
Pour cequilm enoi t tele	---|-|-|-|-⌫----⌫|---|
Delate rre qu eiltenoit	-|-|--⌫--|--⌫|-|-----|
