mesireno blelilion s	-|---|--⌫--|-|----⌫|
liert rendu zcesgu e rred on s	-|--|-----⌫|--|--⌫-⌫----⌫--⌫|
ne s e tmontrenartdefrape	-|-⌫-⌫|---|-----|-|----|
ilestc h euse nmalet rape	-|--|-⌫-⌫--|-⌫|---|-⌫---|
qa meinte bestea	||-----|----||
f a itla muse	-⌫-⌫-|-|---|
ysengrin qu i auroy l acu s e	-------|--⌫|-|--||---⌫-⌫|
renar talentrerde l a	-----⌫|||-----|-|-⌫|
uetreculant montle con fo rte	--|-------|---|-|---⌫--⌫--|
grimbertet dit naiez	-------|-|--||---|
yymaulzprenlemeillor	-|----|---|-|------|
se tutetorno i es de ci	-|-|-|-----⌫-⌫-|-|-|
s auo i rdefi	-⌫---⌫-⌫|-|-|
nonre torneras	--|--⌫-------|
uers le royg andirneporras	---|-|--|-⌫----|-|-----|
ren artnet esmaiertumie	---⌫--|-||------|-|--|
nusnese t com longueestsauie	--|-|--⌫|--|-----|--|-|--|
renartsoiezde	-----|----|-|
bels emb lant	--|-⌫---⌫---|
iour uautmi eus donant	---|---|--⌫--|-----|
coart doute	----|----|
touriourslam ort	--------|-|-⌫--|
re nart soie zdebonconfort	--⌫---|----⌫|-|--|------|
fortunesecortlezhardiz	------|-----|--|-----|
siconmeconteliescriz	-|----|----|-|-----|
renart otqueci llisermonne	-----|-|--|--⌫|-|-------|
bon conseill lidonne	--|-------|-|----|
elpalezsen	-|----||-|
entre adez	----|---|
renartdeuantgrimbertapres	-----|-----|-------|----|
rena rtnesembla pasuilain	----⌫-|-|-----|--|-----|
s on cousin tenoitparlamain	-⌫-|-----|-----|--|-|---|
l ap ress ed eronte td epart	-⌫|-⌫----⌫|-⌫----|-⌫|-⌫----|
n iacel ui quine l	|||---⌫-|--|-||
deuantle r oi com	-----|-|-⌫-|--|
a inz le uit	-⌫--|-|--|
sa gen o ullapui zlia dit	|-⌫---⌫-⌫---|---⌫|-||--|
roys de usle fuilzsaintemarie	---|--⌫-|-|----|-----|----|
uousga rt etuostrecompaignie	---|--⌫-|-|-----|---------|
f orment saparole	-⌫-----|-|-----|
etneporquantsili salue	-|---------|-|||----|
mieu xuousistestreailleurstoz nuz	----⌫|------|----|-------|--|--|
quauroi nerendis t cessalu s	-|-|--|-|------⌫|--|----⌫|
li baron sonttuit	-|----|---|---|
iatan t os	||---⌫|-|
qui i facenebruit nenoise	--||---|-|----|-|----|
liroysparlarenar t	-|---|----|-----⌫|
aditp ar felon ni e	|--|-⌫-|-----⌫--⌫|
ces salusneuous	--|----|-|---|
rousenuieus depute foi	---|------|-|---|--|
ainzr e m ain dras	---|-⌫-⌫-⌫---⌫---|
aincois amoy	------||--|
ainz que issezdecest	----⌫--|----|-|---|
nouslai ro izuouscecuit bongag e	---|---⌫--⌫-|---|-|---|--|---⌫|
a umainscelerousepeli ce	-⌫|----|---|----|----⌫-|
quant estoies	----|------|
dedenstalice	-----|-|---|
ne cui doiezmais repoirer	-|---⌫----|---|-------|
totle montcuidez engigni er	--|-|---|-----|-------⌫-|
tantcomto rnasa	---|--|--⌫--|-|
s erui dela fauele	-⌫---|-|-|-----|
maismaintesfoizaioidire	---|------|---|-|-|---|
quap res grantioieuien t grantire	-|--⌫--|----|---|----⌫|----|--|
ap resm oluent	--⌫--|-⌫-|---|
u entebi se	-⌫---|--⌫-|
tantua pota l eauequ	---|-|--|||---|-|
orcuitiebi en	-|---|-|--⌫-|
sirerena rt	---|----⌫-|
b risiezde uostre part	-⌫-----|-|-----|---|
li roys parlasa	-|---|----|-|
gent lescoute	---||------|
et ad it que sagentl	-||-⌫-|--|-|---||
renartf aitilatonuiai re	-----|-⌫--|-||--|----⌫-|
s emblezbienhome	-⌫-----|---|---|
debonai r e	-------⌫-⌫|
bienpertau tez	---|---|-|--|
qu ieu ses tlipoz	--⌫---⌫|--⌫|-|--|
renart estenflez conmebo z	-----|--|-----|----|--⌫|
onquesnulior	-----|--|--|
n efeiz bien	-⌫|---|---|
renar tmont as ent oyengie n	-----⌫|---|-|-|-⌫-|-----⌫|
pour cequem	---|-|--||
asta n tengignié	-|--⌫-⌫|--------|
e t ysengri n tantcou rro ucié	-⌫|-------⌫|---|---⌫---⌫----|
etporceque ti bert lichaz	-|--|-|--|--⌫---|-|---|
part onenginfupris asla z	--|-⌫-|----|-|---|-|--⌫|
et b rouin liors p arm ilegroing	-|-⌫----|-|--|-⌫---⌫|-|-----|
partonengingo stas lec oing	--|--|-----|-⌫---|-|-⌫---|
telguerredonte	--|--------|-|
ferai r e ndre	----|-⌫-⌫---|
que as forchesteferaip end re	--|-|------|-|----|-⌫---⌫-|
renartsotmont dafaitement	-----|--|---||---------|
sirespondimontgent ement	-|-------|---|----⌫----|
beaussiresauueuo stre grace	----|---|----|--⌫---|----|
onq ues nefuidetelleestr ace	---⌫--|-|--|-|----|----⌫--|
qua monseignourfaceco ntraire	-||--|-------|---|--⌫------|
n echo sequi ne	-⌫|---⌫-|--|-|
face af aire	---||-⌫---|
iesuiuostreh ome et	-|--|-----|-⌫--|-|
uous messi re	---|--|--⌫-|
d emoynede uriezchosedir e	-⌫|--|-|--⌫----|----|---⌫|
quiestre me	--|----|-|
puissea nuisa nce	-----||-----⌫--|
maisbienes tes d e telpuissance	---|---|--⌫--|-⌫|--|--------|
quegete rmepoezdelaterre	--|----⌫|-|---|-|-|----|
n epuiz pas souffrir uostreguerre	-⌫|---|--|-------|-----|-----|
mont par redoute	---|--|------|
poise se i aimespris	----|-||-|------|
de rienz quiue rs	-|----|--|--⌫-|
uous ap arti eign e	---|--⌫----⌫----⌫|
maisnona i pas dont m esouuieig ne	---|--|-⌫|--|---|-⌫|--------⌫-|
te lzuous ontfait le m alentendre	--⌫-|---|--|---|-|-⌫-|-------|
pormoientreprendre	--|--|-----------|
qui ne lessoientpas	--|-|--------|--|
mencongespeuentil trouuer	--------|-----|-|------|
maisauuoir direseiebien	---|-|---|---|-|-|---|
queien aientr e prisder ien	--|-||-|----⌫-⌫---|-|-⌫--|
i a maisp rodonm enertamez	-⌫-⌫---|-⌫------⌫||--|---|
li plusleausestl i plus blasmez	-|---|----|--|-⌫|---|------|
fousestqui mais dit	---|--|--|---|--|
pluseursensont d esher ité	-------|-|---|-⌫-----⌫---|
e tde terre	-⌫|-|----|
gitéa tort	----||---|
li men teorsont	-|---⌫---|---|
li plusfort	-|---|---|
nulzneuous deuroittantdecoiure	---|-|---|------|---|-------|
deus s ie z a pe rcoiur e	----⌫-⌫--⌫|-⌫--⌫------⌫|
qu i menconge uo usfaitacroi re	--⌫|-------|--⌫-|---|-----⌫-|
etquiuouscontechos euoire	-|--|---|----|----⌫|----|
yy anzaquemeconneust es	-|--||--|-|--------⌫-|
mais onquesmais home n eustes	---|-----|---|---||-----|
qui po r uous ai tplu spaine euee	--|--⌫|---|--⌫|---⌫|----|---|
encoreenailach ar rompue	-----|-|-|-|--⌫-|-----|
desgranzt r aualxce estlasome	--|----|-⌫-⌫----|-|--|-|---|
poruous qua ntieal ai	--|---|---⌫-|-|--⌫-|
acasuetam on pellie r	|---|-||-⌫--⌫------⌫|
porlamesin e apar ei llie r	--|-|-----⌫|----⌫--⌫----⌫|
qui bonnestoitam al sen er	--|---|-----||-⌫-|---⌫-|
quiuousfaisoit formentp ener	--|---|------|------|-⌫---|
sirem estier uousai e u	---|-⌫-----|---|-|-⌫|
ced ist grimbertc	-|-⌫--|-------||
quidistque uersuousamesfet	--|---|--|---|---||-----|
por rie nnel uoudroitauoir fet	--|---⌫|-||-------|----|--|
montest uilains	---|--|------|
qui ceretret	--|-|-----|
nobles soncor age	-----|--|---⌫--|
gri m bert fetilmontbienas dit	---⌫-⌫---|--|-|---|---|-|--|
bi en otroie quinedesdit	--⌫-|-----|--|-|-----|
cestu ertezque mandai re nart	|--|-⌫----|--|-----|--⌫---|
fudemoiepart	-|-|---|---|
quib i en li	--|-⌫-⌫-|-|
distquacort	---|-||---|
quepasa desdaingne ltenis t	--|--||-------|-||-----⌫|
ren artquisetd e faucearnesse	---⌫--|--|--|-⌫|----|------|
etdemaintefaucepromesse	-|-|-----|----|-------|
respon di quebien leferoit	------⌫-|--|---|-|-----|
et que il a	-|--|-||
l acortyroit	-⌫|---|----|
rena rtfi s t dalersembl an t	----⌫-|--⌫-⌫||---|-----⌫--⌫|
tibertuintlech emin er ra nt	-----|---|-|--⌫---|--⌫--⌫-|
quant il furen ten un euile	----|-|-----⌫|-|--⌫|---|
renartquisotde mainteg uille	-----|--|--|-|-----|-⌫----|
sonos tel ou zzprestreesto it	--|--⌫--|-|-|------|----⌫-|
porlidu rem entseguietoit	--|-|--⌫---⌫--|-|-------|
maisonn otcuneentree	-----||-||--|-----|
forszz boieuquantfufermee	---|-|----|----|-|-----|
lao t tendulazpor li prendre	-|-⌫|----|--|--|-|------|
ren artfi st a	---⌫--|--⌫-||
tibertentendre	-----|-------|
isouloitu en i r	|------|-⌫--⌫-⌫|
ausgelinesetauen ir	--|------|-|----⌫-|
et tantiasoriset	-|---|||----|-|
bienen peutonpestreyy	---|-|---|-|-----|-|
tibert cuida qu e uo ir	-----|----|--⌫|--⌫-|
de grant f olie sentr emist	-|----|-⌫---||----⌫----|
carau partirsen tintpor	--|-|-----||-|---|--|
liestreintso r lecol	-|-------|--⌫|-|--|
ilnesottant bouternetrai re	-|-|--|---|-----|-|----⌫-|
se pois t ret ra i re	-|----⌫|---⌫--⌫-⌫-|
cil quie stoie ntentremis	--|--|-⌫-----⌫-|-------|
fa ireetlorentpris	--⌫--|-||----|---|
qua nt oirentquil	---⌫-|-----|-|-|
lun port eun pellautrezztison	|-|----⌫|-|--||----|-|----|
etrenarts e meta la uoie	-|-----|-⌫|--||-|---|
qu i lna talent q uelenle uoie	-|-⌫|||-----|-⌫-|--|-|---|
tiber tbatent	-----⌫|-----|
etdonnent cous	-|------|---|
l i lazrontou te noitl icous	-⌫|--|---|-|--⌫---|-⌫|---|
desque tibert	-----|-----|
lez gu erno nsdresceetl ez	--|--⌫----⌫-|-----|-|-⌫-|
d enzserre	-⌫--|----|
si l i auintbeleau enture	-|-⌫|----|---|--⌫-----|
n auintsibe lle	|----|-|--⌫--|
ac reature	|-⌫------|
carlipre stresesto ituen uz	--|-|---⌫----|----⌫-|---⌫-|
d escha uz sanzbraies et toznu z	-⌫-----⌫-|---|-----|-|--|--⌫|
u in tatib ertse l u otferi r	-⌫--⌫||---⌫--|-||-⌫-|----⌫|
c ilguenchiquiseuol	-⌫-|------|--|-|--|
lepr ouoire aus coullons prent	-|--⌫-----|--|-------|----|
sique de riennentrepren t	----|-|---||---------⌫|
sai etc es tla	--|-||--⌫|-|
le plusdela coulle	-|---|-|-|-----|
auprouuoire	-|--------|
meniaainzquisside lostel	----|-----|---|-||----|
neschap a ma istibe rtd autel	|------⌫|--⌫-|----⌫-||----|
lap rest receest to uteesbaie	-|-⌫----⌫---|--|--⌫--|-----|
dela coulleq uest per ie	-|-|-----|-⌫|--|---⌫-|
lasse fait ellemaluenue	----|---|---|--|----|
ne seraima ischiertenue	-|----|--⌫-|----|----|
mes siresa perdumaioie	--|----||----|-|---|
porc oitenue e st o ie	--|-⌫-|----|-⌫--⌫-⌫-|
or naurailmesd emo y cure	-||---|-|--|-⌫|--⌫|---|
carilaperdu s	--|-||----||
embl e ure	----⌫-⌫--|
orsaibienquilme g u erpira	-|--|---|-|-|-|-⌫-⌫-----|
quantilaidi erne se	----|-|----⌫-|-|-|
si suiieplustristre	-|--|-|---|------|
aioie aitenu	|---|-|---|
maiouuente	-|-------|
ilme donoit lezbons mengiers	-|-|-----|--|---|-------|
etles beaus	-|--|----|
uo lentiers	--⌫-------|
orsai iebienfai lli r mestuet	-|--|-|---|---⌫---⌫||-----|
grantcho s eae nfaireles tu et	----|---⌫-⌫||-⌫|----||--⌫--⌫-|
harde men t	-----⌫---⌫|
li chatlaserui	-|---|||----|
en cequentremoinentl ord uel	-|-|-|-----------|-⌫-|-⌫--|
ti be rtsen issipar z zboi el	--⌫--⌫-||-|---|--|-⌫|---⌫-|
renartsenf oiparz zpertu is	-----||-|-⌫-|--|-⌫|-----⌫-|
si ful iieumaldepatis	-|-|-⌫|--|--|------|
decestechose a fet	-|----|----||--|
tibertdesaut res iamai n te	-----|--|---⌫--|||---⌫-⌫-|
brunsereplaint	---|-|-------|
qu ile fistbatre	-||-|---|----|
elc hesne ouille	-|-⌫----|-|-|-|
fi tembatre	--⌫|------|
quecharpenti ers orentouuert	--|---------⌫--|----|-----|
etlessié touta descouuert	-|------|---||---------|
ditil q uemielau oitdeden z	--|-|-⌫-|---|--⌫--|-----⌫|
ils i c ui dame tt r e olez denz	-|||-⌫--⌫-|--⌫--⌫-⌫||--|---|
son gr o ig imist et enbati	--|--⌫-⌫-||---|-|-----|
tantquelezcoins enabati	------|--|----|-|----|
onques descoins n	-----|--|----||
pa rmile groingretint	--⌫--|-|-----|-----|
orfuli lasen	-|-|-|--|-|
gr antdol our	--⌫--|---⌫--|
touteotperduesacoulour	----|-|-----|-|------|
renartne fistf orsquesor r ire	-----|-|---|-⌫--|--|---⌫-⌫--|
quanti lle	----|-⌫|-|
uiten tel m arrtire	--|-|--|-⌫------|
etditabrunmengezassez	-|--||---|-----|----|
tan tques oie ztotsaoulez	---⌫---|-⌫---⌫|--|------|
lemie lest uostr e iel	-|---⌫|--|-----⌫|-||
etieme nuoisamon gra nt	-|-||-⌫|---||--|---⌫-|
mont faitouo us	---|---||--⌫-|
mauuais a ler	------|-⌫--|
ien em en orrezma is	-|-⌫||-|----|--⌫-|
i ain onrenart biaussirebr u n	|-|-⌫-|-----|----|---|--⌫-⌫|
ci nestpa sligaing	-||--|--⌫|-|----|
u ousuoulezt otauo i rsanz	-⌫--|-----|-⌫-|---⌫-⌫|---|
iane nf e r raiu ersuousbatai lle	-||-⌫|-⌫-⌫-⌫--|-⌫--|---|-----⌫--|
uousclaimetresto stquite	---|-----|------⌫-|----|
mestierdefairelu ite	------|-|----|--⌫--|
quant ramponesotassez fai tes	----|-------|-|----|---⌫--|
loufesetmoez plus ourstraites	-----|-|---|----⌫---|------|
tornezs ene stneuot plu sdir e	-----||-|-⌫-|-|--|---⌫|---⌫|
maisbrunnenottalent	---|---||-|-|-----|
legroigestre in tetsacheettire	-|----|-----⌫--⌫|-|----|-|---|
mai siln enpuetpartir	---⌫|-||-|---|-----|
n estoitpas deltota	|-----|--|--|--||
li fo restierueno ient	-|--⌫------|----⌫---|
y yfurentenun e rout e	-⌫|-----|-|--⌫|----⌫|
q ua ntuoient l	-⌫--⌫-|-----||
lautreb ote	|----|-⌫--|
ieuoiun our sdistlipremier s	-|--|-|---⌫|---|-|-------⌫|
ori parra f ransf orestiers	-||----|-⌫---|-⌫--------|
bienfairee idiersepuet	---|----|-⌫----|-|---|
orle pren onfaire	-|-|----⌫-|----|
quant brun lourslez	----|---||---|--|
dontnesepuet	---|-|-|---|
plusa t en i r	---|-⌫-⌫--⌫-⌫|
ainz sache ali de telair	---|----||-|-|--|--|
que totle cuirfaitde par tir	--|--|-|---|---|--⌫---⌫--|
dentorsongr oiget	|----|--|--⌫--|-|
nen rem est	|-|---⌫--|
pointentorsespoez	----|----|--|---|
maisain coisqui lsefust h otez	---|---⌫-----|-⌫|-|---|-⌫---|
liontmontbatules co t ez	-|--|---|---|--|--⌫-⌫-|
etdeb atons	-|-|-⌫----|
y ssuzs enestarecul on s	-⌫---||-|--||-----⌫--⌫|
po r uilain	--⌫|-----|
hasart ie taarri eremai n	-----|--⌫-|----⌫--|---⌫|
e nuet a longuealaine	-⌫|--||-----|-----|
mais ai nzot mont soufert	---|--⌫-|-|---|------|
einssiseruirenart ma int honme	-----|----|-----|--⌫--|----|
p a rlessain zquelen quiert aronme	-⌫-⌫|--|----⌫|--|--|-----||----|
apress e mi st renarte ne se	----|-⌫|--⌫-|-----|-⌫|-⌫-|
neremestpasporsamesese	-|-----|--|--|-|-----|
quantuin tau tres pas dunerue	----|---⌫|-|----⌫--||--|--|
une g rant ramponelirue	--|-⌫---|------|-|--|
biaussi re bru ncarmeditez	----|--⌫-|---⌫|--|-|----|
estes uous moin esouher mite z	----|---|----⌫-|-|---⌫----⌫|
etseuousmessechanter	-|-|---|----|------|
quant uoussigrantcorone	----|---|-|----|-----|
montparaue z uerme illlechief	---|--|---⌫|-----⌫--|-|----|
re na r tfetil itel mes chief	--⌫--⌫-⌫|--|-|---|---⌫----|
dece a fet dantbruns onplaint	-|-||--|---|---|-⌫-|-----|
et lamesengeseco mplaint	-|-|------|-|--⌫------|
carquant el le leuotb aisier	--|----|--⌫-|-|--|-⌫-----|
li seuota paier	-|-|--|-⌫----|
getaporlicomb re r	---|--|-|----⌫--⌫|
ainsilauoloitencombrer	----|-|-----|--------|
a rr ieres alliensoncr ues	-⌫--⌫---|-⌫---|-|--|--⌫--|
montpa r fesoit g rant dy ablie	---|--⌫|-----|-⌫---|--⌫----|
qu antuerslipens oitte lfo li e	--⌫--|---|-|----⌫--|--⌫|--⌫--⌫|
maintetrais on liafaite	-----|-----⌫-|-||----|
prendre lacuidae n	------|-|----|-⌫|
ellee stoit en fo isaconmere	---|-⌫----|-|--⌫|-|------|
etellel etenoit	-|---|-⌫|-----|
porco mper e	--|--⌫----⌫|
estpas beaus	--|--|----|
lasecon tint c om desloia ux	-|-|---⌫---|-⌫-|-------⌫-|
qu isonpo il uoit	--⌫|--|--⌫-|---|
neldoitpascroir e	-||---|--|-----⌫|
par naturef aita	--|-----|-⌫--||
dame pintes es treclamee	---|----||--⌫|-------|
qui e stdemai nts gensamee	--|-⌫-|-|---⌫--|---|---|
desas ere u r dam e	-|-|-⌫---⌫-⌫|---⌫|
qu er ena rtliotes cropee	--⌫|-⌫---⌫-|-|-|--⌫-----|
etyymo rtes de ses sereu rs	-|-|--⌫---|-|--|-----⌫-|
dontces cuer seste ngrantdoleurs	---|--|----⌫|--|-⌫|----|------|
gr ant mal a faita	--⌫--|--||---||
mainte gent	-----|---|
iane p or orne por arg ent	-|-|-⌫-|-|-|--|---⌫--|
nel doitonlessieraiugier	-||---|-|------||-----|
porsesfelonies	--|--|-------|
l ico rbi ausresta cort	-⌫|--⌫---⌫--|---||---|
etdist qu edroit lis oi ttenuz	-|---|--⌫|----|-|-⌫--⌫|----|
dere nar tquipristsonfrom age	-|--⌫---⌫|--|----|--|----⌫--|
etapre sfis tsigran t outr age	-|----⌫|---⌫|-|----⌫|----⌫--|
densle uo tsaisir	---|-|--⌫|-----|
maisn enfist	---||-|---|
totsonplaisir	--|--|------|
cil sapercutsi	--||------|-|
le uotprendre	-|--|------|
sisentornanel uotatendre	-||-|----|-||--|------|
renart quiset de	-----|--|--|-|
tantesf ru mes	-----|-⌫--⌫--|
liarachayydes plu me s	-|-----|-|--|---⌫--⌫|
bien lecuidaauoirseur pr is	---|-|----|----|----⌫--⌫-|
pa rsoneng in	--⌫|--|---⌫-|
ete ntre p ris	-|-⌫----⌫-⌫--|
ildisoitcequil auoitplaie	-|-----|-|-|-|----|----|
auoitma lemanoie	----|--⌫-|-----|
neuousp orroie pasretraire	-|---|-⌫-----|--|-------|
lezmausla honte l e contrai r e	--|---|-|----|-⌫|-------⌫-⌫|
que d antren arta	--|-⌫--|---⌫--||
faitaillors	---|------|
ay sengrin et	|-⌫------|-|
a plus ours	|----⌫---|
noble ce stamoi clamez	----||-⌫-||--|-----|
dere nartq uit antestblasmez	-|--⌫---|-⌫-|-⌫--|--|------|
quesafam e lia m aumi se	--|-|---⌫|-||-⌫----⌫-|
et sor lia saforc emise	-|--|-||-|----⌫|---|
siui lmente t telman iere	-|--⌫----|-⌫|--|---⌫---|
aussico ma utrechamberi e re	----|--⌫|-⌫---|--------⌫-⌫-|
tot sipensezi fu forniz	--|-|-----||-|-----|
acortsui hon niz	----|--|---⌫--|
sineweilquemagentmesface	-|-|---|--|-|---|------|
i lm ec ouuientquedroitl	-⌫|-⌫|-⌫------|--|----||
danzroou ne ausliuieusma stins	---|----⌫--⌫--|-|----|--⌫----|
quiresetde plusourslatins	--|----|-|-------|-----|
et quimont	-|--|---|
a fierleco r age	|---|-|--⌫-⌫--|
se rest clam ezquant el	-|---|----⌫-|----|-|
lauoi et ramisde mapart	|----⌫|-⌫----|-|-|---|
queilme fist	--|-|-|---|
ue nirrenart	--⌫--|-----|
doncli fist renartsigranth o nte	---|-|---|-----|-|----|-⌫-⌫--|
queienensaitenir le	--|-||-|--|----|-|
maisbien ai	---|---|-|
oi l anouuelle	-|-⌫|-------|
dequoydant	-|---|---|
rooneausuo usap elle	-------|--⌫-|--⌫---|
cedit quesapa rtraison	-|--|--|-|--⌫|------|
lef istretenirenpriso n	-|-⌫--|------|-|-----⌫|
amuserlefist pa r	-----|-|---|--⌫|
celidi tdela coongnole	-|-|--⌫|-|-|--------|
queun suilainsauo it	--|--⌫|------|---⌫-|
l ezune uoie	-⌫-|--|---|
aes tendu e	|--⌫-----⌫|
qui lecgisoit unsse intuerre s	-|-⌫--|-----|--|--⌫--------⌫|
qu elenapeloits ainthylaires	--⌫|--|------|-⌫---|-------|
etbiene nt endreliafait	-|---|-⌫--⌫----|-||---|
quilec r edre soitlicontrefait	-|---|-⌫----⌫---|-|---------|
cilnesot pasla troite	--|-|--|--|-|-----|
penssa q uildeistuerite	-----|-⌫|-|----|-----|
ne se sot pascontregarder	-|-|--|--|-----------|
r en artqu i len deuroitlar der	-⌫--⌫--|--⌫|--|------|---⌫--|
tantli fistsa	---|-|---|-|
p aroleacroire	-⌫----|------|
qu il tintsaparo leporuoire	-|-|---|-|----⌫-|--|----|
q uisisages	-⌫-|-|----|
est resoloit	---⌫-|-----|
nestsis agesq ui nefoloit	|--|-|-⌫---|-⌫-|-|-----|
al abessieruit le	||-------|--|-|
quilifistrendre lep a age	--|-|---|-----|-|-⌫-⌫--|
neuot les sierq uiln	-|--|---⌫---|-⌫|-||
aresac hierdestraintla co rde	|-----⌫---|--------|-|--⌫--|
qui d esorle colli deuale	--|-⌫---|-|--|-|-----|
aucidestraint comn efconh ale	---|--------|--|-⌫-||-|-⌫--|
cil monteamonte t	--|----|----|-⌫|
s e des tor ne	-⌫|---⌫---⌫-|
quipointne seiorne	--|----|-|------|
etquila mene ́ conmefol	-|--|||----⌫|----|--|
lelessaprendre	-|----|------|
par le col	--|-|--|
r enartl i rous	-⌫----|-⌫|---|
qui maufe uarde	--|--|--⌫|---|
d esuignesfustgarde	-⌫-|-----|---|----|
bienfu li ma stinsdeceus	---|-|-|--⌫----|-----|
desgardez fuape rceu s	--|-----|-|---⌫----⌫|
omasue se to barraus	|-----⌫|-⌫||------|
lion t bienauné sesbureaus	-|--⌫|---|----|--|------|
ilecont tant	---|--|---|
queaterrelont a ba tu	--||----||--|-⌫--⌫-|
ne crienenemuet	-|---|-|-|---|
simpl e m entconten ir lestuet	-----⌫-⌫-⌫--|------⌫-||-----|
agrant poinee sc hapauis	|----|----|-⌫--⌫---|--|
si conme ildist ie	-|----|-|---|-|
uousp leu is	---|-⌫---⌫-|
montde uroitlenrenart	---|--⌫----|--|-----|
dest ruire	----⌫----|
totli m onde li deuroit nui r e	--|-|-⌫---|-|------|---⌫-⌫|
quisib ailli tlabonegent	--|-|-⌫-----⌫|-|---|---|
ia nenp r endrai or ne	-||-|-⌫-⌫-----|-|-|
qu e neldes truieouque	--⌫|-||---⌫----|-|--|
seiln est t ieusqu	-|-||--|-⌫---|-|
i l sendesfende	-⌫||-|-------|
a fait etui lanie	|---|-|--⌫----|
tr opais o ufertsagra ntxxx	--⌫-|-|-⌫-⌫----|-|---⌫-|--|
renartt out ce mauezuousf ai t	-----|-⌫--|-||---|---|-⌫--⌫|
quibel ceestmaldahetai t	--|--|-|--|-------|--⌫|
t o riorsnous auezfaitmoleste	-⌫-⌫----|---|---|---|------|
deu ou ss e plaint chascune beste	-|-⌫--⌫|-⌫|-----|-------|----|
ma i sparmabarb e	--⌫-⌫|--|-|----⌫|
etie en mon co nseillle	-|-|-|--|--⌫-----|-|
quan t uousdecim	----⌫|---|-|-||
esch a perez	----⌫-⌫----|
iamai s beste nem oquerez	-----⌫|----|-|-⌫------|
renart faitil montes	-----|---|-|---|-|
cilquin est oit pasesb ahiz	--|--||---⌫--|--|---⌫---|
ne trop ha tis	-|---|--⌫--|
ensaparole	-|-|-----|
m ont aestéaboneescole	-⌫--||----||---|-----|
uersterretint enclinso n	---|----|---|-----|--⌫|
si faitsemblent quilisoitgrief	-|---|-------|-||-|---|----|
bien se sotteire e tbi enparler	---|-|--|----|-⌫|--⌫-|-----|
respondreetenparler	--------|-|-------|
q uanti le n es t etliuseteise	-⌫---|-⌫|-⌫|--⌫|-|---|-|---|
i couuie ntqu	|------⌫-|-|
etilu oitler oicorroucié	-|-|-⌫--|-|-⌫-|---------|
e til ason chi e f	-⌫|-||--|---⌫-⌫|
redre c ié	-----⌫-⌫--|
n ioten lirie nzqu	||-|-|-|---⌫-|-|
bienses otaidi eretdesfendre	---|-|-⌫-|----⌫-|-|--------|
itantl i adit q u	----|-⌫||--|-⌫|
il iotr oit	|-⌫|---⌫--|
qu ilpu iss erespondre et par	-|-|--⌫---⌫|--------|-|--|
etq u adroit direa	-|-⌫||----|---||
tan ten feran	---⌫|-|---||
i ara tort	|--|---|
renartfai tnob lebienas	-----|---⌫|---⌫-|---|-|
cenen sera sdedit	-||-|----⌫|----|
ordirasnoustescoute r on	-|----|---||-------⌫-⌫-|
se tud is bienn ousnoustairon	-|-|-⌫-|---|-⌫--|---|-----|
renart re spontsireb iendites	-----|--⌫----|---|-⌫--|----|
bienauezditn esuipa squites	---|---|--|-⌫|--|--⌫|-----|
dessemonc es q uem aue z faites	--|------⌫-|-⌫-||---⌫|-----|
aué sdeseur moytraites	----⌫|-----|--|------|
