pourlanoble ch eualerie	---|-|----|--⌫-------|
si uinr ent ou estoitlirois	-|----⌫--|-|-----|-|---|
anthiocusetses consaus	--------|-|--|------|
par lé portosl undaus	---⌫--|--|--||-||--|
s ire atoi	-⌫--||--|
somesciuenut	----|-|----|
porce que bienauonsueut	--|-|--|---|----|---|
tareno m ee ettes	-|----⌫-⌫-|-|--|
no sfaitconoistrecasc uns sos	--⌫|---|--------|----⌫--|--|
de nostreloi	-|-----|--|
au onsesté	--⌫--|----|
quant nos a toinauons	----|--||--||----|
pie capor fairetoncomant	---⌫-|--|----|--|-----|
denos fai sire ton tal ant	-|--|--|---|--|---⌫--|
comedec iausquia toiuiene nt	---|-|-⌫---|--||--|-----⌫-|
a seco rse t signorte tien ent	|----⌫-|-⌫|-----|-|----⌫--|
ato usiorsmais comentquil aut	|--⌫-|---|---|-------|-|--|
lan ostre aideneuosfaut	-|-⌫----|---|-|--|---|
car tu nospues miuscontres ter	--|-|--|---|---|-------⌫--|
nos a f a itester	--||-⌫-⌫-|----|
sierua geiusqueschi	------⌫-|------|--|
quant lifo rs	----|-|--⌫-|
roiscelui oi	---|----|-|
dec epe ule c a lui	-|-⌫|--⌫--|||--|
en telmanie r ecomditest	-|--|-----⌫-⌫|--|--|--|
ilr esp o ndisire ceque st	-|-⌫---⌫-⌫--|---|-|-|-⌫-|
queuolés uosqu eieuosdie	--|-----|--|--⌫|-|--|--|
dites moiquecou senefi e	----|--|--|--|------⌫|
cariouparuosleue ilsauoir	--|--|--|--|-|--⌫-|-----|
siredist cil	---|---|--|
sac iéspor	---⌫---|--|
quet ieusgens	--|-⌫---|---|
comuos ciueés	--|--|-|----|
sontausifa itcomuos poués	---|---|--⌫-|--|--|-----|
ueoirq uest lasnesdu muelin	----|-⌫|--||----|-|-----|
li asnes don t	-|----|---⌫|
pas nedeuin	--|-|----|
estune biestemoutpe ni uble	--|--|-----|---|--⌫--⌫---|
forsestetgransmen red uneyue	---|--|-|----|---⌫-||--|--|
longesorelle sgr osetieste	-----|------⌫|--⌫--|-----|
mout durment lent e	---|------|----⌫|
etuisbiest e	-|--|-----⌫|
depo il e td eto utefaiture	-|--⌫-|-⌫|-⌫|--⌫--|------|
nulea utrede	---|-⌫---|-|
li n ara cure	-||--|---|
etnonpo rquant p ort	-|-----⌫-----|-⌫--|
ille signe	-|-|----|
dunhome d ont	|-|---|-⌫--|
aucun deuine	----|-----|
to utautr e sic omeliasnes	--⌫-|----⌫-⌫-|-⌫--|-|----|
iors a eublasmes	---||-|------|
e tb ateures	-⌫|-⌫------|
etroul lis	-|----⌫--|
neianulbiennara	-|-|--|---||--|
ancoi s si luient	-----⌫||-⌫|----|
ens enlestable	--|-||------|
o u il aituiand e	-⌫|-|--|-----⌫|
raisnab le	-------⌫-|
depreoudegardins	-|--|-|-|------|
eslirailchard ons	-----|-|-----⌫--|
puislesmanguetospoignans	---|--|-----|--|-------|
q ue m outengrans	-⌫-|-⌫--|------|
estcis pe ulesd auoir cardons	--|--|--⌫---||----|------|
p oignansoribles etfelons	-⌫------|------|-|-----|
enlafin arontpri s	-|-|--|----|---⌫|
ilsontfelonm auuais iuis	-|---|----|-⌫-----|---|
le ntet pesant uil et rubeste	--⌫-|-|-----|--|-|------|
longes oreilles grosete ste	-----|-------|----|--⌫--|
magrecolet haute	----|--|-|----|
l esc hine	|---⌫---|
etnonporquantontillasigne	-|----------|--|-|-|----|
s ilfussent telcomi l	|-|------|--|--|-⌫|
diusdi ausmana i eust	---||-⌫--|----⌫|---|
quant licourtoiss agesot d it	----|-|-------|-⌫---|-|-⌫-|
cesteparolegra ntde spit	----|-----|---⌫-|--⌫---|
enotliroisanthio cus	-|-|-|---|------⌫--|
taistoifoxila	---|--|--|-||
garants es tens erai	-----||-|----⌫---|
a dits ansnul	|--|-⌫--|--|
uosdonr aisignorieenter re	--|----⌫-|-------|-----⌫-|
ne trouerai qui uos	-|-------|--|--|
muetg uerre	---|-⌫----|
tant com ieu iuen	---|--|-|-⌫--||
ai ésdoute	--⌫--|----|
enbonp o intaués desroute	-|--|-⌫-⌫--|----|-------|
la compaigniea	-|---------||
ceschaitis	--|------|
don tb iensaciés nar aiuis	---⌫|-⌫--|------||--⌫|---|
entoutleregne deiu de e	-|---|-|----|-|--⌫--⌫|
aitmauuai se	--|------⌫-|
emoncomantdel totne fo nt	|--|-----|--|--|-|--⌫-|
atantl onte nclinépa rfon t	----||--|-⌫------|--⌫----⌫|
c ele gent honteuseetdespite	-⌫--|---|-------|-|------|
sirefont iltaloi	---|---|-|-|--|
nos faiauoi retsignorie	--|--|----⌫|-|-------|
p arcoi nus homnenou spuist	-⌫-|--|--|--|-|---⌫|----|
s osmetredenouolente	-⌫------|-|-|------|
et nousdetoi	-|---|-|--|
car bien ueonsets est tosuo i rs	--|---|----|-||--|--|--⌫-⌫-|
q ueparsi estgransse ssauo i rs	-⌫-|--|-|--|----|--⌫|----⌫-⌫-|
c a toineseporoit comprendre	||--|-|-|-----|---------|
siuolo mme sdescendre	-|----⌫---⌫|--------|
d el t ou ta toimet ren os cures	-⌫-|-⌫--⌫||--|---⌫-|-⌫-|----|
ettu nosdeme s	-|-|--|----⌫|
le s l aidures	--⌫|-⌫------|
que nos auo ns eup ieca	--|--|---⌫-|-|-⌫---|
parno malsens donttropi	--|-|--|---|---|---||
lorsq uant centent	---|-⌫---||-----|
a ntioc us	-⌫-----⌫-|
sel ies tel cuerdescendus	-|-⌫|--⌫|-|---|--------|
gran sorgius	----⌫|-----|
et cr ueusenuie	-|--⌫---|----|
car orueut que soitesaucie	--|-|---|--|---|------|
sa l oi s e t cilmis	-|-⌫--⌫|-⌫|--|--|
alésd ist ilentreuo s tou s	----|-⌫--|-|----|--⌫|---⌫|
enihe rusalemlac hit e	-|---⌫------|-|-⌫---⌫|
etsisoitla endroitchité	-|-|---|-|------|-----|
nostrel ois s elonc	-----|-⌫--|-⌫----|
lespaii ens	--|----⌫--|
sig nori e a résetgrans	---⌫----⌫|-⌫---|-|----|
souriauscarielueiletcomant	---|---|--|-||---|-|-----|
enalere nt aitant	-|-----⌫-||----|
conquespuisilneretornerent	|-----|---|-|-|----------|
ancoistout	-----|---|
isis enalerent	--||-|------|
dou n oblep ul edis rael	--|-⌫---|-⌫--⌫||--⌫---|
anthiocuslorsaconsel	--------|---||-----|
apielasonsa ge et	-----|--|--⌫-|-|
uiententomoietcilliri st	---||--||--|-|--|-|--⌫-|
au sico mpar mal	--⌫-|--⌫|--|--|
siredistcil ienaraipais	---|---|--|-||---|---|
deciadontqueuossarés	---|-------|--|-----|
loc ois onporcoim	|--⌫---⌫-|--|--||
comentdistil	-----|---|-|
nelsaiie pas	-||--|-|--|
saci és dis tcil nest miegas	----⌫--|---⌫|--||--|--|--|
c ar seuo sbienl eseuiss i és	-⌫-|-|--⌫|---|-⌫|------⌫-⌫--|
iaens iuosnesploiti ssie ́s	-|---⌫|--||--------⌫----⌫-|
di m oitostdist ilquece spiaut	-|-⌫-|---|---|-|--||-⌫-----|
carlichies	--|-|----|
moutforment me diau t	---|------|-|----⌫|
que ioun esaique	--|--|-⌫|--|--|
tu ueus dire	-|---|---|
ormentendés faitilbiaus	-||--------|---|-|----|
s ioiié ssen efianc e	-⌫|-----⌫|---⌫------⌫|
iou regart si	--|-----|-|
nestmie en f ance	|--|--|--⌫-⌫---|
que uosres amb léslesen gler	--|--|---⌫---⌫---|-|---⌫---|
cuioncacee tueu tb erser	--|-|---|-⌫|---⌫|-⌫----|
porl uimieu smetre audesos	--|-⌫-|----⌫|----|-|----|
nest mie gasce	|--|--|--|-|
saués uos	-----|--|
e stma lacostumés	-⌫-|--⌫|---------|
d orguele scalufrés	|-----|-⌫---------|
casamortui e nt geulebaee	||-|---|--⌫-⌫-|----|---|
nedouteespi e l glauenespee	-|----|----⌫-⌫|----||----|
parmineueilleoc ire	----|-|-----|--⌫--|
deuantlu isemire	-----|--⌫|-|---|
autre siuo spuis ieiug ier	-----⌫-|--⌫|---|-|---⌫--|
biausirerois	---|---|---|
ettiesmognier	-|----------|
q uebienu os uesapiertement	-⌫-|---|-⌫-|--|----------|
quecistuonta lor dampnement	--|---|---||--|---------|
cuiuos aués isirecius	--|--|----|--|-----|
uos meis mes ieste s de cius	--|----⌫--|-----⌫|--⌫---|
q uantr eceue ́scepeule	-⌫---|-⌫-----⌫-|-|----|
queuosn auéspas conue rti	--|--||----|--|-----⌫--|
parcremour	--|------|
counefi sen tuostr e ancissou r	--|-|--⌫---⌫|-----⌫|--------⌫|
queuosauése ncomencié	--|--|----|-⌫---------|
u osuosoci ésparpecie	-⌫-|--|---⌫--|--|----|
a ensiantianen	|------|-||-|
pource uosco mperausen gler	---|-|--|--⌫---|-|---⌫---|
anthiocusotmoutgrantioie	--------|-|---|----|---|
quecilsi lecha stoie	--|--|-|-|---⌫----|
etdist mo ut mieuste uenroittaire	-|---|--⌫-|----|-|------|----|
carencor uor rai iouatraire	--|----|---⌫--|--|------|
tou te lorcreance ala nostre	---⌫-|--|------||-|-----|
neuei lmie porsi	-|---⌫|--|--|-|
q uetumedisque i e ne face	-⌫-|-|-|--|--|-⌫|-|---|
anost re diu cho s e	|----⌫-|--|---⌫-⌫|
apr iesicou	---⌫--|---|
yyansauint	-|--|----|
quelachose ala tan tetuin t	--|-|----|--|---⌫|-|---⌫|
quelacouoitisea cel r oi	--|-|--------||--|-⌫-|
lemisten mer uill osd esroi	-|---|-|---⌫----⌫-|-⌫----|
carileuistunetelraison	--|-|----|--|--|-----|
f i stmoutgrantmesprison	-⌫-⌫-|---|----|--------|
quanta s onregneuoltt otmetre	----||-⌫-|----|---|-⌫-|----|
onquespreu ne	-----|---|-|
uoltd emetre	---|-⌫-----|
ancoisenuoiaunhermite	-----|-----|-|------|
a tholomele roidegip te	|------|-|--||----⌫-|
et lim andac a	-|-|-⌫---|||
luiu enist	--|-⌫----|
e tquehomagelifeist	-⌫|--|-----|-|----|
tholome sdist queno nfe roit	-------⌫|---|--|--⌫|--⌫---|
caralixandrelia uoit	--|--------|-|-⌫---|
roia umetotcuit e	----⌫--|--|----⌫|
anthio c us en prist laluite	------⌫-⌫-|-|----|-|----|
si m andases	-|-⌫---|--|
os e sraument	-|-⌫-------|
t antquil seuttout	-⌫----|-|---|---|
a pertement	-⌫--------|
quetho l omeferoit	--|---⌫-⌫--|-----|
ne fi sentmielonc refui	-|--⌫---|--|---|----|
f urentp arti	-⌫----|-⌫---|
enmerse misent sans	-|--|-|-----|---|
arr iuerentet bienetbiel	---⌫------|-|---|-|---|
tholome decou neu t	------|-|--||--⌫|
car mienauoitg entsan sfaille	--|--||----|-⌫--|---⌫|-----|
porau oir aluilaba taille	--|--⌫--||--|-|--⌫-----|
etno nporquant de	-|--⌫--------|-|
c ou quilpot	-⌫-|-|-|--|
l es mandaillaou lesot	-⌫-|----|-|-|-|--|-|
sesfortrechesafai tgarnir	--|---------||---⌫|-----|
au mieusquilpotetdetenir	-|----|-|-|--|-|------|
a nthiocu sne uolt	-⌫-------⌫|-|---|
feist sostcheuaucier	----||--|---------|
sourtholomeleroidegipte	---|------|-|--||-----|
ca rsate rre uolt auo ir	--⌫|-|--⌫--|---|---⌫-|
parlagrant forc e de l	--|-|----|----⌫|-||
qui ldonoitbien et	-|-⌫|-----|---|-|
neuinta fort ereche	-|---||----⌫-----|
preis ttot pardestre che	-----⌫|--|--|------⌫--|
s iq ue tos	-⌫|-⌫-|--|
ciaus fa isoitocire	----|--⌫----|----|
q ui contrel ui	-⌫-|-----|-⌫-|
misent m ai stire	-----|-⌫--⌫----|
dont q uanttholo messeu tla	---|-⌫---|-----⌫--|---⌫|-|
sifudolans	-|-|-----|
coupouéscroire	--|-----|-----|
que d irene que	--|-⌫--|-|--|
enbabiloine	-|--------|
otson repaire	-|--|------|
sa che ualrie	-|---⌫-----|
quidolan tertet	--|-----⌫|--|-|
contrali e	--------⌫|
decouc an thiocusfaiso it	-|--||--⌫------|-----⌫-|
ch oseo uiln auoit nul	--⌫--|-⌫|-||----|--|
conseil nepo tde	------|-|--⌫|-|
carilseu t	--|-|---⌫|
bienpares tauoir	---|--|--⌫-----|
lecouenoitauo ir b a tall e	-|-------|---⌫-|-⌫-⌫----⌫|
an thi ocusco men tquilalle	--⌫---⌫---|--⌫---⌫--|-|---|
s enui ntuier s	|-|--⌫-|----⌫|
luiplustos	--|---|--|
l o rsquant tholomesicousot	-⌫-⌫-|----|-------|---|--|
s is e mistco ntreuias	-⌫|-⌫|---|--⌫---|---|
uinrentplusquele	------|---|--|-|
natar gierentforstantqu i lui nrent	|----⌫------|---|-----|-⌫|--⌫----|
leroitholomec uichoi sire nt	-|--|------|-⌫-|----⌫----⌫-|
atoutsa gent	----|-|---|
que ild oterent	--|-|-⌫------|
nonporquantil ases pl us	----------|-|---|--⌫-|
maiscouq ui lau oi ent le tort	---|--|-⌫|-⌫|--⌫--⌫--|-|---|
el cuer un desconfo rt	-|---|-|--------⌫-|
te l ques e tholomesl or fust	--⌫|--|-⌫|-------|-⌫-|---|
seurecourus cascunsse	----|-----|------|-|
misalauoie	--||-|---|
sansdotance	---|------|
maisilnonfistendesperan ce	---|-|--|---|-|--------⌫-|
semistqua nt lesos saprociere nt	-|---|---⌫-|--|-||---------⌫-|
si qu e sa gents edesrengie rent	-|--⌫|-|---|-⌫|---------⌫---|
co nq ues puisnetinrentconroi	|-⌫--⌫--|---|-|------|-----|
enfuies tournentsan s desr o i	-|----|-------|---⌫|----⌫-⌫|
que cillorf eissent	--|--|--|-⌫------|
anthiocu si letlis ien	--------⌫|-⌫|-|-|-⌫--|
cheu auch ierentsansares tue	----⌫----⌫-----|---|----⌫--|
i otpuisre sne	|-|---|--⌫--|
qui mieusmie usnefe ri st auant	--|----|---⌫-|-|--⌫--⌫-|----|
dontlesaleren tochiant	---|--|------⌫|------|
enpluisors lius e tsidetinrent	-|-------|---|-⌫|-|--------|
les plusg ransqui arenconuinrent	--|---|-⌫---|--||-----|------|
tholomes ne	-------|-|
se mist et	-|---|-|
a gar antforsde	|---⌫--|---|-|
sac o ntree	-|-⌫-⌫----|
lage nta nthiocumalee	-|--⌫-|-⌫-------|---|
sestpar orgu el en	|--|--|----⌫-|-|
oucil se urentque	-|--|--⌫----|--|
nulesso ne	--|----⌫-|
nespeut gar an tirne	|-|---|---⌫--⌫--|-|
camer ch i	||---⌫--⌫|
nescouigne metre	|-|------|----|
de uiers leroianthiocum	--⌫----|-|--|--------|
sere ndi ren t a fe r so n	-|--⌫---⌫---⌫||--⌫|--⌫|
s auues lor uiesetleleur	-⌫----|--|---|-|-|---|
parsiqueur entnouel signeur	--|-|-----⌫--|----|------|
enbabiloine eten	-|--------|-|-|
ensia nthiocussa guerr e	---|-⌫-------|-|-----⌫|
mistafin enuerst h olome	---||--|-----|-⌫-⌫----|
dontnamie mout soriorné	---|||--|---|--------|
forstantquilg arde mi stpart ot	---|-----|-|-⌫---|--⌫-|--|-⌫-|
qui lors furent fel e t estout	--|---|-----|--|-⌫|-----|
alaloi diud ontuosaid it	|-|--|--|-⌫--|--|-|-⌫-|
dontliiuiferent partit	---|-|---|----|-----|
quantanthiocusotcou	----|--------|-|--|
son sagepries	--|---|----|
et l i dis t or med iauant	-|-⌫|---⌫|-|-|-⌫|----|
ce stege ntontfait m onc omant	--⌫--|--⌫-|--|---|-⌫-|-⌫----|
quete n samb l e iou	--||-⌫|----⌫-⌫|--|
autresic onfa it d u n	------||-|--⌫-||-⌫|
f aitcilquiondo nea mengier	-⌫--|--|--|-|--⌫-||------|
priuésest	------|--|
le puetonmoutle gierement	-|---|-|---|--⌫--------|
maisa darrains uie nt	---||-------|---⌫-|
qui leprent	--|-|----|
quantmains	----|----|
se doutec euoistu	-|----|-⌫|---|-|
porc ese tu	--|-⌫|-|-|
as oreuaincu	-|--|-----|
tholome pa rsi	------|--⌫|-|
fai tesfort	---⌫|-----|
ne sonte ncortrestuit mort	-|---|-⌫---|-------|---|
aucunqui te uo r rontblasmer	----|--|-|--⌫-⌫---|------|
couqu etulo r uieusatorne r	--|--⌫|-|--⌫|----|------⌫|
leurcreancea	---|------||
si fait esploi t	-|---|------⌫|
etfosnedout etantquiluoi t	-|--|-|----⌫|-----|-|---⌫|
que p lus nepuetnauan t narier	--|-⌫--|-|---||----⌫||----|
ansite cou enrapl iier	---|-|---⌫---|--⌫---|
le ure nesque pors	|-⌫--|--|--|---|
ses tacorésocise t mors	|--⌫|------|---|-⌫|---|
quantlisagesot son	----|-|----|-|--|
contésiietaun fausris	-----|-|---|-|---|--|
anthiocu s et distenh aut	--------⌫|-|---|-|-⌫--|
merueilles oisediusmesaut	---------|-|-|---|-|---|
dis que ie trouerai	--|--|-|-------|
home sif ortporcuila i rai	---|-|-⌫--|--|--|--⌫-⌫--|
mon auis defair e	--|---|-|----⌫|
lors com andaque	---|---⌫---|--|
separtiss entsans	-|-------⌫--|---|
lordroit euoieont	--|-----⌫|---|--|
pa rmil eroia umed	--⌫--|-⌫|----⌫--||
c anthi oc usauo itsugipte	|-----⌫--⌫-|---⌫-|------|
etmiseasas ignourie	-|---||-|-⌫-------|
p orcouque io u	-⌫-|--|--|--⌫|
ne uosoub lie	-|--|---⌫--|
lete rmineque	-|--⌫----|--|
queliroiaumesaco u	--|-|-------||--⌫|
l an centism e quarant etroi s	|-|-------⌫|-------⌫|----⌫|
yyio rsa presenselmois	-|--⌫-|-⌫---|--|-|---|
daurilauintsifaite	|----|----|-|----|
qu i pui s apres fumout desc lose	--⌫|---⌫|----|-|---|----⌫---|
sicom lestoire len osconte	-|--||------|-|-⌫-|----|
anthi oc usq uin auo ithon te	-----⌫--⌫-|-⌫-||---⌫-|---⌫-|
d eces te ch ose auplusbriement	-⌫|---⌫-|--⌫--|-|---|-------|
queioupo ra idirai	--|--|--⌫--⌫|----|
cilroissenu i ntlaou	--|---||-|-⌫-⌫-|-|-|
quantildeegipte separti	----|-|-|-----|-|----|
droitementoson	---------||--|
ui n telroiaumedesurie	--⌫-⌫|-|------|-|----|
sicheuau ciere ntsans enso ne	-|------⌫-----⌫-|---|----⌫-|
tantquiluinre nta	-----|-|-----⌫-||
unec h itedegrant	--|-⌫-⌫--|-|----|
la fist sag ent prendreseiour	-|---|-|-⌫--|------|-----|
etenu oiadeuscheu aliers	-|---⌫--|---|----⌫-----|
preuset har dis c rueu set fi ers	----|-|---⌫--|-⌫----⌫|-|--⌫--|
antigonumpor	--------|--|
comentanthiocus loursire	-----|--------|---|---|
l i ma ndoit quiluenist	-⌫|--⌫----|-|-|-----|
porlui sieruir ou ilanui	--|--|------|-|-|---|
liferoitcou s euist	-|-----|--|-⌫----|
anti go nus uit quepouoir	----⌫--⌫--|--|--|-----|
nauoitaluisisa co rd a	|----||--|-||-⌫--⌫--⌫|
entelmaniere qu il	-|--|------|-|-|
otroiéa iestr eseshom	------||-----⌫|--|--|
il d ist partel condis ion	-|-⌫--|--|--|------⌫--|
lereceuoi tasonconseil	-|-------⌫||--|------|
que toutle pe ul edisra el	--|---|-|--⌫--⌫||----⌫-|
uoloitauoirasadeuise	-----|----||-|-----|
cestechose fua cou mi se	----|----|-||--|--⌫-|
que nulcontr edit n i eutfait	--|--|-----⌫---|||--|---|
a ncoi s a otroi iéce plait	-⌫----⌫||-----⌫--|-|----|
lif eblesroi santigonus	-|-⌫----|---⌫|--------|
ma iscilforsro i santhiocus	--⌫-|--|---|--⌫-⌫|--------|
se m eut delaouilestoi t	-|-⌫--|-|-|-|-|-----⌫|
siqueniheru salemtot dr oit	-|-|-|-----⌫----|--|--⌫--|
asagrant ostfaiteue nir	|-|----|--|----|--⌫--|
mout se fista	---|-|---||
t osciauscremir	-⌫-|----|-----|
delachitecoupoués croire	-|-|----|--|-----|-----|
maispus que	---|---⌫--|
dire endoilau oire	---|-|--|-|-⌫---|
moutiaui nt grandedolours	---||---⌫-|-----|------|
confusio ns la rmesetplors	--------⌫-|--⌫---|-|----|
sic omme ioule truis elliu re	-|-⌫---|--|-|----|-|---⌫-|
qui laue rite	--|-|--⌫---|
nosenliure	--|-|----|
ne saicome nt le	-|--|----⌫-|-|
cild iusqui	--|-⌫--|--|
tel d olorsenti	--|-⌫---|----|
so rsonpeu ledontdi tu ousai	--⌫|--|---⌫-|---|--⌫|-⌫--|-|
ent ende ́s siuos	---⌫----⌫-|-|--|
une chose formen tpiteuse	--|----|------⌫|------|
e tuers cascun	-⌫|---|-----|
bonanguiseuse	--|---------|
com ent esplo i ta ci lmausrois	---⌫--|-----⌫-⌫-|--⌫|---|---|
qui tan tf ist	--|---⌫|-⌫--|
de plusorsdesrois	-|------|------|
enla saintenomee	-|-|-----|----|
iherusal em do nt uo saidi t	--------⌫-|--⌫-|--⌫|-|--⌫|
