In cipitlapidarius	--⌫----|---------|
Maisce leest lam ieldre	---|--⌫-|--|-|-⌫-----|
que hom trouet en late rreas	--|--|-----|-|-|--⌫--|-|
T urcsicele	-⌫---|----|
netresl uist mie	-|-----⌫---|--|
Elee st desi grande	--|-⌫-|-|-|-----|
uertutquee le	-----|--|-⌫-|
estpard rei tapell eegemme	--|--|-⌫---⌫|-----⌫-|----|
detutesgemmes	-|----|-----|
Elecunfortetle	--|--------|-|
cors etientles	---||----|--|
me mbresentiers etueintboisdie	--⌫----|------|-|----|------|
etol tpour	|---⌫|---|
Elegeteth omed eprisunetdesl iet	--|----|-⌫--|-⌫|-----|-|----⌫--|
d e forzliens	-⌫|---|----|
e eleestbonea	|--|--|---||
faireacor deeele	----|----⌫-||--|
estmieldrea uedeirq ue nule	--|------||-----|-⌫-|---|
lewelesfig ureski	|--|--|---⌫---|-|
dientleschoses kia inznefu rentseuesA	----|--|-----|-|-⌫--|-|--⌫---|----||
medicine reualtkarele r efr eidet hume ki	-------|-----|--|--|-⌫---⌫----|---|-|
atr opgr antchalurdedenz et	|--⌫-|--⌫--|-----|-----|-|
kitrop suetesihom latri blet od	-|---|---||-|--|-|---⌫---|-|
la it siestbonea saner maluaismalauns	--⌫-|-|--|---||----|------|------|
Eleestbo ne asoi lz	--|--|--⌫-|-|--⌫-|
etadolur delchief	-||----|--|----|
ealmaldelal angue	|-|--|-|-|-⌫----|
Mais ki l ap ort etdeite strem ultchast es	---|-|-⌫|-⌫---⌫-|---|-⌫---|-⌫--|-----⌫-|
Iaspessunt de dis etsetmani ereseteleest	-----|---|-|--|-|--|----⌫---|-|--|--|
demutesculurs ecreist en multesp artiesd el si ecle	-|----|-----||-----|-|-----|-⌫-----|-⌫-|--⌫---|
Mais c eleestlamie l drekiestu erte	---|-⌫--|--|-|---⌫-⌫--|-|--|-⌫---|
ettreslu isau nte	-|------⌫----⌫--|
mieldresue rtuz	-------|--⌫---|
K ichastement lap ortedeledef entde fieureet de	-⌫|---------|-|-⌫----|--|---⌫--|-|-----|-|-|
yd ropee teleuaultafemmekiuait de	--⌫---|-⌫|--|----||----|-|---|-|
sun uentreetele	--|-----|-|--|
e sta humed efen siunetfaitaméde	-⌫-||---|-⌫----⌫---|-|---|----||
pu is sauntetosted f a ntosme	--⌫--⌫----|-|----|-⌫-⌫-----|
Sa f orceestgr einur	-|-⌫---|--|--⌫----|
en arge ntqu e enor	-|----⌫-|--⌫|-|-|
Sm aragdus	--⌫------|
Sm aragdeueint	--⌫-----|----|
tu teschosesdeuerdur	--⌫--|-----|-|-----|
Ele e stdesismani erescar ele es t de	--|-⌫-|-|--|----⌫---|--|--|--⌫|-|
S ithia et	-⌫----|-|
Bractenie eteleestde	--------|-|--|--|-|
Nilkiuient	--|-|----|
depar aiseunemanie reapeled h omcalc ed o nie	-|---⌫--||--|-----⌫-|-----|-⌫-|----⌫--⌫-⌫--|
Scithiaes t mielz	------|--⌫|----|
preisiedeque une s genzk iunt n u m	--------|--|---⌫|---|-⌫|--|-⌫-⌫|
Arism a spitolentagriff u ns	-----⌫-⌫--|-----||-----⌫-⌫-|
mie ldrekiestsiclerequ ehom	---⌫---|-|--|-|----|--⌫|--|
parmi ki taintle airki	----|-|----|-|--|-|
liestpr of	-|--|--⌫-|
El e nemue t sabeal tédnepur	--⌫|-|---⌫|-|----⌫---|-|--|
soleil nepurlumiere lanuit	-----|-|--|------|-|---|
nepur umbre	-|--|----|
Celekiestplainn e	---|-|--|------⌫|
mirer sei e nzke	----|--|-⌫-|-|
Neron sole itau ei run esmireurqu antilesga rdoutsesdeduiz	----|----⌫-|--⌫--⌫|-|-------|--⌫--|-|----⌫----|--|-----|
Icestepierreest a enquer recho sesparewe	-----|-----|--||------⌫-|---⌫--|--|--|
Ele ac reist richeise a c e lui	--|--⌫----|-------||-⌫-⌫--|
kichastementlaported etel efait ahume	-|---------|-|-----|-|--⌫|---||---|
parleretac ce ptable	-----|-|--⌫--⌫-----|
S eh omlaportedalcol	-⌫|-⌫-|-|-----|-|--|
pendue si l	-----|--⌫|
garratd eunem aluai sefieu rekiadnunemit retus	-----|-⌫|--|-⌫-----⌫-|----⌫-|-|-|--|----⌫----|
eteleualt encontr e gut e ch aiueeteleamended les	-|--|---|-------⌫|---⌫|--⌫---|-|--|------|--|
oilza c elui k ilesguardedeel e	---||-⌫---|-⌫||--------||--⌫|
os t edtemp este	--⌫-⌫-|----⌫---|
etluxurie et ele deuientplusencreu erte sihom	-|------|-|--|------|---|----|-⌫---|-|--|
en uin et pu is estui nc te deolie uert	-|--|-|--⌫-|--|--⌫--⌫-|-|---|---|
Sa rdoin eestde	--⌫-----⌫|--|-|
dous piere s de sardine et	---|-----⌫|-|------|-|
decezdouspie res treiscolursker leblau nc	-|--|---|---⌫--|----|-----|--|-|----⌫-|
sur leneir	--|-|---|
etlerug es ur	-|-|---⌫|-⌫-|
Cestees tdeci ncmanieresmaiscel eki	----|--⌫|-|--⌫-|-------|---|---⌫|-|
lestreisc ul ur sa dbiendeu iseese	--|----|-⌫--⌫--⌫|-⌫|---|---⌫----||
niententremellee sc eleestlamielz	----|-----------⌫|-⌫--|--|-|----|
preisedeenule cireniae rt	-------||---|---|||--⌫-|
Ele cuuient aumble humeetachast e	--|------||----|---|-||-----⌫|
Altr esuertu znetrou ai	----⌫-|-----⌫|-|----⌫-|
delies crite s	-|-|--⌫-----⌫|
Arabie uien t etde	-----|----⌫|-|-|
Chrysolithus	-----------|
Grisoli te e st se mbl anteaewed emersi	-------⌫-|-⌫-|--⌫---⌫---||--|-⌫|--|-|
ad dedenzcumeung r ein de	-|-----|---|-|-⌫-⌫--|-|
o retesten c e lecume	-⌫|-|-----⌫-⌫-⌫-|---|
Eleestmultboneapo rter	--|--|---|---||--⌫---|
surseicontrenat uralspo urs	--|--|-----|---⌫----|--⌫--|
kilad percie deetdunc hes	-||-|------⌫-|-|----⌫--|
met pa rmi le per tus se ie deasne	--|--⌫--|-|---⌫--|--⌫-|-|---|
siem potlumde c haci erl es dia bl es	-|-|--||-|--⌫-⌫----⌫-|-⌫-|---⌫--⌫-|
A lsenestrebrazdeitestrep endue	-⌫|-------|---|---|----|-⌫----|
Berilestfurmee	----|--|-----|
s ique elead si s aungles	-⌫|--|--|-|--⌫|------|
pur aueirgrei ngnur clartét	--|----|----⌫----|-------|
Lab on eadc ulurde oli eet	-|-⌫--⌫|-|-⌫---|-|---⌫|-|
Elenusuientde	--|--|----|-|
I cesteportetamurentre hu m eet femmeetfaitho nur	-⌫----|-----|---|----|--⌫-⌫|-|----|-|---|--⌫--|
ki laportedet elear t lamaina celui	-|-|-----|-|--|--⌫|-|---||----|
ki lees treint	-|-|--⌫-----|
Leeweu eleadgeut	-|--||--|-|---|
ualt asoilzma la des etsihomla	---|-|---|--⌫--⌫--|-|-|--|-|
b eit elet outrutese tsuspirsetel euault	-⌫--|--|-⌫--|----|-⌫|------|-|--⌫|----|
a tut eslesdulurskiauienenta lfeie	|---⌫-|--|-----|-|-------|-⌫|---|
Decestesun tnof	-|----|---⌫|--|
Topa z ium	----⌫-⌫--|
Topaceuient deunhilleki altresi	-----|----|-|-|----|-|------|
estapele e	--|-----⌫|
Elees tpurceop l us ch i er equ e ho m p oien	--|--⌫|--|--|-⌫-⌫-|--⌫-⌫--⌫|--⌫|--⌫|-⌫-|-|
Eleest de dousmanieres la uneadco lur	--|--|-|---|-------|-|--|-|--⌫--|
demieror e	-|---|-||
laaltreestunpoipluscle r e	-|----|--|-|--|---|---⌫-⌫|
E le ualt alf i	-⌫-|---|-|-⌫|
etceo dient quee lesentla	-|--|----|--|-⌫-|---|-|
Ellefaitlabuil lante	---|---|-|----⌫----|
eweces s er deb ui ll ir	--|---⌫-⌫-|-|-⌫--⌫--⌫-|
Eleuient de	--|----|-|
Hya cinthus	---⌫------|
Iagunce ssuntde	-------⌫|---|-|
trei sman ieresgrana teset citri neset	----⌫|---⌫----|-----⌫--|-|-----⌫--|-|
Tutescunfort ente ttolen t tris turetuaines su speciuns	----|-------⌫--|-⌫|-----⌫|----⌫--|-|-----|--⌫-------|
C h escunss agesper iers prisetpluslesgrana tes	-⌫-⌫-----|-⌫---|---⌫---|-----|---|--|-----⌫--|
Eles huntlaplusbele culure t	---|---|-|---|---|----|-⌫|
mein sentrouethom	----⌫|-|-----|--|
Lee wageestclere alsereie obscu re al	-|-⌫---|--|----|-|----||-----⌫-|-|
nuble tens	----|---|
Mais celeewage	---|---|----|
estmeldreke	--|-----|-|
nuldurenetropobscurene	--|---|-|---|------|-|
tropcl ere n	---|--⌫--||
estmaisdetempreeculure tpurpr e	--|---|-|------|----|-⌫|-----⌫|
Elerefreidedquanthomlamet en la	--|--------|----|--|-|--|-|-|
Pu rdurescene potestr eentalleesenestod	--⌫|------|-|--|----⌫|-------|-||--|-|
lapieced e ladamas d epeciét	-|----|-⌫||-----|-⌫-------|
La ci trine iaguncees tpale et purce o	-|--⌫----|------|--⌫|---|-|--|--⌫|
estplusuile	--|---|---|
Mais laq ueleiagunc equehomportet uendeit	---|---⌫---|------⌫|--|--|-----||-|---|
colpendueseurementpu et aleren altre	--|-----|--------|--⌫-|---|-|----|
terre senz	----|---|
engru tementet a	-----⌫-----|-||
sesostelsserratetde	--|-----|-----|-|-|
ceoqu eil resn ablem entquer ratneauerat escondit	--|--⌫|-|----⌫-----⌫--|----⌫--|-|-----|-------|
Icestege mme uientde	-----|--⌫--|----|-|
Amethy st us	------⌫--⌫-|
Ametistea d	-------|-⌫|
pu r pri nc ulur et cumeui ole	--⌫-⌫---⌫|-⌫---|-|---|--⌫--|
ualtr etelecumeg uttede uin u	|----⌫----|---|-⌫---|-|--||
cumerosem unde	---|---|-⌫---|
Tele iadkiturn et	---||-|-|----⌫-|
alquesablaunchuraltre	-----||--------|----|
cume rugeuinmeslét	---|---|--|------|
Inde n usuien t	---|-⌫-|----⌫|
legi ere est a	----⌫--|--||
entallierecuntrariee staeniuer er	--------||--------|-⌫-||------⌫-|
Chere sereitpardreits e	----|-----|--|----|-⌫|
tantnen fustm a isoree st uile	---||-|---|-⌫-⌫-|--|-⌫-|---|
quanttauntenest	----|----|-|--|
dec inc manier es	-|-⌫--|------⌫-|
Al ect orias	--⌫---⌫----|
Allectoriecr eist eluentr eal chapun puis queil	---------|--⌫---|-|-----⌫|-|-----|---|--|-|
adestédtr eisa unze cre is t tu ziu rztauntque	-|-----|--⌫--|-⌫--||---⌫--⌫|--⌫|--⌫-|----|--|
ilaits et aunzmes ele	-|--|-⌫-|---|--|--|
ne creis t	-|-----⌫|
gre in dre de unefeue	---⌫--⌫--|-|--|---|
Elee stclerecume c ristalucume ewee ele	--|-⌫-|----|---|-⌫-----||---|--||--|
dunet adhumeuictoriekila	----|-|---|-------|-|-|
portede sihume kiadgrant seit la	-----||-|---|-|-|----|---|-|
meten sabuc he	--|-|-|---⌫-|
elel iestein tlaseit	--|-⌫|------⌫|-|---|
Plusurs reis	------|---|
u ntuencues lur ba tallesparlaa ll ectorie	-⌫-|------|--|--⌫-----|--|-|-⌫--⌫------|
El erameinetbienlesdechacie zecu nqu e rta hume	--⌫|-------|---|--|--------⌫||--⌫---⌫-⌫-||---|
bonsamisetf ethumebien p arlau nt et	---|---|-|-⌫-|---|---|-⌫-----⌫-|-|
améteteleualtmultahaunt de	----|-|--|---|---||----|-|
femmedu neretboneest	----|--⌫--|-|---|--|
a aueir a femme ki uult estre	|----||----|-|---|----|
ameed esunb arun	---|-⌫|--|-⌫---|
Kiuult que eleaitces teu ertud sila p ortet	-|---|--|--|--|---⌫-|-⌫----|-|-|-⌫----|
Hieracitis	---------|
Gerat iteestne i resiest de tele	-----⌫--|--|--⌫-⌫-|-|--|-|---|
n atur e que si homle ued sa	-⌫----⌫|--|-|--|--⌫--|-|
buc he etmetla des uzsala nge eneire pu et	---⌫-|-|--|-|---⌫-|-|--⌫--|-|---|--⌫-|
direque unsaltreshompensetdelui et	---|--|--|-----|--|-----|-|--|-|
fe mmenel ipu rr atueer nu lerienquei lli	--⌫--|-|-⌫|--⌫--⌫-|---|--⌫-|---|--|-⌫|-|
qu ergetdesa	--⌫----|-|-|
u olentéfere	-⌫------|---|
Ices tepierepot h om issipruuer u ngetunh ume de	----⌫-|----|--|-⌫-|---|-----|-⌫---|-|-⌫--|-|
mielet de laitsil	---|-|-|---|--|
metethors a lsoleilla umult	----|---|-⌫|-----|-||---|
aitm uschessi aitla	--|-⌫-----|-|--|-|
piere ensabucheia	----|-|-|----|-|
nuledesmusc hesn elattucheratetsi	---|--|----⌫--|-⌫||---------|-|-|
hom leostet	--|-|----|
silpuinderunt	--|---------|
Chelidonius	----------|
Celidoineestu nepiere queh om tro uet eluentr e a	--------|--|-⌫-|----|--|-⌫-|---⌫--|-|-----⌫||
larundeelenestmiemu lt be leet	|-----|--||--|--|--⌫-|--⌫-|-|
nequed entueint	------⌫--|----|
elelesbelesdeut ili t ét	--|--|----|-|--⌫---⌫-⌫--|
Eleestdedousmaniereset	--|--|-|---|-------|-|
culurs ele estneir eet	-----|--|--|----⌫|-|
Larugee s t bone encuntr e passi unkiprent hume	-|---|-⌫-⌫|---|-------⌫|-----⌫-|-|----|---|
par luneisunsduntilchiét et dunt	--|--------|---|-|-----|-|---|
ilafol etet e le sanet les f orsenez e tles	-|----⌫-|-|-⌫-|----|--|-⌫------|-⌫|--|
langurusetceluiki laportet faitele	-------|-|----|-|-|-----|---|--|
bienparla ntet bien amét	---|-----⌫-|-|---|----|
deitporter li e deen lingedrappendu ealsenest remahustre	---|-----|--⌫-⌫-|-|----|---|-----⌫|-|------⌫-|-------|
Mais lanei resi	---|-|---⌫-|-|
homl aporteten meesme la	--|-⌫|-----|-|-----|-|
ma nierea iet	--⌫----|-⌫--|
ahomea p arfa ir egranzch osessiil les cu mencet	|---||-⌫----⌫--⌫|----|--⌫---|-|-|--|--⌫-----|
sili estaie cuntremanaces	-|-|--|--|-----|------|
eiresdere is	|---|-|--⌫-|
etde pr inces	-|-|--⌫----|
Lee we uele	-|-⌫-||--|
est lauee ualtos oilzmalad es	--|----|---|-|---|-----⌫-|
Icele m eesm e	----|-⌫----⌫|
liede en lingedrapteinten safrantoult	----|-|----|---|----|-|-----|----|
bien la fieure	---|-|-----|
restre int bienhu murski	------⌫--|---|--⌫---|-|
n uisen talcors	-⌫-----⌫|-|---|
Gaiétna is ten	-----|--⌫--⌫|-|
unecuntree ki	--|------|-|
estbien prof gemme	--|---|---|----|
Maislame il lurde l siecle est	---|-|--⌫--⌫--|--⌫|-----|--|
Bre taignemaiurkiore	---⌫-----|----|-|--|
Engleterre	---------|
Luis anteest et	----⌫---|--|-|
ne ir e et legi ere e t plaigne	--⌫--⌫|-|----⌫--|-⌫|------|
Quante le e stesc haufeeparfre ier si atra itla	----|-⌫-|-⌫-|---⌫-----|--|---⌫--|-|----⌫-|-|
pa il lek iprofl i e st	--⌫--⌫-|-⌫|---|-⌫|-⌫-|
Elearten eweeteleesteint enol ie	--|--|-|--|-|--|------|-|--⌫-|
E le est bone aporter	-⌫-|--|---||-----|
kiadenfleure	-|-|-------|
ent requi retcharc u meh om enfundud	---⌫-|---⌫|-|---|-⌫-⌫-|-⌫-|-------|
La pudredeliaiétlaueeenew ecun fermetlesde n z	-|----|--|-----|----|-|--⌫|---⌫-----|--|--⌫-⌫|
kicrolle nt	-|------⌫-|
Par l ee stuuedesuzrent	--|-⌫|-⌫----|----|---|
afemme ses natures	|----|--|------|
Quant h omleartseh omkiait	----|-⌫-|-|--|-|-⌫-|-|--|
g utte chai u e sentle oduren	-⌫---|----⌫-⌫|---|-|---|-|
eirech i ét	---|--⌫-⌫--|
Le o du rdeliaiétarsdecha c et serpenze	-|-⌫--⌫|--|-----|--|-----⌫-⌫-|------||
m ult estcuntrariusas diables	-⌫--|--|---------|-|------|
aicelskiunt	|----|-|--|
lesuentres turnez et	--|------|-----|-|
a icelskilesc orne illestende nt	|----|-|--|-⌫----⌫----|-----⌫-|
Elede sfeits orceries etcharmeset sicu mehomdit	--|--⌫----|-⌫-------|-|------|-|-|--⌫-|--|--|
e sprouet uir ginitét	-⌫------|---⌫-------|
Si fem mekiuaitde	-|---⌫-|-|---|-|
s u nuentrebeitleeweuele	-⌫-⌫|-----|---|-|--||--|
aitgeu ten zt r e isiorz	--|---⌫|--⌫|-⌫-⌫-⌫-|---|
ettreis n uiz eneire	-|----|-⌫--|-|---|
Mag n et eest unepi e re kifuttroueeentreunegent	---⌫-⌫--⌫|--|--|--⌫-⌫-|-|--|-----|----|--|---|
Tragodi teeen	-------⌫-||-|
Indi eent ruuetl um	----⌫|-|-⌫----||-|
Eleadc ulurdefer	--|-|-⌫---|-|--|
et traitlefer	-|----|-|--|
Dendorle en chan teurleusatmultpur	-----|-|--⌫----⌫---|-|---|---|--|
ceoque ilsaueit queel eualeitmult	--|--|-|-----|--|--⌫|-----|---|
a enchante mente tena pr of	|--------⌫---|-⌫|-|-⌫--⌫-|
Cyrcé la merueillu se sorc iereeent reles	-----|-|---------⌫-|----⌫---||---⌫-|--|
Turcsfut cest esperment faitdelie bienest	----|--|---|--------|---|-|-||---|--|
cilkiuultsaueirsi	--|-|---|-----|-|
e s tauul tre ununmetet lamagnetesuz lechief	-⌫-⌫|----⌫--||--|----|-|------|--|-|----|
safemmequanteledormi rate	-|----|----|--|-----⌫--||
sie le estchaste ele	-|-⌫-|--|-----|--|
l eb ei seratendo rmantet si	-⌫|-⌫--⌫----|-|--⌫----|-|-|
elee sta uultree lle ch arratdel lit issi cumehu m	--|-⌫-|-⌫-----|-⌫--|--⌫----|--|--|---|---|--⌫|
labutast des a	-|-----|-|-⌫|
ma inetceoest paru neodu r	--⌫-|-|--|--|--|-⌫-|---⌫|
quelapi eredune t	--|-|--⌫--|----⌫|
Si lileresentret enunem e isunpurembler	-|-|----|-----|-|--|-⌫-⌫---|--|-----|
eil met et en l ame isunpar l	|-|---⌫-|-|-⌫|--⌫---|--||
uis uifscharbu ns etilmetetdesus l a	--|---|------⌫-|-|-|----|----|-⌫|
puldre delmagneteisique	-----|--|------|--|--|
lifumuoistencuntremun tpar	-|--|----|-------|---⌫|--|
quatr e aung lestuiticilkiserrunt	-----⌫|----⌫--|---|---|-|------|
enla maisun s en fuirunt altresi	-|-|-----||-|------|------|
l amaisunuolsis tchaier esi	-⌫|-----|------⌫|-----||-|
purrat lileres	-----|-|----|
p rendreceoq ueliplairat	-⌫-----|--|-⌫-|-|------|
Eleporte tcun cordeentrehome etdun et	--|-----⌫|---⌫----|----|---|-|---⌫-|
ahumegraze et d ulce parole esensde	|---|----|-|-⌫---|-----||---|-|
de sp uter	--⌫--⌫---|
S e ho m le du netabeiureodmu lsesi	-⌫|--⌫|-|--⌫--||-----|-|--⌫--|-|
expurgetydropeet	-------|-----|-|
lapuldr e estbon e a arsun	-|-----⌫|--|---⌫||----|
etaeschauldeuresi	-||-----------|-|
homlametdesus	--|-|--|----|
Coral estunepierekicre i stenla mer	----|--|--|----|-|---⌫-⌫-|-|-|--|
altresicum	------|--|
arb re siestuert e	---⌫-|-|--|----⌫|
lauelec reist	-||--|-⌫----|
Maisq uanteleuientalae r si	---|-⌫---|--|----||---⌫|-|
e n durcist etdeuient ruge	-⌫-⌫------|-|------|---|
Eler esembleaune	--|-⌫------||--|
braun ch ete sin estm ieplus	-----⌫--⌫--|-||--|-⌫-|---|
demi piételeest mult bone	---|----|--|--|---|---|
aporter s urs eikarcum	|-----|-⌫-|-⌫-|--|--|
dientlesaucturs	----|--|------|
Zoras teret	-----⌫--|-|
Metrodoru seleostedfuildree	---------⌫|--|----|------||
temp esteet si hom la	----⌫---|-|-|--|-|
gete t enuigneuentreoliue rsuel	----⌫|-|----||----|-----⌫-||-|
cha unp odlas emenceelelesd efentdegresi lle et	---⌫--|-|-|-⌫-----|--|--|-⌫----|-|-----⌫--|-|
d etuzmalsorezetele faitmul ti plierfru iz	-⌫|--|---|---|-|--|---|---⌫--⌫----|---⌫-|
ele os tedfa ntos meet eledunet bon cumence men t	--|--⌫--|--⌫----⌫-|-|--|----|--|-------⌫---⌫|
etbo ne fin	-|--⌫-|--|
Co rne olus	--⌫---⌫---|
Corneole estobscurepiereetneque dent	-------|--|------|----|-|-----⌫---|
adgr antuertuz k erele tolt	-|--⌫--|-----|-⌫-|--|---|
iresde desputaun ze	---|-|---------⌫||
culurdelaueur edechar	----|-|------⌫|-|---|
elees tanchet sanc detuz	--|--⌫------|---|-|--|
membres ma is m esmement de femme	------|--⌫-|-⌫-------|-|----|
kitrop ad dese sflu rs	-|---|-|-|--⌫|---⌫-|
L iguriumestp iereki	-⌫------|--|-⌫---|-|
crei stdeladatede unebesteki	----⌫-|-|-|---|-|--|----|-|
a d nu m li nz	-⌫|--⌫|--⌫-|
parmi piereeparm ifust	----|----||----⌫|---|
La bestecuuretsad ateo d lagrauelequeh om	-|----|-----|-|-⌫--|-⌫|-|------|--|-⌫-|
nepuissettruuerla pie r e	-|------|-----|-|---⌫-⌫|
Teofrastus dit que elead	---------|--|--|--|-|
culurdelect r eequeeleatraitla	----||-----⌫-⌫||--|--|-----|-|
pailleequee le t oul t dol urdelu entrailet	-----||--|-⌫-|-⌫---⌫|---⌫-|--|-⌫------|-|
le galniz etm eneis un	-|-----|-|-⌫-----⌫-|
E chiteestnumbree entr elesmeillures	-⌫----|--|------|----⌫|--|--------|
Liaiglesla prent es	-|-----|-|----|-|
deforai n es pa rtiesdel mundsi laportetasun	-------⌫-⌫-|--⌫----|--|---|-|-|-----||--|
nithque eleledefende	---|--|--|-|------|
Icestepiereadunealtrede denzseiet pur ceo	-----|----|-|--|----|--⌫---|--|-|--|--|
d itlumqueeleest boneafem m e encein te	-⌫-||-|--|--|--|---||---⌫-⌫|------⌫-|
qu e eleneperdetsun enfauntnequeelene	--⌫|--|-|-----|--|------|-|--|--|-|
trauailtal enfanter	-------|||-------|
eledeitauei r	|-|---|----⌫|
penduea s unsenestre	-----||-⌫-|-------|
E l edefent homeki laport etde iuerece	-⌫-⌫|-----|---|-|-|----⌫-|-|------|
eteleacreistrich eise e tf e tamer celui	-|--|------|----⌫---|-⌫|-⌫-⌫|---|----|
kil a detueintre lefai te enfanzg uarde t	-||-⌫|-|------|-|---⌫||-----|-⌫-----⌫|
seinsetto ltg u te chaiue etsi homad	----|-|--⌫-|-⌫-⌫-|-----|-|-|--|-|
suspec iun de	------⌫--|-|
aucunhumequeleuoilletenpuisunerprenget	----|---|--|-|------|---------|------|
