#META# TextURIP erc e u alKu	-----|------|-⌫---⌫-⌫-⌫---|
#META#DEA Fn od ata	-----|---⌫|-⌫--⌫--|
#M ETA#FEW	--⌫---|--|
#META#ARLIMAhttps/ / www .arlima .net/ad/chretien_de_troyes.html# g r a	-----|-----|------⌫-⌫---⌫-------⌫--------------------------------⌫-⌫-⌫|
#META#AuthorChrétiendeTr o yes	-----|-----|--------|-|--⌫-⌫--|
#META#AuthorBorn	-----|---------|
#ME TA#AuthorBornAmb	---⌫--|------------|
#ME TA#A uthorDied	---⌫--|-⌫--------|
#META#AuthorDie dA mb	-----|---------⌫--⌫-|
#ME TA# Aut horFl1	---⌫--|---⌫-----|
#META#AuthorFl2	-----|--------|
#META# TextTitlePerceual	-----|--------|-------|
#MET A# TextSubtit leLe	----⌫-|----------⌫-|-|
#M ETA# Textuols	--⌫---|-------|
#META# TextSub i rom an c e	-----|-------⌫|---⌫--⌫-⌫|
#M ETA# TextDomlit	--⌫---|------|--|
#M ETA#Tr a nslationf alse	--⌫---|--⌫-⌫-------|-⌫---|
#META#Collection	-----|---------|
#META#Colle ct ionNo	-----|-----⌫--⌫----|
# META#TextDescARL u e rsoctos yllabi ques à	-⌫----|----------|-⌫-⌫-|-----⌫------⌫---|-|
quen us ne	--|-⌫-|-|
le setse cilnon	-|--|-|--|--|
quiDe xet Chari té	--|--⌫|-|-----⌫--|
charitezetquiuit	-------|-|--|--|
ancharité selonc	-|-------|-----|
sa inzPos loditetie le	--⌫--|--|-|--|-|-|-|
quimaint anDeu et Dexanlui.	-||----|-|--|-|--|-|---|
Don csachoizbiendeu e rité	---⌫|------|---|-|-⌫-⌫----|
quelido n sontdechar i té	--|-|--⌫|---|-|----⌫-⌫--|
qu elibonscuensFe lipes done	--⌫|-|---|----|--⌫----|---|
c onquesneluin anareisone	|-----|----||-|-------|
fo rs sonfranccu er	--⌫-|--|----|--⌫-|
ledebonere	-|-------|
quili loelebien afe re.	--|-|--|-|---||--⌫--|
Neualtmialz cilquene	-|---|----|--|--|-|
A lix andrescuine	-⌫---⌫-----|--|-|
de chariténe d enul b ie n	-|-------|-|-⌫|--|-⌫--⌫|
Oïl n andot ez	---||-|---⌫-|
Doncaurabien sauuesa	---|---|---|----|-|
Cre s tiensqui an tantet peinne	---⌫-⌫----|--|--⌫---|-|-----|
ar imoier lemeillorconte	|-⌫-----|-|------|----|
parle comandement leconte	--|-|----------|-|----|
q uisoitconteza n cortr eal.	-⌫-|---|-----|-⌫|---|-⌫---|
Ceestlicontesdel	-|--|-|-----|--|
d onlicu ens libai llele liure	-⌫-|-|--⌫--|-|---⌫--|-|----|
sorro iz comantilsa n	|----⌫-|-----|-||-⌫|
Ce fu autansquarbreflor issent	-|-|-|---|-|----|----⌫-----|
fuellesb oschaige	------|-⌫-------|
préuer dissent	---|---⌫------|
et cil ois elanlorlatin	-|--|---⌫-|-|--|----|
dolcemantchanten taumati n	--------|-------⌫|-|----⌫|
riensde ioieanf lame	----|-|---|---⌫---|
qu e lifi lza laueue	--⌫|-|--⌫-||-|---|
delaGaste Fore stso utain ne	-|-|----|----⌫-|--⌫-----⌫-|
se le uaetneli fup ai n ne	-|--⌫-|-|-|-|-|-⌫--⌫-⌫-|
queilsasele ne	--|-|-|---|-|
sorson c haceoret preïst	--|--|-⌫-----|-|------|
.iii. i auel oze t	----|-⌫----⌫-|-⌫|
forsd elmano ir	---|-⌫-|----⌫-|
sa mereissi.	-|---|----|
queueoiriro it	--|----|---⌫-|
hercheo rsquesa mereauoit	-------⌫-|--|-|---|----|
quisesau einneslihe rchoient	--|--|--⌫-----|-|--⌫-------|
bués . xii.ets ish ierc hesau oie nt.	-----⌫-⌫---|-|-⌫-|-⌫----⌫--|--⌫---⌫--|
(361c. 8 5)	------⌫-⌫-|
Ens ia n la forests an a ntre	---⌫|-⌫|-|-----||-|-⌫---|
etmaintenant	-|---------|
licuersdeluantre	-|----|--|-----|
porled olz	--|-|-⌫--|
tanslire sioï	---|-|--⌫----|
chantquei loï	----|--|-⌫|--|
desoisiaxqui ioie feisoient	--|-----|--|---|--------|
totes ceschoses lipleisoient.	----|--|-----|-|----------|
Porla dolçor del tansserain	--|-|------|--|---|-----|
os taau chaceorsonfra in	--⌫-|-|------|--|---⌫-|
sileleissa alerpeissan t	-|-|-----|---|-------⌫|
par lerbe fre sche uerde ant.	--||---|---⌫---|-----⌫---|
Etcil qui bienlanciersauoit	-|--|--|---|------|-----|
de siau el ozquei l auoit	--⌫|---⌫--⌫-|--|-⌫|----|
aloi tanuironluilancent	----⌫|------|--|------|
une orearrier eetaltre	--|--|------⌫|-|----|
u ne or e anbas et alt re anhaut	-⌫-|--⌫|-|--|-|---⌫-|-|---|
tan tquiloi ̈	---⌫|-|-|--⌫|
pa rmi le gaut	--⌫--|-|---|
uenir. u.cheualiers a rmez	------⌫-|---------|-⌫---|
detotesa rmesac esme z.	-|----|-⌫---|--⌫----⌫-|
Et m outgrantnoisedemenoient	-|-⌫--|----|----|---------|
lesarmesa cesquiu enoient	--|----||--|--|-⌫------|
car soua nt hurtoien t as ar mes	--|----⌫-|--------⌫|-|--⌫--|
lir ain deschasnes etdescharmes.	-|-⌫--|--|------|-|--|-------|
Ettuitlihau be rcfremissoient	-|---|-|---⌫--⌫-|-----------|
a s e scuz	-⌫|-⌫---|
hurt oi ent	----⌫--⌫--|
sonoitlifuzsonoit li	-----|-|--|-----|-|
escu zetdeshau bers.	----⌫|-|--|---⌫----|
Liuaslezotet neuoitpa s	-|-----|-|-|-|---|--⌫|
cesquiuiene ntp lusquele p as	--|--|-----⌫-|-⌫--|--|-|-⌫-|
si sa nmeruoillee td it	-||-⌫|--------|-⌫|-⌫-|
uoir me dist m amerema dame	---|-|---|-⌫|---|-|---|
quim edistquedeablesont	--|-⌫|---|--|-----|---|
plusesfreéquerien delmont	---|------|--|---|--|---|
e t sid istpo rmoian seignier	-⌫|-|-⌫--|--⌫|--|--⌫-------|
quepor au ss e doit anseignier.	--|--|--⌫|-⌫|---|-|--------|
Mescesta nseingdesdaigner ai	--|---|-⌫-----|----------⌫-|
queiau oirneman seignerai	--|-|-⌫--|-||-|--------|
einzferrai	---|-----|
si t ot le plusfort	-|-⌫-|-|---|---|
du ndes i aueloz q ue ie	|-⌫|--|-⌫-----|-⌫-|-|
ap rocherontdemoi	--⌫--------|-|--|
nusdes altre ssicon iecroi .	--|--|-----⌫|-|--|-|----⌫|
luimeïs mesdist	--|-----⌫--|---|
ein zqu i llesue ïst.	---⌫|-|-⌫|--|--⌫----|
Et qu ant ille suit en aper t	-|--⌫--|-|--⌫|--|-|----⌫|
qu ede lboisfurentd escouert	--⌫|--⌫|---|-----|-⌫-------|
(361d.1 2 9)	-------⌫-⌫-|
et uit leshaubersfremianz	-|--|--|------|-------|
et leshiaumescl erset luisanz	-|--|------|--⌫--|-|------|
e t uitleuertet le ue rmoil	-⌫|--|-|---|-|-|--⌫----|
reluir e contr ele soloil	------⌫|-----⌫|-|-----|
et loret laz ur e tlarge nt	-||-|-||--⌫-|-⌫||----⌫-|
selif umoutet	-|-|-⌫|---|-|
b el et gent.	-⌫-|-|----|
L orsdist Ha sire	-⌫--|---|-|---|
Cesontange que ieuoi ci.	-|---|---|--|-|--|--|
H é uoiroraige mout p echié	-⌫-|---|-|-|-|---|-⌫-----|
orai ge moutmalesp loitié	-|-|-|---|--|---⌫------|
qu ecest oient	--⌫||---⌫----|
pasmam erefable	--|-|-⌫--|----|
quimed i st q ueliang eestoient	--|-|-⌫-⌫-|-⌫-|-|---⌫|-------|
les plusb eles cho sesquis oient	--|---|-⌫---|---⌫--|--|-⌫----|
f orsDeuquiestplus	-⌫--|--|--|--|---|
bia x quetuit.	---⌫|--|----|
Ciuo ige Dam edeu ce	-|--⌫|-|---⌫---|-|
caru nsi bel aniesg art	--|-⌫|-|--|-||---⌫--|
queliautreseDex	--|-|----|-|--|
no ntmiede bia utél e	|-⌫-|--|-|---⌫---|-⌫|
Et sidist m a mere meïsme	-|-|---|-⌫|---|------|
doitDeu croire et aore r	---|--|-----|-|----⌫|
etsoploieret	-|-------|-|
aore rai cestui	----⌫--|-----|
ett oz lesaltre s auoec l ui .	-|-⌫-|--|-----⌫|----|-⌫--⌫|
Maint enantue rsterr ese	-----⌫----|--⌫-|----⌫|-|
etdi ttrestotes ac re an ce	-|--⌫|-------|-⌫|-⌫--⌫--⌫-|
etorison s q ueilsauoit	-|------⌫|-⌫-|-|-----|
quesamere apr isliauoit.	--|-|---|---⌫-|-|-----|
Etlimestresdesche ualie rs	-|-|------|--|---⌫-----⌫-|
leuoitet ditE stez	-|---|-|--|-⌫---|
qua terre estdepeor cheüz	-||----|--|-|---|-----|
ciluas lez qui	--|---⌫--|--|
nosaueüz.	--||-----|
Senosalions tuit ansanble	-|--|-----|---|-------|
uersluiil auroitceme	---|--|-|-----|-|-|
sigrantpeor queil	-|----|---|--|-|
ne respondre ne me p orroit	-|--------|-|-|-⌫-----|
arien queieli	|---|--|-|-|
deman dasse.	-----⌫-----|
Ilsarestentetcil	-||-------|-|--|
sa n passe	|-⌫|----|
uer sleuallet grant	---⌫|-|-----|----|
si le salueetaseüre	-|-|----|-|------|
etdituall e z na iespeor	-|--|----⌫-⌫||-⌫--|---|
— Nonaige pa rl e	|--|-|-|--⌫|-⌫|
fetli uaslez ancuiiecroi.	--|-|-----|-|--|-|----|
EstesuosDex— Nenilparfoi.	----|--|--||----|--|---|
(361e.1 73)	-------⌫--|
este suosdo ns — Cheualiers	----⌫|--|--⌫-||---------|
— Ainzm esche ualier neconui	|---|-⌫-|---⌫-----|-|----|
fetliuallez nen u l na n	--|-|-----|-|-⌫-⌫||-⌫|
non que smesparle r n	|--⌫---⌫|--|-----⌫||
mesuo s est es plusbi ax que Dex.	--|--⌫|---⌫-|---|--⌫-|--|---|
Carfusseieo rautretex	--|----|-|-⌫|-------|
ensiluisanzet ens ifez	---|------|-|---⌫|--|
Acestmotpres delui	|---|--|---|-|--|
s estt rez	|--|-⌫--|
licheualierssi	-|---------|-|
ueïstu hui ancestelande	----|-|--|-|----|----|
.u.cheualiersettroispuce le s	--|---------|-|----|----⌫--⌫|
a autresnou eles	|-----|---⌫---|
an querreetdemander a ntant.	--⌫-----|-|-------|-⌫-----|
As a lance samain l itant	|-⌫|----|-|---|-⌫|---|
sel prant etditBiax a mis	--|----|-|--|---|-⌫--|
u osquiauez noncheual iers	-⌫-|--|---|--|------⌫---|
queest icequeuostenez	--|--|--|--|--|----|
—O r su i iemoutbien	|-⌫|--⌫|-|---|---|
fet licheua liersce	--|-|-----⌫----|-|
m e stui s.	|-⌫-|--⌫-|
Ie cuidoiebiaxdolz amis	-|------|---|---|---|
nou eles apanredetoi	---⌫---|-----|-|--|
les u iaxsauoi rde	--|-⌫--|-----⌫|-|
Ieltedira ice	--|-|----⌫|-|
estmalance.	--|-|-----|
—Dites uos	|----|--|
qu anla la nce	-|-|-|--⌫--|
sic oniefazmesiaueloz	-|-⌫-|-|--|--|------|
—Nen ilu asleztuestropsoz	|---⌫-|-⌫----|-|-|---|--|
Einzan fiert antot demenois.	---|-|----|-|--|--------|
—Donc ualt m ialz liunsdeces	|---|---|-⌫---|-|--|-|--|
i auelozque uosueezci	-⌫-----|--|--|---|-|
car quanque	--|------|
ie uuela noc i	-|---|-⌫|--⌫|
o isiaxet best es abesoing	-⌫----|-|----⌫-||------|
et silesoci	-|-|--|--|
detantloi ng	-|---|---⌫-|
conlan porroit.i.	--||-|---------|
bozon trere.	----|-----|
— uasle z decenaigeque	|-----⌫|-|-||-|-|--|
c heualiers merespont.	-⌫--------|-|-------|
Di moise tu	-|--|-|-|
sezouilsont	--|-|-|---|
pucelesueïstu	------|----|-|
Liuaslezau	-|-----|-|
pandel escu	--|-||---|
le prantet di tt ote naper t	-|----|-|--⌫|-⌫-|-⌫|----⌫|
estet de coi uossert	--|-|-|--|--|---|
—uaslezfetilceestabez	|-----|--|-|-|--|---|
quana ltres n oue lesme me z	-|-|-⌫----|-⌫---⌫--|-|--⌫|
que ien eteq u iernede m ant	--|-|-⌫|-|-⌫-⌫--|-|--⌫-⌫--|
Iecu idoieseDexmamant	-|--⌫----|-|--||----|
( 361f.217)	-⌫--------|
quetu noueles me	--|-|------|-|
einzque dem oilesapreïsses	---|--|-|-⌫-|--|---------|
ettu u ia x	-|-|-⌫--⌫|
queielestaprain gne	--|-|--||------⌫--|
Ieltediraicomant quil	--|-|----|-----|-|-|
car atoi uola n tiers	--||--|----⌫-⌫----|
Escuz anoncequeie	----||--|-|--|-|
Escuzanon —uoir efet il	----||--||----⌫|--|-|
n e ledo i	-⌫|-|--⌫|
mieteniruil	--|----|--|
t antdeb on efoi	-⌫--|-|-⌫--⌫|--|
quesenuslanceo utret a	--|-|--|----|-⌫|---||
an c ontr e t ozlescos setret.	--⌫-⌫----⌫|-⌫-|--|--|-|----|
Ce stliseruisesquilmef et.	|-⌫-|-|-------|-|-|-|-⌫--|
Atantcilqui furent	----|--|--|-----|
uindrent tote l acharr iere	-------|---|-⌫|-----⌫---|
uerslorseignor trestot	---|--|------|------|
silidïent	-|-|-----|
Sireque uosd it c il G alois	---|--|--|-⌫-|-⌫-|-⌫----|
mie to tesle s lo is	--|--⌫--|--⌫|--⌫-|
fet lisire sse Dexmamant	--|-|----⌫|-|--||----|
quar ien nulequel idem a nt	-||-⌫--|---|--|-⌫|---⌫-⌫-|
nerespo nt ilonque sad roi t	-|-----⌫-|-|-----⌫||-⌫---⌫|
einzdemandede	---|------|-|
quan q uil uoit	----⌫-⌫|-|---|
comanta non	-----||--|
—Siresac hiezbienantreset	|---|---⌫---|---|-------|
queG al oissont	--|-⌫--⌫--|---|
tuit parna ture	---|--|--⌫---|
plusfolque b est esanpasture	---|--|--|-⌫---⌫-|-|------|
ausiconun ebeste .	---|--|--⌫|-----⌫|
Fos estqui delez luis areste	--|--|--|----|--||-----|
sa lam useneuialtmus er	||-|-⌫--|-|----|---⌫-|
et l e tansanfolieuser.	-|-⌫|---|-|----|----|
—Nesaife til	|-|--|--⌫|-|
seD exmeuoie	-|-⌫-|-|---|
Einz ques oiemisa	---|--|-⌫--|--||
qu anqueiluoldra	--⌫----|-|-----|
ia autrement nan par tirai.	-|--------||-|---⌫-----|
Lor sli demande derechief	---⌫|-|------|-|------|
uaslezfe t	-----|--⌫|
ilnetesoitgrief	-|-|-|---|----|
m esdes.u.	-⌫-|-----|
cheual iers med i	------⌫---|-|-⌫|
et d espuce les autresi	-|-⌫-|----⌫--|------|
selesancont rasneueïs.	-|--|------⌫--|-|-----|
Etliuaslezletenoitpris	-|-|-----|-|-----|---|
aupandelha u bercsiletire	-|--|-||--⌫-⌫---|-|-|---|
dites fetil biau sire	----|--|-|---|---|
qu e stceque uos auez uest u	-|-⌫-|-|--|--|---|----⌫|
—uaslezfe tildonnel sez	|-----|--⌫|-|--|--|--|
(362a.261)	---------|
— uaslezcestmeshau be rs	|-----||--|--|---⌫--⌫-|
se st ausipesanzcom e fers.	|-⌫-|---|-----|---⌫|----|
ferestil —Ceu oiztubien.	--|--|-||-|-⌫--|-|----|
—Dec e fet	|-|-⌫|--|
sai i erien	--|-⌫|---|
est biaxse Dexme	--|---|-|--|-|
Qu anf etesuos e tque u os ual t	-|-|-⌫---|--|-⌫|--|-⌫-|---⌫|
— uaslezc est a dire legier	|-----||--||---|-----|
seuoloies amoi lancier	-|------||--|------|
i aue loz ne saietetrai re	-⌫---⌫--|-|-----|----⌫-|
ne mepo rroies nulm alfaire .	-|-|--⌫-----|--|-⌫-|-----⌫|
—Danz cheualiers detex haubers	|---|---------|-|--|------|
lesbichesetlescers	--|-----|-|--|---|
quenulocirre nanp orr oie	--|--|-----||-|-⌫---⌫--|
ne i amés aprés ne	-|-⌫----|-----|-|
corro i e.	-----⌫-⌫-|
Etlicheual iersli redist	-|-|------⌫---|-|-----|
u a slezseD amed ex t	-⌫-⌫---|-|-⌫----⌫-||
mesez direnoueles	-|--|---|------|
desche ualiersetdes	--|---⌫------|-|--|
Et c ilqui petitfuse n ez	-|-⌫-|--|----|-|--⌫-⌫-|
li d itFustesuosensinez	-|-⌫-|-----|--|---|--|
—Neniluaslez cene	|----|-----|-|-|
pu etestre	--⌫-|----|
quainsipoï stnuler i ens nestre.	-|----|----⌫-|---|-⌫-⌫--|------|
— Qui uosatorna	|--|--|-----|
—uasl ezie	|----⌫-|-|
te diraibienqu i.	-|----|---|--⌫-|
—Ditesledonc . —Moutuolantier s.	|----|-|----⌫||---|---------⌫-|
Namie anco r. u.iorsantiers	||--|----⌫--⌫-|---|------|
quetotcesthe rnois	--|--|---|--⌫----|
lirois Ar tus quima doba.	-|---|--⌫--|--||-⌫----|
redi quedeu in drent	---|--|---⌫--⌫----|
l ich eual ierquiparci u indrent	-⌫|--⌫----⌫--|--|--|-|-⌫------|
qui les.iii.p uce l escond u i ent.	--|-------|-⌫---⌫-⌫-|----⌫-⌫-⌫---|
uontil lepa s ouils an	---|-|-|--⌫|-|-||-|
Etildit Sire	-|-|--|---|
oresg ardez	-|---⌫----|
celplusha ut bois	--|---|--⌫-|---|
que uosueez	--|--|---|
qui cele montaigne auirone.	--|---|--------|-------|
Lasontlid est roit	-|---|-|-⌫---⌫---|
deua ldo ne.	-|--⌫---⌫--|
— E t quest de	|-⌫|-|--|-|
cefetilbiaufrere	-|--|-|---|----|
— Lasontli herc heorma mere	|-|---|-|----⌫---|-|---|
qui se sterres herc hent	--|--⌫|-----|----⌫---|
Et sec esgenz	-|-|-⌫-|---|
i tr es passere nt	|--⌫--⌫-------⌫-|
silles u irentillediro nt.	|-|--|-⌫----|-|-|----⌫--|
Etildïen t qu i li	-|-|-----⌫|-|-⌫||
auoecluise ill es i mainne	----|--|-|-|-⌫-||-----|
iusquacesquiherchentlauainne.	----||--|--|-------||-------|
(362b.305)	---------|
Li uaslezprant son chaceor	-|-----|----|--|------|
etuet laou li her cheo r	-|--|-|-|-|---⌫----⌫|
herchoientles	---------|--|
terresarees	-----|----|
oule saueinness ontsemees .	-|--⌫|-------|-⌫--|------⌫|
Etquan t ciluirentlorsei g n or	-|----⌫|--|-----|--|---⌫-⌫-⌫-|
sitranbl erenttuit	-|------⌫----|---|
Etsau ezporcoii ll e firent	-|---⌫-|--|--|-⌫|-⌫|-----|
cheuali ers que	-------⌫--|--|
quiauoecl u i	--|----|-⌫-⌫|
arméuenoient	----|-------|
q uebien sorent sil liauoient	-⌫-|---|-----||-|-|------|
dit etlorestre	--|-|--|----|
queilu oldroit cheualiers	--|-|-⌫------|---------|
etsame re ani stroit	-|-|--⌫-|-|-⌫-----|
quede stor ner le cuidoitan	--|--⌫----⌫--|-|------|-|
quei a cheualierne	--|-⌫|--------|-|
ne lor afere napreïst .	-|--|----||--------⌫|
Etliuaslezdistasbouie rs	-|-|-----|---|-|-----⌫-|
ueïstes uos.u. ch eual i ers	-------|-----|--⌫----⌫-⌫--|
et.iii.pucele s cipasse r	------|------⌫|-|-----⌫|
—Il ne finerenthuid aler	|-|-|-------|--||---|
parcesforez fon t	--|--|----|---⌫|
libo uier.	-|--⌫----|
Etliuallezauc he ualier	-|-|-----|-|-⌫--⌫-----|
quit an tauoit a l uiparlé	--|-⌫--⌫|----||-⌫-|-----|
d istSire parci	-⌫--|---|--|-|
s ontp assé	-⌫--|-⌫----|
licheualieret	-|--------|-|
lespuceles.	--|-------|
Mesormere dit es noueles	--|-|-|--⌫---⌫-|------|
delroi qui les cheualiers fet	--|--|--|--|---------|--|
et leleuou ilpl u sse	-|-|--|-|-|--⌫-⌫|-|
—uas le zfetil	|---⌫--⌫|--|-|
direteu uel	---|-|-⌫--|
queli rois	--|-|---|
seiorn e aCarduel	------⌫||------|
napasan corq ui nt ior	||--|--⌫--|-⌫--⌫-|--|
que liroisiertase i or	--|-|---||--||--⌫-⌫-|
quei eifui et si leui.	--|-⌫||--|-|-|-|--|
Etse tunel trueuesiqui	-|-|-|--|------|---|
bie niert q ui	---⌫|---|-⌫-|
l e tansei gnera	-⌫||-----⌫----|
des tor nez nesera	---⌫---⌫--|-|---|
quetul anan o ie sanseignes.	--|-|-⌫||-|-⌫--⌫|---------|
pr iquetu man seignes	--⌫|--|-||--⌫------|
parqueln on iet	--|---|-⌫-|-||
fetili el uos	--|-|-⌫-|--|
I aino n BiaxFil z.—	|-|--⌫|---|---⌫-||
BiaxFilzasores	---|---|-|---|
Iecuit bi enquetuasancor es	-|---|--⌫-|--|-|-|-----⌫-|
.I.autrenon. —Sirepar foi	--|----|---||---|--|--|
i ain onB i auFrere.— Bient	|-|-⌫-|-⌫-⌫-|-----||---||
(36 2c .349)	---⌫--⌫----|
tume u ial sdireuoir	-|-|-⌫---⌫|---|---|
ton droitnon uoldrai gesauoir.	--|----|--|------|-|------|
— Sirefet ilbi en uospui s dire	|---|--|-|--⌫-|--|---⌫|---|
qua mondroitnonai nonBiau	-||--|----|--|-|--|---|
— Si m aïst D ex	|-||----|-⌫-|
ciabiaunon .	-||---|---⌫|
A s an tupl us— Sireienon	-⌫|-|-|--⌫-||---|-|--|
neonqu escertes	-|----⌫-|-----|
plusn an oi.	---||-|--|
aïst De xmeruoilles oi	----|--⌫|---------|-|
l esgra ignorsquei oïssemes	-⌫-|---⌫-----|--||-----|--|
ne ne cuit	-|-|---|
que ioie iamés.	--||--|------|
Tantost l i	------|-⌫|
cheuali erssan pa rt	-------⌫--||-|--⌫-|
l esgranzgaloz cuimoutfutart	-⌫-|----|----|--|---|-|---|
qu ileüs t les	-|-|----⌫|--|
autre satainz.	-----⌫|------|
uas l ez n esestp as fainz	---⌫-⌫-|-⌫||--|-⌫-|----|
deretornerason menoir	-|-------||--|-----|
ousameredolant etnoir	-|-|---|-----|-|---|
a uoitlecuerporsa	-⌫---|-|---|--|-|
