formElnondelperee t	---|-|--|--|---|-⌫|
c el esquenoz auonzordonnees .	-⌫--⌫-|--|--|----|--------||
no zmeisme senu ne clere c oncordance lezsainsesta bli ss emenz qui	--⌫|------⌫|-|-⌫-|----|-⌫---------|--|----|----⌫---⌫--⌫----|--|
esto ientconf usdeu antce noz	----⌫---|----⌫-|---⌫--|-|--|
es drec ̧anmes l orsnostrecure à to u s	--⌫----⌫-----|-⌫--|-----|---|-|--⌫-⌫|
lesuolumezasanciens sagezhom eset n oz auons	--|------|-|------|----|---⌫-|-|-⌫-|----|
ac onpli parle celestielotroi leuure	--⌫----|--|-|--------|----||----|
que nuznosoitespe rer .	--|--||----|----⌫--||
Etquant cef ut p arfet parlauol ent é Damedeunoz	-|----|-|-⌫-|-⌫----|--|-|---⌫---⌫-|------|--|
apelame s Tribunian.i .	-------⌫|--------|--⌫|
grant home mestree tquesteurdenostresa int	----|---|-----|-⌫|-------|-|-----|--⌫--|
palésetTheophi le etDoro theenoblez homesde qui	-----|-|-------⌫-|-|----⌫---|-----|----|-|--|
nozauons esp roué par pl usors argume ns lesscienceset la	--|----|---⌫----|--|--⌫----|------⌫-|--|-------|-|-|
cure etlaloiautéqueil ont enuers	---|-|-|-------|--|-|--|-----|
noz co nma n de menzsilor con mandanmezesp eci aume ntqueil	--|--⌫---⌫-⌫--⌫---|-|--|---⌫--------|---⌫---⌫----⌫-|--|-|
ordonas s e ntnoz In stit ute sparnostre autor itée tpar	-------⌫-⌫-⌫-|--|--⌫----⌫---⌫|--|-----|-----⌫---|-⌫|--|
nozamonestemenssi quei lu ozl isea aprendrela	--|-----------|-|--|-⌫|-⌫-|-⌫--||-------|-|
noueletédes lo isnon pas par	--------|--|--⌫-|--|--|--|
lesancien es fablez	--|------⌫-|-----|
mesparlem perialclarte ́et uozorei llesne uostre	--|--||--⌫-----|------⌫|-|--|----⌫---|-|-----|
entendemenznitruise rien qu inesoitporfitablene	----------|||-----|---|--⌫|-|---|---------|-|
qui i soitma uaisementmiz mes c equ i	--||---|--⌫--------|--|--|-⌫|--⌫|
uautparles argumensde scho sez et	---|--|--|-------|--⌫|---⌫--|-|
nozfaçois uozfaçiez en	--|------|--|------|-|
pou detanzc e queliancien pooient	--|-|---|-⌫|--|-|-----|------|
à p ainn esf ai r een .iiii.	-|-⌫----⌫-|-⌫--⌫-⌫|-|-----|
anzceestqueil	--|-|--|--|-|
puissen tliretozles	-------⌫|---|--|--|
establisseme nzl empereor .	------------⌫-||-------||
Caruozestestrouédign ed esigranthono r et	--|--|----|-----|----⌫|-⌫|-|----|----⌫|-|
desi grant bo neurtéque liconmencemenznelafinz	-|-|----|--⌫------|--|-|-----------|-|-|---|
delenseigneme ntd esloisuozueingne	-||----------⌫-|-⌫-|---|--|------|
dela bouche	-|-|-----|
No z auonsdontconmande ́	--⌫|----|---|--------⌫|
quesescesInstitutessoient	--|--|--|---------|-----|
pa rti ezen.ii ii.	--⌫---⌫-|-|---⌫--|
l iures apre ́ sles.l.	-⌫----|----⌫-⌫|--|--|
Dige stese ncoi t ozliancienzdr ois fu	----⌫---|-⌫|--|-⌫-|-|------|--⌫--|-|
asamblé zpar cel	--------⌫|--|--|
me is mes Tribunian et par lesautreshomes	--⌫--⌫--|--------|-|--|--|-----|----|
n oblezetbien enparlézsiqueli	-⌫----|-|---|--------|-|--|-|
In stitutessoientli premierfondeme nt detot ez les	--⌫-------|-----|-|------|-------⌫-|-|---⌫-|--|
sc i encezd e z lois	--⌫-⌫----|-⌫-⌫|---|
e ncoies tesc lairiébriement	-⌫|--|--⌫|---⌫------|-------|
ce q ue d euantestoittenu etcequ iestoit aomb ré	-|-⌫-|-⌫----|-----|---|-|-|--⌫|-----|----⌫--|
pardesacostum anceetapuizestérenluminé par leremede	--|----------⌫---|-||---|----|---------|--|-|-----|
lem per eor.	|--⌫---⌫--||
E t lideuant ditsageh ome	-⌫|-|-----|--|---|-⌫--|
noz present entpresentere nt lesInstitutez quant	--|-------⌫--|----------⌫-|--|---------|----|
il lesorent ordonn ees det ozlesestabl isemenzasancien z	-|--|----|------⌫--|-|-⌫-|--|------⌫------|-|------⌫|
etme esme ment decelz	-|--⌫----⌫---|-|---|
q u eGaiu s nostre	-⌫-⌫|----⌫|-----|
anceseurfistetdelliur e ou il	-------|---|-|--|----⌫|-|-|
estoientc onte nuquelim e stre	-------|-⌫----⌫-|--|-|-⌫-⌫---|
deuoie n tfaire chas c unioret c o nmentildeuoient	------⌫-⌫|----|----⌫-⌫-|--|-|-⌫-⌫----|-|-------|
iu g ie ret de	--⌫-⌫--⌫|-|-|
pluso rsautresesta blisemens	-----⌫-|-----|----⌫--------|
Etn oz lesleum esetentendimes	-|-⌫-|--|----⌫-|-|---------|
et lor donnanz do nnames laforce	-|--|------|--⌫-----|-|----|
d enoz establiseme ns.	-⌫|--|-----------⌫-||
Rece uezdont ce snozloiso grant	----⌫--|---|--⌫|--|---||----|
entente etograntest udeetmostrés	------|-||----|---⌫--|-|-------|
queuo zsoié ssiantroduit que uo s aiésesperanceque	--|--⌫|-----⌫|-|--------|--|--⌫|----|--------|--|
uozpu i ssi e zestrepa rfeten toutesle s	--|--⌫-⌫---⌫-⌫|----|--⌫---|-|-----|--⌫|
scien ces dez l oizetque	-----⌫--|--|-⌫--|-|--|
nostreempi res em puitestre	-----|----⌫--|-|---|----|
gourenéses	--------|-|
partiesquinoz uoz	------|--|--|--|
seron tba i lli ez àgarder .	-----⌫|--⌫-⌫---⌫-|-|-----||
iorsdeua ntleskalendresde de cem breparno streseignor	---|----⌫-|--|--------|-|--⌫---⌫--|--|--⌫---|------|
lempereo r	|-------⌫|
Iustin ian.	------⌫--||
LiureI Cist titres estde i u stice et	----||---|-----|--|-|-⌫-⌫----|-|
I us ticees tuolentés ferme etpardurable quir antà	-⌫--⌫---|--⌫|--------|----|-|---------|--|-⌫--|-|
chascunsadroituree tsenzd e	------|-|-------|-⌫|---|-⌫|
dr oit etconnoi ssancedesch osesdeuineset deshuma innezet	--⌫--|-|------⌫-----|--|--⌫---|------|-|--|----⌫----|-|
escie ncesde droitetde	-----⌫---|-|----|-|-|
Etqua ntceschosessuntconneue s	-|---⌫-|--|-----|---|-------⌫|
generalmente tnozco nmençonzàespondreles	----------|-⌫|--|--⌫--------|-|-------|--|
droisaupe uple nozdison z que	----|-|--⌫---|--|-----⌫|--|
cepuet estrefet	-|---|----|--|
ogrant por fitse	|----|---⌫--|-|
lezchosessunt	--|-----|---|
l iu re espremierementlegier ementetpar	-⌫--⌫--⌫-|-----------|------⌫----|-|--|
simpleuoieetpuis	-----|---|-|---|
par expositio nd ilig ent	--|---------⌫|-⌫----⌫--|
etpa rfai te.	-|--⌫----⌫-||
C arsenozlefaisionz autr e mentetnozch argionz	-⌫-|-|--|-|-------|----⌫-⌫---|-|--|--⌫------|
maintena ntdéslencommen cement le cor ageàlestudienz	--------⌫-|---||--------⌫-----|-|---⌫--|-||--------|
estenco re nou iauset ne stpa s	--|----⌫-|---⌫---|-||-⌫-|--⌫|
a fremé zd e multitude	|------⌫|-⌫|--------|
etdediu er sit éz dechosezou noz	-|-|---⌫--⌫---⌫--|-|-----|-|--|
lif erienz del toutlessierlestud e ouil s	-|-⌫-----|--|---|------||-----⌫|-|-||
esmoue roitàtartet	------⌫---|-|---|-|
a utre ssi conm ede sesp eranc e qui traitsouent	-⌫----⌫--|----⌫|--⌫----⌫-----⌫|--|----|-----|
ar rie reles i on ez	--⌫---⌫-|--|-⌫--⌫-|
home zà ceaqu oiilpeustestreame nés	----⌫|-|-||--⌫-|-|----|----|--|---|
legiereuoiesanzgran t trauailetsanz auc une desesperance	------|---|---|----⌫|------|-|---|---⌫--|-----------|
Liconmande men tde	-|--------⌫---⌫|-|
droit sunt cist uiur ehone stem e ntgard é garder soide	----|---|---|----⌫|----⌫----⌫-⌫-|----⌫-|-----|--|-|
greuerautruià	-----|-----|-|
tor trande randreàch ascunsad roit ure.	---⌫|----|-----|-|--⌫----|-|-⌫----⌫--||
Cistdroiz a .ii.	---|----||---|
uoieslac onmu neet la	----|-|-⌫----⌫-|-|-|
p riuee li conmu nzdro is	-⌫----|-|-----⌫-|---⌫-|
estq uiappartientàles tatde lempirede	--|-⌫-|---------|-||--⌫--|-||-----|-|
Rom e lipriuésestqu i	---⌫|-|------|--|--⌫|
ap artie ntauporfitde	--⌫-----⌫-|-|-----|-|
chascunho me .	------|--⌫-||
Noz dironzdontdoupriué droit	--|-----|---|--|-----|----|
qu ie stconqui llisde .iii.	--⌫|-⌫-|------⌫---|-|----|
pa rtie zcar ilestconcuillizdenaturel conmand e mentet	--⌫----⌫|--|-|--|---------|-|------|-------⌫-⌫---|-|
decelzasge nz	-|---|-|--⌫-|
et des ci teainz.	-|--|--⌫-----||
Cist tit resest dedroit	---|---⌫--|--|-|----|
Lidroisnaturelestcilque nat ureenseigna à	-|----|------|--|--|--|---⌫--|-------|-|
to utez bestezetcis tdroisn	--⌫---|-----|-|---⌫|----||
estpas tantsolementp ropresà	--|--|---|-------|-⌫-----|-|
l hu main linage	|--⌫---|-----|
mes àtouteslesbest esqui	--|-|-----|--|----⌫-|--|
nai sse n tenl aire t enla terreeten	---⌫---⌫-⌫|-||--|-⌫|-|-|----|-|-|
Diluec descent lilaconiunctio ns demasleetde	|----|------|-|-|----------⌫-|-|----|-|-|
fe meleque nozapelonzmariageetn oz uoions	--⌫---|--|--|------|------|-|-⌫-|-----|
quetotezle sbestes ontlese nz de	--|----|--⌫|-----|--|-|--⌫-|-|
ces tdr oit	---⌫|--⌫--|
Li droisc iteainsoucil asgenz estain si	-|----|-⌫------|-|--|-|---|--|---⌫-|
deu i séztu i t	---⌫-⌫---|--⌫-⌫|
lipeuplequisunt gourenépar loiset parmeurs	-|-----|--|---|-------|--|---|-|--|----|
us enten p artie delorpr opres droi s	--⌫--|-|-⌫----|-|--|--⌫----|----⌫|
etempartiedecelui qui estconmuns	-|-|-----|-|----|--|--|------|
àt oz homezcarl i	-|-⌫-|----|--|-⌫|
dr o isquechascunp eupl esest abl istes t pr opre s àlacité	--⌫-⌫-|--|------|-⌫----⌫-|---⌫---⌫--|--⌫|--⌫----⌫|-|-|----|
peuples est ete stapelézdrois	------|--|-|-⌫-|------|----|
citeainzpor c equeilestpropr e z	-------|--|-⌫|--|-|--|-----⌫-⌫|
à l acité.	-|-⌫|----||
Lidroisqueraisonz aestabl inaturelmententre	-|----|--|------||------⌫|----------|----|
t ozh omezestga rde ́sdetozetest	-⌫-|-⌫---|--|--⌫---⌫-|-|--|-|--|
apeléz lidrois	------|-|----|
asg enzpor c e	-|-⌫--|--|-⌫|
quetoutes ge nzusentdecestdroi tetli p eupl es	--|-----|--⌫-|----|-|---|----⌫|-|-|-⌫----⌫-|
useenpa rti ed e sonpropredroi te t en	--|-|--⌫---⌫|-⌫|--|-----|----⌫|-⌫|-|
partiedecel uiqui estconmunz entretoutesgenzet	-----|-|---⌫-|--|--|------|----|-----|---|-|
nozp ro poseron z chascune de ceschoses	--|-⌫--⌫-------⌫|-------|-|--|-----|
en s onleu.	-|-⌫-|--||
Maizli droiz citeai ns estapelézdechascune	---|-|----|------⌫-|--|------|-|-------|
cités iconme	----|-⌫|----|
lidroizciteain sd Ath ainnesetse	-|----|-------⌫||---⌫-----|-|-|
a ucunzuuetape l erlez	-⌫----|---|---⌫-⌫-|--|
loizque limestre quif urent enAthene zfire ntet	---|--|-|-----|--|-⌫----|-|------⌫|----⌫-|-|
ordo narentledroit citeain d	----⌫-----|-|----|------||
Athene sil nefol oiepas .	------⌫|-|-|---⌫--|--||
Eta utress i ape lonznozledroitde coilipeuples	-|-⌫------⌫|---⌫---|--|-|----|-|--|-|------|
deRomeusele droi t	-|---|--|-|----⌫|
citeain as	------|-|
Romainzettou tez lesfoisque linonzdela	------|-|---⌫--|--|---|--|-|---|-|-|
cité decoilidroi z est	----|-|--|-|----⌫|--|
noméz p azno sentendonz	-----|-⌫-|--⌫|--------|
que ceestlidr oi z as Romainsautressic onmequant	--|-|--|-|--⌫--⌫|-|------|-------|-⌫---|----|
l enparo l edelp oetel en	|-|----⌫-⌫|--|-⌫---||-|
nele nomepazli	-|-|---|--|-|
Greu entendent queceestl inoblezHo mers	---|--------|--|-|--|-⌫|-----|--⌫---|
et nozentendo ns	-|--|-------⌫-|
es tu irgil ez .	--⌫|-⌫-----⌫-||
Lidr oi zasgensest	-|--⌫--⌫|-|---|--|
conmunzà tot l umainlyna gec arlezgenzesta b lirent	------|-|--||----|----⌫-|-⌫-|--|---|----⌫-⌫-----|
l o rd roisporl	-⌫-⌫|-⌫---|--||
usaigequilerequ eroitetpor humai nsbesoing car	-----|--|-|----⌫----|-|--|-----⌫-|------|--|
bataillez naqu iren tet chaitiuison z	--------|----⌫----⌫|-|-----------⌫|
en uindrent etseru agequisuntc ont raire au droit naturel	-|-------|-|----⌫--|--|---|-⌫---⌫----|-|----|------|
quarauco nmenc ementnais oi enttuitlihomefrancpar le	---|-|--⌫-----⌫----|----⌫--⌫--|---|-|---|----|--|-|
dro itnaturel etp résque	---⌫-|------|-|-⌫---|--|
tuitlimarchiéontest é establiparledroit	---|-|-------|--|---⌫-|------|--|-|----|
asg ens si conmeachaz et uenteetloagez et	-|-⌫--|-|----|----|-|----|-|-----|-|
conp aignieet chos ebai llie	----⌫-----|-|----⌫|---⌫---|
engard eetpr estet plusor	-|----⌫|-|--⌫--|-|-----|
au tremarc hié qui	--⌫--|----⌫---|--|
ne pue nt estrenombré.	-|---⌫-|----|------||
Noztredrois est	-----|----|--|
confreméz oupare scr is	---------|-|--|-⌫---⌫-|
ousan z escris.	-|---⌫|-----||
Drois escris	----|-----|
estsico nme loizetlesest ab li ssemen z aupouple	--|-|--⌫--|---|-|--|---⌫--⌫--⌫------⌫|-|-----|
etliconseilausenatetli	-|-|------|-|----|-|-|
iugementa s pr ince s	-------|-⌫|--⌫----⌫|
etl iba nisementas baillizet	-|-⌫|--⌫-------|-|------|-|
lezresponseza s	--|--------|-⌫|
sag ez homez .	---⌫-|----||
Loiz estceque	---|--|-|--|
liprincede	-|-----|-|
Romeestablisoient quan t	---|------------|----⌫|
senat eurs ou.i.	-----⌫---|-|--|
baillisl o rdemandoitc onse ildaucune chose	------|-⌫-⌫|--------|-⌫----⌫-||-----|----|
Li establiseme nzaup euple estce quelimenuspeuplez	-|-----------⌫-|-|-⌫----|--|-|--|-|----|------|
establisoitquandcilqui auoient aucune	----------|----|--|--|------|-----|
poeste ́ sorelzsi	------⌫|--|--|-|
c onme sun tliconne s tab ledemandoientconseil	-⌫---|---⌫|-|-----⌫-⌫---⌫-|----------|------|
d aucun echo se.	|-----⌫|---⌫-||
Nozapelonzlespr incest ot lepeuple	--|------|--|--⌫----|-⌫-|-|-----|
de l a citési	-|-⌫|----|-|
quel i senateur etl iautre	--|-⌫|-------|-|-⌫|----|
sunttenuconten u.	---|---|------⌫||
L i menuzpeuple s es t sa nzless enateur setsanz	-⌫|----|------⌫|--⌫|--⌫-|--|-⌫-------⌫|-|---|
leshoneréz .	--|-------||
Maiz puisqueli rois quio tnonO rtensiusot	---|---|--|-|---|--|-⌫|--|-⌫-------|-|
faitsaloi liestablisem enz	---|-|--|-|----------⌫--|
au peuple co nme ncierent àualoirautresi conme	-|-----|--⌫---⌫-------|-|-----|------|----|
Liconseuz au	-|------|-|
sen azest cequelisen azco nmandeetest a bl istcar	---⌫-|--|-|--|-|---⌫-|--⌫-----|-|---⌫-⌫--⌫--|--|
por cequelipeuplezd e	--|-|--|-|------|-⌫|
seroit griefc hosea ̀ asamblerletotensamble	-----|----|-⌫---|-⌫|-------|-|--|-------|
porconfremerun e loi	--|--------|--⌫|--|
illor samblaque ilestoit	-|--|-----|--|-|-----|
b ien zquelendemanda s t co nseilau	-⌫---⌫|--||-|-------⌫-⌫|--⌫----|-|
leude totle pe uple .	--|-|--|-|--⌫---||
Cequiplest	-|--|----|
au p rince aforcedeloipor	-|-⌫----||----|-|--|--|
lipeuplesli otroiaenlalo iro ial	-|------|-|-----|-|-|--⌫|--⌫--|
quifu faite de	--|-|----|-|
lempire tuitli	|-----|---|-|
c onmandemenzettout ela poestésseurlui .	-⌫----------|-|----⌫|-|-------|---|--||
IIle st d oné	|-|-⌫-|-⌫---|
donc certainechosequequant queli empereresestablis t	---|-------|----|--|----|--|-|--------|--------⌫|
pa r letre s et totce	--⌫|-----⌫|-|--|-|
que il iugee naucunecau se e tc eque il	--|-|---|-⌫|-----|---⌫-|-⌫|-⌫|--|-|
conmandep a r banisse mentest loiz	-------|-⌫-⌫|-------⌫---|--|---|
et cesunt les choses quisunt	-|-|---|--|-----|--|---|
apeleesestablise ment	------|---------⌫---|
Mezliundes	--|-|-|--|
e stablisemens s u nt personnelqui n e	-⌫-----------|-⌫-⌫-|--------|--|-⌫|
su ntpastreten	--⌫-|--|---|-|
ess empleporce queliprin cesn e	---⌫----|--|-|--|-|----⌫--|-⌫|
u uel tpascecar il otroie aucune chose	-⌫---⌫|--|-|--|-|-----|-----|----|
àaucuns porsa	-|-----|--|-|
de serteouilenio int	--⌫----|-|-|----⌫--|
p a in eoui ls ecorta aucuncilestab lisemenz	-⌫-⌫--⌫|-|-⌫|-⌫----||----|--|-----⌫-------|
nesestent fors àlapersoneporcoi	-||-----|---|-|-|------|--|--|
féz mesquant	---|--|----|
ilestgenerauz tuitisun tten u .	-|--|-------|---||---⌫|---⌫||
Libani s ementasprocurateursl empe reornontpas	-|----⌫-⌫----|-|-----------||----⌫---||--|--|
petite autor ité dedroit etnoz	-----|-----⌫---|-|----|-|--|
le solonz apelerledroit as he noréz p or	-|-----|-----|-|----|-|--⌫-----|-⌫-|
ceque cil quisunt esheneurs e tesmai strisez	-|--|--|--|---|-|------|-⌫|-|---⌫------|
donent auto ritéàcestdr oit.	-----|----⌫----|-|---|--⌫--||
Etliuoierpropo soientbanissemenzdaucun es	-|-|----|-----⌫-----|----------||-----⌫-|
causesetcil	-----|-|--|
banis s emen sestune	-----⌫-⌫----⌫|--|--|
p artiede s droiz ashennoréz	-⌫----|--⌫|----|-|--------|
Liresponsas sagesh omessunt lessentenc esetles	-|------|-|----|-⌫---|---|--|-------⌫-|-|--|
opinionsà celza ̀ quiilestotr oié	-------|-|---|-⌫|--|-|--|---⌫---|
que ilfacent	--|-|-----|
carilestoitestab liancienementqu eau cunsfusse nt	--|-|-----|-----⌫-|----------|--⌫|--⌫---|-----⌫-|
quie sponsiss ent conmunementl esdroiz	--|-⌫--------⌫--|----------|-⌫-|----|
etliemper ereslorauoitdoné poe s te ́	-|-|-----⌫---|--|----|----|---⌫-⌫--⌫|
derespondre a ̀cel z	-|--------|-⌫|---⌫|
quidemandoientcons eil.	--|----------|----⌫--||
Etpo rc eestoi testoient il apeléliconsillie r	-|--⌫|-⌫|-----⌫|-------|-|-----|-|---------⌫|
d edroit et lo r sentenc es et l o r	-⌫|----|-|--⌫|-------⌫-|-|-⌫-⌫|
opinio nzauoi entsigrant autorit éz	------⌫-|----⌫--|-|----|-------⌫--|
queilfuestabli queil	--|-|-|------|--|-|
neleust pasasi ugez à	-|----|--|-|-⌫---|-|
faire encontre.	----|-------||
Lidro i squi nes tpasescrisest cil	-|---⌫-⌫|--||--⌫|--|-----|--|--|
queusages aconfermé	--|-----||--------|
carle slonguez co s tumesquisuntconfre meespar	--|--⌫|------|--⌫-⌫----|--|---|------⌫---|--|
lasenteme ntà celzquienussent	|--------⌫-|-|---|--|-|-----|
suntautressiconme	---|-------|----|
Etlidroizcite ainz	-|-|----|----⌫---|
estpardroitdepartisen	--|--|----|-------|-|
espaceze spece s ca r il	------|-⌫-----⌫|--⌫|-|
nasquidesest a blise menzde .ii.	-----|--|---⌫-⌫-----⌫---|-|---|
citézce estasauoirdAthenezet	-----|-|--|------||------|-|
deLased emone car il auoittel costume en c escités	-|-----⌫----|--|-|----|--|------|-|-⌫-|-----|
que cilde Lasedemone conmandoien tàmemoireetmetoient en	--|--|-|---------|-----------⌫|-|------|-|-------|-|
esc r it leschose z q uei lga rd oient porlois.	---⌫-⌫-|--|-----⌫|-⌫-|-⌫|--⌫--⌫----|--|---||
Maizlinatureldroit que toutes	---|-|------|----|--|-----|
lesgenzgardentoel ment	--|---|------|---⌫---|
qui fur en testablipar	--|---⌫--⌫|------|--|
ladui neproueancesunttoz	-|---⌫-|--------|---|--|
i or s fermet nep ueentest remuéma isleschoses	-⌫--⌫|---|-|-|-⌫----|---⌫-|---|--⌫-|--|-----|
quechascunecitéa establ iezs eulent souentestremuees	--|-------|----||------⌫--|-⌫-----|-----|----|----|
ouparlasentementau peup le	-|--||---------|-|----⌫-|
autrelo iq ui plus pu isestfaite.	----|--⌫|-⌫-|---|--⌫-|--|----||
Toz li drois de co i noz	--|-|----|-|--⌫|--|
u son z apartien t	-⌫---⌫|--------⌫|
ouà pe rsonesouàchosesouà	-|-|--⌫-----|-|-|-----|-|-|
acti o nz etilconuientpremier eme n tnoier	----⌫-⌫-|-|-|-------|-------⌫---⌫-⌫|----|
ueoi rde s personezcar	----⌫|--⌫|-------|--|
pou uaudroita sauoirle	--|-------||-----|-|
droi tselon	----⌫|-||-|
nesa uoitporquespersonezi l	-|--⌫---|--|---|-------|-⌫|
estes tabliz.	--|--⌫-----||
Cisttitresest deldro it	---|-----|--|--|---⌫-|
des p ers ones	--|-⌫---⌫---|
Lasouerainedeuision s dela	-|--------|--------⌫|-|-|
droiturede s per sonez estt e le	-------|--⌫|---⌫----|--|-⌫-⌫-|
q uetuit h omesu nt oufranc ou serf	-⌫-|---|-⌫--|--⌫-|-|----|-|---|
Fra nch isede c oil ifran chomesunt	---⌫---⌫--|-|-⌫-|-⌫|----⌫|---|---|
noméest nat urel poesté	----|--|---⌫---|------|
quecha scunsade fairecequ eluiplest	--|---⌫----||-|----|-|--⌫|--|----|
fors queilne facerienspar force	---|--|-|-|---|----|--|----|
ne c ontre droit.	-|-⌫----|----||
Seruages est.i.	-------|--|--|
establisemensde ldroitas genz parcoi	------------|--⌫|----|-|---|--|--|
aucu n ze stsozmis	----⌫-⌫|-⌫-|-----|
con tr e natureà autrui seignorie .	---⌫--⌫|-----|-|-----|--------||
Ilsuntapeléser f parce queliem pereor	-|---|-----|---⌫|--|-|--|-|--⌫-----|
conmandent quel i chaitif	---------|--|-⌫|------|
so ie ntuand uetpor	--⌫--⌫-|----⌫|-|--|
ce s uelen til	-|-⌫-----⌫|-|
estre gardéqueilnesunt pasocis.	----|-----|--|-|-|---|--|---||
Cil nai ssent serfouil su ntfetserf.	--|---⌫----|---|-|-|--⌫-|--|---||
Il n aissen tserf quantilna issentde	-|-⌫------⌫|---|----|-|--⌫-----|-|
nozseruezm aizilsunt f ets erfen	--|-----|-⌫--|-|---|-⌫-|-⌫--|-|
menierezo uparle	-------|-⌫|--|-|
droitasge nzsiconm e	----|-|--⌫-|-|----⌫|
sunt prisdeguerre e t m ené enchaitiu isonou por	---|---|-|-----|-⌫|-⌫---|-|-------⌫---|-|--|
ledroitciteai nsiconmequant.i.	-|----|------⌫|-|----|----|--|
franzhomq ui apl u s de	----|--|-⌫-||--⌫-⌫|-|
anzsuesfreq ue	--|------|-⌫-|
il es t uendu sporestre des prinz	-|--⌫|-----⌫|--|----|--|----|
Enlaco ndici o nassersnanuledisferancemez	-|-|--⌫-----⌫-⌫|-|---|||---|---------|--|
esfr anza plusorsdifera n ce s car	-|--⌫--||------|------⌫-⌫--⌫|--|
o u il suntnaturelme ntfranc ouilfurentserf	-⌫|-|---|---------⌫-|----|-|-|-----|---|
etpuizonté téfran chi.	-|---|--|--⌫--|----⌫--||
Cist ti tres etest de celzqui	---|--⌫---|-|--|-|---|--|
suntnaturelmen tfr a nc.	---|----------⌫|--⌫-⌫-||
C il est natur elment	-⌫-|--|-----⌫-----|
estf ranz désqueilnest	--|-⌫---|---|--|-|---|
dequiq uei l nesse oud e .ii.	-|--|-⌫-|-⌫|----|-|-⌫|---|
q uisun tnaturelmentfran c ou de. i i .	-⌫-|---⌫|----------|----⌫|-|-|-⌫-⌫-⌫|
qui ontest e ́ franchi	--|--|---⌫-⌫|------|
oud un qui	-||-|--|
aestéfra nchis	|----|---⌫----|
au trequiest n aturelment franz	--⌫--|--|--|-⌫---------|----|
Etse aucuns nest defranche mereet	-|-|-----|---|-|------|---|-|
d e serf pereporcen erema int	-⌫|---|---|--|-|-⌫|----⌫--|
pasqueiln enessenaturelme nt	--|--|-|-⌫|----|---------⌫-|
fra nz autressiconme	---⌫-|-------|----|
nestdefranche mere	---|-|------|---|
etd eper equelen	-|-⌫|---⌫|--||-|
neset quiest qu iestconce usde	-|--|-||--|--⌫|--|-----⌫-|-|
I l sosf ist q uel ameres oi tfr anceel	-⌫|----⌫--|-⌫-|-⌫|---|-⌫--⌫|--⌫---|-|
lienfeznestetse	-|----|---|-|-|
elee stserue quant e leleco nsoitet	--|-⌫-|----|----|-⌫-|-|--⌫----|-|
puisest franchieet ele reuientaprésenseruage	---|--|-------|-|--|------|-----|-|------|
siqueeleest s eru equant	-|--|--|--|-⌫---⌫|----|
li enfesnesti l nozple stque li	-|----|---|-⌫|--|---⌫-|--|-|
enf es soit fra nzca rlachaitiuoiso nzàla	---⌫-|---|---⌫-|--⌫|-|-----------⌫-|-|-|
merenedoit pas	---|-|---|--|
nuire àceluiquiesten	----|-|----|--|--|-|
