#META# Text URI Cliges	-----|----⌫--|-----|
#META#DEAFno data	-----|---|--⌫---|
#ME TA # TL	---⌫--⌫|-|
#ME TA#FEW	---⌫--|--|
#META#A RLIMAhttps/ /www .arlima.net/ad/ chretien_de_troyes.html#cli	-----|-⌫----|------⌫----⌫---------------⌫--------------------------|
#META# Autho rC h rétiend eTroyes	-----|-----⌫|-⌫-⌫------|-⌫|-----|
#META #Autho rBorn	-----⌫|-----⌫----|
#M ETA#AuthorBornAmb	--⌫---|------------|
#MET A#Aut horDied	----⌫-|---⌫------|
#META#Autho rD iedA mb	-----|-----⌫--⌫----⌫-|
#MET A#A uthorFl1	----⌫-|-⌫-------|
#ME T A#AuthorFl2	---⌫-⌫-|--------|
#META #Tex tTitleCli gès	-----⌫|---⌫-----|---⌫---|
#META# TextSub t itle	-----|-------⌫-⌫---|
#M ETA# Textuo ls	--⌫---|------⌫-|
#META#TextSub iromance	-----|-------⌫|------|
#META#TextDom	-----|------|
#META#Translation	-----|----------|
#M ETA#Collection	--⌫---|---------|
#META#Collect i onNo	-----|-------⌫-⌫---|
# ME TA#TextDescA RL uer soctosyllabiquesa ̀	-⌫--⌫--|---------⌫-|---⌫|--------------|-⌫|
Mesainz fu lipremierssi granz	--|---|-|-|-------|-|----|
Q ue liau tr esnessa nce e ü st	-⌫-|-|--⌫--⌫-|-----⌫--|-⌫--⌫-|
Quelipr emiersse	--|-|--⌫-----|-|
luipleüst	--|------|
Poïstcheualiersdeuenir	-----|---------|------|
Ettotlempi remai ntenir.	-|--||----⌫-|---⌫------|
Li premie r s	-|------⌫-⌫|
ot non Alixandres	-|--|---------|
Alis fu a pelez	---|-|-⌫----|
limandres.	-|-------|
Ali xandre s otno n	---⌫------⌫|-|--⌫|
Et T antalisotnon lamere.	-|-⌫------|-|--|-|----|
De lempererizTanta l is	-||--------|-----⌫-⌫-|
Delempereoret dA lis	-||-------|-||-⌫--|
Lap arol eatan tlessero n	-|-⌫----⌫||---⌫|-------⌫|
DA lixand re uos conter on	|-⌫------⌫-|--|------⌫-|
fucorageus	-|-------|
e tfie r s	-⌫|---⌫-⌫|
Queil[...]deigna cheualiers	--|-|----|-----|---------|
Deuenir ansa regio n.	------|-|-|-----⌫-|
Oïotfeire menssion	--|-|----|-------|
DelroiArtusq uilorsreign o it	--|--|----|-⌫-|---|-----⌫-⌫-|
Etdes ba ronsq ue i ltenoit	-|--|--⌫---|-⌫-|-⌫|-----|
Ansaconpaignietoziorz	-|-|---------|--|---|
Parqu estoi t doteesa	--|-|-----⌫|----|-|
Etr enomeep ar	-|-⌫-----|-⌫-|
lemon d e.	-|---⌫-⌫-|
C omant qu elaf ins lan	-⌫----|--⌫|-|-⌫--||-|
Et comant qu eil l enaueingne	-|-----|--⌫|-||-|-------|
Nestri en sneequi le d eteingne	|--|--⌫--⌫|--|--|-|-⌫-------|
El m ontquenan uoist anBrete i ngne.	-|-⌫--|--||-|----|-|-----⌫-⌫----|
Mesainzestdroizque c ongié preingne	--|---|--|----|--|-⌫-----|-------|
Aso npere queil	|--⌫|---|--|-|
AnBretaignen	-|--------||
an Corno aille.	-|-----⌫-----|
Por congiépra ndre etdemander	--|------|---⌫---|-|-------|
uaalempereorparler.	-|||-------|------|
Alixandr es li biaxli preuz	--------⌫-|-|---|-|----|
quexestsesueuz	---|--|--|---|
Etqueilui alt f ei reetanprandre	-|--|-|--⌫--|-⌫--⌫-|-|--------|
Biaupereporen oraprandre	---|---|--|--⌫-|-------|
ilquerreuosos	-|-----|--|-|
Queieuuelque uosme doi ngniez	--|-|---|--|--|-|---⌫-----|
ne lemepo rloigniez	-|-|-|--⌫--------|
Seotr oierle me d euez.	-|---⌫---|-|-|-⌫----|
Decenec uide	-|-|-|-⌫---|
estre greuez	----|-----|
Lemp ereresne pone bien	|---⌫-----|-|-|-|---|
L enor s onfilsortoterien	|---|-⌫-|--|--|---|---|
Doitiluoloiretc ou oitier.	---|-|-----|-|-⌫--⌫------|
Mou tcuideroit	---⌫|--------|
b ie ne sploitier	-⌫--⌫|-⌫--------|
Cuideroitet si feroiti l	--------|-|-|-----|-⌫|
ac rois soitl enorson	--⌫----⌫---||---|--|
Biaxfilzfetilieuos otroi	---|---|--|-|-|--|----|
uos tre ple isiret	---⌫--|---⌫---|-|
dit es moi	---⌫-|--|
Queuo suole z q ueie uos	--|--⌫|----⌫|-⌫-|-|--|
bien feitesa besoingne	---|----|-|--------|
Liuaslezquimoutan fuliez	-|-----|--|---|-|-|---|
Qantlidons li fuotroiez	---|-|---|-|-|------|
Quiltant desirroita auoir.	-|-|---|--------||-----|
Sirefetil uolezsau oir	---|--|-|----|---⌫--|
Que uosmauezacreant é	--|--||---|-------⌫-|
Ieu u elauoira	-|-⌫-⌫-|----||
gra nt planté	---⌫-|------|
De uostreoretde uostre ar gent	-|-----|-|-|-|-----|--⌫---|
Et conpaigno ns deuostregent	-|---------⌫-|-|-----|---|
T exconie les	-⌫-|--|-|--|
uo ldraie slire	--⌫----|-⌫----|
C ar issiruuelde uostre	-⌫-|----|---|-|-----|
Siraipresantermon seruise	|---|--------|--|------|
quiBretaingneiustise	--|---------|------|
Por cequecheuali ermeface.	--|-|--|-------⌫-|-|----|
Ian auraiarmee	-||----|----|
Ne hiaume elchi efie luospleuis	-|-----|-|---⌫-|--⌫|--|-----|
io r q ueies oie	--⌫|-⌫-|-|-⌫--|
liroisAr t usmeceing ne	-|---|--⌫-⌫-|-|-----⌫-|
Le speese f eire ledei ngne	|-⌫---|-|-⌫---|-|---⌫---|
Carda utrui ne uuel	--||-⌫----|-|---|
ar mesp ran dre.	--⌫--|-⌫---⌫---|
Lemperer essanzplusat andre	|-------⌫-|---|---|--⌫----|
Respont Biax filz por Deunedites	------|---|---|--|--|-|----|
Cistpaï s estuostr es toz quites	---|----⌫|--|-----⌫-|--|-----|
Et Costanti noblelariche.	-|--------⌫----|-|-----|
Neme deueztenir	-|-|----|----|
Q a ntsi beldon uos	-⌫-⌫-|-|--|--|--|
uue ldoner.	---⌫|-----|
Demainuosfer ai coroner	-----|--|---⌫-|------|
Etcheua li ersse roizdemain.	-|-----⌫--⌫--|--⌫---|------|
ToteG rece iert anuostremain	---|-⌫---|---|-|-----|---|
Et denozbarons receurez	-|-|--|-----|-------|
S icon reço iurelesdeuez	-⌫|--|-----⌫---|--|----|
Lesseiremanzetlesho ma ges.	--|--------|-|--|--⌫--⌫---|
refuseilnestpas	-----|-||--|--|
Liuasleza n tant lapromesse	-|-----|-⌫-⌫---|-|-------|
andemainapréslamesse	-------|-----|-|----|
Leuialtsesper es a dober	-|----|--|---⌫-|-⌫----|
Et d itqu il	-|-⌫-|-|-|
ier tmalué soube r	---⌫|------⌫|-|--⌫|
En a utrep a i ̈sque	-|-⌫---|-⌫-⌫-⌫-|--|
Seuosfeireuol ez mo nbuen	-|--|----|---⌫-|--⌫|---|
que ieuosairequis	--|-|--|-|-----|
Or medo nezetueir	-|-|--⌫--|-|---|
Etboenscheuaxet dras des o ie	-|----|-----|-|---|-|-⌫-⌫-|
C a r einçoisqueche ualierssoie	-⌫-⌫|-------|--|---⌫------|---|
uold r aiseruir l eroi	----⌫-⌫-|-----|-⌫|--|
Naipas anc o rsigrant uertu	|-|--|---⌫-⌫|-|----|----|
Q ue iepoïssearme spo rter.	-⌫-|-|------|----⌫|--⌫----|
Nusnemanp orr o i t	--|-||-|-⌫---⌫-⌫-⌫|
reto rn er	----⌫--⌫-|
Parproierene par losange	--|------|-|--|------|
Queienaille anla terreestrange	--|-||----|-|-|----|-------|
ueoi r leroiet ses	----⌫|-|--|-|--|
estli r enons	--|-|-⌫----|
Decorteisieetde proesce.	-|--------|-|-|-------|
homep arlorperes ce	---|-⌫-|--|-----⌫-|
Perd entgrant los quauoir porroient	----⌫--|----|--|-|----|--------|
Se parlat err e cheminoient .	-|--|-|-⌫---⌫|-----------⌫|
Ne s acordentp as bie n	-||-------|-⌫-|---⌫|
Reposetlos siconmoisanble	----|-|--|-|--|--|-----|
Card enule	--|-⌫|---|
riennesalose	---|-||----|
Richesh om qu i t oziorz repose	-----|-⌫-|--⌫|-⌫-|---|-----|
Ensisontcontr air eetd i uers.	---|---|-----⌫---⌫|-|-⌫-⌫----|
asonauo irser s	|--|---⌫-|---⌫|
Quitoziorz lamass e etacroist.	--|--|---||-----⌫|-|-------|
Bi auperetant	--⌫-|---|---|
conil me lo ist	--|-|-|--⌫--|
Losco n querrese ietantuail	--|--⌫-⌫-----|-|-|---|---|
Iuue lmetre poinneett ra uail.	|---⌫|----|-----|-|-⌫--⌫----|
chosesanzdota nce	----|---|----⌫--|
Lemperere otioieetpesance	|-------|-|---|-|------|
Io iea de ceq ueilanta nt	--⌫-||-|-|-⌫-|-|----⌫-|
Ques es fil za	--|-⌫-|---⌫||
proesce antant	------|-----|
E t pesancede l autr epart	-⌫|------|-||----⌫|---|
Decequ edeluis e	-|-|--⌫|-|--|-⌫|
Mes porlo troiqu il	--|--||-⌫---|-|-|
Quelque pesancequ ile nait	------|------|-|-|-⌫|--|
Licouient son boe n cons an tir	-|------|--|---⌫|----⌫--⌫--|
Quamp ereres nedoitma ntir.	-|---⌫-----|-|---|--⌫----|
Biax filz fetillessierned oi	---|---|--|-|------|-|-⌫-|
ta nd re uos uoi	--⌫--⌫-|--|--|
Que n e face	--|-⌫|---|
uostre pleis i r.	-----|-----⌫-⌫-|
Anmestresors p oezseisir	-|--|------|-⌫--|-----|
Doretdarge nt plainn esd eus	|-|-||----⌫-|------⌫-|-⌫--|
couientquesoiezl arges.	------|--|----|-⌫-----|
Orest li uaslez	-|--|-|-----|
bienheit iez	---|----⌫--|
E t cortoisetbienafeitiez	-⌫|------|-|---|-------|
Qantsesp e res tan t lipromet	---|--|-⌫-⌫--|---⌫|-|-----|
Qu abandon	-||-----|
sestres orsl imet	--|----⌫--|-⌫|--|
enoreet licoman de	----|-|-|-----⌫-|
Quel argem antdoin t	--|-⌫-----⌫--|----⌫|
et de sp ande	-|--⌫--⌫---|
Etsili ditreisonpo rco i	-|-|-|--|-----|--⌫|--⌫|
Biaxfilzfetilde	---|---|--|-|-|
Q uelargesce	-⌫-|-------|
estdame et	--|---|-|
Qu itotes uertuzanlu mine	--⌫|----|-----|----⌫---|
Nenestmiegriefa prouer.	-||--|--|----||------|
A qu elbie n	|--⌫-|---⌫|
cilsepue ttorn er	--|-|---⌫|----⌫-|
Iatantne soit	-|---|-|---|
puissanzneri ches	-------|-|--⌫---|
Ne s oit honiz	-|-⌫--|----|
seil e stchiches	-|-|-⌫-|------|
Quiatantd autrebiensanz	--||---||----|---|---|
Quelargesceloernef ace	--|-------|---|-|-⌫--|
Parsoifetprodom elargesce	--|--|--|------⌫|-------|
ne pue tfei re hau te sce	-|---⌫|---⌫-|---⌫--⌫--|
Neco rteisie nesauo ir	-|--⌫------|-|----⌫-|
Ne gentillesc enea uoir	-|----------⌫|-|-⌫---|
Nefo rc enec heualeri e	-|--⌫--⌫|-|-⌫--------⌫|
Neproes ceneseigno ri e	-|-----⌫-|-|------⌫--⌫|
Nebiau teznenuleautrechose	-|----⌫--|-|---|----|----|
Estpl us quenulea utre	--|--⌫-|--|---|-⌫---|
ne is tfre s che etno uele	--⌫--⌫|---⌫-⌫--|-|--⌫---|
Einsi laou largesce auient	----|-|-|-------|-----|
Desortot esuertu z setie nt	----|---⌫-|-----⌫|-|---⌫-|
Et lesbon tez que eletrueue	-|--|---⌫--|--|--|-----|
An prodome qu ibiense prueue	-|------|--⌫|---|-|-----|
Feta .u.c.doblesmon ter.	--||----|-----|---⌫---|
Tant a en largescea	---||-|-------||
Quenandiro ie la	--||-|----⌫-|-|
Biena liu aslez espl oitié	---||-|-⌫----|----⌫-----|
Dequanquilaquis et	-|-----|-||---|-|
Carse speres lia	--|--⌫|----|-||
uin tacreante .	---⌫||-------⌫|
L empereri zfutmoutdolant e	|--------⌫|--|---|------⌫|
Qantdela uoieoï parler	---|-|-|---|--|-----|
Ousesfil zan	-|--|---⌫|-|
de uo italer .	--⌫--⌫-|----⌫|
Mesquiquan ait	--|--|-|-|--|
duelnepes ance	---|-|---⌫---|
Nequiqueli tor ta	-|--|--|-|---⌫||
N e quiquelibla smene	-⌫|--|--|-|---⌫--|-|
Liu aslez auplustostqui lpot	-|-⌫----|-|---|---|-|-⌫|--|
Coma ndeses nesaprester	----⌫--|--|--|-------|
plus arester	---|------|
païspl uslongueman t .	----|--⌫-|---------⌫-⌫|
Lesnesparsoncomandemant	--|--|--|--|----------|
Furent charg i ee scelenuit	-----|-----⌫-⌫--⌫|---|---|
Deuindecharet debescuit .	-|--|-|---|-|-|-------⌫|
Lesnes sontchargi eesanport	--|--|---|------⌫--|-|---|
Etla n dema in a grantdeport	-||-⌫-⌫----⌫-||----|-----|
uint Alixand res el	---|-------⌫--|-|
Etauueclui s i conpaignon	-|----|--|-⌫|---------|
Quili ée stoient	--|--⌫-|-⌫------|
Li emperer esles	-|-------⌫-|--|
Etl empe reriz cu imoutpoise .	-||----⌫----|--⌫|---|-----⌫|
Auporttrueuentl ezlafalois e	-|---|-------|-⌫-|-|------⌫|
Les ma riniersdedanz	--|--⌫------|-----|
Lo rez fu pe isib lee tso és	|-⌫--|-|--⌫----⌫-|-⌫|--⌫--|
Liuanz do lz e tli ai r sserains.	-|---|--⌫-|-⌫|-|--⌫-⌫|-------|
Alixandre stozpremerains	---------⌫|--|---------|
Qant d esonperefupartiz	---|-⌫|--|---|-|-----|
Aucongiéde	-|------|-|
l e mpereriz	|-⌫-------|
Qu ilecuera	--⌫|-|---||
dola nteluantre	----⌫-|-|-----|
De lane fe l	-|-|--⌫|-⌫|
bat e lsan	---⌫-⌫||-|
Et si conpa ignon auueclui	-|-|-----⌫----|----|--|
Ansanblequatretr oi etd ui	-------|-----|--⌫-|-|-⌫-|
Tancentd antrersanzatandue.	------||-----|---|-------|
Tantostfu la	------|-|-|
uo ile tandue	--⌫--|-----|
Etlabarge d esaencree.	-|-|----|-⌫---------|
Cilde terrecui	--|-|----|--|
pasna gree	--||-⌫---|
Deluasletque aleran	--|-----|--|---|-|
Tantconil pueentlesconuoient	---|--|-|-----|--|--------|
Del aueüe delorialz	-|-⌫|----|-|--|---|
Etporceque ilpuissent	-|--|-|--|-|-------|
Etpluslonguem ant	-|---|-------⌫--|
uo nt tuitansa nblemonter	--⌫-|---|----⌫---|-----|
Lezlamarine an.i.hautp ui.	--|-|-----|-|--|---|-⌫--|
D iluecesgardent	|----|--------|
Tant conilpueent plusue oir	---|--|-|-----|---|--⌫--|
Loramilesgardentpor	--|--||--------|--|
Quedel uasletmout lor enu ie	--|--|-----|---|--|---⌫-|
EtDexadroitportle cond uie	-|--||----|---|-|----⌫--|
Sanza nc onbrier et	---|-⌫--⌫------|-|
Enlamerfurent tot auril	-|-|--|-----|--|----|
Etun epar tiedemai.	-|--⌫|---⌫--|-|---|
Sanz grant periletsanzesma i	---|----|----|-|---|----⌫|
uindrentaup ortdes o zHantone.	-------|-|-⌫--|---⌫-⌫|-------|
.I.iorantreuespre setnone	--|--|----|------⌫|-|---|
Giet e ntencre sion tportp ris.	----⌫-⌫-|----|-|--⌫|---|-⌫---|
Liuasl et quinorentapris	-|----⌫-|--||----|----|
As ofrir meseise ne pain ne	|-⌫----|------|-|----⌫-|
Enmer quin e	-|--|--|-⌫|
lorfupassainne	--|-|--|-----|
Or entlonguemantdemoré	--⌫--|---------|------|
Tantquetuitsont de scolore ́	---|--|---|---|--⌫-------⌫|
Etafe blifurent	-|---⌫--|-----|
Tui t liplusfortetliplussain.	---⌫|-|---|---|-|-|---|----|
Etneporquantgr ant	-|---------|--⌫--|
Qantdelam erescha péso nt	---|-|-|-⌫-|-----⌫--|--⌫-|
E t ue nulaouiluolo ie n t.	-⌫|--⌫-|-|-|-|----⌫--⌫-⌫-|
q ueformant sedoloient	-⌫-|------|-|-------|
D es ozHantone serem ainnent	-⌫--⌫-|------|-|---⌫------|
La nuit etgra nt ioiedemainnent	-|---|-|---⌫-|---|---------|
Etfontdemandereta nquerre	-|---|-------|-|-⌫------|
S elirois estanEingleterre.	-⌫|-|---|--|-|-----------|
Lan lordi s tquilestaGuin cestre	|-|--|--⌫-⌫|-|-|--||----⌫-----|
mouttostiporr ont	---|---||----⌫--|
Silu uelentleuer	|-|-⌫-----|----|
Et siltienentle droitch e min.	-||-|------|-|----|--⌫-⌫---|
Liuasle t par matin	-|-----⌫|--|----|
sesu oillent	|---⌫------|
Sisatorne nt etaparoillent	-||------⌫-|-|----------|
Etquantil furen t atorné	-|----|-|-----⌫|------|
De Hantonesan	-|------||-|
sont torné	---|-----|
Siontledroi tchemi n	-|--|-|----⌫|-----⌫|
Tant quaGu incestres ontuenu	---|-||--⌫-------|-⌫--|---|
O u liroisestoit asei or.	-⌫|-|---|-----||---⌫--|
Einçoisq u i lfus t primed eior	-------|-⌫|-⌫|---⌫|----|-⌫|--|
Fur entacortuen uli Gré.	---⌫--||---|---⌫|-|----|
d esc e nd e ntdeldegré	-⌫---⌫-⌫--⌫-⌫-|--|-----|
Liesc u ieret	-|---⌫-⌫--|-|
l ich eual	-⌫|--⌫---|
Remestrent anl acortaual	---------|-|-⌫|---|---|
Etliuaslet montentamon t	-|-|-----|------|----⌫|
Deuantle meillorroi de lmont	-----|-|------|--|--⌫|---|
Quionquesfust	--|-----|---|
neiamessoit.	-|-|--|----|
lirois Artus lesuoit	-|---|----|--|---|
Mout lipleis entetab elissent	---|-|-----⌫--|-|--⌫-------|
Mesa inz quedeuant luiuenissent	--|-⌫--|--|-----|--|--------|
Ostentl e smantiaxde lorcos	-----|-⌫-⌫|------|-|--|--|
Que lanne lesteni st por fos.	--||-|-|--|----⌫-|--|---|
E insitrestuitdes afu blé	-⌫---|-------|---⌫---⌫---|
Ansontd e uantle roi	-|---|-⌫-⌫---|-|--|
Tuitlib aronle se sgardoient	---|-|-⌫---|--⌫|-⌫---------|
Porceque bi ax etgenzles	--|-|--|--⌫-|-|---|--|
Car li uaslet mout	--|-|-----|---|
lor pleisoient	--|---------|
Ne cuid entpas que i lne	-|----⌫--|--|--|-⌫|-|
Tuitde conteset de	---|-|-----|-|-|
Etporuoir si estoien ti l.	-|--|---|-|-------⌫|-⌫-|
M out p ar sont	-⌫--|-⌫-|---|
belde lora age	--|-|--|-⌫--|
Gentetbienfetde lonccorss age	---|-|---|--|-|---|-----⌫--|
E tles rob es que iluestoient	-⌫|--|---⌫-|--|-|--------|
D un dra petd	|-|---⌫|-||
unet aillees to i en t	--|-⌫----|--⌫--⌫-⌫--⌫|
Dunsanb lan t etd	|-|----⌫---⌫|-||
un ecol or.	--⌫|---⌫--|
Do ze furent sanzlorseignor	--⌫-|-----|---|--|------|
D ont ie uosdirait antsanz pl us	-⌫--|-|--|----|-⌫--|---|--⌫-|
Que m iaudresdelu inefunus	--|-⌫------|-|--⌫|-|-|--|
Mainss anzorguelet sanz desroi.	----|-⌫--|-----|-|---|------|
Desfublez fudeua nt	--------|-|----⌫-|
Quimoutfubia x	--|---|-|---⌫|
Deuantlui s est	-----|--||--|
age no illiez	---⌫--⌫-----|
Ettui t li autrepar	-|---⌫|-|----|--|
S ageno illent lezlorseignor.	|-----⌫-----|--|--|-------|
Alixandreslero isalue	---------|-|--⌫|----|
Quila l eingueau oitesmolue	--|-|-⌫-----|--⌫--|------|
Abi e n parler e t	|--⌫-⌫|-----|-⌫|
sageman t.	-------⌫-|
Roisfetil sede	---|--|-|-|-|
uosne mant	--|-|---|
Renomee quiuosreno me	------|--|--|----⌫-|
DesqueD ex	--|--|-⌫-|
p remierhome	-⌫-----|---|
Ne nasqui deuo str e p uissance	-|-----|-|--⌫---⌫|-⌫-------|
RoisquianD eu	---|--|-|-⌫-|
eüstcreance	----|------|
Ro islirenonsqui deuos co rt	--⌫-|-|-----|--|-|--|--⌫-|
Maamenéa uostrecort	||-----||-----|---|
Por uosseruir	--|--|-----|
Etsiu oldrai tan tdemo rer	-|||-⌫-----|---⌫|----⌫--|
Que c heualier ssoienouiax	--|-⌫--------⌫|---|-----|
Semesseruisesu osestbiax	-|--|-------|-⌫-|--|---|
Deuostr emai n no ndelautrui	-|-----⌫|---⌫|--⌫|-||-----|
Carse d e la uostrenelsui	--|-|-⌫|-|-----|--|--|
Neseraicheu aliers	-|----|----⌫-----|
Seuostant mon se ruiseamez	-|--|---|--|--⌫----|---|
Q uecheua lierme u u illiezf aire	-⌫-|-----⌫---|-|-⌫-⌫-----|-⌫---|
Retenezm oiroisd eb onaire	------|-⌫-|---|-⌫--⌫-----|
Etmesconpai gnonsqui cisont.	-|--|------⌫----|--|-|----|
Li roistot	-|---|--|
maintena nt respont	--------⌫-|------|
Ami sfet il neref usmi e	---⌫|--|-|-|---⌫-|--⌫|
N euosneuostr econpa igni e	-⌫|--|-|-----⌫|-----⌫----⌫|
Mesbienue ig nan tsoiezuostuit	--|---|--⌫--⌫---⌫|----|--|---|
Carbiensanblez	--|---|------|
Que uos so iezfild e	--|--|--⌫--|--|-⌫|
hauzhomes.	---|-----|
Domest es u os	--|---⌫-|-⌫-|
-DeG re ce	|-|-⌫--⌫-|
-uoire.- Quiest	|-----||--|--|
-Parfoisireliempereres.	---|--|---|-|---------|
-E tco mantas nonbiax amis	--⌫|--⌫---|-|--|---|---|
- Alixandresme funons	-⌫---------|-|-|---|
Laougereç uiselet cre sm e	-|-|-|----⌫-|--|-|---⌫--⌫|
Et crestianté	-|----------|
et baptesme.	-|--------|
-Alixandrebiaxamis	---------|---|---|
Ieuo s r etiengmout uolantiers	-|--⌫|-⌫-----|---|---------|
E tm outmep l estetmoutme	-⌫|-⌫--|-|-⌫-⌫--|-|---|-|
auez grantenorfeite	---|----|---|----|
Q antuen uze ste samacort.	-⌫--|---⌫-|-⌫---⌫||-|----|
