olinbriuselautr e	--------|||----⌫|
quant un eu irgenema sormonté	----|--⌫|-⌫-----|||--------|
seunspr odome	-|--|--⌫----|
u encumeus t	-⌫---||---⌫|
asses meindre	----|------|
hontemef ust	----|-|-⌫--|
merue ile meidunemeschine	-----⌫--|--||--|-------|
qui ta nt estpour e eor phen ine	--|--⌫-|--|----⌫||--⌫----⌫--|
quisur mo ntesonparente	--|---⌫--⌫--|--|------|
epereemeredebonte	|---||---|-|----|
de bo nesuertuzaornee	-|--⌫--|-----|-----|
est la uirgene a	--|-|------||
crist do nee	----|--⌫--|
la uoiz delielamenace	-|---|-|-||-|-----|
deab lelieedr agonchace	----⌫-|--||--⌫---|----|
moltuau tpetit	---|---⌫|----|
nostreuertu z	-----|-----⌫|
quant p ar uneuir genesuiuencuz	----|-⌫-|--|---⌫---|--|-----|
donc re spondi lauir genesag e	---|--⌫-----|-|---⌫---|---⌫|
dimoi fait	-|--|---|
elet onlingnage	--|-⌫-|-------|
tedo na poeste	-|--⌫-|-----|
denc hacersi l ancele	|---⌫----|-||-----|
lideable li	-|-----|-|
marguerite primesmedi	---------|-----|-|-|
do nt aste lsens	--⌫-|-|--⌫|---|
esi fort fei	|-|---|--|
ne tecelerencontremei	-|-|----|-------|--|
quiestedontlime nbresunt	--|--||---|-|--⌫---|---|
margueritebrem entrespont	---------|----⌫--|------|
ie s ai e s tdedeu grace	-|-⌫-|-⌫-⌫|-|--|----|
son plaisirdemeifaite face	--|------|-|--|---||---|
m argueritefaitile ntent	-⌫--------|---|-|-⌫----|
ce quetu qui ersdiraibr ie m ent	-|--|-|---⌫--|----|--⌫--⌫-⌫--|
nostrerois anom	-----|---||--|
delcielchai enenferbas	--|---|---|-|----|--|
sat a nas anomenenfer	---⌫-⌫--||--|-|----|
qui elcielot n omlu c ifer	--|-|---|-|-⌫-|--⌫-⌫---|
nos lignages	--|-------|
sauo irpor rois	----⌫-|---⌫---|
setuto zles liuress a uois	-|-|--⌫|--|-----|-⌫-⌫---|
ieneno splusoteiparler	-||-|-⌫|---||--|-----|
quar ieuoisdeus otei ester	---|-|---|---||--|----|
solitantteprie	--|----|-|--||
ma innemetocher	--⌫-|-|-|-----|
maisunuaisselprene silie	---|-|------|---||-|--|
cu msalomonsfis tens auie	--⌫|-------|---⌫|-|-⌫|--|
dedens u n u ais selnosenclost	-----|-⌫|-⌫---⌫--|--|------|
puisuin td e	---|---⌫|-⌫|
babiloineu nos t	--------|-⌫|--⌫|
quiiherusale m ess i lla	--|---------⌫|---⌫-⌫--|
et leu a isseltrestotbrisa	-|-|-⌫-⌫----|------|----|
trouerquidaarge nte or	-----|----|----⌫-||-|
grantr iche tresor	----|-⌫---|-----|
quantnosdecel	----|--|-|--|
uaisseleissimes	------|-------|
partotlemo nd enosesp andimes	--|--|-|--⌫--⌫|--|---⌫------|
doncl i dist margueritetais	---|-⌫|---|---------|---|
n aim estierdetaparolemais	|-|-⌫-----|-|-|-----|---|
naimaiscurede	|-|---|---|-|
tune dissetrecherienon	-|-|--|-|--------|--|
quantceot arierefui	----|-|-|-----|--|
ceditlauirgene ance les ui	-|--|-|------|----⌫-|-⌫-|
at antla terreentrou ri	--⌫--|-|----|------⌫-|
e lideablesenz chei	|-|------|--|---|
sentornelideables	|------|-|------|
q uantni p uet estreplu s	-⌫---|||-⌫--|----|---⌫|
autiersi o rfudefremee	-|----|-⌫-⌫|-|-------|
lauir geneaupreuost	-|---⌫---|-|------|
margueritedistilcre i	---------|---|-|---⌫|
reneeihes um	----|----⌫-|
e tienlaleiquenos ten ons	|---|-|--|--|--|---⌫--|
creile deuque nos creons	---|-|--|--|--|-----|
e margue rite res po ndi	|------⌫---|---⌫--⌫--|
tudeuroiesestreenemi	-|-------|----|----|
a ceauzyd les qu e aores	|----|--⌫--|--⌫|----|
siuils c hoses porquoienores	-|---|-⌫----|--|---|-----|
leroidelcieldes aorer	-|--|--|---|--|----|
q ue dann er tepeut esauuer	-⌫-|----⌫-|-|---||-----|
n otelpreuostquecorecie r	|-|-|------|--|-------⌫|
mar guer itefist	---⌫----⌫--|---|
cheualamont	-----|----|
ebrandonsent or al umer	|-------|---⌫-|--⌫---|
cheualfus tunstormens	-----|---⌫|--|------|
om en cheualconsseet	-|-|---------|---|
quanteleel cheual	----|--|-|-----|
fuecard an tedist	---|---⌫--⌫||---|
beausiredeusmoncuer	---|---|---|--|---|
quen remaign efe lonie	--||-------⌫|--⌫----|
olinbriusl ia	--------|-⌫||
morirtestueti usquapet it	----||-----|-⌫---||---⌫-|
maisporquei tel airas morir	---|--|---|-|-⌫----|----|
quanttutepuezde m ort	----|-|-|---|-|-⌫--|
faice queuoiliet amerai	--|-|--|---|-||-----|
d is tmar guer i tene ferai	-⌫--⌫|---⌫----⌫-⌫-|-|----|
doncafait cilfuecaporter	---||---|--|---|------|
entorli b randonsalu mer	----|-|-⌫------|---⌫--|
detoteparzlefuecmis fu	-|---|---|-|---|--|-|
mais sainzespritparsauertu	---|----|-----|--|-|----|
estein t lefu ecelachalor	------⌫|-|--⌫-||-|-----|
que lauirgen enotdolor	--|-|------⌫||-|----|
don clarefistolinbrius	---⌫|-|-----|--------|
d el cheua ldesce ndr ei us	-⌫-|-----⌫|-----⌫---⌫|-⌫-|
epiezemainzli fist lie r	|---||----|-|---|---⌫|
lec hief li fistauant	-|-⌫---|-|---|----|
pl on gie r	--⌫--⌫---⌫|
aigu e pleine	----⌫|-----|
emargueri tea	|--------⌫-||
quelque paine	------|----|
uers le cie lam ontr eguarda	---|-|---⌫|--⌫--|-⌫------|
adamnedese	|------|-|
deus quipartotas tapoissance	---|--|-----|-|-|--------|
uoirssauuiereuo i ree sperance	----|-------|--⌫-⌫-|-⌫-------|
u oirspitez	-⌫---|----|
de pecheors	-|-------|
uo irsdeusuoirss ir euoirssecors	--⌫--|---|----|-⌫--⌫|----|-----|
uoi rsiugiereuoi rs iustise	---⌫-|------|---⌫-|------|
a cuitot erie nd oitseruise	|--|---⌫|---⌫|-⌫--|------|
espantde us tabe neicon	-----|--⌫-|-|--⌫-----|
surcesteaig uepartonsaint	--|----|---⌫-|--|--|----|
epor icestba tisem ent	|--|----|--⌫-----⌫--|
dep eche aieespur gement	-|-⌫---|--|-----⌫-----|
f aisain tes pri t	-⌫-|----⌫|--⌫---⌫|
delciel descendre	--|---|--------|
dece stpeche defendre	-|--⌫-|----|-------|
ro npezle slia nz oie sui	--⌫---|--⌫|---⌫-||-|--|
anceisquemort mait si	-----|--|---||--|-|
neauo itg uaires plusditde	-|---⌫-|-⌫-----|---|--|-|
ecuos un euertumoltg rant	-|--|--⌫|----|---|-⌫---|
u n ecolum bede lciel	-⌫-⌫|-----⌫-|--⌫|---|
cor onedorens onbech	---⌫--||-|-|-⌫-|---|
s orla uirgene	-⌫-|-|------|
droitsasist	----||----|
apresparlae sili dist	----|----||-|-|---|
margueriteesta xxx	---------|---|--|
laconpa ignedel cieltat ent	-|-----⌫---|--|---||--⌫--|
ecuosle slians	-|--|--⌫|----|
d ontm ainz epieza u eitliez	-⌫--|-⌫---||---|-⌫-⌫--|---|
delacuue lauirg eneissi	-|-|---|-|----⌫--|---|
ad amned eu g race srendi	|-⌫---|-⌫-|-⌫----⌫|----|
mi raclesquadoncuirent	--⌫-----|-|----|-----|
cincmilee cent enc ouuert irent	---|---||---|-|-⌫------⌫----|
sen lesfem es sen l es a nfanz	--|--|---⌫-|--|-⌫-|-⌫----|
cincmil e homesiotcr eanz	---|---⌫|----||-|--⌫---|
olinbriuscore ce z fu	--------|----⌫--⌫|-|
quetant en	--|---|-|
par sonmaltalen t	--|--|--------⌫|
les comandametreamartire	--|------|----||------|
hors la u ile lesfi stmener	---|-|-⌫--|--|--⌫-|----|
leschiesa faitatoz	--|----||---||--|
il lec furent pord e u amor	--⌫--|-----|--|-⌫-⌫|---|
d egolétrestuiten un ior	-⌫-----|-------|-|-|--|
molt ho rent b on bapt isement	---|--⌫---|-⌫-|----⌫------|
lesancdontil furentsanglent	-|---|---|-|-----|-------|
lorfuensicomebapteseme	--|-|---|---|--------|
enlec de oill ee delcresme	-|--|-|----⌫||--|-----|
q u an tpartorment ne pa r menace	-⌫-⌫--⌫|--|------|-|--⌫|-----|
que l ipre uost	--|-⌫|---⌫---|
ne lapuetonquessormonter	-|-|---|-----|--------|
nedesalei f aire	-|-|-|--|-⌫---|
comandaque fustforsmenee	------|--|---|---|----|
del acitee d ecolee	-|-⌫|---||-⌫-----|
apres te z f uquila mena	-----⌫--⌫|-⌫|--|-|---|
preuo stcomanda	-----⌫-|------|
quantfu meneeacelmartire	----|-|----||--|------|
o malcusla deueit ocire	|-----|-|-----|----|
ui rgenefait	--⌫----|---|
ill ecolesten t	-|-⌫|--|-----⌫|
r eciefle glaiue quitatent	-⌫----|-|-----|--||----|
sitociraise pe isemei	-||-----|-|--⌫--|--|
p oramor deu pri e pormei	-⌫-|---|--|---⌫|--|--|
priedame ton crea tor	---|---|--|----⌫--|
quait mercide c est pec heor	-|--|----|-|-⌫--|---⌫---|
que deusest	--|---|--|
ensembleotei	-------||--|
dameaie smerci demei	---|---⌫|----|-|--|
est ent le col baisselechief	---⌫--|-|--|-----|-|----|
sitociraic	-||-----||
es tmolt g rief	--⌫|---|-⌫---|
elerespont	--|------|
ie terequier	-|-|------|
laissemei prime s deusprier	-----|--|-----⌫|---|----|
liu rerailimoncors	---⌫----|-|--|---|
ma lcusdi st dameielo trei	--⌫---|--⌫-|---|-||-⌫---|
d oncsim ist	-⌫--|-|-⌫--|
enaff l icion	-|---⌫-⌫----|
sef is t adeucest	-|-⌫--⌫||--|---|
d eusquit ot lemontas es t oré	-⌫--|--|-⌫-|-|---|-|--⌫-⌫---|
epar totastapoeste	|--|--|-|-|-----|
quidet o t le	--|-|-⌫-⌫|-|
mont guard eprens	---|-----⌫|----|
quanquefontl esgenz	------|---|-⌫-|---|
ateibiau siregracesen	|--|---|---|-----|-|
quim asliu reedetor ment	--||-|---⌫--|-|---⌫---|
d emaledegrantfelo nie	-⌫|--||-|----|----⌫--|
de lux uree demal en uie	-|---⌫--||-|--|--⌫--|
queuirgenesui e	--|------|--||
mondeet pu re	----|-|--⌫-|
mo ltsui nete dotote o rdure	--⌫-|--|---|-|---|-⌫----|
otreiemeiceb onement	-----|--|-|-⌫------|
queieterequierhu mil eme nt	--|-|-|------|--⌫---⌫---⌫-|
siuoirement cumie t e	-|--------|--|-|-⌫|
fai sirecesto trei	--|---|---|-⌫---|
qui mau ieobo ncu er lira	--|-|-⌫-||--⌫|--⌫-|---|
e alirelaconuerte ra	||---|-|--------⌫-|
oquidesaguaagne rie	|--|-|-|-------⌫--|
a m eglise feraai e	||-----|---|--⌫|
oquichapeleoqui mostier	|--|------||--|------|
delsienf eraedefier	--|---|-⌫--|------|
oqui delsi enmetrelumiere	|--|--|--⌫-|----|------|
oiessiredeuslo rpriere	---|---|---|--⌫|-----|
iltepr ierunt	-|-|--⌫-----|
eporsauuementte	|--|--------|-|
pardon aientd elor peche z	-----|----|-⌫|--|-----⌫|
quenesoientamort iugez	--|-|-----||---|----|
nesoit ia nezenlur	-|---|-|--|-|--|
enfes siadreit terme non	----|-||----|----|--|
sainz eentiers s eit	----||------|-⌫--|
na tu ralmentcumes t dei t	--⌫--⌫------|--|--⌫|---⌫|
se femeest en trauail	-|---|--|-|------|
epar beson gm a ut reclama nt	|--|-----⌫||-⌫-|-------⌫-|
biausiredeu s lurpriereoi e	---|---|---⌫|--|-----|--⌫|
l une t l autremeta	|-|-⌫||----|--||
quien iugement maisse ra	--|-|-------|---|--⌫-|
edemonnomli men brara	|-|--|--|-|---⌫----|
parmon nom	--|--|--|
lifaiteiseme nt	-|---|------⌫-|
qu ena itmalpor fauz iugemen t	--⌫||-⌫-|--|--|---|-------⌫|
quiporm am orteprie r ont	--|--||--⌫-|-|----⌫-⌫--|
p echezpard onqueront	-⌫----|----⌫-|------|
en nomdemeilu rfai pa rdon	-|--|-|--|--⌫|--|--⌫---|
e ueniriauoirconfession	|----||----|---------|
at otceauz	|-⌫-|----|
quimenorerunt	--||--------|
ememoirede mei ferunt	|------|-|--|-----|
lisaint es pritdel ciel de s ce nde	-|----|--⌫---|--|---|--⌫-⌫--⌫--|
ed aduersairelesdefende	||---------|--|------|
encorestoitenoreisons	----|-----|-|-------|
la sai nteui rgene	-|---⌫--|--⌫----|
agenoillons	|---------|
quantuntonierr esm erueillo s	----|-|-------⌫-|-⌫--------⌫|
f u oizm oltes poent os	-⌫|--|-⌫--|--⌫-----⌫-|
tuitci lquiletoni erreoirent	---|--⌫|--|-|----⌫---|-----|
ater red epaorc heirent	|---⌫-|-⌫|---|-⌫------|
deuer s le ciel uintune croiz	-----⌫|-|---|---|--|----|
un ec ol umb eeune	--⌫|-⌫--⌫---⌫||--|
lacolumb e d esurlis	-|------⌫|-⌫---|-||
e ndem entresquel a uoizdist	-⌫----⌫--------|-⌫|---|---|
marguerite beneure e	---------|-------⌫|
a ncel edeue	-⌫----⌫|--||
d eserui a s la su e gloire	-⌫-----|-⌫|-|--⌫|-----|
quepar tr estot	--|--|--⌫----|
as fait memo ire	-|---|----⌫--|
deus aoieotreié	---||-||------|
qu etuasprie ́	--⌫|-|-|----⌫|
eplu squetu	|---⌫|--|-|
tenuiene n paradis	|-|---|-⌫|------|
si receu ras t on gue re don	-|-----⌫--|-⌫-|---⌫--⌫--|
de ceste tuepai ssion	-|----|--|---⌫----|
elcielserasbe neu r ee	-|---|----|--⌫---⌫-⌫-|
olesuirges	|--|-----|
tuitcilqu im aistep rierunt	---|--|--⌫|-⌫--|-|-⌫------|
pech ezpardonauront	----⌫-|-----|-----|
e tuitcil mar gueriteont	|---|--|---⌫------|--|
quecrer entelr oiihesu	--|----⌫--|-|-⌫-|----|
d egoléfurent anz de tei	-⌫-----|-----|--|-|--|
qu ilcrur e n ten	-|-|----⌫-⌫-⌫|-|
parteiepartapoeste	--|--||--|-|-----|
ce sachez qu	-|-----|-|
ils unttrestuitsauué	-|-⌫--|-------|-----|
lauirge nesesist	-|-----⌫-|-|---|
ensonseant	-|--|----|
siseto rn a	-|-|--⌫--⌫|
ue rslese riant	--⌫-|-|--⌫----|
frere di stele	----|--⌫-|--|
damedisti l netoustoche r	---|---|-⌫|-||--|-----⌫|
dam ecomentferirtede i	---⌫|-----|----|-|--⌫|
qua ntlan geledeus	---⌫-||--⌫---|---|
p aroleotei	-⌫----||--|
ma is prieporme i tonseignor	--⌫-|---|--|--⌫|--|------|
que i aie pardonpor t amor	--||--|-----|--||---|
niras omoien	|---||--|-|
mais faice	---|--|-|
estcomandé	--|-------|
omeiirasel	|--|---|-|
q uant ceoi si laferi	-⌫---|-|-|-|-|---|
uncoup lec hieflitoli	-|---|-|-⌫---|-|---|
puisdistquantilliotcope ́	---|---|----|-|-|-|----⌫|
p ardonemeiice st peche	-⌫-----|--|---⌫-|----|
cedit ius chei	-|--|--|---|
leislauirgene	---|-|------|
larmerendi	|---|----|
de lcieluindrent	--⌫|---|-------|
angeleschanta nt	------|------⌫-|
e n tor lauirge nedeu	-⌫-⌫--|-|-----⌫-|--|
chantoien t tui t	---------⌫|---⌫|
tuitlien fermqui l	---|-|--⌫---|--||
atocher ent	-------⌫--|
esein esaufs en	|---||---||-|
ret ornerent	---⌫-------|
une columbeape rt ement	--|------|---⌫--⌫----|
issidelcorsueant	---|--|---|----|
qui elcie l s	--|-|---⌫||
e le corspristtheodi mus	|-|---|----|------⌫--|
enan tioche	-|--⌫-----|
e n unserquelqueiltro ua	-⌫|-|------|--|-|---⌫-|
cetheodimusque	-|--------|--|
marguerite u i	---------|-⌫|
enlachartrelauisita	-|-|------|-|-----|
epain e aig ueliporta	|---||---⌫-|-|----|
lesore isonsquele d isoit	--|---⌫----|-|--|-⌫----|
e lespeinesquel eso froit	|--|-----|-|--⌫|--⌫----|
ilmeismesmistenescrit	-|------|---|-|-----|
c e que de l io i	-⌫|--|-|-⌫|-⌫|
o rprion s deus qui	-⌫|-----⌫|---|--|
ea s ur toterienue rtu	||-⌫-|---|---|--⌫--|
amorsa inte marguerite	---|--⌫---|---------|
dontn osauonslaui edite	---|-⌫-|----|-|--⌫|---|
siuoirementc umd eu slama	-|--------|-⌫-|-⌫--⌫||--|
een safinmoltlenora	|-|-|--|---||----|
p or li ma inte miraclefist	-⌫-|-|--⌫---|------|---|
si cumtrouon sen	-|--|------⌫|-|
dam esla de u en tmoltamer	---⌫-|-|--⌫-⌫--⌫|---|---|
epor li damnede loer	|--|-|------|---|
de n ospechezpa rdonnosface	-|-⌫-|-----|--⌫---|--|---|
cifautsauiece	-|---|-|--|-|
quidela tinenroma ns mist	--|-|--⌫--|-|----⌫-|---|
cequetheodimus	-|--|--------|
dite s amenseign orbaron	----⌫|---|-----⌫-|----|
que deusdoinstsabeneison	--|---|-----|-|-------|
e nosdoinstf aire cel se ruise	|--|-----|-⌫---|--|--⌫----|
quenosseonssauf auiuize	--|--|----|---|-|----|
