mapo ineme trai et	-|--⌫--|--⌫---|-|
cep ort oitb el	-|-⌫---⌫--|-⌫-|
quei l la uit	--|-⌫|-|--|
ianteetc o rto i se	----|-|-⌫-⌫---⌫-⌫-|
da me faiti lmolt mepoise	--⌫-|---|-⌫|---|-|----|
quetel uilain uos a engarde	--|--|-----|--||-|----|
mal feu set mal eflamel	--|---⌫|-|---⌫|----||
seieereaus in	-|-|--|---⌫-|
seie nelo faisoiecop	-|-|-|-|------|--|
et e stplus	-|-⌫-|---|
enu ieusqueronce	---⌫---|--|----|
m iauzuautdemon solazxx x	-⌫---|---|-|--|----|--⌫|
que delsuen ne fero ityy	--|--|---|-|----⌫-|-|
cariesui plaisanzet	--|-|--|-------|-|
maisil estgre stes etmalotruz	---|-|--|---⌫---|-|-------|
so uant res netonduz	--⌫---|--|-|-----|
ainzesthideux et	---|--|-----|-|
desla ue z	-----⌫--⌫|
maisse uos croir emeuolez	---|-|--|-----⌫|-|----|
amiplus deliure	--|---|------|
ieuos donrai	-|--|-----|
d elmienyy liures	-⌫-|---|-|-----|
porconsantir	--|--------|
mauo lante	-|--⌫----|
lada mel auoitesgardé	-|--⌫-||----|-------|
sirecenepuete stre	---|-|-|---|-⌫---|
ieuoldroie	-|-------|
miauzestreanestre	----|----||-----|
que iaussefaitsi	--||----|---|-|
uo strecouantpo uos iua ut	--⌫---|-----|-|--||--⌫-|
sauezd en i ers sile sgardez	|---|-⌫--⌫-⌫--|-|--⌫|-----|
mes sires en auraas s ez	--|----|-|---|--⌫-⌫-|
m ol tdo cemant norie	-⌫--⌫|--⌫-----|----|
ieferoiegran tuilenie	-|-----|----⌫|------|
se por s onbien mallirandoie	-|--|-⌫-|---|--|-|------|
atan tlogerpiste n lauoie	----⌫|-|------|-⌫|-|---|
etcilremainttr e sto z ir ez	-|--|------|--⌫-⌫---⌫|--⌫-|
molt fudolanzettrespansez	---|-|-----|-|---------|
nela puetconu erti r	-|-|---|----⌫----⌫|
etsilan fait	-|-||-|---|
resoue nir	------⌫--|
q el eagent	|--⌫||---|
cors etbiausanblant	---|-|---|-------|
trai tiz etauen ant	----⌫--|-|----⌫--|
le siauz uert	--⌫|---|---|
e tbochepetite	-⌫|----|-----|
ne p orroit	-|-⌫-----|
p asestr edescri te	-⌫-|----⌫|------⌫-|
preuost sa g rantbiaut ez	------|-|-⌫---|-----⌫-|
ie sui distilmusarz prouez	-|--|---|-|-----|-----|
uoillaiedoncamer afo rc e	---|-|-|---|---||--⌫--⌫|
nenpuisp ercierlescorce	|-|---|-⌫-----||------|
m alemanta uroieson	-⌫------|-⌫----|--|
or m etropgeter puer	-|-⌫|---|----|---|
enmera ilaqan el	------⌫|-|--|-|
ensinc ali son	-----||-|--|
cuer reclaime	---|-------|
lipreuozqant	-|-----|---|
ilm ialznepuet	-|-⌫---|-|---|
grant chosei aen fa ire	----|----|||-|--⌫--|
estalostel uenue	--|||----|----|
a umatinetser es tmeue	-⌫|------|-|-⌫--⌫|---|
sanestaleea sain teeglise	|-|--|---||----⌫-|-----|
qant eleaoiloseru ise	---|--||-|-|----⌫--|
uersonostel estretor nee	--|--|----|--|-----⌫--|
liforestiersla	-|---------|||
qui gardo it lo	--|-----⌫-|-|
b ois au s eignor	-⌫--|-|-⌫-----|
molt ert cointes e td ebelator	---|--|------|-⌫|-⌫|--|---|
etb ien arm ez	-|-⌫--|---⌫-|
d arc etd espee	|--|-||----|
la dame saluee	-|---|-----|
rantautre sibel	---|-----⌫-|--|
il trait desondoiun anel	-|----|-|--|--|-|---|
defin or bienualo itzz	-|--|-|---|----⌫-|-|
dame neu os doingp as	---|-|-⌫-|----|-⌫-|
maisl an eluos doi ngie	---||--⌫-|--|---⌫-|-|
p orsole man t au oircongi e	-⌫-|----⌫---⌫|--⌫--|-----⌫|
debaisiercel ebele	-|------|---⌫|---|
qui tant par estue rmoilleetdoce	--|---|--|--|--⌫------|-|---|
celerespon tcommecortoise	---|------⌫|----|-------|
se uostreanel uos r ema int	-|-----|---|--|-⌫---⌫--|
quenul bes oing	--|--|---⌫---|
ne m andestrain t	-||-|--------⌫|
porquoi uosmaiez	--|---|--||---|
sitos tpr ise	-|---⌫|--⌫--|
ieneuosfera ior	-|-|--|----⌫|-|
par u ileniequeiesache	--|-⌫-----|--|-|----|
ia porpe ordeuostrehache	-|--|--⌫-|-|-----|----|
neporlodon	-|--|-|--|
deuost reanel	-|----⌫-|---|
neuosferai donuos	-|--|----|--|--|
porec qua monseignore n p lais e	----|-||--|------|-⌫|-⌫----⌫|
alezuos ent ota	---|--|-|-⌫-||
uostre aise	-----|---|
et ie irai a	-|-|---||
pasundon de se l	--|-|--|-|--⌫|
homequi siest	---|--|-|--|
garc onier s	----⌫-----⌫|
uostre fa meseplaint	-----|--⌫-|-|-----|
lautr ie r	|----⌫--⌫|
qu el nau oit	-|-||--⌫--|
par uos semal	--|--|-|--|
uosenauro izlog uerredon	--|-|----⌫-|-|-⌫-------|
q anqu e cesoi t otos t otart	-⌫----⌫|-|---⌫||---⌫||---|
motde li sedepar t	--|-|-|-|-----⌫|
etilrem aint	-|-|---⌫---|
plus chausqu eb rese	---|----|--⌫|-⌫---|
quiliaus tla	--|-|---⌫|-|
sanz eue a u n cot e ldacier	---|--||-⌫|---⌫-⌫||----|
o fait les g renons arachier	|---|--|-⌫-----|-------|
sil a nfust il	-||-⌫|---|-|
assez plusbe l	----|---|--⌫|
mes sirescostan s	--|----|------⌫|
n esauoitmot detotce pla it	-⌫|-----|--|-|--|-|---⌫-|
or oi ezquel a	-|--⌫-|--|-⌫|
ason oste lsa n	|--|----⌫||-⌫|
uint errant	---|-----|
sifistmangier	-|---|------|
s onp ai sant	-⌫-|-⌫--⌫---|
puislenuoiaens onlab or	---||-----|-|-⌫-|---⌫-|
oil siaut aler cha sc uni or	|-|----|---|---⌫--⌫-|-⌫-|
zz ior a uintceditm es	-|--|-⌫---|-|--|-⌫-|
quelifo r estier s	--|-|--⌫-⌫------⌫|
etli preste s	-|-|------⌫|
preuozsi con	-----|-|--|
moi sen ble	--|---⌫--|
alerentboiuretuitensanble	------|-----|---|-------|
orentbeuasse z	----|--|----⌫|
e tilf urentbieneschaufez	-⌫|-|-⌫----|---|--------|
si re distlipreuoz aupreste	--⌫-|---|-|-----|-|-----|
don ne feroitil	--|-|-----|-|
alafameda ncostanz	|-|---|--⌫|------|
deuro it uiu reyyanz	-----⌫-|---⌫-|-|--|
e npai noeneu e	-⌫|---⌫||-|--⌫|
pora uoirune solenuit io ie	--|-⌫---|--|---|---|--⌫-|
cinaf or snos	-|||-⌫--⌫|--|
yy quino soie	-|--|--⌫|--|
ce respondil ifores tiers	-|-------|-⌫|-----⌫----|
quiuo ldroitsabouchebai sier	--|--⌫-----|-|-----|---⌫---|
andeu roitsofrir la	-|---⌫---|-----|-|
distlip restesuosauezto rt	---|-|-⌫-----|--|---|--⌫-|
tantieuner ettant	---|-----|-|---|
por une telfamedecoiure	--|--|--|---|-------|
ne stmiesa in e ch oseafai re	|-⌫-|--|--⌫--⌫|--⌫--||---⌫-|
autre chos e	----|----⌫|
enco uandr o it fair e	-|--⌫-----⌫-⌫-|----⌫|
celuiquilauoldroitamer	----|--|-|-------|---|
ele nen uialt	--||-|----|
n ul escoter	-⌫-|------|
qui d e li seuialt entremetre	--|-⌫|-|-|----|---------|
desonchastellestuet iusmetre	-|--|------||-----|--|----|
t antquebesoingpoue rteou	-⌫-----|------|----⌫--|-|
lafaceuenirau	-|---|----|-|
ensinc do iten ser uir	-----|--⌫-|-|---⌫--|
fousestquiautre ma nt	---|--|--|-----⌫--⌫-|
oroiezquel con soil	-|---|---|---⌫---|
por louin quilo fistfolestre	--|-|--|--|-|---|--|----|
et di stasesyy	-|--⌫-||--|-|
co mpeignons	--⌫--------|
orescoutez que nosfe rons	-|-------|--|--|--⌫---|
nesome snosades	-|----⌫|--|---|
poram aigroierda ncostant	--|--⌫-------|--⌫|------|
poiledecapoiledela	----|---|----|---|
ait quis anfaindra	--|--||-|------|
ceres pontchascunsendro itsoi	-|---⌫---|-------|-----⌫-|--|
orsoioncompeignontuit troi	-|----|---------|---|---|
bien poons	---|----|
partir cemarchie	-----|-|------|
cesontat achié	-|---|--⌫-----|
si sedepartentde	-|-|--------|-|
mes si rescostan snensotmot	--|--⌫--|------⌫||-|--|--|
quel anl iait	--|-⌫-|-⌫|--|
cestplait basti	---|----|----|
zz d iemancheauintensin	-|-⌫-------|----|----|
qa nt lipre uoires	--⌫-|-|---⌫-----|
con tre ua lsonm ostier	---⌫---⌫--⌫|--|-⌫-----|
si ui tda ntcostan deuant soi	-|--⌫|--⌫-|-----|-----|--|
ilneli dis tp as enr ecoi	-|-|-|---⌫|-⌫-|-|-⌫---|
maiss i hautquetuitl	---|-⌫|---|--|---||
antandirent	----------|
tu itcilquisaint e	--⌫-|--|--|-----⌫|
eglisee npire nt	-----|-⌫-----⌫-|
sonttrestuitdedeu	---|-------|-|--|
deseur e ́	------⌫-⌫|
seignordames or	------|----|-|
uez ladan costa nt del h am el	--|-|--|-----⌫-|--|-⌫--⌫-|
qui e st paranz da mey sabel	--|-⌫-|-----|--⌫-|-⌫----|
ilaesp osésaconmere	-||---⌫---|-|------|
bie n d roizqu illo compere	---⌫|-⌫---|-|-|-|------|
sire cost antissiez	---|----⌫--|-----|
decestmostierdantrela g ent	-|---|------||----|-|-⌫--|
ie u os desuee sainteeglise	-|-⌫-|-----|-----|-----|
iln iaurachantéseruise	-|||---|------|------|
tantconceianzseiorneroiz	---|--|-----|----------|
co sta nsformantde str oiz	--⌫---⌫-|------|--⌫---⌫--|
qa ntli presteslidisttelhonte	--⌫-|-|------|-|---|--|----|
esboiz por la honte	-----|--|-|----|
ne se tqueildo ie	-|--⌫|--|-|--⌫-|
p alesd es colore zpl ains	-⌫---|-⌫--⌫------⌫|--⌫---|
sanestforsdel mostierissuz	|-|--|---|--|------|----|
a los te l au	||--⌫--⌫|-|
presteest u enuz	-----|--|-⌫---|
et qantlamessefu chantee	-|---|-|----|-|------|
etl agents	-|-⌫|---||
anfutotealee	-|-|---|---|
li pres tes ui nt asonost el	-|----⌫--|--⌫-||--|---⌫-|
dan costansquinat andoitel	--|------|--||--⌫-----|-|
l ui uenuz	-⌫-|----|
fuideciu il ains m alotruz	--|-|-|-⌫--⌫---|-⌫------|
faitliprestesneteualt rien	---|-|------|-|-|---|---|
ieserai por toi tozreiens	-|----|--|--|--|-----|
queia isoferttona uo utire	--||-⌫|-----|--|-⌫--⌫----|
pordeufaitilmerci biausir e	--|--|---|-|----|---|---⌫|
dist dan c ostans donerdel	---|--|-⌫-----|----|--|
alarceuesque	||---------|
et audaie n	-|-|----⌫|
po rfairemoiquiteclamer	--⌫|----|--|----|-----|
etqueuo ldroi e stu doner	-|--|--⌫-----⌫-⌫|-|----|
s ire yy l iuresuosot ri	-⌫--|-|-⌫----|--|--⌫-|
aqantpai era mes c redi	|---|---⌫-||---⌫-⌫---|
ortehastedel	-|-|----|-||
se tup uezpar tantescha per	-|-|-⌫--|--|---|-----⌫--|
donc tau radoneesa	---||--⌫-|----|-|
atantsire cos tanse scha pe	----|---|---⌫---|-⌫----⌫-|
siest a son	-|--||--|
e tqantsa fa mel	-⌫|---|-|--⌫-||
bien sot que il fudes haiti e z	---|--|--|-|-|---⌫-----⌫-⌫|
sesbr azlia	--|--⌫-|-||
qauezdist elebi a us amis	|---|---|--|--⌫-⌫-|---|
dame d isti l mau	---|-⌫--|-⌫|--|
su ib ailliz	--⌫|-⌫-----|
l i ures ma mislip restes	-⌫-⌫---|||--|-|-⌫-----|
senosuolonsplusensanbleestre	-|--|-----|---|-------|----|
uoscarilont	--|--|-|--|
s i seroizde moidegerp ie	-⌫|-----|-|--|------⌫-|
qel co nsoil enporr ons nos prandr e	--|--⌫----|-|----⌫--|--|------⌫|
faitentandre	---|-------|
queuo s estoie zma conmere	--|--⌫|------⌫|-|------|
ne u oschautf ait	-|-⌫-|----|-⌫--|
ele biausfrere	--|----|----|
iama r enso iez en	-|--⌫|-|--⌫--|-|
ie s aitozprezses paierai	|-⌫|-|--|---||-|------|
ne plusque poryyeuesdecaille	-|---|--|--|-|---|-|-----|
plusauonsnos deniers que paille	---|----|--|------|--|-----|
s andonronsy y oyy	|-|------|-⌫||-|
b i en sai don cestec h oseauint	-⌫-⌫-|--|--|----|-⌫-⌫--|----|
ne uosench aut acorecie r	-|--|-|--⌫--||-------⌫|
maisuenezlieema ntmangier	---|----|------⌫-|------|
atants asistrent auram ant	----||--------|-----⌫--|
pasmangiélonguemant	--|------|---------|
q anr euintli mes aupreuost	-⌫-|-⌫----|-|--|-|------|
dancostanmolttost	--|-----|---|---|
f aitilsiuen ezalacort	-⌫--|-|-|---⌫-||-|---|
n aura i llesir qu il	|---|-⌫|----|-|-|
faitladameceque p uetestre	---|-|---|-|--|-⌫--|----|
parfoidamefait ilmesmestre	--|--|---|---|-|--|-----|
lam oltt ostdeuen i r hasté	||-⌫--|-⌫--|-|---⌫-⌫|-----|
atants anestc o stanztorn ez	----||-|--|-⌫-⌫----|----⌫-|
siuintaupreuosts ilobee	-|---|-|------|-⌫|-|--|
iot rais oncon tee	|-|----⌫-|---⌫--|
f orsquec os tans lo s alu a	-⌫-----|-⌫--⌫---|-|-⌫---⌫|
et lipreuoz lo	-|-|-----|-|
silatantost elcep as is	-|||------|-|--|--⌫-|
danuilains encora ur oiz	--|------|----|-⌫--⌫--|
queu o sseroiz misaugibet	--|-⌫-⌫|-----|--|-|----|
puisd istalui moltsoauet	---|-⌫--||--|---|-----|
ua m e tost que rremo nse ignor	-|-⌫|---|---⌫--|--⌫|--⌫----|
dilique iailo traitor	-|-|--||-|-|------|
son f ro mantosté	--|-⌫--⌫---|----|
ilen apl usd un	-|-||--⌫-||-|
etpar nuit sagra nche brisiee	-|--|---|-|---⌫---|------|
or acostans	-||------|
moltgrant a chiee	---|----|-⌫----|
qantlarec in soitmest resor e	---|-----⌫-||--|----⌫-|---⌫|
h efait ilsede usm e	-⌫|---|-|-|--⌫-|-⌫|
sirepreuoz	---|-----|
ia icorp es	|-⌫|----⌫-|
sireuila insse sontestopes	---|----⌫--|-|---|------|
d on uosmeuolezest oper	-⌫-|--|-|----|---⌫---|
ausintbien uos	-----|---|--|
uendroit hurter	-------|-----|
a umosto n deuostrebe rcil	-⌫|-----⌫|-|-----|--⌫---|
neuiiecan uo st recort il	-|-|-||-|--⌫--⌫-|----⌫-|
fudelble la placesu ie	-|--|--|-|----|--⌫-|
sirepreuozc	---|-----||
es tparenuie	--⌫|--|----|
mam i s sore	||-⌫-⌫|---|
m aisencois queplusen descoure	-⌫--|------⌫--|---|-|-------|
p ren ezdel	-⌫---⌫-|--|
mi enporpais a uoir	--⌫-|--|---|-⌫---|
aisozcielsi chi erauoir	-|--|---|-|---⌫-|----|
qain zne uolsisse	|---⌫|-|-------|
auoirdoné	----|----|
quelanm au st icitroué	--|--||--⌫-|--|-----|
ence cep a	-|-|--||
te ldese nor	--⌫|----⌫--|
q u e donrastua t onseignor	-⌫-⌫|-----|-||-⌫-|------|
seie te f a z	-|-|-|-⌫-⌫|
estredeliu res	----|-----⌫--|
parfoiieuosdonraiyyliures	--|--|-|--|-----|-|-----|
or tanr eu aent ama ison	-||-|-⌫--⌫|-|-⌫|--⌫---|
et ieseraito n chanpi o n	-|-|----|--⌫|------⌫-⌫|
a orsd elc ep	|--|-⌫-|-⌫-|
etdancostanssan	-|--|------||-|
esttorn é	--|----⌫-|
t res parm il dunecosture	-⌫--|----⌫|||--|------|
cora ntadroiture	----⌫-||-------|
contre lu i sonu as let robert	-----|--⌫|--|-⌫--⌫--|-----|
qestced istcastu	|--|-|-⌫--||-|-|
quitechace conm antu as	--|-|----|----⌫--|-⌫-|
sirema lnosest auenu	---|--⌫|--|--|----|
liforestiers uozbu esem moine	-|---------|--|--⌫-|--⌫----|
sidit q anla	-|--||-|-|
ti e rce cemoine	--⌫-⌫--|------|
qu iu os couterate res bienes	--⌫|-⌫-|------|--⌫--|-----|
et me sc redia	-|--⌫--⌫---||
soir zz aut re x xx	---|-|---⌫-|-⌫-|
deu sdit costansceque puete stre	---⌫|--|------|-|--|---|-⌫---|
t a ntaihui	-⌫-⌫-|-|--|
traitmaleiornee	----|---|-----|
lors asa chapedesf ublee	---||-|----|----⌫----|
apreslofor estier	----|-|---⌫-----|
enhautcommancaahuchier	-|---|-------||------|
da nforestiersatandezmoi	--⌫|---------|------|--|
edanuilains de putefo i	|--|------|-|---|--⌫|
tan t auez cecre pon pesa nt	---⌫|---|-|---⌫--|----⌫-|
se uosuenezzz	-|--|----|-|
cenertmi trop grant doma ges	-||--|-|---|----|----⌫--|
seorporte isiez	-|-|-----⌫----|
zz fr om a ge	-|--⌫--⌫-⌫-|
ouen uos tregironyyoes	-|-|---⌫--|----|-|--|
bie ncuidisie zau oiruoz bues	---⌫|--------⌫|--⌫--|--|---|
par deu tot autr e m ant ira	--|--|--|----⌫-⌫-⌫--|--|
uo str epe chie z	--⌫---⌫|--⌫----⌫|
uos enconbra	--|-------|
q ant n ostreboisnos essa r tates	-⌫--|-⌫----|---|--|----⌫-⌫----|
etamien uit lanportates	-||----⌫--||---------|
or f ucostanz moltpooro us	-|-⌫|------|---|-----⌫-|
ta ntfudolanzetengoisse us	--⌫-|-|-----|-|--------⌫-|
dist sireuos im antez	---|---|--||-⌫----|
seiefusseausibien	-|-|----|---|---|
comm euosestespar	----⌫|--|----|--|
desor uos ent o rnastlo	----|--|-|-⌫-⌫----|-|
oce iaussemonhauel	|-||----|--|----|
don as se el hater el	---⌫--⌫-|-|-----⌫-|
nelolaissasepor uostrearc	-|-|-------|--|-----|--|
uose ussiezchauciét r opta r t	--|-⌫-----|-------|-⌫-⌫-|--⌫-⌫|
uozyyboclesen uozpiez	--|-|-----|-|--|---|
liforestier siriez	-|---------⌫|----|
s esregardam olt	|-|------|-⌫--|
longuemant	---------|
uila ins d on	----⌫--|-⌫-|
u ienttelhardeman t	-⌫---|--|--------⌫|
que tuteu iau z	--|-|-|-⌫---⌫|
amoicombat re	|--|------⌫-|
porlesiauz deuiausmetub atre	--|--|---|-|----|-|-|-⌫---|
iatonhauelnertt oi	-|--|----||--|-⌫-|
lorslit orneloglaiu e atant	---|-|-⌫---|-|-----⌫|----|
or f ucostan s engrant	-|-⌫|------⌫|-|----|
qant il louittorne r	---|-|-|--|-----⌫|
sire faitil	---|---|-|
pordeumerci	--|--|----|
atandez uosieuosen pri	------|--|-|--|-|--|
nemedeueztenirsicort	-|-|----|----|-|---|
menez a la	----||-|
n iauroizmiegran t	||-----|--|----⌫|
mucié dedanz monlit	-----|-----|--|--|
yyso usdeden iers auostreeues	-|--⌫-|-|---⌫---||-----|---|
maisqueraieen	------|---|-|
pai s m es bues	---⌫|-⌫-|---|
quac ordezsoiepar itant	-|--⌫----|---|--|----|
alo i t e ledemandant	---⌫-⌫|-⌫-|--------|
fors quilau stu e r s	----⌫-|-|--⌫-|-⌫-⌫-⌫|
lu ilauoir	--⌫||----|
etditqantl espor raauo ir	-|--|---|-⌫-|---⌫-|---⌫-|
illirespontd ed anz lundi	-|-|------|-⌫--⌫--|----|
faiman se urieluos	--||-|--⌫-|-||--|
e t ielanprain conmantquilaille	-⌫|-||-|----|--------|-|----|
orenr epuet menerlaumaille	-|-|-⌫----|----||-------|
danz costanza lostel	---|------|||----|
d ola nz s	-⌫---⌫-||
ot l a idechi er e	-|-⌫-⌫--|---⌫--⌫|
iln amanbrequin elidoille	-|||-----|--|-⌫|-|-----|
es chans ala issieesam a ille	-|----||--⌫-----||--⌫-⌫---|
enm aisonestuenuz braiant	-|-⌫----|--|----|------|
onquesnidistso netne chant	-----|||---|--⌫--|-|----|
enu n li tsesta lezuerser	-|-⌫|--⌫||--|-⌫--|-----|
safam e liuademander	-|---⌫|-|-|-------|
sire que a uezuostr oué	---|--|-⌫--|--|--⌫---|
dam eonques	---⌫|-----|
puis que ie fui ne ́	----⌫--|-|--|--⌫|
noiau tre ma lmalnedolor	|-|--⌫--|--⌫|--|-|----|
si aiauhuien cestior	-|-|-|--|-|---|--|
lorslicon t e lo desto rbier	---|-|---⌫-⌫|-|-----⌫----|
del preuo st	--|-----⌫-|
et d oufor es tier	-|-⌫-|---⌫--⌫---|
conil estissuzdeprison	--|-|--|----|-|-----|
paryy liures	--|-|-----|
derea nco n	-|---⌫---⌫|
apresli conte	----|-|----|
l omesc hief	-⌫|----⌫---|
del forestier	--|--------|
dechiefenchief	-|----|-|----|
il doityysous paie r	-|---|-|---|----⌫|
damemoltdoit	---|---|---|
s aidenieroupran dre	-⌫-|-----|-|----⌫--|
or mecouientmes uachesuan dre	-|-|------|--|-----|---⌫--|
bleque ied oiman gie r	--|--|-|-⌫-|---⌫---⌫|
sir e ne uoschaut desmaier	---⌫|-|--|----||------|
fait ladamequ im olt ert	---|-|---|--⌫|-⌫--|--|
ian enmetraimant el engage	-||-|-----|----⌫-|-|---|
an uandroiz blene aua ine	-|-------|--|-|---⌫--|
bienuos metrai ors dela	---|--|-----|--|-|-|
bienuosmetrai	---|--|-----|
forsde la fr ape	---|-|-|--⌫--|
e t il remandronten lafr ape	-⌫|-|---------|-|-|--⌫--|
don uosseroi zautretan t l i ez	--|--|-----⌫|--------⌫|-⌫-⌫-|
comm iluosont	---|-|--|--|
faitc ore cié	---|-⌫---⌫---|
tantsepain ed econforter	---|-|----⌫|-⌫|--------|
queil a sis t re nta u	--|-|-⌫---⌫-⌫--⌫-|-⌫|
qantc ostanzot assez mangié	---|-⌫-----|-|----|------|
si lad amisabel	-|||-⌫-|-----|
ladamen ertpas	-|---||--|--|
e sperdu e	-⌫------⌫|
l an demaintua italacharue	|--⌫------|--⌫-||-|-----|
pu isapeles achanberiere	--⌫-|----|-⌫|----------|
une gorleepautoniere	--|-----|---------|
m o ltsotdefa rtet de tritr ot	-⌫-⌫-|--|-|--⌫-|-|-|-----⌫-|
lam eschin eotnomgalot rot	-|-⌫------⌫|-|--|-----⌫--|
ladamel apelaosoi	-|---||----||--|
galotrotor	-------|-|
entana moi	----||--|
damedeusuosotroitgaai ng	-------|--|-----|----⌫-|
cortostsim aparo illezzba ing	--|---|-||-----⌫---|-|--⌫--|
celeceh aste ne pot	---|-|-⌫---|-|--|
tos tamisla peele	---⌫||--|-|----|
etl euechaude enla c uue	-||--|-----|-|-|-⌫--|
etdraxdesusporf aire	-|---|----|--|-⌫---|
puisr eu intasa da me errant	---|-⌫--⌫--||-|--⌫-|-----|
dameor ai faitu ostreco mmant	---|-|-|---|-⌫----|--⌫----|
galetrotfaitel beleamie	-------|---|-|---|---|
ie tecommantdesor	-|-|------|----|
que tusoiespreuzet isnele	--|-|----|----|-|-----|
etsi sachesde	-|-|-----|-|
la f au ele	-|-⌫--⌫--|
ta ntq uen ostreprouoire aion	--⌫---⌫-|-⌫----|-------|---|
siigaa ignezzpelicon	-||---⌫---|-|------|
dilo presteque tu	-|-|-----|--|-|
tant cor suip re s teasonserui se	----⌫|-|--|-⌫--⌫-⌫-||--|-----⌫-|
s e ilmet ai ntmac o uenance	-⌫|-|-|-⌫--⌫-|-|-⌫-⌫------|
diq uil ma port sanz demorance	-|-⌫|-||-⌫---|---|--------|
le syy liuresetlesioiaux	--⌫|-|-----|-|--|-----|
escorceses	------|--|
quigrox furent uer	--|---|-----|--|
onques uac hequ isanttaons	-----|---⌫-|--⌫|---|----|
neuipl usgaloperparsaut	-|-|--⌫-|------|--|---|
q uegaletroithordoil leetsaut	-⌫-|--------|-------⌫-|-|---|
moltsepainedetostal er	---|-|----|-|---|--⌫-|
liprestesertuenuzd echanter	-|------|--|----|-⌫|------|
qantgaletrotentraenlus	---|-------|----|-||-|
ilseleuacontreli	-|-|---|-----|-|
e l el otraita une	-⌫-⌫|-⌫|----||--|
s irefait el esedeusmegart	-⌫--|---|--⌫|-|---|-|---|
i e cuitma	-⌫|---|-|
poineauoir perdue	----|----|-----|
ta ntmesuipo r uosco mbatue	--⌫-|-|--|--⌫|--|--⌫-----|
madameconuertie	-|---|--------|
tantaif ai t	---|-|-⌫--⌫|
que cestuostre	--||--|-----|
sene fussiezl argeet cortois	-|-|------|-⌫---|-|------|
uos n i auenissi e z des	--|||--------⌫-⌫|--|
s e ie nem an fuss een tremise	-⌫|-|-||-|----⌫|--⌫------|
cinaf iertpaslonguede uise	-||--⌫---|--|-----|--⌫---|
aportezlit ostsa promesse	------|-|-⌫--|-|-------|
aipointdeginp l eenpese	-|----|-|----⌫-⌫|-----|
li p restr esl	-|-⌫-----⌫-||
acolesirit	----|-|--|
galotrotne tesoit petit	-------|-|-|---|----|
tien yys o usa	---|-|-⌫-⌫-||
unpelic on	-|-----⌫-|
estorli ui lainsen	--|-|-|--⌫----|-|
nenil lilas ilniestmie	----|-|--|-|||--|--|
seuosnestestropdebonai res	-|--||----|---|-------⌫--|
celequibien sot so npreufai r e	---|--|---|--|--⌫|---|---⌫-⌫|
bota lesdenie rs enson sai n	---|--|-----⌫-|-|--|---⌫|
si sedep art	-|-|---⌫--|
delcha p ela in	--|---⌫-⌫---⌫-|
