#ME TA# TextURIAigarB	---⌫--|------|-----|
#META# DEAFhttp//www.deaf-p age.de/bi bl/ bib99a .php#AigarB	-----|---|----------------⌫---------⌫---⌫------⌫----------|
#ME TA#FEW	---⌫--|--|
#META#ARLIMAhttps// ww w.arlima.net/ad/aigar_et_maurin . html	-----|-----|-------⌫--⌫-------------------------------⌫-⌫---|
#ME TA#Au thor	---⌫--|--⌫---|
#META#AuthorBorn	-----|---------|
#META# AuthorB ornAmb	-----|-------⌫-----|
#META#Au thorDied	-----|--⌫-------|
#META#AuthorDiedAmb	-----|------------|
#MET A#AuthorFl1	----⌫-|--------|
#MET A# Au tho rFl2	----⌫-|--⌫---⌫---|
#META# TextTitle Aiga ret	-----|--------|----⌫|-|
#META # TextSubtitle	-----⌫|-----------|
# ME TA#T extuols	-⌫--⌫--|-⌫------|
#META# Tex tSubiepic	-----|---⌫----|---|
#META#Text Dom lit	-----|----⌫--|--|
#META #Translati onfalse	-----⌫|---------⌫-|----|
#META#Coll ection	-----|----⌫-----|
#META#CollectionNo	-----|-----------|
# META#TextDescARLuersdécasyl labique s rép artisenlaissesmono rimes	-⌫----|----------|---|--------⌫-------⌫|----⌫----|-|------|----⌫----|
#META#TextDe scuers	-----|------⌫-----|
#META#Te xtDa teARL12e	-----|--⌫----⌫----|--|
#META# TextD ateAdi	-----|-----⌫-----|
#META#TextDateMin1 166	-----|----------|-⌫--|
#M ETA# TextDa teMax	--⌫---|------⌫----|
# META# EdEditor Alfred	-⌫----|-------|-----|
#META#EdP l ac e	-----|---⌫-⌫--⌫|
#META#E dPublisherRomanischeF orschungen	-----|-⌫---------|---------|-⌫---------|
#META#Eduol14	-----|----|-|
#META#EdYear1903	-----|-----|---|
#ME TA#EdPages1 -102	---⌫--|------|-⌫---|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
#ME TA#MsN u m1	---⌫--|---⌫-⌫||
#META#MsDateARL	-----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
#M ETA# Formu	--⌫---|---||
#META#Complete true	-----|-------|---|
#META# NoWords	-----|------|
#M ETA#NoLines	--⌫---|------|
#META# DialAuthocci tan	-----|-------|----⌫--|
# META # D ia lS cribe	-⌫----⌫|-⌫--⌫--⌫----|
#META #ScanURLhttps//archi u e .org/ d etai ls/romanisc heforsch14franu oft	-----⌫|------|------------⌫-⌫-⌫-----⌫-⌫----⌫-----------⌫---------------⌫--|
#MET A# ScanURIOther	----⌫-|-----------|
# META# ArkID ark/13960/t93 77i81 z	-⌫----|----|-------------⌫-----⌫|
#ME TA#Lccn I D	---⌫--|----⌫-⌫|
#META# Oc lcI D	-----|--⌫---⌫|
#MET A# We bAuth or Dau id	----⌫-|--⌫-----⌫-|---⌫-|
I osephWr isley	-⌫----|--⌫----|
Ketotsetrauquentlosausber stiones.	-|--|-|--------|--|------⌫|------|
Lui elcauauat otSi c a r ius mes	--|-|----||-⌫-|--⌫-⌫-⌫|--|--|
Ben lieste r e s	--|-|----⌫-⌫||
elcauaunonca ies.	-|----|--|--⌫---|
Fr aig ne ntlosa n stes ero npontliaur fres	--⌫---⌫--⌫-|--|-⌫-⌫---||--⌫----|-|---⌫---|
Eauidireper	|--|---|--|
contequeu ei rs es	----|--|-⌫--⌫-|-|
Ansque socors partis nis re m a nes	--|--|-----|-----|--|--⌫-⌫-⌫--|
Niacc aguspe r	||-|-⌫---|--⌫|
Talmil cauausi	--|--|-----||
antcaniat epres	--|-----||---|
K unsolsnontome a	|-|---|--|---||
l establedontes.	|------|---|--|
Lo torne is mescleso s	-|-----⌫-|-----|--⌫|
losuignes dAissent.	--|-----||-------|
Maurinslaica delesagent	------|--|--⌫---|-|---|
Eli arcereboriei s	|-|----||------⌫|
barrese isfossasausiment.	-----|-⌫-|-----|--------|
reifai un enuaïme nt	--|--|-|--------⌫-|
Perloboscauintretla i nspo ignent	--|-|-----|-----|--⌫-⌫-|--⌫-----|
E uaitferi rB ertranquilo def fent.	|---|----⌫|-⌫-----|--|-|---⌫----|
l itrauque ePosbercli c oncen t	-⌫|------||------|-|-⌫-----⌫|
E l astefraig	||---|----|
elnondescen t.	-|--|------⌫-|
Bertrans ferluiel bo ncauanmouent	-------|--|--|-|--⌫|----|-----|
Pe rme il e cap qu eto t lofer i	--⌫|--⌫|-⌫|--|--⌫|--⌫|-|--||
Kel go nfanonsdenantlosielslipent	--|--⌫------|-----|--|---|-|---|
A içol essor beper queis en	-⌫---||-----⌫-|--|---||-|
t om e l en t .	-⌫--⌫|-⌫--⌫-⌫|
Cilfeitso n	--|---|--⌫|
tore is dentreuscor ent	--||-||---|--|---⌫--|
Eas esp ade abat	|||---⌫--|---|
MilondA iglent	----||-⌫-----|
Ep rentper fran loros liart dAgent.	|-⌫---|--|---|-|--|----||-----|
El comsMaurins	-|---|------|
louenc aco nsegent	-|---|---⌫------|
Elbondestrerl o ref e rmaintenant	-|--|------|-⌫|---⌫-⌫|---------|
Trosal boscaulenmenet	---|-|-----||-|----|
enpaignent	---------|
derrer passam en t.	-----|------⌫--⌫-|
P uisa Fortunsengäbee s en	-⌫--||-----||-|----|||-|
Estort uosa id a iqueste sorade nt	-----|--|-⌫||-⌫------|------⌫-|
Si lile guesten erun	-|-|--⌫---|---⌫-|-|
Neuos ni eun	-|--|-|-||
iauremgarriraen t.	|----|---------⌫-|
E Fortunescom la	|-------|--|-|
rason entent	----|-----|
E scotlocap e de corre s e stent.	-⌫---|-|--||-|----||-⌫-----|
reiquantaterrese	--|----||----|-|
Montetelrosper ta nt a c cordolent	-----|-|--|--|--⌫-|-⌫|--|-----|
De so nsocors	-|--⌫|-----|
nonpo tcobrar nient	--|--⌫|-----|----|
aige pendent	---|------|
Keltrais lase le elfrain el garnime nt	--|----|-|--⌫-|-|----|-|-------⌫-|
uolperdrepormilliured	--|-----|--|--|----||
Cel torneal ren ce dis	--|----|-|---⌫||--|
Perdutiai maisauquem esteu tgent .	-----||-|---|----||-----⌫|----⌫|
Ben debentestre ...	--|-----|----|--|
Ent r esaignatsontt ui teco noiss ent	---⌫-⌫-------|---|-⌫--⌫||--⌫-----⌫--|
Elas d o...	|--|-⌫|--|
Lais s ent.. .	----⌫-⌫--|--⌫|
Ca scune ...	--⌫----|--|
A iqui.. .	-⌫---|--⌫|
El os enso ...	|-⌫-|---|--|
Ablost a .. .	-|--|-⌫|--⌫|
1Etant ca ...	-|---|-|--|
Dontson.. .	---|--|--⌫|
E deuois...	|-|---|--|
Ta n t ca...	--⌫-⌫|-|--|
Cilese isce	--|---⌫---|
Bengaa ig ...	--|---⌫-|--|
Xucauau ...	-|----|--|
Non sen p...	--|--||--|
Maisn onsa...	---|-⌫-|-|--|
Et faitsos...	-|---|--|--|
Milcauaus...	--|-----|--|
R enias se[n u ai]...	-⌫----||--|-⌫--|--|
Mor sen au[ras]...	---⌫||-⌫------|--|
Lo filde [l rei] ...	-|--|--⌫-|---|--|
El com s Mfaurins ] ...	-|---⌫|--------⌫|--|
Al can p ...	-|---⌫|--|
Noiacga r ...	--|-|--⌫|--|
Q ueseutno...	-⌫-|---|-|--|
Arbercg...	-----||--|
T o tloga...	-⌫-⌫|-|-|--|
Maislosa ...	---|--||--|
Taucent ...	--|---|--|
Tosl i sor d [ere]...	--|-⌫|---⌫-⌫----|--|
Edesarmen...	|-------|--|
Traisacons ...	----||---|--|
Ed on Fo lco n...	|-⌫-|--⌫---⌫|--|
Ed on Draug[on]...	|-⌫-|-----------|
Daikest ...	|-----|--|
Euuose n ...	-|--|-⌫|--|
Oeu o el g[aaig]	|-||-|------|
Persegem . ..	-------|-⌫-|
Karbensai...	--|--|--|--|
Ce disSicar[s] .. .	-|--|-------|--⌫|
Ka rnon a .. .	--⌫---||--⌫|
Ce di s M [aurins].. .	-|--⌫|-⌫----------⌫|
Noilsen ...	---|--|--|
Nostrecauaus. ..	-----|-----|-⌫-|
Enostreengin...	|-----|----|--|
Aidis Mau[rins]. . .	-|--|--------|-⌫-⌫|
Pare n s al no...	----⌫-⌫|-|-|--|
Cuilomo . ..	--|-|-|-⌫-|
Kaussorbre	---|-----|
Cedis Mau[rins].. .	-|--|--------|--⌫|
Tro s d oes p l . ..	---⌫|-⌫--|-⌫|-⌫-|
Efets onbancriarirademen t	|--|-⌫-|--|----|--------⌫|
de Xuan strosa cent	-|-|--⌫|---||---|
mo nge nonretiegnent	--⌫--|--|---------|
c ent milesont	-⌫--|---|---|
a pi econbatent	|--⌫|--------|
E cauailler	|--------|
uint miller ausiment	---|-----|-------|
E l trap reiausorlariu ere e st en t	-⌫|---|----|--|-|---⌫--|-⌫--⌫--⌫|
T otelautre os enuiron luiporpre nt.	-⌫--||----|-|------|--|------⌫--|
Quantduime s sageuingren t alrei	----|--|--⌫-⌫---|-------⌫|-|--|
Kide son fil	-|-|--|--|
li disentsont ale nt	-|-----|--|-⌫---⌫-|
Louass e la ge	-|----⌫-⌫--⌫-|
eson contenement	|--|----------|
T al ia ucna reisqu e to ten	-⌫-|--⌫-|||---|--⌫|--⌫|-|
tr oble ssent.	--⌫----⌫|----|
Iscon tre l uien un	-|---⌫--|-⌫-|-|-|
mul dAg uilent	--||--⌫-----|
Talmildelost	--|--|-||--|
lai uantab	--|---|-|
l ui p oignent	-⌫-|-⌫------|
Ke tuitsont dels cobeito s e dolent	-|---|---||--|-------⌫||-----|
Carlorpartirsdelor tor ni ament	--|--|------|-|--|---⌫--⌫----|
Los astesf raitesliescut d aurpigment	--|----|-⌫-----|-|----||---------|
El blanc o sber c e li elm el uisent	-|----|-⌫----⌫||-|---⌫|-⌫-----|
Fra it efendutpergranscopsma inten ent	---⌫-||-----|--|----|---|--⌫-----⌫--|
Et ilnafrat efalsa t	-|-|-----||-----⌫|
esa nglent	|--⌫-----|
cauausuant per lo canp mur ent	-----|---|--|-|---|---⌫--|
Enonmuertuns c	|--|----|--||
onaiqui nonli rent.	-|----|--|-|----|
Talmilde lost n	--|--|-||--||
an tpr esaui llament	--⌫|--⌫-|---⌫------|
Tr os atier die	--⌫-||---|--|
cesapmo nessient	-|--|--⌫|------|
Enperparan t tant fortenuaïmen t	-|--------⌫|---|---|---------⌫|
Ken p loreran tmaireefil eparent.	|-|-⌫-------⌫|----||--||------|
acolsonf il aliegram ent	---|--|-⌫-|--------⌫--|
Baiset losiesela	-----|--|--||-|
boceen r ient.	---|-|-⌫----|
Absama i snade libreel	-|-|--⌫-⌫----|----|-|
b o rea prez ent	-⌫-⌫-||----⌫--|
Kelicauaunon c ouinunt	-|-|----|--|-⌫------|
a l u ent.	-⌫|-⌫---|
Altrapreiau lo paireel	-|---|----|-|----|-|
filsdes cent	---|---⌫---|
L o reislo	-⌫|---|-|
fai desarmarse iueient	--|-------|--⌫|-----|
M olta sbelcorse escabite	-⌫--|-⌫|--|---||------||
Etesb en presdel	||-|-⌫-|---|--|
prem er ardim ent	----⌫-|-----⌫--|
Anetan tpros	--|---⌫|---|
homnon fodetoniouent.	--|--|-|-|--|------|
AbtantBosintre eBernardeClaruent.	-|---|--|----||-----|-|--------|
Bo seBernarsin tre ntli conpaignon	--⌫||------|--⌫---⌫-|-|---------|
Dexuo s sautreis e tosc eau sd	--|--⌫|---|---||--|-⌫---⌫||
uos treparens Falcuos metarason	---⌫--|-----|---|--|--||----|
Cuiuosfe ae s co uentd	--|--|--⌫--⌫|--⌫---||
Auent II comtesqu	----|-|-----|-|
q uesteostson	-⌫----|--|--|
Maisilia dis enttoi lo male lobo n.	---|-|-|---⌫--|--|-|--||-|--⌫-|
Unfilauese nonsa p dont	-|--|---||--|--⌫|---|
Cu i autrias uostr eterr e	--⌫|------|-----⌫|----⌫|
enconsent tan t lo nge t eneison	-|------|---⌫|--⌫--|-⌫------|
Epuisliquie rbenlaura perbri con	|---|-|----⌫|--||---|--|---⌫--|
Maisfa iPendreiouosdiias quenon	---|--⌫|--|---||--|----|--|--|
Quesenaures	--||-|----|
desfia nceesomon.	------⌫--||-----|
L oreisconsireirasan s quemot son	-⌫|---|------|---|--⌫|--|--|--|
f ilsparleaguisedefricon	-⌫--|----||----|-|-----|
Enque r non	-----⌫|--|
ueisoncouen tn iso ndon.	--|--|-----⌫|-⌫|--⌫|---|
Tantcomloreiscalceraesporo n	---|--|-|---|------|------⌫|
Nieuniel n iaurem ia mas on	-|-|-|-|||----|-|---⌫-|
Ma iselme serue eportmon gonfanon	--⌫-|-|-|----||---|--|-------|
E l r e isel crei sse aisi	-⌫|-⌫-⌫-|-|----⌫--|---|
com son b aron	--|--|-⌫---|
K es elliba usea	-⌫||-|-|--⌫--||
guisedefelon	----|-|----|
lencontre en pla n niencanbon	|-------|-|---⌫|-|-|-----|
Totloreiame metr aiadeuis on	--|-|-----|----⌫-||-----⌫-|
E nnostreslancesportare ml espison	-⌫|------|-----|-------⌫||------|
Comto tlomlaiso	|-|--⌫|--|---||
t ot lenp ortperso n	-⌫-||-|-⌫--|--|--⌫|
Ianon nerlais	-|--||-|---|
descutnidebaston	|----|-|-|-----|
Nipuiss amortnon au ram	-|---|-⌫|---|--|--⌫--|
contenc hon.	-------⌫---|
Seignerdis Bosnosen uo lemto rnar	------|--|--|--|-|--⌫--|--⌫---|
AdonFalco n	|--|-----⌫|
quiuosf aisraisona r.	--|--|-⌫--|-------⌫-|
Respondesnos aita ntcon	--------|--|----⌫-|--|
fil n onsaben	--|-⌫-|----|
renpar lar	--|---⌫--|
Nime ssagers	-|--⌫------|
nondeuen c ortcausar.	--|--|-|-⌫--|------|
Maispoissesertornasoltrelamar	---|------|-|-----|----|-|--|
Pose rdon Fal c u os	--|-⌫|--|---⌫|-⌫-|
hom e uost rebar	--||----⌫-|--|
E sel u oles fais	|--|-⌫---|---|
couens au tre iar	-----|--⌫---⌫--|
plusmaissa norabaissar	---|---||-⌫--|-------|
Eactosiorsseru ire	|-|--|---|----⌫-||
Karsonrancten e	--|--|---|--||
Kantuosu oldr e zenuers	---|--|-⌫----⌫-⌫|-----|
luiadr eçar	--|---⌫----|
N onp otperhome faillirneg ue rriar	-⌫-|-⌫-|--|---|------|-|-⌫--⌫----|
Maissel uolesper	---|--|----|--|
cestuiabaissa r	-----|-------⌫|
Tantquelc uidas de	---|---|-⌫----|-|
sosplaisenga nar	--|----|----⌫--|
Se l fosrixhompo gre seioblidar	|-⌫|--|--|--|--⌫--|--|------|
Mais p aubre es cedis alrei	---|-⌫----|-|-|--|-|--|
Noslassera	--|------|
iauiusdeseritar.	-|---|---------|
Bosdisloreisposma isnonue lsestar	--|--|-|---|--|--⌫-|--|--⌫-|----|
Kalq u esnouelesdeis dela cortportar.	----⌫-⌫-|------|---|-|-|---|------|
Trai tsong a ntd estre	----⌫|--|-⌫-⌫-|-⌫----|
efait son fille uar	|---|--|--|--⌫--|
Eudons mate rre	-|---|-|--⌫--|
seguentre mon finar	--------|--|----|
Elo seruice quenontiausuedar	|-|------|--|--|-|--|----|
retenc citatpe r	-----|----|--⌫|
Nitorni salenidon ionnicas lar	-|--|-|---|-|---⌫--|-|---⌫--|
Niabaïequeeuaie	-|-----|--|-|--|
Nid uc ni comteni uiscomteni par	-|-⌫-|-|----|-|-------|-|--|
Eetosnosf ace losaigreme ntiurar	-|--|--|-⌫--|-|--------⌫-|----|
Easprebosque	|-|-----|--|
nonpuissebausar.	--|-----|------|
Ce lpreslodone	--⌫|---|-|--||
baisetlosollar .	-----|-|------⌫|
SeignerdisBos	------|--|--|
nosuedem lodonar	--|----|-|----|
Karaiquisplaisnon faig in sacela r.	--|-----|----|--|--|-⌫--⌫||----⌫-|
Tausmiln acitos a g ris	---|--|||-|--||-⌫--|
Kituitentendentde Falconmal	-|---|--------|-|-----|--|
Nos enireme sab re mlicontar	--|-|---||---⌫--⌫|-|-----|
Ke nonuolesbi enes tanc em andar	-|--|----|--⌫----⌫----⌫|-⌫----|
Ni plait damor niper	-|----||---|-|--|
dreitenseignar	----|--------|
N ipa rs nif ilsqui s oncouent ant	-⌫|--⌫-|-|-⌫--|--|-⌫-|-----|--|
e nant uos pos en lui	-⌫---|--|--|-|--|
Irem nos em	---|--|-|
eDamlisdexuos g ar	|--------|--|-⌫-|
Aluisdel trat	||--|--|---|
ua ntelcauaumon tar.	--⌫-|-|----|---⌫---|
uant senandui per	---||-|----|--|
uns c emins ferras.	--|-⌫----|------|
De sosPer ide e nlarib ereelspras	--⌫--|---⌫--|-⌫|-|---⌫--|--|---|
TrobentFalcon comescontramo ntas	------|-----|--|-|--------⌫---|
E don Maur ineSica rt sontdelas .	|--|----⌫-||----⌫-|---|-----⌫|
Bosd isdonF alc losnoues	--|-⌫-|--|-⌫--|--|----|
mentirsic o m e sl auer t as.	-----|-|-⌫-⌫|-⌫|-⌫|---⌫-⌫--|
—Perma fei segnrenoner iam os	|--|-|--|-----|--|-|-|-⌫-|
elfiluim esensens iost as	-|--|---⌫-|-----|----⌫-|
Eobgrautosteob ho mesassa s	|-|----|--||-|--⌫--|----⌫|
B enae smas a X Xmile darm as	-⌫-|--⌫---||-⌫|---||---⌫-|
Eda ltre gent atantlo	||-⌫---|---||---|-|
reismandas	---|-----|
Kepersanblance	-|--|--------|
esfeire o g ransmarchas.	-|----||-⌫---|-------|
No sfez emc l amm a is	--⌫|---⌫-|-⌫-⌫-|-⌫-⌫-|
paucn osfo	---|-⌫-|-|
Louostres dre is l aifo	-|------|---⌫-|-⌫-|-|
benraso nas.	--|----⌫---|
Lomeuu eiantfuir eiame sdonas	-|--|-⌫----|--|-⌫-----⌫|----|
rem asnicas t eausn e citas	---⌫-|-|---⌫-⌫---|-⌫|----|
N iabaïehi to rsni fermetas	-⌫|-----|-|--⌫-|-|-------|
Detotensemsen	-|--|-----|-|
f o sosfilscasas.	-⌫|--|---|-----|
Celpr esl odon e uo sfus	--|--⌫-|-⌫|--||--⌫|--|
manech a s	------⌫-⌫|
Kalpre merl ocuseresencontras	|-|---⌫--|-⌫-||----|--------|
Keuos ni el	-|--|-|-|
i ades ielsuosueias	-⌫|--|---|--|----|
Tos loreiam esuos	--|-|-----⌫-|--|
ere abandonas	--|--------|
Auostres lanceser	|------|-----|-|
lo dre i sesseg as	-|---⌫-⌫|-----⌫-|
UtotTaures utotlauraen	|--|-----||--||---|-|
EFalcrespont	|---|------|
Dexensie l aud as	--|-|--|-⌫---⌫-|
do nt de l totdeser ita s	--⌫-|--⌫|--|-----⌫---⌫|
E nauentur e suidel	-⌫|-------⌫|--|--|
anortornas.	---|------|
SeDexme saluemauieem o n solas	-|--|-|----|-|--||-⌫-⌫|----|
ard i temosm ansemos bras	---⌫-⌫||--|-⌫--||--|---|
Enquern ar a tot	-----||--⌫|--|
se Deupla s	-|--|---⌫|
plaitqui m ener des tinas.	----|--||-|-|---⌫-----|
Poin tle cauauqu iuai ttos teui a s	----⌫|-|----|--⌫|---⌫|---⌫||--⌫-⌫|
