un e ma nieredes	--⌫|--⌫----|--|
o rme ditesf e tce	-⌫|-|----|-⌫-⌫|-|
uoulés que uousen	------|--|---|-|
set nusforsuousdeus ceste	--|--|---|---|---|----|
etlicheualiersli r espont	-|-|---------|-|-⌫-----|
nennil creatur edelm ont	-----|-------⌫|--|-⌫--|
et dist liduscen	-|---|-|--|-||
auintonq ues	----|---⌫--|
co mmentientriss iés uousdonq ues	--⌫----||-------⌫---|---|----⌫--|
etco mmentauéslieuettemps	-|--⌫----|----|---|-|----|
par foysiredistil pa rsens	--|--|---|---|-|--⌫|---|
quei edirai	--|-⌫|----|
sa nsnulerienstere	--⌫-|---|----|---|
qua nttant saue ́sd emon	---⌫-|---|----⌫-|-⌫|--|
lors liat outesracontee s	---|-||-⌫----|--------⌫|
ce suenueesetses a lees	--⌫|------|-|--|-⌫---|
e tlaco nuenancep remiere	-⌫|-|--⌫-------|-⌫------|
etdu petit chien	-|-|----|----|
la maniere	-|------|
lors distli	---|---|-|
dus ieuous r equier	--|-|---|-⌫-----|
que a uostreterme premi er	--||-----|----|-----⌫-|
ueilliezque	-------|--|
uostre s compa inzsoie	------⌫|-----⌫--|---|
dal er ouous enceste uoie	|--⌫-||---|-|----|---|
carieuei l s au oirsanzaloingne	--|-|---⌫|-⌫--⌫--|---|-------|
sain siquesua	|---⌫-----|-|
uostrebesoigne	-----|-------|
ensa ramaniece	-|--⌫-|-|----|
e t cilr espon tie l otroi bie n	-⌫|--|-⌫-----⌫|-||----|---⌫|
ilneuous ennuit	-|-|---|-----|
siredi stilg	---|--⌫-|-||
etlidus di st queilira	-|-|--|--⌫-|--|-|--|
neianel iennu iera	-|-|-|-⌫|----⌫---|
ainzli sera soulasetgieu	---|-|---|-----|-|---|
entre uso ntdeuisé le leu	---|-⌫-|-⌫-|------|-|--|
o uil assembleronta	-⌫|-|-----------||
si tostc om meilfua nuitié	-|---|-⌫--⌫-|-|-|-⌫------|
queassespres d	--|----|---||
ilec estoit	---|-----|
que la nieceleducmenoit	--|-|----|-|--|-----|
c ele parttiennentleur chemin	-⌫--|---|-------|---|-----|
tantquilsontuenu auiardin	---|-|-|---|---|-|-----|
ou lidus nefu p as gran tpiece	-|-|--|-|-|-⌫-|----⌫|----|
lechienetsa niec e	-|------|-|----⌫|
quisenuintaubo utdou uergier	--||-|---|-|--⌫-|--|------|
ouiltrouuale cheualie r	-|-|-----|-|--------⌫|
ta nto stala uoiese met	--⌫---⌫-||-|---|-|--|
licheualiersetleduclest	-|---------|-|-|--|---|
et lidusapresl i s	-|-|--|----|-⌫||
presde l achambreetne	---|-|-⌫|------|-|-|
illu ec s estuet aum ix quil pot	----⌫-||-----|-|-⌫-|-|-|--|
dunorme moutgrant	|-|---|---|----|
etmoutlarge	-|---|----|
e stoitcouuertcomd une targe	-⌫----|------|--||--|----|
et moutentantal icele r	-|---|-----||-⌫|----⌫|
diluecui ten	|----|--⌫|-|
la cha mbre	-|---⌫---|
li cheu aliersetuitissi r	-|----⌫-----|-|--|----⌫|
san i ece contreliuenir	-|-⌫-⌫--|-----|-|----|
horsd elachambreenzzpraiel	---|-⌫|-|------|-|-|-----|
et uitet oic el apel	-|--|-|-|-⌫-|---|
quelelifesoitpar soulas	-|--|-|-----|--|-----|
desalude bouceet de	-|---|-|----|-|-|
sitos tcom meelle l echoisi	-|---⌫|---⌫-|---|-⌫|-----|
delacambre	-|-|-----|
uers luiyssi	---|--|---|
etde sesbi au sbr as l	-|-|--|--⌫--⌫|--⌫-||
etplus deyyfoyslebe sa	-|---|-|-|---|-|--⌫-|
ainsq ue feistlon gueparol e	-----⌫-|----|---⌫--|-----⌫|
etcillarebese	-|--|-|-----|
etlidi stmada meet m amie	-|-|--⌫-|-|--⌫-|-||---|
mamo urmonc uer ma	|---⌫-|--|-⌫--|-|
d ru er ie	-⌫--⌫--⌫-|
m esperance etquainquei ai m	|--------|-|-------||--⌫|
sachié s que iai	-------⌫|--||-|
eu gr antfa in	-|--⌫--|--⌫-|
destre ouousainsicom	|----||---|----|--|
tre stous io r puisque	---⌫----|--⌫|------|
etelledistmondo uss eignour	-|---|---|--|--⌫-|-⌫------|
mon dousamisma douceamor	--|---|---|-|----|---|
onquespuisne	-----|---|-|
quene mennui ast lademeur e	--|-||-----⌫--|-|------⌫|
mes or de riensneme dueil	--|-|-|----|-|-|----|
moi ce que ie ueil	--|-|--|-|---|
quantuous i estessainzet	----|---|-⌫----|----|-|
que lit resbienuenusso iés	--|-|-⌫--|---|----|--⌫---|
distet uous bientrouuee	---|-|---|---|------|
touto i l i d usa lentree	---|-⌫|-⌫|-⌫-|||-----|
quemoutpres	--|---|---|
daus a p oiés	|--|-⌫-⌫----|
sa niecea lauois	-|----||-|---|
sibi enetalac ontenance	-|--⌫-|-||-|-⌫--------|
e n esthors dedoutance	-⌫|--|---|-|-------|
q uell elidi st a	-⌫|---⌫|-|--⌫-||
menteres se	--------⌫-|
dommoutliplotetuoi t	--|---|-|---|-|---⌫|
qu ec ilnelimeffetde rien	--⌫|-⌫-|-|-|-----|-|---|
d ecedomila mescreu	-⌫|-|--|-||------|
ainsincsestilluequestenu	------||--|--------|---|
tou tela n uitendemen tiers	---⌫-|-|-⌫--|-------⌫----|
queladame etlich eualiers	--|-|---|-|-|--⌫-------|
dedenslachambreenzz	-----|-|------|-|-|
l it iurent	-⌫-|-----|
etsensdormirensemble furent	-|---|-----|-------|-----|
at elioieetateldeport	|-⌫-|---|-||--|-----|
estr esonsqueuousrecort	--|-⌫----|--|---|-----|
neneladie ne nelaloie	-|-|-|--|-|-|-|---|
si lna t enta au oi r t el	|-⌫||-⌫-⌫--||--⌫--⌫|-⌫-|
com meamoursauzfinzam ansdonn e	---⌫-|-----|--|---|--⌫--|----⌫|
quantleurpoi neleurguerre d onne	----|---|---⌫-|---|------⌫-⌫---|
carcilquitel ioien	--|--|--|--|---||
l oientornientni e nte nt	|----|-|----|||-⌫---⌫-|
aaamourlecu er	||----|-|--⌫-|
que nusn e saroi tanulfuer	--|--|-⌫|-----⌫||--|---|
combien ua ut teli oiea auoir	------|--⌫-|--|-⌫--||----|
s amoursnelife soit sauoir	|-----|-|-|--⌫---|-----|
netiex biens n auointmiea	-|---|----||-----|--||
carce estioiesanscourous	--|-|--|---|---|------|
etsou l ase te nuoiseure	-|---⌫-⌫-|-⌫|-⌫--------|
mesta ntyaquepetit dure	--|--⌫-|||--|----|---|
denuisquila	-|---|-|-||
ia tantlonguene lisera	-|---|-----|-|-|---|
tantliplestlauie quilmaine	---|-|----|-|--|-|-|----|
deuenoit semain e	-------|------⌫|
et semaine deuenoitmois	-|------|-------|---|
etmoiszza n et unan trois	-|---|-|-⌫|-|-|-|----|
et yy ansyye tyy	-|-|--|-|-⌫|-|
quant uen droit audefinement	----|---⌫----|-|---------|
celenuitqua ntil aiornast	---|---|---⌫-|-|-------|
siu oudr oitilq uilannuitast	-|-⌫----⌫--|-|-⌫|-|--------|
etencelep enseeestoit	-|-|---|-⌫----|-----|
ac eque lidus	|-⌫|--|-|--|
entendoi t	--------⌫|
carainziou ralerlencouuient	--|---|---⌫|---||-|-------|
am ieadonta	--⌫-|----||
la uit lidus auco ngieprand re	-|--|-|--|-|--⌫---|-----⌫-|
ba isi er donneretbaisierrendre	--⌫---⌫-|-----|-|------|-----|
etsi oi pran dre leterme	-|-|-|----⌫--|-|----|
derase mbler ar rieril luequ e s	-|----⌫----|--⌫---|--⌫-----⌫-⌫|
le cheua lieren t el	-|-----⌫---|-|-⌫-|
s enp art et	|-|-⌫--|-|
lui s clo t	|--⌫|---⌫|
mestantcome ueoirlepo t	--|---|---|----|-|--⌫|
leconuoiadesesbiausi eus	-|------|-|--|----|-⌫--|
p otfere autre	-⌫-|---|----|
quantlidu suit clor reluiss et	----|-|--⌫|--|----⌫-||----⌫-|
tantost a la	------||-|
tan t que leche ual ier an tai nt	---⌫|--|-|---⌫---⌫--|--⌫---⌫-|
que a soi meismesse plaint	--||--|------|-|-----|
de lanuit sico mm e	-|-|---|-|--⌫--⌫|
qu e tropli adurépetit	--⌫|---|-||----|----|
