roi gouern erentl acite	--|------⌫----|-⌫|---|
des o rem esestdr oiz	--|-⌫-|-⌫-|--|--⌫--|
que n oscoumanconsa conter	--|-⌫-|---------||-----|
de iuilleces arquifu li	-|-----|---⌫-|--|-|-|
carces dig net ez dont nosauons	--|--|---⌫---⌫-|---|--|----|
ci es closes lesresonsser o ntplus	-|--⌫-----|--|-----|---⌫-⌫-|---|
legierement ente ndues	----------|----⌫----|
quant em parlerons	----|-|--------|
gaius iuilles cesarfu tan t	----|------|----|-|---⌫|
euua ntresamerequ eil	-|--⌫---|-|---|--⌫|-|
couintle u entretra nchie ret	-----|-|-⌫----|---⌫-----⌫|-|
our irain z que	---⌫-|---⌫-⌫--|
ilenp o ist oissir	-|-|-⌫-⌫--|-----|
ettrou alen queil	-|----⌫|--|--|-|
mout granz c heu expor cefuil	---|----|-⌫---⌫-|--|-|-|-|
ap elezcesarpars ornon	--⌫---|----|--|-⌫----|
cistmozce sarpuetse nefier	---|--|--⌫--|---|--⌫-----|
oucheueleure outrenchemen t	-|---------|-|----------⌫|
gaius fusesprinc ipausnons	----|-|--|-----⌫----|---|
car ilfuapelez iuillespor	--|-|-|-----|------|--|
lignage iu li	------|--⌫-|
quifu fi lz eneede ce	--|-|--⌫-|---|-|-|
distuirgilesceest adire que	---|-------|-|--||---|--|
iui lle s descen diedeulignageenee	---⌫---⌫|------⌫--|--|------|---|
quio tno n	--|-⌫|--⌫|
iulu s dont li	----⌫|---|-|
no nsdeiuill esfuestra iz	--⌫-|-|-----⌫-|-|-----⌫-|
iuillesces a r estoite u	------|---⌫-⌫|-----|-⌫|
sei ziesme	---⌫-----|
anquantilperdison	-|----|-|----|--|
pe reli d uico ns eleq ui	--⌫-|-|-⌫-|--⌫--⌫--|-⌫-|
anapresenfire nt	-|----|-|----⌫-|
prouoire dunte nple d erome	-------||-|--⌫---|-⌫|---|
ouila uoituirgesnonains	-|-|-⌫---|-----|------|
seruoien tilueq ues enloneur d	--------⌫|-----⌫--|-||----||
unede eissedepaiensquiauoit	--|--⌫----|-|-----|--|----|
non ues ta	--|---⌫-|
sa premierefameot non	-|-------|---|-|--|
cossucia quid e che ualiersestoit et	-------|--|-⌫|---⌫------|-----|-|
mout riche cele auoit	---|----|---|----|
est éfian cieed unnoble	---⌫-|----⌫---||-|----|
non pretextatusainzque	--|----------|------|
iuilleslespousast	------||--------|
cestelessaiuillescesaretpris t	----|----|------|----|-|----⌫|
une autrelafillecynne	--|----|-|----|----|
esté conselequ atre	----|------|--⌫---|
foizcele fu	---|---|-|
apeleeco rnille	-----|--⌫-----|
etiuillesce saren ottantost	-|------|--⌫--|-|-|------|
unefil lequiiuliaotnon	--|---⌫-|--|----|-|--|
lu cius sil laqui lors	--⌫---|---⌫-|--|---|
es toi tme stresdictators	--⌫---⌫|--⌫----|--------|
onq uesf ere parfor cede	---⌫--|-⌫--|--|---⌫-|-|
iustiseq ueiuillescesa r	------|-⌫-|------|----⌫|
celeseconde famadontil	---|------|---|---|-|
luciussill a	-----|----⌫|
toli r e t heritages etdoaires	----⌫|-⌫|--------|-|------|
etloffic e	-||-----⌫|
deprouuoire e t	-|--------|-⌫|
s aloientr eponant c a et lail	|------|-⌫------|-⌫|-|-|-|
et safamaetiaso itque	-|-|---|-|-|--⌫-|--|
ileustfieurequ arta ineil	-|---|-----|--⌫----⌫--|-|
couenoitque	-------|--|
il remua st	-|-----⌫-|
ch a sc unenuit quant	--⌫-⌫--⌫--|---|----|
lis eriant	-|-⌫-----|
audicta torletrouoientetle	-|-----⌫--|-|--------|-|-|
uoloient m ene ra la	-------|-⌫---⌫||-|
lorseigneur	--|-------|
il fe soittantue rs	-|--⌫---|---|--⌫-|
eu s parden iers que il	--⌫|--|---⌫---|--|-|
less oientaleraud er ri enli	----⌫----|---|-|-⌫--⌫--⌫-|-|
pardouna l uces	-------|-⌫---|
sillaet l e	----|-|-⌫|
clam aquiteparlaproiiere	----⌫|----|--|-|-------|
desuirges q ui	--|-----|-⌫-|
estoi ent eu	-----⌫--|-|
templedont ilauoit	-----|---|-|----|
estéprestres	----|-------|
e tpor c equesiami	-⌫|--|-⌫|--|-|--|
enproie r entm amert us	-|-----⌫-⌫--|-⌫-----⌫-|
emiliu setaurelius	------⌫|-|-------|
coutaqui moute stoientrenomé	----|--|---|-⌫------|------|
parent saf amelucessillaa uoit	-----|-|-⌫--|----|----|-⌫---|
meintesfo izre fus eeslorproieres	------|--⌫-|--⌫---⌫--|--|-------|
etdemain z a utres nob lesro mains	-|-|----⌫|-⌫----|---⌫--|--⌫----|
lui auoi entproiéet	--|----⌫--|-----|-|
estriuépor sa	-------|--|-|
pesau derrie n	--|-|------⌫|
qu ant lorentuai ncuparannui	--⌫--||----|---⌫--|--|----|
i llordisttantma uez	-⌫|--|---|---||-⌫--|
pro ié po r lape siu illesce sar	---⌫--|--⌫|-|--⌫|--⌫----|--⌫--|
que uosm auez	--|--||---|
nesaiseceest	-|--|-|-|--|
par deuineu olente	--|-----|-⌫-----|
mesie sebie nque	--|-|-|---⌫|--|
il feraanquore	-|---|------|
anui a splus	---|-⌫|---|
cointessenatorsdela	------|-------|-|-|
decuipartuosdeuez	-|--|---|--|----|
autr esibienco m ege	----⌫--|---|--⌫-⌫|-|
me rueltnusde	--⌫----|--|-|
ce queg edi	-|--|-⌫|-|
carencesar puetlen trouer	--|-|----|---|--|-----|
as sezd autretex	--⌫--||-------|
marius quim eintmalfist	-----|--|-⌫---|--|---|
asromainsqu egeuei nquiet	-|------|--⌫|-|---⌫---|-|
chaciede bataille	-----|-|-------|
ur aiem ent	--⌫----⌫--|
einsiauintcon lucessilla	----|----|--|----|----|
a ma onques	-⌫-|-----|
les s enatorsneeuslui et	--|-⌫------|-|--|--|-|
auderrienl	-|------||
ocistrentil	--------|-|
eu ca pitoillebien e nfu si lla	-|--⌫-------|---|-⌫|-|--⌫--|
prophet e s	-------⌫-⌫|
li premie r	-|------⌫|
ostzoucesar	---|-|----|
fure ntenlaterrede ayse	----⌫-|-|-|----|-|---|
en celepar tiequ ie st	-|---|---⌫--|--⌫|-⌫-|
apeleebythin iase inzl uch	-----|------⌫-|--⌫--|-⌫--|
eu angelistesitr ansilal	--⌫---------||--⌫---|-||
enuoiamarcusther mu suns	-----|-----|----⌫--⌫|--|
de romepo r	-|---|--⌫|
as senb lerun	--⌫----⌫--|-|
e stoire de nes adestru iremitilene	-⌫-----|-|--||------⌫--|-------|
ceestunsislesoula	-|--|--|----|-|-|
nesse intpo l brisaquant	--|--⌫--|--⌫|----|----|
liprocurerresde lat e rre d	-|----------|-|-|-⌫-⌫--||
outremerlenuoioitlié arome	-------||-------|---||---|
anoironacuiilauoitfeit	|-----||--|-|----|---|
son ape lc o ntreles iui s qui por	--|---⌫|-⌫-⌫---|--|---⌫|--|--|
lafoiihesu crist le	-|--|----|----|-|
uoloientoci rre	-------|---⌫--|
ni c homede s estoitrois de	--⌫-⌫------⌫|-----|---|-|
bythine iuillescesar demor aantor	------|------|----|-----⌫|----|
luitant c omeils	--|---|-⌫--|-||
entremist de celeestoire assemb ler	--------|-|---|------|------⌫--|
etifu ta ntque	-||-|--⌫----|
ot mauuese renomee	-|------|------|
delui etf u	-|--|-|-⌫|
blasm ez liuns	-----⌫-|-|--|
c e meismeacru t son	-⌫|-----|----⌫|--|
blas meet la so us pec onquequant	----⌫-|-|-|--⌫--⌫---⌫-|--|----|
iuillescesarse	------|----|-|
fupartiz de	-|-----|-|
lailre p era nedemora	-|-|--⌫-⌫--|-|-----|
autre sicon parachoison de	-----⌫-|--|--|-------|-|
auoir quelendeuoit a un	----|--|--|-----||-|
seriant meslen sotbien que	------|--|--|--|---|--|
il iest oitretorne zpo r a mor de	-||---⌫--|-------⌫|--⌫|-⌫--|-|
s afoli ei l fudemeillor	-⌫|----⌫|-⌫|-|-|------|
renou mee apresu erslafinde	-----⌫--|----|-⌫--|-|--|-|
ma rcus ther musli	--⌫---|----⌫--|-|
dona coronede uictoirepor ce	---|-----|-|-------|--|-|
queil f ornibienlabesongneou	--|-|-⌫---|---|-|-------|-|
ill ot e n uoi éetpri st par	-||-|-⌫-⌫---⌫-|-|---⌫-|--|
forc e mitilenecelisle	----⌫|-------|--|---|
a uonsp arlé	-⌫---|-⌫----|
apresle menaseruiliusuns	----|-|---|--------|--|
co nestablesroma ins o soien sodees	--⌫--------|----⌫--||--|-|-----|
en laterre decyl ice	-|-|----|-|---⌫--|
i lretornatantost	-⌫|------|------|
cariloi dire	--|-|-|---|
queluc es sillaestoitmorz	--|---⌫-|----|-----|---|
et queunedesco rdeestoita	-|--|--|-----⌫--|-----||
romecom enciee dontmarchus	---|---⌫-----|---|------|
lepidusestoitchies	------|-----|----|
pensa quela	----|--|-|
morzde luce	---|-|---|
sillaet c e led escorde	----|-|-⌫-⌫-|-⌫------|
l epooient	-⌫|------|
metreauant	----|----|
celedescordeu intenceste	---|-------|-⌫--|-|----|
manierelu cius tullius etmarch us	------|--⌫---|------|-|-----⌫-|
l epi dus e sto ient consele lucius autron iusetpublius	-⌫---⌫--|-⌫---⌫---|------|-----|------⌫--|-|------|
fure ntnomé etesleua consele	----⌫-|----|-|----||------|
alanapresmes ilf urent	||-|----|--|-|-⌫----|
ateint queilenauoientd o né	-----|--|-|-|------|-⌫-⌫--|
loiera us enat po rcene porent	----|-⌫|-⌫---|--⌫|-|-|-----|
estreconsele	----|------|
fu ren tluciuscottae tlu cius	--⌫---⌫|-----|----|-⌫|--⌫---|
torquatus c atili namei smesqui	--------|-⌫-----⌫-|---⌫---|--|
lecuidoit estrenepot	-|------|----|-|--|
car il refu atainzdunedeite	--|-|---|-----||--|----|
noioitaun quili	-----||-|--|-|
auoit creusonauoiror	----|---|--|----|-|
uindrentluciusa utroniusetp ub lius	-------|-----|-⌫-------|-|-⌫--⌫---|
s il la et cat iline si trestrent a	-⌫--⌫-|-|---⌫----|-|--------||
eusun ioenn e homeq u i	--|-|-----⌫|---|-⌫-⌫|
non pisode gran tlign ageet	--|---|-|----⌫|----⌫--|-|
degranthard ementmespoures	-|----|----⌫----|--|-----|
estoitet iurere ntq ueil	-----|-|------⌫-|-⌫-|-|
ocirro ientlepr e mierior d ei enui er	------⌫---|-|--⌫-⌫---|--|-⌫|-⌫----⌫-|
eu c apitoi lelesyy	-|-⌫------⌫-|--|-|
conselesluc e	-------|---⌫|
cote e tlucetorquat por cequ e	---|-⌫|---|------|--|-|--⌫|
l en le s auoitrefu sezetmis	-⌫-|--⌫|----|----⌫--|-|--|
arrierenenesousfroit	------|-|-|--------|
que ilf ussentcon seledes	--|-|-⌫-----|---⌫---|--|
sanatorsmeismes auoien t iliuré	-------|------|------⌫|-|----|
oc irr e auquanzmesce	--⌫---⌫|------|--|-|
destorba lorc oniuroisonquep iso	-------|--|-⌫---------|--|-⌫--|
fuenuo iez enespaigne par le	-|----⌫--|-|-------|--|-|
conseildelsenat	------|--|----|
atoteune ostz	----|--|---|
e t marcus cra ssu sme ismesle	-⌫|-----|---⌫---⌫|--⌫----|-|
lo ali s e nazlel oapor	--⌫|-|-⌫-⌫--|-|-⌫-|--|
e sloignier deci tehome	-⌫--------|-|--⌫-|---|
noiseus estoitmarcus crassus	------|-----|-----|------|
leloapor am enuisier la force	-|--|--|--⌫-------|-|----|
pompeeque ilhaoitetqui l ors	-----|--|-|----|-|--|-⌫--|
en seme ntestoitenes paig necar	--⌫----⌫-|-----|-|--⌫----⌫-|--|
quan tuns b aill izuen o it	----⌫|--|-⌫----⌫-|---⌫-⌫-|
sorautreli	--|----|-|
de lpremiera sfebloioit	--⌫|------|-⌫---------|
quicuider entqueiuill escesar et	--|------⌫--|--|-----⌫-|----|-|
marcus crassusfussentde cesteconi uroi s o n	-----|------|------|-|----|----⌫----⌫-⌫-⌫|
etthanusiu s	-|--------⌫|
e t mar cusbibulu s etc uri o	-⌫|---⌫--|------⌫|-|-⌫---⌫|
paterle tesmoigne nt e nlor	----|-|---------⌫-|-⌫|--|
escrizetcyceronsm eismesl	-----|-|-------|-⌫-----||
asferme en	------|-|
uneepy stl e e t	--|---⌫---⌫|-⌫|
durent iureremsanblem arc usc rassusiuill es	-----|----|-------|-⌫---⌫-|-⌫-----|-----⌫-|
cesar ca t ilina	----|--⌫-⌫----|
pisolucius	---|-----|
aut ro niuset	---⌫--⌫---|-|
publius sillaqueil	------|----|--|-|
enuai roie nt	-----⌫----⌫-|
l e senat eu cap itoi lea l	-⌫|----|-|---⌫----⌫-|||
l aneto cirro ientles	|-|-|-⌫-----⌫---|--|
yyconsele slucecocteluc e	-|-------⌫|---|----|---⌫|
t o rquate ettozles mieuz	-⌫-⌫-----|-|--|--|----|
uailla nzdes	------⌫-|--|
senat ors e t	-----⌫--|-⌫|
lorsser oitmarcuscrassusd ictators	---|---⌫--|-----|------|-⌫-------|
et iu ill esce sarprinces de	-|--⌫---⌫-|--⌫--|------|-|
la ch eual e ri e e t m estres et	-|--⌫----⌫-⌫--⌫|-⌫|-⌫-----|-|
lucius au troniuset publiussilla seroien t consele	-----|--⌫------|-|------|----|-------⌫|------|
porroient ferede u	--------|---|--⌫|
tale nt q uidelanque	----⌫-|-⌫---|--|--|
ce leoccisionsr emestpor	--⌫-|--------|-⌫----|--|
crassusn ala pas	------||--|--|
a u ior nom é	-⌫|--|---⌫-|
esp oiro upor	---⌫--|-⌫|--|
poorou po rce queil	---|-|--⌫|-|--|-|
serepentoit de sonserement	-|--------|-|--|-------|
etpi so redeuoient auo iriu réque	-|--⌫-|---------|---⌫-|--⌫--|--|
liunsaideroit	-|--|-------|
iuil les mouerroit	----⌫--|--------|
nouelesba ra tes a	------|--⌫--⌫--||
romec ontre le sen atet	---|-⌫----|-|---⌫-|-|
piso enespaigneense ment m e s liconselsde	---|-|-------|----⌫---|-⌫-⌫|-|------|-|
uint a noient carpisofu	---||-----|--|---|-|
ocis enespai gnedesch eualiers	---|-|-----⌫--|--|--⌫-------|
pooi ent sacr uau tesou sfrir	----⌫--|-|--⌫---⌫-|---⌫----|
qua n tiuillescesarfu t retornez	---⌫-⌫|------|----|--⌫|-------|
decylicearomepor	-|-----||---|--|
ce st econiuro ison mar cus l epi dusli	--⌫--⌫|-------⌫---|---⌫--|-⌫---⌫--|-|
fistm eintoffrequ eilse	---|-⌫---|----|--⌫|-|-|
te nistdeuers l uimesiuilles n	--⌫---|-----|-⌫-|--|------||
otcuredesaconpai gniep or	-|---|-|-|------⌫---|-⌫-|
ce queil estoit	-|--|-|-----|
nenauoitpassi	-||----|--|-|
grantpooir	----|----|
comem arcuscrassus	---|-⌫----|------|
quant celenoisefu	----|---|----|-|
abessieeetcelecon iuroi sonsremese	-------|-|---|---⌫-----⌫---|-----|
iuillescesar	------|----|
cornille dolobell eunnobleho m e	-------|--------⌫|-|----|--⌫-⌫|
deniersque ildeuoitquantil	------|--|-|-----|----|-|
iroitenlisle	----|-||---|
et demorero itilueq ues tantque lenui e	-|--------⌫-|-----⌫--|------||----⌫|
e tlasouspec ons d ece	-⌫|-|-------⌫--|-⌫|-|
coniureme nt seroitoublieeetp or	---------⌫-|-----|------|-|-⌫-|
queiluoloitue o i run b on	--|-|-----|--⌫-⌫-⌫|-|-⌫-|
mestresageetbien parlant	-----|---|-|---|------|
qui estoit	--|-----|
en rodes etaprendr edelui	-|----|-|-------⌫|-|--|
ta ntc ome ilseroitarepos	--⌫-|-⌫--|-|-----||----|
ceme streapeloit	-|--⌫---|------|
o n apolloi nemilon	-⌫|-------⌫-|----|
qua n tilal oi ten rodes a	---⌫-⌫|-|--⌫--⌫|-|----||
l a r ronde me r	-⌫-⌫-⌫--|-|--⌫|
le pristrent	-|--------|
e nyuertenspresd	-⌫|---|---|---||
is lequelancl aime	--⌫-|--|--|--⌫---|
pharmac useet	-------⌫--|-|
letindrentyyiorse n tiersce	-|-------|-|---|-⌫-⌫----|-|
litor naagrant desdain g ne	-|---⌫-||----|-------⌫|-|
nauoitodsoi e nla p risonque	|----|-|--|-⌫|-|-⌫----|--|
un mireetyyualez desachambre	-|---|-|-|----|-|-|------|
carluesque il fupris	--|------|-|-|---|
il en enuoiatoz sesconpaigno ns	-|-|-----|--|--|---------⌫-|
sesser ianzpor	--|---⌫---|--|
porchacierlauo irde	---------||---⌫-|-|
cinqu ante talen zenpaiae t	-----⌫---|-----⌫|-|---|-⌫|
l uesquel ila rronl or en tremis	-⌫-----|-⌫|--⌫---||--⌫--⌫|----|
arri ereau	----⌫--|-|
r iuageiln a tendi	-⌫----|-||-⌫----|
onque srienainzsiuile batel	-----⌫|---|---|---|-|----|
demanesile tsi c onpaignon	------|-|-⌫|-|-⌫--------|
tant que ilateintaforce	----⌫--|-|-----||----|
leslarron setles	--|------⌫|-|--|
et lor retolil	-|--|-----||
auo iretl es	---⌫-|-|-⌫-|
to rmentasicom eillor	--⌫-----|-|---⌫|-|--|
auoitpromis	----|-----|
so uan tenioantquant	--⌫---⌫|-|----|----|
ilestoiten lorprison	-|-----|-|--|-----|
puisa l aenrodes eti	---|-⌫-⌫|-|----|-||
fu tantquei loidire quemi trid ates	-|------|-⌫|-|---|--|--⌫----⌫---|
lir oisdea ysegastoit les	-|-⌫--|-|-⌫--|------|--|
regions de la anto r lorsa la	------|-|-|----⌫|---|-⌫-|
derodese nayse atot tant	-|----|-⌫|---|---|---|
d aid ecome ilpot auoiret	|---⌫|---|-|--|----|-|
chaca delate rrelepreu ost	----|-|-|--⌫--|-|----⌫--|
leroim itridateet retint et	-|--|-⌫-------|-|-----|-|
g ardalescitezenla foid e	-⌫---|--|----|-|-|--|-⌫|
romequines auoientancoisou eles	---|--|-|-⌫------|-----|-|---|
sedeuoientteniret	-|-------|----|-|
setendr oient	-|-----⌫----|
mitridate o u	--------|-⌫|
apres ce luesque ilrep e raa	----|-|------|-|---⌫-⌫-||
romeli sen atoren	---|-|---⌫---|-|
firenttr ibunpar	-----|--⌫---|--|
l aidedeumenupueple	|---|--|---|-----|
l ucesi lla au oit	-⌫--|--⌫--|--⌫--|
cele dignetez	---|-------|
afebloieeet amenuisiee quant il	--------|-|---------|----|-|
fud ict ators mes	-|-⌫---⌫----|--|
i uill escesar	-⌫----⌫-|----|
laremistensondroit	-|-----|-|--|----|
et en son pr emierpooint il	-|-|--|--⌫----|-----|-|
reuen irenlacit ede rome	-----⌫-|-|-|---⌫|-|---|
luc ecy nnele freresafame et	---⌫|--⌫--|-|----|-|---|-|
autre s quis enestoien t f oi	-----⌫|--||-|-------⌫|-⌫-|
de la uile	-|-|---|
por laconiur oisondo nt	--|-|------⌫----|--⌫-|
nou s a u ons parlé	---⌫|-⌫-⌫--|-----|
tantost con iu i llescesar	------|--|--⌫-⌫---|----|
que s torilalasi come cost ume	---⌫-⌫--|-|--|-|---|----⌫--|
estoitenmile leuou	-----|---|-|--|-|
len tenoit	--|-----|
les plezarome	--|---||---|
cil leusa uoit n o n p ro r ostre	--|---|-⌫---|-⌫-⌫|-⌫--⌫-⌫----|
quisoneb ecde	--|---|-⌫-|-|
il uec estoientli	--⌫--|-------|-|
becde snes	--|--⌫|--|
d au f ri que dontk artagefu prise	|--⌫-⌫--⌫--|---|-⌫-----|-|----|
enremanb rance de la uictoire	-|------⌫----|-|-|-------|
desro mainsilecloa	--|--⌫----|---|--|
cesaroi an t	----|--⌫--⌫|
toziui llesata nte	--|---⌫--|-|--⌫--|
sonpereet cornille	--|---|-|-------|
safame qui	-|---|--|
mortesesto ientetdistdesa	-----|----⌫---|-|---|-|-|
ta ntelamer eiuil le	--⌫--|-|---⌫|----⌫-|
descen didelig nage ar oises	------⌫-|-|---⌫---||-⌫-|--|
peres fudeu	----|-|--|
lignageasdiex	------|-|---|
or es tdonques	-|--⌫|------|
haut eceet	----⌫--|-|
seintee ze nmon	-------⌫|-⌫|--|
li gnageca rge	--⌫----|--⌫|-|
suietd e diex et derois	--|-|-⌫|---|-|-|---|
d e corn ille es po u sa il	-⌫|----⌫---|--⌫--⌫-⌫-|-|
s a fil lequ intepompeeluces	-⌫|---⌫-|--⌫---|-----|----|
alad ameet	|-|-⌫--|-|
otn onpo mpei a	-|-⌫-|--⌫----⌫|
ceste lessailapr es	----|----|-|---⌫-|
po rauout e redonteleestoi t	--⌫|-----⌫-⌫-|---|--|-----⌫|
crieecarl endiso it	----|--|-⌫-|----⌫-|
conmunaument	-----------|
que publius clod iusla ten oitet	--|------|----⌫--|-|---⌫--|-|
cefu seu q uec ilse	-|-|--|-⌫-|-⌫-|-|
ue s ti u niorc ome	--⌫-⌫-|-⌫|--|-⌫--|
aladame tr es	|-|---|--⌫-|
parmilage ntqui	----|-|--⌫-|--|
