artus li boinsroisdebretag ne	----|-|----|---|-|------⌫-|
c onquesma isauenirnel	|-----|--⌫-|-----|-||
a tellefe s tee ncambreentrer	|----|--⌫-⌫-|-⌫|-----|-----|
pour dormiret pour repo se r	---|-----|-|---|----⌫--⌫|
etc iliourensil i auint	-|-⌫-|---|---|-⌫|----|
quelaroine le	--|-|----|-|
sid emouratantauoeclui	-|-⌫-----|---|----|--|
kils oublia	|-||-----|
etendorm i	-|------⌫|
a lhui sde	||---⌫|-|
fudydoinesetsaigremors	-|-------|-|---------|
e tsifu me sir eyuuai ns	-⌫|-|-|-|---⌫|-----⌫-|
etk exetme	-|-⌫-|-|-|
siregauains	---|------|
etauoeceuscalogrenans	-|----|--|----------|
unscheualierspreus etuaillan s	--|---------|----|-|-------⌫|
ki lorotcom menchiézzconte	-|--|-|---⌫-------|-|----|
nientdes o nne urmes	----|-||-⌫---⌫-|--|
de sa ho nte	-|-|--⌫--|
coiqueil soncontecontoit	-----|-|--|----|------|
etlaroyne l es coutoit	-|-|----||--⌫------|
si se st deuant leroileuee	-||-⌫-|-----|-|--|----|
et uintso uraus siaembl ee	-|---|--⌫-|--|-||----⌫-|
ainsquen us lepe ustueo ir	------|-⌫-|-|--⌫--|---⌫-|
sefulaissieent rauscaoir	-|-|------|---⌫|--|----|
forsque kalogrenanssan splus	------|----------|---⌫|---|
sa lienpies contre lisus	--⌫-|-|---|-----|-|--|
etkexkimoutf ura mprosneu s	-|--|-|---|-⌫|--⌫--------⌫|
fe letcrueus	--⌫|-|-----|
e t afiteus	-⌫|------|
lid istsir ecal ogren ans	-|-⌫--|---⌫|---⌫-----⌫--|
moutparestes preus	---|--|----|----|
etuaillans	-|-------|
etchiertesmoutmest	-|-------|---||--|
belq ueuous	--|-⌫-|---|
ieste slipluscourtoisdenous	-----⌫|-|---|-------|-|---|
saiq ueuous lecuidiés	--|-⌫-|---|-|-------|
t ant estesde sens ues diie ́s	-⌫--|----|-|---|---⌫----⌫-|
se stdrois q uem adam elecu it	|-⌫-|----|-⌫-|-⌫|---⌫|-|--⌫-|
que uousaués plusque noustuit	--|---|----|---|--|---|---|
decourtoi siee tdeproe ce	-|-------⌫--|-⌫|-|----⌫-|
nousl aiss ames o r	---|-⌫----⌫---|-⌫|
pa rpree c e	--⌫|----⌫-⌫|
e spoir q uenous n enousleua mes	-⌫----|-⌫-|---|-⌫|---|----⌫--|
upourchouquenous ne d ai gnames	|---|---|--|---|-|-⌫--⌫-----|
maisciertessirenouf esimes	---|------|---||-|-⌫-----|
m ais pourchouquenousu eismes	-⌫--|---|---|--|---|-⌫-----|
ma d ame a nchoi sfustes leués	-|-⌫--|-⌫-----⌫|-----|-----|
c ie rtesu ou sf ussie ́s	-⌫--⌫---|-⌫--⌫|-⌫-----⌫-|
i aderués	-⌫|------|
faitlar oine au miencuidier	---|-|-⌫---|-|---|------|
se neuouspeuis siés	-|-|---|-----⌫----|
del uenindont uous estespla ins	--|----|---|---|----|---⌫--|
anieus esteset uilains	-----|----|-|------|
deramprosn eruoscompaignons	-|--------⌫-|--|----------|
nousnegaai gnons	---|-|----⌫----|
fait kex enuostre	---|--|-|-----|
compaignie	---------|
gar désquenous niperdo n s mie	---⌫---|--|---|||-----⌫-⌫|--|
i ounecuicauoi rco sedite	-⌫-|-|---|----⌫|--⌫-|---|
ki m e doie estream alescr ite	-|-⌫|---|----||-⌫-|----⌫--|
uo usplai st	--⌫-|----⌫-|
taisiésuousent	-------|---|--|
iln acourt oisie nesen	-|||-----⌫----|-|--|
enplaitduiseusemaintenir	-|----||------|--------|
cisp l aisdo it	--|-⌫-⌫--|--⌫-|
bie nabienuenir	---⌫||---|----|
et on ne ld o itplushaut monter	-|-|-||-⌫-⌫-|---|---|-----|
ma is fa i tes	--⌫-|--⌫-⌫--|
nousau antconter	---|--⌫--|-----|
co uqu eil auoit comencié t	--⌫|--⌫|-|----|---------⌫|
carcin e doi t auoi rtenciét	--|-|-⌫|---⌫|----⌫|-------|
aceste parolesa pont	|----|-----||-⌫---|
calogrena n setsi respont	---------⌫-⌫|-|-|------|
damedis tild elatenc on	---|---⌫|-|-⌫|-|----⌫-|
naueraii ou	|-----|-⌫-|
iacuise ncon	-|-----⌫---|
petit m en	----||-|
seuousauésuersmoime spris	-|---|----|---|--|--⌫----|
ianiauraidoeln edamage	-|||----|---|-⌫|-----|
amiexu a ill antetaplus	|---|-⌫-⌫---⌫--|-||---|
mesireke x ke iou ne	-|---|--⌫|-|--|-|
auésuousdithonte et anui	----|---|--|----|-|---|
et seniestesbien	-||-|-----|---|
coustumier s	----------⌫|
t o usio ursd oit puir	-⌫-⌫-|--⌫--|-⌫--|---|
lifum iers	-|---⌫---|
e ttahonspoindree t ma losbruire	-⌫|-----|------|-⌫|--⌫--|-----|
si deue ́sanuier etnu ire	-|----⌫-|-----|-|--⌫--|
mai s iounecon tehui	---⌫|--|-|---⌫-|--|
etio ulip roikelle sen	-|--⌫|-|-⌫--||---||-|
quelacosekime	--|-|---|-|-|
nemecomma nts oiemerchi	-|-|-----⌫-|-⌫--|-----|
dam e tres tout	---⌫|----⌫---|
cil kisont chi	--|-|---|--|
fai tkexboin	---⌫|--|---|
g reuousensaront	-⌫-|---|-|-----|
etuolentiers l	-|---------||
esco uter ont	----⌫----⌫--|
c alogrenans dist lar oine	-⌫---------|---|-|-⌫---|
neu ous cailledel aatine	-|-⌫--|-----|-||-----|
monsei g nour kexl es enescal	--|---⌫-⌫---|--|-⌫|-⌫------|
coustumi ers es td edire	--------⌫--|--⌫|-⌫|---|
c as t oiie r	-⌫--⌫-⌫----⌫|
commander uousuoel etproii er	--------|---|---|-|-----⌫-|
que ianena iés	--|-||-|-⌫---|
a ucuerir e	-⌫|---|--⌫|
nepou r lui ne	-|---⌫|--|-|
laissi ésa	------⌫--||
cose ki nous	---|-|---|
uiegne aplais ir	-----||-----⌫-|
sedemamouru olés	-|-||----|-⌫----|
mais com m enc hiés toutderec hier	---|---⌫-⌫---⌫----|---|-----⌫---|
ciertes da m e chemest	------|--⌫-⌫|--||--|
mout g rie st	---|-⌫---⌫-|
queuo usmekem and ésafaire	--|--⌫-|-|---⌫---⌫--||----|
ainsmelairoiezzdesi ols	---|-|------|-|--|-⌫--|
secourechierneuous	-|---------|-|---|
quehuimais nuler ien	--|--|---|---|-⌫--|
m ais i ouferai	-⌫--|-⌫-|----|
couque uoussiet	--|--|---|---|
c ommentqueilonqu esmegriet	-⌫--------|-|----⌫-|-|----|
des kil uouspl aistoresco ute ́s	---⌫|-|---|--⌫---|-|----⌫---⌫-|
cueretore illesmerendés	---|-|---⌫----|-|------|
carparolesiestperdue	--|-----|-|--|-----|
s ell enestd ecuer en t en due	|---⌫||--|-⌫|---|--⌫-⌫--⌫--|
deteus iakecoukil	-|---|||-|--||-|
nent ende n t pasetsile	|---⌫----⌫-⌫|--|-|-|-|
ic iln en ont el que	--⌫-||-|--|-|--|
desqu elicuers n ientent mie	-----⌫|-|----|||-----|--|
c a l ore ille	|||---⌫---|
u ientlipar ole	-⌫---|-|---⌫--|
ausicom meli	---|---⌫-|-|
uenskiuole	---|-|---|
mai sniariestene	---⌫|||------|-|
ains sen p ar tenmo utpetit	---||-|-⌫--⌫|-|--⌫-|----|
se l icue rs n	-|-⌫|---⌫-||
e stsi esueilliés	-⌫-|-|----------|
calprendre	|-|------|
soitapareilliés	---|-----------|
que c i lle puis tas s ouuen i r	--|-⌫-⌫|-|----⌫|--⌫-⌫-----⌫-⌫|
prendree norei ll eetret enir	------|-⌫|----⌫--⌫|-|---⌫---|
lesoreille ssontuoie e tdois	--|-------⌫|---|---|-⌫|---|
paruu i entduscal cuer li uois	--||-⌫-⌫--|---|-|---|-|---|
prentdede ns leuentre	----|----⌫-|-|-----|
leuoiski p arl oreill e i	-|---|-|-⌫-||------⌫||
etkio rme ua u roitentend re	-|-|-⌫|-|--⌫-⌫---|------⌫-|
cuer eto reilles me	---|-|-⌫------|-|
doitrend re	---|----⌫-|
iou neuoelpas par lerd esonge	--|-|---|--|---⌫--|-⌫|----|
ne de fablenede men conge	-|-|----|-|-|---⌫----|
dont maint a utreuouson t	---|----|-⌫---|---|--⌫|
ancoisdiraicouke i eui	-----|----|--|-|-⌫|-|
ilauintpriesa deyy ans	-|----|----||-|-|--|
que iou seus commepaisa ns	--|--|---|----|-----⌫-|
aloiequerant auenture	----|------|-------|
armésde toutemarmeure	-----|-|----||------|
sico m cheualiersdeuoitestre	-|--⌫|---------|-----|----|
sit ro uuaizzcemi n ad iestre	-|-⌫--⌫---|-|----⌫||-⌫-----|
pa rmiune foriest espesse	--⌫--|--|------|------|
mout iot uoie	---||-|---|
felen esse	-----⌫---|
de ronceset d	-|-----|-||
e spin espla inne	-⌫----⌫-|---⌫---|
anuietagrantpainne	---|-||----|-----|
tingce leuoieet c elsentier	---|--⌫-|---|-|-⌫-|------|
et bienpr estoutleiourentier	-|---|--⌫-|---|-|---|-----|
cheuaucan tissi	---------⌫|---|
laforesti ssi	-|-----|-⌫--|
etcou fuen brecheliande	-|--|-|-|-----------|
delafo riesten un e	-|-|--⌫----|-|--⌫|
entrai etuiuneb rete ske	-----|-|-|--|-⌫----⌫--|
a demieliuegaleske	|----|---|------|
se tant i otp lus niotpas	-|---||-|-⌫--|||-|--|
celepart uincplusq uelepas	---|---|---|---|-⌫-|-|--|
etu i leua l le	-|-⌫|-|--⌫-⌫-|
toutenuironparfonset le s	---|------|------|-|--⌫|
et sour le pont apiee stoit	-|---|-|---||--|-⌫----|
c il qui la forterece	-⌫-|--|-|--------|
soursonpuin gzzostoir	---|--|----⌫|-|-----|
n e l eucmiebi en	-⌫||--|--|--⌫-|
q uant il me	-⌫---|-|-|
uint al estrierprendr e	---|||------|------⌫|
semecommandaa descendre	-|-|-------||--------|
ioudes ce ndi k iln	--|---⌫--⌫--||-||
carmestierauoi ed ostel	--|------|----⌫||----|
etilme dist	-|-|-|---|
tout maintenant	---|---------|
plus decentfoi s en z ztenant	---|-|---|---⌫|-|-⌫|-----|
quebeneoit efust la uoie	--|-------⌫|---|-|---|
paru laie nsuen us	--||----⌫-|---⌫-|
atantenl acour ten entram es	----|-|-⌫|----⌫|-|------⌫-|
lepontet le	-|---|-|-|
porte passames	----|-------|
courtauua u asour	----|-|--⌫-⌫----|
cu i die x doinsthuiioie	--⌫|---⌫|-----|--|---|
ethon nour	-|---⌫---|
ta nt com fistomoicelenuit	--⌫-|--|---||--|---|---|
pendoitunetablecouquit	------|--|----|--|---|
ki lniauoit nefiernefus t	|-⌫|||----|-|---|-|---⌫|
ner i en s	-|-⌫-⌫--⌫|
kidekeuurene	-|-|-----|-|
sourcelletabled	---|----|----||
u nma rt e l	-⌫|--⌫--⌫-⌫|
kidalesierta zzpostel	-|----|---||-|-----|
feri li uaua soursyycols	---|-|----⌫----|-|---|
cil k ila iens	--|-⌫|--⌫---|
ierent enclos	-----|-----|
o irentlan oise etleson	-⌫----|-|-⌫---|-|-|--|
sissi rent	|----⌫---|
fors delamaiso n	---|-|-|-----⌫|
et a courure ntcon treual	-|-⌫-------⌫-|---⌫-----|
liunscourutamonceual	-|--|-----||--|----|
q ue liboinsu auasours tenoi t	-⌫-|-|----|-⌫-------|-----⌫|
uikeuiersmoiuenoit	-|-|----|--|-----|
unepu ciel e	--|--⌫----⌫|
e sgardermismentente	-⌫------|--||------|
g raillee tlonge etdroite	-⌫-----|-⌫|----|-|-----|
d emoidesarmer	-⌫|--|-------|
fu ad roite	-|--⌫----|
kelle lefistetb ien et bel	|---|-|---|-|-⌫--|-|--|
puism afublazz courtmantel	---||-----|-|----|-----|
uertdescarlatepa onnache	---||--------|--⌫------|
guerp ir e nt lapl ace	-----⌫--⌫-⌫-|-|--⌫--|
quauoec m oin e auoec lui	-|----|-⌫-|-⌫|----|--|
ne resme st miechoumabiel i	-|-----⌫-|--|---||-----⌫|
carplu s nequerroie ueoir	--|---⌫|-|-------|----|
etelle me me na se oir	-|---|-|--⌫-|--⌫--|
e l pl usbe lprai elet du monde	-⌫|--⌫-|--⌫|----⌫---|-|----|
clos debasmu rala	---|-|--|--⌫||-|
lalet rouuaisi afa itie	-|-|-⌫-----|-|---⌫---|
si p arlantet sienseignie	-|-⌫-----|-|-|--------|
detelsamb lantetde telestre	-|--|----⌫---|-|-|--|----|
q uemout midelitai a e str e	-⌫-|---|||------||-⌫---⌫|
neiamaispou rnul esteu oi r	-|-----|---⌫|--|-----⌫--⌫|
n emen quesisseremouu oir	-⌫||-|-------|------⌫--|
maista n tm e fistlanuitde guerre	---|--⌫-⌫|-⌫|---|-|---|-|-----|
li uauasourskimeuintq uere	-|--------|-|-|---|-⌫---|
quantde lsouper f u tanset eure	----|--⌫|-----|-⌫|---|-|---|
nipoc plus faireded emeure	||--|---|----|-|-⌫-----|
a insfi st out	-⌫--|--⌫|-⌫--|
son commandement	--|-----------|
delsouperuousdiraibriefmant	--|-----|---|----|--------|
kilfu dut outama deuise	|-|-|-|-⌫--||-|-----|
puiske deuantmoi fuassise	-----|-----|--|-|-----|
la puci el e ki s iassist	-|----⌫--⌫|-|||-----|
apries mengier it an tmedist	-----|------|--⌫--⌫|-|---|
liuauasoursk inesauoit	-|--------|||-|-----|
le tiermepuiske	-|-----|-----|
herbergiécheual iererrant	---------|------⌫--|-----|
ki auenturealastq uerant	-|-------|----|-⌫-----|
s ena uoit i lmout her be rgié	|-|-⌫---|-⌫|---|---⌫--⌫----|
apries cho u	-----|---⌫|
mep roia que gie	-|-⌫---|--|--|
en guerredonseio upeuisse	-|--------|-|--⌫|------|
son ostelreuen is se	--|----|-----⌫--⌫-|
et iouli dis	-|--|-|--|
u o lentierssir e	-⌫-⌫-------|---⌫|
h ontes me	-⌫----|-|
fust delescondire	---|-||--------|
pet itpo ur m enoste	---⌫-|--⌫-|-⌫-|---|
don liescondesisse	--|-|-----------|
moutfuilanu it	---|--|-|--⌫-|
bien ostelés	---|-------|
et mescheuausfu	-|--|------|-|
ensie lés	-----⌫---|
ioupocleiour ueoir	--|--|-|---|----|
l oc bienp roiié le	|-|---|-⌫-----|-|
s i fubienfait e	-⌫|-|---|----⌫|
maproiiere	-|-------|
mon boinoste	--|---|---|
etsaf ille	-|-|-⌫---|
asaint esperit	|----|------|
at resto uscongie	|-⌫-----⌫-|-----|
dema nd ai	----⌫--⌫-|
s imen alaip lust ostquepoi	-⌫||-|---|-⌫--|-⌫--|--|--|
lostelga irese slongié noi	|----|--⌫---|-⌫-------||-|
qua ntiou tr ouu aien zzescars	---⌫-|--|--⌫---⌫-|-|-|-----|
t orssau uaige sourset	-⌫--|---⌫-----⌫|---|-|
k i sentre combatoie nttrestuit	-⌫||-----⌫---------⌫-|-------|
etdemen o ientm outgrant	-|-----⌫-⌫---|-⌫--|----|
fiert ee ttel org uei l	-----⌫|-⌫|--|---⌫---⌫|
uoirconteruousen	---|-----|---|-|
qu ede paourme	--⌫|-|----|-|
traisariere	----|-----|
carnule biest e	--|---|-----⌫|
n esttantfiere	|--|---|----|
neplusorgueil leusedet or	-|---|-------⌫----|-|-⌫-|
unsuil ainski resa mb loitmor	--|---⌫---|-|----⌫--⌫---|--|
hideusa desme sure	-----||-----⌫---|
issi tresl a i d e cr eat ure	---|---|-⌫-⌫-⌫-⌫|--⌫---⌫--|
neporro itnus direde	-|-----⌫-|--|---|-|
seoit ill uec	----|---⌫--|
unegrantma cu een samain	--|----|--⌫--⌫|-|-|---|
ioum aproca i uiersl euil ai n	--||------⌫|----|-⌫|---⌫--⌫|
si uick ilot	-|--||-|-|
gros selati este	----⌫-|-|--⌫---|
plusque rochisne	---|--|-----|-|
autr ebieste	----⌫|-----|
ceuia usmellé setfrontpelé	-----⌫-|------⌫|-|----|----|
s o tplusdeyy espans de	|-⌫|---|-|-|-----|-|
ore illes moussuesetgrans	---⌫----|-------|-|----|
ausilee scomm eyy uan s	---|---⌫|----⌫|-|---⌫|
lessourciexnoirsetleuisplat	--|-------|----|-|-|--|---|
iols decuetteetnesde	---|-|-----|-|--|-|
bouc efendu ecommelos	----⌫|-----⌫|----|--|
san g ler agu s etgros	---⌫-⌫--|---⌫|-|---|
bar benoiregreneatortins	---⌫-|----|----||------|
et le ment onahiersau pis	-|-|----⌫-|-----|-|--|
longe eskine corbeetbocu e	----|-----|----|-|----⌫|
apoiie ́s fu	------⌫-|-|
sou rsa macu e	---⌫|-|----⌫|
uies tusder obe si e straigne	----⌫--|-|-⌫--|-|-⌫-------|
iauoitnelin nelaigne	|----|-|--|-|-----|
ain s ot asoncolat achiés	---⌫|-||--|--|--⌫------|
yycuirs de nouuelescorchiés	-|----|-|-----|----------|
deyy tori ausu	-|-|----⌫--||
d e yybues	-⌫|-|---|
sali liuilainsl ues	---|-|------|-⌫--|
me uitui erslui	-|--|--⌫--|--|
aproc hier	-----⌫---|
sil meuolo i t	|-|-|----⌫-⌫|
ne seucque il u oloitemprendre	-|---|--|-|-⌫----|--------|
megarni del deff endre	-|----|--|----⌫----|
etquanti ouuique	-|----|-⌫-|-|--|
enpies touscoissin e semut	-|---|---|---|-|-⌫|-|--|
etf u montésd esousun tronch	-|-⌫|------|-⌫----|-|-----|
sot bienyypiesde	|-|---|-|---|-|
simesgardaet mot	-||------|-|--|
nientplusc unebiestefes i st	----|---||--|-----|---⌫-⌫-|
e tiouc uidai kei lneuist	-⌫|--|-⌫----|-|-⌫||----|
raiso nn eparler nepuist	-----⌫|-⌫|-----|-|----|
tou t es uoies tantm enhardi	---⌫-⌫-|----|---||------|
queiou lidisuacar m edi	--|--|-|--|-|--|-⌫|-|
setuies bo ine	-|-|--|--⌫--|
etilm edistiousu i un s h om	-|-|-⌫|---|--|--⌫|--⌫|-⌫-|
quels fisiouteusc om	----|--|--|---|-⌫-|
tuchiuo is	-|--|--⌫-|
io unesui autres nulefois	--⌫|-|--|-----|---|---|
quefaistuchiioum	--|---|-|--|--||
iougartles	--|---|--|
biestesdec estb ois	------|-|-⌫--|-⌫--|
gardes poursaintpiere de	-----|---|----|----|-|
ianeconnoissente lles homme	-|-|----------|-⌫---|----|
i ounequic k en liunenboscage	-⌫-|-|---||-|--||-|------|
puiston gar der	----|-|---⌫--|
biestesauuage	-----|------|
nen autre liupournulec ose	|-|----|--|---|---|-⌫--|
s el e n e stloiieu enclos e	|--⌫||-⌫-|----||------⌫|
ioulesgart	--|--|---|
se iou tepleuis	-|--|-|-----|
ianistront fors	-||------|---|
decest pourpris	-|---|-------|
ettucomment diment	-|-|------|-||--|
niaceluikisostm ouuoir	|||----|-||--|-⌫-----|
d esk e llesm e	-⌫--|-⌫---|-⌫|
uo ient uenir	--⌫---|----|
car quant i	--|----||
e npuisunet eni r	-⌫|---|--|-⌫---⌫|
destraingpar lesy ycor s	--------|--|--|-⌫|---⌫|
aspuinsque	-|----|--|
iouai dursetgro s	--|-|---|-|---⌫|
q ue lesau tres	-⌫-|--|--⌫---|
etto utenuiron m oiassam blen t	-|--⌫-|------|-⌫-|-----⌫----⌫|
sicom mepourmier ch icrier	-|---⌫-|---|----⌫--⌫|----|
si poroit fier	||-----|---|
for smo isentre elles	---⌫|--⌫||----|----|
sestoitm is	|-----|-⌫-|
que maintenantnefust	--|---------|-|---|
ensisu i de mesb est ess ire	---|--⌫|-|--|-⌫---⌫-|-⌫--|
ettume re deur oie	-|-|-|--⌫----⌫--|
quel shomtuiese tque tuqui ers	----⌫|--|-|--|-⌫|--|-|---⌫--|
uois unsche ualiers	---|--|---⌫------|
siquiercou quetro uuernepuis	-|----|--|--|---⌫---|-|---|
asses ai cui set	----|-|---⌫|-|
riennet ruis	---|-|-⌫---|
e tque uaur oiest u trouu er	-⌫|--|----⌫---|-⌫|-----⌫-|
auen turepourespr ouu er	----⌫---|---|----⌫---⌫-|
maproec eetmo nhardement	-|-----⌫|-|--⌫|--------|
o rtepro ietquieretdemant	-⌫|-|---⌫|-|----|-|-----|
quesetusessimeconseilles	--|-|-|--|-|-|---------|
ud au entureu demerueil les	||--⌫-----||-|-------⌫--|
aco u faitil uoirfaur rasbien	|--⌫|---|-|---|----⌫--|---|
dauentu renesai ierien	|------⌫-|-|--|-|---|
ne onqu esn eno i	-|----⌫-||-|-⌫|
tupooies al er	-|-----|--⌫-|
ch ipr ies	--⌫|--⌫--|
dusc au nefontaine	---||-⌫-|-------|
nenuenroies	|-|-------|
mie sans pain e	--|---|----⌫|
s etuli rendoie	-⌫|-|-|------|
chip r iestrouuera s	--|-⌫-⌫--|--------⌫|
orendroi t	--------⌫|
z z sentier kila	-⌫|------|-|-|
toute lad roite uoieiua	----|-|-⌫----|---||-|
uoelstespasem ploier	----|--|--|--⌫-----|
c artostporoies desuoier	-⌫-|---|------|-------|
adautr es u oies	||----⌫-|-⌫---|
l afontain e uerra skibout	-⌫|-------⌫|-----⌫|-|---|
elle plusfr oideque	---|---|--⌫---|--|
omb re lifait li	---⌫-|-|---|-|
plusbiausarbres	---|----|-----|
conquespeust fairenature	|-----|----|----|-----|
ett ousio urss af uel le lidur e	-|-⌫--|--⌫--|-⌫|-⌫---⌫-|-|---⌫|
kil nel epie rtpour nul yui er	|-|-|-⌫|---⌫-|---|--|---⌫-|
et si pent	-|||---|
uns bia usbacins	--|---⌫-|-----|
aune silonge caine	|--|-|----|----|
k i duredus ca lafontaine	-⌫|---|---⌫||-|-------|
alafontain n e tr ouuer as	|-|-------⌫-⌫|--⌫-----⌫-|
zzpi erron	-|--⌫----|
tel cont u uerras	--|--|-⌫|-----|
iounetes aiadire	--|-|-|-⌫-||---|
carieneui onques	--|-|-|-|-----|
etsiuera s unecapele	-|-|----⌫|--|-----|
petitem a iselle e stmoutbe l e	-----|-⌫-⌫-|---|-⌫-|---|--⌫-⌫|
selbacinuoels de liau e	|-|----|----|-||---⌫|
etdesour l eperronesp and re	-|-----|-⌫|-----|---⌫---⌫-|
lors ue rrasuneteltem peste	---|--⌫---|--|--|---⌫----|
cest b os nereme nrabieste	---|-⌫-|-|----⌫--|-----|
keu r io els neciers nedains	---⌫-⌫--⌫--|-|----|-|----|
nesli oisie l senist rontfors	--|-|-----⌫||-|---⌫---|---|
cartuuerr ass if oudroiier	--|-|----⌫-|-⌫|-⌫--------|
uente r e t arbrespecoii er	-----⌫|-⌫|-----|------⌫-|
tonner plouuoiret espartir	-----|-------|-|-------|
quesetutenpuesdepartir	--|-|-||-|---|-------|
sansgrantanui et san s pesance	---|----|---|-|---⌫|------|
tuseras demi l lourk eance	-|----|-|--⌫-⌫---|-⌫----|
quecheuali erski	--|-------⌫--|-|
yf ustonk es	|-⌫--|---⌫-|
deluilain mepartiadonkes	--|-----|-|----|------|
kimo tbi en	-||-⌫|--⌫-|
espoir sifutie rcesonnee	-----|-|-|---⌫--|-----|
etsifubienpriesdemi e di	-|-|-|---|----|-|--⌫-⌫-|
quantlarb re etlecapeleui	----||---⌫-|-|-|-----|-|
biensaidell	---|--|--||
ar brec es tlafins	--⌫--||--⌫|-|---|
q ue chouestoitliplusbiauspins	-⌫-|---|-----|-|---|----|---|
kionkessour t i er ecreust	-|----|---|-⌫-⌫--⌫|-----|
onques sifortple ust	-----|-|---|---⌫--|
quedyaueypasastunegoute	--||---||-----|--|----|
ainscouloit pardedefors toute	---|------|--|-|-----|----|
a lar breuile bacin pendre	||--⌫--|-|-|----|-----|
de lplusfin	--⌫|---|--|
orco ntruista uendr e	-||-⌫|-----||-----⌫|
onques encore	-----|-----|
en nullefoire	-|----|----|
fonta in nepoe ́scroire	-----⌫--⌫-|---⌫-|-----|
kelleboul oitcomme ya uecaude	|---|----⌫--|----|--⌫-|----|
liperrons iertdune	-|------|---||--|
esmer aude	-----⌫---|
perciétau sicommeunebous	-------|--⌫-|----|--|---|
siotyypierres	-|-|-|------|
plusflamboians et plus ue rmaus	---|---------|-|---|--⌫----|
qu enestaumatinlisolaus	--⌫||--|-|----|-|-----|
qua nt i lapert	---⌫-|-⌫|----|
sace aensient	---||------|
neuou senmentiraide	-|---⌫|-|-------|-|
lami eru eilleaueoir meplot	-|--⌫---⌫----||----|-|---|
de le tempiesteet	-|-|--------|-|
de l orage	-||----|
donti enemeti ngmie	---|-⌫|-|-|--⌫-|--|
quemaintenants e	--|---------|-⌫|
i o upeusse	-⌫-⌫|-----|
mout uolentie rsmenrepentisse	---|--------⌫-||-|---------|
quant i ou oileperronc ro usé	----|-⌫-|-|-|-----|-⌫--⌫---|
d el yaueaubacin	-⌫||---|-|----|
mes tropen yue rsaice dout	--|---|-||--⌫---|-|---|
c arl orsui	-⌫-|-⌫--|-|
lecie lsidesrout	-|---⌫|-|------|
qued eplus de qu atorze pars	--|-⌫|---|-|--⌫-----|---|
mefer oi t es iex lie spars	-|---⌫--⌫|-|--|-|-⌫----|
nuestoutmes lemesle	---|---|---⌫------|
gietoient pleuueetnoif etgresle	--------|-----|-|---|-|-----|
tantiertli	---|---|-|
tanspiesmes e t	---|------|-⌫|
