alonordeu eta	||---|--|-||
demar tirsdep arl e	-|---⌫---|-|-⌫-|-⌫|
souent eren t p risetocis	-----|----⌫|-⌫--|-|---|
qu i creoient	--⌫|-------|
a quilorcuers tor né auoient	|--|--|----|---⌫--|------|
qua ntoimargeri te dire	---⌫-|-|-------⌫-|---|
etle torm entet	-|-|----⌫--|-|
le martire	-|------|
quecilpo ramordeusofroient	--|--|--⌫|---|--|--------|
la moien tet creoie nt	|-⌫-----⌫|-|------⌫-|
uo uaanostre creator	--⌫-||-----|------|
a estrecastepors amo r	|----|----|--||---⌫|
etde xamasacastee	-|--⌫|--|-|-----|
main tinten b onte e	----⌫---|-|-⌫----⌫|
enchanpaloit berbisga r doit	-|----|----|-----|--⌫-⌫---|
q uantsa n oriceconmandoi t	-⌫---|-|-⌫----|---------⌫|
o t meschines desonaa ge	-⌫|--------|-|--|--⌫-|
menoit ber bis enpast ur age	-----|---⌫--|-|----⌫--⌫--|
olimbriusuniorlaui t	--------|-|--|-|--⌫|
berbisgardoitcedit lescrit	-----|------|-|--||-----|
olimbriusprouoses toit	--------|-----|--⌫---|
enanthioce nau oi tdroit	-|-------||--⌫--⌫|----|
d e romeauoit la pro uoste	-⌫|---|----|-|---⌫----|
partot auoitgrant poeste	-----|----|----|-----|
descrestiensfa ire pener	--|--------|--⌫--|----|
y dles faire	-⌫---|----|
de ferlioit	-|--|----|
lescrestiens queilpreno it	--|--------|--|-|-----⌫-|
grantconpaignedecheualiers	----|--------|-|---------|
menoitodluietdesomiers	-----|-|--|-|-|------|
m argeriteuit sil a ma	-⌫-------|--|-||-⌫-|
cheual iers li	------⌫---|-|
qu esamoilli e rdeli	--⌫|-|------⌫-⌫|-|-|
s e elefrancefemeestoit	-⌫|--|-----|---|-----|
eleert altrui anc ele	--|--|-----|---⌫--|
po r c o queleert	--⌫|-⌫|-|--|--|
etgente etbele	-|----|-|---|
en sognantagela tendroit	-|---------|-|-------|
delsien agr ant	--|---||--⌫--|
plentear oit	-----|--⌫--|
q uant cil ladamoiselepristrent	-⌫---|--|-|--------|--------|
et li mostrerentetlidistre nt	-|-|---------|-|-|------⌫-|
elcon mencafortac rier	-|---⌫----|---||-⌫---|
etihesucrist a ap ele r	-|----|----||--⌫---⌫|
aies merc isired emo i	---|----⌫|---|-⌫|--⌫|
m ain tienmoi di stelea	-⌫---⌫---|--|--⌫-|--||
ne perdema m eole s felon s	-|----||-⌫-⌫||--⌫|-----⌫|
quifont lespersecut ions	--|---|--|--------⌫---|
faimoib iaussire	--|--|-⌫---|---|
quetos tans tepuisseaourer	--|--|---|-|-----|-----|
quemafoine	--|-|--|-|
soitenpir ie	---|-----⌫-|
moieameconchiie	---|--|-------|
ma sainteene	-|------|-|
s oit muee	-⌫--|---|
necasteequetai uoee	-|-----|--||-|---|
saluemoi deu	----|--|--|
etmesocordefeleni e	-|-|----|-|------⌫|
licheua li erreuindrenttost	-|-----⌫--⌫-|---------|---|
et raconterentalprou ost	-|----------|-|----⌫--|
q ue lameschine quiluoloit	-⌫-|-|-------|-|-|-----|
asonoes pas	|--|--|--|
necou e n oit	-|---⌫-⌫-⌫--|
carelecroiteni celde	--|--|----|-|-⌫--|-|
queiui ontencrois pené	--|--|--|-|----|----|
o lim briuss	-⌫---⌫----||
a soi uenir lac onmanda	|--|----|-|-⌫------|
quantdeuantluif uamenee	----|-----|--|-⌫|-----|
di uadequel	--⌫-|-|---|
gentestunee	---|-|-|--|
ce lere spontdef ran cege nt	--⌫-|--⌫----|-|-⌫---⌫-|--⌫-|
sont danthioche miparent	---||--------|-|-----|
diuaconmen t as tuanon	---|------⌫|-|-||--|
marger item apelelon	------⌫--||----|--|
que ldeudistilaore s tu	---⌫|--|---|-|----⌫|-|
io croidist	-|---|---|
eleel ro ii h esu	--|-|--⌫|-⌫-⌫--|
c ro i studistil enihesucris t	-⌫--⌫-⌫|-|---|-|-|----|----⌫|
desiuiso cist	--|---|-⌫---|
o iedisteleenceluicroi	-⌫-|---|--|-|----|---|
cilsoi ttos tans	--|---⌫|--|---|
garde demoi	----|-|--|
conment dist iltepuetaidier	------|---|-|-|---|-----|
l aissacrucefier	-⌫----|--------|
la uirgedists eiluolsist	-|----|---|-⌫|-|------|
ia nu l sersmal	-|--⌫|---|--|
ne lifeist	-|-|----|
maisillestuet ensi mo rir	---|-||-----|---|--⌫--|
por sonpople	--|--|----|
denfergarir	|----|----|
tu nes arasia ta ntparler	-|-|-⌫---|-|--⌫-|-----|
f acesret orne r	-⌫---|---⌫----⌫|
uoiedeu erite	---|-|-⌫----|
iouoisauolente	-|---||------|
acel ui p o r uoir mesui prise	|---⌫-|-⌫-⌫|---|-|--|----|
qui tre stot aen	--|---⌫---||-|
liprouosdist ireement	-|-----|---|-------|
amoi dirasprocainement	|--|----|-----------|
senos dex neueus aorer	-|--|--|-|---|----|
ioteferai formen tpener	-|-|----|------⌫|----|
en torment m orir tefer ai	-|------|-⌫---|-|---⌫-|
enfuardanttonco rsmet rai	-|-|-----|--|--⌫-|---⌫--|
letiendeguerpi setta	-|---|-|------⌫|-|-|
richementremanrasod	--------|-------|-|
ri che f emedetoiferai	--⌫--|-⌫--|-|--|----|
ete nmon li ttemeterai	-|-⌫|--|--⌫|-|------|
lauirgedis t c enestnoient	-|----|---⌫|-⌫||--|-----|
moncorsla iraimetrea	--|---|--⌫---|----||
por ceque m amesoit saluee	--|-|--||--|---|-----|
uir ges soitpose e	---⌫--|---|----⌫|
del totmeuoilalitenir	--|--|-|---||-|----|
bienlitendrai ceste prome s e	---|-|------|----|-----⌫-⌫|
nem ente nrapormenteresse	-||-|--⌫--|--|---------|
biendoito nporc eluim orir	---|---|-⌫|--|-⌫---|-⌫---|
nostosuoutmorts offrir	--|--|---|---|-⌫-----|
li pr ouo s	-|--⌫---⌫|
pre ntacoro cier	---⌫-||----⌫---|
etmargeritea manecier	-|--------||-------|
conmandaqu el fust hautpendue	-------|-|-|---|---|-----|
eoue rgesnuebatue	||--⌫---|--|----|
uers le cielgarda	---|-|---|----|
a son s eignorihesuparla	|--|-⌫-----|----|----|
ent oiaimesp era ncee ue	-|-⌫-|-||---⌫---⌫--|-⌫-|
ia n esera i mai s	-|-⌫|----⌫|---⌫|
co nfundue	--⌫------|
beneoitso itsiretonnon	------|--⌫-|---|--|--|
biaussir eaiesmerci	----|---⌫|---|----|
t olmoi de s mainsal an emi	-⌫-|--|--⌫|----|||--⌫--|
queio nefac eporpaor	--|-|-|---⌫|--|---|
cosedontioper de tamor	---|---|-|---⌫-||---|
q uant e lefaisoitsorison	-⌫---|-⌫-|------||-----|
liiugeere nt t otenuiron	-|---|---⌫-|-⌫-|------|
quil ec orslio nt	--|-⌫|-⌫--|-|-⌫-|
olesuergestotnua	|--|-----|--|-||
cala terre cha oitli	||-|----|---⌫--|-|
par les costesetpar	--|--|-----|-|--|
olimbriusliuintdeuant	--------|-|---|-----|
amargerit e dist	|--------⌫|---|
s etuenmo i croir euo l oies	-⌫|-|-|--⌫|-----⌫|--⌫-⌫---|
a merprouiaroies	-⌫--|---||-----|
t e lsi auoit qu il esgardo ient	-⌫-⌫-||----|--⌫||-------⌫---|
qui po rpitie deliploroient	--|--⌫|----|-|-|--------|
p o rla pa inequel e soffroit	-⌫-⌫|-|--⌫--|-|--⌫|-------|
etporle sanc	-|--|-|---|
queius chaoit	--|--|-----|
aus lid istpi tie auo ns	--|-|-⌫--|--⌫--|---⌫-|
d e toique tormenterueons	-⌫|--|--|--------|----|
porcoiestu si	--|--|-|-|-|
mesc r eue	----⌫-⌫--|
quel prouarasseon	---|---|---|-|-|
multsepaine de	---|-|----|-|
porc oinefais	--|-⌫-|-|---|
quepuissesuiure	--|------|----|
otlis aineetd eliure	-|-|-⌫---|-|-⌫-----|
marge ritearespondu	-----⌫---||-------|
haifelonetmescreu	--|----|-|------|
tantsauriésma lcons eillier	---|-------|--⌫|----⌫------|
ale ́sfaitesuostre mestier	---⌫-|-----|-----|------|
ionecriempas uostrema nace	-|-|----|--|-----|--⌫---|
quenusdeuos pordeume	--|--|-|--|--|--|-|
c orseste npaine mis	-⌫--|--|-⌫|----|--|
enparad is	-|-----⌫-|
porlespaine sque	--|--|-----⌫|--|
m ame s era d e	|--|-⌫--|-⌫|
pain efors	----⌫|---|
en deu del	-|--|--|
cieldeuriés	---|-------|
cars acrea ncee sttoteuoire	--|-⌫|----⌫--|-⌫-|---|----|
oeu reet meten sses ami s	---⌫-|-|--|--⌫|--|---⌫|
felons estesneuoscroir ai	-----|----|-|--|-----⌫-|
nei auosde xnaouerai	-|-⌫|--|--⌫||------|
quenec riemem onauersaire	--|-|-⌫----|-⌫-|--------|
demalque ilmepuisefair e	-|--|--|-|-|----|----⌫|
margeriteert enoris on	--------|--|-|----⌫-|
sacharbat oient li felo n	-|---|---⌫----|-|----⌫|
olimbriuset autre gent	--------|-|----|---|
q u iol ui	-⌫-⌫||-⌫-|
e rentat orment	-⌫---||-⌫-----|
quantilu oientdesachar	----|-|-⌫----|-|-|---|
pars le sancespandre	---|-|---|-------|
l orexet lo r chierescouroient	-⌫-|-|-|--⌫|------|--------|
caresga rder	--|----⌫---|
nelepoo ient	-|-|---⌫---|
lip rouosuint	-|-⌫----|---|
porcoineueus	--|--|-|---|
tuore ndroit	-|---⌫-----|
nosdexaorer bonement	--|--|----|-------|
quenemuires s imalem e nt	--|-|-----|-⌫|-----⌫-⌫-|
porcoin astu mercidetoi	--|--||-|-|----|-|--|
s eui ureueu sfaim on talent	-⌫|--⌫--|---⌫|--|-⌫-|-----|
que nem uires si m alement	--|-|-⌫----|-|-⌫------|
c eleres ponthardiement	-⌫--|---⌫---|---------|
feraiiatontalent	----|-|--|-----|
semescorsto n talentfais oit	-|--|---|--⌫|-----|----⌫--|
mameenenfero toi	|--|-|----||--|
machar uoi lquesoitt or mentee	-|---|---⌫|--|---|-⌫--⌫-----|
por estremame elciel	--|----||--|-|---|
fuelgrieft o rm ent	-|-|----|-⌫-⌫--⌫--|
sachar naureeespessem ent	-|---|-----|--------⌫--|
la uirgeacostumeement	-|----|------------|
ceste o risonf ai soit	----|-⌫----|-⌫--⌫---|
lan orice a lachartr ealoit	-|-⌫----||-|------⌫|----|
e tpain et uin liaportoit	-⌫|---|-|--|-|-------|
donoitli parune fe nestre	-----|-|--|--|--⌫-----|
paruel eu eoi tsonestre	--||--⌫|-⌫---⌫|--|----|
et le sor i sons	-|--⌫|--⌫-⌫---|
que marg eritedire	--|----⌫----|---|
un i orsesorisons faisoit	-|-⌫-|--|------|------|
marg eritesiconsoloi t	----⌫----|-|--|-----⌫|
issiruitdun a ngleun drag on	----|--||-|-⌫---|-|----⌫-|
no irsertet dor ib lefacon	--⌫--|--|-||--⌫--⌫-|----|
fuardantdesonne s	-|-----|-|--|--⌫|
fun noir entorsonco l a uoit	--|---|----|--|--⌫|-⌫---|
barbeau oitd	----|--⌫--||
orde fe r lesde ns	-|-|--⌫|--|--⌫-|
lesioexot uairsconm aserpen s	--|---|-|----|---||------⌫|
puor faisoitentorluigrant	---|------|----|--|----|
glaiue auoitens a	-----|----|-|-⌫|
mai n tranc a n t	---⌫|-----⌫-⌫-⌫|
corocha soie tsisifla	------|--|-⌫|-|----|
par lachartr egrant fuie ta	--|-|------⌫|----|-|--⌫-|
uirgee tp esa nce	----|-⌫|-⌫---⌫--|
maisen deuauoitsafiance	---|-|--|----|-|-----|
alaterre saienoil la	|-|----||-------⌫-|
mains estendue ssiora	----|--------⌫|-|--|
elle q uipuesgarder	---|-⌫-|---|-----|
et ciel et	-|---|-|
ter re etair etmer	---⌫-|-|--|-|--|
pa r tote stuunsdexme isme	--⌫-⌫--|-⌫|-|--|--|--⌫---|
quipoesteas	--|-----|-|
qui a lamerriuedonas	--||-|--|---|----|
inferbrisa s sathan lias	----|-----⌫|-----|---|
q ue oiesm orison	-⌫-|---||-----|
qu epu isseuaincr ecestfelo n	--⌫|--⌫---|------⌫|---|----⌫|
que il malneme	--|-|--|-|-|
puissefa i re	-----|--⌫-⌫-|
n e asa fosseauo clui traire	-⌫||-|----|---⌫|--|-----|
ce lui goule baee	--⌫--|----|---|
a bienpres	|---|---|
latoteengolee	||---|------|
quantm argerite se	----|-⌫-------|-|
et de la sainte	-|-|-|-----|
croissar ma	----||--⌫-|
li deabl eslagou l e	-|-----⌫-|-|---⌫-⌫|
toteabien pres letra nsgloti	---||---|---|-|---⌫------|
ma islacroisqueleotfait	--⌫-|-|----|-|--|-|---|
d e cr ist	-⌫|--⌫--|
cruteldragoncreuerle fist	---|-|-----|-----|-|---|
del dragon ma rgeriteissi	--|-----|--⌫------|---|
quionquesnulmaln	--|-----|--|--||
deuer ssenestreset orna	-----⌫|-------|-|-⌫---|
un autre deabl ee sgarda	-|----|-----⌫|-⌫-----|
quiauoitlesmainset les pies	--|----|--|----|-|--|---|
et lesienolsestroit	-|--|-----|------|
dont distla u irgea	---|---|-|-⌫---||
son s eignor	--|-⌫-----|
a qui eleo ttornés	|--|--|-⌫|-----||
io gloire fi ton non et	-|------⌫-|--|--|-|
c arlede ableuencuuoi	-⌫-|-|--⌫---|----|--|
etsa puorarieremise	-|-|---|-----|---|
dont i o quid oieestresosprise	---|-⌫|----⌫--|----|-------|
ihesuuoisreluisan t	----|---|--------⌫|
sor moibon esodors	--|--|---⌫-|----|
lacolonbe e st	-|------|-⌫-|
delcielue nue	--|---|--⌫--|
confort aiatendue	------|-|------|
ces t saintespirqueiatendo ie	|--⌫|----|----|--||------⌫-|
sortoutesriensuoloie	--|-----|----|-----|
a toi sire	|--|---|
gracesen rent	-----|-|---|
ontrafuieme nt	--|--------⌫-|
qui desuirgesesgouuerneres	--|--|-----|-|----------|
cor on e as ma rt i rs etsaluer es	---⌫--⌫|-|--⌫--⌫-⌫-|-|------⌫-|
quiui setreg nescecreon	--|--⌫|-|---⌫--|-|----|
dontleuasus	---|---|--|
io ne puis uiuredist il plus	-|-|---|----|---|-|---|
marg eritelaimoiatant	----⌫----|--|--|----|
quenemail lesp lus	--|-||---⌫--|-⌫--|
q ueio teuo ienori sons	-⌫-|-|-|--⌫|-|---⌫---|
poruoiretenaflicti ons	--|---|-|-|-------⌫--|
t enuo ierufon	|----⌫-|----|
quiert sanblab le	--|--|-------⌫-|
d e dragon	-⌫|-----|
lecors de to i asorbesist	-|---|-|--⌫|---------|
ettauirginite tolsist	-|-|--------|------|
m ais tu l asparla crois oc is	-⌫--|-||-|--|-|----|--⌫-|
dontuengementdelias	---|--------|-|-|-|
de moitepritantsolement	-|--|-|--|---|-------|
quen e mefacesensement	--|-⌫|-|----|-------|
dontla l a uirgeasceuelspris	---|||-⌫|----|-|-----|---|
et cont r e terre	-|----⌫-⌫|----|
a laterr e laiu s	|-|----⌫|||--⌫|
sors onchiefm ists on dest repie	--|-⌫-|----|-⌫--|-⌫-|----⌫-|--|
puisdist dragon	---|---|-----|
estae npa is	---|-⌫|--⌫-|
en tremetestu iamais	--⌫-------|-|-----|
detolir mau irgi nite	-|----|-|-⌫----⌫---|
io suiespousedamede	-|--|------|-----|
nau o itencor	|--⌫-⌫-|----|
quant le soleilrelu ireuit	----|-|-----|----⌫--|--|
de dens l a chartreoue leest oit	--⌫---|-⌫|------|-|-⌫-|---⌫--|
ouelele dragon	-|--|-|-----|
lasuselciel uitlac roiscrist	-|--|-|---|--|-|-⌫---|----|
etlacolombeuitquidist	-|-|------|--|--|---|
boneeureeuirgees tu	---|----|----|-|-|
mar geritequi	---⌫-----|--|
ledr agonque creuerfeis	-|--⌫---|--|-----|---|
ace quesos	|-|--|--|
tonpie a smis	--|--|-⌫|--|
porcequetauirg init e	--|-|--|-|----⌫----⌫|
asco nfermeeadamlede	-|--⌫------||------|
etp orcecasde uenmemo rie	-|-⌫-|-||-|--⌫|-|----⌫--|
estpr es tetacorone en glo ri e	--|--⌫--⌫-|-|-----|-|---⌫--⌫|
enpa r adisouelt atent	-|--⌫-⌫---|-|-||----|
nia nu len pe echeme nt	|||--⌫|--⌫--⌫------⌫-|
quantmargeritece o i	----|--------|-|-⌫|
a damled eu grac esrendi	|------⌫-|----⌫-|----|
aldiable seretorna	-|-----|-|------|
hardiementlidemanda	---------|-|------|
sonnon d emandeet s es mesti er s	--|--|-⌫-----|-|-⌫-|-----⌫--⌫|
ci lrespontdameu olontiers	--⌫|------|---|-⌫--------|
t e diraiceque tuuou r as	-⌫|----|-|--|-|---⌫-⌫-|
mai stonpiequedesor moias	---⌫|--|--|--|-|--|--|-|
petitetr eleuer	------|-⌫-----|
puiss e r esa lener	-----⌫|-⌫---⌫----|
la uir gefistce qu	-|---⌫-|---|-|-|
unpetitet sonpie	-|------|--|--|
belgib usdistilai	------⌫-|---|-|-|
nefai se moicon batre non	-|--|-|--|---⌫----|--|
co ntre leshomesde cest mont	--⌫---|--|----|-|---|---|
deque l mestier qu	-|---⌫|------|-|
il onquesso nt	-|-----|--⌫-|
ain cmaisn epoi	---⌫|---|-⌫|--|
estreuenc us	----|----⌫-|
maisormefr oiss es	---|-|-|--⌫----⌫-|
me suertus	--⌫|-----|
tuseulem as	-|----||-|
to tauuglé	--⌫|------|
etmon f rereru fintué	-|--|-⌫---|--⌫--|---|
bienque dexmaintentoi	---|--|--|----|-|--|
puet faire demoi	---|----|-|--|
d esque tucrestiene fus	-⌫----|-|--------|--|
e tquetu primesreceus	-⌫|--|-|-----|-----|
l a celes ti el conpaignie	-⌫|-----⌫--⌫-|---------|
gloriedelciel	-----|--|---|
asde s eruie	-|--⌫-⌫----|
marger ite beleesetgente	------⌫--|---|-|-|----|
endamledeasmist	-|------|-|--||
les igne deuen	-|-⌫---|--|-|
tes d exas	--|-⌫-|-|
parco imeuen quis et lias	--|--⌫|-|---⌫---|-|---|
i osui cilqui tos iorssa ns fail le	-⌫|--|--|--|--|---|--⌫-|----⌫-|
u e rslesbon shomesfai bataille	-⌫-⌫-|--|---⌫|----|--|-------|
lorsens faisoscurer	--|---|---|------|
etlorsalueor	-|--|------|
celsqui io	---|--|-|
truisdormant esueil	----|------|-----|
etdepechierlordoins	-|-|------|--|----|
puisesueillier	---|---------|
enlordormant lesfaipechier	-|--|------|--|--|------|
entoscexai pa rtque	-|--|--|-|--⌫-|--|
seruir etua insetuuis	-----|-|--⌫--|-|---|
quin a uers deus	--|||---|--||
quantsaint egentet fe rm e uoi	----|-----⌫|---|-|--⌫--⌫|--|
sim departcon me de	-||-----|---⌫-|-|
margerit etumas uencu	--------⌫|-||-|----|
tapuissance maconfundu	-|--------|||-------|
lasmoicaitisma leuré	--|--|-----|--⌫-----|
uneu irge maso rmont é	--|-⌫---|||--⌫-----⌫-|
seunsproudomeuencum e ust	-|--|-------|----||-⌫--|
asses me nr eh onte	----|--⌫--⌫|-⌫---|
merueillesuoide	---------|--|-|
telmescine	--|------|
p assemedicin e	-⌫---|-------⌫|
quiau encusonpar ente	--||-⌫---|--|---⌫---|
e tpereetme re	-⌫|---|-|--⌫-|
dedeu su er tus bie n a o rnee	-|---⌫|-⌫--⌫--|---⌫|-⌫-⌫---|
l adexa sonoes atornee	||--||--|--|------|
lauois deli etlamanace	-|---|-|-|-|-|-----|
led e abledragon en chace	-|-⌫-⌫---|-----|-|----|
multu autpetitetma uertu	---|-⌫--|------|-|----|
dont respondi	---|-------|
l a uirges age	-⌫|----|-⌫--|
di moi disteleto n lignage	-|--|---|--|--⌫|------|
et quit e donepoest e	-|--|-⌫|---|-----⌫|
degaiti er lesanceles	-|-----⌫-|--|------|
li dyablesli respon di	-|------|-|------⌫-|
margerit eprimesmedi	--------⌫|-----|-|-|
dont telu ieaset	---|--|-⌫-|-|-|
sifo rt f oi	-|--⌫-|-⌫-|
enconmen tdexentraentoi	-|------⌫|--|----|-|--|
ceque io suideladeugrace	-|--|-|--|-|-|--|----|
son pl aisir faitdemoiet face	--|--⌫----|---|-|--|-|---|
m arg eritedist il entent	-⌫---⌫----|---|-|-----|
cequet e uoildire briefment	-|--|-⌫|---|---|--------|
nost reroi anonsathanas	----⌫-|--||--|-------|
del c iel chai	--|-⌫--|---|
enenfe rbas	-|----⌫|--|
non e ninfe r	--|-⌫|----⌫|
quielcielot	--|-|---|-|
nonlucifer	--|------|
leli g nagesauoir	-|--⌫-⌫---|-----|
setuesliuresesgardoies	-|-|-|-----|---------|
e nos pasa	-⌫|-|--||
to iconter	--⌫|-----|
cariouoideu atoiparler	--|-|--|--||--|-----|
maisiotepritantetrequi er	---|-|-|--|---|-|-----⌫-|
q uidetamainnemato uchier	-⌫-|-|-|---|-||---⌫-----|
m ais unlie n prensime	-⌫--|-|---⌫|---|-|-|
conmesalom ons ensa	----|-----⌫--|-|-|
d edensun uascelnose nclost	-⌫----|-|-----|--|-⌫-----|
puisui n tdebab iloin eu nost	---|--⌫-⌫|-|---⌫-----⌫|-⌫|--|
qui i erusa l em escilla	--|-⌫-----⌫-⌫-|------|
etleuaiscel	-|-|------|
d arain b risa	|----|-⌫---|
quidaauoir troué	----|----|-----|
etgrant plente dargentetd or	-|----|-----||-----|-||-|
etquant nosdel ua iscel issimes	-|----|--|--|--⌫----|------|
partot le m ont nosespandim es	--|--|-|-⌫--|--|--------⌫-|
tai s toidist margerite tais	---⌫|--|---|--------|---|
na isoing detaparole	|-⌫|----|-|-|-----|
curedeton serm o n	---|-|--|----⌫-⌫|
nedis setricherie non	-|--|-|--------|--|
quant ot seditsiseseigna	----|-|-|--|-|-|-----|
etdist dyablearier e ua	-|---|-----|-----⌫|-|
aita nt laterreentrou ri	|---⌫-|-|----|------⌫-|
etli d iableenchai	-|-|-⌫----|-|---|
diluecsen tornalideabl e s	|----||-|----|-|-----⌫-⌫|
qui ni po testr eplus	--|||--⌫|----⌫|---|
e stabl es	-⌫-----⌫-|
alautreior fu de sf ermee	||----|--|-|--⌫--⌫----|
lauirgeet alprouo st menee	-|----|-|-|-----⌫-|----|
margerite fa itilcroi moi	--------|--⌫-|-|---|--|
renoi e ihesu etsaloi	-----⌫|----|-|-|--|
si tienla loiquenos tenon	-|---|-|--|--|--|----|
etcro i la loiquenouscreon	-|---⌫|-|--|--|---|----|
ma rgeritelirespondi	--⌫------|-|-------|
tu deuroi es es treanemi	-|------⌫-|--⌫--|----|
acesydles quetuaores	|--|----|--|-|----|
coses porcoi ho nores	----|--|--|--⌫----|
leroides cie ls doishonorer	-|--|--|---⌫-|---|------|
quit e puet	--|-⌫|---|
dampner etsal ue r	------|-|---⌫--⌫|
notel pro uostque coro cier	|-|-|---⌫---|--|----⌫---|
ma rgeritefistdespoi llier	--⌫------|---|------⌫----|
etp uis a lceual fust leuer	-|-⌫--|-⌫|----|---|----|
eta p resbrando ns	-|-⌫-⌫--|------⌫-|
ceu a lsfus t unstormens estoit	---⌫-⌫-|---⌫|--|------|-----|
u onen ce ualcons	|-|-|--⌫------|
qu ant lauirge elceualfustsist	--⌫--|-|----|-|----|---|---|
et uit lefuardantsi dist	-|--|-|-|-----|-|---|
siredex moncu er	---|--|--|--⌫-|
remaigne felon ie	-------|-----⌫-|
olimbriusliadontdit	--------|-||---|--|
mo rirte stuet iusc	--⌫--||-⌫----|---|
m ai s p orcoitel airasmorir	-⌫--⌫|-⌫-|--|-|-⌫----|----|
quanttu demortte pues garir	----|-|-|---|-|---|----|
iot elai rai	-|-⌫|---⌫--|
margerite distnon ferai	--------|---|--|----|
dontao n faitfu	---||-⌫|---|-|
et entorbrandonsa lumer	-|----|-------|-⌫----|
detotespar s	-|----|---⌫|
le fusmis fu	-|--|--|-|
mais sa insespi rparsauertu	---|--⌫--|----⌫|--|-|----|
es tainst le	--⌫-----|-|
fuet lachalor	-|-|-|-----|
que laui rge nio tdolor	--|-|--⌫--|||-⌫|----|
dont larefisto limb rius	---|-|-----|-⌫----⌫---|
delceual fustdescend re i us	--|----|---|-------⌫-|-⌫-|
etpiese tmains li fistloie r	-|---|-⌫|----|-|---|----⌫|
l e ch iefli fistauantplongier	-⌫|--⌫--|-|---|----|-------|
en unecuuedoile plaine	-|--|---||---|-----|
margeriteaquelquepa in e	--------||------|--⌫--⌫|
