molzpelerinsqu iuuntalmunt	---|-------|--⌫|---|-|---|
cenqueditoutpr e mie re ment	--|--|--|--|--⌫-⌫---⌫--⌫---|
d oncseporpenseseinta utbert	-⌫--|-|-------|----|-⌫-----|
ques e deus	--|-⌫|---|
ueltq uenseit plus cert	---|-⌫|-|---|---|---|
queang lesd itli	--|---⌫--|-⌫-|-|
lati ercefeizencor	-|--⌫---|---|----|
querplusorsfeizest auenuz	---|------|---|--|-----|
q uedeabl e ad eceuz	-⌫-|-----⌫||-⌫----|
m a nier emainzermite s	-⌫-⌫----⌫|----|------⌫|
et autresgenz degranzmeri tes	-|-----|---|-|----|----⌫--|
eliapostr escen diseit	|-|------⌫-|--|-----|
quenus ho emcreirenedeu eit	--|--|--⌫-|-----|-|---⌫--|
esp eri t tre squeproueieus t	---⌫---⌫|---⌫---|-----|---⌫|
sil iertleals	|-|---|----|
ou dedeu fust	-|-|--|---|
e ncorce u	-⌫---|--⌫|
quilencui de	-|-|-|---⌫-|
estre d ec eu	----|-⌫--⌫-|
pois auint siqu il	---|----|-|-|-|
sedorme it	-|-----⌫-|
enzen sach ambrec umsolei t	--|-|-|--⌫----|-⌫-|-----⌫|
lianglesuintcenli	-|-----|---|--|-|
i rie mentesibo uta	-⌫---⌫---||-|--⌫--|
deseisde izenmiele front	-|---|--⌫-|----|-|----|
encoreilp iertf eiz e nrount	-----|-|-⌫---|-⌫--|-⌫|----|
icilpertus que il li	---|-----|--|-|-|
quantlebota icenli	----|-|---|---|-|
q ueilalastsei nzdemor ei r	-⌫-|-|----|---⌫-|-----⌫--⌫|
lem ostierfaire	-|-⌫-----|----|
ecommencier	|---------|
ensonle montlaou u e i rreit	-|--|-|---|-|-|-⌫-⌫-⌫----|
liéuntor qui ilueceste it	---|-|--|--|----|----⌫-|
m ene zi fu tenlarr ecin	-⌫---⌫||--⌫|-|----⌫---|
litors aueitfeitlechemin	-|---|----|---|-|-----|
totento rlui lao use reit	--|----⌫|--|-|-⌫|--⌫---|
lifundemenzqueilfereit	-|--------|--|-|-----|
quantcen out d i tsi sena la	----|--|--|-⌫-⌫|-||-|-⌫-|
doncs outtres bien	---|-⌫--|---|---|
pasnedouta	--|-|----|
l i euesquesquedexuo le it	-⌫|-------|--|--|--⌫--⌫-|
quecefustfaitque	--|-|---|---|--|
cil diseit	--|-----|
enl ende mainmatinl eua	-||----⌫---|----|-⌫--|
s eschanoinesaseimanda	-⌫-|--------||--|----|
qu antil furent	--⌫--|-|-----|
tuitassenblei	---|--------|
sa uision loradcontei	-|-----|--|-|-----|
enprei s lor mostrelep ertus	------⌫|--|-----|-|-⌫----|
quilifutfaizel chiefdesus	--|-|--|---|-|----|----|
tuit lidient co mmune ment	---|-|----|--⌫-----⌫---|
que il fac e ha stiueme nt	--|-|---⌫|--⌫-------⌫-|
e pa rson angle am mo nesté	|--⌫|--|----|--⌫--⌫-----|
q uerbienuiaz	-⌫--|---|---|
en encorreit	-|--------|
lire dedeuseil	|--|-|--|-|-|
n elfaseit	-⌫||-----|
chascun parsei	------|--|--|
moltsesbahit	---||------|
dec e lpertusqueel chief	-|-⌫-⌫|-----|--|-|----|
quantceunt	----|-|--|
sainzautbert	----|------|
ases barons	|--|-----|
ic en mostra	--⌫-|-----|
et ad uileinst restoz	-|-|------|-⌫-----|
que oue c luipar banal assent	--|---⌫|--|--|--|--⌫-----|
elor ostuizouels	|--|-----|-|--|
portassent	---------|
uoog esbes chese p iscois	----⌫-|---⌫---||-⌫-----|
eco gniesatrenchierbois	|--⌫----||--------|---|
iluin ta lmont	-|---⌫|-⌫|---|
le tor em blé	-|--|--⌫---|
des ustroua	---⌫-|----|
cil quilaueitilluec	--|--||----|-----|
unecordelon c	--|----|---⌫|
loutfait que	|--|---|--|
eparle pestrese teust	|--|-|-----|-|----|
lilerr ess	-|----⌫-||
ertbienporpen sez	--|---|------⌫--|
s eilmuisistquil	-⌫|-|------|-|-|
fust tro uez	---|---⌫--|
moltfutsage s quili	---|--|----⌫|--|||
asseizfu tplusquil	-----|--⌫|---|--||
allantuenant entorla	-----|-----|----|-|
litor sou t fait u negrant t race	-|---⌫|--⌫|---|-⌫-|----|-⌫---|
l ieuesquesla ueieuit	-⌫|-------|-|---|--|
sicumlianglesliout	-|--|-|-----|-|--|
lorsprentle tor	---|----|-|--|
sil arend u	-|||----⌫|
auproudomm equilout perdu	-|--------⌫|--||--|----|
qu e liangles ditli aueit	--⌫|-|-----|--|-|----|
qui ller endistqua n til laureit	-|-⌫|-|-⌫-----|---⌫-⌫|-||-----|
donc fistu enirles	---|---|-⌫---|--|
o uur ierssus	-⌫---⌫---|--|
si c ommandaametr e iu s	-|-⌫------||----⌫|--⌫|
etad abatree tadtrenc hier	-|-|-----|-⌫|-|-----⌫---|
cenquin oi seit adcommenchier	--|--|-⌫--⌫---|-|----------|
celeiglie s equefairede it	---|-----⌫-⌫|--|----|--⌫-|
che sc unsde	---⌫--⌫--|-|
els oure en so nendreit	--|---|-|--⌫|------|
quantli leus	----|-|---|
futaplanié	--|-------|
dousrochesuntenmie	---|-----|--|----|
q ueilne poest f ors geter	-⌫-|-|-|----|-⌫--|----|
par nulengiengne remuer	--|--|------|-|-----|
sainzautbert estdonc e smaié	----|------|--|---|-⌫-----|
meis damle deula	---|-----⌫--|||
c o ns eilli é	-⌫-⌫--⌫-----⌫-|
presdiluecout uneuilete	---||----|--|--|-----|
izaue itnonmoltpetitete	-|---⌫-|--|---|-------|
bains ilmes tunspaisa ns	----|-|---⌫|--|-----⌫-|
qui de n fanzert	--||-⌫-⌫---|--|
a s sezmananz	-⌫-⌫--|-----|
douzefil zo u tg ranz epe tiz	----|---⌫|-⌫-⌫|-⌫---||--⌫--|
od luiesteientt u ita iz	-|--|-------|-⌫-⌫-||-|
en sondorm ant	-|--|----⌫--|
lan gleslidist	|--⌫---|-|---|
qu il l e ua st sus esi uenist	-|-|-⌫-⌫--⌫-|--||-|-----|
o se senfanzla	|--⌫|-----|-|
pierreoster	-----|----|
quia autbert toutsonouur er	--||------|---|--|----⌫-|
faireneueltde morement	----|-|---|--⌫-------|
l ieu ete mprunment	-⌫---⌫|--⌫--------|
pois prist	---|----|
sesfilzsi sunt alé	--|---|-|---|---|
laoudex liou t commande ́	-|-|--|-|--⌫|--------⌫|
quant iluint la sireconta	----|-|---|-|-|------|
as eint autbert	|-⌫---|------|
cenque o i a	--|--|-⌫||
quantlisainzhu em	----|-|----|--⌫-|
dex graciamol t s esioi	--|-----|---⌫||----|
duncu intbain s sis	---|-⌫--|----⌫|-||
e stsegni ez	-⌫-|-----⌫-|
aligran tperronapoiez	|-|----⌫|-----|-----|
luiesi filzsi	--||-|---|||
u unt bota nt	-⌫--|----⌫-|
maisilnesmuetne	---|-||-----|-|
poi negrant	--|-|----|
sepeinnent	-|-------|
del boteir	-||-----|
mais iln epu entremuer	---|-|-⌫|--⌫--|-----|
botentdechabotent dela	-----|-|--|-----|-|-|
mais oncl apierrenecrolla	---|--|-⌫|-----|-|-----|
don c si rap resmentliu illain	---⌫|-|---⌫------|-|-⌫-----|
ma i squant queil funts iest enuain	--⌫-⌫|-----⌫--|-|---|-⌫|--|-|---|
delangoissesunttuitsull ent	-||-------|---|---|----⌫--|
m ai sdel os t er est	-⌫--⌫|-||--⌫-⌫-|--|
tirent e bote nt ehasloent	-----||----⌫-||-------|
ma is por neient setrauello ent	--⌫-|--|-----|-|--------⌫--|
li unsdelsla utre semmonneit	-|--||--||-⌫---|---------|
afelbotede	|--|---|-|
quant sein zaut bertacen	----|----⌫|---⌫---||--|
quenelo ruaut rien lo ruertu	--|-|--⌫|---|---|--⌫|----|
nenusengiensq uionq uess eit	-|--|------|-⌫-|---⌫--|-⌫--|
aba i nestuenuztotdre it	|--⌫-⌫|--|----|--|---⌫-|
diua fait il	---|---|-|
astuenfanz	-|-|-----|
nem eiscesunze	-|-⌫--|--|---|
iciouran z	--|-----⌫|
oild iti l unsolpeti t	--|-⌫-|-⌫|-|--|----⌫|
maisemberz estlisein t	---|-|---|--|-|----⌫|
sit aitd exu atost	-||--|-⌫-|-⌫|---|
oudetesfilzialge nt	-|-|--|---||----⌫-|
aportelei isneleme nt	-----|-||--------⌫-|
ta ntc um cilpueples	--⌫-|-⌫-|--|------|
sicum au tbert loutcoma ndé	-|--|--⌫----||--|----⌫---|
le nfantli	|-⌫----|-|
unt tostap or té	--|---|--⌫--⌫--|
leberzouilesteit	-|---|-|-|-----|
au perron lontapoié drei t	-|-----||--|-----|----⌫|
doncu abain	---|-⌫|---|
et sienfant	-|-|-----|
lapierre untpriseensolzl euant	-|-----|--|----|-|-----⌫----|
aual lemontlontrool ee	---|-|---||--|----⌫-|
roelantuaittant	------|---|---|
qu arestee	-|------|
s es tenzelu alquide sozert	|--⌫|--|-|-⌫-|--|--⌫--|--|
enc ore ies t tres	---⌫--||--⌫|---|
bie napeirt	---⌫|-----|
al quanz lapelentle	--⌫----||------|-|
cioutmiracleegrant ebel	-|--|------||----||--|
ci ouurabien l au ertude	-|----|---|-⌫|-⌫---|-|
quio dun berz acenoste ́	--|-⌫|-|---||--|----⌫|
quees m oueirsolne poieit	--|--⌫-⌫----|--|-|-----|
tout lepueplequi	---|-|-----|--|
lautrepierreesttostre muee	|----|-----|--|---|--⌫---|
quantla granzfut	----|-|----|--|
dilue cost ee	|----⌫|---⌫-|
oeoren tlemont	-|----⌫|-|---|
congi edemande ntsis	-----⌫|-------⌫-|-||
liboensbainsesienfa n t	-|----|----||-|----⌫-⌫|
senu untadeu g racerend ant	|-|-⌫--||--|-⌫---|----⌫--|
querseintautber t fr a nc hi	---|----|------⌫|--⌫-⌫--⌫-|
tresto utson feu ouqueleso ut	------⌫-|--|--|-|--|-|--⌫-|
for sque detantquelemostier	---⌫---|-|---|--|-|------|
seitfeiz an	---|---|-|
deueit iunchi er	-----|------⌫-|
esienareitsesli urai sons	|-|-|----|--|--⌫----⌫---|
denierspain uin ep oissons	------|---|--||-⌫------|
lib uensbainport elserui s e	-|-⌫---|---|--|-⌫-|-----⌫-⌫|
de seintautbert rechutfranchis e	-|----|------|-----|--------⌫|
enco r ore tie n ent si heir	----⌫|--|---⌫-⌫--|-|---|
abelu eier	|----⌫---|
poriunchier totelabe ie	--|-------|---||---⌫-|
iertlorfeufrancto te loruie	---|--|--|----|--⌫-|--|--|
i onchierdeueintdedenzlecor	-⌫------|------|-----|-|--|
elache rcheler ierecuer	|-|---⌫---||--⌫---|---|
lech ap it re el e refec tor	-|--⌫--⌫--⌫-||-⌫|-----⌫--|
elec lois tretrestot	|-|-⌫----⌫--|------|
lescroiznelanei fdelmostier	--|----|-|-|---⌫|--|------|
celn enestpasde lormestier	--||-|--|--|-|--|------|
plus unt encor	---|--|----|
liurei s onsont tel es c um	------⌫-⌫--|--|---⌫-|-⌫-|
sainz autbertestce mest	----|------|--|-||--|
iluecremeis trestoz	----|-----|------|
querlianglesli	---|-|-----|-|
feiz queodluiparla	---|--|-|--|----|
queiade lmontn ese	--|-|--⌫|---|-⌫|-|
desiq ue s ourefaiteust	-----⌫-||---|---|---|
unenoit eirttrestot pensis	--|---|---|------|-----|
de celeourequeoute mp ris	-|---|---|--|--|-⌫--⌫--|
enson lieter tquantiloit	-|--|---|--⌫|----|-|--|
lauoiz de l	-|---|-||
ang lequ ilidit	---⌫-|--⌫|-|--|
ostuautbe rtquantleuera s	-|-|-----⌫-|----|------⌫|
en sonlemontdemain iras	-|--|-|---|-----|---|
e siu erras cumfaitement	|-|-⌫----|--|--------|
dex admerchiétonfundement	--|-|-------|--|--------|
l ang le s	|---⌫--⌫|
s enuait en estl epas	|-|---|--⌫----⌫---|
endor miquer m oltertlas	-----⌫-|---|-⌫--|--|--|
lendemeinestmatinl eueiz	|-------|--|----|-⌫----|
ensonlemontesttostmon teiz	-|--|-|---|--|---|---⌫---|
pleinde roseeun cerneil ueit	----|-|----|-|----|-|---|
qu i dedeforstozseis esteit	--⌫|-|-----|--|---|-----|
dexli mostraaper tement	--|-|-----|----⌫-----|
lamesure delfund em ent	-|-----|--|----⌫--⌫--|
la terre esteitenmiemolliee	-|----|-----|----|------|
ete n u iro nbien essuiee	-|-⌫-⌫-⌫---⌫|---|------|
delautrepartmonescient	-||----|---|--|------|
mollie eesteittote en sement	------⌫|-----|---|--⌫-----|
cistmiracles de	---|-------|-|
q uis orl e	-⌫-|-⌫-|-⌫|
muntesteitleuee	---|-----|----|
r essembleaunquenoslui son	-⌫-------||-|--|--|---⌫--|
de gedeon de l at oi son	-|-----|-|-⌫|-⌫--⌫--|
qu ifu tmollieeepu is secha	--⌫|--⌫|------||--⌫-|----|
sicommeille	-|----|-|-|
adam ledeu	|---⌫----|
quil enueiout	--||-------|
alabatailleo uilalout	|-|-------|-⌫|-|----|
saue irapertement	----⌫-|---------|
cen quetochonicibriem ent	--|--|-----|--|-----⌫--|
quiergel e	------|-⌫|
si uerr acen enlalecon	-|----⌫|--|-|-|----|
q ua nts eint autbertsoutcer temen t	-⌫--⌫-|-⌫---|------|---|---⌫-----⌫|
quei ssii reitson fundement	--|-⌫--|-⌫---|--|--------|
lesmac onsfaitenloure entr er	--|---⌫--|---|-||---|----⌫-|
ue ltma isplusd emorer	--⌫-|--⌫-|---|-⌫-----|
de siqualaquacheueiseit	--⌫---||-|-|------|---|
tozlim ostiers	--|-|-⌫------|
quefairedeit	--|----|---|
plentei outouu r iers	-----||--|---⌫-⌫---|
me isnertmiegrant	--⌫-||--|--|----|
limostiers	-|-------|
detelgrant fuqu ilni	-|--|----|-|-|-|||
quecenthomes	--|---|----|
agrantdestre it	|----|------⌫-|
i l futroontf aitcommecrote	-⌫|--|----|-⌫--|----|----|
dexcompa ssacele oure tote	--|-----⌫--|---|---|---|
montegargaigneest	----|--------|--|
quantcidechafut	----|-|-|--|--|
de m ostrez	--⌫-⌫-----|
alamesure decel	|-|-----|-|--|
futlimos ti ersrefaitdecha	--|-|---⌫--⌫--|-----|-|--|
q uantseint aubert	-⌫---|----|-----|
ou reir feiseit	--⌫---|------|
ason mo stiers eie r soleit	|--|--⌫----|-⌫---⌫|-----|
sorunepierremoltsouuent	--|--|-----|---|------|
gardeefu tpoislonguement	-----|--⌫|---|---------|
p orsoea mor et ennore e	-⌫-|--|-⌫--|-|------⌫|
mei so re creiienq u	---⌫|-⌫-|---|--|-⌫|
e leestemblee	-⌫-|--|-----|
dierres oleit	-----|-⌫----|
lianceisor	-|-------|
quel i most iersaicelior	--|-⌫|----⌫---||---|--|
qu es eintautbert	--⌫|-⌫---|------|
lecommenc ha	-|-------⌫-|
fuenmie cest	-|----|---|
soz u neuolt eune chap el e	--|-⌫-|----⌫|--|----⌫--⌫|
denostredames iest bele	-|-----|---|-⌫|--|---|
cid igression	-|-⌫--------|
querunpetitconteruol um	---|-|----|-----|---⌫-|
q uelfutli	-⌫--|--|-|
monz primesepois	---|-----||---|
ueierendirrai	----|-|-----|
sicon ie ll ieis	-|--|-||-⌫---|
deu scenzcotesoutdehauteice	---⌫|---|----|--|-|-------|
l eizdesusestrei ce	-⌫--|----|------⌫-|
a larchese mbleou	||----|--⌫---|-|
bestesegensqueneperirent	-----||---|--|-|-------|
tumbel a pele ntelp ais	----||-⌫----⌫-|-|-⌫--|
porsol itan t	--|--|----⌫|
cestm esta ui s	---||--|-⌫--⌫|
queil a pertdesus lareigne	--|-|-⌫---|----||------|
enlafaco nde	-|-|----⌫|-|
t umbehumeine	-⌫---|------|
peri ldeme irrest a pelez	----⌫|-|--⌫-|---|-⌫----|
q ue r moltsouuenti	-⌫--⌫|---|------||
sunttro ue z	---|---⌫--⌫|
pel eri nspassanzpe rilliez	---⌫---⌫-|------|--⌫------|
qu elgortde meraueit ne iez	-|-|---|-|--|----|--⌫--|
oualal eirou	-|||--⌫--|-|
doncnes epuet neien tten ir	---|-|-⌫|---|-----⌫|---⌫-|
quee ntr elei ore	--|-⌫---⌫|-|-⌫-||
nemontdouzfeizsanz	-|---|---|---|---|
nulrespiet	--|------|
desaurenchesdesicqualmon t	--|--------|------|-|---⌫|
m iles aroont	-⌫---||----|
de pleinete rre e de	-|-----|--⌫--||-|
boscha sge	------⌫--|
greiueeriu age	-----||---⌫--|
douces ic oreient	-----||-⌫------|
quimol t aloig diluec sordeient	--|---⌫||---||----|--------|
e d es lemon ttres q a la	|-⌫-|-|---⌫|----⌫||-|
autret antesenroutp arpeir	------⌫----|-|---|-⌫-|---|
feittelguerre	---|--|-----|
liflozdela m ei r alaterre	-|---|-|-|-⌫--⌫||-|----|
as boisa sla forest	-|---|-⌫|-|-----|
ab este ne	|-⌫---|-|
delaf oresta feit	-|-|-⌫----||---|
entorlemont e beleepleine	----|-|---||---||-----|
entredouseuesdontuo sdis	----|---|---|---|--⌫|--|
seune ecois n onesta ssis	----||----⌫-⌫-|--|-⌫---|
l a tierceire stquisi ee adnon	-⌫|-----||--⌫-|--|--⌫-|-|--|
deuers bretaine cort	-----|-------|---|
l e autres sun tennorm endie	-⌫|-----|---⌫|-|----⌫----|
m olt prof dil uec	-⌫--|---||--⌫--|
est tumbeleine	--|---------|
cenadlenondeleine	--|-|-|--||-----|
queel e inemorteill uecf ut	--|--⌫-⌫--|----|---⌫--|-⌫-|
qu a ntle iaiantou ecleiiut	--⌫-⌫-|-|-----|--⌫-|--|--|
fillehoele ste it leconte	----|---|-⌫---⌫-|-|----|
en poriesa nt l osc ist a	-|-------⌫-||---⌫--||
