kere sforez	--|-⌫|----|
manie re me merueil	-----⌫-|-|------|
cumfait ementl eniireit	--|----⌫----|-⌫-||----|
necomeri enca enuen dr eit	-|---|--⌫-|-|-|---⌫--⌫--|
tanti aewesapasser	---|||---||-----|
ettanzpuis roi stesamonter	-|---|---|---⌫---||-----|
merue ll esestetfutoz	-----⌫--⌫-|--|-|-|--|
coment enuint filem enis	-----|-|---|-----⌫---|
le siredepafa l oigne	-|---|-|----⌫-⌫----|
mais nequitpasque sozletro ine	---|-|---|--|--|--|-|---⌫--|
eustuncheua ler plusgranz	---|-|-----⌫--|---|----|
r esenblotiaianz	-⌫-------|-----|
moutest eit fort etuertuos	---|---⌫--|---|-|------|
fel hardi et	--|----|-|
nesaimie comenti l soct	-|--|--|-----|-⌫|---|
lesiege quia	-|----|--||
troiealo ct	----|---⌫-|
uenir i uout tot desemo ns	----||---|--|------⌫-|
bienadou m ilecompaigno ns	---||--|-⌫--|---------⌫-|
sie n traist rentmout gran z peines	-|-⌫|------⌫---|---|----⌫|-----|
dismeisentiers et treissemaines	--|---|------|-|----|-------|
ainz quatroie fussent uenu	----⌫-||----|------|---|
outil de sagentmout	--|-|-|-|---|---|
ka rasez enteus lieusuene ient	--⌫|---|-|---|----|----⌫---|
oupar unpoi neper isseien t	-|--|-|--|-|---⌫-------⌫|
m erueillefucumsiesmurent	-⌫-------|-|--|||-------|
sen uenirnidurent	--|----|||-----|
ph illemenis etsa	--⌫--------|-|-|
qui moutpar	--|---|--|
e rtfel e et	-⌫-|---⌫|-|
g r ifaigne	-⌫-⌫------|
u indrent atroiepor	-⌫------||----|--|
que grexsne	--|----|-|
lapeuss entp rendre	-|-----⌫--|-⌫-----|
armezerenten autre	----|----|-|----|
quenesteient li	--||-------|-|
decu irsboilli zescuz aueient	-|--⌫--|------⌫|----|------|
quid efin or	--|-⌫|--|-|
res plendi s s eient	---⌫------⌫-⌫-⌫----|
mieuzenualeitlesordeior	----|-|-----|-|-------|
q uedetroie t otle meillor	-⌫-|-|----|-⌫-|-|------|
que r depierres	---⌫|-|------|
deparadi s	-|------⌫|
deufratese tdetygris	|-------|-⌫|-|-----|
esteienttuitorléet plein	-------|---|----|-|----|
etensementtuitlorlorein	-|-------|---|--|-----|
d epurpreau eientconoissances	-⌫|-----|--⌫----|-----------|
enseignese n	--------|-⌫|
lorlan ce s	--|---⌫--⌫|
cis tfer on td eus souentparler	---⌫|---⌫--⌫||--|-----|-----|
atorn eieret	|----⌫---|-|
p orpouo rne por coardie	-⌫-|----⌫|-|--|------|
n ie rtiapareus	|--⌫-|-|--|--|
troieestr e g ue rpie	----|----⌫|-⌫--⌫---|
n ireuintmiede	||-----|--|-|
dethiopele re i p erses	|------|-|--⌫|-⌫----|
nemennonfi zdesaseror	-|-----|--⌫|-|-|----|
e steitdegrantualor	-⌫----|-|----|----|
et richec heualerasez	-|----|-⌫------|---|
quersir eesteitdeyycitez	---|---⌫|-----|-|-|----|
perse siuintmoutrichement	-----⌫||---|---|--------|
etonob le contenement	-||---⌫-|----------|
auenirmistset meis etplus	|----|---|--|---|-|---|
mout amenaconteset d us	---|----|-----|-|-⌫-|
etche u a l ersestrang eme nt	-|---⌫-⌫-⌫-⌫--|-------⌫---⌫-|
maisunquespeiz ne arrement	---|-----|---|-|-------|
ne fusineirecomeil e rent	-|-|-|----|---|-|-⌫---|
estranges che uau samenerent	--------|---⌫---⌫|--------|
nes aueie nt armesporte r	-|-⌫-----⌫-|----|-----⌫|
m aisdetra ir e etdeberse r	-⌫--|-|---⌫--⌫|-|-|-----⌫|
n esaue ient rie n	-⌫|----⌫---|---⌫|
genzauerseus	---|----|--|
mout est e i ent hardiz etf eus	---|---⌫-⌫-⌫--|-----|-|-⌫--|
icistferuntdeg riexessar z	----|-----|-|-⌫---|-----⌫|
querlorsaietes etlor	---|--|------|-|--|
suntento schiéi aneg uarra	---|----⌫-----|-⌫|-|-⌫----|
nus h oem q uinaffréen	--|-⌫--|-⌫-|------|-|
de terarchaiuintteseus	-|-------||---|-----|
luiet sisf i zarchilogus	--|-|--|-⌫-⌫|---------|
aur ei de troieerent parent	-|-⌫-|-|----|----|-----|
etsiami delonguement	-|-|--|-|---------|
fortesteientci stet gentil	---|-------|--⌫-|-|-----|
cheualersourent	--------|-----|
p lu s demil	-⌫--⌫|-|--|
deteusquiia	-|---|--|-|
n e ferontfail le	-⌫|-----|----⌫-|
enfo rtes to rn ee n	-|--⌫-|--⌫--⌫|-⌫|-⌫|
icistsecorruntlor parenz	----|--------|--|-----|
et aideron ta ceusdedenz	-|-------⌫||---|-----|
dagre s teuneisle	|----⌫-⌫-|--|---|
en merloi ngtaine	-|--|---⌫------|
dont lagent estfiere	---|-|---|--|----|
etgrifaign e	-|--------⌫|
uintreis fion et reis esdra s	---|---|---|-|---|-----⌫|
quinamener ent	--||------⌫--|
mieeschars	--|------|
de cheuale r s nede s erganz	-|-------⌫-⌫|-|-|-⌫-----|
as t roie nsser ont	-|-⌫----⌫-|---⌫--|
mou tidespendrontainz del o r	---⌫||----------|---|-||-⌫|
quasgriexnen seit lesordeior	-|-|----||-|---|-|-------|
de l re ia lm ed	--⌫|--⌫--⌫--⌫||
qui uersterree stdefemenie	--|---|----|-⌫-|-|------|
olesch ieres	|--|--⌫----|
especes sun t	------|---⌫|
quelon po rtep artotl emont	--|--|--⌫--|-⌫-|--|-⌫|---|
uintpistr op lex uns reis uillarz	---|-----⌫--⌫--|--|---|------|
q uim outer tsaiuedesetarz	-⌫-|-⌫--|--⌫|----|-|--|--|
maint e merueille saueitfaire	-----⌫|--------|-----|----|
cist amen a unsaietaire	---|----⌫|-|--------|
ostfugra n t	--|-|---⌫-⌫|
etdo ntgriexourent	-|--⌫-|----|-----|
grantpesance	----|------|
moutlourentpesmeene mi	---||-----|----|---⌫-|
tantd ementerescumil u esqui	---|-⌫--------|--|-|-⌫----|
maisnedurapas	---|-|---|--|
lung ueme nt	----⌫----⌫-|
asez orreiza uant coment	---|-----|-⌫---|-----|
tuit icistqueiosainomé	---|----|--||-|-|----|
uindrent atr oie	-------||--⌫--|
dedensse m ist re ntlip luso r	-----|-|-⌫---⌫--⌫-|-|-⌫----⌫|
porpris et p oramor	--|---|-|-⌫-|---|
etlia uquantporseignorage	-|-|-⌫-----|--|---------|
etli aut reporparentage	-|-|---⌫-|--|--------|
d e squ edexuout lemontsauuer	-⌫-⌫---⌫|--|---|-|---|-----|
n oitun qu e snu s hoemparler	|--|--⌫--⌫-⌫|--⌫|---|-----|
quei ssi faitecheualerie	--|-⌫--|----|---------|
eu s t nul e citeguarni e	--⌫-⌫|---⌫|---|------⌫|
a tre nte treisf u rentnumbré	|---⌫--|----|-⌫-⌫---|------|
icist queiouosai nomé	----|--|-|--|-|----|
dun tliplus poureertrei s od us	---⌫|-|---|----|--|---⌫||-⌫-|
cheu alerset de	----⌫----|-|-|
detozceusqui	-|--|---|--|
a tro ieuin drent	|---⌫-|---⌫----|
cont regreze isla	----⌫-|-----⌫-|-|
fuesto rmaistreason	-|----⌫|------||--|
lui l escouint tozobe ir	--|-⌫-|-----|--|---⌫-|
deto zioutla seignorie	-|--⌫||--|-|--------|
lapoeste etla maistri e	-|-----|-|-|-------⌫|
parissisfrer e ett roill us	----|--|----⌫|-|-⌫-----⌫-|
et e nsement deiphebus	-|-⌫------|--------|
anteno ret	------⌫|-|
etaut residanz eneas	-|---⌫---|---|----|
ch ascundiceztelgentau eit	--⌫----||---|--|---|--⌫--|
dontchascungua rde s ep er neit	---|------|---⌫--|-⌫|-⌫--⌫---|
chas cunsa ueit une partie	----⌫---|-⌫---|--|-----|
deceus deforsensa b aillie	-|---|-----|-|-|-⌫-----|
siest e itfaitet	-|---⌫-⌫-|---|-|
etsil aueientde uisé	-|-||------|--⌫----|
cheualier ne montast	--------|-|------|
sel orprincene	-|-⌫-|-----|-|
lcomandast	|--------|
desmurs nusneneissist	--|---|--||-|------|
deciqua lore	-----|||--|
quil uousi st	-|-|-----⌫-|
bi enlescuit otaiusti ser	--⌫-|--|----⌫-||-----⌫--|
orguili aue itgrantetfier	-----||---⌫-|----|-|---|
tropf olemen t sec ontenissent	---|-⌫------⌫|-|-⌫----------|
sanz un uers qui ilente nd issent	---|-|---|--|-|----⌫--⌫-----|
eissi fir entcumpuis	----|---⌫--|--|---|
cumunques mie uzlepourent fai re	--|-----|---⌫-|-|------|---⌫-|
de cenauei entesperance	-|-||----⌫--|--------|
pour necr iemenedotance	---|-|--⌫---|-|------|
qu il asmursf ussentasailli	-|-|-|---|-⌫-----|------|
por cenefu	--|-|-|-|
mi eestabli	--⌫|------|
qu eusdefenseslirei aureient	--⌫--|-------|-|--|-------|
lieuse defen dreient	---|-|-----⌫------|
n en ourent	|-|-----|
unques grantbesoing	-----|----|------|
toziorzen fu lo stauqu esloing	--|---|-|-||-⌫-|----⌫-|----|
otan t senist et litrei	|---⌫||-|--|-|-|---|
tuitf orsdeslicesalgrauei	---|-⌫--|--|----|-|-----|
treimilesunticistet m es	---|---|---|----|-|-⌫-|
qui mout isoffrirent	--|---||---------|
ainzquil ueient	-----|-|-----|
mais anuitie r	---|-------⌫|
au ront daiegr antmes tier	--⌫---||--|--⌫--|---⌫---|
he ctorl etie rzconreideuise	--⌫---|-⌫|---⌫-|-----|-----|
e n ic elsun tcil delarise	-⌫|--⌫-|---⌫|--|-|-----|
sireenesteithuspozli g r anz	---|-|-----|-----|-|-⌫-⌫--|
lifor z lipr ozlicombatanz	-|---⌫|-|--⌫-|-|--------|
e tc upesusq ui moutert maire	-⌫|-⌫-----|-⌫-|---|--|----|
mai sce saibiendeue ir	---⌫|-|--|---|-|--⌫-|
entote lo stnoutteilpar eil	-|---||-⌫-||--|---|---⌫--|
cis tf erunte ncuis ancuermeil	---⌫|-⌫----|-⌫---|-⌫--|------|
trop erentfor ztroper entgranz	---|----|---⌫|---|--⌫--|----|
asezsenb louentmieu z iaianz	---|----⌫-----|----⌫|-----|
quilnefais eientautresgenz	-|-|-|----⌫----|-----|---|
treimiles unt	---|---|-⌫--|
cistetset cenz	---|-|--|---|
a celnaitl eaume	|--||--||----|
etquinaitlan ce o b uen	-|--||--|---⌫-||-⌫--|
he ctorlor b aille xm	--⌫---|--|-⌫----|-|
c ertunsde sesfrer es	|--|--|-|--|----⌫-|
qu ilmo u tamoutetaueitchi er	-|-|--⌫-⌫|----|-|----|---⌫-|
quermout esteitbue ncheualer	---|---|-----|---⌫|-------|
etbeauset prozetaffaitiez	-|----|-|---|-|--------|
serrés en issent	-----||-|-----|
et rengi ez	-|-----⌫-|
totfors lesliceses	--|---|--|----|-|
deusc onreis p remiers	---|-⌫-----|-⌫------|
remus lireisde cison ie	----|-|---|-|-----⌫-|
laqu arte eschielerafornie	-|--⌫---|-------|-|-----|
niout maisui nulesi grant	||--|---|-|---|-|----|
n esifiere n esido tan t	-⌫|-|----|-⌫|-|--⌫---⌫|
ric hemen t fu	---⌫-----⌫|-|
armélireis	----|-|---|
m outfuric he l i sue n h ernei s	-⌫--|-|---⌫-|-⌫|---⌫|-⌫-----⌫|
m outoutcheual de riche p ris	-⌫--|--|-----|-|----|-⌫--|
d esmeillors	-⌫-|-------|
a utresualeit di s	-⌫----|-----|--⌫|
dorbruniertsisescuz toz	|-|----|--|--|----|--|
naueitnul autreteint	|----|--|----|----|
purpre ertcou ertde sus	-----|--|---⌫--|--⌫--|
e tentailliépar grantp ertus	-⌫|---------|--|----|-⌫----|
la purpre ertnei re	-|-----|--|---⌫-|
et lil anguel	-|-|-⌫-----|
sinesteitl esc um out plusbel	-||-----||---⌫|-⌫--|---|--|
polidamasle segurans	--------|-|-------|
outcezenb aillie	--|--|-|-⌫-----|
et enmains	-|-|----|
ectorl enoutfa it	----||-|--|--⌫-|
conestable	---------|
por ce queproz ertaidable	--|-|--|---|--|------|
soru ncheuals i std	--|-⌫|-----|-⌫-⌫-||
deg rantprismoutetdegrant non	-|-⌫---|---|---|-|-|----|--|
u n s ba is	-⌫-⌫|--⌫-|
unsgrans u ns	--|----|-⌫-|
tropisne aus	---|----⌫--|
se sarmeseren toaigle aus	--⌫|----|----⌫||-----⌫--|
esmeréenu ertas is	------|-|-⌫--|--⌫-|
u ei antector unpoindreapris	-⌫--⌫--|----|-|------||---|
sire faitilmo utsui guariz	---|---|-|--⌫-|--|-----|
etde gra nti oie	-|-|---⌫-|-⌫--|
re pl e niz	--⌫--⌫-⌫--|
deceque nc ui nos con b at ru n	-|-|-|-⌫--⌫-|--|---⌫-⌫--⌫--⌫|
enuerslagentqueplushaum	-----|-|---|--|---|---|
et qui sipresnosunt requis	-|--|-|---|--|--|-----|
or ie rtueuquinau rapri s	-|--⌫-|--|--||--⌫-|---⌫|
orsetairontliuanteor	-|-|------|-|------|
cuartencuse or	----|------⌫-|
et l iprei siérauront lorleus	-|-⌫|----⌫---|------|--|---|
orresera nostre li geus	-|-----|-----|-|---|
he ctorlirespontb ea usamis	--⌫---|-|------|-⌫--⌫-|---|
quiquensei tmornesne	--|-|-|---⌫|-----|-|
ieuosenueimou t	-|--|-|--|---⌫|
lep risnierti asi departiz	-|-⌫--||---|-⌫|-|-------|
qu osnenaiéslauostr e part	-|-||-|----|-|-----⌫|---|
negunre guart	----|--⌫----|
mieudredeu os	------|-|-⌫-|
nepr endraui escuaco l	-|--⌫----|-|---||--⌫|
alezsieuez nozcheua liers	---|-----|--|-----⌫----|
il moutuolentiers	-|---|---------|
eissusen suntestreit seré	----||-|---|------|----|
forslatr enchiedelfoss e	---|-|--⌫-----|--|----⌫|
cil depeion esenreissirent	--|-|-----⌫||-|---------|
qui laquinte	--|-|-----|
batail lef i rent	------⌫-|-⌫-⌫---|
d ic ezf ureis	|--⌫-|-⌫|---|
pretemesus	---------|
etter epexfizmenelaus	-|---⌫---|--|-------|
icist nouren t e spie z nelances	----||-----⌫|-⌫----⌫|-|-----|
neen seignes ne	-|--⌫------|-|
cono issances	----⌫-------|
cheuauso urent forzetisn eaus	------|-⌫----|---|-|---⌫---|
ar set saiete se tquarre aus	--⌫|-|------⌫|-⌫|------⌫--|
merueillesb iena rmée s tei ent	---------|-⌫--|-⌫---|-⌫-⌫---⌫--|
so lunclus agequil teneient	--⌫---||--⌫--|-|-|-------|
enistdeip hebus	-|--|----⌫----|
larc en lamainne	|--|-|-|---|-|
tarzaplu s	----|---⌫|
princefu deusetgouernere	-----|-||--|-|--------|
p arleco mandementsun frere	-⌫-|-|--⌫--------|--|----|
totplein le coiure	--|----|-|-----|
de finacier at rairep res tes	-|--|----||-⌫----|-⌫---⌫--|
il les l aissea ceusdela	-|--|-⌫----||---|-|-|
moutchiermentlesloruendera	---|--------|--|--|------|
uncneuirent sic hiermarchie	--|-|-----|-|-⌫---|------|
ne dont il fu ssentplusi rié	-|---|-|--⌫----|---|-⌫---|
cil dagrestesunt a pelé	--||------|---|-⌫----|
qui m o ut sefure ntgenta rmé	--|-⌫-⌫-|-|----⌫-|---|-⌫---|
moutun tcheuausalor	---|--⌫|------||--|
baucens feranz etnei rs	------|-----|-|---⌫-|
ea umesosbersescuzd	--⌫---|-----|----||
deue rtdazuret de	-|--⌫-||---|-|-|
espieztranchanzdefi nacier	-----|--------|-|--⌫|----|
ogro isses hastesdepom ier	|---⌫----|-----|-|---⌫--|
d icezfusire reis	|---|-|---|---|
etreisfion lefizduglas	-|---|---|-|--|-----|
cilquiconq uistmaintricheregne	--|--|----⌫---|----|----|----|
m ais puis l enpo isonas afenne	-⌫--|---||----⌫----|-⌫|----|
fionsicistuncureaueit	----|----|-|---|----|
qui d estrangerichece	--||-------|------|
enbataill e ertarmédesu s	-|-------⌫|--|----|----⌫|
treimilem ars ualeitet plus	---|---|-⌫--|-----|-|---|
lesroe serentdebe nus	--|---⌫|----||---⌫--|
dorfin b arree pardesus	|-|--|-⌫----|--|----|
diuoireest eien tl il imon	|-----|---⌫----⌫|-⌫|-⌫---|
asso uele t lipoin con	----⌫--|-⌫|-|----⌫--|
ouréeissi menuement	----|----|--------|
etdeboissi é	-|--------⌫-|
sisoutilment	-|---------|
esteitl ent ail lebele	-----||---⌫---⌫-|---|
latabernacle	-|---------|
ertdecuirdo lifanz b oilliz	--|-|---||-⌫-----|-⌫-----|
peintacolorset auerniz	----||-----|-||-----|
tant i outo rtan t	---||--|-⌫|---⌫|
ioutpierres	|--|------|
sipreciosese t sichierres	-|--------|-⌫|-|-------|
merueilleesguardequice	--------|-------|--|-|
cometoretefaiteesteit	---|-----|----|-----|
dexn efistarmequientrast	--|-⌫|---|---|-||------|
ne a qui nulior le	-||--|--|--|-|
deusdromedairesl etraeient	---|----------|-⌫|-------|
quiisneauset coranzesteient	--|------|-|-----|-------|
lor borelsuntdebuen	--|----|---|-|---|
etmousd emoutchi erciclatun	-|---|-⌫|---|---⌫-|-------|
etdorfreis suntlessord oisseres	-||------|---|--|----⌫-------|
riche setforzetbien ent ier s	-----⌫|-|---|-|---|---⌫---⌫|
fumoutbienarmez	-|---|---|----|
aseziout darzenpenez	---||--|---|------|
haschesdene sche sete spees	------|----⌫----⌫|-|-⌫----|
dontilferradegranzco lees	---|-|----|-|----|--⌫---|
tuit ci lquil	---|--⌫|--||
ueientleremirent	-----|-|-------|
quer unq ue s	---|---⌫--⌫|
maistelrienneuirent	---|--|---|-|-----|
alreifionalreiesdras	-|--|---|-|--|-----|
liu raect oriechonias	---⌫-|---⌫-|--------|
ses frer esde	--|----⌫-|-|
hardiprozetbien	----|---|-|---|
iec honias mi enescient	---⌫-----|--⌫-|------|
a ueit unesarm esdargent	-⌫---|---|---⌫-||-----|
o trei spetite zli o nce as	|----⌫|------⌫|--⌫-⌫---⌫-|
sischeu aus	--|----⌫--|
ertf orzetisne as	--|-⌫--|-|----⌫-|
t ostr emuantetbien	-⌫--|-⌫-----|-|---|
sanznoi sefair e etsanzcriz	---|---⌫-|----⌫|-|---|---|
se nissirent le	|-⌫|-------|-|
pe tit pas	--⌫--|--|
dunca prishectoreneas	---||---|-----|----|
uimai sfaitilu osenistreiz	-----⌫|---|-|-⌫-|-|------|
las etmeeschielecondurreiz	-|-⌫---|-------|---------|
quefornir ontcilde lancoine	--|------⌫--|--|-|-------|
meillorgentnestpassoz le	------|---||--|--|--|-|
gard ezeuferm el	----⌫-|------⌫||
etf raintse dex nossaut	-|-⌫----|-|--|--|---|
trop fereungra ntpert eenl ui	---|-----|---⌫-|----⌫|-|-⌫-|
mou testsaiu e	---⌫|--|----⌫|
sic um iecui	-|-⌫-|-|--|
fait eneasces ttotende	---|----||--⌫|--|-|-|
maispa rl ameieuolente	---|--⌫|-⌫|---|------|
nenosuen draia destorber	-|--|---⌫--|-|--------|
pensezhuid el espleiter	-----|--|-⌫||--------|
ditq ue cil	--|-⌫-|--|
s es ontapareill é peca	-⌫|-⌫--|--------⌫-|---|
etso rno sha stezdeleiss ir	-||-⌫||-⌫|--⌫---|-||----⌫-|
si nos p orruntleschanstolir	-|--|-⌫-----|--|----|----|
si fai tementian	-|---⌫-----|-||
ne les li ces n ep assero n	-|--|--⌫--|-⌫|-⌫------⌫|
ui delcon bat re	-|--|---⌫---⌫-|
silnosp oentcaenz	|-|--|-⌫---|----|
hec tor respon tuosditesueir	---⌫--|------⌫|--|----|---|
mais ainz aurontgrantesto uei r	---|---|-----|----|----⌫---⌫|
d imilecheualersarmez	-⌫|---|--------|----|
qui iasuntutrelesfossez	--|-|---|---|--|-----|
cui mais pa rforcei	|--⌫---|--⌫|----||
o rcheuac h iezieuos pleuis	-⌫|------⌫-⌫--|-|--|-----|
que ie uos siuerai ia	--|-|--|------|-|
n asem blezpaso ceus	|----⌫---|--||---|
deciquei emense ie	------|-⌫||-|--⌫-|
troieferuestuz	----|--------|
b ataille conree z	-⌫------|------⌫|
ilnel demorez	-|-||------|
danzeneas et sacompai gne	---|----|-|-|------⌫--|
seneissir entforsen lap laig ne	|-|------⌫--|---|-|-|-⌫----⌫-|
par issenri st o lereisserse	---⌫-||-|--⌫-||-|---|----|
c eertlesi re	-⌫|--|-|--⌫-|
aceusd eperse	|---|-⌫|----|
quimoutplorout grantduel	--|---|------|----|---|
porsunneu oqui	--|--|---⌫|--|
mort esteit	---|-----|
ma iss il puet	--⌫-||-|---|
bienespleiti er	---|--------⌫-|
penera seideluiuengier	-----|--|-|--|------|
li coiu resuntguarni etp lein	-|----⌫-|---|-----|-|-⌫---|
e tchas cun	-⌫|----⌫--|
deusporte e nsamain	|--|----|-⌫|-|---|
dont il trairasun	---|-|-----|--|
arctorque is	--|------⌫-|
moutle s poentdotergrezeis	---|--⌫|----|----|------|
quermouten ferontgrantocise	---|---|-|-----|----|----|
a lormani e reet	|--|----⌫-⌫-|-|
sest eitparisli	|---⌫--|----|-|
beausa rmez	----|-⌫---|
enl amain lespeeallez	-|-⌫|---||----|-|--|
c heualq uiuauty yma rs	-⌫----|-⌫-|---|-⌫|--⌫-|
ou tre lewedeufras	--⌫--||--||-----|
ice estlab atailleuit aine	--|--|-|-⌫------|---⌫---|
quidegrezeis	--|-|------|
l oi ngtainne	-⌫--⌫-------|
ainz s en trairunt encui	---||-|-------|----|
etmoutlorc hargerunt grant fe s	-|---|--|-⌫--------|----|--⌫|
hecto ratozceus	-----⌫||--|---|
qui delat erreesteientnez	--|-|-|-⌫---|-------|--|
etcheualersarm es	-|--------|---⌫-|
la nuemeb ataillefu granz	-|----|-⌫------|-|----|
setasne fust	-|--|-|---|
ladest inee	-|----⌫---|
l armeli fus tdelcors seuree	|---|-|---⌫|--|---|-----|
sachiez so r le rei	------|--⌫|-|--|
fugranzli chap lesdesuassaus	-|----|-|----⌫--|--|------|
maintearmeioutde	-----|---||--|-|
cor s s euree	---⌫|-⌫----|
a inzq uedepartis t	-⌫----⌫-|--------⌫|
laseresuntbie nentr e ta inz	-|-|-----|---⌫|----⌫-⌫--⌫--|
quantnesisunt	----|-|||---|
hectorn achil lescors a	-----||-----⌫--|---||
t roplaidementsisun tamors	-⌫--|--------|||---⌫|----|
iliperdruntie l	-||-------|-||
saide uei r	--|-|---⌫|
nepue t pas anceis rema neir	-|---⌫|--|-----|----⌫---|
prise t saisifu me nela us	---|-⌫|----|-|--⌫----⌫-|
maisporl a pressedesche uaus	---|--|-⌫|-----|--|---⌫---|
nel pou rentdelchampesloinier	-||---⌫---|--|----|--------|
etsi sacheizlorch e ualie r	-|-|------|--|--⌫-⌫-----⌫|
le firentsi cumnulegent	-|-----|-|--|---|---|
nelfistnulior	-||---|--|--|
sisaiuement	-|--------|
nese rauidel champpartiz	-|--⌫-|-|--|----|-----|
nen soientain zmild eusfeniz	|-|-----|---⌫|--||--|----|
enzenicestdestru ie ment	--|-|----|------⌫--⌫---|
et e n ices t ociement	-|-⌫|----⌫|-------|
iauintlefiztydeus	|----|-|--|-----|
qu in outo	--⌫||--||
seit reimileetplus	--|-⌫--|---|-|---|
dete usquigentfurentarme z	-|--⌫-|--|---|-----|----⌫|
sicu mil ui ndrentabr iu ez	-|--⌫|-|--⌫-----|---⌫--⌫-|
si uontlor lan cespe c ei er	-|---|--|---⌫--|--⌫-⌫--⌫-|
et lorpr oeces essaier	-|--|--⌫----|------|
teliadeu squibienen prent	--||||--⌫|--|---|-|----|
etteli aqu i senrepent	-|--|||--⌫||-|-----|
setro u efors	-|---⌫-⌫|---|
o quitr ainela bo el e	|--|--⌫---|-|--⌫--⌫|
n epuetmuerne sen	-⌫|---|---|-||-|
dontil eissi uidesa	---|-|----|-|-|-|
maisnepor quantpar uif besoing	---|-----⌫----|--|--|------|
delc hampdeustraitplusloi n g	--|-⌫---|---|----|---|---⌫-⌫|
c hacierent gre lor enemis	-⌫--------|--|--|-----|
mout loriu nd es lor ocis	---|--||-⌫|-⌫-|--|---|
mouten pe rdirent	---|-|--⌫------|
a cest poindre	|---|------|
diom edesestale ́ioindre	----⌫---|--|---⌫|------|
ot roiluspor la danzele	|-⌫-----|--|-|------|
i uslatre buchiéde lasele	-⌫-|||---⌫------|-|-|---|
ledestrier	-|-------|
pre ntparles noeaus	---⌫-|--|--|-----|
