Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
Quant lipreudon otfetsonseingnaclesusl es genz	----|-|------|-|--|--|---------|--|-⌫-|---|
siseregarda	-|-|------|
et uo itcele qui gardoit	-|--⌫-|---|--|------|
uertuzparquoilidea bles	-----|--|---|-|---⌫---|
estdamptézetquanti l lau eo it ilenau oit	--|-------|-|----|-⌫|-|-⌫--⌫-|-|-|--⌫--|
gr a nti oiequ e tout en	--⌫-⌫-|-⌫--|--⌫|---|-|
e steleesciéz	-⌫-|---------|
Ilcommand e q ueele uiengne deuantluietcele	-|-------⌫|-⌫-|--|------|-----|--|-|---|
quiestioieuseetlieepor	--|--|------|-|---|--|
Crist sestapareillieede ue nir	----||--|----------|-|--⌫--|
Ele u int isne llementdeuant lui	--|-⌫--|----⌫------|-----|--|
Germain labes emainte nant decuerli é et ioiant desu s	------|-|---⌫|------⌫---|-|---|--⌫-|-|-----|----⌫|
Il estmout aaise en soncourage	-|--|---|----|-|--|------|
Dam edieuliamou strélasai nt e uie et	---⌫----|-||---⌫----|-|---⌫--⌫|--|-|
labo ne oeu u re dela be neureeuierge	-|--⌫-|---⌫-⌫-|-|-|--⌫-----|-----|
Illa latant o sttrere aune	-||-⌫-|----⌫-⌫-|----||--|
par thors delapre sseens uz delagent	---⌫|---|-|-|---⌫--|---⌫-|-|-|---|
c aril neueultpa s que	-⌫-|-|-|----|--⌫|--|
l a pres selifac e	-⌫|----⌫-|-|---⌫|
malsilienquiertson nonet	--|-|-|-------|--|--|-|
Sirefet ele	---|--|--|
il neuous ert ia celézn eiacachié z	-|-|---|--|-|-----|-⌫|-|-------⌫|
Ne uousenment irai	-|---|-|----⌫---|
l eurequeie fui n eefui ieape lee	|---|--|-|--|-⌫-|--|-|---⌫--|
Geneuie ue	-------⌫-|
At antalis ainzh onsmandé sonpere	--⌫--||-|-⌫---|-⌫--|-----|--|---|
et s ame reetsileurdemandaetd i st	-|-⌫|--⌫-|-|-|---|------|-|-⌫-⌫-|
Orme ditesfet i l beneoi t egenz	-|-|----|--|-⌫|------⌫-⌫|---|
Ci l enfesporqu i	--⌫|----|--|--⌫|
Dieu esploite ci	---|-------|-|
foiet bontédit es	--|-|-----|---⌫-|
moi s ei l	--|-⌫|-⌫|
estuostr es	--|-----⌫-|
Et c eulz b onnement li respondirent	-|-⌫---|-⌫-------|-|-----------|
uoirement estilnostre s	--------|--|-|------⌫|
Damedieuqui a sesamisdonnetouzbiensetabonde	-------|--||--|---|----|---|----|-|-----|
nou sadonneec e stefillequii usq uecil	---⌫||-----|-⌫-⌫--|----|--|-⌫---⌫-|-||
a g ardee enbienets	|-⌫----|-|---|-||
illipl estenco reenauan t laga rt	-|-|--⌫--|----⌫-|-|----⌫|-|--⌫-|
li d onn ons sanznul are st	-|-⌫---⌫--|---|--|---⌫-|
H ad ist saint	-⌫|-⌫--|----|
Germaincontresd ouce porteu re	------|--|---|-⌫---|------⌫-|
ci a Lengendreure	-|||----------|
soitbeneoit ede	---|-------⌫|-|
Dieuqueuous	---|--|---|
auézdelui fete	----|-|--|---|
Sachiézqueliang e	-------|--|-|---⌫|
sorentesciex lengendreure de lui	-----|-|---||----------|-|--|
E lele ur pl ost moutete nb ell i etenfirent	-⌫-|--⌫-|--⌫--|---|-|-⌫--⌫---⌫|-|-|-----|
Ces te serabeneuree en uers	---⌫-|---|-------|--⌫---|
Dieuetbien sachiézqueil f era por luimaintes	---|-|---|-------|--|-|-⌫--|--|--|------|
ue rtuzetmaint miraclep ar quoi lideablesse raconfonduz	--⌫---|-|----|------|-⌫-|---|-|------|--⌫-|--------|
E leestancheraenc ore de	-⌫-|---------|---⌫--|-|
ma intpec h aormain tmalets i	--⌫--|---⌫-⌫--|----⌫|--|-|-⌫|
rendrala m e asoncreatourq ue	-----||-⌫-⌫||--|-------|-⌫-|
Diexq uisemeen luisesbiens	---|-⌫-|---|-|--|--|----|
la gartet m onteploitenbie n	-|---|-|-⌫--------|-|---⌫|
si quelideables ni	-|--|-|------|||
pui se riensauoiretie saibien	---⌫-|----|----|-|-|--|---|
deuoirquenonaurail	-|---|--|--|---|-|
B ene oits oi en tci lq ui ont engendréetconc eute l oir	-⌫---⌫--|-⌫--⌫--⌫|--⌫|-⌫-|--|--------|-|----⌫-|--⌫|--|
Diex aiaconeu	---||-|----|
Tuperesquiengend reelas ettumere	-|----|--|------⌫--||-|-|-|---|
qui l asportee	--||-|-----|
u ousuousdeué zmout	-⌫--|---|-----⌫|---|
re si oiren bien	--⌫--⌫--|-|---|
et estredu touta so np les ircar ele	-|----|-|---||--⌫|-⌫---⌫-|--|--|
est is suedeuous	--|--⌫--|-|---|
defoi orend roit qu	-|--|-----⌫---|-|
ilna ouremenantdumonde	-|||-|-------|-|----|
Lip eresetlamereen	-|-⌫---|-|-|---|-|
font grantio iecarc e	---|----|--⌫-|--|-⌫|
queilraconte	--|-|------|
de leur fill en elesauilloitde	-|---|----⌫|-⌫|--|-------|-|
riens nule	----|---|
Il l e u r soulieuetouzlescuersde	-|-⌫-⌫-⌫|-------|---|--|----|-|
Ge rma insdista	--⌫---⌫--|---||
Douce fil lenemecelézu ousmiemesdites moi	----|---⌫-|-|-|-----|-⌫--|--|--|----|--|
se uous uoulézestresac r ee a	-|---|------|----|---⌫-⌫-||
Plestuousilate nir com mesafi lle	----|---|-||--⌫--|---⌫-|-|--⌫--|
Celequiest espouseeetioin t ea	---|--|--|-------|-|----⌫-⌫||
Damedieunedoitauoi r n ulacoint eausiecle	-------|-|---|----⌫|-⌫-|------⌫|-|-----|
Biaudouzperes fet	---|---|----|--|
Geneuieue quiaiael cuerl	--------|--||-|-|---||
estancellede	---------|-|
Dieuamereten	---|---|-|-|
est ardan zetqui	--|-----⌫|-|--|
plusetplusli alume	---|-|---|||----|
I e n e d eman tel n enecouoit	-⌫|-⌫|-⌫----⌫|-|-⌫|-|-----|
Mescuers neueutn uleautre	--|----|-|---|-⌫--|----|
chosenenedemande	----|-|-|------|
P eres commandemoitonplesir	-⌫---|-------|--|--|-----|
t afille et	-⌫|----|-|
ie feraic edontietecuider ai plaire	-|----|-⌫|---|-|-|------⌫-|-----|
car onques	--|-----|
rienstantne meplot	----|---|-|-|---|
E tqu ant libon s euesq uesl	-⌫|--⌫--|-|---⌫|-----⌫--||
oÿetentendi	--|-|------|
q ue ladamoisellequitantauoit debont é	-⌫-|-|---------|--|---|----|-|----⌫-|
dis tquei l	---⌫|--|-⌫|
n e l igre ueroitp as lorsli	-⌫|-⌫|---⌫-----|-⌫-|---|-|
G eneuieuebelefi lleaies en	-⌫-------|---|--⌫--|---|-|
Dieubone fiance	---|---|-----|
So iesto ute s eureque t ua che uera s	--⌫--|--⌫--|-⌫---|--|-⌫|-⌫---⌫----⌫|
paroeuures ceque	--|------|-|--|
tupens erasen	-|----⌫---|-|
Atantsenes ta l	----||-|--⌫|||
iglysealee et	-----|---|-|
lisainshonslimistlamain	-|----|---|-|---|-|---|
seurle chie fala pucelle	---|-|----⌫||-|------|
Illuecdonna	-----|----|
ausg enzpa rgr ant deuocio nbe neiçon	--|-⌫--|--⌫|--⌫--|-------⌫|--⌫------|
Ilestoittart	-|-----|---|
si alerentaushostex etpar lerentmoutentr eulzde	-|------|--|-----|-|---⌫-----|---|---|---|-|
c equ e li sai nshonsauo itatelenf ants i	-⌫|--⌫|-|---⌫-|---|---⌫-||--|---⌫--|-⌫|
biause nblantmoustré	---|--⌫-----|-------|
Il n esau oientmiec om mant	-|-⌫|---⌫----|--|-⌫--⌫---|
il estoit auenu	-|-----|----|
que il sa uoit ia	--|-|--⌫---|-|
tant desonest re	---|-|--|---⌫-|
Lisaintho ns apela	-|----|--⌫-|----|
Seueri nsquiestoit pere sa l apuce lle et	------⌫-|--|-----|----⌫||-⌫|----⌫--|-|
Aléz distilme nézen	----|---|-|--⌫---|-|
uostrefille ets ine	-----|----|-|-⌫|-|
lessiézpasqueu ousn er eu enézdemain	-------|--|--|-⌫--|-⌫|-⌫--⌫----|-----|
parleramoi	-----||--|
Sirefet il uole ntiers	---|--|-|----⌫-----|
A tant l e nmenali peressila	-⌫---||-⌫----|-|----|-|||
aumatinrameneesi	-|----|------|-|
commeli s ainsho n sliot	----|-|-⌫---|--⌫-⌫|-|-|
Germains uit en laui erge une mout apertesainteéqui	-------|--|-|-|--⌫---|--|---|-----|-------|--|
o nque snefupa rluidescouuer te	-⌫----⌫|-|-|--⌫|--|---------⌫-|
n eonques nef u seue	-⌫|-----|-|-⌫|---|
Quantlapu cel efu uenue deuantlui sil a	----|-|--⌫---⌫|-|----|-----|--|-|||
debonneiremen tmise ares oncome	-------------⌫|---||---⌫-|---|
cilqui esto itp lainsdeg ra nt bonté	--|--|----⌫-|-⌫----|-|-⌫--⌫-|-----|
Ge neuieuedistildouce	--⌫------|---|-|----|
amie uous estesencoremou t	---|---|----|-----|---⌫|
ioenne m es lauol ent éq ueuousauiézhieret	-----|-⌫-|-|---⌫---⌫-|-⌫-|---|-----|---|-|
queuouspremetiéza	--|---|---------||
auézuo u smes	----|--⌫-⌫|--|
curene tal ent	---|-|---⌫--|
Sir edistele ie sui	---⌫|---|--|-|--|
autresif inee tautres ip ure c om me ie estoiehier	------|-⌫--|-⌫|------⌫|-⌫--|-⌫--⌫-|-|-----|---|
acesteheure	|----|----|
Lisainshonse n ahora	-|----|---|-⌫|----|
deuin tmoutliézet mo utioianz	-----⌫|---|----|-|--⌫-|-----|
deuantsezpiéz a	-----|--|----||
la terre sic ommeil	-|----|-|-⌫---|-|
Ilestoitdarain etsi iauoit	-|-----||----|-|-||----|
delacr oizprecieuseoula char decel ui	-|-|--⌫--|--------|-|-|---|-|---⌫-|
q ui nou sfist fud est r u ite etpar	-⌫-|---⌫|---|-|-⌫---⌫-⌫-⌫--|-|--|
c esteangoiss enou s conquisti l	-⌫---|-------⌫|---⌫|-------|-⌫|
Germainpristm out	------|----|-⌫--|
isnelleme ntledenier a laterre	---------⌫-|-|-----||-|----|
etsiledon na a lapucele	-|-|-|---⌫-||-|-----|
Tenézfet ilmadoucea mie	-----|--|-|-|----|-⌫--|
denier u ousd oing ie	-----|-⌫--|-⌫---|-|
C rist etsiuousi ioingcom me s	-⌫---|-|-|---||----|---⌫-||
espous eetgard ézbie nqueuo usliportéz foi	------⌫|-|----⌫--|---⌫|--|--⌫-|-|------|--|
det outuo stre cu er et i luousa meraet	-|-⌫--|--⌫---|--⌫-|-|-⌫|---|-⌫---|-|
tendra chierese	-----|-----|-|
uo us li estes loialamie	--⌫-|-|----|----|---|
Ma douceam i e	-|----|--⌫-⌫|
ieuou s p riqueuous portéz	-|---⌫|-⌫-|--|---|------|
foiauo streamietsi	--||--⌫---|--|-|-|
aiéz commesaloialespouse en	----|----|-|----|------|-|
luiu ostrepensee	--|-⌫----|-----|
amiefe tes percierceldenier pa rmonlo s	---|--⌫--|------|--|-----|--⌫|--|--⌫|
et si le pend ézau ostr e co l quenulpechié	-|-|-|----⌫--||-⌫----⌫|--⌫|--|--|------|
nenulefol e	-|---|---⌫|
penseene puise a uousu enir	-----|-|----||---|-⌫---|
Améz le bienet tenézchier	----|-|---|-|-----|----|
Gardéz qui lsoittouz	------|-|-⌫|---|---|
i o urzpendua	-⌫-⌫--|----||
uostrecolfermanz	-----|--|------|
etafichie ́z	-|-------⌫-|
P ar maintes foizde çoitlamauueisechar porteldelit	-⌫-|------|---|--⌫----|-|-------|---|--|--|----|
G ardé zbien	-⌫-----⌫|---|
quecesoit uostre	--|-|---|-----|
aiéz cured	----|---||
darg e ntmessoiézsimple	|---⌫-⌫-|--|-----|-----|
atoutesgen z	|-----|---⌫|
Madouceami es o uuiengneu ous	-|----|---⌫|-⌫-⌫-------|-⌫--|
demaparole	-|-|-----|
Ieuou s pri	-|---⌫|--|
queuous nem oubliéz	--|---|-||-------|
m ie mes commandézuo us a	-⌫-|--|---------|--⌫-||
Dame dieusouue ntetmen u	----⌫---|-----⌫-|-|---⌫|
B iau per ef eteliesuitouz iourz a pareilliee	-⌫--|---⌫|-⌫-|-|-|--|---|----|-⌫---------|
de fereuost recommandemen t	-|---|----⌫-|-----------⌫|
Atants e sontdep arti	----|-⌫|---|---⌫---|
Germainlim etsamaindeseurle	------|-|-⌫-|-|---|-----|-|
chi efsisenueten	---⌫-|-||-|--|-|
B ret aingn eou il agent fel enesse etde	-⌫---⌫-----⌫|-|-||---|---⌫-----|-|-|
ma uuesse creance	--⌫-----|------|
Diex queilestaingneles granzpechiéz	---|--|-|--------|--|----|-------|
Oruouslai raiatan tdesaint	-|---|---⌫--|----⌫|-|----|
Germainsiuousdirai de	------|-|---|----|-|
lapuc eleq uiest oitremeseau ec sonpere	-|---⌫--|-⌫-|---⌫--|-----|--⌫-|--|---|
Elcuerl i cro ist uneestance llequ ichas cun	-|---|-⌫|---⌫--|--|-------⌫--|--⌫|----⌫--|
iorlicr oi s tetmonteplie	--|-|--⌫--⌫-⌫|-|--------|
carele nanu lseiorde	--|--|||--⌫|----|-|
Dieu amernenule	---|---|-|---|
estquil apuisegreuer	--|--|-⌫|----|-----|
Elecr o ist decors etdebonté	--|--⌫-⌫--|-|---|-|-|-----|
quiliuientde	--|-|----|-|
ele le desertmout b iencar	--|-|-----|---|-⌫--|--|
elelesertde	--|-|---|-|
luimei smes	--|---⌫---|
Elenestpas auerede	--||--|--|----|-|
Il auintchoseque sameresico mmeil estoit	-|----|----|--|-|---|-|--⌫--|-|-----|
costume uolo italeraly glyse	------|----⌫-|---|||-⌫----|
Eledistasafi lle qu	--|---||-|--⌫--|-|
eleremaingneet ga rttres bien	--|--------|-|--⌫-|---|---|
lam esonente l maniere	-|-⌫---|-|--⌫|------|
quemauxneperteniauiengne	--|---|-|----|||-------|
iusque satantquee le reuieng ne del iglyse	------⌫|----|--|-⌫-|-------⌫-|-||-----|
Damedistla	---|---|-|
pu celeie iraiau ecques	--⌫---|-|---|--⌫-----|
uousasainteyglisepor	---||-----|-----|--|
oi ̈rle serui se e ndementrequeie	--⌫-|-|-----⌫-|-⌫--------|--|-|
en h eloisir	-|-⌫|-----|
Certes fetlamerem a fi lle uous	-----|--|-|---|-⌫|--⌫--|---|
n iroi z pasoreainzgard er oizl a	|----⌫|--|--|---|----⌫--⌫--|-⌫|
me sontant queier euien gne	--⌫--|---|--|-|-⌫-----⌫--|
E lene pot	-⌫-|-|--|
trerede s a mereautr echosedontilli	----|-|-⌫|---|----⌫|----|---|-|-|
despl ust mout etgreuasi em	-----⌫--|---|-|----|-|-|
ploradeseulzet	----|--|---|-|
ensoupiraducuer	-|------|-|---|
E lecomen ça a direasamere	-⌫-|-----⌫--||---||-|---|
Belem e re le ssiézmialercarieuoei l garder	---|-⌫-⌫-|--⌫-----|||---|--|-|----⌫|-----|
ma chasteé sicomme saint	-|-------|-|----|----|
Germai nm enseingna quan t ilmespousa a	------⌫||--------|----⌫|-||------||
Il m estuet as ai ntey glysealer p our	-||-----||-⌫--⌫--|-⌫----|---|-⌫--|
gard ermal oiautéque	----⌫-|-|-⌫------|--|
i ai promise seieuoe il	|-|------|-|-|---⌫-|
uen iramon loi al espous	---⌫-||--|---⌫-|-----|
sa mer e co rroucieesia lapaume leuee	-|---⌫|--⌫-------|-||-|----|----|
de corrouzenflambeedire etdemautalent	-|------|--------||--|-|-|--------|
si a feruesafille p armesche ancede	-||----|-|----|-⌫-|------⌫---|-|
Die x enprist teleueniance	---⌫|-|----|---|-------|
uiren taperte ment	-----⌫|------⌫---|
ca relepa rditantostlaue ue nepui sneuit	--⌫|--|--⌫--|------|-|--⌫-|-|---⌫|-|--|
Ele pardipor	--|----|--|
celaueuequeeleferila	-|-|---|--|--|---|-|
sainteuierge	-----|-----|
Lamerese pourpensauniour	-|---|-|--------|-|---|
Germainauo ita	------|---⌫-||
Dieuespouseesa fi l l esi lid istq uelefust	---|-------|-|--⌫-⌫-⌫|-|-|-⌫--|-⌫|--|---|
Cristetde pluslisouuintencorequei lli	----|-|-|---|-|------|-----|--|-⌫|-|
dis tqueli	---⌫|--|-|
a ngessesioi re ntd esanatiuité	-⌫---||-----⌫--⌫-|-⌫|-|--------|
Lor saesp eranceen la	---⌫||---⌫-----|-|-|
sainte dam oi selesi	-----|---⌫--⌫---|-|
laap el eeetcelequiagrant	||--⌫--⌫-|-|---|--||----|
pitiéde lu iau cue ri	-----|-|--⌫|-|---⌫||
uinttantost	---|------|
Be lemeredites moi	--⌫-|---|----|--|
ce quil uousplestet	-|-|-|---|----|-|
ie fe r ai to ut e uostreuolentése iepui s	-|--⌫-⌫-|--⌫--⌫|-----|-------|-|-|---⌫|
Madoucefi lleor alézau puis	-|----|--⌫--|-|----|-|---|
etsim aporte ́z de	-|-||------⌫-|-|
l e uea boiure	|-⌫-||-----|
La sainteuierge	-|-----|-----|
precieuseq uiestoit p lainne de	--------|-⌫-|-----|-⌫-----|-|
t outesbontézne s est pasfain te	-⌫----|------|-||--|--|----⌫-|
d alertost	|---|---|
Ele sen uetaupu issanz demour anc e	--||-|--|-|--⌫-|---|------⌫---⌫|
e tco mmença aplourermouttendrement deléz	-⌫|--⌫------||------|---|---------|-----|
le puissi queles lermesquid ese s eulz	-|---|-|--|--|-----|--|-⌫|--⌫|---|
li uenoi entlicou rentcontreual la fa ceiusquau	-|-----⌫--|-|---⌫---|--------|-|--⌫-|----|-|
Eleertmout dolentedeceq ue	--|--|---|------|-|-|-⌫-|
sa mereauoi tpe rdu e s a	-|---|----⌫|--⌫---⌫|-⌫|
clar té por luica relecrientmou t que	----⌫--|--|--|--⌫|--|-----|---⌫|--|
cilpechiéneli nuis e	--|------|-|-|----⌫|
Elepuisadeleueen	--|----|-||--|-|
sonu esselsi	--|-⌫----|-|
se n r e uinttoutdroit asa	|-⌫|-⌫-⌫---|---|----||-|
merequiauoitestémout long ueme nt en tel de s troit de	---|--|----|----|---|----⌫----⌫-|-|--|--⌫-⌫----|-|
sa ue uemeseleaurapar tanssan t é	-|--⌫-|--|--|---|--|---|---⌫-⌫-|
D amedistlapucele asamere	-⌫--|---|-|-----||-|---|
uezuouscide leuebele	--|---|-|-||--|---|
aiacom plieuostreuolenté	-|----⌫---|-----|-------|
Eleena empli	--|-||----|
toutun u esselsid ist a	---|-|-⌫----|-|-⌫--||
Saigne cesteeu e deparceluise ingneur q ui	-----|----|--⌫|-|--|----|--⌫------|-⌫-|
toutaagouerner	---|||-------|
etquetuasa se ingn eu ret	-|--|-|-||--⌫----⌫--⌫|-|
Mai ntenantl aseingnieela p ucele etla	---⌫------|||--------|-|-⌫----|-|-|
b ailla asa	-⌫----||-|
mer eet e leen	---⌫|-|-⌫-|-|
IIIfoizsachiereetses	--|---|-|-----|-|--|
eul zqueele auoit	---⌫|--|--|----|
eumo ut destroiz	-|--⌫-|-------|
eten auoit	-|-|----|
este ́enteniebressicommelesc ripture tesm oingne	----⌫|-|--------|-|----||---⌫------|----⌫-----|
X XI moisq u	-⌫-|---|-⌫|
elenauoitueugouteet	--||----|--|----|-|
Da medieuparlasaintee ́dela	--⌫-----|--|-|-------⌫|-|-|
uier gelirend isa	----⌫-|-|----⌫|-|
clar te ́mes	----⌫--⌫|--|
fistmout durepe nitence	---|---|---|--⌫------|
Eins ira este ́enl umineeparles meri te s	----⌫|-|----⌫|---⌫-----|--|--|----⌫--⌫|
alab eneoitepu celle	|-|-⌫------|--⌫----|
d equinostre	-⌫|--|-----|
Siresnousamous trépar	----|---||----⌫---|--|
cest glorieux miraclesa sainte é	---|-------|------|-|------⌫-|
do nt tou z li mo nd esdoit rendregracesetlouengesa	--⌫-|---⌫|-|--⌫--⌫-|---|-----|-----|-|-------||
Eledemourapu ismoutloncte ns chiézsonperetant	--|------|--⌫-|---|---|--⌫-|-----|--|---|---|
uint enpro posement quelegu er piroitlesiecle porce	---|-|---⌫-------|-|--|--⌫--⌫-----|-|-----|--|-|
quiliauoitm ou tde	-|-||----|-⌫--⌫|-|
