quide cueri	--|-|---||
seuos monconseilencreez	-|--|--|------|-|----|
dom alag e	-|-⌫----⌫|
qui asorpri s uost rec ors	--||------⌫|----⌫-|-⌫--|
quiga ristpechiez	--|--⌫---|------|
etm alages	-|-⌫-----|
emp er erecomesages	---⌫--⌫--|---|----|
a resp ondia	|----⌫---||
seintsouest re	----|------⌫-|
sirefetilsecepuetestre	---|--|-|-|-|---|----|
qu euepeustestretrouee	-|--|----|----|-----|
quit antseit	--|-⌫--|---|
boneetes prouee	---|-|--⌫-----|
quigari ssealme et c ors	--|----⌫--|---|-|-⌫--|
don ques est biendreiz c e	---⌫---|--|---|----|-⌫|
qualtresd eus n	-|-----|-⌫--||
esten to tlem onde	--|-|--⌫|-|-⌫---|
queci l qu icors	--|--⌫|--⌫|---|
etalme monde	-|---|----|
em pererefet li	--⌫-----|--|-|
totes les eu escecreon	----|--|--⌫-|-|----|
ontcelpoerqueuosoe z	--|--|---|--|--|--⌫|
e deus li bonset	|---|-|---|-|
le sse ntefiadesaboche	--⌫|--⌫-----|-|-|----|
etantostcomaleuetoche	|------|--|||--|----|
li apialsdelat rinite	-|-----|-|-|-⌫-----|
depech ieso nt	-|----⌫-|--⌫-|
tuitaquité	---|------|
cil quidedenzba ptizié sont	--|--|-----|--⌫------|---|
etquifermecreancei ont	-|--|----|------||--|
esesanteuolezauoir	|-|----|----|----|
fasgietresbiensauoir	--|--|---|---|-----|
que i h esucristuo scoui entcroire	--|-⌫-⌫--|----|--⌫|----⌫--|-----|
ec ostenti nsrespontenoire	|-⌫-------⌫-|------|-|---|
iacertesse	-|-----|-|
etuneriens	-|--|----|
con m an deaporterlesimagres	---⌫-⌫--⌫-|------|--|------|
e cil comeco rtei s etsages	|--|---|--⌫----⌫|-|----|
totmente nantlesliap orte	--|-----⌫---|--|-|--⌫---|
deceforments ereconfo rt e	-|-|------|-⌫|-------⌫--⌫|
lemperere queil les	|-------|--|-|--|
edistqu enule riensneuit	|---|--⌫|---|----|-|--|
quitantse samblent	--|---|-|-------|
deuisa ges	-|----⌫--|
les ho mese t lesimages	--|--⌫--|-⌫|--|-----|
etresbienacialsc one uz	|---|---||----|-⌫---⌫-|
so ndorman tau oitu euz	--⌫|------⌫|--⌫--|-⌫--|
adon c limostrelapostoi re	----⌫|-|-----||-------⌫-|
de sapostress eg ont l estoire	--⌫|-------|-⌫--⌫--||------|
leconte nem ent	-|-----⌫---⌫--|
peisli enseigne bonement	---|-|-------|-------|
nostrecreancee tnost re lei	-----|------|-⌫|----⌫-|--|
e quant bienl otmi senla	|----|---||-|--⌫|-|-|
lemp ereres enquislia	|---⌫-----|-----|-||
comalom eomol tsefia	--|||--⌫||---⌫|-|--|
garir queporra estre	----|--|----|----|
adonclirespontseintsouestre	----|-|------|----|-------|
quancois yyiorzgeunera	-|-----|-|---|------|
eten afflictionssera	-|-|----------|---|
eno reisonsetemp roieres	-|-⌫------|-|-|-⌫------|
et porsesrobesl esplus	-|--|--|----|-⌫-|---|
a lach arnuea urala here	|-|--⌫-|--|-⌫--|-|---|
parto tfe ra al mosne fere	--|--⌫|--⌫-|--⌫----|---|
elescheti s deliuer ra	|--|-----⌫|-------⌫-|
et p eise mpre s	-|-⌫--|-⌫----⌫|
lebienuerra	-|---|----|
life raen treset	-|--⌫-|--⌫-----|
secequ i ldistd eboncu er f et	-|-|-|-⌫|---|-⌫|--|--⌫-|-⌫-|
lempereretot li otroie	|-------|--|-|-----|
c onmeci lquim oltagrant ioi e	-⌫---|--⌫|--|-⌫--||----|---⌫|
tot en sic om geleuosdi	--|--⌫-|-⌫-|-|-|--|-|
equan t ceuinta lsamadi	|----⌫|-|---|-⌫|-----|
qua compli	-|-⌫-----|
furentliyyior	-----|-|-|--|
l apostoiles ettu itli	|---------|-|--⌫-|-|
o paleissesonta uné	|-----|-|---|-⌫---|
o rentgeuné	-⌫---|-----|
do s iorzent ierspor	--⌫|---|---⌫---|--|
de p roier	-|-⌫----|
des onno ncroistreet essaucier	-|-⌫-|--⌫|-------|-|--------|
uenuzesta lemp ereor	----|--|||---⌫----|
l a postoileset	|-⌫--------|-|
san s po or	---⌫|--⌫-|
liaditsirehemesestore	-||--|---|----|--|--|
quenosfacon et sanz demor e	--|--|----|-|---|-----⌫|
ce quenos tresireplera	-|--|---⌫--|---|----|
faced air cequaferea	---||--|-|-||---||
liemperereli	-|-------|-|
alapeci ne atant s enuont	|-|----⌫-|----||-|---|
quideui ue egue ertt ote	--|-|--⌫-|---|--|-⌫--|
debon cu eretde	-|--|--⌫-|-|-|
b one aleine	-⌫--|-----|
la l a pos toilebien	|||-⌫---⌫----|---|
etbeneete etprinseignie	-|------|-|----------|
equantil lotdit et	|----|-||-|--|-|
ensi coml or	---|--|-⌫-|
futenseignié	--|---------|
s e furentm istoz agenolz	-⌫|-----|-⌫-|--||-----|
eliseinsh omli bonli dol z	|-|----|-⌫-|-|--|-|---⌫|
plein s dedolcoretdepitie	-----⌫|-|-----|-|-|----|
preiedequede	----|-|--|-|
sacre anc e	-|---⌫---⌫|
lor faceura i edemostrance	--|---|---⌫-⌫|----------|
quants oreisono tditeet fete	----||------|-⌫|---|-|---|
acostenti n	|--------⌫|
qui moltse hete	--|---|-|---|
qui altornez	--|-|-----|
estlapostoil eretornez	--||--------⌫|-------|
dedroi t emein no np asdenuerse	-|----⌫-⌫|---|--⌫|-⌫-||------|
troisfoizsorlui	----|---|--|--|
et a la tiercefois	-||-|-----|---|
le p lunge	-|-⌫----|
pasa menconge	--||-------|
qu ar pl us grant noisenefei st	--⌫-|--⌫-|----|----|-|---⌫-|
quiferch auten	--|--|--⌫--|-|
l euemeist	|--|----|
equenosuoir	|--|--|---|
direpoi s sons	---|---⌫-⌫---|
c omescher desd egrantp ei sons	-⌫-|------⌫--|-⌫|----|-⌫--⌫---|
neianertnu squim	-|-||--|--⌫|--||
c une sigrant cla rt ei ot	|--|-|----|---⌫--⌫||-|
con quesliuns l a ut renepot	|--⌫---|-|--||-⌫--⌫-|-|--|
esgarderemoltlordura	-------||---|--|---|
et lemperereadonc i ura	-||-------|----|-⌫--|
queiesucr istauei t ueu	--|---|--⌫--|----⌫|--|
uisablement et	----------|-|
en sitot seins	--⌫-|--|----|
ettothetiez	-|--|-----|
b ienuestuz et bi e nafet iez	-⌫--|-----|-|--⌫-⌫|----⌫--|
dedrasblas si	-|---|---|-|
com ilcou ient	--|-|---⌫---|
uers sonpal esarie reu ie nt	---|--|---⌫-|----⌫-|-⌫--⌫-|
ens onpalesestlemperer e	-|-⌫-|----|--||-------⌫|
q uid elac rea nceoi l	-⌫-|-⌫|-|-⌫---⌫--||-⌫|
amoltgrant	|---|----|
io iee fetque s ages	--⌫-||--|--|-⌫---|
sesl oisf e t metre	--|-⌫--|-⌫-⌫|----|
esesusa ges	|--|---⌫--|
poressauciercrest iente	--|--------|-----⌫----|
ensico mia uosiertc an té	---|--⌫|-|--|---|-⌫--⌫--|
etfu rentmises paryyiorz	-|--⌫---|----|--|-|---|
quetantdurali	--|---|---|-|
suensseior z	----|-----⌫|
c onquessor ch eu alne	|-----|--|--⌫--⌫-|-|
ne sa blanche robe nosta	-|-|------|---||---|
la loido premi erior	-|--|-|-----⌫-|--|
quecechescons	--|-|-------|
deusent ot le	---|-|-⌫-|-|
apre s c ele	----⌫|-⌫--|
quialsegon tiorfut	--|-|-----⌫|--|--|
q ueporriensnefutpardonee	-⌫-|--|----|-|--|-------|
neuilanieneordur e	-|------|-|-----⌫|
ne asa feture	-||-|-----|
eustestéfete ne dite	---|----|---|-|---|
dotierz iors	-|----|---|
fut la loise s crite	--|-|---|-⌫-⌫----|
te le comeia u osier tretrete	--⌫-|---|-|-⌫-|---⌫|------|
sacresti ens fusthonte	||------⌫--|---|----|
comestdeledirodeba tre	--|--|-|----||-|--⌫--|
uaillantu nuef	-------|-⌫|--|
nenpuisseabat r e	|-|-----|----⌫-⌫|
n eperdentsen sdroit auoir	-⌫|------|---⌫|----|----|
la moitiedetot	-|-----|-|--|
doquart iordut	-|----|--|--|
c el eloisestre	-⌫--⌫|---|----|
quetui t li euesqueet li	--|---⌫|-|------|-|-|
etli clier cenquel leuq uilfusent	-|-|-----⌫|-|---|--|-⌫|-|-----|
por s eignorla postoire eusent	--|-⌫-----||-⌫-------|-----|
equaltan t porluife issont	|-|-----⌫|--|--|--⌫-----|
comli baillifp o rle roifont	--|-|------|-⌫-⌫|-|--|---|
iorfutc este	--|--|-⌫---|
qu e n qu elque leu	-|-⌫|--⌫----|--|
q uil etiglise	-⌫|-|-|-----|
le la rro npoisse garantir	-|--⌫---⌫|-----|-------|
queia solnenose tenti r	--|-|--||-|--|-----⌫|
nesonerun solmot	-|----|-|--|--|
iusticep uisqu il iertde denz	------|-⌫----|-|---|--⌫---|
dose ste iorfut	-|--⌫--|--|--|
quenpe reren e	-|----⌫---|-⌫|
quie ns ne	----⌫-|-|
cit ene feist	---⌫|-|----|
se leuesqu eotrein	-||------⌫|----||
a lsem eiorac om plitot	-⌫|---⌫|--|--⌫--⌫--|--|
euu e ltqu elenfacedebot	|--⌫-⌫-|--⌫|--|---|-|--|
part otle mo nde lesi glises	--|-⌫-|-|--⌫--|--|-⌫-----|
e quelesdemessoientmise s	|--|--|----|-----|----⌫|
de sesrentes riens	-|--|-----|----|
as iglisesfon deret	-|------|---⌫--|-|
ensietablistl emper ere	---|-------||-----⌫--|
c equ ili si st e tbo n li er e	-⌫|--⌫|-|--⌫-|-⌫|--⌫|-|--⌫|
quantlemperereassisesot	----||-------|------|-|
sesl oistelesco mchescun ot	--|-⌫--|----|--⌫|------|-|
e lestemplesotab atuz	|--|------|-|--⌫---|
lesdeusd ebrisie ze	--|---|-⌫-------⌫||
lendemeinse met a lauoie	|-------|-|--||-|---|
el apostoilelen	||--------||-|
tantqu il uindrente n une	-----|-|-------|-⌫|--|
oil lia gre equilface	|-|-|-⌫---⌫|-|-|---|
onomde sdozec ompeignons	|--|--⌫|---|-⌫---------|
qu enosapos tres	--⌫|--|----⌫---|
tesmoig nons	-------⌫---|
uneiglisede molt	--|-----|-|---|
ha lt pris	--⌫-|---|
en sameinleapr is	-|-|---|-||--⌫-|
porconmencie rlefondement	--|---------⌫|-|--------|
etenapresmolt	-|-|----|---|
en lenorseint pere	-||---|----|---|
etse intp ol	-|--⌫--|-⌫-|
po rte d ela	--⌫--|-⌫|-|
ter reasoncol	---⌫-||--|--|
totespl eines	----|--⌫----|
yy corbeille s	-|---------⌫|
edeceuient a grantmer ueil les	|-|-|----||----|---⌫----⌫--|
acialsquilont e sgardé	|----|--||--|-⌫------|
gu eresta rdé	--⌫---|--⌫---|
riche igliseet	----|-----|-|
fet dobaptiste seintiohan	--|-|-------|----|----|
uos auroi edit oan	--|-----⌫|--|--|
eteseua ng ilesmusé	-|-|---⌫--⌫---|----|
oil na apas so ntensusé	|-|-||--|--⌫|---|---|
quedelacroiz	--|-|-|----|
o d eusfut mis	|-⌫--|--|--|
por ra iembre	--|--⌫-----|
les su ensamis	--|--⌫--|---|
otenquise lauer ite	-|------|-|---⌫--|
q ue nierus alemote sté	-⌫|-⌫|-----⌫---|-|-⌫---|
nostresi re	-----|--⌫-|
il ne sestmietantfiez	-|-||--|--|---|---|
e nnulautre comensa	-⌫|--|----|--|-|-|
denque r e laoul ac roiz ere	|-----⌫-⌫|-|-|-⌫|-⌫---|--|
auoi tle uo irenquis	----⌫|-|--⌫-|-----|
conmentlame recostent in	------|-|--⌫-|-------⌫-|
sebaptiz a quar	-|------⌫|---|
uospor roitmolttostennoier	--|---⌫---|---|---|------|
c e uoloie po ier	-⌫|-----|--⌫--|
manda etdist	----|-|---|
m esoez quecostent insfist	-⌫-|--|--|-------⌫--|---|
parses l et res et par messages	--|--|-⌫--⌫--|-|--|-------|
conmecor tois li	----|---⌫---|-|
mandeetsages	----|-|----|
quele autencerch ieretenquere	-|--|--|-------⌫--|-|------|
l acitele leuetla	-⌫|---|-|--|-|-|
oliioifquiadonc erent	|-|---|--|----|----|
nostreseignorcruc efierent	-----|------|----⌫-------|
e tantfacep ar sonsauoir	|---|---|-⌫-|--|-----|
quelaseintecroizpuisse	--|-|-----|----|-----|
quenierusa lem	-|-|------⌫--|
recut ilmortdeuerite	----|-|---|-|-----|
laboned ameseintehel ein e	-|---|-⌫--|-----|---⌫---⌫|
iertpleine	---|-----|
ert adoncenco stentinnob le	--|----|-|--⌫----------⌫-|
fermeetfondeeenla l ei de	----|-|-----|-|-|-⌫-|-|
eains que li eustman dé	|----⌫--|-|---|---⌫--|
sisfiz de l acro iz lanouele	--|--|-|-⌫|---⌫-|-|-----|
deusqui totce qu il	---|--|--|-|-|-|
uelt reuele	---|-----|
semonselen auo it pars o ng e	------||-|---⌫-|--|-⌫-⌫--⌫|
ne quiert demore nealo nge	-|-----|-----|-|---⌫--|
quene uoillesauoir enfin	--|-|-----|-----|----|
que litrai to r de putl in	--|-|----⌫--⌫|-|--|-⌫-|
dela croizn o stres eignorfirent	-|-|----|-⌫-⌫---|-⌫-----|-----|
oil agran t tort	|-||----⌫|---|
lep en dirent	-|-⌫--⌫-----|
t antenquistet	-⌫--|------|-|
ta n t sep e na	--⌫-⌫|-|-⌫-⌫-|
o ses granz	|--|----|
genzquelemena	---|-|--|---|
que parliefut la	--|--|--|--|-|
c roiz trouuee	-⌫---|------|
cenestlaueri tep rouee	|-|--|-|----⌫-|-⌫----|
emorrezia direcoment	||----|-|---|-----|
s ecestee stoireneme me nt	-⌫|----|-⌫-----|-|-|--⌫-|
deu sce nzanzpeisetyy trois	---⌫|--⌫-|--|---|-|-|----|
croizfutmis d eus	----|--|--|-⌫--|
osetesmea n que son	|------|-⌫|--|--|
te noit costentinslem p erere	--⌫---|---------||--⌫-⌫----|
e nier usale mla cite	-⌫|---⌫-----⌫|-|---|
uint lareine	---|-|----|
quiala bo neor e fu s tnee	--||-|--⌫-|--⌫|--⌫-⌫|--|
sot grantgenzosei amenee	|-|----|---||--|-----|
deserianzetde cheua liers	-|------|-|-|-----⌫----|
hardizec omba ta nzefier s	-----||-⌫----⌫--⌫-||----⌫|
tanto st comelefutuenue	-----⌫-|--|--|--|----|
nesest gueres em	-||--|-----|-|
pez tenu e	--|----⌫|
queleasoi ne faceuenir	-|--||--|-|---|----|
totlesioise t bientenir	--|--|---|-⌫|---|----|
no npassen s plus	--⌫|--|---⌫|---|
cels quele trou e	---|-|--|----⌫|
cite ancoisru ue	---|-----|--⌫-|
q uelonli ameint	-⌫-|--|-|-----|
tozicial s	--|-----⌫|
citezeteschastial s	----|-|-|--------⌫|
sontespandu zparmielaterre	---|-------⌫|-----|-|----|
mestant les	--|---|--|
otgreié s laguerre	-|------⌫|-|-----|
elesm alesdestrucions	|--|-⌫---|----------|
les malsetlesoccisions	--|---|-|--|--------|
lesgranz famineset les	--|----|------|-|--|
queioi sauoient soffertes	--|---⌫|------|--------|
esiertdestruite la uile	|-|--|--------|-|---|
quapeinesempuetlon treimile	-||-----|-|---|--|---|---|
qu e dede n z que dehors trouer	--⌫|----⌫-⌫|--|-----|-----|
poressaier e tesprouer	--|------|-⌫|-------|
epo rs auoirce	|--⌫|-⌫----|-|
labonedame seinte heleine	-|---|---|-----|------|
lorenquiertsicom u osdirei	--|-------|-|--|-⌫-|----|
seignorfetele bien le	------|--|--|---|-|
que fu stesancienement	--|--⌫---|----------|
améd e demol tb one ment	---|-⌫|-|---⌫|-⌫---⌫---|
iusque tant qu	-----|---|-|
e nt er reenuoia	-⌫|-⌫--⌫-|-----|
quia s o irauoia	--||-⌫-⌫|-----|
tozcialsquadanspa rsonpechie	--|----|-|----|--⌫|--|-----|
auoit enenfertrebuchié	----|-|----|---------|
ecilfut delauirge	|--|--|-|-|----|
co m isaiesli s enez	--⌫|-----|-|-⌫---|
etli a u tr eproph et edient	-|-|-⌫-⌫--⌫|-----⌫--⌫|----|
plu sdey ylius crient	---⌫|-|-⌫|---|-----|
desa nesancee	-|-|------||
cil futo cisasig rant tort	--|--|-⌫--||-|-⌫---|---|
come ncore hei uos	--|-⌫----|--|--|
s aur edi re	-⌫---⌫|--⌫-|
alez si mef etes eslire	---|-|-|-⌫---|-----|
tozles plussagesd	--|--|---|----||
en tre uos	--⌫--|--|
qui mes achent	--|-|-⌫-----|
direaestr o s	---||----⌫-⌫|
ce que gie	-|--|--|
lordemandere	--|--------|
e ci ls enp arte ntsanz dele	|--⌫||-|-⌫----⌫-|---|---|
sisentreentaune	-||-|-----||--|
co nm and e c omlesgart	--⌫--⌫---⌫||-|--|---|
lempereris et cileslisent	|--------|-|--|-------|
mil desioisqueil plus prisen t	--|--|---|--|-|---|------⌫|
der el igionetde sen	-|-⌫--⌫----|-|-|--|
quantorent f e treuenentsen	----|----|-⌫-⌫|-------||-|
d omenos au ons	-⌫--|--|--⌫--|
esleucialsquenossauo ns	----|----|--|--|----⌫-|
quiplussont	--|---|---|
sages dela lei	----|-|-|--|
fet larein e etielotrei	--|-|----⌫|-|-||----|
oruoil gie donc senzplu saten dre	-|---|--|---|---|---⌫|----⌫--|
quelareson	--|-|----|
me sachentrendre	-|------|-----|
