#META#TextU RI	-----|-----⌫-|
Alex i sOctP	----⌫-⌫----|
ch ufleis n aueien t cure.	--⌫-----||------⌫|----|
Einzc eis par loient descritur e	-----⌫--|---⌫-----||--------⌫|
DeDeudedificacion	-|--||----------|
De sensetde relig ion	-|---|-|-|-----⌫--|
De lpreu et del salude la me.	--⌫|---|-|--|---|-||-⌫--|
T e lertlisires e t	-⌫-⌫|--|-|----|-⌫|
Ki Aglae saueitanon	-|-----⌫|----||--|
Neualeitpasmeinsse meuznon	-|-----|--|----|-|---|--|
Ques isiresensun	--|-⌫|----|-|--|
Karele amoitDeuet crem oit	--|--|----|--|-|----⌫--|
Ets epeneitde l u i seruir	-|-⌫|-----|-|-⌫-⌫|-----|
et asunplesir	-||--|-----|
Ne fufolene iangler esse	-|-|---|-|-------⌫---|
Nebaulande	-|-------|
ne beuerresse	-|---------|
Nef elonnesse norguellose	-|-⌫--------||---------|
Einzert sainteetrelegiose	---|--|-----|-|--------|
Et debene reetaumosniére	-|------⌫-|-|----------|
Etuaillantent ot emanie ́re	-|-------|-|-⌫--⌫|-----⌫--|
Sanzuilanie et sa n zmeff et.	---|------|-|--⌫-⌫|----⌫--|
Mèsm oultér enten	---|-⌫---|---⌫--|-|
grant d ehet	----|-⌫---|
Andui quiln	----|-|-||
aueientn ulheir	------|-⌫-|---|
Quifus tsirede loraueir	--|---⌫|---|-|--|----|
Siérentenaflictions	-|-----|-|---------|
En ieunes en ore iso ns	-|-----|-|---⌫---⌫-|
uersnost re sei gnorIh esuCri st	---|----⌫-|---⌫---|--⌫--|---⌫-|
Qu il lordon ast et	-|-|--|---⌫--|-|
ilsi fi st	-|-|--⌫-|
Unfizorentkilape lérent	-|--|----||-|---⌫------|
A lexiDeuenmerciérent	-⌫---|--|-|----------|
preireaueit oie	-----|----|--|
E tpramistr entque chasteuie	-⌫|--------⌫--|--|-----|--|
T endreientdi lec en auant	-⌫--------||-⌫--|-|----|
A toz l esiors	|--|-⌫-|---|
d eloruiu ant.	-⌫|--|---⌫---|
Lienfes crutetamenda	-|----|---|-|-----|
Tantquesis	---|--|--|
pe ́res k emanda	--⌫---|-⌫-----|
Etuou t qu ilf ust aletres mi s	-|---⌫|-|-|-⌫--||-----|--⌫|
dapre n d ree ntremis	|----⌫-⌫-⌫-|-⌫------|
Comme soutilet	----|-----|-|
de boensens	-|---|---|
Sibie nqu ilfuen poide	-|---⌫|-|-|-|-|--|-|
De plusor s a rzpreuz e tuall anz	-|------⌫|-⌫-|----|-⌫|----⌫--|
Etsagesetbien r esp onnanz.	-|----|-|---|-⌫---⌫------|
Me ̀ s enladiu ine escritu r e	--⌫-⌫|-|-|---⌫--|-------⌫-⌫|
Outplusmis se n tenteet	--|---|--||-⌫-⌫----|-|
Ilipenseit etnuitetior	-||------|-|---|-|--|
Certsestuidec ert	|--||------||--|
son labo r	--|----⌫|
Sonsolazets enue is eure.	--|----|-||----⌫--⌫----|
Dautrededuitnaueitil cu re	|----|-----||----|-|--⌫-|
Karilaueitt roué sanzfaille	--|-|----|-⌫----|---|-----|
Illec legrei ndesozla paille	----|-|----⌫|----|-|-----|
Etparletasterdec elfr ui t	-|--|-|-----|-|-⌫-|--⌫--⌫|
Saueit il q ue	-----|-|-⌫-|
totlededuit	--|-|-----|
De cestsiecle por	-|---|-----|--|
N estfo rs	|--|--⌫-|
folie etuanité	----|-|------|
E tquiplusi metsoncorage	-⌫|--|---||--|--|-----|
Plus fet s onduel ets on	---|--|-⌫-|---|-|-⌫-|
arie n quibienplese	|---⌫|--|---|----|
Per dreIe stuetagrantmesese	---⌫--||-⌫----||----|-----|
Ouala uie o uala mort	-||-|--|-⌫||-|---|
Sanz r eco urier et s anzcon fort	---|-⌫---⌫----|-|-⌫--|---⌫---|
Karquantplu s estla ch oseam ée	--|----|---⌫|--|-|--⌫--|--⌫--|
griéuel adeseu rée	------|-⌫|-----⌫---|
Etplusdoloroselap erte.	-|---|-------|-|-⌫----|
P oriteluan itéaperte	-⌫-|---|---⌫---|-----|
Et por me inteautr eau eit	-|--|--⌫---|----⌫|--⌫--|
Le sieclead ossé Al e xi	-|-----|--⌫----|--⌫-⌫-|
Pageu01P170	----------|
Et donéa Deut o t soncu er	-|----||--|-⌫-⌫|--|--⌫-|
enfustparti anul fuer	-|---|----||--|---|
Mès son pérequi mo utl amot	---|--|----|--|--⌫-||---|
Totautrem entdeluipensot.	--|------⌫--|-|--|------|
K arquantille	-⌫-|----|-|-|
ui te naage	--⌫|-⌫|---|
Femme li quist	----|-|----|
degra nt para ge.	-|---⌫-|----⌫--|
KendiroieplusLe ioruint	|-|-----|---|-|--|---|
K esposerfame li couint	|------|---|-|-----|
Niosametre nulcontenz	||--|----|--|------|
pe ́reetporses	--⌫--|-|--|--|
Mèsenso ncuer	---|-|--⌫|---|
outgrandte mpeste.	--|----|--⌫------|
Et pardeho r s esteit la fe ste	-|--|----⌫-⌫|-----|-|--⌫--|
Grantetplaniére	----|-|--------|
etg loriouse	-|-⌫-------|
Si enueisieet siioi ouse	-|-------|-|-|---⌫---|
Comeilc oueneitateusgenz	---|-|-⌫------||---|---|
Mouti outdi ue rsestrumenz	---||--|--⌫--⌫-|--------|
G iguesetharpeset	-⌫----|-|-----|-|
Cend a usetpaileset	----⌫-⌫-|-|-----|-|
Tanzemb ra sem enzde deliz	---|---⌫--⌫---⌫--|-|----|
E talum allesde lu xure	-⌫|----⌫----|-|--⌫---|
Des ge usetdelenuei seure	--|--⌫-|-|-||-----⌫----|
Des sone zet	--|----⌫|-|
de smeloudi es	--⌫|-------⌫-|
Dontlesnocesér en tfarsies	---|--|----|---⌫--⌫|------|
Ke bien poezs aueirs anzfaille	-|---|---|-⌫----|-⌫--|-----|
Que mout outen son	--|---|--|-|--|
cuerbataille	---|-------|
E tgrantloierde lauictoire	-⌫|----|----|-|-|-------|
Qui por Deu	--|--|--|
refusatelgloire.	-----|--|------|
Li io rtrespa ssalanuitui nt	-|--⌫|------⌫--|-|---|--⌫-|
Alor letalerlesc o uint	|--|--|---|--|-⌫-⌫---|
Sifu menéelesposée	-|-|-----||-------|
Enunech amb r ee ncortinée	-|--|--⌫---⌫-⌫|-⌫---------|
Etpa ré eded rasde seie	-|--⌫---⌫|-|-⌫--|-|---|
Sicointementcommeatelioie	-|---------|----||--|---|
Couient et	------|-|
asihautesgenz.	|-|-----|----|
Etquant ilorentla dedenz	-|----|-|----|-|-----|
Trest otlorafere at orné	-----⌫-|--|----|--⌫----|
Liuaillet n a pas seio rné	-|------|||--|----⌫---|
Mout l onguementeinceisala	---|-⌫--------|------|--|
Après eten lachamb re entra	-----|-|-|-|-----⌫-|----|
Et fist lacos tume	-|---|-|---⌫---|
De lpaisetdem ariage	--⌫|---|-|-|-⌫-----|
A tantsenpartent et s enuont	|---||-|------|-||-|---|
Ci lquiplusafereni	--⌫|--|---||---|||
Etil remestrents o landu i	-|-|---------|-⌫-⌫|----⌫|
Sansconpaign i e	---|--------⌫-⌫|
Qu antilfure n t priuéeme nt	--⌫--|-|----⌫-⌫|---------⌫-|
solprimi érement	--|-----⌫-------|
Commen ceaparler Alexi	------⌫-||-----|----|
Damefe til	---|--⌫|-|
ore estissi	--|--|---|
Dexqui t otafetetcr ié	--|--|-⌫-||--|-|--⌫--|
en semb lemar ié.	--⌫----⌫-|---⌫---|
siestdreit ce mes e mbl e	-|--|----|-|-|-⌫-⌫---⌫|
aiunamorensem ble.	---|---|-----⌫---|
leautée t fei	------|-⌫|--|
Etieauos etuosa	-|-||--|-|--||
Etnost r e	-|----⌫-⌫|
amorseitsiplani ére	---|---|-|-----⌫---|
Quelseite t ueraie etentière .	-|-|---|-⌫|-----|-|--------⌫|
S irecerespontlapuc ele	-⌫--|-|------|-|---⌫--|
uosditesres onboneet bele	--|----|---⌫-|---|-|---|
Etienaibon e uolenté.	-||-|-|---⌫|--------|
uostreamor et u ost rebo ngré	-----|---|-|-⌫---⌫-|--⌫|---|
uoudrei e iemou t	-------⌫|-|---⌫|
Eti aital entdeuosse r uir	-||-|---⌫--|-|--|--⌫-⌫--|
Etam er etporter ennor	-|--⌫-|-|-----|----|
Comm eaami et	----⌫||--|-|
Et moultmeplestit e lman iére	-|----|-|----|--⌫-⌫|---⌫----|
D amorqui seitueir eetentiére	|---|--|---|----⌫|-|-------|
Sicom i ententuost redeuise.	-|--||-----|----⌫-|------|
Etienuérite ́ sanz feintise	-||-|-------⌫|---|-------|
uosaimi ssi entiére ment	--|--|-⌫--|--------⌫---|
Bienlesach iezcerteinement	---|-|----⌫--|-----------|
Ker iaho meniparti ra	--|-|--⌫-|||-----⌫-|
T o te m auracil qui maura	-⌫-⌫-||---|--|--||---|
De xmegart de	--⌫|-|---|-|
teluila nie	--|----⌫--|
n ului partie	-⌫---|-----|
Nedemonc or snedemoncuer.	-|-|--|-⌫--⌫|-|-|--|----|
uosdites moutbienb ele suer	--|----|---|---|-⌫--|---|
Feti lcestdroi teamor ch arnel	--|-⌫||--|----⌫-|---|--⌫----|
De mariagemès po r el	-|------|---|--⌫|-|
Ledis queuos nente ndezmie.	-|--|--|--||----⌫---|---|
Q u i bien u ueltau n e	-⌫-⌫|---|-⌫---||-⌫-⌫|
Demo ncorseta aut remal	-|--⌫|---|-||---⌫-|--|
amore ntiére	---|-⌫------|
Namor u eraie n	|---|-⌫----||
S eleu eut ma lneuila nie	|--|-⌫--|--⌫|-|----⌫--|
Neln estneueraienesage	|-||--|-|-----|-|---|
por bien maletdemage .	--|---|--|-|------⌫|
Folio3 2 a	------⌫-⌫|
Telest amorluxu riose	--|--|---|----⌫----|
Dont l afinest mo ut	---|-⌫|--|--|--⌫-|
Pageu01P172	----------|
Etie uos ditot en sement	-|-|--|-|--|--⌫-----|
amezentiérement	---|-----------|
deuez uos ce mesemble	----|--|-|-|-----|
Mie uzamerm	---⌫-|---||
ame quimieuz	--|--|----|
aim moutmieuzse Dex	--|---|----|-|--|
Enmoietenuos	-|--|-|-|--|
u nd es orteuz.	-⌫|-⌫-|------|
Amonnos doncmad ouce amie	---|--|---|-|-⌫---|---|
Sanz pechié	---|------|
Quer autreamorn estfor shaingne.	---|----|---||--|---⌫|-------|
Commentdists irelame sc hine	------|---|-⌫--|-|--⌫--⌫---|
Estdonkespechiémariage	--|-----|------|------|
Ne nilfe til	--⌫--|--⌫|-|
mès cilest	---|--|--|
Qui letc e lbienporungraignor.	--|--|-⌫-⌫|---|--|-|--------|
uirgi nitées tmont	-----⌫----|--⌫|---|
Eta monthautegloireuient	-||---|----|-----|----|
Qui b i enlen prentetbienl a	--|-⌫-⌫-||--⌫----|-|---|-⌫|
Ensorquetotmon tdoit d oute r	----------|---⌫|---|-⌫----⌫|
Homequitenta soi	---|--|---||--|
Legrandperil e tlefort laz	-|----|----|-⌫|-|---|--|
Qu isies t prèsde cel sola z	--⌫|-|--⌫|----|-|--|----⌫|
Comeilcou uient amarifere	---|-|---⌫----||---|---|
ueutalmon deplere	---|-|---⌫-|----|
Ilen cor t	-|--⌫---⌫|
montd autres	---||-----|
Donttouzlimonz	---|---|-|---|
esten tec hiez.	--|--⌫---⌫----|
Sifet que sa i ge lipoisson	-|--|--|--⌫-⌫-|-|------|
Quifuitle uermp orlameçon	--|---|-|---|-⌫-||------|
Kertrop i ac hiére g olé e	--|---|||-⌫-----|-⌫----⌫|
Poureetpetiteet	----|-|-----|-|
tost alée .	---|-----⌫|
Nestpasdoncsagesmarcheanz	|--|--|---|----|--------|
Ei nceis est folet	--⌫----|--|--|-|
meschean z	--------⌫|
Quisichier achatet e lch ose	--|-|----|-----|-⌫-⌫|--⌫--|
to stu ienta la	--⌫-|-⌫---||-|
pa rclose.	--⌫------|
Qu iuoudreitaDeu bar ken nier	--⌫|-------||--|---⌫---⌫---|
Qui nulhu ine ueuten ginn ier	--|-----⌫|-|---|--⌫----⌫--|
M ou tporre itgrant	-⌫--⌫|-----⌫-|----|
ennorconquerre	----|--------|
ciel porlat erre	---|--|-|-⌫---|
por la palle.	--|-|-----|
Estilmar chié	--|-|---⌫----|
quicestuiuaille	--|-----|-----|
enbie ndirea dreiture	-|---⌫|---||-------|
Q uecestma rch iéesttroueure.	-⌫-|---|--⌫---⌫--|--|--------|
Oreesgardez dechiefenc hief	--|-------|-|----|-|-⌫---|
Aqueldolo ra quel meschief	|---|----⌫||---|-------|
Hom nest et	--|---|-|
Totcomme nued ematin	--|----|--|-⌫|----|
conceuz eno rdure	------|-|-⌫----|
Etne stagrant	-|--⌫-||----|
malauenture	----------|
Et ui tenpeinne	-|--⌫|-|-----|
et enlabor	-|-|----|
Etmuert da ngoisseet de dolor.	-|----||-⌫------|-|-|-----|
Tozdeuun treuala mort	--|----|---||-|---|
Etariueron	-|-------|
Etpas seronpar misaporte	-|---⌫----|---⌫-|-|----|
Niasifort quil i	|||-|---|--|-⌫|
Qu e le pl usforte tl e plus sain	--⌫|-|--⌫-|---|-⌫|-⌫|---|---|
tostmise nsonsain.	---|--|-⌫|--|----|
Nus n apororneporargent	--|||--|-|-|--|-----|
Deletreu esne t ensement	|--|----⌫-|-|-⌫-------|
Lamorttretdel arcquinefaut	-|---|---|-||--|--|-|---|
esparnen e ba s	------|-⌫|--⌫|
Einzmettotegent enun	---|--|---|---|-|-|
Et p oureetricheet rei e t conte	-|-⌫---|-|----|-|--|-⌫|----|
Etfolet sag e	-|--|-|---⌫|
e tmaletboen	-⌫|--|-|---|
ch alengetotporsoen.	--⌫-----|--|--|----|
Queuautdo nc beaute ́ et ri ch ece	--|---|--⌫-|------⌫|-|--⌫--⌫--|
F orce puiss ancegentillece	-⌫---|-----⌫---|---------|
B eauss olaz etio ie etdedu it	-⌫---|-⌫---|-|--⌫-|-|----⌫-|
Qu antmorttot abate td estruit	--⌫--|---|--|---|-⌫|-⌫------|
enatoziorzbracié	-||--|---|------|
Et laboréetporch ac ié	-|------|-|-----⌫--⌫--|
E t escreu	-⌫|-----|
et es sa u c i é	-|--⌫--⌫-⌫-⌫-⌫-|
a u n c op crab acié	|-⌫|-⌫-|----⌫----|
Etfetreueniraneent	-|--|------||----|
Et esuanoir	-|-------|
Etdefi recomme f umée.	-|----⌫-|----|-⌫-----|
Porceanonli	--|-||--|-|
mo ntfolibée	--⌫-|--||---|
Ets a ntédom efols ifie	-|-⌫-⌫---||--⌫|--|||--|
Etsaio iechace fo lie.	-|-|--⌫-|----|--⌫---|
Dahezait fruitqui	----|--|----|--|
qui tozio rz dure.	--|--|--⌫-|----|
M ès nedistpas quanqu ilpensa.	-⌫--|-|---|--|-----|-|-----|
Etquanta sez	-|----|-⌫--|
out sar moné	--|---⌫----|
Unanel dorli a	-|---||-|-||
Commea sado uce chiéreamie.	----||-|--⌫--|------|----|
Etli encharcheetdit et prie	-|-|--------|-|--|-|---|
lamo rde lui legart.	|---⌫|-|--|-|----|
Atant delepar	|---||--|--|
nuit sen par t	---||-|---⌫|
Pa geu01P 173	--⌫------⌫--|
Si coiementconquesnes out	-|-------||-----|-|-⌫--|
Ho mene fameou ilalout.	--⌫-|-|---|-|-|-----|
Eta pris oue	-||---|--|
Tantcon li plout et	---|--|-|----|-|
s embla boen	-⌫----|---|
Etsenestissup o rDeuq uerre	-||-|--|---|-⌫-⌫|--|-⌫----|
Deson pa ise t desaterre .	-|--|--⌫-|-⌫|-|-|-----⌫|
Alameruintoutrepassa	|-|--|---|----|----|
Enunen ef que il troua.	-|--|-⌫-|--|-|-----|
Loresa saueieaq uel l ie	----||-|---|--⌫---⌫-⌫-|
Pa rmé latere	--⌫---|-|---|
ta ntparses	--⌫-|--|--|
Parm ont eignes etpa ruale ́e s	--|-⌫---⌫-----|-|--⌫|----⌫--⌫|
Qu eiln efine nenecess e	--⌫|-|-⌫|---|-|-|----⌫|
Deuan tque	-----⌫|--|
ilu intaEdesse	-|-⌫--||-----|
Une citéb ienre nomée	--|----|-⌫--|--⌫-----|
Quiore est	--|--|--|
Rohèsape le ́e.	-----|---⌫--⌫--|
I lecasarobe changée	-⌫--||-|---|-------|
P or uneui ezetdep ecée	-⌫-|--|--⌫-|-|---⌫----|
Eta do n éa	-||--⌫-⌫-||
poure gent	----|---|
Cequila ueit	-|-|-|-⌫---|
doret dargent	|-|-||-----|
siqu anqueil out	-|--⌫----|-|--|
Conquesr iensretenirn enuout	|-----|-⌫---|------||-|---|
AinzsenfistporDe usi	---||-|---|--|--⌫|-|
Quillecouintdaumones	-|-|-|-----||------|
Moutfurent	---|-----|
dolentaumatin	-----|-|----|
Tuitlipare nt	---|-|----⌫-|
etliue isin	-|-|--⌫---|
Quantilfutseuqu Alexi	----|-|--|--|-|----|
Lesaue itd eguerpizis si.	--|---⌫-|-⌫-------|--⌫--|
Lesbaesses etle s	--|------|-|--⌫|
Enfirentdueletpla intesgranz	-|-----|---|-|---⌫----|----|
Mèssortozl epéreetla	---|--|--|-⌫|----|-|-|
c on tenanceamére	-⌫--⌫------|-----|
Tristeetplaintiue	-----|-|--------|
etgaimentose.	-|----------|
Lassec heitiuedo lo rose	----|-⌫------|--⌫--⌫---|
Fe tlamére	--⌫|-|----|
quedeuendre ́	--|--------⌫|
Ou est mon	-|--|--|
f izoulekerré	-⌫-|-|-|-----|
Iemo rreie ore ndreit monuuel	-|--⌫----|---⌫-----|--|---|
Que riamès ior	---⌫|-----|--|
n istrai deduel	|-----|-|---|
Dan goisse n edaflictiun	|--⌫-----|-⌫||--------|
Deplordet ribulac i un	-|---|-|-⌫-------⌫-⌫-|
Deuant qu eies achenouele	-----|--⌫|-|-⌫---|-----|
D emonbel fiz.Et	-⌫|--|--|---|-|
Quilaueitnouelespo sée	-|-|----|----|----⌫---|
Est dur ement	--|---⌫----|
Etplaintet	-|-----|-|
plore et dit etiu re	----|-|--|-|--⌫-|
Q ue iamèspo r nulleau enture	-⌫-|-----|--⌫|----|--⌫-----|
Autreseignor d e lui n au ra	----|------|-⌫|--||--⌫-|
i ldemortellatendra.	-⌫|-----|-||-------|
Eufe mien fetd uelmoutgran t	----⌫---|--|-⌫--|---|----⌫|
Commepére detele n fant	----|----|-|--|-⌫-⌫---|
Etenuei apo r son fiz	-|-----⌫|--⌫|--|--|
D e sess erianzparmilat erre	-⌫|--|-⌫-----|----|-|-⌫---|
Etc ̧aetl aetIoinz et	-|-⌫-|-|-⌫|-|----|-|
L i unspassérentp arRohès	-⌫|--|---------|-⌫-|-----|
Me ̀sA lex ipas netrouérent	--⌫-|-⌫---⌫|--|-|---------|
Silu ire nt	--|-⌫---⌫-|
ilet lidonérent	-|-|-|--------|
Deloraumonesquil r eq uist	-|--|------|-|-|-⌫--⌫---|
Totporpenseément et prist	--|-------------|-|----|
D eusporcequillesquenutbien	|--|--|-|-|-|--|-----|---|
n elquen urent de r ien	-⌫-|----⌫----|-|-⌫--|
Porc e qui lert	--|-⌫|-|-⌫|--|
malator né.	--|----⌫---|
Sisensuntsa nz	-||-|---|--⌫-|
luiretorné.	--|--------|
QuantAle xi ace ueu	----|---⌫-||-|--|
Qui l n e l ont pasaperceu	-|-⌫|-⌫||--|--|------|
Nerequen eunaui sé	-|------⌫-||---⌫--|
Po rc equil	--⌫|-⌫|-|-|
er t si desguisé	--⌫|-|--------|
palesetdes p it	----|-|---⌫-⌫-|
En pou re esta ten	-|---⌫-|----⌫|-|
N estmi equil	|--|--⌫|-|-|
neustpitié	|---|-----|
De cequ ilestissichangié	-|-|-|-|--|---|-------|
Desaterreet	-|-|----|-|
deso npais	-|--⌫|---|
Folio 33 c	-----⌫--⌫|
D e s afame et de ses	-⌫|-⌫|---|-|-|--|
Mèsliezen fu	---|---|-|-|
d aut repart ie	|---⌫-|----⌫-|
Sen a o reDe uetmercie	|-|-⌫-⌫-|--⌫|-|-----|
P or qui a mormuezesteit	-⌫-|--|-⌫--|---|-----|
Sique nusne l	-|--|--|--⌫|
requenoisseit.	-------------|
Al e xia grantmesestance	--⌫-⌫-||----|---------|
Del corsf eseitlapen itance	--|---|-⌫----|-|---⌫-----|
E nieune s enore i sons	-⌫|-----⌫|-|---⌫-⌫---|
Enu e ill e sen afflictions	-|-⌫-⌫---⌫-⌫|-|----------|
p oico m i laueit	-⌫-|--⌫|-⌫|----|
Daumones quelen lidoneit	|------|--||-|-|-----|
M outuolentie rse tdoucement	-⌫--|--------⌫-|-⌫|--------|
Enreparteitapouregent	-|--------||----|---|
P ororeretporleser ui se	-⌫-|---|-|--|-|---⌫--⌫-|
Deuoirhantotm outl iglise	--|--|-----|-⌫--||-----|
Nostre da mesainteMarie	-----|--⌫-|-----|----|
Tantque Dexqui nobliemie	---|--|--|--||----|--|
Ses boens am is e tses s erianz	--|----|--⌫-|-⌫|--|-⌫-----|
find ede s	--|-⌫|--⌫|
Pageu01P1 74	---------⌫-|
Demonstraqueushomeil est eit.	--------|----|---|-|---⌫---|
A l uisdelmostierseseeit	||--|--|------|-|----|
Un iort eles teit son usage	-|--|-⌫-|--⌫---|--|----|
Loresp l outa	----|-⌫-⌫--||
Deuque limag e	--|--||----⌫|
Nostre da mepar la etdi st	-----|--⌫-|---⌫-|-|--⌫-|
Ause greisteinque	-|--⌫--------|--|
l apelastenz.	|------|---|
