doit fabl esauoir	---|----⌫-|----|
etcommentilsecontenoit	-|------|-|-|--------|
c ontre doneritant m enquist	-⌫----|----|----||------|
etde ce qu eilme requist	-|-|-|--⌫|-|-|------|
respondiuoi rquarielidis	-------|---⌫|---|-|-|--|
quedonersert laset mendis	--|-----|--|--|-|-----|
poureset nuse tendestrece	-----|-|--|-⌫|-|-------|
auoi rlains neece	----⌫||----⌫----|
o r estmainsnez or est	-⌫|--|----|--|-|--|
osemon trer	--|---⌫---|
donerslanguistceestla som me	-----|-------|-|--|-|---⌫-|
iamesdoners chies	----|-----|----|
nul haut ho mme	--|---|--⌫--|
n efe ra yybia uscop sensamble	-⌫|--⌫-|-|---⌫-|---⌫|-------|
ahautes co rs de donersamble	|-----|--⌫-|-|----|-----|
queil n aitm ie	--|-||--|-⌫-|
le cu er sain	-|--⌫-|---|
quen sonsain tie ntades	-|-|--|---|---⌫-|---|
laischet i s hais et	---|----⌫-⌫|---|-|
tolirsestbiauset	-----|--|----|-|
c hetis nerecreu s	-⌫----|-|------⌫|
ains estetg r a nze tparcr eus	---|--|-|-⌫-⌫-⌫-|-⌫|-----⌫--|
decuerdecor sdebrasde ma ins	-|---|-|---⌫|-|---|-|--⌫--|
e stgranz assezdoners estna ins	-⌫-|----|----|-----|--|--⌫--|
quan tnosostes	----⌫|--|----|
c este no uele	-⌫---|--⌫---|
oimo ult parle	-|--⌫--|--|-|
lipl otdontm en parti	-|--⌫-|---||-|----|
dalermon ch emin	|---|--|--⌫---|
ou i euous disq u	-|-⌫|---|--|-⌫|
alerdeuoi e	---|-----⌫|
por eschacier lamaleu oie	--|--------|-|---|-⌫--|
me n issiparune	|-⌫|---|--|--|
droitementau iletauerne	---------||-⌫--|------|
mencommencaia empas ser	|----------||-----⌫--|
mes ainco ismec ouint	--|-----⌫-|-|-⌫----|
zzfleuueou mainsuilainssenie	-|-----|-|----|------|-|--|
quelon apele	--|--|----|
glo ut on ie	---⌫--⌫--⌫-|
iluecuing outr emenpa ssa i	----|---|----⌫||-|--⌫---⌫|
mes tantest uiexdeuoirle	--|---|--|---|-|---|-|
qua in cmessisui spassé n auoi e	-|-⌫--⌫|--|--|--⌫|-----||----⌫|
si q uenuiletauern e e ntroie	-|-⌫|-|---|------⌫|-⌫-----|
m oult p lesant man iere	-⌫---|-⌫-----|---⌫---|
roberielatauerniere	------|-|---------|
quimeher breia	--|-|---⌫----|
uolentiers	---------|
lan uitfumiso ste u sentie rs	-|-⌫--|-|--|-⌫---⌫-⌫|-----⌫-|
deiouer ui mo ultbelatret	-|----|-|--⌫--|--|----|
hasartetmescontetmestret	-----|-|------|-|------|
furentlanuit a mon o stel	-----|-|---||--|-⌫---|
quendiroie	-|-|-----|
iel oiitel	-||-|---|
q uon nelepotplus ple san tfaire	-⌫|-|-|-|--|---|---⌫---⌫|----|
enquistrent de	----------|-|
li c o mpaig nonquilee nzerent	-|-⌫-⌫-----⌫--|--|---⌫-|----|
tuitensambleme	---|-------|-|
deman derent	-----⌫-----|
mestr ais m escontes ethasa rs	-----⌫--|-⌫-------|-|----⌫-|
quelor deis se isnellepas	--|--|----⌫-|---------|
nouel esqu achartresfesoient	-----⌫-|-||-------|-------|
duilor ami	--|--|--|
qui lmoulta moient	-|-⌫|----|-⌫-----|
charles etmainsensdela	------|-|-------|-|-|
oupapel a rdieseloge	-|-----⌫-⌫---|-|---|
decesyy menquistren tles	-|--|-||----------⌫|--|
etieres pondisanz	-|-|---⌫----|---|
iluou sai m ent	-|---⌫|--⌫-⌫--|
moult durement	----|-------|
siuousdi rai rezoncomment	-|---|--⌫--|----|------|
s ouentlo r fetesgaaignier	-⌫----|--⌫|----|--------|
uuelentacom paignier	------|----⌫-------|
a eu st out pardroit he rita g e	|--⌫|-⌫--|--|----|--⌫----⌫-⌫|
etil metindrentm oultasage	-|-|-|-------|-⌫---||---|
porceque l e	--|-|--|-⌫|
uoirlor endis	---|--|-|--|
quencestmontn	-|-|---|---||
a pasdegent	|--|-|---|
qu id e lslaueriteretre t	--⌫||-⌫-|-|-----|-----⌫|
miex ai mentmes conteetmest ret	---|--⌫---|---⌫----|-|----⌫--|
quefetcil charles e tma insens	--|--|--|------|-⌫|--⌫-----|
illesatrai ent entoz sens	-|--|-----⌫--|-|--|---|
etlit a uer ni erdep ar is	-|-|-⌫-⌫---⌫--⌫-|-|-⌫--⌫-|
cilnele ss er uentmieen uis	--|-|--⌫|-⌫--⌫---|--|--⌫--|
a in zuous di	-⌫--⌫|---|-|
foique do iaapiere	--|--|--⌫|-|----|
qu e i l aiment degran tmaniere	--⌫|-⌫|-----|-|----⌫|------|
mestraite tmesco nt e	-------|-⌫|-----⌫--⌫|
q u alor gaaingon tsouent part	-⌫||--|-----|--⌫|-----|---|
gautiersmoriausnendout d e riens	-------|------||-|---|-⌫|----|
ie ha nli bocusar tis ien s	--⌫--⌫|-|----|--⌫---⌫---⌫|
h er mers gu iars	-⌫--⌫---|--⌫---|
lifardoilliez	-|----------|
q uimainzbriconsont despoil liez	-⌫-|----|------|--|-------⌫---|
nauroieon cquestouta co nte	|-----|--⌫----|---||--⌫--|
cecont eamestretet m esconte	-|----⌫||------|-|-⌫------|
i e dislorsui	-⌫|--|---|-|
uenirhasart	----|-----|
quimedemandada utrepart	--|-|------||-⌫---|---|
nouelesde michiel	------|-|------|
detreilles	-|-------|
r acontamerueilles	-⌫-----|---------|
dedan sauuagee tdesagen t	-|--|------|-⌫|-|-|---⌫|
commeilfes oientsanzargent	----|-|---⌫----|---|-----|
e stre sou ue nt girart d e	-⌫---|---⌫--⌫-|-----|-⌫|
etielordique	-|-|--|-|--|
toutes u oies	-----|-⌫---|
estoit g irars e n l or	-----|-⌫----|-⌫|-⌫-|
ilnese mue toncque s deci	-|-|-|---⌫|------⌫|---|
m esadesa uoec	-⌫-|---|-⌫---|
ausseiorn e	--|------⌫|
soue n tle	----⌫-⌫|-|
uoipen ssui	--|---⌫---|
chasc unsiprentchascunsle plume	-----⌫--||----|-------|-|----|
c es tlorb eancee t	|--⌫|--|-⌫----|-⌫|
lorcous tum e	--|----⌫---⌫|
ce lordis ietant	-|--|--|-|---|
et hasars q ui bien	-|-----|-⌫-|---|
sotcom men t	--|---⌫---⌫|
sidesciplelese uent	-|-------|-|--⌫---|
fu l iezetes baudi lafere	-|-⌫--|-|--⌫----||----|
et tuitfi rentgrantioi e	-|---|--⌫---|----|---⌫|
ne cuitquei ames sig rantuoie	-|---|--|-⌫---|-|-⌫---|---|
qua roncqu e s mestelen a uint	---⌫|-----⌫-⌫|--|---||-⌫---|
a uec cele grantioieuin t	-⌫--|---|----|---|---⌫|
yuresse lamereuers ez	------|-|---|----⌫-|
etses f ilz oli	-|--|-⌫--||-|
uer sez estgranzetparcreuz	---⌫--|--|----|-|-------|
etmoult est assezetcreus	-|----|--|----|-|----|
ensonp aisete ns a terre	-|--|-⌫--|-|-⌫|-⌫|----|
et distq u	-|---|-⌫|
il estnezdenglet erre	-|--|--||------⌫---|
cousinsefetgautier lenfant	-----|-|--|------||-----|
ennuleterre	-|---|----|
nae nf ant	||-⌫--⌫--|
qui sibienl e resamble	--|-|---|-⌫|-------|
ilpue e ntbi enalerensamb l e	-|---⌫-⌫-|--⌫-|---|------⌫-⌫|
anduison tsi g ra ntetsifort	----|---⌫|-|-⌫--⌫-|-|-|---|
auroi tuers aus	-----⌫|---|--|
nenus uersaus n e s	-|--|---|--|-⌫||
ue rsez est s i	--⌫---|--|-⌫|
forsamerueill e	---||--------⌫|
et s imembruz e tsidiue rs	-|-⌫|------|-⌫|-|----⌫-|
quil gete lesp lusgr anz enuers	-|-|---|--|-⌫--|--⌫--|-----|
par moi lesaioiezcomment	--|--|-|--|---|------|
trestouterraum ent	-------|------⌫--|
que u ersezu intlee nza cort	--|-⌫----|-⌫--|---⌫-||---|
t outpieestantm eti nt	-⌫--|--|-----|-⌫|--⌫-|
quil mecouinta	-|-|-|-----||
on ques ne	--⌫---|-|
m enpoi es chiuer	|-|--|--⌫-----|
car deffendrene men seusse	--|--------|-||-|-----|
me s toutaussicommei efu sse	--⌫|---|----|----|-⌫|--⌫--|
aguinelant et	|--------|-|
mestutes cremiret	|----|--⌫-----|-|
aluipar lecons ei lmon oste	|--|--|-|----⌫--⌫|--|---|
yurecequi sonmanteloste	-----|--|--|-----|---|
p argrantioieet pa r grant	-⌫-|----|---|-|--⌫|----|
nou saportayy	---⌫|-----|-|
com meatelguerreconuenoi t	---⌫-||--|-----|--------⌫|
etchascunsensa maintenoit	-|-------|-|-|---|-----|
pargrant ire	--|----|--|
etpargranteff ort	-|--|----|---⌫--|
basto nde clerauc oirre	-----⌫|-|---|-|-⌫----|
siuousdique chascunsauoit	-|---|-|--|-------|----|
darmes quanq u eilli	|----|-----⌫-⌫|-|-|
cou en oit	---⌫--⌫--|
ieli uoiet	-|-|--|-|
il mereuient	-|-|------|
etielisailet ilm et ient	-|-|-|---|-|-|-⌫|-⌫---|
eti e su shau ce etilret rait	-|-⌫|--⌫|---⌫-|-|-|---⌫---|
ieliretrai d un autretrait	-|-|-----||-|----|----|
et il er rantatra itme uient	-|-|--⌫---||---⌫-|-|----|
et si tres dur eme n t metient	-|-|---|---⌫---⌫-⌫|-|----|
si du rementmeseu t tape r	-|--⌫-----|-|---⌫|----⌫|
e tsifo rtne	-⌫|-|--⌫-|-|
lmescreez mie	||------|--|
quauscolees	-|--|-----|
del escre mie	-||-----⌫--|
mefistsi chancelera	-|---|-|--------||
quapoinechei a senestre	-||----|---||-------|
et lue squerem est celechaude	-|---⌫---|---⌫--|---|-----|
portenir la bataillechaud e	--|----|-|-------|-----⌫|
uers ezrel ieue simassaut	----⌫-|---⌫---|-||-----|
iel ire ssailil	-|-⌫|--⌫----|-|
e tie tresgete et ilso rmonte	-⌫|-|-------|-|-|--⌫-----|
sime fier t qu eel	-|-|----⌫|--⌫|-|
chi efme mo nte	---⌫-|-|--⌫--|
es tormiem	--⌫-----||
estmonte e	--|-----⌫|
cefuli cops	-|-|-|---|
desormontee	-|--------|
q uar ilmemonte enla	-⌫--|-|-|----|-|-|
etcilqui trestoz lese nteste	-|--|--|------|--|-⌫-----|
me prent a u s brazetsimetorne	-|----|-⌫-⌫|---|-|-|-|----|
etencel torsi	-|-|--|--|-|
malmatorne	--||-----|
queilm abat	--|-||---|
e ncontreterre	-⌫------|----|
azzdesiam besd an gleter re	|-|--|---⌫--||--⌫------⌫-|
siq u enelpore ntesgarder	-|-⌫-⌫|-||----⌫-|-------|
cilquilech amp	--|--|-|--⌫--|
duren tgarder	-----⌫|-----|
mous t rezerraume nt	----⌫-⌫--|-------⌫-|
sus le pauemen t	--|-|-------⌫|
fusseremezagrantmeschief	----|----||----|-------|
mes yure ceme tint	--|----⌫-|-|---|
pa rc ompagnie	--⌫|-⌫-------|
en sond euant	-|--|-⌫----|
a chiefd eposeui ntauant	|----|-⌫|---|--⌫-|----|
uersezetdist	-----|-|---|
isnellepas	---------|
compai nzne uousmerue illez pas	------⌫-|-|---|-----⌫----|--|
maint se sonta	----|-|---||
moic omba tu	--|-⌫----⌫-|
l ui ti er s onta batu	-⌫--⌫--⌫-|-⌫--|-⌫---|
etau co mbatr eenl a	-|-|--⌫-----⌫|-|-⌫|
neisguil liaumedesal erne	---|----⌫-----|-|---⌫---|
qu onti ent a	-|-|--⌫--||
p reuet ahardi	-⌫--|-||----|
batubienleuousdi	---|---|-|---|-|
iam besleuees azz tor	---⌫--|-----||-|--|
d eplusors	-⌫|------|
autre s cientor	-----⌫|-|----|
se uantaqu	-|----|-|
abat uz a uoit	----⌫-|-⌫---|
d et eus quese onl esauoit	-⌫|-⌫--|--|-|-|-⌫|-----|
dontmou lt se	---|---⌫-|-|
riro ient la	----⌫---|-|
mes neseroitn ebelnegent	--|-|-----|-⌫|--|-|---|
quetozrecordaisse	--|--|----------|
ie remezquifui	-|----|--|--|
il se n alamesain c y urece	-||-⌫|--|--|---⌫|-⌫----|
por angoisse ne por destrece	--|-------|-|--|-------|
nem euolt cele	-|-⌫|---|---|
nuitle ssier	---|--⌫----|
li u oil relessier	-|-⌫--|--------|
d obeirasau olent e	|----||-|-⌫-----⌫|
q uan tioile enzg rant piece esté	-⌫---⌫||-|--⌫--|-⌫---|----|----|
com cilquibleciezsesentoie	--|--|--|------|-|------|
yu receenqui	--⌫---|-|--|
co n seiliest oie	--⌫-⌫---||---⌫--|
meprist etsime conuoia	-|----|-|-|-|------|
horsduchastelb ien mauoia	---|-|------|-⌫--||----|
et touteimist	-|----||---|
sen tencion	|--⌫------|
par deuant	--|-----|
forni c ation	-----⌫-⌫----|
me m enadroitenunch astel	-|-⌫--|----|-|-|--⌫----|
quonappel echastiaubordel	-|-|-----⌫|-------|-----|
oumaint autre sontherberg ié	-|----|----|---|-------⌫--|
filleapec hie	----||---⌫--|
m e uintueoir a gra ntdeduit	-⌫|---|----||---⌫-|-----|
larrecinsl ifilzm ienuit	--------|-⌫|---|-⌫-----|
qui r ep eroiten lames on	--|-⌫--⌫----|-|-|---⌫-|
ce l e nuitme	--⌫-⌫|---|-|
mistareson	---||----|
larr ecinsetm enquist comment	----⌫----|-||------|------|
l ide scip le des on	-⌫|--⌫----⌫-|-|-⌫-|
s efesoient encest p ais	-⌫|-------|-|---|-⌫--|
tantostlires pondi etdis	------|-|---⌫----|-|--|
sans atargier etsansfain tise	---|-------|-|---|----⌫---|
q ue lir oisen f etteliustise	-⌫-|-|-⌫--|-|-⌫-|--|------|
et quill es ma inesi a	-|-|-|-⌫-|--⌫--|-||
quelarron son tenmauu espoint	--|-----|---⌫|-|----⌫-|----|
celi disetbienle	-|-|--|-|---|-|
li dema ndailauoie	-|----⌫---|-|---|
ae nfer la gran t forteresse	|-⌫---|-|----⌫|---------|
en trelarre cinet yur ece	--⌫--|-----⌫--|-|---⌫--|
moult uolentiersm	----|---------||
on t c onuoié	--⌫|-⌫------|
alorpo o irm	|--|--⌫-⌫-||
ont auoié	--|-----|
et dient plus	-|----|---|
n i ate ndra s	||---⌫----⌫|
pardeuantcruautetendras	--|-----|------|------|
droit ac opegorgeta u oie	----||-⌫-------|-|-⌫--|
etdilu equessiterauo ie	-||---⌫----|-|-|----⌫-|
auantetsachess anz	----|-|-----|-⌫--|
s amurtreuille le gibet	||----------|-|----|
puesueni rbienauraserre ́	---|----⌫|---|----|----⌫|
iamesle gran tchemin	----|-|----⌫|-----|
ius q en en f er	---⌫|-|--⌫-⌫-|
ne less eras	-|----⌫---|
messidro i tauant teniras	--|-|---⌫-⌫|----||-|---|
qu e m e su enras	--⌫|-⌫-⌫|-⌫----|
enen ferdroit	-|--⌫--|----|
moultmecon seil lier entadroit	----|-|---⌫----⌫----⌫--||----|
yur eceetlarrecins	---⌫--|-|--------|
atantliparlem ensdessambl e	----|-|------⌫--|--------⌫|
i e m enala i	-⌫||-|---⌫|
mauoiepris	-|---|---|
au c hemi nqui lm orent	-|-⌫----⌫|-|-⌫||----|
metin get alaitoutesuoies	-|---⌫|-|---|-----|----|
lesliueslesuiles lesuoies	--|----|--|----|--|----|
ne uousaur oiehui	-|---|---⌫--|--|
mesta nt trespassai de contre es	--|--⌫-|---------|-|------⌫-|
q u e ieuing adesespe rance	-⌫-⌫|-|---||-------⌫----|
oul agreign or	-|-⌫|------⌫-|
oinecuit mess igrantioie	-|-|---|--|-⌫|----|---|
cardesesper anc e estmontioie	--|--------⌫---⌫|--|-------|
denfer por	|----|--|
ce estadroitdite	-|--||----|---|
il ueciu squ	--⌫--|--⌫--|
amor ts oubit e	|---⌫|-⌫-----⌫|
na quuneliuede	||-|--|---|-|
ious te mort so ubit e estenfers	----⌫-|---|--⌫----⌫|--|-----|
nio tquuns ouffle a tresp asser	||-⌫|-|-|-⌫-----||-----⌫----|
de celemontioie	-|---|-------|
p ensaiet tant qu	-⌫----|-|---|-|
enenf eruing	-|---⌫-|---|
ue nume ting	--⌫-|-|---|
quequant iyuingq ueilmetoien t	--|----|||---|-⌫-|-|-------⌫|
le stables mo ultsentre metoi ent	--⌫|-----|--⌫--||-----⌫-----⌫--|
del mengier	--|------|
lee nzatorner	---⌫-|------|
onqu e sportier spo rretorner	----⌫-⌫|-------⌫|--⌫|-------|
ne m ep rist et	-|-⌫|-⌫---|-|
i tantuousdi	-⌫---|---|-|
quunecoustumeenenfer ui	-|--|-------|-|----|-|
qu e iene tingmieapouerte	--⌫|-|-|---|--||------|
meniuentaporte ouu erte	-------||----|---⌫---|
quiconqueueuten en feruait	--------|---|-|--⌫--|---|
nusen nul ten sleenz ne trait	--|-|--|---⌫|----|-|----|
qu eia portelisoit	--⌫|-|----|-|---|
iceste coustume	-----|-------|
es t faus se e	--⌫|----⌫--⌫|
enfrancechascunsclotsap orte	-|-----|-------|---|-|-⌫---|
nu s nen treleenzsil	--⌫||--⌫--|----||-|
ce ueo nsnous t outenapert	-|---⌫-|---|-⌫--|-|----|
mesenenfer	--|-|----|
a hu isouuer t	|--⌫-|-----⌫|
meniuentcilquilee nzso nt	-------|--|--|---⌫-|--⌫-|
delacoust umeque ilont	-|-|-----⌫--|--|-|--|
me loeenenfer	-|--|-|----|
uingtout droit	---|---|----|
onquesm essigrantioiea droit	-----|-⌫-|-|----|---||----|
nefut faitec om meilme fir e nt	-|--|----|-⌫--⌫-|-|-|---⌫-⌫-|
siloingque il meuiren t	-|----|--|-|-|-----⌫|
chascuns pormoiueoir	-------|--|--|----|
cilior tint	--|--|---|
enfer cort	----|---|
plusgrantq ueie	---|----|-⌫-|-|
neuou ssaidire	-|---⌫|--|---|
celiorfu rent	--|--|--⌫---|
quidelroidenferti ndre nt	--|--|--||----|--⌫----⌫-|
limestreprincipali	-|-----|--------||
cil quisont deplus	--|--|---|-|---|
grantren o n	----|---⌫-⌫|
q uanti l passerenta	-⌫---|-⌫|--------||
bien pa rut al orch e ua uchie	---|--⌫--||-⌫-|--⌫-⌫--⌫----|
quardu squa uchiefdela chau cie	---|--⌫--|-⌫|----|-|-|----⌫--|
pe rit outelegliseaual	--⌫-|-⌫---||-----|---|
mess il e stoient acheu a l	--||-|-⌫------||----⌫-⌫|
c enefetpas ad emander	-⌫|-|--|--||-⌫------|
li roisq uil esot fe tmand er	-|---|-⌫-|-⌫-|-|--⌫|----⌫-|
les fistento r	--|---|----⌫|
por ce quil	--|-|-|-|
l esuoloitueir	-⌫-|-----|---|
montaiisnelement	-----|---------|
susel palais	--|-|-----|
fetaciment	--||-----|
ad oncfui ie	--⌫--|--|-|
biens alue z	---|-⌫----⌫|
declersdeu esqu es	-|----||--⌫----⌫-|
pylates distetbel zebuz	------|---|-|---⌫----|
raou lbi ensoi es tu uenuz	----⌫|--⌫-|---⌫-|-|----|
d ou uie nstu ie	|-|---⌫-|-|-|
u ien gde sas s o ig ne	-⌫---⌫|-|---⌫-⌫-⌫--⌫-|
et dechampaig ne etdebourg oig ne	-|-|--------⌫-|-|-|-----⌫---⌫-|
delomb ardie etdengl ete rre	-|----⌫----|-||----⌫---⌫--|
bienaicerchi étoutet er re	---|-|------⌫-|----|-⌫--⌫-|
aeureuenuz	|---|----|
fussesate nduz	-----|---⌫---|
petitfussesatargi és	----|-----|------⌫--|
quaraprestezest limengi ers	---|-------|--|-|-----⌫--|
ainsidistamoibelsebuz	----|---||--|-------|
mesains mengie rs nefu	--|---|------⌫-|-|-|
sirichesquileenzestoit	-|-----|--|----|-----|
appa reilliésquon	----⌫--------|-|-|
telsui an destrouer	---|--⌫--⌫--|-----|
tantcomme il	---|----|-|
dure a laroonde	---||-|-----|
ie e nfuimoul tioianz et	-|-⌫|--|----⌫|-----|-|
ettou terrantlip anetiers	-|---⌫|-----|-|-⌫-------|
sansdemoranceet sa nsattente	---|--------|-|--⌫-|------|
necuidie zpasquei e uousmente	-|------⌫|--|--|-⌫|---|----|
nap e squi sontfaites depiaus	---⌫-⌫|--|---|-----|-|----|
de cesuse r ier sd eslo iaus	-|--|---⌫-⌫---⌫|-⌫----⌫---|
aestendues	|--------|
sur lesdois	--|--|---|
a t ants assistlimestresrois	-⌫-⌫--||-----|-|------|---|
autr ecommu naument	----⌫|-----⌫------|
comseilfuss ent d u ncouuent	--|-|-|----⌫--||-⌫|------|
mon siege f ua incniotautre	--|----|-⌫|-⌫--|||-|----|
du ipopel icanl	--⌫|-----⌫---||
unsur lautre	-|--||----|
d un toisserant	|-|---------|
etliseneschau stou ta uant	-|-|---------⌫|---⌫|-⌫---|
me mistune nape	-|---|--|---|
delcuirdu neuiei lleputain	--|---||-⌫-|----⌫--|-----|
etiel estendi	-|-||------|
deuant moi	-----|--|
aun etoisesisdel roi	|--⌫|----|--|--|--|
azzpetitpr esnonencoste	|-|----|--⌫-|--|------|
oiiemoultbo noste	-|-|----|--⌫|---|
etenmoultgrantchierte	-|-|----|----|------|
mesai nsiau int	--|--⌫--|--⌫--|
nousaportalondeuantnous	---|-----|--|-----|---|
unmesquifugrand et	-|--|--|-|----|-|
championsuai ncusa	--------|---⌫---||
chascunsgra nt piece malta illie	-------|---⌫-|----|--|--⌫----|
en otbien enfure ntpeu	-|-|---|-|----⌫-|--|
apres championso nt eu	----|--------|-⌫-|-|
