adam sirefourméteai	---|---|------|-|-|
creezcons eilque soi etue rsmei	----|----⌫--|--|---⌫-|--⌫-|--|
lais se lema le s ite	----⌫-|-|--⌫||-⌫|-|
tunseig nor	--|----⌫--|
aimee oue cluitetien	---||---⌫|--|-|---|
pornulconseilne gerpisez	--|--|------|-|-------|
situle faisne	-|-|-|---|-|
peccherasde rie n	--------|-|---⌫|
grantgracesrend	----|-----|---|
a tabenignit e	|-|--------⌫|
kim e forma seme faist elbun te	-|-⌫|-----⌫||-|---|-⌫-|---⌫-|
quebienemal	--|---||--|
mez enmapoeste	--|-|-|-----|
e ntoiseruirmetrai mauolente	-⌫|--|-----|-----|-|------|
tues mi sires iosui ta	-|-|-|----|-|--|-|
t u meplasmas	-⌫|-|------|
e io sui t afaiture	|-|--|-⌫|------|
ma uolenteneserrad	-|------|-|-----|
q atoiserui r ne	||--|-----⌫|-|
soit t ot e macure	---|-⌫--⌫|-|---|
ad ams iredirr aitoi mon a uis	--⌫-|-⌫--|----⌫-|--|--|-⌫--|
iardi n cumadnunparadis	-----⌫|--|-|--|------|
estbel ie lplantaie	--|--|-||------||
quii maind ras erra m isam is	--||-----⌫-|-⌫---|-⌫-|--⌫-|
iolto icomandpor maindree	-||--⌫|-----|--|------||
p or garder	-⌫-|-----|
de denzuusmetpurr umi nus dur er	--⌫---|--|--|----⌫-||--|---⌫-|
a toziors uiurerien	|--|---|----|---|
po ez duter	--⌫-|----|
ia n iporrezmurir neen gruter	-|||-----|----|-|--⌫-----|
deces t iar dintei	-|---⌫|---⌫--|--|
dirrailanature	-----|-|-----|
den uldelitn i trourezfa ltur e	-|-⌫-|----|||------|--⌫----⌫|
bie n almon d quec o u oitcriature	---⌫|-|---⌫|--|-⌫-⌫-⌫--|-------|
c hesconsn	-⌫------||
ipoissettrouer asamesure	|------|-----||-|-----|
homeniaurai rur	---|||---|-⌫--|
defemmeuerg uin enefreur	-|----|----⌫---⌫|-|----|
porengendrerniest hom peccheor	--|--------|||--|--|-------|
neal emfanter femmenisent	-|||-------|----|||---|
tot tensui urastanti	--|---|--⌫---|---||
adbones tage	-|--|--⌫---|
i a cha ngerli toeneage	-⌫|---⌫---|-|---|---|
ic re ndrasneteferra	|-⌫--⌫----|-|-|----|
ne uo il queisses	-|--⌫-|--|----|
ici f erasm anage	--|-⌫---|-⌫----|
detot ces t	-|--|---⌫|
fru itpo ezmangerpar d eport	---⌫-|--⌫-|-----|--|-⌫----|
cost t oidefentn	---|-⌫-|-----||
en faire altrecomfort	-|----|----|------|
sentuen maniuessempr essentira sm ort	--|-|-|------|-----⌫-|-------⌫|-⌫--|
p erdr asmalchangerast a sort	-⌫----⌫-|--|--------|-⌫|---|
ioga rderaitotton	-|--⌫-----|--|--|
comandement	----------|
neione eueneneisseromsde	-|-|-|--||-|--------|-|
porunso lfruitseperttelchasement	--|-|--⌫|----|-|---|--|--------|
defors i etezal uent	-----|-⌫---|-|---|
por unepome seiogerp ista mor	--|--|---|-|-|----⌫-||-⌫--|
uieparse nsnepar	--|--|--⌫-|-|--|
iugiezdoitestrealoi detraitor	-----|---|----||--|-|------|
que sipariu reetraist	--|-|-----⌫-||-----|
so nseignor	--⌫|------|
q uefaisad amci	-⌫-|---|--⌫-|-|
uifengrant de duit	--|-|----|--⌫---|
estastubi en nesen rien	----|-|--⌫-|-|--|---|
quem enoit	--||----|
poet estremielznepuissaue rcomen t	---|----|----|-|---|----⌫|-----⌫|
uols letus a uerbienen ie rtmontalent	---|-|-|-⌫-⌫--|---|-|--⌫-|--|-----|
iosa i come nt e	-|--⌫|----⌫-||
moiq uechalt	--|-⌫-|----|
porquei non rien ne	--|---|--|---|-|
ilte ualdraio nesaiquant	-|-|-----|-|-|--|----|
neltedir r ai pase nc urant	-||-|---⌫-⌫-|--|-⌫|-⌫----|
di non fr aipas	-|--|--⌫-|--|
ai nzteuer ra idelpreerlas	--⌫-|-|---⌫--⌫|--|----|--|
nainulb o soi ngde	|-|--|-⌫-⌫---⌫-|-|
co sau e i r	-|---⌫-⌫-⌫|
kar tun e deiz nulbienauer	--|-|-⌫|---|--|---|---|
tu as li bien neseiez ioir	-|-|-|---|-|----|---|
eio co mentuoldrasloir	|-|--⌫---|------||--|
io lte di rrai	-||-|--⌫---|
priu eement	----⌫-----|
s eu rement	-⌫--⌫-----|
es cultadamentent a	--⌫---|---|-----||
coierttonprueio	-|---|--|--||-|
crerasme tuoi lmu lt	-----|-|-|--⌫|--⌫-|
deltutentutfo rs	--|--|-|--|--⌫-|
deune r ien	-|--|-⌫--|
dequelcho se iolte	-|---|---⌫-|-||-|
mon cr eat or pasneoffen drai	--|--⌫---⌫-|--|-|-----⌫---|
crienslet ut ant oil par uei r	-----|-|-⌫|-⌫--|--|--|---⌫|
iolaimecriemn	-||--||----||
qu e te poet faireebien e	--⌫|-|---|----||---||
m oltese n tre ́enfolio rnal	-⌫--|-|-⌫-⌫---⌫|-|--|--⌫---|
quant creiez mal	----|-----|--|
tepois seuenir	-|----⌫-|----|
engloirenenpoez mor ir	-|-----|--|---|---⌫-|
dit que ie murrai	--|--|-|-----|
quantsonprecept	----|--|------|
trespasser ai	----------⌫-|
quelestcistgranttre spassement	---|--|---|----|---⌫---------|
oir leuoil sensnulentent	--|-|---|---|--|-----|
io lte di rraitot uei rement	-||-|--⌫---|--|---⌫-----|
il mefist u n co ma ndement	-|-|---|-⌫|--⌫--⌫------|
detuitlefrui tde par a di s	-|---|-|----⌫|-|---⌫-⌫--⌫|
ma n g er com aapris	--⌫-⌫-⌫-|-|||----|
forsdesu lun cilm	---|-|--⌫|-|--||
e st def ens	-⌫-|---⌫--|
coluinetuc heraid emains	----|-|---⌫----|-⌫|----|
lique ls estcoueezletul a	-|---⌫-|--|-|---|-|-|-⌫|
c oluitre s bi e n	-⌫---|---⌫|--⌫-⌫|
sez t u porq uoi	--|-⌫|--|-⌫--|
io certes non	-|-----|--|
iotedirra i ialacha ison	-|-|-----⌫|-||----⌫---|
d elaltrefruitriennelichalt	-⌫||----|----|---|-|-|----|
forsd ecelui qui pentenh alt	---|-⌫|----|--|---|-|-⌫--|
c oest l e fruit de	-⌫|--|-⌫|----|-|
detut sa ueir done science	-|--|--⌫---|---|------|
lemaniuesbonlefra s	-|------|--|-|---⌫|
e io en queitu	|-|-|---|-|
serruntsempres ouert	------|------|----|
quanque deitestreti ert apert	------|---|----||-⌫--|----|
quanqueuuldras p orra s faire	------|------|-⌫----⌫|----|
mult lefa itbonu ers	---|-|--⌫-|--|-⌫--|
teiat raire	--|--⌫----|
ma niuele s ifras bien	--⌫---|-|-⌫|---|---|
ne crendrasp oi s tun deuderien	-|-------|-⌫--⌫|--|--|-|---|
a ienz serra spuis deltutsonper	-⌫---|-----⌫|---|--|--|--|--|
quidatueer	-----|---|
crerasmetugustedelfruit	-----|-|-|----|--|----|
noe l fraipasoroezdeduit	-|-⌫|---|--|-|--|-----|
nelferasnonkartues	-||----|--|--|-|-|
encoretememb rer adesmoz	-----|-|----⌫---⌫|--|--|
adam que fa is changerastun sens	---|--|--⌫-|--------|--|---|
estu encoreen	-|-|-----|-|
fo lporpens	--⌫|------|
quidaidirel autrer	-----|---||-----|
sunprouender	--|--------|
cit adm ispormangier cest	-||-|-⌫-|--|------|---|
ast u donch altre d edui t	-|-⌫|----|----|-⌫----⌫|
ioo il nemefal t	-|-⌫-|-|-|---⌫|
ne munterasia mesplushalt	-|-------|-|--|---|---|
moltteporrastenir	---|-|-----|----|
quantdeus tafet	----|---|||--|
sun ia r den ier	--|--⌫-⌫---⌫--|
deust a feitgardein deso nort	---|||---|------|-|--⌫|--|
ianequerrasaltre	-|-|------|----|
forma i l toiporuentrefaire	----|-⌫|--|--|-----|----|
al tre ho norne	--⌫--|--⌫--|-|
escut adam ententa moi	----|---|-----||--|
i oteconsei llerai enfei	-⌫|-|------⌫-----|-|--|
que porrasestre senz s eignor	--|-----|----|---|-⌫-----|
eseras p erdelcreatur	|----|-⌫-|--|------|
dirraitutelasumme	-----|---|-|----|
situmaniuesla	-|-|------|-|
t uregneras en m a ieste	-⌫|-------|-|-⌫-⌫----|
od deupoezpartir poeste	-|--|---|-----|-----|
fui teidecique ditadam	--|--|-|-|--|--|---|
decituessa than	-|-|-|-|--⌫---|
mal conseildonese	--|------|----||
tu meuoelsliur era torment	-|-|----|----⌫-||------|
mesle rm euolsomun seignor	-----⌫|-⌫|---||--|------|
tolird e ioi e	----|-⌫|---⌫|
me tt reen do lor	--⌫--⌫-|-|--⌫--|
ne tecrerraifui tede ci	-|-|------|--|-|-|-|
i a mais tanth ar di	-⌫|---|---|-⌫--⌫-|
q ue tuiauiengezdeu antm oi	-⌫-|-|-|------|---⌫--|-⌫-|
tu estraitrese	-|-|-------||
dim oi sathan ettu pur	-|-⌫-|-----|-|-|--|
io uois q ueranttun pru tun hono r	-|---|-⌫-----|--|--|--|----⌫|
co dun ge deu	-|---⌫-|--|
naiezpo ur	|---|--⌫-|
moltagrant	---||----|
ten squeio aiapris	---⌫|--|-|-|----|
toz lesconse ilsde	--|--|-----⌫--|-|
unepartiet endirrai	--|-----||-|-----|
ore lecomencee iolorrai	--|-|------||-||----|
orrasmetusi frai	----|-|-|-|---|
n etecurcerai der i en	-⌫|-|-------|-|-⌫-⌫-|
celerasme noil parfoi	------||-⌫|--|--|--|
iertdescou ertnenilparmoi	---|------⌫--|----|--|--|
ormemetr aie n ta creance	-|-|----⌫-|-⌫|-|------|
detoialtrefiance	-|--|----|-----|
bientepoisc reire	---|-|---|-⌫----|
tu asestéenbone escole	-|-|----|-|---|-----|
iouiadamma istrop estfols	-|-|---|--⌫-|---|--|---|
es tdursil serr a mols	--⌫|---|-|----⌫|---|
ilestp lus	-|--|-⌫--|
dorsquen es temfers	---|--||--⌫|-----|
ilestmultfr an cs	-|--|---|--⌫--⌫-|
ainz estmult serf	---|--|---|---|
cure nen uoeltp re ndre de soi	---|--|----|-⌫--⌫---|-|--|
carlaprenge seuals	--|-|-----|-----|
t ues fiebletteet ten d rechose	-⌫|-|--------|-|---⌫-⌫-|----|
eesplusfre sc he	|-|---|---⌫--⌫-|
blanchequecri s tal	------|--|---⌫-⌫--|
queneifque chietsorglace	--|---|--|----|--|----|
malcup leem fistlicriator	--|---⌫-|-|---|-|------|
tuestroptendreeiltr opdur	-|-|---|-----||-|--⌫-|--|
mais neporquant tues	---|---------|-|-|
en gr an t sens as	-|--⌫--⌫|---|-|
por cofaitbon traire atoi	--|-|---|--|-----||--|
uoi lor ei aitf ai	---⌫|--⌫||--|-⌫-|
nensa che nulsk i le dei tsauer	--|--⌫--|---|-⌫|-|---⌫|----|
neisadamnenilpar mo i	---|---|----|--|--⌫|
dirrai etu mascute	-----||-||-----|
na q uenusdousen	||-⌫-|--|---|-|
cestero te	----|--⌫-|
eadam laqu ilne	|---|-|-|-|-|
parlezenhalt n	-----|-|---||
ensau ratmolt	-|---⌫--|---|
iouusacoint dungrantengin	-|--|-----||-|----|----|
qu eu us estfaiten	--⌫|-⌫-|--|---|-|
cestgardin	---|-----|
lefr uit que	-|--⌫--|--|
deusuus addoné	---|--|-|----|
nen aen soi gairesb onte	--||-|--|-----|-⌫---|
cilquil uusad	--|-|-|--|-|
t ant defendu	-⌫--|------|
ensoi grantuertu	-|--|----|----|
estgra c e deuie	--|---⌫-⌫|-|--|
depoesteedeseig norie	-|-----||-|----⌫----|
detutsauer bienemal	-|--|----|---||--|
q ue lsauora celestial	-⌫--⌫|----||--------|
a t onbels	|-⌫-|---|
co rsa tafig ur e	--⌫-||-|---⌫--⌫|
biencouendre i t	---|--------⌫-⌫|
te laue nture	--⌫|---⌫----|
q ue tufussesdame	-⌫-|-|-----|---|
del souerainet d elp arfont	--|-------|-|-⌫-|-⌫-----|
eseusezquanqueaestre	|-----|------||----|
que detuitfuissezbone maistr e	--|-|---|------|---|------⌫|
lifr ui zoilpar uoir	-|--⌫--⌫|--|--|---|
iamefaitb iensolleueer	-|-|---|-⌫--|--|-|---|
situleman guesque feras	-|-|-|---⌫---|--|----|
que sain e me crerras	--|--|-⌫|-|------|
primesle prenea	-----|-|---|||
adamledon e	---|-|---⌫|
delcielauerezsempresco ro ne	--|---|-----|------|--⌫--⌫-|
a lcre ator serre z par eil	-⌫|---⌫---|-----⌫|---⌫--|
neuusp urracele r conseil	-|--|-⌫---|----⌫|------|
pu isquedelfruit aurez	--⌫----|--|----|----|
sempresuusie rtlecuerchangié	------|--|--⌫-|-|---|-------|
ode usserrezsanzfail lance	|--⌫-|-----|---|----⌫----|
bontede egalpuissance	----|-|---|--------|
gustedelfruiti o	----|--|----|-⌫|
nairegar d	|-|-----⌫|
necrei read am io	-|----⌫-|--⌫-|-|
quant suffr ezmoi	----|-----⌫-|--|
tantqueadam soitenrecoi	---|--|---|---|-|----|
man iuelen	---⌫--|-||
aie z duta nce	---⌫|----⌫--|
led em o rerserrat emfance	-|-⌫--⌫-⌫--|-----|------|
di moimuillerq uete querroit	-|--|------|-⌫-|-|-------|
limalsatanque teuol eit	-|--|----|--|-|---⌫--|
il meparladenostre hono r	-|-|----|-|-----|----⌫|
necre ir eialetraitor	-|---⌫--⌫|-|-|------|
ilesttrait re bie nlesai	-|--|-----⌫-|---⌫|-|--|
e tu coment	|-|-----|
carlasaiai	--||-----|
quen chatme del uee r	-|-|---|-|--|---⌫|
ilte ferra	-|-|----|
changers auer	------|-⌫---|
nelfrap ascarne l cr erai	-||--|-⌫-|--|-||--⌫---|
de nulerien	-|---|---|
tantque lasai	------||---|
nellaisserma isueni rsort oi	-||------|--⌫-|----⌫|--|-⌫-|
c arile stmultdeputefoi	-⌫-|-|-⌫-|---|-|---|--|
iluolst trair ia son	-|----|----|-|--|
op o se ral deshalzor	--⌫-⌫--⌫|-|--|-----|
tel pal t onie r qu i	--|---⌫-⌫----⌫|--⌫|
coa d fa it	-|-⌫|--⌫-|
n euoilqueuersu usait nu lretrait	-⌫|---|--|---|-⌫-|--|--⌫|------|
maniuead am nesez	-----|--⌫-|-|--|
pernumco bi enquenusest prest	-----|-|--⌫-|--|--|--|----|
estiltantbontu lesaueras	--|-|---|--|-|-|------|
poezsau ersi nguster as	---|---⌫-|-||------⌫-|
i en duitlailenenfrai	|-|---|--|-|--|---|
del demor erfaituque las	--|-----⌫-|--|-|--|--|
eiolepr e nd raimaniueten	|-|-|--⌫-⌫--⌫--|-----|--|
parco saueras emalebien	--|-|------||--||---|
ioenma nieraipremiremen t	-|-|--⌫-----|----------⌫|
eio ap res seu rement	|-|--⌫--|---⌫-----|
gustéenai deusque lesauor	-----|-|-|---|---⌫-|----|
unc netastai d itel dolcor	--|-|-----||---|-----|
di tels auor est	|-⌫--|-⌫---|--|
dequel di tel	-|---||-⌫--|
n engus ta	-⌫-|---⌫-|
or sunt mes oil t antclerueant	-|---|--|--|-⌫--|---|----|
io semb l edeu	-|----⌫-⌫|--|
l etuitpuissant	-⌫|---|-------|
quanqu e fuqua nqu edoitestre	------⌫|-|---⌫---⌫|---|----|
saii otrestut bien en	--|-⌫|------|---|-|
suimaistre	--|------|
maniu e adamnefazdemo re	-----⌫|---|-|--|----⌫-|
tuleprend rasenmultbo n ore	-|-|-----⌫--|-|---|--⌫|--|
crerr atu e s maper	-----⌫|-|-⌫|-|--|
maniuene npo ezdoter	-----|--⌫|--⌫-|----|
allaspecchor queaiio	----|------|--|-|-|
o r suimor t sanz	-⌫|--|---⌫|---|
nulretrait	--|------|
senznul rescus su iio m o rt	---|--|-----|--⌫|-|-⌫-⌫-|
tantestchaite	---|--|-----|
mal mas o rt	--|-|-⌫-⌫-|
malmestchangéma auenture	--||--|------|-|-------|
bone or es tmultdore	---|-|--⌫|---|---|
i o aig uerpi mu ncri ator	-⌫|-|-⌫----|--⌫|---⌫---|
pa rleconseilde	--⌫|-|------|-|
allaspec cha ble quefrai	----|---⌫---⌫--|--|---|
muncri a to r cumatendrai	--|---⌫-⌫--⌫|--|-------|
cu matend r aimoncriator	--⌫|-----⌫-⌫-|--|------|
queio ai gu erpi	--|-|-|--⌫---|
pormafolor	--|-|----|
un che snefistantmalmar chie	--⌫---⌫|-|--|---|--|---⌫---|
ors aiio iaque estpecchi e	-|-⌫-|-|-|--|--|------⌫|
ai mortpo rquoi me laisses	-|---|--⌫|---|-|------|
q uenes tli mondede	-⌫-||--⌫|-|----|-|
moideliure	--|------|
por qu oi fazencombrera lmond	--|--⌫-|--|--------|-⌫|---|
demfer mestoet tem pterlefond	|----||-----|---⌫---|-|---|
enemfer serrama demure	-|----|----|-|-----|
tantque uieng e qui	------|-----⌫|--|
en e mfer siauraimauie	-|-⌫---|-|----|-|--|
dontmeu e ndrail ocaie	---|-|-⌫-⌫---|--⌫-|--|
dontmeuendra iloec	---|-|-----|----|
ditel dolors	|---|-----|
u ers monseignormesfis	-⌫--|--|------|-----|
neme deitestre	-|-|---|----|
noniertnu lquegaires	--|---|--⌫|--|-----|
perdusenz nulefaille	----|---|---|-----|
uersmonseignorsuisi	---|--|------|--|-|
n enpuiscon trel ui	-⌫-|---|---⌫--|-⌫-|
entreremplait	-----|-|----|
aitor teilad	-|---⌫||-|-|
d eu tantaci ma l	-⌫-|---||-|--⌫|
mai sdemoi memorie	---⌫|-|--|------|
car su i mesfetau roidegloire	--|--⌫|-----|-|--|-|-----|
auroi delci elsuisi mesfait	-|--|--|--⌫-|--|-|------|
derai sonn aiuersl ui untrait	-|---⌫--||-|---|-⌫-|-|----|
amine nulue isin	--|-|--|--⌫---|
quimetraidelp lai tafin	--|-|---|--|-⌫---⌫||--|
qui preirai	--|------|
ioia qui m	-|-|--||
qu antma femmema	--⌫--|-|----|||
quideusme dona por	--|---|-|---|--|
eleme donamal	--|-|---|--|
ai eueaifemme d eauee	-|--|-|----|-⌫----|
malf ussezuusd e m oin ee	--|-⌫----|--|-⌫|-⌫-|-⌫-|
carfustarseices tecoste	--|---|---|----⌫-|----|
quimadmis ensimaleposte	--||-|--|-|-|---|----|
carfustlacosteenfubr udlee	--|---|-|----|-|-|--⌫----|
ad basti s igr antme slee	-|----|-⌫|--⌫--|--⌫---|
q uantcelecostedemoip ri st	-⌫---|---|----|-|--|-⌫--⌫-|
po rqu einela rstemoi oscist	--⌫|--⌫-|-||-⌫--||--|-----|
lacoste a dtut lecorstrai	-|----|-⌫|--|-|---|---|
eafo léem albailli	|---⌫--||-⌫-|-----|
nesaq uediene	-|-|-⌫-|--|-|
me u ientdelciella	-|-⌫---|--|---|-|
nempu ises tre gietédepaine	--|--⌫-|--⌫--|-----|-|----|
telestlimalsque m e d emaine	--|--|-|---|--|-⌫|-⌫-----|
cum am alo re	--||-⌫-|-⌫-|
cumegr ant	---|--⌫--|
c uruts ore	-⌫---|-⌫--|
quanton che s fu stesm iparail	----|--⌫---⌫|--⌫---|-⌫|-----|
oresuiperr iz p ar	--|--|----⌫-|-⌫-|
to nc onseil	--⌫|-⌫-----|
pa rtoncons eilsuimi samal	--⌫|--|----⌫--|--|--⌫||--|
degranthaltesce sui	-|----|-------|--|
nen s e rraitraitpo rhomené	|-|-⌫-⌫---|----|--⌫|---|--|
nenest de maieste	--|--|-|------|
que diiolas	--|-|-|--|
porqu oileno m ai	--|--⌫-|-|--⌫-⌫-|
il meaidera	-|-|-----|
coro cél ai	----⌫--||-|
ne meferatia	-|-|----|-|
for lefilz	--|-|---|
queistra demar ie	--|----|-|---⌫-|
n e saide nus pren dr e conroi	-⌫|--|-|--|----⌫--⌫|-----|
quant adeune	----||--|-|
portamesfoi	-------|--|
o ren soit tota deu	-⌫|-|---|--||--|
n iadconseilque	||-|------|--|
ci suiiobeal sire	-|--|-|---|---|
repost mes u i	-----|-|-⌫-⌫|
iaporta ire	-|--|-|--|
epor co quesuitu tnuz	|--|-|--|--|--⌫|--|
mesuiieicisi em batuz	-|--|-|--|-|--⌫----|
keas tufetcumas	-|-|-|--|--|-|
quit atoleit	--|||-----|
queas tufet por	--|-|-|--|--|
quei a shon te	---|-⌫|---⌫-|
c ument reraiod	-⌫-|---⌫----|-|
toi enconte	--|-|----|
tu n auoisrienl autri er	-||----|---||-----⌫-|
d unttuduses	-⌫--|-|----|
uergund er	-------⌫-|
orte uoimul ttriste et morne	-|-|--|---⌫|-----|-|----|
m al senioistqui en si	-⌫-|--|----|--|--⌫-|
t el uergo ine a iiosire de	-⌫-|-----⌫--|-⌫|-|---|-|
e tup o rquoi	|-|-⌫-⌫|---|
honte mo ncors	----|--⌫|---|
netos ueerenla	-||-|---|-|-|
porq ueitresp assasmo n	--|-⌫--|-----⌫----|--⌫|
astugaires gain nié	-|-|-----|----⌫---|
io tonsire	-|--|---|
neltepu is pas	-||-|--⌫-|--|
contredire	---------|
i otefor maiamonsemblant	-⌫|-|---⌫--||--|-------|
trespas sasmoncomant	-------⌫--|--|-----|
pla smai dreit ama ymage	---⌫---|----||-|----|
fis celoltrage	--|--|------|
mu ndefensu npasnegardas	--⌫|-----|-⌫|--|-|-----|
deliurementle trespassas	----------|-|---------|
le fruitmaniasduntiot oidit	-|----|-----|---|-||-|--|
queiotauoiecontredit	--|-||----|--------|
porcoquidasestre mo n per	--|-|-----|----|--⌫|--|
nesai si tuuoldras	-|--|-|-|------|
la femmeque	-|----|--|
tu medona s	-|-|----⌫|
elefistprime icesttrespa s	--|---|----|----|------⌫|
donat lemoi eio	----|-|--||-|
or mest au is quetorn ez estagwai	-||--|--⌫-|--|----⌫-|--||---|
malacontai ices tmangi e r	--|------|----⌫|-----⌫-⌫|
ioaime sfaitpa r mamoiller	-|-|--⌫----|--⌫|-|------|
tam oillercreistesplusque	-|-⌫-----|-------|---|--|
ma niasle fruitsanz monotroi	--⌫---|-|----|---|--|----|
o rterendraii tel gu erd on	-⌫|-|------|-⌫--|--⌫---⌫-|
la te rre aurat maleicon	-|--⌫--|----|-------|
ou tu uoldras	-|-|------|
iltefaldrat alfruit	-|-|------|-|----|
e le estmaleit e	-⌫-|--|------⌫|
sozta ma in	--|-|--⌫-|
cotiuerasenu ain	--------|-|-⌫--|
sonfruitatoi d e ueerat	--|----||--|-⌫-⌫-----|
espinese c hard onste rendrat	------||-⌫----⌫--|-|------|
cha ngerteuold ra t asemence	---⌫---|-|----⌫-|-⌫|------|
ma laitiertportasenten ce	--⌫---|---|--|-|------⌫-|
od granttrauai l odgrantha han	-|----|------⌫|-|----|--⌫--|
to icoue ndramanger tonpan	--⌫|----⌫---|-----|--|--|
o dgrant paineo dgran t suor	-⌫|----|----|-⌫|----⌫|---|
uiurastunoit ei or	-----|-|---||-⌫-|
et tu euemalamuiller	-|-|--|---|------|
t ostme comencas d eguerreer	-⌫--|-|-------|-⌫|-------|
poi tenis me s	--|----|--⌫|
comandemenz	----------|
ia mengingn ali m alserpenz	-||-------⌫|-|-⌫-|------|
par lui quidase str emonper	--|--|-----|-⌫---⌫|--|--|
ses tuiabiendeuiner	--|-|-|---|------|
oreinz auiezla	-----|----|-|
mai str i e	---⌫---⌫-⌫|
deq uanque doit estr een uie	-|-⌫-----|---|----⌫|-|--|
cu m l as tu ia	--⌫||-|-|-|
si tost p erdue	-|---|-⌫----|
orteuoitriste etmal uenue	-|-|--|-----|-|--|----|
astu f ait gainou perte	-|-|-⌫--|---|-|----|
io toi rend r ai tadeserte	-|--|----⌫-⌫-|-|------|
io t endonrai	-||-|-----|
p ortonseruise	-⌫-|--|------|
m alte uen dra e n	-⌫-|-|---⌫--|-⌫|
e ndol orporterasemfanz	-⌫|---⌫-|-------|-----|
paineuiuronttotloranz	----|------|--|--|--|
t esem fanz endolor naistront	-⌫-|--⌫---|-|----|--------|
eengrant anguis se	|-|----|------⌫-|
